source_file,source_name,geni_id,geni_name,source_father,geni_father,matched_by,verdict
samaritan-itamar-spine.ged,81st generation Samaritan Itamar line //,I6000000227239042848,81st generation Samaritan Itamar line,80th generation Samaritan Itamar line //,80th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,82nd generation Samaritan Itamar line //,I6000000227239096833,82nd generation Samaritan Itamar line,81st generation Samaritan Itamar line //,81st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,83rd generation Samaritan Itamar line //,I6000000227239045846,83rd generation Samaritan Itamar line,82nd generation Samaritan Itamar line //,82nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,84th generation Samaritan Itamar line //,I6000000227239015865,84th generation Samaritan Itamar line,83rd generation Samaritan Itamar line //,83rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,85th generation Samaritan Itamar line //,I6000000227238827911,85th generation Samaritan Itamar line,84th generation Samaritan Itamar line //,84th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,86th generation Samaritan Itamar line //,I6000000227238949853,86th generation Samaritan Itamar line,85th generation Samaritan Itamar line //,85th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,87th generation Samaritan Itamar line //,I6000000227239037851,87th generation Samaritan Itamar line,86th generation Samaritan Itamar line //,86th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,88th generation Samaritan Itamar line //,I6000000227239076856,88th generation Samaritan Itamar line,87th generation Samaritan Itamar line //,87th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,89th generation Samaritan Itamar line //,I6000000227238827906,89th generation Samaritan Itamar line,88th generation Samaritan Itamar line //,88th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,90th generation Samaritan Itamar line //,I6000000227238824870,90th generation Samaritan Itamar line,89th generation Samaritan Itamar line //,89th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,10th generation Samaritan Itamar line //,I6000000227239142907,10th generation Samaritan Itamar line,9th generation Samaritan Itamar line //,9th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,91st generation Samaritan Itamar line //,I6000000227239025850,91st generation Samaritan Itamar line,90th generation Samaritan Itamar line //,90th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,92nd generation Samaritan Itamar line //,I6000000227239088837,92nd generation Samaritan Itamar line,91st generation Samaritan Itamar line //,91st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,93rd generation Samaritan Itamar line //,I6000000227238953861,93rd generation Samaritan Itamar line,92nd generation Samaritan Itamar line //,92nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,94th generation Samaritan Itamar line //,I6000000227239035848,94th generation Samaritan Itamar line,93rd generation Samaritan Itamar line //,93rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,95th generation Samaritan Itamar line //,I6000000227238975857,95th generation Samaritan Itamar line,94th generation Samaritan Itamar line //,94th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,96th generation Samaritan Itamar line //,I6000000227239076840,96th generation Samaritan Itamar line,95th generation Samaritan Itamar line //,95th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,97th generation Samaritan Itamar line //,I6000000227239093830,97th generation Samaritan Itamar line,96th generation Samaritan Itamar line //,96th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,98th generation Samaritan Itamar line //,I6000000227239106827,98th generation Samaritan Itamar line,97th generation Samaritan Itamar line //,97th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,99th generation Samaritan Itamar line //,I6000000227238975852,99th generation Samaritan Itamar line,98th generation Samaritan Itamar line //,98th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,100th generation Samaritan Itamar line //,I6000000227238827901,100th generation Samaritan Itamar line,99th generation Samaritan Itamar line //,99th generation Samaritan Itamar line,name and father agree,AGREE
