token,bearers,as_given,as_surname,as_married,behaves,patronymic_marker,script,placeholder
Morawetz,14,0,9,6,surname,,Latin,
Mosti,14,0,4,10,surname,,Latin,
Mousson,14,0,10,12,surname,-sson,Latin,
Mowbray,14,0,10,13,surname,,Latin,
Muh.,14,14,0,0,given,,Latin,
Mur,14,3,5,11,both,,Latin,
Muzaffar,14,8,0,6,given,,Latin,
Muños,14,0,11,3,surname,,Latin,
Mónica,14,14,0,0,given,,Latin,
NN2,14,13,1,1,both,,Latin,
Nag,14,1,6,11,both,,Latin,
Naples,14,1,3,11,both,,Latin,
Napoleone,14,14,0,0,given,,Latin,
Nassau-Saarbrücken,14,0,10,13,surname,,Latin,
Nassau-Wiesbaden,14,0,5,12,surname,,Latin,
Natalia,14,14,0,0,given,,Latin,
Nebb,14,0,5,9,surname,,Latin,
Nestås,14,0,14,7,surname,,Latin,
Neta,14,14,0,0,given,,Latin,
Nissim,14,6,2,6,both,,Latin,
Njølstad,14,0,8,7,surname,,Latin,
Norland,14,0,7,10,surname,,Latin,
Norwich,14,0,9,11,surname,,Latin,
Nowell,14,2,11,9,both,,Latin,
Nuña,14,14,0,0,given,,Latin,
O'Brien,14,0,7,13,surname,,Latin,
Octavia,14,14,0,0,given,,Latin,
Oemar,14,14,0,0,given,,Latin,
Ogna,14,0,10,7,surname,,Latin,
Olavsdtr.,14,12,2,0,both,,Latin,
Olette,14,14,0,0,given,,Latin,
Olmedo,14,0,1,13,surname,,Latin,
Omar,14,14,0,0,given,,Latin,
Ophelia,14,14,0,0,given,,Latin,
Oppeln,14,6,8,3,both,,Latin,
Ormachea,14,0,3,14,surname,,Latin,
Oropeza,14,0,13,4,surname,,Latin,
Oseland,14,0,12,7,surname,,Latin,
Othilie,14,14,0,0,given,,Latin,
Othon,14,14,0,0,given,,Latin,
Otterson,14,1,5,10,both,-son,Latin,
Oulman,14,0,6,9,surname,,Latin,
Pahlavuni,14,0,8,14,surname,,Latin,
Paltiel,14,5,0,9,given,,Latin,
Pati,14,11,1,2,both,,Latin,
Pedroso,14,0,6,11,surname,,Latin,
Percival,14,13,0,1,given,,Latin,
Perestrelo,14,1,5,12,both,,Latin,
Perfet,14,5,5,11,both,,Latin,
Perilla,14,0,2,14,surname,,Latin,
Perrot,14,1,10,12,both,,Latin,
Philbrick,14,0,12,11,surname,,Latin,
Phoa,14,0,14,8,surname,,Latin,
Pinaas,14,0,10,9,surname,,Latin,
Pitkin,14,3,4,7,both,,Latin,
Plesse,14,0,9,8,surname,,Latin,
Plummer,14,0,8,9,surname,,Latin,
Porcel,14,0,3,13,surname,,Latin,
Porcius,14,13,0,1,given,,Latin,
Quadratus,14,13,1,0,both,,Latin,
Quevedo,14,0,7,11,surname,,Latin,
Quiroz,14,0,2,14,surname,,Latin,
RAA,14,12,0,2,given,,Latin,
Rakkestad,14,0,4,13,surname,,Latin,
Rambach,14,0,9,13,surname,,Latin,
Randolph,14,12,2,0,both,,Latin,
Rebekah,14,14,0,0,given,,Latin,
Reichel,14,14,0,0,given,,Latin,
Reinertsen,14,7,2,6,both,-sen,Latin,
Revem,14,0,10,8,surname,,Latin,
Rg,14,14,0,0,given,,Latin,
Rhain,14,6,2,9,both,,Latin,
Ringstad,14,1,8,6,both,,Latin,
Rochebaron,14,0,7,14,surname,,Latin,
Roed,14,0,7,13,surname,,Latin,
Romanos,14,14,0,0,given,,Latin,
Roser,14,0,14,0,surname,,Latin,
Roswell,14,14,0,0,given,,Latin,
Ruedin,14,0,4,10,surname,,Latin,
Rébecca,14,14,0,0,given,,Latin,
Rée,14,0,6,11,surname,,Latin,
Rénaud,14,14,0,0,given,,Latin,
Rösel,14,14,0,0,given,,Latin,
SOERIAKOESOEMAH,14,14,0,0,given,,Latin,
SWEETLAND,14,0,14,1,surname,,Latin,
Saartje,14,14,0,0,given,,Latin,
Saboya,14,0,14,2,surname,,Latin,
Sajonia,14,1,4,13,both,,Latin,
Samsonsdtr.,14,14,0,0,given,,Latin,
Sancebrián,14,0,5,14,surname,,Latin,
Sans,14,9,3,5,both,,Latin,
Sant,14,2,9,4,both,,Latin,
Sanwil,14,12,2,0,both,,Latin,
Sarchen,14,14,0,0,given,,Latin,
Say,14,1,9,10,both,,Latin,
Schielderup,14,0,12,12,surname,,Latin,
Schloß,14,0,11,3,surname,,Latin,
Schweinfurt,14,0,11,12,surname,,Latin,
Schönfeld,14,0,6,10,surname,,Latin,
Sem,14,6,2,6,both,,Latin,
Sena,14,5,6,9,both,,Latin,
Severson,14,0,12,5,surname,-son,Latin,
Shishman,14,0,9,10,surname,,Latin,
Shorey,14,0,14,0,surname,,Latin,
Shubael,14,14,0,0,given,,Latin,
Sicilie,14,0,9,13,surname,,Latin,
Sieghard,14,13,2,1,both,,Latin,
Sigbjørnsen,14,13,1,1,both,-sen,Latin,
Silberstein,14,0,10,7,surname,,Latin,
Sletner,14,0,6,12,surname,,Latin,
Slonik,14,1,5,9,both,,Latin,
Soetens,14,0,14,6,surname,,Latin,
Solorzano,14,1,4,13,both,,Latin,
Solórzano,14,0,3,14,surname,,Latin,
Sottomayor,14,0,7,9,surname,,Latin,
Sparrow,14,1,9,11,both,,Latin,
Spitzer,14,0,9,8,surname,,Latin,
Sprintz,14,14,0,0,given,,Latin,
Stedt,14,0,1,14,surname,,Latin,
Steinberg,14,0,6,11,surname,,Latin,
Steinberger,14,0,2,12,surname,,Latin,
Steinvor,14,14,0,0,given,,Latin,
Sternberk,14,0,6,10,surname,,Latin,
Stokkeland,14,0,8,11,surname,,Latin,
Strassburger,14,0,3,12,surname,,Latin,
Sune,14,14,0,0,given,,Latin,
Svale,14,10,1,4,both,,Latin,
Svea,14,14,0,0,given,,Latin,
Sveinsen,14,14,0,0,given,-sen,Latin,
Svennungsen,14,5,7,10,both,-sen,Latin,
Svensvold,14,0,14,0,surname,,Latin,
Sviatoslav,14,14,0,0,given,,Latin,
Swabia,14,0,6,11,surname,,Latin,
Sylvain,14,14,0,0,given,,Latin,
Sylvanus,14,14,0,0,given,,Latin,
Taira平,14,0,12,14,surname,,mixed:Han+Latin,
Tang,14,12,0,2,given,,Latin,
Taralson,14,14,0,0,given,-son,Latin,
Tayloe,14,1,7,11,both,,Latin,
Tazón,14,0,7,9,surname,,Latin,
Teigland,14,0,9,9,surname,,Latin,
Thaddeus,14,14,0,0,given,,Latin,
Thorbjørnsen,14,1,7,9,both,-sen,Latin,
Thorgrim,14,14,0,0,given,,Latin,
Thorkel,14,14,0,0,given,,Latin,
Tigranes,14,14,0,0,given,,Latin,
Tillman,14,1,9,10,both,,Latin,
Timme,14,14,0,0,given,,Latin,
Tjerandsen,14,14,0,0,given,-sen,Latin,
Tjessem,14,0,7,10,surname,,Latin,
Tochter,14,12,2,0,both,,Latin,
Tolley,14,0,13,11,surname,,Latin,
Tonda,14,0,0,14,married-only,,Latin,
Torbern,14,14,0,0,given,,Latin,
Torjusen,14,9,3,5,both,-sen,Latin,
Torleif,14,14,0,0,given,,Latin,
Tosny,14,0,11,8,surname,,Latin,
Treinle,14,14,0,0,given,,Latin,
Trondsson,14,6,3,7,both,-sson,Latin,
Tuesen,14,11,2,3,both,-sen,Latin,
Turks,14,1,4,13,both,,Latin,
Tøgersdatter,14,6,7,1,both,-sdatter,Latin,
Tøres,14,14,0,0,given,,Latin,
Tøtland,14,0,9,11,surname,,Latin,
Tübingen,14,0,5,13,surname,,Latin,
Valcárcel,14,0,8,10,surname,,Latin,
Valente,14,0,4,14,surname,,Latin,
Valli,14,1,12,11,both,,Latin,
Vasa,14,1,10,9,both,,Latin,
Vaulus,14,3,9,3,both,,Latin,
Veneur,14,0,10,10,surname,,Latin,
Vibius,14,12,1,2,both,,Latin,
Viking,14,14,0,0,given,,Latin,
Villareal,14,2,9,4,both,,Latin,
Vll,14,14,0,0,given,,Latin,
Vose,14,0,11,8,surname,,Latin,
Væbner,14,1,6,12,both,,Latin,
WORMS,14,0,14,0,surname,,Latin,
Wah,14,14,0,0,given,,Latin,
Wallerand,14,14,0,0,given,,Latin,
Walram,14,14,0,0,given,,Latin,
Walton,14,2,7,10,both,,Latin,
Walvisch,14,0,11,11,surname,,Latin,
Warin,14,8,3,3,both,,Latin,
Wauthier,14,14,0,0,given,,Latin,
Weeden,14,0,13,10,surname,,Latin,
Winston,14,4,10,8,both,,Latin,
Woods,14,1,7,9,both,,Latin,
Xi,14,14,0,0,given,,Latin,
Yang,14,12,1,1,both,,Latin,
Yeshaya,14,14,0,0,given,,Latin,
Yisroel,14,14,0,0,given,,Latin,
Yitzhaq,14,5,0,9,given,,Latin,
Ysidro,14,14,0,0,given,,Latin,
Yáng,14,11,1,2,both,,Latin,
Zhì,14,14,0,0,given,,Latin,
Zimmern,14,0,6,12,surname,,Latin,
adipati,14,14,0,0,given,,Latin,
al-Muradi,14,0,14,14,surname,,Latin,
b.,14,14,0,0,given,,Latin,
d'Aubeterre,14,1,10,9,both,,Latin,
d'Aure,14,0,8,14,surname,,Latin,
d'Auvergne-Bouillon,14,0,9,13,surname,,Latin,
d'Empúries,14,0,6,13,surname,,Latin,
d'Halluin,14,0,8,6,surname,,Latin,
dei,14,2,7,10,both,,Latin,
ir,14,1,10,3,both,,Latin,
khan,14,6,0,8,given,,Latin,
Árpád(házi),14,0,9,6,surname,,Latin,
Åmli,14,0,8,12,surname,,Latin,
Þorgils,14,14,0,0,given,,Latin,
Андреевна,14,14,0,0,given,,Cyrillic,
Борджигины,14,0,14,0,surname,,Cyrillic,
Владимировна,14,13,1,1,both,,Cyrillic,
Всеволодовна,14,14,0,0,given,,Cyrillic,
Елизавета,14,14,0,0,given,,Cyrillic,
Зернов,14,0,14,11,surname,,Cyrillic,
Комнина,14,0,12,2,surname,,Cyrillic,
Курбский,14,0,14,2,surname,,Cyrillic,
Ольга,14,14,0,0,given,,Cyrillic,
Палеолог,14,2,11,3,both,,Cyrillic,
Романова,14,0,11,5,surname,,Cyrillic,
Телятевский,14,0,13,14,surname,,Cyrillic,
Чириков,14,0,14,5,surname,,Cyrillic,
Юрьевна,14,13,1,0,both,,Cyrillic,
ибн,14,1,13,5,both,,Cyrillic,
איסרליש,14,1,9,4,both,,Hebrew,
בצלאל,14,10,4,0,both,,Hebrew,
בתו,14,7,7,0,both,,Hebrew,
החשמונאי,14,2,12,1,both,,Hebrew,
יקותיאל,14,14,0,0,given,,Hebrew,
כ״ץ,14,2,11,1,both,,Hebrew,
סימון,14,7,5,3,both,,Hebrew,
פולק,14,0,10,4,surname,,Hebrew,
שטרן,14,0,11,4,surname,,Hebrew,
שכנא,14,4,11,1,both,,Hebrew,
שלום,14,14,0,0,given,,Hebrew,
שמשון,14,13,1,0,both,,Hebrew,
الأخيضري,14,0,14,1,surname,,Arabic,
التميمي,14,0,14,7,surname,,Arabic,
الجالوت,14,12,12,1,both,,Arabic,
الجمحي,14,0,14,12,surname,,Arabic,
الحكم,14,11,3,0,both,,Arabic,
الهلالي,14,0,14,12,surname,,Arabic,
رأس,14,12,12,1,both,,Arabic,
سعيد,14,14,0,0,given,,Arabic,
وهب,14,13,1,0,both,,Arabic,
万里小路,14,0,9,14,surname,,Han,
中院,14,0,14,13,surname,,Han,
倫,14,13,1,0,both,,Han,
卓,14,5,7,8,both,,Han,
固,14,13,0,1,given,,Han,
宣州宣城,14,0,14,0,surname,,Han,
小月山,14,0,14,14,surname,,Han,
廬州合肥,14,0,14,0,surname,,Han,
彭,14,4,6,8,both,,Han,
徽,14,14,0,0,given,,Han,
恆,14,14,0,0,given,,Han,
恕,14,14,0,0,given,,Han,
恬,14,14,0,0,given,,Han,
恭,14,14,0,0,given,,Han,
愿,14,14,0,0,given,,Han,
慶,14,14,0,0,given,,Han,
日下部,14,0,14,14,surname,,Han,
春日,14,2,9,12,both,,Han,
朽木,14,0,13,14,surname,,Han,
村井,14,0,13,14,surname,,Han,
榊原,14,0,13,13,surname,,Han,
汝南安成,14,0,14,0,surname,,Han,
濟陽考城,14,0,14,0,surname,,Han,
盛,14,10,2,4,both,,Han,
直,14,14,0,0,given,,Han,
県犬養,14,1,11,13,both,,Han,
福島,14,0,3,14,surname,,Han,
端,14,14,0,0,given,,Han,
繹,14,14,0,0,given,,Han,
續,14,14,0,0,given,,Han,
良,14,12,0,2,given,,Han,
衍,14,14,0,0,given,,Han,
裕,14,13,0,1,given,,Han,
襄,14,14,0,0,given,,Han,
詵,14,14,0,0,given,,Han,
諶,14,14,0,0,given,,Han,
謙,14,14,0,0,given,,Han,
赤松,14,2,11,11,both,,Han,
越智,14,0,14,14,surname,,Han,
述,14,14,0,0,given,,Han,
鈞,14,14,0,0,given,,Han,
錫,14,12,0,2,given,,Han,
鎮,14,13,0,1,given,,Han,
關,14,1,3,10,both,,Han,
青州益都,14,0,14,0,surname,,Han,
韶,14,14,0,0,given,,Han,
천,14,14,0,0,given,,Hangul,
효,14,13,0,1,given,,Hangul,
'Isa,13,7,6,6,both,,Latin,
(1st,13,12,0,1,given,,Latin,
(2nd,13,12,0,1,given,,Latin,
(King),13,0,1,12,surname,,Latin,
(Ratu,13,12,0,1,given,,Latin,
..,13,5,7,1,both,,none,
20,13,11,1,1,both,,none,
32,13,4,7,2,both,,none,
5.,13,13,0,0,given,,none,
ABD,13,4,6,3,both,,Latin,
Abkhazia,13,3,4,10,both,,Latin,
Acilius,13,8,5,5,both,,Latin,
Adarnase,13,13,0,0,given,,Latin,
Adelia,13,13,0,0,given,,Latin,
Aed,13,7,4,6,both,,Latin,
Af,13,5,2,6,both,,Latin,
Agrippina,13,13,0,0,given,,Latin,
Al-Abshami,13,0,4,13,surname,,Latin,
Al-Hilali,13,0,11,11,surname,,Latin,
Al-Mudari,13,0,7,13,surname,,Latin,
Al-Nashiri,13,0,0,13,married-only,,Latin,
Al-Shafi'i,13,0,10,13,surname,,Latin,
Alderton,13,2,6,8,both,,Latin,
Alexandrovich,13,13,0,0,given,-ovich,Latin,
Almendras,13,0,1,12,surname,,Latin,
Almodis,13,13,0,0,given,,Latin,
Alsaker,13,0,1,12,surname,,Latin,
Alves,13,2,2,10,both,,Latin,
Amado,13,3,1,10,both,,Latin,
Amelunxen,13,0,2,13,surname,,Latin,
Anan,13,7,1,5,both,,Latin,
Andre,13,13,0,0,given,,Latin,
Anthon,13,13,0,0,given,,Latin,
Aranda,13,0,10,7,surname,,Latin,
Arbildo,13,0,0,13,married-only,,Latin,
Austrheim,13,0,10,4,surname,,Latin,
Baardsdatter,13,6,6,4,both,-sdatter,Latin,
Baardsen,13,4,6,8,both,-sen,Latin,
Babet,13,13,0,0,given,,Latin,
Baby,13,13,0,0,given,,Latin,
Bache,13,1,10,11,both,,Latin,
Bacqueville,13,0,2,13,surname,,Latin,
Balaguier,13,0,5,11,surname,,Latin,
Balthes,13,5,4,5,both,,Latin,
Bardaxi,13,0,12,13,surname,,Latin,
Barney,13,5,6,4,both,,Latin,
Baruch-Halle,13,0,10,11,surname,,Latin,
Barukh,13,5,2,6,both,,Latin,
Bazyli,13,13,0,0,given,,Latin,
Bec,13,1,6,8,both,,Latin,
Beebe,13,1,10,10,both,,Latin,
Begga,13,13,0,0,given,,Latin,
Bejle,13,13,0,0,given,,Latin,
Benedicte,13,13,0,0,given,,Latin,
Berardi,13,0,1,12,surname,,Latin,
Bergit,13,13,0,0,given,,Latin,
Bergliot,13,13,0,0,given,,Latin,
Bertrande,13,13,0,0,given,,Latin,
Bethune,13,0,10,8,surname,,Latin,
Bianca,13,13,0,0,given,,Latin,
Bischoffsheim,13,0,6,7,surname,,Latin,
Blanchard,13,1,6,8,both,,Latin,
Blandine,13,13,0,0,given,,Latin,
Bluemlein,13,0,6,9,surname,,Latin,
Blume,13,6,2,5,both,,Latin,
Bobadilla,13,0,6,13,surname,,Latin,
Bodenheimer,13,0,8,8,surname,,Latin,
Bolea,13,0,6,12,surname,,Latin,
Bona,13,13,0,0,given,,Latin,
Botes,13,0,9,8,surname,,Latin,
Bran,13,8,3,5,both,,Latin,
Brandon,13,1,10,5,both,,Latin,
Bredholt,13,0,7,7,surname,,Latin,
Breivik,13,0,9,8,surname,,Latin,
Brenne,13,1,7,12,both,,Latin,
Brereton,13,0,10,7,surname,,Latin,
Bråtun,13,0,9,12,surname,,Latin,
Burgund,13,0,5,9,surname,,Latin,
Burroughs,13,0,12,9,surname,,Latin,
Butts,13,0,9,10,surname,,Latin,
Buyid,13,0,1,12,surname,,Latin,
CASTRO,13,0,12,2,surname,,Latin,
CLAN,13,0,0,13,married-only,,Latin,
Campofrío,13,0,6,11,surname,,Latin,
Candida,13,13,0,0,given,,Latin,
Carew,13,1,10,11,both,,Latin,
Carne,13,3,3,7,both,,Latin,
Carrera,13,0,3,13,surname,,Latin,
Carrión,13,1,9,5,both,,Latin,
Cars,13,0,13,10,surname,,Latin,
Casper,13,7,2,6,both,,Latin,
Castelpers,13,0,11,11,surname,,Latin,
Castile,13,0,10,9,surname,,Latin,
Cathrina,13,13,0,0,given,,Latin,
Cernyn,13,0,2,13,surname,,Latin,
Cervelló,13,0,9,13,surname,,Latin,
Chabannes,13,0,12,11,surname,,Latin,
Chadwick,13,3,9,8,both,,Latin,
Chalencon,13,0,10,9,surname,,Latin,
Chalons,13,0,9,10,surname,,Latin,
Chartres,13,0,7,11,surname,,Latin,
Chavarriaga,13,0,13,5,surname,,Latin,
Cheinnselaig,13,0,12,12,surname,,Latin,
Chief,13,12,0,1,given,,Latin,
Chim,13,13,0,0,given,,Latin,
Chiu,13,7,3,3,both,,Latin,
Clawson,13,0,13,3,surname,-son,Latin,
Clementia,13,13,0,0,given,,Latin,
Coale,13,0,9,6,surname,,Latin,
Colembert,13,0,5,9,surname,,Latin,
Columbus,13,12,1,0,both,,Latin,
Conall,13,12,0,1,given,,Latin,
Cotys,13,13,0,0,given,,Latin,
Criechingen,13,0,7,8,surname,,Latin,
Crispo,13,0,9,6,surname,,Latin,
Cummings,13,4,7,5,both,,Latin,
Cyrne,13,0,3,13,surname,,Latin,
Cápac,13,7,1,5,both,,Latin,
Cénaret,13,0,9,13,surname,,Latin,
DES,13,7,1,6,both,,Latin,
DHARMA,13,11,0,2,given,,Latin,
Dabuyid,13,0,2,12,surname,,Latin,
Dacre,13,0,10,8,surname,,Latin,
Dalriada,13,0,1,13,surname,,Latin,
Dan,13,9,2,2,both,,Latin,
Dassel,13,0,7,10,surname,,Latin,
Datuk,13,11,0,2,given,,Latin,
Daube,13,1,5,10,both,,Latin,
Dawid,13,13,0,0,given,,Latin,
Dawit,13,10,0,3,given,,Latin,
Desconocida,13,13,0,0,given,,Latin,
Diogenes,13,4,7,8,both,,Latin,
Doria,13,1,8,9,both,,Latin,
Dukaina,13,2,1,11,both,,Latin,
Dyddgu,13,13,0,0,given,,Latin,
Efell,13,2,7,11,both,,Latin,
Egito,13,1,12,12,both,,Latin,
Egloffstein,13,0,4,9,surname,,Latin,
Eidel,13,13,0,0,given,,Latin,
Eikanes,13,0,8,5,surname,,Latin,
Elisabetha,13,13,0,0,given,,Latin,
Elje,13,4,6,6,both,,Latin,
Ellissen,13,0,4,10,surname,-ssen,Latin,
Elsebeth,13,13,0,0,given,,Latin,
Emanuele,13,13,0,0,given,,Latin,
Emmy,13,13,0,0,given,,Latin,
Engelson,13,13,0,0,given,-son,Latin,
Erlanger,13,0,8,12,surname,,Latin,
Ermessenda,13,13,0,0,given,,Latin,
Escoto,13,0,12,6,surname,,Latin,
Eveline,13,13,0,0,given,,Latin,
FNU,13,13,0,0,given,,Latin,
Fakhr,13,12,0,1,given,,Latin,
Fanni,13,13,0,0,given,,Latin,
Fay,13,10,3,3,both,,Latin,
Feria,13,1,11,11,both,,Latin,
Fiodoras,13,13,0,0,given,,Latin,
Flainn,13,2,6,11,both,,Latin,
Flårenden,13,0,6,7,surname,,Latin,
Forbes,13,3,6,7,both,,Latin,
Forjaz,13,2,6,9,both,,Latin,
Fortúnez,13,0,7,13,surname,,Latin,
Fossan,13,1,8,4,both,,Latin,
Fougères,13,0,12,9,surname,,Latin,
Frantz,13,13,0,0,given,,Latin,
Friederich,13,13,0,0,given,,Latin,
Futrell,13,0,10,5,surname,,Latin,
GARCIA,13,0,5,8,surname,,Latin,
GBPH,13,13,0,0,given,,Latin,
Garay,13,0,7,13,surname,,Latin,
Gardsson,13,0,3,11,surname,-sson,Latin,
Garman,13,13,0,0,given,,Latin,
Garnier,13,13,0,0,given,,Latin,
Gavilan,13,0,13,0,surname,,Latin,
Gaya,13,0,0,13,married-only,,Latin,
Gediminds,13,0,13,0,surname,,Latin,
Geir,13,13,0,0,given,,Latin,
Gelche,13,13,0,0,given,,Latin,
Gennäs,13,0,9,8,surname,,Latin,
Geraint,13,5,5,8,both,,Latin,
Gero,13,7,0,6,given,,Latin,
Gershom,13,11,0,2,given,,Latin,
Ghanam,13,13,0,0,given,,Latin,
Gidley,13,0,12,4,surname,,Latin,
Gilja,13,0,9,9,surname,,Latin,
Gimbel,13,0,5,11,surname,,Latin,
Giselbert,13,13,0,0,given,,Latin,
Giustinian,13,0,0,13,married-only,,Latin,
Gjermundsdatter,13,12,1,1,both,-sdatter,Latin,
Gjermundson,13,13,1,1,both,-son,Latin,
Glasscock,13,2,7,5,both,,Latin,
Glauberg,13,0,11,4,surname,,Latin,
Gleiberg,13,0,7,12,surname,,Latin,
Gloff,13,6,4,7,both,,Latin,
Gnendel,13,12,0,1,given,,Latin,
Godefroy,13,13,0,0,given,,Latin,
Goffredo,13,13,0,0,given,,Latin,
Gotzow,13,0,7,7,surname,,Latin,
Grado,13,0,5,13,surname,,Latin,
Gram,13,2,7,7,both,,Latin,
Grand,13,6,5,2,both,,Latin,
Gregersen,13,7,2,5,both,-sen,Latin,
Greiz,13,1,6,12,both,,Latin,
Griego,13,1,12,12,both,,Latin,
Grosser,13,0,5,8,surname,,Latin,
Grovane,13,0,8,5,surname,,Latin,
Gudmundson,13,9,3,4,both,-son,Latin,
Gulleikson,13,13,0,0,given,-son,Latin,
Gumprecht,13,11,1,1,both,,Latin,
Gutierres,13,1,4,9,both,,Latin,
Gwyddno,13,5,7,8,both,,Latin,
Gyrstinge,13,0,9,13,surname,,Latin,
Haguenau,13,1,7,8,both,,Latin,
Hakastad,13,0,3,12,surname,,Latin,
Haldorson,13,12,0,1,given,-son,Latin,
Hammant,13,0,12,2,surname,,Latin,
Hammock,13,0,11,12,surname,,Latin,
Haraldsdotter,13,5,8,6,both,-sdotter,Latin,
Hartogs,13,0,6,9,surname,,Latin,
Hartshorn,13,0,11,6,surname,,Latin,
Hatun,13,11,0,2,given,,Latin,
Hedwige,13,13,0,0,given,,Latin,
Helgadóttir,13,0,8,13,surname,-dóttir,Latin,
Helje,13,13,0,0,given,,Latin,
Heller-Wallerstein,13,0,5,9,surname,,Latin,
Hendrich,13,13,0,0,given,,Latin,
Heribert,13,13,0,0,given,,Latin,
Herluf,13,13,0,0,given,,Latin,
Herod,13,12,1,0,both,,Latin,
Hersh,13,13,0,0,given,,Latin,
Herzheim,13,0,6,7,surname,,Latin,
Higgins,13,6,6,2,both,,Latin,
Hildugard,13,1,6,11,both,,Latin,
Hisdai,13,4,3,7,both,,Latin,
Hock,13,12,0,1,given,,Latin,
Hohenlohe-Neuenstein,13,0,2,12,surname,,Latin,
Horne,13,0,11,8,surname,,Latin,
Horsford,13,0,9,11,surname,,Latin,
Hortensia,13,13,0,0,given,,Latin,
Huns,13,2,4,9,both,,Latin,
Hvalimirović,13,0,4,9,surname,,Latin,
Híjar,13,0,7,11,surname,,Latin,
Høiland,13,0,6,9,surname,,Latin,
IGNACIO,13,13,0,0,given,,Latin,
Ichabod,13,13,0,0,given,,Latin,
Idland,13,0,4,10,surname,,Latin,
Ikdal,13,0,11,3,surname,,Latin,
Ingeleiv,13,13,0,0,given,,Latin,
Ingersoll,13,0,10,10,surname,,Latin,
Irving,13,12,0,1,given,,Latin,
Islam,13,12,0,1,given,,Latin,
Issac,13,13,0,0,given,,Latin,
Ivarsdotter,13,11,2,1,both,-sdotter,Latin,
Izabel,13,13,0,0,given,,Latin,
Jafar,13,12,1,1,both,,Latin,
Jameson,13,0,12,7,surname,-son,Latin,
Jarl,13,9,1,4,both,,Latin,
Jenkyn,13,3,9,2,both,,Latin,
Jenson,13,6,1,7,both,-son,Latin,
"Jeune""",13,13,0,0,given,,Latin,
Jo,13,6,6,1,both,,Latin,
Jochum,13,13,0,0,given,,Latin,
Josel,13,12,0,1,given,,Latin,
Julianna,13,13,0,0,given,,Latin,
Jullus,13,13,0,0,given,,Latin,
Jungreisz,13,0,9,6,surname,,Latin,
Jurijus,13,13,0,0,given,,Latin,
Jörgen,13,13,0,0,given,,Latin,
KOESOEMADILAGA,13,12,0,1,given,,Latin,
Kamp,13,0,11,7,surname,,Latin,
Karna,13,0,0,13,married-only,,Latin,
Kaspara,13,13,0,0,given,,Latin,
Katalin,13,13,0,0,given,,Latin,
Kathrine,13,13,0,0,given,,Latin,
Kazimieras,13,13,0,0,given,,Latin,
Keillé,13,13,0,0,given,,Latin,
Kendel,13,13,0,0,given,,Latin,
Kijevo,13,0,13,0,surname,,Latin,
Kitzinger,13,0,9,12,surname,,Latin,
Kjeld,13,13,0,0,given,,Latin,
Klumb,13,0,5,12,surname,,Latin,
Knendle,13,13,0,0,given,,Latin,
Knina,13,0,6,10,surname,,Latin,
Kornitzer,13,0,8,10,surname,,Latin,
Kosasih,13,13,0,0,given,,Latin,
Kostrowicki,13,0,7,12,surname,,Latin,
Kracauer,13,0,6,11,surname,,Latin,
Kyllevik,13,0,11,7,surname,,Latin,
Laaby,13,0,4,10,surname,,Latin,
Lamia,13,6,6,6,both,,Latin,
Laon,13,0,7,11,surname,,Latin,
Lavina,13,13,0,0,given,,Latin,
Lay,13,2,11,1,both,,Latin,
Lefeber,13,0,7,9,surname,,Latin,
Lemvig,13,1,4,10,both,,Latin,
Leonore,13,13,0,0,given,,Latin,
Lia,13,4,3,7,both,,Latin,
Lippe-Brake,13,0,0,13,married-only,,Latin,
Little,13,2,5,8,both,,Latin,
Liutgard,13,12,0,1,given,,Latin,
Loans,13,0,6,11,surname,,Latin,
Lobkowicz,13,0,8,5,surname,,Latin,
Longford,13,0,5,10,surname,,Latin,
Lujan,13,0,6,11,surname,,Latin,
Lukas,13,13,0,0,given,,Latin,
Luke,13,13,0,0,given,,Latin,
Lwow,13,0,4,12,surname,,Latin,
Lämel,13,0,8,7,surname,,Latin,
Löwenberg,13,0,9,6,surname,,Latin,
Magdela,13,13,0,0,given,,Latin,
Manat,13,8,5,5,both,,Latin,
Mans,13,1,1,11,both,,Latin,
Marcelina,13,13,0,0,given,,Latin,
Marcillac,13,3,7,4,both,,Latin,
Marentius,13,13,0,0,given,,Latin,
Marite,13,13,0,0,given,,Latin,
Matanza,13,0,2,13,surname,,Latin,
Mattox,13,0,11,10,surname,,Latin,
Mayence,13,0,10,8,surname,,Latin,
Melgosa,13,0,2,11,surname,,Latin,
Melguèlh,13,0,3,13,surname,,Latin,
Menahem,13,13,0,0,given,,Latin,
Menko,13,9,3,2,both,,Latin,
Merfyn,13,4,6,9,both,,Latin,
Michailovičius,13,13,0,0,given,,Latin,
Middleton,13,1,5,10,both,,Latin,
Mikaelsson,13,6,3,6,both,-sson,Latin,
Mikalojus,13,13,0,0,given,,Latin,
Mimi,13,13,0,0,given,,Latin,
Mirel,13,13,0,0,given,,Latin,
Monsdotter,13,10,3,2,both,-sdotter,Latin,
Montbéliard,13,0,6,12,surname,,Latin,
Moreira,13,1,6,10,both,,Latin,
Moros,13,0,12,1,surname,,Latin,
Morvilliers,13,0,7,9,surname,,Latin,
Moseley,13,1,6,8,both,,Latin,
Mountjoy,13,1,10,4,both,,Latin,
Muller,13,1,2,11,both,,Latin,
Munchensy,13,0,11,11,surname,,Latin,
