round	geni_id	qid	band	ours	theirs	our_parents	their_parents	comparable_slots	slots_agreeing
2	6000000017688131522	Q76186464	PARENTS-ONE-SIDE	Adriana van Swieten van Zwieten	Adriana van Swieten	0	2	0	0
2	6000000017689802016	Q130634635	BOTH-PARENTS-AGREE	Johan van Wassenaer	Jan van Wassenaer, Heer van Hazerswoude, Oud Teylingen, Warmond	2	2	2	2
2	6000000017715909206	Q109807691	BOTH-PARENTS-AGREE	Nicolaas van Assendelft	Claes van Assendelft	2	2	2	2
2	6000000017744601169	Q110731345	NO-PARENTS	Maria Pieter Weynendr	Maria Pieter Weynendr. gezegd Bam	0	0	0	0
2	6000000017762457595	Q75886187	NO-PARENTS	Guillaume I de Tinieres Seigneur de La Roche-Marchelin	Guillaume de Tinieres, Seigneur de Tinieres	0	0	0	0
2	6000000017767255532	Q4104417	BOTH-PARENTS-AGREE	Vasily Vasilyevich of Yaroslavl	Prince Vasily Vasilyevich of Yaroslavl	2	2	2	2
2	6000000017767295503	Q4195563	ONE-PARENT-AGREE	Ioann Vasilyevich of Yaroslavl	Ivan Vasilyevich of Yaroslavl	1	1	1	1
2	6000000017814070359	Q2029985	ONE-PARENT-DISAGREE	Geertruida Maria Diemont	Ida Oyens	2	1	1	0
2	6000000017820681457	Q122352368	NO-PARENTS	Hieronymus Sandelijn	Jeronimus Sandelijn, Heer van Herenthout, Herlaer en Wickevorst	0	0	0	0
2	6000000017822212395	Q122352369	PARENTS-ONE-SIDE	Catharina van de Werve	Catharina van de Werve	2	0	0	0
2	6000000017842743960	Q111998453	PARENTS-ONE-SIDE	Lodewijk de Bas	Lodewijk de Bas Janszn.	2	0	0	0
2	6000000017843253630	Q111998455	PARENTS-ONE-SIDE	Magdalena van der Bruggen	Magdalena van der Bruggen, Jeronimusdr.	2	0	0	0
2	6000000017848667619	Q110556884	PARENTS-ONE-SIDE	Anna Cirksena	Aleid van Bemmel	1	0	0	0
2	6000000017855804211	Q62659600	BOTH-PARENTS-AGREE	William Crichton	William Crichton, 5th Lord Crichton of Sanquhar	2	2	2	2
2	6000000017898042531	Q53917237	NAMES-CONFLICT	Daniel Hooft	Jan Six III	2	2	2	0
2	6000000017898123377	Q76243029	PARENTS-ONE-SIDE	Aletta Elias	Suzanne Catharina Bors van Waveren	0	2	0	0
2	6000000017990302129	Q6390865	PARENTS-ONE-SIDE	Kenneth Sutherland 4rd Earl of Sutherland	Kenneth de Moravia, 4th Earl of Sutherland	0	2	0	0
2	6000000018094340345	Q3713729	BOTH-PARENTS-AGREE	Donato Acciaioli barone di Cassano e del Castagno	Donato Acciaiuoli di Cassano	2	2	2	2
2	6000000018138773675	Q100436193	BOTH-PARENTS-AGREE	Maria Rodríguez de Guzmán	Maria Rodriguez de Guzman	2	2	2	2
2	6000000018143459868	Q110370381	NAMES-CONFLICT	Anne Isabelle de La Roüe	Anne de La Roue	2	2	2	0
2	6000000018144159827	Q110370378	BOTH-PARENTS-AGREE	Antoine de Vissac	Antoine de Vissac, Seigneur de Vissac et Arlene	2	2	2	2
2	6000000018161371121	Q129092315	BOTH-PARENTS-AGREE	Restaino Gioacchino di Tocco Cantelmo Stuart	Restaino di Tocco Cantelmo Stuart, Conte di Montaperto, Principe di Acaja	2	2	2	2
2	6000000018163186604	Q109335273	PARENTS-ONE-SIDE	Teresa Carafa contessa di Policastro	Donna Teresa Carafa, Contessa di Policatro, Duchessa di Forli	0	2	0	0
2	6000000018163196111	Q129092460	BOTH-PARENTS-AGREE	Maria Antonia Carafa Cantelmo Stuart	Principessa Marcantonia Carafa della Spina dei Principi di Roccella	2	2	2	2
2	6000000018170924679	Q131447145	BOTH-PARENTS-AGREE	Maria Maddalena d'Aquino	Maria Maddalena d'Aquino di Palena, dei Principi di Caramanico	2	2	2	2
2	6000000018179867783	Q131447129	BOTH-PARENTS-AGREE	Placido Dentice III. Principe di Frasso	Don Placido, Conte Dentice, 3.Principe di Frasso	2	2	2	2
