geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
5675034716440048937	Yosef Dov Soloveitchik, Beis Halevi	Q1973117	Q1973117	child	Yitzchok Zeev Soloveitchik	M	soloveitchik yitzchok zeev
6000000000003489110	Caroline Amelia Napier	Q75349266	Q75349266	sibling	Louisa Amelia Fox	F	edward fox francis henry napier patrick william
6000000000007941266		Q103813449	Henry Whitfield Guinness	child	Gershom Whitfield Guinness	M	gershom guinness whitfield
6000000000034930234	Elvira Pérez de Lara	Q99838833	Q99838833	sibling	Fernán Pérez de Lara señor de Escarrona	F	lara perez
6000000000036600778	Karl-Eugen von Württemburg	Q75391072	Q75391072	child	Vera Constantinovna Romanova of Russia Großherzogin zu Württemberg	M	
6000000000044016561		Q2900643	Q2900643	child	Konstantin Aleksandrovich Bagration-Moukhransky	M	
6000000000051590847	Friedrich von Hessen Kassel Prince	Q75385619	Q75385619	child	Wilhelmine Karoline af Danmark og Norge von Oldenburg Kurfürstin zu Hessen	M	
6000000000053671941	Elisabeth Helene Adelheid Marie Duken	Q75391369	Q75391369	child	Ernst Bernhard Viktor Georg Af von Sachsen-Meiningen	F	ernst
6000000000080577207	Dag Trotzig	Q117014251	Peter Trotzig	child	Karl Emanuel Trotzig	M	karl trotzig
6000000000102221997		Q76114597	Q76114597	child	Francesco Lante Della Rovere	M	
6000000000102434395		Q76114600	Q76114600	child	Francesco Lante Della Rovere	F	
6000000000112124972	Mahaut de Béthune	Q113950246	Mathilde de Béthune	child	Clémence de Lens d'Oisy	F	clemence doisy
6000000000112354830	Kiya Tadukhepa Meryamon	Q1157024	Daduhepa	child	Tushratta	F	
6000000000129400267	François Honoré Grimaldi	Q3084863	Q3084863	child	Lodovico Grimaldi duc de Valentinois	M	antonio
6000000000129400285	Margaretha Camilla Grimaldi	Q55598538	Marie-Pelline Grimaldi	sibling	Luisa Ippòlita Grimaldi princesse de Mónaco	F	antonio grimaldi lorraine marie monaco
6000000000130301067	David Ross	Q135231960	Aeneas Ross	child	George Aeneas Ross, M.A.	M	
6000000000144439325	Knut Theodor Pipping	Q103893723	Knut Theodor Pipping	child	Fredrik Wilhelm Pipping	M	
6000000000152777778	Thomas Harald Clayhills	Q11850936	Allan Clayhills	child	Thomas Wilhelm Clayhills	M	clayhills thomas
6000000000167518453	Gerard de Furnival	Q76298202	Q76298202	child	Thomas III de Furnival	M	thomas
6000000000171047466	Ragnar Thiel	Q6207679	Tage Thiel	child	Ernest Jacques Thiel	M	ernest thiel
6000000000172371403	Robert de Sancerre sgr de Menetou-Salon, Soësmes et Nonancourt	Q977689	Q977689	child	Blanche de Courtenay	M	
6000000000193253172	Godo Arnaldes de Baião	Q10290325	Godinho Viegas de Baião	sibling	Gosendo Arnaldes	M	baio godins
6000000000203718618	Hermana Moctezuma Xocoyotzin	Q113133195	Xocotzin	sibling	Moctezuma II Xocoyotzin 9no Tlatoani de Tenochtitlan	F	moctezuma
6000000000211278843	Anton II von Aldenburg Graf	Q9156339	Q9156339	child	Charlotte Emilie de La Trémoille	M	
6000000000223306145	"James ""Jacobus"" Westerfield"	Q96817295	Q96817295	child	Jacobus Westerfield	M	
6000000000229601766	John Sutton VIII	Q76005021	Q76005021	child	John Sutton VII	M	john
6000000000231483122	Petrus Rudbeckius	Q6082492	Petrus Rudbeckius	sibling	Johannes Johannis Rudbeckius Sr.	M	
6000000000250401321	Jacques Denys	Q64401030	Joseph Denis	sibling	Simon-Pierre Denys de Bonaventure	M	
6000000000255131804		Q1065434	Nailea Norvind	child	Eva Norvind	F	eva norvind
6000000000276150397	Helen Towneley	Q75494785	Q75494785	child	Thomas Hesketh	F	
6000000000276836493	Francisco Martín de Alcántara	Q3081893	Q3081893	sibling	Francisco Pizarro González I marqués de los Atavillos, Conquistador del Perú	M	francisco pizarro
6000000000297207904	Tengku Abdur Rahman ibni Sultan Abdul Jalil Riayat Shah	Q7636610	Q7636610	child	Che Tengah Nusamah Acheh Dato Mamajit-Acheh	M	
6000000000299890667		Q75371157	Q75371157	child	Venceslao Spalletti Trivelli Conte	F	
