qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q21447979,Q101352,Zwicky,Zwicky,,,,,,,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky,Zwicky
Q21448139,Q101352,Kerins,Kerins,,,,,,,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins,Kerins
Q21448155,Q101352,Kirst,Kirst,,,,,,Кирст,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst,Kirst
Q21448539,Q101352,Agius,Agius,,,,,,,Agius,Agius,Agius,Agius,Agius,Agius,Agius,Agius,Agius,Agius,Agius
Q21448555,Q101352,坂本,Sakamoto,坂本,坂本,,ساكاموتو,,Сакамото,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto,Sakamoto
Q21448587,Q101352,Adão,Adão,,,,,,,Adão,Adão,Adão,Adão,Adão,Adão,Adão,Adão,Adão,Adão,Adão
Q21448603,Q101352,Bordoni,Bordoni,,博多尼,,,,Бордони,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni,Bordoni
Q21448715,Q101352,Tufte,Tufte,トゥフテ,,,,,,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte,Tufte
Q21448731,Q101352,Mujica,Mujica,ムヒカ,穆希卡,,موخيكا,,Мухика,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica,Mujica
Q21448747,Q101352,Shapiro,Shapiro,シャピロ,夏皮罗,,شابيرو,שפירו,Шапиро,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro,Shapiro
Q21448843,Q101352,Michels,Michels,ミッチェルズ,米歇尔斯,,,מיכלס,,Michels,Michels,Michels,Michels,Michels,Michels,Michels,Michels,Michels,Michels,Michels
Q21448875,Q101352,,Wallenstein,,华伦斯坦,,,,Валленштейн,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein,Wallenstein
Q21448891,Q101352,,Morel,モレル,莫雷尔,,موريل,,,Morel,Morel,Morel,Morel,Morel,Morel,Morel,Morel,Morel,Morel,Morel
Q21448907,Q101352,Timberlake,Timberlake,,廷伯莱克,,,טימברלייק,Тимберлейк,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake,Timberlake
Q21448939,Q101352,Schering,Schering,シェーリング,,,,,Шеринг,Schering,Schering,Schering,Schering,Schering,Schering,Schering,Schering,Schering,Schering,Schering
Q21448955,Q101352,Stiller,Stiller,スティラー,斯蒂勒,,ستيلر,סטילר,Стиллер,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller,Stiller
Q21448971,Q101352,Morello,Morello,モレロ,莫雷洛,,,,Морелло,Morello,Morello,Morello,Morello,Morello,Morello,Morello,Morello,Morello,Morello,Morello
Q21448987,Q101352,Adamo,Adamo,アダモ,Adamo,,,,Адамо,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo,Adamo
Q21449003,Q101352,,Zacconi,,扎科尼,,,,,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi,Zacconi
Q21449019,Q101352,Marrs,Marrs,マーズ,,,,,,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs,Marrs
Q21449035,Q101352,Lotarjow,Lotarjow,,,,,,Лотарёв,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow,Lotarjow
Q21449067,Q101352,Picken,Picken,,,,,,,Picken,Picken,Picken,Picken,Picken,Picken,Picken,Picken,Picken,Picken,Picken
Q21449083,Q101352,Naito,Naito,,內藤,,نايتو,,Найто,Naito,Naito,Naito,Naito,Naito,Naito,Naito,Naito,Naito,Naito,Naito
Q21449099,Q101352,Lenel,Lenel,,,,,,,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel,Lenel
Q21449115,Q101352,Kott,Kott,コット,,,,,Котт,Kott,Kott,Kott,Kott,Kott,Kott,Kott,Kott,Kott,Kott,Kott
Q21449131,Q101352,Kreutzberg,Kreutzberg,,,,,,,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg,Kreutzberg
Q21449147,Q101352,Kullmann,,クルマン,,,,,Кулльманн,Kullmann,Kullmann,Kullmann,Kullmann,Kullmann,Kullmann,Kullmann,Kullmann,,Kullmann,
Q21449163,Q101352,McGrory,McGrory,,,,,,Макгрори,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory,McGrory
Q21449179,Q101352,Сергеев,Sergeyev,,,,,,,Sergejew,Sergueïev,Serguéyev,,Sergeev,,Sergejev,,,,
Q21449195,Q101352,Molter,Molter,,,,,,,Molter,Molter,Molter,Molter,Molter,Molter,Molter,Molter,Molter,Molter,Molter
Q21449211,Q101352,,Mușat,,穆萨特,,,,,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat,Mușat
Q21449227,Q101352,Niedringhaus,Niedringhaus,,,,,,,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus,Niedringhaus
Q21449291,Q101352,Rolleston,Rolleston,,罗尔斯顿,,,,,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston,Rolleston
Q21449339,Q101352,Neurath,Neurath,,,,,,Нейрат,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath,Neurath
Q21449419,Q101352,Katayama,Katayama,カタヤマ,卡塔亚马,가타야마,كاتاياما,קאטיאמה,Катаяма,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama,Katayama
