qid,geni_id,label,in_universe,wikidata_degree,wd_bure_in_component,wd_nearest_bure_hops,tree_bure_in_component,tree_nearest_bure_hops
Q5725105,6000000019344206446,Eric Michael Fant,1,9,231,4,250,5
Q5735890,6000000005087238866,Arvid Ernaldsson Forbus till Kumo,1,7,231,2,250,2
Q5745627,6000000020128505901,Berge Birger Frondin,1,6,231,3,250,3
Q5754581,6000000008331521234,Bengt Reinhold Geijer,1,7,231,7,250,6
Q5757435,6000000007548228373,Martinus Erici Gestrinius,1,4,1,,250,4
Q5772271,6000000011724781475,Nils Gripenhielm,1,9,231,4,250,3
Q5773252,6000000107274459226,Lars Grubbe,1,6,231,5,250,5
Q5773287,5105724209600128719,Samuel Andreæ Grubb,1,10,231,2,250,3
Q5779125,6000000007464308710,Adolf Fredrik Nils Gyldenstolpe,1,7,231,1,250,1
Q5783613,6000000003770432103,Engelbert Hallenius Biskop i Skara,1,5,1,,250,3
Q5790728,6000000008831013351,Gustaf Harmens,1,6,1,,250,4
Q5792035,6000000019659798123,Jacob August von Hartmansdorff,1,3,231,9,250,6
Q5797554,6000000011370804802,Detlof Heijkenskjöld II,1,6,231,1,250,1
Q5802518,6000000006127557446,Johan von Hermansson,1,2,231,1,250,2
Q5802535,6000000006128046380,Mattias von Hermansson,1,6,231,1,250,2
Q5807131,6000000011532511759,Mikael Hising,1,9,231,1,250,1
Q5807136,6000000006127951020,Vilhelm Hising,1,6,231,1,250,1
Q5813616,6000000007285499105,Adam Horn af Ekebyholm till Ekebyholm,1,7,231,1,250,1
Q5813639,6000000006127657041,Claes Fredrik Claesson Horn af Åminne,1,3,231,5,250,5
Q5818420,6000000019777574162,Israel Hwasser,1,3,1,,250,8
Q5819456,6000000078585591829,Zacharias Hæggström,1,4,231,5,250,4
Q5822415,6000000024166897841,Albrecht Ihre,1,5,231,1,250,1
Q5823030,6000000008260592602,Carl Gustaf Indebetou,1,5,231,8,250,7
Q5898100,6000000006127453696,Peter Petersson Kalling till Myrö,1,5,231,5,250,2
Q5913812,6000000008779183401,Axel Leonhard Leonard Klinckowström,1,6,231,1,250,1
Q5914160,6000000006127120320,Fredrik Filip Klingspor,1,5,231,1,250,2
Q5914181,6000000006127120304,Otto Reinhold Klingspor,1,5,231,1,250,2
Q5916153,6000000019898891222,Anders Erik Knös,1,8,231,2,250,3
Q5916189,6000000021501491188,Gustaf Andersson Knös,1,6,231,1,250,2
Q5930909,6000000012597002570,Carl Lagerbring,1,3,231,6,250,4
Q5930987,6000000007160673211,Carl Otto Lagercrantz,1,4,231,6,250,6
Q5931081,6000000008890247904,Gustaf Adolf Lagerfelt,1,5,231,1,250,1
Q5931099,6000000008887558053,Israel Lagerfelt,1,12,231,1,250,1
Q593496,6000000020982846787,Anton Rolandsson Martin,1,2,231,3,250,4
Q593706,6000000000446956140,Nils Gustaf Nordenskiöld,1,5,231,1,250,1
Q5951779,6000000013400899375,Johan Liljencrantz,1,6,231,1,250,1
Q5951795,6000000013400741602,Johan Wilhelm Johansson Liljencrantz,1,5,231,1,250,1
Q5955392,6000000021334420003,Johan Anders Johansson Linder,1,4,231,4,250,5
Q5959480,6000000013173980231,Jonas Carl Linnerhielm,1,5,231,1,250,1
