qid	label	geni_ids	in_corpus	shape	detail
Q104622710	Karl Anton von Plettenberg-Mehrum	6000000018426320619;6000000024144137256	0	neither profile is in our corpus	
Q104666486	Геранім Альбрэхт Друцкі-Сакалінскі	6000000016281078507;6000000193584586830	0	neither profile is in our corpus	
Q104667329	Jan Chrapowicki	6000000015345904999;6000000082417218280	0	neither profile is in our corpus	
Q104717292	Anna Chreptowicz	6000000009204696656;6000000044789920969	0	neither profile is in our corpus	
Q104717503	Jan Zabrzeziński	6000000014879285733;6000000016762523446	0	neither profile is in our corpus	
Q104717657	Andrzej Ciechanowiecki	6000000014057713960;6000000041631860370	0	neither profile is in our corpus	
Q104723528	Anna Elżbieta Hlebowicz	6000000014194254374;6000000212898802821	0	neither profile is in our corpus	
Q104774534	Laura Catherine Spencer	6000000007035445032;6000000014486246430	0	neither profile is in our corpus	
Q104782518	Armida Harby Cohen	6000000011028736869;6000000024669851494	0	neither profile is in our corpus	
Q104794343	Jacob Bering	6000000015073251061;6000000015736319218	0	neither profile is in our corpus	
Q104844798	Ralph Hilton	6000000012389858345;6000000015875261335	0	neither profile is in our corpus	
Q104876022	James Atherton	6000000167651499836;6000000170037833143	0	neither profile is in our corpus	
Q1049387	Princess Nadejda Petrovna of Russia	6000000004128187325;6000000190048173173	0	neither profile is in our corpus	
Q105061769	Nadezhda Beloselskaya-Belozerskaya	6000000004128539054;6000000190046853456	0	neither profile is in our corpus	
Q105063917	Natalya Chernyshyova	6000000006891254656;6000000190047298068	0	neither profile is in our corpus	
Q105086928	Jan Puzyna	6000000011706860304;6000000202605400822	0	neither profile is in our corpus	
Q105086931	Piotr Puzyna	6000000003712140492;6000000192263787838	0	neither profile is in our corpus	
Q105318886	Włodzimierz Drucki-Horski	6000000015346440766;6000000015346461712;6000000042508920227	0	neither profile is in our corpus	
Q105319821	Dymitr Drucki-Horski	6000000018170793759;6000000047339004853	0	neither profile is in our corpus	
Q105492261	Olga Orlova	6000000004128087887;6000000190046282643	0	neither profile is in our corpus	
Q105504873	Charlotte Steiner	6000000024462307887;6000000151688234912	0	neither profile is in our corpus	
Q105606384	Antoni Narbutt	6000000015163450783;6000000176782670881	0	neither profile is in our corpus	
Q105670394	Henry Tucker	6000000016322905087;6000000068154240037	0	neither profile is in our corpus	
Q10567264	Huang You	6000000074749810034;6000000075487006879	0	neither profile is in our corpus	
Q105748900	Franciszek Billewicz	6000000061815914933;6000000218191001910	0	neither profile is in our corpus	
Q105748974	Dominik Narbutt	6000000015388171337;6000000039718420909;6000000176783494821	0	neither profile is in our corpus	
Q105800302	Schonchin John	6000000082464909280;6000000082602734921	0	neither profile is in our corpus	
