round	slot	method	geni_id	fs_id	from_geni	from_fs_id	evidence
19	child	date	6000000024655212542	GS1N-KNR	6000000030123302032	LHP4-YD4	born 1060 vs 1060
20	child	date	6000000024655212542	GS1N-KNR	6000000032432568146	LHP4-YZG	born 1060 vs 1060
22	child	date	6000000010637966704	GY3R-KQC	6000000005770948239	LCQ3-61J	born 1315 vs 1315
22	child	date	6000000009304988716	G7FR-KXH	6000000003828064487	LR2M-QZW	born 1220 vs 1220
22	child	date	6000000003827599983	K8DP-JWM	6000000001531202412	PMRV-8R3	born 1080 vs 1080
22	child	date	6000000009304988716	G7FR-KXH	6000000009304903990	GQ9D-HJX	born 1220 vs 1220
22	child	date	6000000015014472024	K88S-89X	6000000003827467703	KCWG-NCR	born 1236 vs 1236
22	child	date	6000000010637966704	GY3R-KQC	6000000003645672389	LCCS-KSY	born 1315 vs 1315
23	child	date	6000000002187768221	G1HV-8HK	6000000002187768276	GKK3-Y5P	born 1200 vs 1200
24	child	date	304892179090002934	LHCM-XNK	6000000010222381708	LH56-SL9	born 1120 vs 1120
25	child	solo	6000000004533883410	L6LF-TFZ	6000000004533872598	G67B-77F	position
25	child	name	6000000003667941298	GX9D-94J	6000000020117355203	LB6P-YXX	shared: tornberg
25	child	date	304892179090002934	LHCM-XNK	6000000029876233647	LZDL-V26	born 1120 vs 1120
25	child	solo	6000000004533883410	L6LF-TFZ	6000000004533872604	LR1P-J3L	position
28	child	date	6000000010222365103	LHWF-LXV	3139907	LHKD-TWD	born 990 vs 990
30	child	date	6000000009045723088	L6RY-NNV	6000000010222371854	GY3G-K1T	born 910 vs 910
30	child	date	6000000009045723088	L6RY-NNV	6000000000555445317	GY3P-397	born 910 vs 910
34	child	date	6000000030605854440	MQW5-158	6000000001459213485	LCD9-BWC	born 1200 vs 1200
34	child	date	4737303055950010238	LZPP-QWQ	6000000014608225777	KNXG-2XC	born 1153 vs 1153
36	child	date	6000000030605854440	MQW5-158	6000000001459290517	9SMK-DNJ	born 1200 vs 1200
39	child	date	6000000015677324622	KC7C-YNL	6000000007242731339	L585-ZYQ	born 1040 vs 1040
40	child	solo	6000000030759748382	KC3T-TYG	6000000011399912881	LCXJ-NNC	position
40	child	solo	6000000030759748382	KC3T-TYG	6000000001472246524	LZG3-94Q	position
