qid	wikidata_label	geni_id	geni_name	verdict	our_father	our_mother	anchor_father	anchor_mother	decisive	withheld_because	one_is_the_other_parent	decided_by
Q101245989	Caleb Dana	6000000003939198233		UNKNOWN (not in our tree)			6000000006775645052		no		no	
Q101245989	Caleb Dana	6000000096324927026		UNKNOWN (not in our tree)			6000000006775645052		no		no	
Q101246108	John Worden	6000000001563121510		UNKNOWN (not in our tree)			6000000001563121119	6000000001563121497	no		no	
Q101246108	John Worden	6000000099763332915		UNKNOWN (not in our tree)			6000000001563121119	6000000001563121497	no		no	
Q101247043	Elisabet Schildt	6000000006771365089	Elisabet Schildt	CONFIRMED	6000000008342725355	6000000008342437926		6000000008342437926	no		no	
Q101247043	Elisabet Schildt	6000000010742449081	Elisabet Pedersdotter Lindeskyld	UNKNOWN (no parent recorded)				6000000008342437926	no		no	
Q101248370	Edel Pedersdotter [Saltensee]	6000000003513145688	Edel Pedersdatter Saltensee	CONFIRMED	6000000000767226677	6000000085151086140	6000000000767226677		no	candidates share a name - may be one person	no	
Q101248370	Edel Pedersdotter [Saltensee]	6000000224086116847	Edel Pedersdatter Saltensee	CONTRADICTED	6000000224086205848		6000000000767226677		no	candidates share a name - may be one person	no	
Q101423528	Sarah Stiles	6000000068972355830		UNKNOWN (not in our tree)			6000000001540903500	347486476890011254	no		no	
Q101423528	Sarah Stiles	6000000077984751142		UNKNOWN (not in our tree)			6000000001540903500	347486476890011254	no		no	
Q101427792	Honor Deming	6000000008165514019		UNKNOWN (not in our tree)			6000000000306717636	6000000000633520998	no		no	
Q101427792	Honor Deming	6000000163447541890		UNKNOWN (not in our tree)			6000000000306717636	6000000000633520998	no		no	
Q101436242	Sarah Curtis	6000000003943132247		UNKNOWN (not in our tree)			6000000000706030763	378393585970004434	no		no	
Q101436242	Sarah Curtis	6000000166277041821		UNKNOWN (not in our tree)			6000000000706030763	378393585970004434	no		no	
Q101838257	Rebecca Judson	6000000007123359947		UNKNOWN (not in our tree)			6000000006110873523	6000000000770142914	no		no	
Q101838257	Rebecca Judson	6000000009437229229		UNKNOWN (not in our tree)			6000000006110873523	6000000000770142914	no		no	
Q102117549	Nathaniel Wales	6000000000516920202		UNKNOWN (not in our tree)				6000000011637113141	no		no	
Q102117549	Nathaniel Wales	6000000070486270180		UNKNOWN (not in our tree)				6000000011637113141	no		no	
Q102157397	Francis Lee Johnson	6000000034909757077		UNKNOWN (not in our tree)			6000000003522850373		no		no	
Q102157397	Francis Lee Johnson	6000000052322757845		UNKNOWN (not in our tree)			6000000003522850373		no		no	
Q102157541	Sarah Josephine Williams	6000000034998266603		UNKNOWN (not in our tree)			6000000020328698553		no		no	
