fs_id	qid	geni_id
KH9L-TLY		
PQM5-HTJ		
9VGJ-NHT		
G71X-9MF		
9VGJ-NHN		
L2SR-D46		
9MVH-DJG		
9MVH-DJF		
PS23-8R1		
MNNV-JFT		
P7YV-8HR		
GWLH-5W5		
LW6P-31L		
LLQD-JGT		
LWF8-DXT		
KZ99-6GQ		
LW6P-31D		
LRDC-13Y		
PZ5B-S9Y		
L2ZK-BBG		
48GB-6GT		
GV9L-D9Y		
MF5S-3BP		
PNMB-MZ5		
PN9S-QVW		
KZFF-3Q5		
93T1-H6P		
GBKH-WFG		
LW1Y-2XF		
9K6T-MKB		
LH3L-XVH		
P7YJ-SPW		
L4TV-4G5		
L63V-JRD		
GPJN-2Z5		
GQW7-B11		
PZ5B-KV5		
MFLN-5WN		
MFGH-9YX		
K4RD-DP2		
KL6W-J64		
P7YV-YWP		
LRDZ-9HG		
L63V-JBG		
L7LY-1ZT		
KVJK-ZJ4		
GQ99-RJ8		
LZDJ-SVD		
242T-FMC		
KZ4T-ZG8		
GC49-7SF		
9J3R-78G		
27SQ-PXV		
PN9S-LGD		
LZ19-8RM		
P62L-5DT		
GQ99-LJJ		
27SD-3L4		
LT4M-D73		
G9TC-P4J		
L78H-7LN		
LZT1-GW6		
LW62-FLN		
LW62-N3M		
K4XF-MDR		
L4QK-8VB		
27BV-SWR		
MH7H-XV8		
K846-9K2		
L2Z4-159		
LCX7-CVH		
K29X-NNH		
LKMW-Q7Z		
9J2P-T45		
K6Q4-9SR		
LHT4-WN7		
GHF7-JYW		
GZV8-PQK		
GDLB-73V		
LH3L-6FN		
LQ5D-RJF		
G49F-7BK		
KC69-KHM		
KZH7-5T8		
LHT4-WTX		
LSLG-VMC		
MFFV-KWN		
L78H-722		
GMGG-XRX		
LHCS-51X		
KCB1-75R		
M9JS-V71		
GV9L-5Y4		
LDQB-B9D		
K1V5-2BJ		
PNMB-7RN		
K8X3-9D3		
KHQG-VC6		
9SBM-F6R		
G716-BHT		
LH3L-6N4		
L4S1-QPJ		
GV9L-BSM		
LRP6-L37		
KZRW-WDW		
KNV7-TJR		
LLQ2-NN7		
KZ3R-BZY		
27FR-9YM		
L4S2-15B		
M4Q7-3RB		
PN9S-S8X		
LW13-CK2		
LZXD-S3Q		
GZWR-LHH		
L131-MTK		
K8Y7-LJT		
GXHQ-62F		
GHF7-76C		
KPQN-NBR		
GJ8C-BQR		
LT9H-BTK		
KZD8-9JF		
KC1N-ZQ3		
KPQN-J32		
KJ5C-XK4		
KHSQ-V7L		
L78X-QT1		
K1V5-2YW		
G9TZ-MZ6		
PNMB-TCN		
G6VK-7TD		
K2S7-WCY		
GJ8Z-S9M		
L457-CS5		
GDLY-BK8		
P62G-YDQ		
KL8W-5LP		
PNMB-9FS	Q141216595	6000000011078918407
P7YV-MR6		
27C4-CM7		
KF95-VW9		
KH4C-J36		
LW1C-38W		
GDQB-KJQ		
G49F-H96		
P7YJ-T18		
27SD-3GD		
G68V-GVS		
K8RJ-3FG		
K2S7-WFX		
G71X-7HC		
KCNB-8G5		
9K6T-M2C		
KL8W-PWK		
9XBN-L2F		
KV2Y-B65		
L7JC-VQG		
L2ZH-MW3		
KLXC-K2J		
99FT-KJF		
2ZV5-WTJ		
KH44-XKK		
GQ99-PVB		
GV9G-S6R		
PN9S-Q97		
L44C-NH9		
GV9G-S6C		
LH38-GB2		
LDBY-FWL		
L4S2-Q9D		
KFRR-N4N		
LDSR-BKX		
K641-QZY		
LDH2-27J		
KHS8-Y2S		
KZHR-8B2		
9J3R-768		
LHBY-641		
K469-CQF		
KLZB-MHQ		
KLC9-MYR		
LDSR-19K		
KCBP-M75		
GHF7-GC1		
MHSL-TRR		
G716-B57		
G6MD-TTM		
LHXR-JC1		
LCRM-7J4		
LT9C-FJQ		
KL6W-KQ9		
PNMB-PJ3		
L7PV-BWV		
L5YP-F27		
CCZV-TQB		
LQRS-59P		
L5KS-ZKP		
L78G-GHL		
27SD-QMT		
9NR4-CJL		
KLF3-WCL		
KLTB-LJF		
LDH2-26H		
LH38-GBH		
LCVG-YVT		
9J3R-76Z		
G6P6-HZP		
GJ8Z-FCM		
M4Q7-3KZ		
G6VK-88Q		
9J3R-7NW		
LCX7-Z9L		
KL6S-1DL		
PNMY-R12	Q141216633	6000000011078760054
K8YB-3V6		
LHD5-CGX		
L47M-NYW		
2S22-F4K		
L6QD-6L4		
9S6Q-MD4		
PNMY-LF8		
LDBY-X1Y		
M5T9-XJF		
27TN-DD7		
9J2P-RP8		
KZLP-8NF		
L9PS-19H		
G9TZ-68T		
L41Y-RK3		
LHNN-49P		
27NH-17L		
LWJD-48J		
MLPC-HBB		
LHX3-X96		
KL8W-P2K		
MFV7-P7F		
M4Q7-3RP		
GZWY-J54		
KLXC-2NB		
M4Q7-3RV		
GQS4-FP2		
GQ99-G74		
G8W1-C36		
GGQD-NJF		
GQW7-1GN		
LW1R-L8R		
KH4K-YRR		
LCMW-2GT		
MJN1-BWF		
LZ87-1GQ		
KL8W-PCR		
GM3H-N6N		
GM71-7VM		
G71X-9FD		
G4J7-BW6		
G6B2-27B		
LZ87-BPN		
KCXR-2WK		
KP4F-PF8		
G6MD-VQC		
LHQW-LZF		
LZB7-ZF9		
27SD-3GY		
L47M-NT5		
KHL3-NFH		
GX44-DR3		
K8GY-3JR		
KNR4-8RL		
LZLR-S5F		
LZB7-ZFT		
LHBY-6H9		
LH1H-FZH		
M9JZ-BM1		
KZ8X-W2R		
GQ99-R2L		
GJGD-JGG		
KCM3-BG8		
27SF-835		
LQ58-1KC		
LHD5-C2Y		
PDFG-DRD		
G3CT-LRG		
GVQH-161		
PNMB-TCV		
G8W1-6D3		
27SH-NFZ		
L4WY-G9S		
276V-C25		
K4GB-MTS		
KZKM-ZD4		
LDSR-1M8		
LR6D-JX2		
27SQ-P1P		
GQ7H-3LY		
GHF7-7XZ		
G6VK-X3J		
KCH7-ZRK		
LCV9-CQK		
P7YJ-NN8		
LWYJ-M9X		
27YT-69R		
L41C-3HR		
KJ5D-DNL		
KLXC-K27		
KL63-SKR		
L4S2-1PJ		
PNMB-V2F		
L2H4-Q74		
G6B2-ZKH		
LWYJ-M9G		
MFGD-LRY		
LWJD-Q4Z		
L44C-NFN		
GYCS-2C5		
M9JN-6YD		
LCRM-7V3		
LH1H-FPK		
MFZL-6H5		
LWVQ-W5J		
G6VK-SHZ		
KG17-1ZY		
M9JN-6YM		
KLZB-MH6		
L2Z2-4GX		
LHKN-BRY		
G9TC-VCV		
GK5X-K1W		
27YM-22D		
27SD-7DW		
M4Q7-35F		
M9JH-P6P		
LZ2K-V1J		
G44X-8DB		
GHF7-23T		
LW1R-LN5		
LZ2K-KM4		
L2W3-BHZ		
GMLZ-SB6		
L47M-VWP		
G3CT-KSN		
LTRF-DV9		
LYHP-2XC		
27SH-NJ3		
GJH6-SZ4		
GQ7H-9MS		
M9JZ-B96		
LT9C-NQM		
LR3N-8XJ		
G6VK-CGL		
KZNG-QXQ		
LH5Y-SMV		
LCV9-P78		
GQW7-5QP		
GQW7-YXQ		
MCXY-HM3		
L4S1-9H3		
KLZY-GBB		
GJ7K-6J4		
26KX-R44		
LHXR-JJ6		
LCVJ-27N		
27SD-3R6		
L4H3-PJH		
PNMB-9F7	Q141283777	375736773940012637
KHPG-VFT		
LDSY-765		
GWBG-RX2		
GKWR-VX9		
G6P6-Z7K		
GJHD-BFF		
P7YV-JYZ		
LCV9-5TM		
GP37-X33		
MBR2-58G		
KJPZ-6FY		
LCCT-MCW		
LDSY-76T		
LZ87-1GB		
LTRF-C28		
MXST-FLS		
27SH-NNK		
27SD-7XC		
L2H4-QDZ		
LW1C-DDG		
LWF8-T1G		
LQRS-2H4		
L44Y-NVL		
KLGX-L6Z		
LCMF-746		
K8HC-43F		
LWJZ-7JD		
K86T-H25		
L7F7-CH4		
M684-BZJ		
K86Y-FD9		
G2T9-19V		
LH78-ZG1		
GCM8-YBD		
LR3N-D63		
LQR6-T16		
GGQB-NLZ		
LH65-D2C		
KCPZ-R96		
9J3R-7XR		
9J3R-7XT		
LW9R-3QF		
KG17-18S		
G84Z-6R7		
LQ5V-VDV		
L5YP-8X6		
KLG7-QZ3		
L4GD-WZK		
9J3R-78N		
KJPW-83J		
LVLR-7WX		
G61V-FNQ		
LZD2-TNT		
KJPZ-6KM		
MFGH-FKB		
LHN9-L2R		
L7R4-P3G		
K63Y-5ZF		
LH8D-RQ3		
L4SB-74V		
GG7C-679		
G2GQ-G9N		
9J3R-78J		
LQRS-2WD		
L7N1-96K		
LH15-HMD		
GNF5-H9S		
L44J-C2D		
L44J-C2F		
G44B-13L		
LZ87-1B4		
M17M-841		
994Z-MDK		
LHKW-LL6		
GQX9-J24		
GWBT-1JQ		
L6SQ-1G3		
LW3Q-914		
G4JW-3CR		
L4S6-X24		
L7J5-QHN		
L7R4-HWD		
MFGZ-D4M		
LY7J-57G		
KXJ7-X71		
LZDF-8YD		
G6GX-XBG		
L7LY-172		
KL8W-PJT		
GDR4-SN3		
9N41-P9C		
276V-P6L		
K858-DXZ		
KCWB-29M		
GS3Y-HWJ		
KJP4-R8P		
G6GX-P1P		
KCDT-3DZ		
KL6C-4M8		
L47M-J5P		
27SQ-59N		
GCCZ-FPQ		
LW3Q-9BV		
LHDQ-473		
27TH-RB5		
LT5G-L3N		
L47M-NNR		
9N41-P9H		
G441-7V7		
M4Q7-3RF		
LW1B-P8M		
MTR4-MYL		
KL8W-PLG		
KLZY-PJF		
GS1L-JKL		
L8WN-YY2		
CHK7-QLY		
M17M-8QJ		
KJ5Q-XYZ		
GK58-V3H		
2BYX-F1N		
LCXW-F3R		
KZDX-PN4		
L7X2-9HW		
L9PS-BRD		
27SF-8C2		
LWK7-MKR		
LTRF-TQD		
LDSY-7XV		
LH7C-14K		
KZFB-DMZ		
KLXV-LZN		
MP84-RMW		
G9BV-RKH		
MFGD-XG1		
GS3Y-WXV		
L2H4-QL8		
LDMF-43Q		
9MY3-6GR		
GXVS-5RS		
9N8Z-5Z2		
MBR2-5NS		
L7J5-Q4F		
LYH5-3Z9		
GM71-7J5		
L6RF-D3D		
LHQ4-HHT		
LH6Y-QWQ		
LHB1-85R		
LWM4-1VZ		
KLCM-1LJ		
L2H4-QP1		
L47M-J1G		
MXGC-DFY		
G39W-K36		
KL8C-25J		
L47M-JSC		
KLCM-1L6		
LWVM-ZVS		
LH8N-SLW		
LB58-JN1		
LZ87-1CN		
KJJ4-Y22		
LH7G-S7C		
PSXY-Q5S		
KL8C-25Z		
L5JG-JKB		
LYVW-3JF		
99B3-FNW		
K6MP-9VM		
LHB1-8GN		
K63G-SMX		
LHKN-B57		
L4QX-LJC		
KZFV-J5D		
GJWX-6Y5		
L7N1-967		
L8R2-RP2		
LH6Y-QDQ		
K197-PY8		
LH62-6P5		
KLTB-L39		
KZZY-ZPB		
94Q2-MVZ		
MW5F-P3D		
LC74-GZF		
2S22-J3K		
LR53-QKM		
LH65-DNC		
LWF8-TYR		
P9HK-RCN		
LCQJ-S9T		
GSWW-SJW		
KD7B-KRP		
LWJ6-MMP		
L6RF-8L4		
L44M-TLV		
GSWW-3VP		
GM71-7VC		
K8PC-JX8		
GJ7K-XF9		
L4C8-5XK		
LWJD-5BL		
LXSW-D6B		
LH6Y-PDX		
MMK3-49S		
L4S6-X2Y		
LTLG-P64		
LZJS-9KW		
LWF8-8HN		
MN6X-HC6		
LHXR-JFQ		
LT5G-2MD		
KL8W-PGJ		
LDSR-12K		
K2SW-Z11		
M4Q7-3RW		
GQX9-5C2		
LWJD-DBH		
M5P5-7M1		
M3JY-ZG3		
LB58-1LG		
LK72-LCL		
MNR4-P63		
GPPX-TV2		
LYHP-1VW		
274B-H6V		
KGST-T6Y		
LBW6-16R		
KJ5D-217		
LDSY-7DK		
L44M-BFJ		
L4TD-4YY		
K2ND-GWD		
L4W2-GYS		
KVLT-W4L		
L43W-98C		
L6RL-3CQ		
LHXY-3LD		
27TK-39Q		
KDMB-4LR		
9J3R-7X8		
GKH1-V79		
KJ5W-MJL		
LVLR-74G		
L44J-CLY		
K4K7-351		
KZ6W-FV8		
L6RF-DXD		
LDSY-76G		
LCZ3-8R2		
LHN9-LY9		
L7N1-946		
KJPD-NPH		
KNJD-76W		
GSC6-ZP1		
KC4F-V9W		
K4YS-FQ4		
KNJD-GG5		
LCM5-89N		
KLBM-XMZ		
GFMK-LQX		
L4B9-D88		
G441-22Z		
GMZM-RBY		
MFF1-JYH		
L47M-N6M		
LDSY-7X3		
L7X2-9QP		
L7J1-DYM		
LW1R-DVX		
M7ZN-B7S		
GF9F-LFK		
2HTK-G5S		
27PJ-CX6		
KNNB-SS6		
L8R8-5N1		
9KW3-B46		
GPJZ-FJ8		
LDWV-48K		
27C4-4PB		
LQR6-LC4		
LZB7-ZNW		
KJ5W-MFY		
2MKK-9MS		
L44Y-FGX		
LH8Y-MN7		
9H9K-H76		
G8W8-SZZ		
L1JW-5V5		
LHWZ-Q8H		
2WS6-3VL		
G4QW-18Y		
27PJ-CXD		
L4SB-7GN		
LK7D-2B5		
M7ZN-B9S		
GSXB-ZFV		
9XPP-J8S		
KJJH-9PN		
LKLP-S4S		
LTWB-ZX9		
KLZY-KV1		
G6GX-PNM		
9X9S-4FS		
L44J-71J		
LCQ8-YYG		
LQ5W-LSQ		
9NGK-DQ8		
9NGK-DQ6		
L7L1-D1F		
GCCZ-THR		
L7LN-RSZ		
L1JM-WFQ		
MC8H-CQC		
PSXY-N8C		
LHNX-5TC		
KLG7-QT5		
MFF1-JTB		
GS1L-6WY		
P7GW-J67		
L8W9-RJF		
LW1R-DZZ		
LKSX-R9C		
L47M-FQ2		
L7L1-6CH		
LWTF-SS8		
LHWM-SX8		
L4H3-GRJ		
9Q1H-XNR		
LWTF-SS1		
L7NC-2JS		
L7FS-G51		
L75S-JX6		
2HTN-PYB		
L6RF-D2Q		
MJMT-VG5		
LWLH-RV4		
G8W8-MR2		
LBVY-N81		
GPJH-JPW		
L4TV-YGF		
PNMB-PKK	Q141288922	6000000020854463483
27H1-283		
L4P9-YSY		
L7V9-HNY		
MNC3-4CC		
M4Q7-3RS		
LCTX-PTM		
L4SJ-MPQ		
LQR2-DJ3		
L43W-Q27		
LZJ4-8SC		
LH76-HZ5		
G4Q4-6YP		
L7JS-FWY		
G6GX-5NS		
L4YM-D1X		
KVG3-VMX		
L4SL-JJH		
L71N-DBZ		
G9TZ-CKH		
MY34-N9G		
LW3C-LF3		
GFXQ-44M		
LYHP-GN8		
LH77-YH7		
KL6Q-8V8		
KL63-3G8		
P9CP-BD6		
LKJ9-F7N		
LQR2-DPZ		
2D6P-73N		
K197-PHS		
9VGF-Z4Y		
LDSY-7XQ		
2ZPB-H1B		
2FMR-BSN		
PSXV-9P9		
L4SL-3FG		
MGPB-NH8		
LHXV-VZR		
27SF-8TD		
KL4L-RQV		
L44D-W2L		
L7RW-BJS		
LHN9-G3Q		
GFK8-FC7		
PSF4-161		
GMF7-LT8		
9NHV-8WV		
MFV7-SXK		
KC27-Q3Z		
LRCD-D15		
MCRK-64X		
LH6Y-97J		
LCRC-4ZS		
KVKT-TVB		
LZGM-JZ7		
L2H8-G7Z		
L4M2-KKV		
KJ5D-2BV		
G6GX-VRR		
GHBS-BS5		
L4WK-HT9		
MTR4-MN8		
L43M-KPP		
L4MV-DM4		
GSC6-7W4		
L4M2-KKG		
PSXJ-K69		
L1HS-DCJ		
G6YV-SGF		
9KXH-2R5		
L4WY-GCH		
LH7C-1W6		
P9HK-WK5		
L7FS-GGQ		
G3GG-M8L		
KCHF-HMZ		
GGZJ-S4N		
K8RG-J7T		
L47M-J2L		
L7JS-FWG		
KLZY-KJL		
LD45-66P		
L7N1-SMJ		
L2CC-9Y6		
LHX1-1YK		
G333-7X8		
KLZY-P3Z		
LQR2-D57		
GDQD-9JX		
MTPW-XFH		
M3PM-TXJ		
LH78-ZR3		
GCFD-H2J		
L2CC-9HS		
LR22-K2H		
LW3Q-91N		
LTRX-5MZ		
GW82-KX8		
GQH2-RQ7		
L44Y-N2X		
LCV9-BT5		
PSXY-MYD		
LCB8-79P		
KL8Q-WNQ		
9QXP-8D7		
9WYG-TRM		
GN36-4J6		
GNF5-7ZY		
M3JY-89F		
LH7C-17K		
GKH1-VWS		
2Z8Q-PS3		
KL8Q-WF1		
LDSY-76K		
LVTP-F1T		
LH8N-SP8		
MKFW-H37		
LWXT-L32		
K41G-LS9		
LCQ8-YV7		
KZQV-YHN		
LCB8-795		
LQT8-CQ7		
L4B9-D8D		
KVG3-418		
LQRR-8D8		
LCRT-MN6		
KCBR-S9X		
L2H4-8S4		
K1DT-DT1		
MPQQ-TM8		
LRCD-CLV		
LHXV-VXS		
GFV6-XQB		
LDSY-7XC		
LH62-1Z9		
PCN7-FBQ		
L4SB-YTV		
P9H2-9CD		
LBVY-F6J		
L85K-PDD		
G6GX-GJ3		
9V4R-G32		
M17M-D8L		
K84M-FXV		
L44J-CG3		
L5YP-LQK		
K41W-9RV		
LYST-1CD		
MHHM-TRM		
KLH1-K1H		
LH7W-G18		
2S22-N6W		
LKKR-KHQ		
LJPJ-9HC		
L4S1-SV3		
97KJ-N1F		
LHKL-9BD		
MDWN-9G8		
L4TJ-T59		
LZB7-ZFF		
G181-XCZ		
LDSY-7XW		
K8XZ-2Z8		
L4BQ-6W1		
KJJ4-W4D		
LH7H-J5L		
9XB5-C2K		
LKTD-BVC		
LHXY-37G		
K2M4-5ZM		
MC8H-C73		
L14Y-KHP		
L6RL-QBC		
GGLS-9TW		
MW2G-Q1K		
KJJ6-GH1		
KH1D-2GN		
HZGQ-YPW		
LH8N-Q6P		
K8YF-S9X		
LCJ9-38Q		
LCM5-ZPB		
G6GX-T4S		
2S22-NN9		
L6RP-SMQ		
LQ5W-P27		
27H5-XTX		
99TZ-3K5		
LZZ8-6VZ		
27V5-M3P		
GDMV-N9T		
KJJ4-W6M		
GCCZ-JLC		
9J3R-7XD		
L44W-7JD		
M418-2BN		
LCMZ-WN6		
L7X2-9WS		
L2H8-G9B		
L44J-71L		
KVG3-WTK		
MY34-XNP		
GJL7-BQY		
P9ZX-95F		
LQ5W-L32		
LH6N-96B		
MY34-NS7		
L43W-72N		
KLQC-7WX		
GS57-BC4		
MVC3-MW6		
MDY6-5NK		
M5W6-G8G		
G4RZ-8DZ		
GK58-3C1		
2MS1-MBH		
2D6P-HQP		
PHJB-ZKF		
L7FY-N5J		
L4WY-G42		
L7RH-F3J		
LH31-RYK		
274B-HXG		
L6PH-7WM		
LCB8-W1X		
K29D-8DB		
LHQ3-SFX		
2DXK-XBS		
LHWM-Q9D		
LZ46-49Y		
LV17-RYF		
L4WY-G4Q		
L6LN-L6T		
L43M-P75		
LHQB-W2N		
P7ZW-LYJ		
LZXF-KD1		
KVLP-Z86		
LRT7-GQZ		
LHKN-BGQ		
KLL6-BWR		
LD85-BD6		
PZTD-NNJ		
MMJL-K5G		
LWTF-S9T		
G6GX-5G8		
L47M-FWK		
G8HY-NN5		
GMX9-5PS		
G6GX-TT6		
L4WY-G7Q		
L4WY-G7K		
LZB7-ZF1		
MD3S-CX8		
GFV6-YZX		
LZYC-MYN		
G3GL-64X		
LHWM-SBK		
MFJM-MCS		
PMCG-7N8		
9H9K-HW6		
K8WG-8Q7		
LHFZ-C8C		
LZJ3-2SS		
K2MC-WMX		
2C1S-R61		
LZB7-ZNQ		
LW16-NGN		
GGRJ-CCV		
LKG3-SN8		
L5RN-9WZ		
L4L3-7QL		
2N1F-4QC		
GMXB-QYW		
LHQF-BGL		
KLZT-F6R		
K8P1-3Y3		
KHF7-LYS		
L2HJ-Q61		
LH7H-V5R		
LQT8-79M		
LTF3-KQF		
L44X-7W1		
KL4G-9C4		
2438-1XZ		
LV7N-RG2		
MBTC-L6B		
G3W4-K1B		
GKNP-ZLQ		
L4W2-PDL		
PXFJ-92N		
26LH-1ZC		
M92G-R51		
MCDD-M5H		
PHMV-6HK		
DQFX-L9N		
KVVQ-FKR		
GY3G-DDC		
KLZT-FXH		
2438-1FL		
GCC8-M39		
K8L8-JKH		
2MKK-538		
M3JP-YN1		
LH31-RYZ		
G733-B4N		
LW3C-2H9		
L6R2-T6C		
LZD8-56Y		
L89H-LSJ		
L4JL-NMR		
KJ54-3VF		
PSF4-65P		
LHXQ-XVG		
L7N1-SMM		
LWJC-PYZ		
LH19-C56		
L6PH-S6D		
L6LJ-MQY		
GN7K-PYS		
LHXQ-XKG		
27C4-HSP		
KZJR-5VJ		
MSC1-TH4		
GPP8-VTC		
4B8M-H28		
L7QX-JQ8		
LH3L-JWF		
G6YV-Q4T		
GDWY-TR5		
G32G-8Y4		
MQPK-7YW		
LHWM-SVG		
GPJD-KPZ		
GDWY-TRH		
L6LN-KMN		
LZXY-9M5		
MK5N-JPH		
KNC5-JC8		
G3V3-ZK8		
KJ5D-2JV		
LZGM-JHS		
L7BC-RQK		
KL7X-PXX		
LZD8-PZT		
L44J-JS8		
GSFW-8PV		
LH78-ZTD		
L6R2-TKD		
L89N-NGX		
G8M1-K6Y		
LCFX-MCB		
LC3N-5XT		
MRQF-TTG		
GPJD-YMW		
LX2G-5R8		
LC1Y-BP6		
L4P9-BXD		
PCYV-HXK		
L2HS-513		
KHPZ-1GQ		
LCF6-W5H		
G4ML-GRF		
LKJ9-NJM		
97M5-JX6		
97M5-JX3		
KZC4-J1G		
2773-2P5		
GLNX-FXL		
L257-2P4		
L7LJ-5SZ		
KLXC-RBG		
LCM5-ZNY		
KPHW-XH9		
L7LJ-2N1		
LHW8-BKY		
LH6K-LLS		
MDJD-5QW		
LXWW-XTV		
97KJ-6ZJ		
L7FS-GYH		
GS7Q-87V		
24NW-DYN		
GGHR-GK9		
L4MR-7TG		
KJ5W-9WQ		
9XPP-J3H		
KC4K-Y32		
LH12-RYQ		
LHXJ-YGZ		
LKY4-PR1		
PNMB-BKG	Q141524199	6000000020854914910
L5FB-S5T		
LWLC-WW6		
KLZR-WMB		
LQT8-HX3		
PX1B-5MS		
L434-CW8		
L6TQ-33Y		
L1NK-1CC		
KHM3-P63		
KL6N-J1T		
G93V-9CM		
LH3B-FWP		
K84W-8LG		
274B-HXV		
MWFV-Y8H		
GNCH-V89		
LCML-XNV		
L7GZ-NJW		
GCC8-941		
GHB3-5X7		
GY3G-7T7		
L44W-W82		
KLZY-KLG		
L7FS-P8N		
L4P3-SXL		
L4S6-NV6		
L1PN-YT1		
4ZC1-T2C		
L4WK-HYP		
K1T6-JVS		
LHK8-JHQ		
L4S6-NVH		
LHX7-25M		
PZTX-32H		
KLFH-G9K		
L7BC-R9S		
L55W-NPX		
LQ5K-YRF		
GQXS-L2G		
G4HM-ZZK		
L8RD-X17		
LHBB-MK9		
G3WH-6T7		
MPJB-P7N		
KLG4-M3S		
KVG3-GH6		
L7JS-NQ7		
KNDS-PSF		
LHJ9-7PN		
KPHW-XF3		
L7QX-XSP		
G8M1-89K		
GDWB-M32		
LZ8H-LZ2		
LHNP-7Y1		
L4P9-X9H		
L44C-N2H		
G88D-T1M		
PSXV-7VV		
L44Y-FPW		
G3W4-BT7		
4XMY-86T		
LVD9-93W		
L47M-N5M		
LR2L-DPH		
LHHC-79W		
G4QN-GWH		
LCV3-7KF		
GQH2-5V3		
LZPZ-49V		
L786-RWK		
G3GL-5XN		
9H1K-3CV		
MD3K-33G		
L4M2-KF4		
LHHC-7MK		
GQH2-541		
GNCC-93T		
9QDZ-C44		
L71Q-CK8		
LH7H-V56		
KNHQ-NGY		
L85T-PQJ		
MT34-SQF		
GX1B-QG1		
9VG7-8H1		
LHQW-GZP		
9VTL-58Q		
L4W2-17Q		
9M2X-N7L		
L4SB-7WZ		
G4HM-JNS		
L4JW-XZQ		
L6RL-W5T		
GPSK-YRG		
LTK3-LJ3		
LW3Q-9V7		
L7FW-PP3		
PSXY-KSY		
KL6N-N11		
MFGD-X13		
GGZ5-JB2		
KG9T-8HF		
LCXC-PZ5		
L6PH-39F		
LKBH-2BC		
G628-GS9		
LZJW-8L1		
G3V3-7YP		
KL4G-9CW		
LC37-S7W		
GS57-1YL		
KJ5C-GSD		
9J3R-78X		
L4KV-4K6		
L5YP-V39		
27SG-MJS		
2S22-NX3		
L44J-J7R		
2S22-NFX		
KZ3T-YT2		
L7GZ-NKR		
LHK8-JQ2		
9NHN-ZM1		
LHKN-B15		
LCM5-ZS5		
G1DM-6B5		
9QDZ-C7S		
LBZS-FBQ		
L44D-WPB		
GVMT-4RS		
KLZY-K2Q		
GMX9-1ML		
ML2H-FS1		
GPKT-GFC		
L4QF-4Q4		
KVG3-W1N		
KVG3-W1H		
LWTF-S3K		
K4JY-FQ9		
G88L-LKT		
KNHS-DGM		
LB1N-31W		
GPJ6-BNY		
LH54-L1D		
L7FS-P6V		
GHBS-C11		
MWFV-THQ		
GSFW-SFS		
KHVF-1ST		
K197-5NX		
L4B9-DQP		
GPJ6-33Q		
L4Y5-DX8		
K6QD-YCL		
9H9K-H7P		
P9H2-J4C		
LH19-SBT		
L4QF-ZHH		
LWJC-PL3		
L4L1-8QT		
L4SB-WQV		
L4SB-7RV		
LRT5-D75		
L6RL-7CV		
L7FY-NP5		
LCMF-75K		
LCVP-S7Z		
KZGC-45W		
LZ6J-VQD		
L7FS-PDK		
KNYK-2W6		
PZTN-TT6		
LCVP-SHG		
GCC8-MWJ		
G3GL-GCD		
GXDN-M7P		
LR3N-6Z4		
L5YP-GR9		
KNJ5-SWF		
GXD6-211		
GQKX-TT3		
KLZY-PHS		
K1T6-JSK		
KVLT-7JT		
LQRG-5GM		
GN36-GCY		
K2MH-C4R		
MFF3-57N		
MTVX-1M7		
LDYY-JT9		
LB1N-367		
K2MH-CCW		
97KJ-F8S		
L4WL-TB8		
2WXT-THV		
L4S1-S63		
L4SL-9S9		
KLZY-PH7		
GLFS-QQN		
GGHR-BQL		
K197-PXD		
GF4M-8QV		
L1NK-B58		
93YX-3F4		
GBWQ-Q6J		
LZ9K-8SJ		
L8V6-FS1		
KVG3-GCM		
L8V6-XVL		
LQ54-64D		
L4S1-S6V		
MFG3-4WT		
L4QV-RP1		
LKSX-BTD		
PZTD-L5K		
L4H3-GCZ		
93MB-D8X		
2S3R-L8B		
GQNH-C21		
MTRW-B2P		
GDWB-9QB		
9X9S-4NJ		
L434-CWY		
KJ5C-LNQ		
L7J1-DLM		
L7RH-DQ7		
273H-G1Z		
KVLT-QHM		
MFJN-B9V		
LHD3-RN8		
KV2C-747		
PCR6-JK2		
L7P9-Z7D		
GM3Z-JGD		
9J25-WLT		
KGKN-KW8		
LTG8-RRX		
KJ5Z-C2C		
L43M-P7S		
KLY7-F24		
LHCS-PV4		
MTQ6-9HD		
L67T-BHL		
K86J-Q4N		
L7NC-JC8		
LBVY-J9R		
MFZZ-79B		
G2TF-B8Z		
L71Q-Z2X		
MFFH-XKM		
KH9N-CH6		
9W45-LTG		
LC5R-W2J		
KNJD-749		
K4B5-7HG		
LWYF-CFT		
K2FN-945		
KV2L-NMM		
KLXC-K5L		
GPSH-9F2		
GXC1-CS1		
L8WK-FGX		
LZXF-K3F		
KVGW-VTM		
MF8F-6YL		
GXD4-SXM		
PN9N-1MN		
KLFH-LR2		
GZZ8-JQW		
K48Z-DL4		
KHFK-49Q		
L7NC-35V		
GX6V-HPC		
L44J-8YB		
GJ1S-X9Y		
MFL4-G5C		
27SD-797		
LZXF-K2W		
L2RX-PMP		
9V1T-XKR		
K4NX-WZ8		
L4JW-XHK		
9VGJ-NH6		
L4S2-3BF		
LKJ9-X2D		
9NSB-GVC		
MFNQ-34J		
KCH1-V8C		
G8PN-SGK		
97VY-9C1		
LQRC-V7C		
MFXD-H42		
9SZ4-9T1		
L434-HFG		
PCN7-1VW		
L4KV-4NR		
G78T-KM9		
L4WY-G8K		
