qid	relative	kinship	qualifiers
Q171722	Q75252862	Q20746713	P1039
Q171722	Q75252859	Q20746702	P1039
Q171722	Q75252861	Q20746702	P1039
Q171722	Q75252864	Q20746713	P1039
Q171758	Q15489158	Q1282201	P1039
Q17176941	Q37463	Q12158205	P1039
Q17176941	Q7504	Q116914618	P1039
Q17176941	Q230068	Q116914618	P1039
Q171826	Q86372019	Q19682183	P1039
Q171826	Q116761071	Q15224724	P1039
Q171848	Q227099	Q19756330	P1039
Q17195625	Q138788420	Q3403377	P1039
Q171969	Q1862254	Q4346792	P1039
Q171969	Q53500238	Q19822354	P1039
Q17197609	Q95233478	Q3752578	P1039
Q17197609	Q95215542	Q13204680	P1039
Q17197609	Q95368410	Q723868	P1039
Q17197609	Q132258225	Q11921506	P1039
Q17197609	Q133187868	Q11921506	P1039
Q17197609	Q137940134	Q3238556	P1039
Q17197609	Q136237364	Q3403377	P1039
Q171977	Q2214292	Q20746728	P1039
Q171977	Q11530405	Q20746725	P1039
Q171977	Q3350116	Q20746725	P1039
Q171977	Q6788072	Q20746725	P1039
Q171977	Q10345259	Q20746728	P1039
Q171977	Q11535660	Q20746728	P1039
Q171977	Q10729397	Q20746728	P1039
Q171977	Q10518081	Q20746728	P1039
Q171977	Q11614427	Q11572068	P1039
Q171977	Q11621654	Q20746728	P1039
Q171977	Q10517436	Q20746728	P1039
Q171977	Q10959928	Q20746728	P1039
Q171977	Q11448012	Q20746728	P1039
Q171977	Q108491069	Q20746728	P1039
Q171977	Q108491242	Q20746728	P1039
Q171977	Q108491029	Q20746728	P1039
Q171977	Q11418573	Q20746728	P1039
Q171977	Q11671888	Q20746728	P1039
Q171977	Q10565584	Q20746728	P1039
Q171977	Q11634532	Q20746728	P1039
Q171977	Q108489649	Q20746728	P1039
Q171977	Q108747016	Q20746728	P1039
Q171977	Q108747363	Q20746728	P1039
Q171977	Q108491144	Q20746728	P1039
Q171977	Q108490725	Q20746728	P1039
Q171977	Q108824272	Q20746728	P1039
Q171977	Q108824241	Q20746728	P1039
Q172035	Q3531316	Q76557	P1039
Q17213407	Q1362200	Q58837291	P1039
Q172161	Q116060540	Q76557	P1039
Q172161	Q172116	Q23009870;Q13204680	P1039
Q172168	Q189095	Q12443619	P1039
Q172353	Q299387	Q13204680	P1039
Q172353	Q3408809	Q13204680	P1039
Q172466	Q7504405	Q4994791	P1039
Q172466	Q4141131	Q3813877	P1039
Q172505	Q121484815	Q11921506	P1039
Q172599	Q1045355		
Q17266049	Q3932776		
Q17278122	Q42939	Q11921506	P1039
Q1727816	Q4967393	Q23045435	P1039
Q17280085	Q132560915	Q12158205	P1039
Q17282325	Q1463660	Q9238344	P1039
Q17282325	Q2529608	Q3813877	P1039
Q172838	Q133834594	Q3403377	P1039
Q172843	Q374813	Q76557	P1039
Q172844	Q552691	Q13204680	P1039
Q172849	Q10349696	Q11921506	P1039
Q172849	Q28054103	Q11921506	P1039
Q1729158	Q11878580	Q23009870	P1039
Q1729158	Q112396099	Q15224724	P1039
Q1729888	Q132125884	Q12150991	P1039
Q17305243	Q108886649	Q3403377	P1039
Q17311772	Q433709	Q18489480	P1039
Q1731435	Q1697631		
Q1731435	Q55851451		
Q173145	Q112158172	Q12160962	P1039;P580;P582
Q173145	Q134304079	Q19756330	P1039
Q1731536	Q236503	Q15224724	P1039
Q17320100	Q19243075	Q23009870	P1039
Q1732017	Q16713018	Q13204680	P1039
Q17321259	Q17321774	Q2914212	P1039
Q17321259	Q17321260	Q2914212	P1039
Q17321259	Q17325108	Q2914212	P1039
Q173246	Q260026	Q76507	P1039
Q173246	Q254659	Q76507	P1039
Q173246	Q457856	Q76507	P1039
Q173246	Q2019530	Q76507	P1039
Q173246	Q391058	Q76557	P1039
Q173246	Q7167791	Q31819505	P1039
Q173246	Q5233847	Q9238344	P1039
Q1732640	Q1461926	Q4994791	P1039
Q1732679	Q1498340		
Q17329151	Q3107071	Q15224724	P1039
Q1733256	Q3739455	Q15657883	P1039
Q17335154	Q19299440	Q15224724	P1039
Q17335154	Q19287655	Q15224724	P1039
Q1733563	Q72663299	Q12160962	P1039
Q1733679	Q1336119		
Q1733790	Q1926671		
Q1733790	Q1064671		
Q17350989	Q2355582	Q13204680	P1039
Q17351370	Q255	Q89000794	P1039
Q17351887	Q2248723	Q2096646	P1039
Q17353173	Q284011	Q11921506	P1039
Q17353173	Q941751	Q11921506	P1039
Q17353173	Q2286760	Q19756330	P1039
Q173540	Q16197672	Q15224724	P1039
Q173540	Q110862750	Q23009870	P1039
Q17354615	Q1390486	Q12183411	P1039
Q17355513	Q949636	Q3238556	P1039
Q17361704	Q107616106	Q4346792	P1039
Q17361771	Q252414	Q13204680	P1039
Q17361924	Q17447233	Q23045211	P1039
Q17361924	Q17362507	Q23045211	P1039
Q17362507	Q17361924	Q76507	P1039
Q17362507	Q927102	Q15224724	P1039
Q17362530	Q17362511	Q19756330	P1039
Q17362530	Q17362529	Q11921506	P1039
Q17363779	Q152239	Q42297295	P1039
Q17364238	Q777159	Q2500621	P1039
Q17364238	Q3898728	Q76557	P1039
Q17364238	Q3840426	Q76557	P1039
Q1737249	Q1674337	Q31819505	P1039
Q1737504	Q1714252	Q76557	P1039
Q17376029	Q17155819	Q11921506	P1039
Q17376029	Q11955331	Q11921506	P1039
Q17376029	Q66329934	Q19680017	P1039
Q17376029	Q3302913	Q19756330	P1039
Q17376029	Q270356	Q19756330	P1039
Q17376029	Q15984392	Q13183045	P1039
Q17376029	Q125463380	Q19680017	P1039
Q17376029	Q136281903	Q19680017	P1039
Q17376029	Q137527491	Q3752578	P1039
Q17380245	Q4355102	Q31819505	P1039
Q17380245	Q3431827	Q41805477	P1039
Q17380245	Q73994202	Q57832811	P1039
Q17380245	Q3189563	Q13184390	P1039
Q17380245	Q11859494	Q76557	P1039
Q17380245	Q573895	Q13184390	P1039
Q1738053	Q509163	Q3403377	P1039
Q1738053	Q46118286	Q15224724	P1039
Q1738053	Q123186455	Q15224724	P1039
Q17380788	Q7310413	Q15224724	P1039
Q17381353	Q137455145	Q13204680	P1039
Q17382147	Q3735543	Q2914212	P1039
Q17382147	Q23698922	Q12160962	P1039
Q17382188	Q17384749	Q23868497	P1039
Q17382557	Q5395108	Q23009870	P1039
Q17382797	Q489000	Q12183411	P1039
Q17382831	Q1390614	Q13204680	P1039
Q17383802	Q5823437	Q2914212	P1039
Q17383802	Q20253194	Q2914212	P1039
Q17383983	Q17383878	Q41805469	P1039
Q17383983	Q17383985	Q31819505	P1039
Q17383985	Q17383983	Q31819505	P1039
Q17383985	Q609867	Q13204680	P1039
Q17384016	Q214029	Q84158642	P1039
Q17384423	Q11853421	Q76557	P1039
Q17384566	Q11867430	Q15657883	P1039
Q17384749	Q17382188	Q18489480	P1039
Q17384749	Q5398592	Q15657883	P1039
Q17384749	Q17384879	Q13184390	P1039
Q17385095	Q57164	Q13204680	P1039
Q17394636	Q16859703	Q18489480	P1039
Q17402717	Q525362	Q31819505	P1039
Q174037	Q770561	Q3752578	P1039
Q17403881	Q88980839	Q18489480	P1039
Q17407670	Q123457087	Q23045211	P1039
Q17410	Q2582403	Q20746728	P1039
Q17410	Q18301	Q20746725	P1039
Q17413190	Q1798074	Q11921506	P1039
Q17414280	Q1707293		
Q17414280	Q3830727		
Q1741614	Q203559	Q9238344	P1039
Q17417974	Q1895110	Q19756330	P1039
Q17417974	Q60474450	Q19756330	P1039
Q17421944	Q52156822	Q23009870	P1039
Q17423529	Q76047380	Q20746702	P1039
Q17423529	Q7526089	Q20746702	P1039
Q17423529	Q76047381	Q20746713	P1039
Q17423711	Q22018838	Q2914212	P1039
Q17423711	Q21539080	Q3752578	P1039
Q17423711	Q24040804	Q2914212	P1039
Q17426517	Q9343316	Q23009870	P1039
Q17429022	Q634101	Q9238344	P1039
Q17429022	Q945256	Q31819505	P1039
Q17432559	Q3106577	Q2500621	P1039
Q174330	Q2846320	Q4346792	P1039
Q1744	Q130372929	Q4838063	P1039
Q17443646	Q16110522	Q5992509	P1039
Q17443646	Q1134992	Q12158205	P1039
Q17446759	Q108260	Q23045211	P1039
Q17447012	Q639366	Q19756330	P1039
Q17447233	Q17361924	Q76507	P1039
Q1745691	Q2730146	Q20094017	P1039
Q1745807	Q55846398		
Q1747051	Q333884	Q15224724	P1039
Q1747051	Q559535	Q15224724	P1039
Q1747051	Q193901	Q23009870	P1039
Q1747051	Q315297	Q76557	P1039
Q17472713	Q3133216	Q76557	P1039
Q17472713	Q67126707	Q9238344	P1039
Q17472713	Q15970156	Q31819505	P1039
Q174743	Q1440568	Q12443619	P1039
Q17479257	Q382040	Q12160962	P1039
Q1748298	Q4941063	Q76507	P1039
Q1748298	Q4941059	Q76507	P1039
Q1748639	Q270147		
Q17487638	Q533883	Q76507	P1039
Q17487638	Q254789	Q76507	P1039
Q17487638	Q7812365	Q76557	P1039
Q174880	Q63187330	Q23045278	P1039
Q17496748	Q1122998		
Q175090	Q168832	Q13204680	P1039
Q17510095	Q92691488	Q11921506	P1039
Q175130	Q58555662	Q15224724	P1039
Q175130	Q21608991	Q23009870	P1039
Q17515	Q119562	Q3752578	P1039
Q17516020	Q29031	Q9238344	P1039
Q17516020	Q5044640	Q76507	P1039
Q17516320	Q4750543	Q20746725	P1039
Q17516320	Q47536808	Q20746725	P1039
Q17518615	Q123457087	Q23045211	P1039
Q17518876	Q897156	Q4994791	P1039
Q17522	Q33507955	Q76507	P1039
Q17522	Q7069026	Q31819505	P1039
Q17522	Q47119362	Q76557	P1039
Q17522	Q19460990	Q12051531	P1039
Q17522	Q6758216	Q31819505	P1039
Q17522	Q33508786	Q12051531	P1039
Q17522	Q15046900	Q31819505	P1039
Q17523834	Q17711441	Q9235758	P1039
Q1752623	Q50437943		
Q1753204	Q6279196	Q31819505	P1039
Q1753204	Q8012115	Q31819505	P1039
Q1753301	Q558489	Q12160962	P1039
Q175402	Q707498	Q3752578	P1039
Q175402	Q791779	Q12183411	P1039
Q17541135	Q76018217	Q20746725	P1039
Q1754783	Q2159287	Q3752578	P1039
Q1755191	Q4853327	Q3752578	P1039
Q1755191	Q4259192	Q2096646	P1039
Q1755191	Q16174858	Q19756330	P1039
Q1755191	Q12505451	Q18489480	P1039
Q1755413	Q140376036		
Q1755413	Q140376057		
Q175571	Q6377943	Q20746728	P1039
Q175669	Q15982596	Q9238344	P1039
Q175669	Q15982597	Q9235758	P1039
Q175669	Q336977	Q76557	P1039
Q175669	Q117244395	Q76557	P1039
Q175669	Q117244643	Q76507	P1039
Q175669	Q115831509	Q76557	P1039
Q175669	Q116660566	Q76507	P1039
Q175669	Q2154331	Q31819505	P1039
Q175669	Q117244211	Q12051531	P1039
Q175669	Q117244596	Q12051531	P1039
Q175669	Q118774018	Q76507	P1039
Q175669	Q125865879	Q41805469	P1039
Q175669	Q125865998	Q41805469	P1039
Q175669	Q125866112	Q9235758	P1039
Q175669	Q125867739	Q9238344	P1039
Q175669	Q2128781	Q19756330	P1039
Q175669	Q132174911	Q12160962	P1039
Q175669	Q132174876	Q723868	P1039
Q17580621	Q137374	Q3403377	P1039
Q175852	Q47482535	Q13183045	P1039
Q17591681	Q139071451	Q23045211	P1039
Q17600864	Q310847	Q402152	P1039
Q17603117	Q448910	Q19756330	P1039
Q176041	Q159817	Q4346792	P1039
Q17626558	Q5611966		
Q176537	Q208882	Q15224724	P1039
Q176537	Q16214212	Q15224724	P1039
Q17676	Q465335	Q9235758	P1039
Q17676	Q5718583	Q9238344	P1039
Q1768	Q5113434	Q15224724	P1039
Q1769371	Q332419	Q76557	P1039
Q176948	Q3804131	Q23009870	P1039
Q1769765	Q76819	Q11921506	P1039
Q1769833	Q470964		
Q1769847	Q7347912	Q2500621	P1039
Q1770250	Q62272646	Q19756330	P1039
Q1770250	Q4768775	Q3403377	P1039
Q1770552	Q203792	Q76557	P1039
Q1770552	Q220806	Q23009870	P1039
Q1770552	Q468687	Q23009870	P1039
Q1770552	Q4002931	Q2914212	P1039
Q1770552	Q193901	Q19595226	P1039
Q177074	Q5537798	Q183905	P1039
Q177074	Q4547	Q183905	P1039
Q177074	Q1452818	Q183905	P1039
Q177074	Q6218288	Q183905	P1039
Q177074	Q5342247	Q183905	P1039
Q177074	Q18488398	Q183905	P1039
Q177074	Q25374214	Q183905	P1039
Q17708992	Q1353064	Q9238344	P1039
Q17711441	Q1271632	Q3752578	P1039
Q17711441	Q15052227	Q11921506	P1039
Q17711441	Q242555	Q19756330	P1039
Q17711441	Q3486444	Q19756330	P1039
Q17711441	Q17523834	Q19756330	P1039
Q1772014	Q32556666	Q11921506	P1039
Q1772605	Q4590820		
Q177346	Q18646014	Q41810796	P1039
Q1773475	Q16187826	Q9238344	P1039
Q1774093	Q164389	Q3752578	P1039
Q1776544	Q7181205	Q2914212	P1039
Q1776544	Q535330	Q3403377	P1039
Q1776544	Q7181206	Q15224724	P1039
Q1776544	Q4950480	Q15224724	P1039
Q1776544	Q9696	Q3752578	P1039
Q177769	Q9439	Q2500620	P1039
Q1777714	Q6897579	Q23009870	P1039
Q1778588	Q26286363	Q76557	P1039
Q177975	Q1329741	Q4346792	P1039
Q177975	Q48961773	Q4346792	P1039
Q177985	Q950611	Q3752578	P1039
Q1779985	Q135214416	Q13184281	P1039
Q1780939	Q26993339		
Q1782868	Q70996	Q2914212	P1039
Q1782868	Q17123321	Q76557	P1039
Q1782868	Q17126540	Q31819505	P1039
Q178348	Q551578	Q76557	P1039
Q1785	Q582996	Q57832810	P1039
Q1785	Q20506953	Q76507	P1039
Q1785	Q65217195		
Q178525	Q353	Q19756330	P1039
Q178525	Q348943	Q19756330	P1039
Q178577	Q87550	Q31819505	P1039
Q178577	Q7183563	Q2914212	P1039
Q178903	Q1115886	Q13204680	P1039
Q1789343	Q57305632	Q11921506	P1039
Q1789820	Q6980832	Q2914212	P1039
Q1792973	Q915964	Q19822354	P1039
Q1792973	Q2296963	Q19822354	P1039
Q1792973	Q75382289	Q4346792	P1039
Q1792973	Q9685	Q19822354	P1039
Q1792973	Q331287	Q4346792	P1039
Q1793251	Q100271621		
Q179327	Q1566974	Q9238344	P1039
Q179374	Q5163529	Q19756330	P1039
Q179421	Q15449868	Q12160962	P1039;P1545
Q1794321	Q77880	Q9238344	P1039
Q1794545	Q5797598	Q4994791	P1039
Q1794545	Q5393031	Q19682162	P1039
Q1794607	Q617936	Q23009870	P1039
Q179496	Q1929817	Q4346792	P1039
Q179496	Q75788353	Q4346792	P1039
Q179516	Q3608242	Q31819505	P1039
Q1795226	Q13031288	Q31819505	P1039
Q179558	Q4305501	Q19595229	P1039
Q179558	Q320609	Q15224724	P1039
Q179638	Q99521565	Q3403377	P1039
Q1797190	Q13164393		
Q1797989	Q6299782	Q41798832	P1039
Q1797989	Q11292055	Q41798817	P1039
Q1797989	Q75662169	Q41798832	P1039
Q1798074	Q17413190	Q9238344	P1039
Q1798074	Q2268126	Q11921506	P1039
Q1798074	Q3106984	Q11921506	P1039
Q1798074	Q138351	Q11921506	P1039
Q1798564	Q27702901	Q2914212	P1039
Q1798564	Q27765297	Q15224724	P1039
Q179858	Q135238617	Q19682162	P1039
Q17986154	Q27841691	Q2500621	P1039
Q179871	Q17277932	Q23045278	P1039
Q179871	Q27917579	Q4113832	P1039
Q179871	Q18700441		
Q179871	Q353524	Q76557	P1039
Q179871	Q1995125	Q4113832	P1039
Q179871	Q132345	Q4113832	P1039
Q179871	Q318209		
Q179925	Q13580337	Q13183045	P1039
Q1799420	Q2642133	Q23868497	P1039
Q1799420	Q15916622	Q2914212	P1039
Q1799812	Q19352405	Q31819505	P1039
Q1800163	Q94420700	Q13204680	P1039
Q18003079	Q158778	Q41805469	P1039
Q18003079	Q3261001	Q41805469	P1039
Q18010301	Q16011488	Q76557	P1039
Q18011654	Q18220757	Q13204680	P1039
Q18012077	Q708011	Q2500621	P1039
Q18020695	Q21035289		
Q180224	Q15998120	Q76557	P1039
Q180224	Q3240869	Q65760730	P1039
Q180280	Q16601931	Q23045211	P1039
Q180280	Q6040372	Q23045211	P1039
Q180280	Q6081993	Q6793920	P1039
Q180288	Q3851432	Q11921506	P1039
Q180288	Q3618938	Q19756330	P1039
Q180288	Q16657981	Q13183045	P1039
Q180288	Q137722693	Q19680017	P1039
Q180288	Q137722713	Q13183045	P1039
Q180332	Q16187783		
Q180338	Q82104	Q23009870	P1039
Q180338	Q2846314	Q23009870	P1039
Q180338	Q19361769	Q23009870	P1039
Q180409	Q2853481	Q3813877	P1039
Q18043556	Q4238333	Q12160962	P1039
Q180455	Q230303	Q19822354	P1039
Q180455	Q316064	Q4346792	P1039
Q180455	Q75326753	Q19822354	P1039
Q180455	Q3290402	Q4346792	P1039
Q1804622	Q69865		
Q180468	Q50321908	Q3752578	P1039
Q180468	Q376826	Q76557	P1039
Q1805326	Q64651769	Q5992509	P1039
Q1805326	Q1875172	Q12158205	P1039
Q1805326	Q1818563	Q3813877	P1039
Q1805444	Q57635		
Q1805444	Q481469		
Q1805444	Q1712126		
Q1805444	Q1876689		
Q180574	Q3852421	Q76557	P1039
Q1805994	Q5388896	Q12160962	P1039
Q18066887	Q19930134	Q19822354	P1039
Q18066887	Q103582282	Q4346792	P1039
Q18066887	Q56878103	Q3238556	P1039
Q18066887	Q6792732	Q723868	P1039
Q18068312	Q638617	Q3752578	P1039
Q180819	Q89062220	Q19756330	P1039
Q180819	Q4128774	Q31819505	P1039
Q18106581	Q78551265	Q3752578	P1039
Q18115323	Q110181580	Q2914212	P1039
Q18115323	Q334215	Q19595226	P1039
Q18115325	Q263997	Q3238556	P1039
Q18115325	Q9711	Q2914212	P1039
Q18115677	Q98931382	Q11921506	P1039
Q18119599	Q75825	Q76557	P1039
Q18119599	Q56706838	Q57832810	P1039
Q18119599	Q140137572	Q76557	P1039
Q18120934	Q983030	Q76557	P1039
Q1812225	Q276871	Q9238344	P1039
Q18129036	Q10633	Q41798832	P1039
Q1813074	Q15877133		
Q18145207	Q113687014	Q19680017	P1039
Q181530	Q156548	Q41798832	P1039
Q18163216	Q6193821	Q19680017	P1039
Q18166536	Q5541117	Q15224724	P1039
Q18166536	Q4718396	Q13184390	P1039
Q18167845	Q18085882	Q23009870	P1039
Q181685	Q215778	Q15224724	P1039
Q181685	Q905471	Q15224724	P1039
Q181728	Q114245252	Q3752578	P1039
Q181728	Q6996401	Q19680017	P1039
Q18175708	Q5625651	Q2914212	P1039
Q18175708	Q241014	Q3238556	P1039
Q18175708	Q1656489	Q3238556	P1039
Q181764	Q212732	Q3752578	P1039
Q1818563	Q1041465	Q15224724	P1039
Q1818563	Q712254	Q15224724	P1039
Q1818563	Q85261677	Q15224724	P1039
Q1818563	Q1819602	Q3813877	P1039
Q1818563	Q55897110	Q2914212	P1039
Q1818563	Q105657	Q3752578	P1039
Q1818563	Q2063405	Q15224724	P1039
Q1818563	Q1875172	Q15224724	P1039
Q1818563	Q105657		
Q1818563	Q140523140	Q3403377	P1039
Q181887	Q1158442	Q4346792	P1039
Q181887	Q362500	Q4346792	P1039
Q181887	Q587641	Q4346792	P1039
Q18192688	Q4865853	Q3752578	P1039
Q1819421	Q246497	Q76557	P1039
Q1819440	Q989475	Q15657883	P1039
Q1819479	Q84859	Q3752578	P1039
Q1819602	Q1041465	Q69359841	P1039
Q1819602	Q712254	Q69359841	P1039
Q1819602	Q1463725	Q4113832	P1039
Q1819602	Q1818563	Q4113832	P1039
Q1819602	Q85261677	Q69359841	P1039
Q1819690	Q1279076	Q76557;Q13204680	P1039
Q18197802	Q57582189	Q2914212	P1039
Q18205271	Q5386916	Q41805469	P1039
Q18205271	Q29545669	Q31819505	P1039
Q18208500	Q47691741	Q31819505	P1039
Q18214195	Q125029	Q76557	P1039
Q18221145	Q59974662	Q76557	P1039
Q18221916	Q765165	Q19682162	P1039
Q18223880	Q1730462	Q9238344	P1039
Q18224487	Q9057594	Q31819505	P1039
Q18224487	Q17612479		P1038
Q18224487	Q561586	Q15224724	P1039
Q18224487	Q5819512	Q15224724	P1039
Q1822919	Q140183649	Q3752578	P1039
Q18237101	Q5543295	Q19682162	P1039
Q18237101	Q5543245	Q12158205	P1039
Q18243	Q110225806	Q4994791	P1039
Q18243	Q131858237	Q19682162	P1039
Q18243	Q132172919	Q76557	P1039
Q18243	Q76210447	Q23009870	P1039
Q18243	Q135656037	Q23009870	P1039
Q18243720	Q5951841	Q15657883	P1039
Q18244393	Q136346606	Q2914212	P1039
Q18244393	Q136346612	Q18489480	P1039
Q18244393	Q16348958	Q12758374	P1039
Q18244393	Q136346638	Q23045211	P1039
Q18244393	Q136346641	Q12150991	P1039
Q1824645	Q131293179	Q2500621	P1039
Q1824645	Q5871775	Q9238344	P1039
Q18249355	Q19932700	Q3752578	P1039
Q1825004	Q124326010		
Q1825044	Q507807	Q2500621	P1039
Q182637	Q82674	Q19822354	P1039
Q182637	Q7207	Q19822354	P1039
Q182664	Q50578102	Q15224724	P1039
Q182715	Q64141129	Q3752578	P1039
Q182725	Q2363663	Q23009870	P1039
Q1827264	Q96015	Q9238344	P1039
Q1827266	Q318475	Q15224724	P1039
Q1827266	Q952428	Q15224724	P1039
Q1827266	Q319996	Q15224724	P1039
Q1827266	Q16194721	Q3403377	P1039
Q1827266	Q3056362	Q4113832	P1039
Q1827266	Q1514535	Q11921506	P1039
Q182781	Q159378	Q11921506	P1039
Q182781	Q305882	Q11921506	P1039
Q182804	Q990663	Q84158642	P1039
Q18281095	Q9623268		
Q18285	Q10330541	Q402152	P1039;P4500
Q182914	Q9458	Q4994791	P1039
Q183085	Q343621	Q12158205	P1039
Q183087	Q795584	Q11921506	P1039
Q183092	Q4984798	Q4346792	P1039
Q183167	Q4648020	Q31819505	P1039
Q183226	Q170467	Q19682162	P1039
Q1832274	Q107074164	Q13184390	P1039;P580;P582
Q1832274	Q191740	Q13184390	P1039
Q1832274	Q131120	Q13184281	P1039
Q1832274	Q114356583	Q13184390	P1039
Q1832274	Q105083753	Q23045278	P1039
Q1832274	Q105083757	Q23045211	P1039
Q1832274	Q105083759	Q23045278	P1039
Q1832274	Q105083777	Q12443619	P1039
Q1832274	Q105083780	Q23045293	P1039
Q1832274	Q33508315	Q4838063	P1039
Q1832274	Q27664982	Q1282201	P1039;P580;P582
Q1832274	Q3312950	Q1282201	P1039;P580;P582
Q1832274	Q711358	Q19682162	P1039
Q1832274	Q107402170	Q12433519	P1039
Q1832274	Q107402056	Q4994791	P1039
Q1832274	Q107214956	Q4994787	P1039
Q1832274	Q313463	Q84158642	P1039
Q1832274	Q1058602	Q12315099	P1039
Q1832274	Q194762	Q11972456	P1039
Q18325075	Q22808421	Q15224724	P1039
Q183372	Q378553	Q15224724	P1039
Q18342407	Q136388458	Q3752578	P1039
Q18363	Q183226	Q2500621	P1039
Q18363	Q191045	Q19680017	P1039
Q183713	Q140172293		
Q18384895	Q110601964	Q12158205	P1039
Q18385367	Q8017374	Q13204680	P1039
Q18385367	Q20739732	Q23045444	P1039
Q1839208	Q2594875	Q9238344	P1039
Q18398	Q63436533	Q19680017	P1039
Q18411703	Q30017109	Q11921506	P1039
Q18411703	Q109322649	Q11921506	P1039
Q18417987	Q102077665	Q11921506	P1039
Q184226	Q130744974	Q15224724	P1039
Q18425	Q136675104	Q19680017	P1039
Q18425	Q136675787	Q19682183	P1039
Q18425	Q124511358	Q53277248	P1039
Q1842809	Q89889573	Q3752578	P1039
Q18433517	Q116171431	Q76557	P1039
Q1843646	Q661181	Q13204680	P1039
Q18446	Q1709346	Q15224724	P1039
Q184535	Q139920804	Q3403377	P1039
Q184572	Q112152047	Q15224724	P1039
Q184650	Q74703207	Q76557	P1039
Q184780	Q5538960	Q31819505	P1039
Q184885	Q59513147	Q19822354	P1039
Q184885	Q115729516	Q4346792	P1039
Q1848877	Q61111230	Q19756330	P1039
Q1849745	Q110381528	Q19682162	P1039
Q185007	Q3734270	Q12051531	P1039
Q185007	Q122004853	Q23045278	P1039
Q1850160	Q667842	Q11921506	P1039
Q1850160	Q3701853	Q11921506	P1039
Q1850306	Q1920963	Q20094017	P1039
Q18508144	Q9376891	Q2500621	P1039
Q18508144	Q133105526	Q19756330	P1039
Q18508284	Q94762215		
Q18508284	Q105525682		
Q185126	Q360787	Q3752578	P1039
Q1851337	Q124051975	Q3752578	P1039
Q185151	Q3703178	Q57832810	P1039
Q185165	Q58978	Q9238344	P1039
Q185165	Q342612	Q2914212	P1039
Q185165	Q18043958	Q15224724	P1039
Q185165	Q7828487	Q3403377	P1039
Q185165	Q1556492	Q76557	P1039
Q185165	Q1509379	Q23009870	P1039
Q185165	Q436712	Q10436574	P1039
Q18517293	Q1821937	Q4994791	P1039
Q1852173	Q110639198	Q9235758	P1039
Q18521875	Q3069525	Q1498282	P1039
Q18526315	Q18912649	Q30254751	P1039
Q18526520	Q6679447	Q31819505	P1039
Q18527150	Q6792833	Q20746725	P1039
Q18527272	Q8011020	Q31819505	P1039
Q18527752	Q1191104	Q11921506	P1039
Q18528088	Q2978879	Q15224724	P1039
Q18528731	Q5534925	Q13204680	P1039;P580;P582
Q18529690	Q236878		
Q18529818	Q19036534	Q23009870	P1039
Q18530421	Q6927251	Q76557	P1039
Q18530421	Q6249651	Q2914212	P1039
Q18531052	Q695276	Q76557	P1039
Q185381	Q537152	Q15224724	P1039
Q18538359	Q30017492	Q12051531	P1039
Q18538359	Q850743	Q15224724	P1039
Q1853959	Q47899	Q3403377	P1039
Q1853959	Q216298	Q3403377	P1039
Q1853959	Q269846	Q19595229	P1039
Q1854324	Q2222177	Q15224724	P1039
Q18546499	Q688395		
Q18549611	Q838996	Q2914212	P1039
Q18549611	Q18539901	Q13204680	P1039
Q1856074	Q554296	Q41805469	P1039
Q18563876	Q75755711	Q20746725	P1039
Q18563876	Q75755714	Q20746728	P1039
Q18563876	Q75755727	Q20746728	P1039
Q185647	Q110980604	Q4113832	P1039
Q185647	Q574222	Q15224724	P1039
Q185696	Q164015	Q84158642	P1039
Q185696	Q84706528	Q23045293;Q20746728	P1039;P580
Q185696	Q84707672	Q12443619;Q20746725	P1039;P580
Q185724	Q114571255	Q41823427	P1039
Q185724	Q114571452	Q19682171	P1039
Q185724	Q114571545	Q58837291	P1039
Q185724	Q114571666	Q27164472	P1039
Q185724	Q114570941	Q19682162	P1039
Q185724	Q114571030	Q12433519	P1039
Q185724	Q114572543	Q4994791	P1039
Q185724	Q114576308	Q4994787	P1039
Q185724	Q114578180	Q26004701	P1039
Q185724	Q114578445	Q58837291	P1039
Q185724	Q114579139	Q27164472	P1039
Q18575081	Q96194379	Q3403377	P1039
Q18575958	Q58837295	Q2914212	P1039
Q18575980	Q18576103	Q2914212	P1039
Q1858041	Q3759219	Q11921506	P1039
Q18603295	Q107364179	Q23045211	P1039
Q18612466	Q314454		
Q18612466	Q17046134		
Q1861540	Q1394599	Q3752578	P1039
Q18618827	Q3440096	Q9238344	P1039
Q18618827	Q22092200	Q9235758	P1039
Q18618829	Q3440096	Q9238344	P1039
Q18618829	Q22092200	Q9235758	P1039
Q18618829	Q110401632	Q15224724	P1039
Q18618829	Q110401667	Q3403377	P1039
Q18618829	Q110401697	Q3403377	P1039
Q18618829	Q110401718	Q15224724	P1039
Q18624479	Q57135	Q20746725	P1039
Q186256	Q170467	Q2500621	P1039
Q186256	Q36234	Q19682162	P1039
Q186256	Q18363	Q19680017	P1039
Q18630117	Q98339		
Q18630117	Q62549		
Q18630117	Q22693954		
Q18631396	Q4263296	Q76557	P1039
Q18631533	Q1388356	Q23045444	P1039
Q18633339	Q18633337	Q18489480	P1039
Q18634713	Q12809907	Q12051531	P1039
Q18636972	Q662943		
Q18636972	Q15967875	Q31819505	P1039
Q18636972	Q83375851	Q11921506	P1039
Q18638003	Q3545591	Q2914212	P1039
Q186492	Q3261766	Q402152	P1039
