char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
度,U+5EA6,CJK UNIFIED IDEOGRAPH-5EA6,CJK,255,NAME:136; GIVN:109; OCCU:7; TITL:3,琰 瑗度 /陳郡陽夏/
当,U+5F53,CJK UNIFIED IDEOGRAPH-5F53,CJK,255,OCCU:108; NAME:84; GIVN:36; NICK:18,当主
充,U+5145,CJK UNIFIED IDEOGRAPH-5145,CJK,255,NAME:138; GIVN:62; SURN:51; OCCU:4,充房 /万里小路/
庄,U+5E84,CJK UNIFIED IDEOGRAPH-5E84,CJK,255,NAME:145; _MARNM:32; OCCU:28; GIVN:23,新庄 /吉川/
潤,U+6F64,CJK UNIFIED IDEOGRAPH-6F64,CJK,255,NAME:142; GIVN:56; SURN:52; _MARNM:2,潤 /長樂信都/
慕,U+6155,CJK UNIFIED IDEOGRAPH-6155,CJK,255,NAME:135; _MARNM:53; SURN:50; GIVN:11,/慕容/
인,U+C778,HANGUL SYLLABLE IN,HANGUL,255,NAME:137; GIVN:65; PLAC:37; NICK:10,한국 경기도 구리시 인창동 산 2-1번지 동구릉 건원릉
顏,U+984F,CJK UNIFIED IDEOGRAPH-984F,CJK,254,NAME:86; _MARNM:67; TITL:48; GIVN:43,顏氏 /Chan/
派,U+6D3E,CJK UNIFIED IDEOGRAPH-6D3E,CJK,254,NAME:128; _MARNM:86; SURN:25; GIVN:10,稚野毛二派皇子
昇,U+6607,CJK UNIFIED IDEOGRAPH-6607,CJK,253,NAME:107; TITL:62; GIVN:60; SURN:22,陳日昇 /Chan/
望,U+671B,CJK UNIFIED IDEOGRAPH-671B,CJK,253,NAME:148; GIVN:87; NICK:9; _MARNM:4,公望 /陳/
ª,U+00AA,FEMININE ORDINAL INDICATOR,FEMININE,251,NAME:90; NSFX:71; TITL:50; NICK:16,8ª morgada das Cruzes
少,U+5C11,CJK UNIFIED IDEOGRAPH-5C11,CJK,251,NAME:116; GIVN:84; OCCU:31; NICK:18,陳少一 /Chan/
倫,U+502B,CJK UNIFIED IDEOGRAPH-502B,CJK,251,NAME:143; GIVN:96; OCCU:5; NICK:3,陳倫忠 /Chan/
晁,U+6641,CJK UNIFIED IDEOGRAPH-6641,CJK,251,_MARNM:144; NAME:89; SURN:10; GIVN:6,晁 /陳/
崎,U+5D0E,CJK UNIFIED IDEOGRAPH-5D0E,CJK,250,NAME:134; _MARNM:38; SURN:32; OCCU:16,五徳 岡崎殿 /織田/
兵,U+5175,CJK UNIFIED IDEOGRAPH-5175,CJK,250,NAME:116; GIVN:65; OCCU:33; NICK:25,兵衛
幼,U+5E7C,CJK UNIFIED IDEOGRAPH-5E7C,CJK,249,NAME:127; GIVN:105; TITL:10; _MARNM:4,鯤 幼輿 /陳郡陽夏/
梅,U+6885,CJK UNIFIED IDEOGRAPH-6885,CJK,249,NAME:148; GIVN:68; _MARNM:11; NICK:11,蓮華院(お梅の方) /青木/
嬴,U+5B34,CJK UNIFIED IDEOGRAPH-5B34,CJK,249,NAME:127; SURN:102; _MARNM:11; GIVN:9,造父 /嬴姓/
γ,U+03B3,GREEK SMALL LETTER GAMMA,GREEK,247,NAME:95; NICK:46; SURN:43; GIVN:42,Ἀλέξιος /Παλαιολόγος/
早,U+65E9,CJK UNIFIED IDEOGRAPH-65E9,CJK,247,NAME:153; _MARNM:34; SURN:31; GIVN:21,陳早平 /Chan/
微,U+5FAE,CJK UNIFIED IDEOGRAPH-5FAE,CJK,245,NAME:107; GIVN:83; TITL:54; OCCU:1,密 弘微 /陳郡陽夏/
関,U+95A2,CJK UNIFIED IDEOGRAPH-95A2,CJK,245,NAME:135; OCCU:33; SURN:31; _MARNM:30,関白
詮,U+8A6E,CJK UNIFIED IDEOGRAPH-8A6E,CJK,245,NAME:131; GIVN:75; TITL:28; OCCU:9,義詮 /足利/
徽,U+5FBD,CJK UNIFIED IDEOGRAPH-5FBD,CJK,244,NAME:112; GIVN:81; TITL:42; SURN:6,徽 /京兆萬年/
所,U+6240,CJK UNIFIED IDEOGRAPH-6240,CJK,244,NAME:140; GIVN:32; _MARNM:22; SURN:21,所 /黃/
廉,U+5EC9,CJK UNIFIED IDEOGRAPH-5EC9,CJK,244,NAME:147; GIVN:91; OCCU:3; TITL:2,直廉室 /織田/
恕,U+6055,CJK UNIFIED IDEOGRAPH-6055,CJK,243,NAME:127; GIVN:85; TITL:22; OCCU:9,恕 /陳/
穆,U+7A46,CJK UNIFIED IDEOGRAPH-7A46,CJK,243,NAME:117; GIVN:74; TITL:36; _MARNM:7,特穆津
稽,U+7A3D,CJK UNIFIED IDEOGRAPH-7A3D,CJK,243,NAME:122; SURN:114; GIVN:6; NICK:1,稽侯狦 //
ג,U+05D2,HEBREW LETTER GIMEL,HEBREW,242,NAME:106; SURN:38; GIVN:32; NSFX:29,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
，,U+FF0C,FULLWIDTH COMMA,FULLWIDTH,241,NICK:70; PLAC:67; NAME:65; GIVN:15,劉媼 - 维基百科，自由的百科全书
鼎,U+9F0E,CJK UNIFIED IDEOGRAPH-9F0E,CJK,240,NAME:117; GIVN:64; TITL:30; SURN:26,"鼎公 zì Yuányòng 字元用 /Chén 陳/ 99,91, 58, 11"
意,U+610F,CJK UNIFIED IDEOGRAPH-610F,CJK,239,NAME:141; GIVN:82; NICK:7; OCCU:7,昌意 /姬/
渡,U+6E21,CJK UNIFIED IDEOGRAPH-6E21,CJK,239,NAME:147; _MARNM:44; SURN:28; OCCU:14,古渡城
서,U+C11C,HANGUL SYLLABLE SEO,HANGUL,239,NAME:85; PLAC:78; SURN:39; GIVN:33,김대서지
權,U+6B0A,CJK UNIFIED IDEOGRAPH-6B0A,CJK,238,NAME:104; GIVN:74; _MARNM:42; TITL:16,陳權 /Chan/
沼,U+6CBC,CJK UNIFIED IDEOGRAPH-6CBC,CJK,238,NAME:150; _MARNM:32; SURN:29; GIVN:14,沼名倉太珠敷命
赖,U+8D56,CJK UNIFIED IDEOGRAPH-8D56,CJK,238,NAME:156; SURN:41; _MARNM:41,嬾公 Lǎn Gōng /LÀI 赖/
裔,U+88D4,CJK UNIFIED IDEOGRAPH-88D4,CJK,235,NAME:122; GIVN:106; TITL:4; _MARNM:1,裔公 /陳/
菊,U+83CA,CJK UNIFIED IDEOGRAPH-83CA,CJK,235,NAME:141; GIVN:76; NICK:7; OCCU:5,菊子 /浅井/
悅,U+6085,CJK UNIFIED IDEOGRAPH-6085,CJK,235,NAME:92; TITL:75; GIVN:64; NICK:2,〔北魏〕元(悅)妃馮季華墓誌銘
約,U+7D04,CJK UNIFIED IDEOGRAPH-7D04,CJK,233,NAME:119; GIVN:86; OCCU:22; NICK:5,伊達忠宗婚約者
撫,U+64AB,CJK UNIFIED IDEOGRAPH-64AB,CJK,233,NAME:118; SURN:107; GIVN:8,撫恤 /趙/
伴,U+4F34,CJK UNIFIED IDEOGRAPH-4F34,CJK,232,NAME:150; _MARNM:32; SURN:30; GIVN:15,井伴 /浅井/
節,U+7BC0,CJK UNIFIED IDEOGRAPH-7BC0,CJK,229,NAME:121; GIVN:95; TITL:7; NICK:5,陳節 /Chan/
仕,U+4ED5,CJK UNIFIED IDEOGRAPH-4ED5,CJK,229,NAME:135; GIVN:90; _MARNM:2; NICK:2,陳仕傑 /Chan/
典,U+5178,CJK UNIFIED IDEOGRAPH-5178,CJK,229,NAME:126; GIVN:71; OCCU:25; NICK:6,後柏原天皇典侍
冬,U+51AC,CJK UNIFIED IDEOGRAPH-51AC,CJK,228,NAME:136; GIVN:75; OCCU:12; NICK:5,冬 相応院 /織田/
繁,U+7E41,CJK UNIFIED IDEOGRAPH-7E41,CJK,227,NAME:141; GIVN:74; OCCU:8; NICK:4,虎繁
해,U+D574,HANGUL SYLLABLE HAE,HANGUL,227,PLAC:79; NAME:77; GIVN:46; SURN:20,한국 경남 김해군
虞,U+865E,CJK UNIFIED IDEOGRAPH-865E,CJK,226,NAME:102; _MARNM:53; GIVN:37; SURN:26,石虞 /黃/
淵,U+6DF5,CJK UNIFIED IDEOGRAPH-6DF5,CJK,226,NAME:129; GIVN:85; _MARNM:4; SURN:4,玉淵 /大江/
Ō,U+014C,LATIN CAPITAL LETTER O WITH MACRON,LATIN,224,NAME:81; SURN:41; _MARNM:37; TITL:20,Fumiko /Ōkubo/
殷,U+6BB7,CJK UNIFIED IDEOGRAPH-6BB7,CJK,224,_MARNM:130; NAME:59; GIVN:31; PLAC:3,頼殷継室 /牧野/
ئ,U+0626,ARABIC LETTER YEH WITH HAMZA ABOVE,ARABIC,223,TITL:111; NAME:52; GIVN:36; SURN:12,نائلة /الكلبي/
錢,U+9322,CJK UNIFIED IDEOGRAPH-9322,CJK,223,NAME:109; SURN:69; _MARNM:41; GIVN:4,Qián 錢
娶,U+5A36,CJK UNIFIED IDEOGRAPH-5A36,CJK,223,NAME:113; GIVN:104; SURN:5; _MARNM:1,娶 /趙/
진,U+C9C4,HANGUL SYLLABLE JIN,HANGUL,223,NAME:99; GIVN:48; PLAC:37; SURN:28,Jinsa 진 /부여/
固,U+56FA,CJK UNIFIED IDEOGRAPH-56FA,CJK,222,NAME:107; GIVN:78; TITL:31; OCCU:2,固 /陳/
淑,U+6DD1,CJK UNIFIED IDEOGRAPH-6DD1,CJK,222,NAME:129; GIVN:89; NICK:3; _MARNM:1,淑 /松平/
自,U+81EA,CJK UNIFIED IDEOGRAPH-81EA,CJK,220,NAME:120; GIVN:73; TITL:12; NICK:8,振 自証院 /岡/
洞,U+6D1E,CJK UNIFIED IDEOGRAPH-6D1E,CJK,220,NAME:137; _MARNM:29; SURN:29; GIVN:15,実世 /洞院/
斯,U+65AF,CJK UNIFIED IDEOGRAPH-65AF,CJK,219,NAME:132; SURN:34; GIVN:31; _MARNM:18,斯波氏頼室 /佐々木/
ע,U+05E2,HEBREW LETTER AYIN,HEBREW,218,NAME:104; GIVN:59; SURN:22; NICK:12,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
Ł,U+0141,LATIN CAPITAL LETTER L WITH STROKE,LATIN,218,NAME:81; SURN:44; _MARNM:32; STAE:18,"Władysław ""Łysy"" /Arpad/"
物,U+7269,CJK UNIFIED IDEOGRAPH-7269,CJK,218,NAME:131; SURN:30; _MARNM:24; GIVN:22,広孝 監物尉 /織田/
蔡,U+8521,CJK UNIFIED IDEOGRAPH-8521,CJK,217,NAME:103; _MARNM:80; SURN:15; GIVN:12,豊 蔡春院 /徳川/
东,U+4E1C,CJK UNIFIED IDEOGRAPH-4E1C,CJK,217,NAME:108; SURN:99; GIVN:5; STAE:4,"文龙 /广东清山县后衙/ 125, 84, 37, 2, 1世"
易,U+6613,CJK UNIFIED IDEOGRAPH-6613,CJK,215,NAME:111; GIVN:63; SURN:22; TITL:16,改易
辰,U+8FB0,CJK UNIFIED IDEOGRAPH-8FB0,CJK,215,NAME:127; GIVN:75; OCCU:6; NICK:3,宗辰室 /宇喜多/
구,U+AD6C,HANGUL SYLLABLE GU,HANGUL,215,NAME:98; GIVN:49; PLAC:48; SURN:17,근구수 //
逸,U+9038,CJK UNIFIED IDEOGRAPH-9038,CJK,213,NAME:125; GIVN:83; NICK:2; _MARNM:2,承逸 /陳/
ω,U+03C9,GREEK SMALL LETTER OMEGA,GREEK,213,NAME:93; GIVN:57; NICK:27; NSFX:14,Κωνσταντίνος /Δούκας/ Συναυτοκράτορας του Βυζαντίου
사,U+C0AC,HANGUL SYLLABLE SA,HANGUL,213,NAME:109; GIVN:87; _MARNM:7; PLAC:7,사
鳳,U+9CF3,CJK UNIFIED IDEOGRAPH-9CF3,CJK,212,NAME:121; GIVN:82; NICK:5; _MARNM:2,鳳 /陳郡陽夏/
韶,U+97F6,CJK UNIFIED IDEOGRAPH-97F6,CJK,212,NAME:120; GIVN:86; OCCU:3; SURN:2,韶 /陳郡陽夏/
堅,U+5805,CJK UNIFIED IDEOGRAPH-5805,CJK,212,NAME:123; GIVN:80; OCCU:4; NICK:3,陳永堅 /Chan/
桓,U+6853,CJK UNIFIED IDEOGRAPH-6853,CJK,211,NAME:90; _MARNM:52; GIVN:44; OCCU:12,"Huán Gōng Bào 桓公鮑 /Chén 陳/ 51,43, 10G"
葛,U+845B,CJK UNIFIED IDEOGRAPH-845B,CJK,211,NAME:120; _MARNM:44; GIVN:27; SURN:14,葛城 皇子
천,U+CC9C,HANGUL SYLLABLE CEON,HANGUL,211,PLAC:139; NAME:42; GIVN:29; SURN:1,김 천 /김/
履,U+5C65,CJK UNIFIED IDEOGRAPH-5C65,CJK,210,NAME:119; GIVN:84; NICK:2; _MARNM:2,履 /陳/
諸,U+8AF8,CJK UNIFIED IDEOGRAPH-8AF8,CJK,210,NAME:115; GIVN:64; _MARNM:26; NICK:2,諸上 /大枝/
功,U+529F,CJK UNIFIED IDEOGRAPH-529F,CJK,210,NAME:109; SURN:63; GIVN:28; NICK:4,五十功彦命
實,U+5BE6,CJK UNIFIED IDEOGRAPH-5BE6,CJK,209,NAME:117; GIVN:84; TITL:5; SURN:2,夷實 /陳/
忌,U+5FCC,CJK UNIFIED IDEOGRAPH-5FCC,CJK,209,NAME:136; _MARNM:30; SURN:30; GIVN:11,佐賀斯 /忌部/
湛,U+6E5B,CJK UNIFIED IDEOGRAPH-6E5B,CJK,208,NAME:78; TITL:72; GIVN:58,湛 /源/
賓,U+8CD3,CJK UNIFIED IDEOGRAPH-8CD3,CJK,207,NAME:117; GIVN:89; TITL:1,陳宗賓 /Chan/
倍,U+500D,CJK UNIFIED IDEOGRAPH-500D,CJK,207,NAME:123; _MARNM:32; SURN:29; GIVN:17,阿倍高田媛
동,U+B3D9,HANGUL SYLLABLE DONG,HANGUL,207,PLAC:143; NAME:36; GIVN:23; NICK:3,한국 경기도 구리시 인창동 산 2-1번지 동구릉 건원릉
米,U+7C73,CJK UNIFIED IDEOGRAPH-7C73,CJK,206,NAME:120; GIVN:27; _MARNM:21; SURN:16,伊久米伊理毘古伊佐知命
お,U+304A,HIRAGANA LETTER O,HIRAGANA,205,NAME:86; NICK:76; GIVN:42; OCCU:1,お犬の方 /織田/
男,U+7537,CJK UNIFIED IDEOGRAPH-7537,CJK,205,NAME:81; NICK:62; GIVN:53; OCCU:6,織田信秀七男
兒,U+5152,CJK UNIFIED IDEOGRAPH-5152,CJK,204,NAME:105; GIVN:54; SURN:43; NICK:2,孛兒只斤
廷,U+5EF7,CJK UNIFIED IDEOGRAPH-5EF7,CJK,204,NAME:112; GIVN:64; NICK:25; _MARNM:2,廷志
致,U+81F4,CJK UNIFIED IDEOGRAPH-81F4,CJK,204,NAME:122; GIVN:67; NICK:10; OCCU:4,雅致 /大江/
广,U+5E7F,CJK UNIFIED IDEOGRAPH-5E7F,CJK,204,NAME:103; SURN:83; GIVN:13; STAE:4,"文龙 /广东清山县后衙/ 125, 84, 37, 2, 1世"
匡,U+5321,CJK UNIFIED IDEOGRAPH-5321,CJK,203,NAME:115; GIVN:52; SURN:32; OCCU:3,匡義 /陳/
Α,U+0391,GREEK CAPITAL LETTER ALPHA,GREEK,202,NICK:72; NAME:55; GIVN:34; TITL:28,Μιχαήλ Ζ΄ /Δούκας/ Αυτοκράτορας του Βυζαντίου
觀,U+89C0,CJK UNIFIED IDEOGRAPH-89C0,CJK,202,NAME:115; GIVN:70; SURN:6; _MARNM:5,陳觀祐 /Chan/
恩,U+6069,CJK UNIFIED IDEOGRAPH-6069,CJK,201,NAME:91; GIVN:67; TITL:33; _MARNM:4,恩 /陳郡陽夏/
員,U+54E1,CJK UNIFIED IDEOGRAPH-54E1,CJK,201,NAME:121; GIVN:64; OCCU:8; NICK:3,員 子胥 //
階,U+968E,CJK UNIFIED IDEOGRAPH-968E,CJK,201,NAME:129; _MARNM:38; SURN:28; GIVN:3,Yoshichika's wife /Takashina高階/
魯,U+9B6F,CJK UNIFIED IDEOGRAPH-9B6F,CJK,201,NAME:100; GIVN:59; _MARNM:28; SURN:6,直魯古 (Zhí Lǔ Gǔ) /耶律 (Yélǜ)/
質,U+8CEA,CJK UNIFIED IDEOGRAPH-8CEA,CJK,201,NAME:103; GIVN:74; TITL:16; OCCU:4,麗質 /隴西狄道/
復,U+5FA9,CJK UNIFIED IDEOGRAPH-5FA9,CJK,200,NAME:116; GIVN:81; TITL:2; OCCU:1,京 慶復 /京兆長安/
融,U+878D,CJK UNIFIED IDEOGRAPH-878D,CJK,200,NAME:113; GIVN:79; OCCU:3; _MARNM:3,円融院 /三浦/
軽,U+8EFD,CJK UNIFIED IDEOGRAPH-8EFD,CJK,200,NAME:115; _MARNM:28; SURN:24; GIVN:13,津軽信順室
暢,U+66A2,CJK UNIFIED IDEOGRAPH-66A2,CJK,200,TITL:80; NAME:70; GIVN:48; OCCU:2,盛暢正室 /本多/
亨,U+4EA8,CJK UNIFIED IDEOGRAPH-4EA8,CJK,199,NAME:89; GIVN:63; TITL:45; OCCU:2,陳復亨 /Chan/
徐,U+5F90,CJK UNIFIED IDEOGRAPH-5F90,CJK,199,NAME:85; _MARNM:65; SURN:43; GIVN:3,/徐/
妙,U+5999,CJK UNIFIED IDEOGRAPH-5999,CJK,199,NAME:87; GIVN:53; TITL:45; NICK:10,大虞院花顔妙香
施,U+65BD,CJK UNIFIED IDEOGRAPH-65BD,CJK,198,NAME:97; _MARNM:46; SURN:37; GIVN:17,施基皇子
程,U+7A0B,CJK UNIFIED IDEOGRAPH-7A0B,CJK,198,NAME:77; _MARNM:74; SURN:26; GIVN:13,/程/
才,U+624D,CJK UNIFIED IDEOGRAPH-624D,CJK,197,NAME:115; GIVN:81; NICK:1,才卿 /陳郡陽夏/
省,U+7701,CJK UNIFIED IDEOGRAPH-7701,CJK,197,NAME:99; SURN:64; GIVN:25; STAE:5,陳省賢 /Chan/
夷,U+5937,CJK UNIFIED IDEOGRAPH-5937,CJK,196,NAME:113; GIVN:69; NICK:7; OCCU:5,夷實 /陳/
伏,U+4F0F,CJK UNIFIED IDEOGRAPH-4F0F,CJK,196,NAME:102; _MARNM:37; SURN:23; GIVN:18,京都市伏見区
息,U+606F,CJK UNIFIED IDEOGRAPH-606F,CJK,196,NAME:124; GIVN:40; NICK:21; _MARNM:4,千寿王(足利義詮息子)
珪,U+73EA,CJK UNIFIED IDEOGRAPH-73EA,CJK,196,NAME:114; GIVN:80; _MARNM:1; SURN:1,珪子内親王
晞,U+665E,CJK UNIFIED IDEOGRAPH-665E,CJK,196,TITL:147; NAME:27; GIVN:22,〔唐〕郭(晞)夫人長孫璀墓誌
普,U+666E,CJK UNIFIED IDEOGRAPH-666E,CJK,195,NAME:72; TITL:62; GIVN:54; NICK:3,陳普 /Chan/
備,U+5099,CJK UNIFIED IDEOGRAPH-5099,CJK,194,NAME:103; GIVN:54; OCCU:18; NICK:11,従五位下左馬助、備後守
岳,U+5CB3,CJK UNIFIED IDEOGRAPH-5CB3,CJK,194,NAME:109; GIVN:75; NICK:8; OCCU:1,岳星院
勧,U+52E7,CJK UNIFIED IDEOGRAPH-52E7,CJK,193,NAME:107; SURN:32; _MARNM:31; OCCU:14,興信 勧修寺門
禎,U+798E,CJK UNIFIED IDEOGRAPH-798E,CJK,193,NAME:116; GIVN:72; OCCU:4; _MARNM:1,祥山禎公大姉 /斎藤/
་,U+0F0B,TIBETAN MARK INTERSYLLABIC TSHEG,TIBETAN,193,NAME:128; GIVN:51; NSFX:7; NICK:6,Mongsa Chinjam / མོང་བཟའ་ཁྲི་ལནྕམ།
淮,U+6DEE,CJK UNIFIED IDEOGRAPH-6DEE,CJK,192,CITY:67; TITL:60; NAME:36; GIVN:25,"Huái Gōng 淮公 /Chén 陳/ 95, 53, 6"
耀,U+8000,CJK UNIFIED IDEOGRAPH-8000,CJK,192,NAME:113; GIVN:71; _MARNM:4; OCCU:2,市子 光耀院 /徳川/
懿,U+61FF,CJK UNIFIED IDEOGRAPH-61FF,CJK,192,NAME:111; GIVN:76; NICK:2; _MARNM:1,大日本彦耜友尊 /懿徳天皇/
奉,U+5949,CJK UNIFIED IDEOGRAPH-5949,CJK,192,NAME:102; GIVN:76; OCCU:8; SURN:4,本所奉行
漢,U+6F22,CJK UNIFIED IDEOGRAPH-6F22,CJK,191,NAME:78; GIVN:42; NICK:34; TITL:34,"Bàhàn 霸漢 /Chén 陳/ 97,89, 56, 9"
ʿ,U+02BF,MODIFIER LETTER LEFT HALF RING,MODIFIER,191,NAME:86; GIVN:39; _MARNM:29; NICK:17,Chavah bat Hillel al-Ḵh̲uzāʿa
烏,U+70CF,CJK UNIFIED IDEOGRAPH-70CF,CJK,191,NAME:105; SURN:43; GIVN:20; _MARNM:19,景高室 /烏丸/
´,U+00B4,ACUTE ACCENT,ACUTE,190,NAME:70; _MARNM:41; SURN:27; OCCU:17,Ανδρόνικος Δ´ /Παλαιολόγος/ Αυτοκράτορας των Ρωμαίων
弥,U+5F25,CJK UNIFIED IDEOGRAPH-5F25,CJK,190,NAME:106; GIVN:58; OCCU:11; NICK:9,昌吉 弥右衛門 /木下/
官,U+5B98,CJK UNIFIED IDEOGRAPH-5B98,CJK,190,NAME:77; _MARNM:31; GIVN:28; SURN:24,矢田判官代
廬,U+5EEC,CJK UNIFIED IDEOGRAPH-5EEC,CJK,190,NAME:95; SURN:90; GIVN:4; PLAC:1,黒田庵戸宮(廬戸宮)
閬,U+95AC,CJK UNIFIED IDEOGRAPH-95AC,CJK,190,NAME:96; SURN:90; GIVN:4,閬 /姬/
전,U+C804,HANGUL SYLLABLE JEON,HANGUL,189,PLAC:111; NAME:38; GIVN:20; SURN:17,전주 김씨 시조
餘,U+9918,CJK UNIFIED IDEOGRAPH-9918,CJK,188,NAME:99; SURN:40; GIVN:34; _MARNM:13,餘 /陳/
계,U+ACC4,HANGUL SYLLABLE GYE,HANGUL,188,NAME:98; GIVN:83; NICK:3; PLAC:2,성계 /이/
豐,U+8C50,CJK UNIFIED IDEOGRAPH-8C50,CJK,187,NAME:97; SURN:46; GIVN:39; _MARNM:4,Feng Town (豐邑)
讓,U+8B93,CJK UNIFIED IDEOGRAPH-8B93,CJK,187,NAME:101; GIVN:70; TITL:15; NSFX:1,讓 /Chén 陳/
赤,U+8D64,CJK UNIFIED IDEOGRAPH-8D64,CJK,186,NAME:108; GIVN:35; _MARNM:18; SURN:15,术赤 //
ḥ,U+1E25,LATIN SMALL LETTER H WITH DOT BELOW,LATIN,186,NAME:71; NICK:44; GIVN:37; _MARNM:25,Mūsā ibn Ja‘far ibn Muḥammad
종,U+C885,HANGUL SYLLABLE JONG,HANGUL,186,NAME:102; GIVN:73; _MARNM:7; NICK:2,원순종 다르마발라
ა,U+10D0,GEORGIAN LETTER AN,GEORGIAN,185,NICK:102; NAME:44; GIVN:22; SURN:10,ბაგრატ IV ბაგრატიონი
瑜,U+745C,CJK UNIFIED IDEOGRAPH-745C,CJK,185,NAME:77; GIVN:62; TITL:45; _MARNM:1,瓊 Duk Yueh 德 瑜 /£/ 24gen.
傑,U+5091,CJK UNIFIED IDEOGRAPH-5091,CJK,184,NAME:106; GIVN:70; NICK:5; _MARNM:3,陳仕傑 /Chan/
模,U+6A21,CJK UNIFIED IDEOGRAPH-6A21,CJK,184,NAME:100; GIVN:81; OCCU:3,模 /黃/
得,U+5F97,CJK UNIFIED IDEOGRAPH-5F97,CJK,184,NAME:105; GIVN:73; NICK:3; OCCU:2,Kuen 權    Duk Joong  得 中 /NG/ 33gen.
於,U+65BC,CJK UNIFIED IDEOGRAPH-65BC,CJK,184,NAME:117; GIVN:54; NICK:10; PLAC:1,於勝丸
入,U+5165,CJK UNIFIED IDEOGRAPH-5165,CJK,184,NAME:105; GIVN:45; _MARNM:11; NICK:8,道永入道親王
具,U+5177,CJK UNIFIED IDEOGRAPH-5177,CJK,184,NAME:110; GIVN:60; OCCU:8; NICK:6,具教 /北畠/
중,U+C911,HANGUL SYLLABLE JUNG,HANGUL,184,PLAC:65; NAME:61; GIVN:56; _MARNM:2,중국 j이린 吉林市
鹿,U+9E7F,CJK UNIFIED IDEOGRAPH-9E7F,CJK,183,NAME:93; SURN:68; GIVN:12; _MARNM:8,鹿苑寺
集,U+96C6,CJK UNIFIED IDEOGRAPH-96C6,CJK,183,NAME:113; GIVN:26; _MARNM:20; SURN:18,忠公 /伊集院/
Ñ,U+00D1,LATIN CAPITAL LETTER N WITH TILDE,LATIN,182,NAME:54; _MARNM:38; NICK:32; SURN:30,GOMEZ DE UREÑA ARNEDO
姉,U+59C9,CJK UNIFIED IDEOGRAPH-59C9,CJK,182,NAME:111; GIVN:25; _MARNM:18; SURN:17,養德院殿盛嶽桂昌大姉
辻,U+8FBB,CJK UNIFIED IDEOGRAPH-8FBB,CJK,182,NAME:114; _MARNM:28; SURN:26; OCCU:7,朝子 /源(五辻)/
영,U+C601,HANGUL SYLLABLE YEONG,HANGUL,182,NAME:86; GIVN:69; PLAC:18; _MARNM:7,영
桂,U+6842,CJK UNIFIED IDEOGRAPH-6842,CJK,181,NAME:110; GIVN:57; _MARNM:5; NICK:4,養德院殿盛嶽桂昌大姉
甘,U+7518,CJK UNIFIED IDEOGRAPH-7518,CJK,181,NAME:103; _MARNM:28; SURN:25; GIVN:11,経子 /甘露寺/
蔵,U+8535,CJK UNIFIED IDEOGRAPH-8535,CJK,180,NAME:89; GIVN:45; OCCU:31; NICK:9,"弾正忠,武蔵守"
根,U+6839,CJK UNIFIED IDEOGRAPH-6839,CJK,180,NAME:98; GIVN:57; NICK:9; _MARNM:6,島根県
孤,U+5B64,CJK UNIFIED IDEOGRAPH-5B64,CJK,180,NAME:80; _MARNM:62; SURN:23; GIVN:9,龍雲院雄蓮社大誉孤峯源英
務,U+52D9,CJK UNIFIED IDEOGRAPH-52D9,CJK,180,NAME:96; GIVN:51; OCCU:18; _MARNM:7,従五位下中務大輔、正四位下侍従
婺,U+5A7A,CJK UNIFIED IDEOGRAPH-5A7A,CJK,180,NAME:90; SURN:88; GIVN:2,在 叔敬 /徽州婺源/
威,U+5A01,CJK UNIFIED IDEOGRAPH-5A01,CJK,179,NAME:99; GIVN:65; SURN:8; TITL:6,陳威 /Chan/
祚,U+795A,CJK UNIFIED IDEOGRAPH-795A,CJK,179,NAME:105; GIVN:72; NICK:2,Gwong 光 Jo 祚  /NG/ 15gen.
舉,U+8209,CJK UNIFIED IDEOGRAPH-8209,CJK,178,NAME:98; GIVN:73; NICK:6; _MARNM:1,舉 言揚 /陳郡陽夏/
Π,U+03A0,GREEK CAPITAL LETTER PI,GREEK,178,NAME:69; GIVN:44; NICK:25; SURN:24,Ἀλέξιος /Παλαιολόγος/
寬,U+5BEC,CJK UNIFIED IDEOGRAPH-5BEC,CJK,178,NAME:98; GIVN:71; TITL:7; _MARNM:2,陳寬 /Chan/
舜,U+821C,CJK UNIFIED IDEOGRAPH-821C,CJK,178,NAME:103; GIVN:66; NICK:5; TITL:2,舜 /有虞氏/
色,U+8272,CJK UNIFIED IDEOGRAPH-8272,CJK,177,NAME:112; _MARNM:21; SURN:20; GIVN:18,Ikagashikome伊香色謎命
稚,U+7A1A,CJK UNIFIED IDEOGRAPH-7A1A,CJK,177,NAME:91; GIVN:81; NICK:5,稚武彦命
鬼,U+9B3C,CJK UNIFIED IDEOGRAPH-9B3C,CJK,177,NAME:110; _MARNM:24; SURN:20; OCCU:19,鬼刀祢命
镇,U+9547,CJK UNIFIED IDEOGRAPH-9547,CJK,177,NAME:88; SURN:81; GIVN:6; OCCU:1,林镇(次子祝居并) /第35世长林衍派/
여,U+C5EC,HANGUL SYLLABLE YEO,HANGUL,177,NAME:95; SURN:34; GIVN:29; PLAC:14,Biyu 비 /부여/
