han	corpus_count	ko	ja_kana_candidate	ja_romaji_candidate	zh_pinyin
綽	40	작	しゃく	shaku	chuò
學	40	학	がく	gaku	xué
韋	40	위	い	i	wéi
讓	40	양	ゆずる	yuzuru	ràng
华	39	화			huá
絳	39	강	こう	kou	jiàng
舜	39	순	しゅん	shun	shùn
軒	39	헌	けん	ken	xuān
淳	39	순	あつし	atsushi	chún
余	39	여	よ	yo	yú
丘	39	구	おか	oka	qiū
是	39	시	これ	kore	shì
訪	39	방	ほう	hou	fǎng
躬	39	궁	きゅう	kyuu	gōng
翁	39	옹	おきな	okina	wēng
叟	39	수	そう	sou	sǒu
傑	39	걸	けつ	ketsu	jié
遵	39	준	じゅん	jun	zūn
哲	38	철	さとし	satoshi	zhé
許	38	허	もと	moto	xǔ
侍	38	시	さむらい	samurai	shì
与	38	여	よ	yo	yǔ
操	38	조	みさお	misao	cāo
諏	38	추	す	su	zōu
湛	38	담	たん	tan	zhàn
傅	38	부	ふ	fu	fù
浙	38	절	せつ	setsu	zhè
揚	37	양	よう	you	yáng
盈	37	영	えい	ei	yíng
虞	37	우	ぐ	gu	yú
黎	37	여 려	れい	rei	lí
鏡	37	경	かがみ	kagami	jìng
目	37	목	め	me	mù
拔	37	발	ばつ	batsu	bá
仕	37	사	し	shi	shì
亢	37	항	こう	kou	kàng
列	36	열 렬	れつ	retsu	liè
靈	36	영 령	れい	rei	líng
運	36	운	うん	un	yùn
礼	36	예 례	れい	rei	lǐ
忍	36	인	にん	nin	rěn
祢	36	이 니	ね	ne	mí
乙	36	을	おつ	otsu	yǐ
存	36	존	そん	son	cún
濮	36	복	ぼく	boku	pú
幾	35	기	き	ki	jǐ
靖	35	정	やすし	yasushi	jìng
然	35	연	ぜん	zen	rán
桓	35	환	かん	kan	huán
象	35	상	ぞう	zou	xiàng
童	35	동	わらべ	warabe	tóng
取	35	취	しゅ	shu	qǔ
桑	35	상	くわ	kuwa	sāng
蒙	35	몽	もう	mou	méng
鈞	35	균	きん	kin	jūn
儼	34	엄	げん	gen	yǎn
只	34	지	ただ	tada	zhǐ
普	34	보	ふ	fu	pǔ
飯	34	반	めし	meshi	fàn
柴	34	시	しば	shiba	chái
蓮	34	연 련	はす	hasu	lián
弁	34	변	べん	ben	biàn
略	34	약 략	りゃく	ryaku	lüè
止	34	지	し	shi	zhǐ
粟	34	속	あわ	awa	sù
秩	34	질	ちつ	chitsu	zhì
数	34	수	かず	kazu	shù
力	34	역 력	ちから	chikara	lì
觀	34	관	かん	kan	guān
姚	34	요	よう	you	yáo
震	34	진	しん	shin	zhèn
峻	33	준	しゅん	shun	jùn
諒	33	양 량	りょう	ryou	liàng
郁	33	욱	いく	iku	yù
回	33	회	かい	kai	huí
麟	33	인 린	りん	rin	lín
造	33	조	ぞう	zou	zào
禅	33	선	ぜん	zen	chán
麗	33	여 려	れい	rei	lì
位	33	위	くらい	kurai	wèi
縄	33	승	なわ	nawa	shéng
遊	33	유	ゆう	yuu	yóu
朽	33	후	きゅう	kyuu	xiǔ
漢	33	한	かん	kan	hàn
衙	33	아	が	ga	yá
杭	33	항	くい	kui	háng
偉	33	위	い	i	wěi
芈	33	미			mǐ
郯	33	담	たん	tan	tán
護	32	호	ご	go	hù
孚	32	부	ふ	fu	fú
職	32	직	しょく	shoku	zhí
琮	32	종			cóng
茲	32	자	じ	ji	zī
瓊	32	경	けい	kei	qióng
佑	32	우	ゆう	yuu	yòu
暢	32	창	のぶ	nobu	chàng
申	32	신	さる	saru	shēn
服	32	복	ふく	fuku	fú
懋	32	무	ぼう	bou	mào
游	32	유	ゆう	yuu	yóu
經	31	경	けい	kei	jīng
琰	31	염	えん	en	yǎn
曜	31	요	よう	you	yào
裔	31	예	えい	ei	yì
軌	31	궤	き	ki	guǐ
柔	31	유	じゅう	juu	róu
者	31	자	もの	mono	zhě
綾	31	능 릉	あや	aya	líng
庵	31	암	いおり	iori	ān
鳩	31	구	はと	hato	jiū
奴	31	노	やつ	yatsu	nú
鞮	31	제			dī
未	31	미	ひつじ	hitsuji	wèi
己	31	기	おのれ	onore	jǐ
浩	31	호	ひろし	hiroshi	hào
絢	31	현	あや	aya	xuàn
其	31	기	その	sono	qí
适	31	괄			shì kuò
虔	31	건	けん	ken	qián
謝	30	사	しゃ	sha	xiè
饒	30	요	じょう	jou	ráo
諶	30	심			chén
始	30	시	し	shi	shǐ
剛	30	강	つよし	tsuyoshi	gāng
尉	30	위	い	i	wèi
穂	30	수	ほ	ho	suì
均	30	균 연	ひとし	hitoshi	jūn
徹	30	철	とおる	tooru	chè
表	30	표	おもて	omote	biǎo
程	30	정	ほど	hodo	chéng
肥	30	비	こえ	koe	féi
遂	30	수	すい	sui	suì
受	30	수	じゅ	ju	shòu
整	30	정	せい	sei	zhěng
穀	30	곡	こく	koku	gǔ
坦	30	탄	たん	tan	tǎn
鴻	30	홍	こう	kou	hóng
炳	30	병	へい	hei	bǐng
澧	30	예 례			lǐ
超	29	초	ちょう	chou	chāo
霸	29	패	は	ha	bà
考	29	고	こう	kou	kǎo
観	29	관	かん	kan	guān
品	29	품	ひん	hin	pǐn
淡	29	담	たん	tan	dàn
材	29	재	ざい	zai	cái
績	29	적	せき	seki	jī
婉	29	완 원	えん	en	wǎn
芝	29	지	しば	shiba	zhī
升	29	승	ます	masu	shēng
臺	29	대	だい	dai	tái
邑	29	읍	むら	mura	yì
毅	28	의	つよし	tsuyoshi	yì
儔	28	주	ちゅう	chuu	chóu
與	28	여	よ	yo	yǔ
乃	28	내	の	no	nǎi
育	28	육	いく	iku	yù
器	28	기	うつわ	utsuwa	qì
熈	28	희	き	ki	xī
毘	28	비	び	bi	pí
積	28	적	せき	seki	jī
栗	28	율 률	くり	kuri	lì
翰	28	한	かん	kan	hàn
圭	28	규	けい	kei	guī
蔡	28	채	さい	sai	cài
圓	28	원	えん	en	yuán
問	28	문	とん	ton	wèn
圖	28	도	ず	zu	tú
昂	28	앙	こう	kou	áng
魏	28	위	ぎ	gi	wèi
杞	28	기	き	ki	qǐ
薛	28	설	せつ	setsu	xuē
丞	27	승	じょう	jou	chéng
牟	27	모	む	mu	móu
穎	27	영	えい	ei	yǐng
稙	27	직	ちょく	choku	zhī
櫛	27	즐	くし	kushi	zhì
介	27	개	すけ	suke	jiè
権	27	권	けん	ken	quán
勤	27	근	つとむ	tsutomu	qín
攣	27	연 련	れん	ren	luán
臧	27	장	ぞう	zou	zāng
作	27	작	さく	saku	zuò
彬	27	빈	あきら	akira	bīn
齡	27	영 령	れい	rei	líng
瑾	27	근	きん	kin	jǐn
涇	27	경			jīng
鄢	27	언			yān
球	26	구	たま	tama	qiú
果	26	과	か	ka	guǒ
包	26	포	つつみ	tsutsumi	bāo
兄	26	형	あに	ani	xiōng
船	26	선	ふね	fune	chuán
襲	26	습	しゅう	shuu	xí
尋	26	심	じん	jin	xún
庶	26	서	しょ	sho	shù
渠	26	거	きょ	kyo	qú
睦	26	목	むつみ	mutsumi	mù
褒	26	포	ほう	hou	bāo
于	26	우	う	u	yú
佳	26	가	か	ka	jiā
快	26	쾌	かい	kai	kuài
求	26	구	きゅう	kyuu	qiú
默	26	묵	もく	moku	mò
楷	26	해	かい	kai	kǎi
輿	25	여	こし	koshi	yú
肇	25	조	はじめ	hajime	zhào
綜	25	종	そう	sou	zōng
蕭	25	소	しょう	shou	xiāo
因	25	인	いん	in	yīn
地	25	지	ち	chi	de dì
篠	25	소	しの	shino	xiǎo
涼	25	양 량	りょう	ryou	liáng
耳	25	이	みみ	mimi	ěr
豆	25	두	まめ	mame	dòu
浪	25	낭 랑	なみ	nami	làng
綸	25	윤 륜	りん	rin	lún
辛	25	신	しん	shin	xīn
寂	25	적	じゃく	jaku	jì
晦	25	회	かい	kai	huì
筠	25	균			yún
门	25	문			mén
馮	25	풍	ひょう	hyou	féng
嚴	25	엄	げん	gen	yán
琳	25	임 림	りん	rin	lín
瑤	24	요	よう	you	yáo
緯	24	위	い	i	wěi
洽	24	흡	こう	kou	qià
邕	24	옹			yōng
逵	24	규	き	ki	kuí
敷	24	부	しき	shiki	fū
愿	24	원	げん	gen	yuàn
摩	24	마	ま	ma	mó
厳	24	엄	げん	gen	yán
堤	24	제	つつみ	tsutsumi	dī tí
去	24	거	きょ	kyo	qù
殖	24	식	しょく	shoku	zhí
至	24	지	いた	ita	zhì
首	24	수	くび	kubi	shǒu
置	24	치	ち	chi	zhì
彪	24	표	ひょう	hyou	biāo
妣	24	비	ひ	hi	bǐ
旭	24	욱	あさひ	asahi	xù
庫	24	고	こ	ko	kù
壬	24	임	じん	jin	rén
卓	24	탁	すぐる	suguru	zhuó
慧	24	혜	けい	kei	huì
載	24	재	さい	sai	zài
機	24	기	き	ki	jī
梓	24	재	あずさ	azusa	zǐ
鄴	24	업	ぎょう	gyou	yè
彝	24	이	かなえ	kanae	yí
盧	24	노 로	ろ	ro	lú
倩	24	천	せん	sen	qiàn
奕	23	혁	えき	eki	yì
說	23	설 세 열			shuō
繹	23	역	えき	eki	yì
社	23	사	しゃ	sha	shè
陶	23	도	とう	tou	táo
寔	23	식	しょく	shoku	shí
半	23	반	はん	han	bàn
商	23	상	しょう	shou	shāng
応	23	응	おう	ou	yīng
豪	23	호	ごう	gou	háo
醍	23	제	だい	dai	tí
醐	23	호	ご	go	hú
遐	23	하	か	ka	xiá
藝	23	예	げい	gei	yì
巖	23	암	がん	gan	yán
彰	23	창	あきら	akira	zhāng
恆	23	항	つね	tsune	héng
謀	23	모	ぼう	bou	móu
藏	23	장	くら	kura	cáng
演	23	연	えん	en	yǎn
晏	23	안	あん	an	yàn
恬	23	염 념	てん	ten	tián
遜	23	손	そん	son	xùn
翊	23	익	よく	yoku	yì
渾	23	혼	こん	kon	hún
潛	23	잠	せん	sen	qián
符	23	부	ふ	fu	fú
聊	23	요 료	りょう	ryou	liáo
煌	23	황	こう	kou	huáng
當	22	당	とう	tou	dāng
禹	22	우	う	u	yǔ
渋	22	삽	しぶ	shibu	sè
錦	22	금	にしき	nishiki	jǐn
星	22	성	ほし	hoshi	xīng
待	22	대	たい	tai	dài
禰	22	이 니	ね	ne	mí
盤	22	반	ばん	ban	pán
分	22	분	ふん	fun	fēn
寅	22	인	とら	tora	yín
妾	22	첩	めかけ	mekake	qiè
咸	22	함	かん	kan	xián
号	22	호	ごう	gou	hào
宰	22	재	さい	sai	zǎi
孺	22	유	じゅ	ju	rú
何	22	하	なに	nani	hé
潭	22	담	たん	tan	tán
汶	22	문			wèn
瞻	22	첨	せん	sen	zhān
灊	22	첨			qián
鄚	22	막			mào
藻	21	조	も	mo	zǎo
謨	21	모	ぼ	bo	mó
旦	21	단	たん	tan	dàn
皋	21	고	こう	kou	gāo
妹	21	매	いもうと	imouto	mèi
晟	21	성	せい	sei	chéng
脇	21	협	わき	waki	xié
叡	21	예	えい	ei	ruì
穴	21	혈	あな	ana	xué
狩	21	수	かり	kari	shòu
悟	21	오	さとし	satoshi	wù
閭	21	여 려	りょ	ryo	lǘ
濬	21	준	しゅん	shun	jùn
工	21	공	こう	kou	gōng
殷	21	은	いん	in	yīn
夢	21	몽	ゆめ	yume	mèng
覺	21	각	かく	kaku	jué
敖	21	오	ごう	gou	áo
銳	21	예			ruì
恢	21	회	かい	kai	huī
誼	21	의	ぎ	gi	yì
忱	21	침	しん	shin	chén
燕	21	연	つばめ	tsubame	yàn
詡	21	후			xǔ
怡	21	이	い	i	yí
續	21	속	ぞく	zoku	xù
滑	21	활 골	かつ	katsu	huá
邢	21	형	けい	kei	xíng
挺	21	정	てい	tei	tǐng
訥	21	눌	とつ	totsu	nè
翟	21	적	てき	teki	dí
媯	20	규			guī
審	20	심	しん	shin	shěn
牛	20	우	うし	ushi	niú
頊	20	욱			xū
干	20	간	かん	kan	gàn
勒	20	늑 륵	ろく	roku	lēi
又	20	우	また	mata	yòu
輪	20	윤 륜	わ	wa	lún
籍	20	적	せき	seki	jí
竜	20	용 룡	りゅう	ryuu	lóng
眞	20	진	まこと	makoto	zhēn
夜	20	야	よる	yoru	yè
押	20	압	おう	ou	yā
綏	20	수	すい	sui	suī
鵜	20	제	う	u	tí
雪	20	설	ゆき	yuki	xuě
鷲	20	취	わし	washi	jiù
標	20	표	しるべ	shirube	biāo
逢	20	봉	ほう	hou	féng
啓	20	계	けい	kei	qǐ
竇	20	두	とう	tou	dòu
參	20	참 삼	さん	san	cān
娥	20	아	が	ga	é
駿	20	준	しゅん	shun	jùn
精	20	정	せい	sei	jīng
発	20	발	はつ	hatsu	fā
琛	20	침			chēn
姑	20	고	しゅうとめ	shuutome	gū
將	20	장	しょう	shou	jiāng
渙	20	환	かん	kan	huàn
迪	20	적	てき	teki	dí
惲	20	운			yùn
洲	20	주	す	su	zhōu
顥	19	호			hào
著	19	저	ちょ	cho	zhù zhe
徒	19	도	と	to	tú
完	19	완	かん	kan	wán
羊	19	양	ひつじ	hitsuji	yáng
挙	19	거	きょ	kyo	jǔ
誉	19	예	よ	yo	yù
誨	19	회	かい	kai	huì
邇	19	이	じ	ji	ěr
磐	19	반	いわ	iwa	pán
芸	19	운 예	げい	gei	yún
刀	19	도	かたな	katana	dāo
曽	19	증	そ	so	cēng
沙	19	사	さ	sa	shā
住	19	주	じゅう	juu	zhù
蕃	19	번	ばん	ban	bō fān
等	19	등	など	nado	děng
懐	19	회	ふところ	futokoro	huái
学	19	학	がく	gaku	xué
暁	19	효	あかつき	akatsuki	xiǎo
嶷	19	의	ぎょく	gyoku	yí
嬰	19	영	えい	ei	yīng
爽	19	상	そう	sou	shuǎng
毗	19	비			pí
粹	19	수	すい	sui	cuì
乂	19	예	がい	gai	yì
客	19	객	きゃく	kyaku	kè
詢	19	순	じゅん	jun	xún
勃	19	발	ぼつ	botsu	bó
頤	19	이	い	i	yí
渭	19	위	い	i	wèi
昱	19	욱	あきら	akira	yù
嶠	19	교			jiào
顗	19	의			yǐ
史	18	사	し	shi	shǐ
藩	18	번	はん	han	fān
弓	18	궁	ゆみ	yumi	gōng
璵	18	여			yú
楽	18	악	らく	raku	lè
甲	18	갑	かぶと	kabuto	jiǎ
宍	18	육	しし	shishi	ròu
企	18	기	き	ki	qǐ
桜	18	앵	さくら	sakura	yīng
狭	18	협	きょう	kyou	xiá
垂	18	수	すい	sui	chuí
薊	18	계	あざみ	azami	jì
鐸	18	탁	たく	taku	duó
雷	18	뇌 뢰	かみなり	kaminari	léi
難	18	난	なん	nan	nán
提	18	제	てい	tei	tí
嶺	18	영 령	みね	mine	lǐng
愔	18	음			yīn
晃	18	황	あきら	akira	huǎng
頭	18	두	あたま	atama	tóu
映	18	영	えい	ei	yìng
楢	18	유	なら	nara	yóu
徵	18	징			zhǐ zhēng
宥	18	유	ゆう	yuu	yòu
裏	18	이 리	うら	ura	lǐ
虛	18	허			xū
豫	18	예 서	あらかじめ	arakajime	yù
碩	18	석	せき	seki	shuò
斌	18	빈	ひん	hin	bīn
鄆	18	운			yùn
配	18	배	はい	hai	pèi
裴	18	배	はい	hai	péi
諤	18	악	がく	gaku	è
含	17	함	がん	gan	hán
序	17	서	じょ	jo	xù
鄂	17	악	がく	gaku	è
察	17	찰	さつ	satsu	chá
督	17	독	とく	toku	dū
濃	17	농	のう	nou	nóng
磯	17	기	いそ	iso	jī
速	17	속	そく	soku	sù
気	17	기	き	ki	qì
倭	17	왜	わ	wa	wō
草	17	초	くさ	kusa	cǎo
縁	17	연	へり	heri	yuán
彌	17	미	や	ya	mí
寄	17	기	より	yori	jì
執	17	집	しつ	shitsu	zhí
楨	17	정	みき	miki	zhēn
緝	17	집	しゅう	shuu	jī
憑	17	빙	ひょう	hyou	píng
椿	17	춘	つばき	tsubaki	chūn
鑒	17	감	かん	kan	jiàn
悌	17	제	てい	tei	tì
皓	17	호	こう	kou	hào
库	17	고			kù
乡	17	향			xiāng
遷	17	천	せん	sen	qiān
瑩	17	형 영	えい	ei	yíng
丁	17	정	ちょう	chou	dīng
邵	17	소	しょう	shou	shào
及	17	급	きゅう	kyuu	jí
耆	17	기	き	ki	qí
協	17	협	きょう	kyou	xié
珣	17	순			xún
儁	17	준	しゅん	shun	jùn
冀	17	기	き	ki	jì
爲	17	위	ため	tame	wèi
詵	17	선			shēn
膺	17	응	よう	you	yīng
聰	17	총	さとし	satoshi	cōng
晁	17	조	ちょう	chou	cháo
蘊	17	온	うん	un	yùn
巽	17	손	たつみ	tatsumi	xùn
來	17	내 래	らい	rai	lái
汴	17	판			biàn
琬	17	완			wǎn
歷	17	역 력			lì
密	16	밀	みつ	mitsu	mì
勇	16	용	いさみ	isami	yǒng
征	16	정	せい	sei	zhēng
湯	16	탕	ゆ	yu	tāng
句	16	구 귀	く	ku	jù
斐	16	비	ひ	hi	fěi
梶	16	미	かじ	kaji	wěi
凝	16	응	ぎょう	gyou	níng
梨	16	이 리	なし	nashi	lí
央	16	앙	おう	ou	yāng
願	16	원	がん	gan	yuàn
聲	16	성	こえ	koe	shēng
禧	16	희	き	ki	xǐ
律	16	율 률	りつ	ritsu	lǜ
瑛	16	영	えい	ei	yīng
鄰	16	인 린	となり	tonari	lín
書	16	서	かき	kaki	shū
念	16	염 념	ねん	nen	niàn
寵	16	총	ちょう	chou	chǒng
庚	16	경	こう	kou	gēng
拱	16	공	きょう	kyou	gǒng
交	16	교	こう	kou	jiāo
準	16	준	じゅん	jun	zhǔn
適	16	적	てき	teki	shì
潮	16	조	しお	shio	cháo
諾	16	낙 락	だく	daku	nuò
璧	16	벽	かべ	kabe	bì
環	16	환	かん	kan	huán
瓌	16	괴			guī
循	16	순	じゅん	jun	xún
琦	16	기			qí
龜	16	구 귀 균	かめ	kame	guī
紳	16	신	しん	shin	shēn
龐	16	방	ほう	hou	páng
銅	16	동	どう	dou	tóng
谿	16	계	けい	kei	xī
冏	16	경	けい	kei	jiǒng
瑗	15	원	えん	en	yuàn
称	15	칭	しょう	shou	chēng
槐	15	괴	かい	kai	huái
勘	15	감	かん	kan	kān
茶	15	다 차	ちゃ	cha	chá
証	15	정	しょう	shou	zhèng
尭	15	요	ぎょう	gyou	yáo
予	15	여	あらかじめ	arakajime	yǔ
塩	15	염	しお	shio	yán
健	15	건	たけし	takeshi	jiàn
忽	15	홀	こつ	kotsu	hū
莫	15	막	ばく	baku	mò
恂	15	순	じゅん	jun	xún
樋	15	통	ひ	hi	tōng
槻	15	규	つき	tsuki	guī
鸞	15	난 란	らん	ran	luán
救	15	구	きゅう	kyuu	jiù
單	15	단	たん	tan	dān
萩	15	추	はぎ	hagi	qiū
諫	15	간	かん	kan	jiàn
祿	15	녹 록	ろく	roku	lù
亭	15	정	てい	tei	tíng
昆	15	곤	こん	kon	kūn
邁	15	매	まい	mai	mài
該	15	해	がい	gai	gāi
惇	15	돈	とん	ton	dūn
共	15	공	とも	tomo	gòng
鍾	15	종	しょう	shou	zhōng
昶	15	창	ちょう	chou	chǎng
贄	15	지	にえ	nie	zhì
溥	15	부 보	ふ	fu	pǔ
伸	15	신	しん	shin	shēn
睿	15	예	えい	ei	ruì
纘	15	찬			zuǎn
勳	15	훈	いさお	isao	xūn
璘	15	인 린			lín
損	15	손	そん	son	sǔn
閔	15	민	びん	bin	mǐn
淮	15	회	わい	wai	huái
羲	15	희	ぎ	gi	xī
魁	15	괴	かい	kai	kuí
遇	15	우	ぐう	guu	yù
愷	15	개	がい	gai	kǎi
佛	15	불	ほとけ	hotoke	fú
衢	15	구	く	ku	qú
昕	15	흔			xīn
謐	15	밀	ひつ	hitsu	mì
鞏	15	공	きょう	kyou	gǒng
顒	15	옹			yóng
誡	15	계	かい	kai	jiè
潔	14	결	きよし	kiyoshi	jié
吴	14	오			wú
滿	14	만	まん	man	mǎn
炎	14	염 담	ほのお	honoo	yán
悦	14	열	えつ	etsu	yuè
監	14	감	かん	kan	jiān
霊	14	영	れい	rei	líng
渓	14	부	けい	kei	xī
随	14	수	ずい	zui	suí
桃	14	도	もも	momo	táo
髪	14	발	かみ	kami	fà fǎ
帯	14	대	おび	obi	dài
賈	14	가 고	か	ka	jiǎ
乘	14	승	じょう	jou	chéng
了	14	요 료	りょう	ryou	le
柯	14	가	か	ka	kē
旺	14	왕	おう	ou	wàng
辯	14	변	べん	ben	biàn
发	14	발			fā
瓚	14	찬	さん	san	zàn
琇	14	수			xiù
括	14	괄	かつ	katsu	kuò
綰	14	관	わん	wan	wǎn
朔	14	삭	さく	saku	shuò
體	14	체	からだ	karada	tǐ
稱	14	칭	しょう	shou	chēng
潘	14	반	はん	han	pān
勉	14	면	つとむ	tsutomu	miǎn
隨	14	수	ずい	zui	suí
侃	14	간	かん	kan	kǎn
粲	14	찬	さん	san	càn
璿	14	선			xuán
漸	14	점	ぜん	zen	jiàn
暕	14	간			jiǎn
晞	14	희	き	ki	xī
泽	14	택			zé
谢	14	사			xiè
卞	14	변	べん	ben	biàn
熟	14	숙	じゅく	juku	shú
勵	14	여 려	れい	rei	lì
猛	13	맹	たけし	takeshi	měng
汗	13	한	あせ	ase	hàn
显	13	현			xiǎn
玖	13	구	く	ku	jiǔ
寓	13	우	ぐう	guu	yù
群	13	군	ぐん	gun	qún
璉	13	연 련			liǎn
談	13	담	だん	dan	tán
辟	13	피 벽	へき	heki	pì
豁	13	활	かつ	katsu	huō
罕	13	한	かん	kan	hǎn
更	13	경 갱	こう	kou	gèng
猪	13	저	いのしし	inoshishi	zhū
薫	13	훈	かおる	kaoru	xūn
鳴	13	명	めい	mei	míng
袁	13	원	えん	en	yuán
影	13	영	かげ	kage	yǐng
栖	13	서	せい	sei	qī
弗	13	불	ふつ	futsu	fú
必	13	필	ひつ	hitsu	bì
沮	13	저	そ	so	jǔ
専	13	부	せん	sen	zhuān
選	13	선	せん	sen	xuǎn
供	13	공	とも	tomo	gōng
税	13	세	ぜい	zei	shuì
謹	13	근	きん	kin	jǐn
吾	13	오	われ	ware	wú
荣	13	송 영			róng
疑	13	의	ぎ	gi	yí
各	13	각	かく	kaku	gè
放	13	방	ほう	hou	fàng
婁	13	누 루	ろう	rou	lóu
展	13	전	てん	ten	zhǎn
浚	13	준	しゅん	shun	jùn
銓	13	전	せん	sen	quán
構	13	구	こう	kou	gòu
璟	13	경			jǐng
聘	13	빙	へい	hei	pìn
誕	13	탄	たん	tan	dàn
蔚	13	울	うつ	utsu	wèi
遺	13	유	い	i	yí
樞	13	추	すう	suu	shū
賁	13	분	ふん	fun	bì
琨	13	곤			kūn
陝	13	섬	せん	sen	shǎn
琉	13	유 류	りゅう	ryuu	liú
鄄	13	견			juàn
繪	13	회	え	e	huì
陟	13	척	ちょく	choku	zhì
璆	13	구			qiú
踐	13	천	せん	sen	jiàn
朏	12	굴	ひ	hi	fěi
兴	12	흥			xìng
柄	12	병	がら	gara	bǐng
爵	12	작	しゃく	shaku	jué
巴	12	파	ともえ	tomoe	bā
但	12	단	ただ	tada	dàn
琴	12	금	こん	kon	qín
苗	12	묘	なえ	nae	miáo
衆	12	중	しゅう	shuu	zhòng
嶽	12	악	がく	gaku	yuè
陛	12	폐	へい	hei	bì
總	12	총	そう	sou	zǒng
綿	12	면	めん	men	mián
形	12	형	かたち	katachi	xíng
乎	12	호	こ	ko	hū
倶	12	구	ぐ	gu	jù
熾	12	치	し	shi	chì
隣	12	인 린	となり	tonari	lín
欣	12	흔	きん	kin	xīn
哥	12	가	か	ka	gē
兀	12	올	こつ	kotsu	wù
勰	12	협			xié
詳	12	상	しょう	shou	xiáng
祇	12	기	ぎ	gi	qí
味	12	미	あじ	aji	wèi
岸	12	안	きし	kishi	àn
掛	12	괘	かかり	kakari	guà
婚	12	혼	こん	kon	hūn
贇	12	윤 빈	いん	in	yūn
格	12	격	かく	kaku	gé
云	12	운	うん	un	yún
煒	12	위 휘			wěi
暹	12	섬	せん	sen	xiān
敞	12	창	しょう	shou	chǎng
樺	12	화	かば	kaba	huà
黑	12	흑	くろ	kuro	hēi
頌	12	송	しょう	shou	sòng
縱	12	종	たて	tate	zòng
悰	12	종			cóng
貢	12	공	みつぐ	mitsugu	gòng
識	12	식 지	しき	shiki	shí shì
曉	12	효	あかつき	akatsuki	xiǎo
曄	12	엽	よう	you	yè
僖	12	희	き	ki	xī
伋	12	급			jí
援	12	원	えん	en	yuán
庾	12	유			yǔ
霖	12	임 림	りん	rin	lín
蘄	12	기			qí
肱	12	굉	ひじ	hiji	gōng
羋	12	미			mǐ
產	12	산			chǎn
峴	12	현			xiàn
失	12	실	しつ	shitsu	shī
縉	12	진	しん	shin	jìn
纂	12	찬	さん	san	zuǎn
曠	12	광	あきらか	akiraka	kuàng
聶	12	섭	じょう	jou	niè
闕	12	궐	けつ	ketsu	què
強	12	강	きょう	kyou	qiáng
瑱	12	전 진			tiàn
淹	12	엄	えん	en	yān
韜	11	도	とう	tou	tāo
僑	11	교	きょう	kyou	qiáo
稹	11	진			zhěn
蔣	11	장	しょう	shou	jiǎng
董	11	동	くん	kun	dǒng
號	11	호	ごう	gou	hào
耕	11	경	こう	kou	gēng
贤	11	현			xián
亚	11	아			yà
副	11	부	ふく	fuku	fù
塚	11	총	つか	tsuka	zhǒng
矢	11	시	や	ya	shǐ
曇	11	담	どん	don	tán
衣	11	의	ころも	koromo	yī
檀	11	단	だん	dan	tán
嵯	11	차	さ	sa	cuó
甚	11	심	じん	jin	shèn
鉄	11	철	てつ	tetsu	zhí
火	11	화	ひ	hi	huǒ
乳	11	유	ちち	chichi	rǔ
泥	11	이 니	どろ	doro	ní
流	11	유 류	りゅう	ryuu	liú
珥	11	이	じ	ji	ěr
隈	11	외	くま	kuma	wēi
糠	11	강	ぬか	nuka	kāng
笥	11	사	す	su	sì
冶	11	야	や	ya	yě
膳	11	선	ぜん	zen	shàn
濱	11	빈	はま	hama	bīn
俶	11	숙	しゅく	shuku	chù
紫	11	자	むらさき	murasaki	zǐ
遼	11	요 료	りょう	ryou	liáo
椒	11	초	しょう	shou	jiāo
唯	11	유	ただ	tada	wéi
筑	11	축	つく	tsuku	zhù
叙	11	서	じょ	jo	xù
宛	11	완	あて	ate	wǎn
享	11	향	きょう	kyou	xiǎng
煥	11	환	かん	kan	huàn
碧	11	벽	へき	heki	bì
箕	11	기	み	mi	jī
丕	11	비	ひ	hi	pī
稷	11	직	しょく	shoku	jì
坤	11	곤	こん	kon	kūn
禕	11	의			yī
騰	11	등	とう	tou	téng
驎	11	인 린			lín
钟	11	종			zhōng
縝	11	진			chēn
岱	11	대	たい	tai	dài
汪	11	왕	おう	ou	wāng
璩	11	거			qú
泳	11	영	えい	ei	yǒng
仔	11	자	し	shi	zǐ
珩	11	형			héng
揆	11	규	き	ki	kuí
杰	11	걸	けつ	ketsu	jié
衮	11	곤			gǔn
雋	11	준 전	しゅん	shun	juàn
翹	11	교	ぎょう	gyou	qiào
皎	11	교	こう	kou	jiǎo
萊	11	내 래	らい	rai	lái
巷	11	항	ちまた	chimata	xiàng
緘	11	함	よく	yoku	jiān
勗	11	욱	きょく	kyoku	xù
彧	11	욱			yù
禿	11	독	はげ	hage	tū
憬	11	경	けい	kei	jǐng
濤	11	도	とう	tou	tāo
鄧	11	등	とう	tou	dèng
纁	11	훈			xūn
諲	11	인			yīn
系	11	계	けい	kei	xì
鐵	10	철	てつ	tetsu	tiě
澹	10	담	たん	tan	dàn
黨	10	당	とう	tou	dǎng
灌	10	관	かん	kan	guàn
体	10	체 분	からだ	karada	tǐ
珙	10	공			gǒng
丙	10	병	ひのえ	hinoe	bǐng
亞	10	아	あ	a	yà
哀	10	애	あい	ai	āi
伝	10	전	でん	den	yún
視	10	시	し	shi	shì
條	10	조	じょう	jou	tiáo
峨	10	아	が	ga	é
渟	10	정	てい	tei	tíng
遅	10	지	ち	chi	chí
斗	10	두	と	to	dòu dǒu
事	10	사	こと	koto	shì
眼	10	안	め	me	yǎn
