qid	n_geni	n_in_corpus	n_absent	closest_hops	one_export_covers	missing_first_degree	first_degree_total	already_refreshed	sources	geni_in_corpus	geni_absent	names
Q113654086	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000213576797823	6000000002783610884	Johan Ernst Welhaven Winge
Q11581525	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000055770575329	6000000075401792822	?
Q11658318	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000018221794683	6000000074734160070	?
Q11663950	2	1	1		no	6	6	no	wikidata-p2600	6000000075345227826	6000000075328456176	?
Q123004618	2	1	1		no	6	6	no	wikidata-p2600	6000000014072521777	6000000045908183880	Mikołaj Andrzej Firlej h. Lewart
Q12321380	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000018535461966	6000000058127025106	Aksel Høegh Brask
Q12515522	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000208249934896	6000000011187015612	Siti Oetari Tjokroaminoto
Q126995776	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000017348643910	6000000010260088037	Henrika Juliane von Bistram
Q133912	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000008470591324	6000000042712628829	Marie d'Orléans
Q15065416	2	1	1		no	6	6	no	wikidata-p2600	6000000010762730942	6000000190043279058	Ivan Andreïevich Golitsyn
Q1562454	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000021122165842	6000000075403363822	?
Q1567146	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000017522960733	6000000074734626257	?
Q15931739	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000020504892653	6000000074685044850	?
Q15931964	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000018221871621	6000000074734375920	?
Q15975199	2	1	1		no	6	6	no	wikidata-p2600;zipper	5432713922350048692	6000000005588646117	Elisabeth von Lobdeburg-Arnshaugk
Q16239683	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000004533104667	6000000006727957046	Philip de Montgomery
Q18226570	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000055804886011	6000000075343945130	?
Q18612466	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000001169157289	6000000039536716105	Helga Den Fagre Thorsteinsdottir
Q204205	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000013285878529	6000000015540940745	Astrid Sejersted Stang
Q234253	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000006727871574	6000000028522863776	Constance of Aragon
Q2375130	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000000154279554	6000000014245690324	Garsenda de Sabran comtessa de For
Q254095	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000004148953168	6000000120626993849	Adélaïs
Q2616254	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000002187857591	6000000008854010661	Renauld de Courtenay Seigneur de C
Q26198122	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000022528730420	6000000075338184901	?
Q271784	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000002459920044	6000000091971269829	Gerberga de PROVENZA comtessa de P
Q27229724	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000012246179803	6000000001713374664	William ‘younger’ Borthwick of tha
Q28415124	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000134973886823	6000000074759194061	?
Q3006087	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000007041409270	6000000090576737823	D. Férnan Rodríguez de Castro seño
Q3099480	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000009304958513	6000000096987017944	Gauthier II de Cambrai châtelain d
Q3292310	2	1	1		no	6	6	no	wikidata-p2600;zipper	376467993270012862	6000000116758770824	Michael Asen IV Shishman
Q333306	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000000695580826	6000000040672609339	Robrecht II van Vlaanderen
Q3362707	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000008127245557	6000000017184462900	Knut Wladimir Walleen-Bornemann
Q3424909	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000003827587617	6000000009440382555	Renaud de Nevers
Q3847630	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000011091914293	6000000100922818843	Marie de Savoie countess of Saint-
Q4013564	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000212125296832	6000000052620446992	Vincenzo Valentini
Q451436	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000000196235833	6000000009235931499	Humbert I 'Blanches-Mains' de Savo
Q45362961	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000038103633821	6000000075420118856	?
Q45371968	2	1	1		no	6	6	no	wikidata-p2600	6000000074730235970	6000000074730495869	?
Q45379792	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000021653253254	6000000074725583091	?
Q45379793	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000021345148348	6000000074725649007	?
Q45400327	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000019868070024	6000000074704141272	?
Q45400328	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000019867800453	6000000074704702881	?
Q45421482	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000130220732873	6000000075344326897	?
Q45472962	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000057634290388	6000000075405387259	?
Q45485509	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000018223405261	6000000074734555840	?
Q45485574	2	1	1		no	6	6	no	wikidata-p2600;zipper	335849381360005366	6000000074734567836	?
Q45485954	2	1	1		no	6	6	no	wikidata-p2600;zipper	335847370560002574	6000000074734446905	?
Q45503664	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000146710998838	6000000075398091312	?
Q45509606	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000021241557940	6000000075061056830	?
Q45646384	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000074730521900	6000000057603023916	?
Q4938505	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000056928100874	6000000021088600134	Anna Rosenbaum
Q50358699	2	1	1		no	6	6	no	wikidata-p2600;zipper	5162674733680074624	6000000156307448834	Anders Gustav Wide
Q5374477	2	1	1		no	6	6	no	wikidata-p2600	6000000074750197952	6000000074750115107	?
Q5723762	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000013715750546	6000000019427413002	Anders Björling
Q5931773	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000044054425329	6000000017821547006	Hugh Mac Donell
Q6045757	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000007367810201	6000000026899434341	Æschillus Olai Petraeus
Q61711449	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000004317398069	6000000004317203709	Nils Thollander
Q64006584	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000012400353954	6000000177056320821	Andrzej [podkomorzy poznański] Opa
Q647954	2	1	1		no	6	6	no	wikidata-p2600	6000000003827545856	6000000012662643274	Margaret Kerdeston Countess of Ken
Q6538971	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000075060332170	6000000075405551967	?
Q712345	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000010476147469	6000000074733459894	?
Q712916	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000012581597189	6000000074767783890	?
Q75360323	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000022149912144	4185639781590040680	Giacomo Salviati
Q75386892	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000010517937747	6000000003827661355	Jean de Plancy II
Q75499954	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000016055560545	6000000046909957937	Richard Brooke Bt.
Q75613081	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000010541816752	6000000002858264335	Georgette Julie Seligman
Q75718	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000002135014784	6000000033220221857	Ralph de Mantes Earl of Hereford
Q76036202	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000184485876836	6000000002116081349	Robert Innes of Innermarkie
Q76274729	3	1	2		no	6	6	no	wikidata-p2600	6000000017266421837	6000000082963343015;6000000127826945878	Alison Hamilton
Q76284725	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000206704365825	6000000076888503156	Nadine Ivanovna Sanin
Q8255089	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000002188101415	6000000075338227940	?
Q84720837	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000018238607847	6000000008450081312	Maria Caterina Branciforte princip
Q86494520	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000007743782418	6000000026150157243	Claes Michael* Weijdling
Q87470638	2	1	1		no	6	6	no	geni-about-me;geni-wikidata-pairs;structural;wikidata-p2600;zipper	6000000180566653840	6000000040190286292	Catharina Elisabet Elfstrand
Q92002114	2	1	1		no	6	6	no	structural;wikidata-p2600;zipper	6000000006604102320	6000000009024774072	Jelena Jaksić Nagylaki
Q950507	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000007300598862	6000000004842935509	Costache Ghika
Q96284	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000010968122653	6000000080603609842	Otto Graf von Scheyern. Pfalzgraf 
Q983079	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000174058250275	6000000034563345359	Dirk I van Masaland Kinhem Texla
Q99304081	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000003122417431	6000000062593647833	Ermengarde de Narbona
Q99304084	2	1	1		no	6	6	no	wikidata-p2600;zipper	6000000000437187226	6000000062593352979	Béatrix d'Aquitaine
Q10338468	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000021163973241	6000000075061063879	?
Q10367469	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000115604658832	6000000074771241888	?
Q10565470	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000018222093486	6000000074734221999	?
Q10566297	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000003515792476	6000000074714170091	Jonas Ivanas Višnioveckis
Q106607	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000052979256865	6000000026037636440	?
Q107026101	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000018268004010	6000000018375961129	Michele Hsi Yen LIM
Q108732918	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000204934304871	6000000018820108114	11 Maulana Ibrahim Al-Hadrami Azma
Q10897596	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021121880773	6000000074752725931	?
Q110151544	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000015160638038	6000000008733295035	Karl Friedrich Bar. von Prittwitz
Q11098320	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000007969920676	6000000075059722174	?
Q111239463	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000175893574822	6000000007705157654	Slavka Swantiborides, Swantiboride
Q111730275	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000009315983159	6000000079291494310	Alessandro Andrea Bonaccorso Maria
Q11858848	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000007042042380	6000000000011242958	Siiri Laila Gummerus
Q123090671	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000010517996631	6000000003827661348	Jeanne de Sully •Dame de Montaumin
Q134325860	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000060913956890	6000000010998152794	Mathias Josip Josip Paravich de Cz
Q1378067	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000005010499172	6000000074791885821	Godan Khutan Borjigin Khan
Q15910881	2	1	1		no	5	5	no	wikidata-p2600	6000000074705589245	6000000074733417916	?
Q15952839	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000075482345641	6000000075423971873	?
Q16161917	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000002473267166	6000000174571735866	Rafael Sundblom
Q16738560	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000009133657027	6000000036130626369	Marija Dmitrijevna Aleksandro Nevs
Q18236212	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000055775357255	6000000074738972898	?
Q19855074	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000057677779878	6000000075345108144	?
Q19855479	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000052126012983	6000000075344764164	?
Q22813973	2	1	1		no	5	5	no	wikidata-p2600	6000000021151304975	6000000074732463137	?
Q2354053	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000014127796801	6000000043179697918	Laura Mosselman du Chenoy
Q237750	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	5478155610770039297	6000000063637640913	Balthilde abbesse de Chelles
Q24833531	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000022528736085	6000000075338303829	?
Q25926853	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000075328595822	6000000075328555838	?
Q26158973	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000145245019222	6000000074739364833	?
Q26159787	5	1	4		no	5	5	no	wikidata-p2600;zipper	6000000074712880841	6000000074718544979;6000000074725348976;6000000074725786951;6000000074738593963	?
Q26159835	2	1	1		no	5	5	no	wikidata-p2600	6000000074739094864	6000000074712358847	?
Q26197743	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000048522474069	6000000074732902034	?
Q26209530	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000057600647371	6000000075344063937	?
Q272157	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000004075943972	6000000030450052951	Æthelberht
Q272246	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000007329752276	6000000081075863898	Johanne Louise Pätges
Q2830338	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000022893799797	6000000002588816637	Pierre de Chemillé V
Q3007670	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000002408076362	6000000067024356915	Euphemia Ross Countess of Ross
Q3235355	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000017202544020	6000000009825651142	N1209 princess of Tver Grand Princ
Q3307881	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000010048856714	6000000090140327907	Hedvig Katarina Hjortzberg
Q38958026	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000022528705039	6000000075338131862	?
Q4104437	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000006101381799	6000000018171781421	Vasilijus Šemiakinas Kunigaikštis
Q45362936	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000038200468287	6000000074382803821	?
Q45379764	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000017820191687	6000000074684516524	?
Q45379770	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000020504892568	6000000074684813099	?
Q45379791	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021345341925	6000000074725796862	?
Q45387491	2	1	1		no	5	5	no	wikidata-p2600	6000000074747967007	6000000074747761450	?
Q45395529	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000016688555000	6000000074753312996	?
Q45401872	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000042925560789	6000000074759027983	?
Q45418717	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000013157402279	6000000074745860946	?
Q45419924	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000055776248874	6000000074738943846	?
Q45420105	2	1	1		no	5	5	no	wikidata-p2600	6000000049444651207	6000000075345926036	?
Q45420563	2	1	1		no	5	5	no	wikidata-p2600	6000000057635239934	6000000074730247875	?
Q45420852	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000146664144821	6000000074759721095	?
Q45421478	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000129803385821	6000000075344458873	?
Q45422765	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021151067452	6000000074732929021	?
Q45450772	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000051968222123	6000000074732568274	?
Q45450961	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000051968463979	6000000074733138933	?
Q45455399	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000148108495976	6000000074748291925	?
Q45478468	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021164063986	6000000075060641987	?
Q45487223	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021651927231	6000000074725509204	?
Q47201951	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000037808777829	6000000080063167208	Ellen Margaret Janson
Q5113219	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000005926500081	6000000010031415256	Christopher de Seton Knight
Q51910337	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000003743740755	6000000071414866282	Patrik Fabian Honoré de Laval
Q5359187	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000023605262697	6000000075345494877	?
Q5909652	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000041719716936	6000000008986713714	Gösta-Olaus Svengren
Q61483322	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000003278739001	6000000002745070419	Elizabeth Lennox
Q64230191	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000016366260384	6000000184553000822	Fedora Sapiega
Q65798617	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000037870058649	6000000075431388921	?
Q699639	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000007915819416	6000000075060976856	?
Q701713	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000052003730054	6000000074734980966	?
Q70590	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000002836075198	6000000000628797008	Marguerite de Bourgogne Reine de F
Q7069397	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000031419241105	6000000074791817849	Khoja-Oghul Borjigin dynasty
Q75245768	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000003897526345	6000000005588560710	Hartmann XI von Lobdeburg-Arnshaug
Q75619692	2	1	1		no	5	5	no	structural;wikidata-p2600;zipper	6000000201450099829	6000000038534964997	Adolfo Caracciolo
Q76154609	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000006906876734	6000000031554205241	Isabella de Beauchamp
Q76238325	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000225281354843	6000000006597118712	Marguerite de la Clite Vrauwe Merg
Q9450939	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000021122012324	6000000074752947849	?
Q96241088	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000008392189123	6000000090936577836	Yelena NN
Q96243676	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000003828425286	6000000002624391577	Jeanne de Marcilly
Q9889	2	1	1		no	5	5	no	wikidata-p2600	6000000074750403044	6000000074750668898	?
Q99761981	2	1	1		no	5	5	no	wikidata-p2600;zipper	6000000002046101599	6000000000974422508	Elizabeth Allyn
Q10299237	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000004533625152	6000000015071283526	Hervé de Châtillon
Q104538482	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000011242827610	6000000090936577822	Vasily Aleksandrovich Prince of Ko
Q105507260	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000024049187035	6000000037337957028	Marie Louise de Vylder
Q11097387	2	1	1		no	4	4	no	wikidata-p2600	6000000007512954111	6000000074767561845	?
Q11102170	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000002188101423	6000000075337068113	?
Q11270554	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000023615787803	6000000074783448014	?
Q113705456	2	1	1		no	4	4	no	wikidata-p2600	6000000012322319107	6000000203783144836	Wojciech Gastold
Q118703	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000008090464834	6000000124370905826	Jacques de Savoie comte de Ramont
Q11984063	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000000113846113	6000000014962358033	Cathrine Antonie Langaard
Q126101184	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000064611635026	6000000022848929766	Charles Phelps
Q1279545	2	1	1		no	4	4	no	wikidata-p2600	6000000020721434161	6000000003111021533	Eberhard von Alen
Q128358	2	1	1		no	4	4	no	wikidata-p2600	385217766960003428	6000000080087777104	"Bayezid I ""the Thunderbolt"" ottoma"
Q131367754	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000221548722845	340422409040013982	Thomas Bass
Q131426722	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000002597322357	6000000012092537795	Jytte Vitusdatter Bering
Q1371805	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000002043195487	6000000007324188923	Giselbert de Lorraine comte de Maa
Q137392477	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000021633130818	6000000053261944048	Agnes Riesenkampff
Q140006132	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000189776079821	6000000027793921566	?
Q15975197	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000004533196497	6000000005588605468	Elisabeth Gräfin von Orlamünde Mar
Q16077394	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000037889891740	6000000074758490201	?
Q1637267	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000001508080438	6000000058056508954	Humphrey Stafford Earl Stafford
Q16945140	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000019409129322	6000000019409868287	Gustaf Broling
Q1706405	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000027450468955	6000000007498806590	Joseph Friedländer
Q19855078	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000057677143889	6000000075345352067	?
Q20156196	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000077792170931	6000000005087448315	Anna Lovisa Sandström
Q217637	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000000350865266	6000000120849595974	João II 'o Príncipe Perfeito' de P
Q22774382	3	1	2		no	4	4	no	structural;wikidata-p2600;zipper	6000000055759223089	6000000074704621863;6000000074717107866	?
Q2309988	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000002236412009	6000000078941278863	Ereleuva
Q241165	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000006588999950	6000000050564336856	Fastrada
Q2588908	3	1	2		no	4	4	no	wikidata-p2600	6000000035682206982	6000000021328131482;6000000080828769770	?
Q26159569	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000055776391834	6000000074739233821	?
Q26159795	2	1	1		no	4	4	no	wikidata-p2600	6000000074711869083	6000000074738259122	?
Q26159801	2	1	1		no	4	4	no	wikidata-p2600	6000000074712230944	6000000074739094859	?
Q2669823	2	1	1		no	4	4	no	wikidata-p2600;zipper	4363245702860036902	6000000209396433833	Tautvilas, duke of Lithuania
Q270831	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000208315485835	6000000015904606197	Johan August Algot Lundström
Q28413506	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000052061994000	6000000075403159986	?
Q285846	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000008269988471	6000000111820698971	?
Q2982824	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000014911501583	6000000209396285840	Moniwid Vojtech c.o.a. Leliva
Q314817	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000177655134908	6000000011626674938	Yasuhito Nakamikado-tenno, 114th E
Q3707193	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000013050433448	6000000104519897849	Diego Hurtado de Mendoza y de la C
Q392792	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000006727821960	6000000053647447843	Svitrigaila Boleslaus Olgerdovich 
Q441716	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000041606529850	6000000013715702325	Renée Louise Björling
Q4499246	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000145342247824	6000000074750591892	?
Q45363640	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000038103070605	6000000075419865041	?
Q45379769	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000002627227973	6000000074684455480	?
Q45381703	3	1	2		no	4	4	no	wikidata-p2600;zipper	6000000046994839159	6000000074744795165;6000000075482364840	?
Q45418662	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000021151039635	6000000075327429029	?
Q45418663	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000021150896818	6000000075327541854	?
Q45418723	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000052002353269	6000000074745779954	?
Q45418946	2	1	1		no	4	4	no	wikidata-p2600	6000000074758651645	6000000074759753940	?
Q45418965	2	1	1		no	4	4	no	wikidata-p2600	6000000074758788773	6000000075328844004	?
Q45419705	2	1	1		no	4	4	no	wikidata-p2600	6000000074748473857	6000000074748000429	?
Q45419998	2	1	1		no	4	4	no	wikidata-p2600	6000000074712437841	6000000074738993891	?
Q45420197	2	1	1		no	4	4	no	wikidata-p2600	6000000074746843980	6000000075346030031	?
Q45420199	2	1	1		no	4	4	no	wikidata-p2600	6000000074746329431	6000000075345544340	?
Q45420201	2	1	1		no	4	4	no	wikidata-p2600	6000000075345979031	6000000074747011866	?
Q45420664	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000057599883293	6000000075377202825	?
Q45421845	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000038225013563	6000000075400833221	?
Q45422159	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000016699487575	6000000075402472821	?
Q45422166	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000016699687671	6000000075402039998	?
Q45422167	2	1	1		no	4	4	no	wikidata-p2600	6000000016699746684	6000000075402250866	?
Q45422598	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000143819841933	6000000075403323837	?
Q45425048	3	1	2		no	4	4	no	wikidata-p2600;zipper	6000000016707584237	6000000074753508930;6000000074753647898	?
Q45440479	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000076166428033	6000000074758701083	?
Q45492848	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000051968396108	6000000074732734929	?
Q45537341	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000138923351949	6000000074757452281	?
Q45537405	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000138923532885	6000000074757812029	?
Q45564049	3	1	2		no	4	4	no	structural;wikidata-p2600;zipper	6000000145008021913	6000000074701468857;6000000074748015847	?
Q45585273	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000016707209998	6000000074753304130	?
Q45692685	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000052003841204	6000000074735031886	?
Q47525542	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000032625766068	6000000202599448827	Friedrich Matthias von Korff-Schmi
Q4993171	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000017184462671	6000000017181682825	Carl Alphonse Walleen-Bornemann Fr
Q5543274	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000056029293887	6000000015765082436	Carl Hjalmar Huss
Q56037077	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000001669649864	6000000078815222423	"Matilda Maude ""Maude"" de Montgomer"
Q56260324	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	6000000007093992140	6000000005599075997	Elżbieta Moritz
Q58415533	2	1	1		no	4	4	no	wikidata-p2600;zipper	6000000019036896002	6000000019035915000	Ellen Hilda Signe Maria Scherini
Q5906632	2	1	1		no	4	4	no	structural;wikidata-p2600;zipper	4420665020940030271	6000000174620483139	Johannes Kerfstedt
Q611638	2	1	1		no	4	7	no	wikidata-p2600;zipper	6000000010848794414	6000000117150347842	Sextus Quinctilius Varus Appuleius
