step,geni_id,name,born,qid,action,component
145,6000000008242035482,Ingebjørg Erlingsdatter,1250,Q101247950,already on Wikidata,1116499
146,6000000005770948239,Elin Toresdatter Bjarkøy,1290,Q101247948,already on Wikidata,1116499
147,6000000003645672389,Erling Vidkunsson Bjarkøy,1292,Q947838,already on Wikidata,1116499
148,6000000002325844196,Gyrid Andresdatter Andersdatter Bjarkøy Giske,1260,Q101247947,already on Wikidata,1116499
149,6000000003645734242,Andres Gregoriusson Stovrheim Baron,1244,Q101248133,already on Wikidata,1116499
150,6000000001198860794,Cecilía Hákonardóttir Håkonsdotter of Norway,1222,Q75393578,already on Wikidata,1116499
151,6000000000351087701,Haakon Håkonsson Håkonsson,1204,Q316039,already on Wikidata,1116499
152,6000000012724604098,Christina Haakonsdatter Haakonsdatter av Tunsberg Princess Consort av Castilla,1234,Q1796659,already on Wikidata,1116499
153,4924448917970137597,"James I ""the Conqueror"" d'Aragó King",1208,Q212052,already on Wikidata,1116499
154,6000000001338193719,Isabel of Aragon queen consort of France,1248,Q229419,already on Wikidata,1116499
155,6000000005791900593,Philippe 'le Bel' de France IV,1268,Q130969,already on Wikidata,1116499
156,6000000000620057923,Isabelle de France reine consort d'Angleterre,1292,Q228642,already on Wikidata,1116499
157,6000000000202115160,Edward of Windsor,1312,Q129247,already on Wikidata,1116499
158,6000000016643963931,Edmund of Langley 1st Duke of York,1341,Q305002,already on Wikidata,1116499
159,6000000004532537004,"Marguerite Dampierre Countess of Flanders, d'Artois, Nevers, and Burgundy",1350,Q466252,already on Wikidata,1116499
160,6000000004526559011,"Philip II ""the Bold"" of France Duke of Burgundy",1342,Q298892,already on Wikidata,1116499
161,6000000004531774732,Jutta von Luxemburg Duchess of Normandy,1315,Q235487,already on Wikidata,1116499
162,6000000001500832839,Isabelle de France duchesse consort de Milan,1348,Q679986,already on Wikidata,1116499
163,6000000003219772256,Gian Galeazzo Visconti 1°duca di Milano,1351,Q357539,already on Wikidata,1116499
164,6000000003858585185,Filippo Maria Visconti duke of Milan,1392,Q289285,already on Wikidata,1116499
165,6000000000505808060,Sophia Palaiologina marquise of Montferrat,1399,Q928607,already on Wikidata,1116499
166,6000000009965449321,John VIII Palaiologos byzantine emperor,1392,Q37062,already on Wikidata,1116499
167,6000000003273891888,Anna Vasilievna of Moscow,1393,Q2028843,already on Wikidata,1116499
168,4363165195640021509,"Patrikas, prince of Starodub & Zwenihorod",1330,Q2041044,already on Wikidata,1116499
169,6000000011242594971,Alexander Patrikeyevich of Koretsk and Starodubsk,1385,Q4060947,already on Wikidata,1116499
170,6000000008876308051,Agrafena Koretskaya,1400,Q61867285,already on Wikidata,1116499
171,6000000078739412920,Ivan Andreyevich Mozhaysky of Mozhaysk,1430,Q4195546,already on Wikidata,1116499
172,6000000008873369815,(no name),?,Q3920458,already on Wikidata,1116499
173,6000000008873296631,(no name),?,Q4104449,already on Wikidata,1116499
174,6000000008873423348,(no name),?,Q130735546,already on Wikidata,1116499
175,6000000008872633869,(no name),?,Q4410224,already on Wikidata,1116499
176,6000000002322337193,Solomonia Yuryevna Saburova,1490,Q543564,already on Wikidata,1116499
177,6000000000669984837,Vasili III of Russia,1479,Q49686,already on Wikidata,1116499
178,6000000000670268006,Grand Prince Ivan III Vasilyevich of Russia,1440,Q171185,already on Wikidata,1116499
179,6000000002240822234,Maria (Marfa) Yaroslavna Borovskaya,1418,Q2033018,already on Wikidata,1116499
180,6000000008865310145,"Yaroslav Vladimirovich, Prince of Borovsk",1388,Q4538767,already on Wikidata,1116499
181,6000000006727821946,Elena Olgerdovna of Lithuania,1352,Q55082017,already on Wikidata,1116499
182,6000000001409339120,Uliana Marina Martha of Tver,1325,Q128399,already on Wikidata,1116499
183,6000000013301101528,Eufrosina of Lithuania,1352,Q61563428,already on Wikidata,1116499
184,6000000078813068353,Agrippina Olegovna,1370,Q15650626,already on Wikidata,1116499
185,6000000017936502515,Jan Iwan,1320,Q15650618,already on Wikidata,1116499
186,6000000014192291815,Tyt Mstislavich,1268,Q4458172,already on Wikidata,1116499
187,6000000014192355573,Svyatoslav Titovich of Karachev,1320,Q39382955,already on Wikidata,1116499
188,6000000014192325711,"Mstislav, prince of Karachev",?,Q127097415,already on Wikidata,1116499
189,6000000009129000098,Ivan Ioannovich Hotet Prince of Korachev,1370,Q127097654,already on Wikidata,1116499
190,6000000006727838189,Duchess Uliana of Olshany,1378,Q4228358,already on Wikidata,1116499
191,6000000002240806863,Vytautas the Great,1350,Q218186,already on Wikidata,1116499
192,6000000001398561082,Birute of Palanga,1317,Q2371160,already on Wikidata,1116499
193,4363245702860036902,"Tautvilas, duke of Lithuania",1355,Q2669823,already on Wikidata,1116499
194,6000000014912988335,Julijona Smolenskietė,?,Q26714756,already on Wikidata,1116499
195,6000000014911501583,Moniwid Vojtech c.o.a. Leliva,1370,Q2982824,already on Wikidata,1116499
196,6000000012439465257,Koylikin or Goyligin c.o.a. Swan,1320,Q26714723,already on Wikidata,1116499
197,4363142221750073202,Montvidas Gediminid,1276,Q609862,already on Wikidata,1116499
198,6000000000671822547,"Gediminas, Grand Duke of Lithuania",1255,Q244852,already on Wikidata,1116499
199,6000000003827400158,princess Aldona of Lithuania,1309,Q252763,already on Wikidata,1116499
200,6000000003827400152,"Casimir III ""Wielki"" Piast",1310,Q53457,already on Wikidata,1116499
201,6000000004268081131,"Władysław I ""the Elbow-high""",1260,Q54048,already on Wikidata,1116499
202,6000000002240810096,Casimir I of Kuyavia of Piast,1211,Q936880,already on Wikidata,1116499
203,6000000002188002590,Konrad I Piast duke of Poland & of Masovia,1187,Q53460,already on Wikidata,1116499
204,6000000003645896177,Casimir II The Just Piast,1138,Q53456,already on Wikidata,1116499
205,6000000002400782615,Salomea von Berg-Schelklingen,1099,Q68567,already on Wikidata,1116499
206,6000000002400899638,Mieszko III III van Polen the Old,1126,Q54013,already on Wikidata,1116499
207,6000000001643397812,Judyta Mieszkówna,1152,Q63389795,already on Wikidata,1116499
208,6000000003827445735,Heinrich I von Anhalt-Zerbst Count of Anhalt,1170,Q67176,already on Wikidata,1116499
209,6000000003827527724,Jutta Askanier,1215,Q20500876,already on Wikidata,1116499
210,6000000003801815067,Heinrich I Mecklenburg Herzog zu Mecklenburg-Werle,1234,Q95549,already on Wikidata,1116499
211,6000000003801656372,Rikissa Birgersdotter Folkunga,1238,Q441785,already on Wikidata,1116499
212,6000000010160609967,Birger Magnusson (Folkungaätten),1210,Q316828,already on Wikidata,1116499
213,6000000003455608992,Valdemar Birgersson,1239,Q357200,already on Wikidata,1116499
214,6000000000709878499,Sophia Eriksdatter Queen of Sweden,1241,Q2321295,already on Wikidata,1116499
215,6000000001651460598,Erik Plogpenning Estridsøn,1216,Q350226,already on Wikidata,1116499
216,6000000001651502714,Ingeborg Eriksdatter af Danmark,1244,Q287511,already on Wikidata,1116499
217,6000000000351087679,Eric Magnusson Magnusson,1268,Q314450,already on Wikidata,1116499
218,6000000010200851092,Margaret of Scotland Queen of Norway,1261,Q235482,already on Wikidata,1116499
219,6000000000436936320,Margaret Plantagenet Queen Of Scots,1240,Q242317,already on Wikidata,1116499
220,6000000007386881233,Éléonore de Provence Reine Consort d'Angleterre,1223,Q228885,already on Wikidata,1116499
221,6000000006574729702,Beatrice of England Countess of Richmond,1242,Q242344,already on Wikidata,1116499
222,6000000004533274488,Marie de Dreux comtesse de Saint-Pol,1268,Q6654925,already on Wikidata,1116499
223,6000000003615807137,Guy IV de Châtillon comte de Saint-Pol,1254,Q348322,already on Wikidata,1116499
224,6000000005063557395,Mathilde van Brabant,1224,Q264017,already on Wikidata,1116499
225,6000000002245794809,Robert I Capet count of Artois,1216,Q375325,already on Wikidata,1116499
226,6000000000047868106,Louis VIII 'le Lion' de France roi de France,1187,Q165284,already on Wikidata,1116499
227,6000000001744977554,Charles I of Anjou king of Sicily,1226,Q203829,already on Wikidata,1116499
228,6000000000632007001,"Charles ""the Lame"" of Anjou",1254,Q314331,already on Wikidata,1116499
229,6000000000192573342,Marguerite d'Anjou comtesse d'Anjou et du Maine,1273,Q241350,already on Wikidata,1116499
230,6000000000192494657,Jeanne de Valois Comtesse de Hainault,1289,Q916305,already on Wikidata,1116499
231,6000000005599098019,Margaretha Countess Of de Hainault Kaiserin des Heiligen Römischen Reiches,1310,Q467019,already on Wikidata,1116499
232,4202780705000039134,Louis IV Wittelsbach Holy Roman Emperor,1282,Q57161,already on Wikidata,1116499
233,4202797373630036356,"Ludwig ""the Severe"" von Bayern",1229,Q61467,already on Wikidata,1116499
234,6000000006127668486,Mechthild av Bayern Wittelsbach,1275,Q3298973,already on Wikidata,1116499
235,6000000002188021349,Otto II Welf Herzog,1266,Q70791,already on Wikidata,1116499
236,310818848820003860,Johann I Von Brunswick-Lüneburg Herzog,1242,Q67155,already on Wikidata,1116499
237,6000000003646057190,Mathilde von Brandenburg,1209,Q1309296,already on Wikidata,1116499
238,6000000003771781380,Helene Ilona Welf Herzogin und Kurfürstin zu Sachsen,1223,Q3721523,already on Wikidata,1116499
239,6000000002188118564,Hermann II von Thüringen Landgraf,1222,Q68575,already on Wikidata,1116499
240,6000000003243447534,Erzsébeth of Hungary von Ungarn Princess,1207,Q159862,already on Wikidata,1116499
241,6000000001588517287,Gertrud of Hungary von Andechs Queen consort,1185,Q61491,already on Wikidata,1116499
242,6000000000153344904,Bela IV Péter Árpád King of Hungary and Croatia,1205,Q152370,already on Wikidata,1116499
243,6000000006727869011,Stephen Arpad V.,1239,Q158038,already on Wikidata,1116499
244,6000000003067185677,Anna Árpád Princess of Hungary and Croatia,1260,Q2774126,already on Wikidata,1116499
245,361088630390012679,Michael IX Palaiologos Byzantine co-emperor,1277,Q37098,already on Wikidata,1116499
246,361088850870011645,Rita Maria Byzantine Empress consort,1278,Q2579326,already on Wikidata,1116499
247,6000000003695602736,Levon II (III) of Armenia,1236,Q743783,already on Wikidata,1116499
248,6000000006101430426,Isabella I queen of Cilician Armenia,1216,Q4924,already on Wikidata,1116499
249,6000000006101430432,Leo I of Armenia,1150,Q541848,already on Wikidata,1116499
250,6000000003146970482,Stephanie of Armenia Rita,1195,Q959494,already on Wikidata,1116499
251,6000000000351094637,John de Brienne king of Jerusalem,1171,Q332704,already on Wikidata,1116499
252,6000000000351094629,Berenguela de León emperatriz consorte de Constantinopla,1204,Q457667,already on Wikidata,1116499
253,6000000001412951572,Berengaria la Grande de Castilla I,1180,Q232323,already on Wikidata,1116499
254,6000000000010678591,Ferdinand,1199,Q243122,already on Wikidata,1116499
255,6000000010289136104,Alfonso X 'el Sabio' de Castilla y León rey de Castilla y León,1221,Q47595,already on Wikidata,1116499
256,6000000000109943404,Sancho IV 'el Bravo' de Castilla y León rey de Castilla y León,1258,Q312110,already on Wikidata,1116499
257,6000000000138722743,Fernando IV 'el Emplazado' de Castilla y León rey de Castilla y León,1285,Q316859,already on Wikidata,1116499
258,6000000000111122332,"Alfonso XI ""the Just"" of Castile and León King of Castile and León",1311,Q298808,already on Wikidata,1116499
259,6000000000123057197,Rei Henrique II de Castela,1332,Q262363,already on Wikidata,1116499
260,6000000001976895401,Juan I Enriquez king of Castile and Leon,1358,Q310421,already on Wikidata,1116499
261,6000000001599490659,Eleanor of Aragon de Barcelona Queen Consort of Castille,1358,Q2016585,already on Wikidata,1116499
262,6000000001599696823,Eleanor of Sicily queen consort of Aragon,1325,Q241635,already on Wikidata,1116499
263,6000000002372843490,Peter II de Aragón king of Sicily,1305,Q381273,already on Wikidata,1116499
264,6000000000153391275,Frederick II-III de Aragón king of Sicily,1272,Q367226,already on Wikidata,1116499
265,6000000000138721614,Constance II Hohenstaufen queen of Sicily consort of Aragona,1249,Q286537,already on Wikidata,1116499
266,6000000008269730491,Elizabeth Infanta of Aragon queen consort of Portugal,1271,Q235857,already on Wikidata,1116499
267,6000000000109941736,Dinis 'o Justo' de Portugal I,1261,Q212890,already on Wikidata,1116499
268,6000000000796891248,Afonso III of Burgundy King of Portugal,1210,Q295850,already on Wikidata,1116499
269,6000000001412881746,"Afonso II the Fat, King of Portugal «o Gordo» de Portugal",1185,Q296463,already on Wikidata,1116499
270,6000000000728299766,Dulcía (Aldonza) Aragon reina consorte de Portugal,1160,Q283312,already on Wikidata,1116499
271,6000000003660469168,Petronila Ramirez Aragón reina de Aragón,1136,Q235409,already on Wikidata,1116499
272,6000000000125864381,Ramón Berenguer 'Alfonso el Casto' de Aragón rey de Aragón,1157,Q299156,already on Wikidata,1116499
273,6000000002043258381,Sancha de Castilla reina consorte de Aragón,1154,Q296003,already on Wikidata,1116499
274,6000000000156317517,Richeza of Poland Queen of Castile and León,1140,Q80692,already on Wikidata,1116499
275,6000000000146450453,Agnes von Babenberg,1111,Q2228389,already on Wikidata,1116499
276,6000000000146368622,Agnes,1072,Q242187,already on Wikidata,1116499
277,6000000000125394145,Frederick de Hohenstaufen,1090,Q552414,already on Wikidata,1116499
278,5020177483010087236,"Friedrich I ""Barbarossa"" von Hohenstaufen Kaiser des Heiligen Römischen Reiches",1122,Q79789,already on Wikidata,1116499
279,6000000003614102983,Henry,1165,Q150953,already on Wikidata,1116499
280,6000000000424888017,Frederick Ruggero Hohenstaufen,1194,Q130221,already on Wikidata,1116499
281,6000000004303586351,Isabella Plantagenet Princess of England,1214,Q237858,already on Wikidata,1116499
282,6000000007593862015,Isabelle of Angoulême Queen Consort of England,1188,Q231788,already on Wikidata,1116499
