qid	geni_id	mul	culture	culture_evidence
Q11102011	6000000074706081896	約 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45511158	6000000074706085018	弘暕 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45509954	6000000074706097966	鱣 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q15904558	6000000074706130908	寬 景仁 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45511287	6000000074706226847	弘冑 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q15907871	6000000074706251821	紀 文憲 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45427000	6000000074709834821	謩 潭州衡山	zh	graph traversal, 4 hop(s)
Q65903036	6000000074711095386	辯 河南	zh	graph traversal, 6 hop(s)
Q45649484	6000000074711450238	辟邪 趙州平棘	zh	carries the clan seat 趙州平棘, which is Chinese
Q45364482	6000000074711688934	南劍州將樂	zh	graph traversal, 4 hop(s)
Q45647453	6000000074711754203	恃和 滑州匡城	zh	graph traversal, 5 hop(s)
Q45647985	6000000074711853110	思恭 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45647866	6000000074711869137	伯膺 河南	zh	graph traversal, 3 hop(s)
Q45644918	6000000074712038045	搏 趙州平棘	zh	carries the clan seat 趙州平棘, which is Chinese
Q45419994	6000000074712087944	襲 滑州匡城	zh	graph traversal, 1 hop(s)
Q45427816	6000000074712178879	建州松溪	zh	graph traversal, 5 hop(s)
Q26159801	6000000074712230944	纘 趙州平棘	zh	carries the clan seat 趙州平棘, which is Chinese
Q45645592	6000000074712234882	世辯 河南	zh	graph traversal, 6 hop(s)
Q45647395	6000000074712243992	恃顯 滑州匡城	zh	graph traversal, 5 hop(s)
Q45644448	6000000074712267895	公挺 河南	zh	graph traversal, 5 hop(s)
Q45647632	6000000074712289921	默之 滑州匡城	zh	graph traversal, 9 hop(s)
Q45504640	6000000074712324955	道謙 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45649245	6000000074712366884	孝恭 趙州平棘	zh	carries the clan seat 趙州平棘, which is Chinese
Q45648104	6000000074712374855	渙 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q26159846	6000000074712392848	裔 河南	zh	graph traversal, 3 hop(s)
Q45648163	6000000074712436879	去伐 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45419998	6000000074712437841	閣 滑州匡城	zh	graph traversal, 2 hop(s)
Q45648285	6000000074712469853	洽 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45424434	6000000074712473826	侔 滑州匡城	zh	graph traversal, 3 hop(s)
Q45649126	6000000074712495868	元稱 河南	zh	graph traversal, 2 hop(s)
Q45639834	6000000074712529072	逖 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45512348	6000000074712657087	憬 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45511398	6000000074712733072	慤 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45507593	6000000074712749954	續 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45511841	6000000074712756038	潁之 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45512094	6000000074712788982	挺之 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45512284	6000000074712832987	寔 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q30942074	6000000074712833977	惇 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q26159787	6000000074712880841	勁 河南	zh	graph traversal, 1 hop(s)
Q45512852	6000000074712913987	待價 乃文 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45512031	6000000074712914949	栖 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45510571	6000000074713101849	大隱 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45639895	6000000074713129844	崇約 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45511080	6000000074713138867	謇之 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45510696	6000000074713154830	鴻漸 功期 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45511714	6000000074713230821	諤之 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q18165134	6000000074715308877	防 江平 扶風茂陵	zh	graph traversal, 5 hop(s)
Q15895964	6000000074715315842	柬之 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q45528760	6000000074715874871	鸑 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45483547	6000000074716153057	褒 清河東武城	zh	graph traversal, 6 hop(s)
Q45421914	6000000074716169177	陲 平仲 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45461254	6000000074716170204	弘默 清河東武城	zh	graph traversal, 3 hop(s)
Q45463994	6000000074716170225	敷 清河東武城	zh	graph traversal, 6 hop(s)
Q45466826	6000000074716177215	郔 貝州清河	zh	graph traversal, 8 hop(s)
Q45461953	6000000074716184135	鍔 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45536702	6000000074716184281	孝彝 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q45463484	6000000074716247139	鄜 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45461389	6000000074716247146	道默 清河東武城	zh	graph traversal, 3 hop(s)
Q45461827	6000000074716252144	諲 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45463865	6000000074716260150	漪 清河東武城	zh	graph traversal, 5 hop(s)
Q45461513	6000000074716286212	寬 清河東武城	zh	graph traversal, 5 hop(s)
Q45460628	6000000074716303241	礪 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45462141	6000000074716316196	瑊 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45460253	6000000074716316276	羲 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45462330	6000000074716562039	頌 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45462269	6000000074716596044	頎 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45672794	6000000074716596153	槦 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45463930	6000000074716607014	敦 清河東武城	zh	graph traversal, 6 hop(s)
Q45462802	6000000074716614121	璆 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45461326	6000000074716654065	沌 清河東武城	zh	graph traversal, 4 hop(s)
Q45413491	6000000074716719488	士諤 金華浦江	zh	graph traversal, 6 hop(s)
Q18909555	6000000074716750086	璀 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45463547	6000000074716784057	嶠 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45466765	6000000074716784181	璘 貝州清河	zh	graph traversal, 10 hop(s)
Q10271698	6000000074716811255	膠 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45619200	6000000074716862118	稱 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45383422	6000000074716863227	縕 建昌南城	zh	graph traversal, 2 hop(s)
Q15891944	6000000074716891124	珏 貝州清河	zh	graph traversal, 9 hop(s)
Q45599382	6000000074716907961	璬 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45523548	6000000074716910018	漵 清河東武城	zh	graph traversal, 5 hop(s)
Q45464812	6000000074716910062	兖 清河東武城	zh	graph traversal, 6 hop(s)
Q45421919	6000000074716917975	邠 處仁 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45462519	6000000074716931971	瑀 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45599318	6000000074716942033	璞 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45465380	6000000074716942068	瀣 河北道河南府	zh	graph traversal, 8 hop(s)
Q45604011	6000000074716942075	粲 清河東武城	zh	graph traversal, 4 hop(s)
Q45421929	6000000074716964964	璜 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45466578	6000000074716969070	鄠 貝州清河	zh	graph traversal, 8 hop(s)
Q45421910	6000000074716983927	綜 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q10271321	6000000074716986016	峴 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45462204	6000000074716987926	彥綽 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45524101	6000000074716996084	景恭 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q45466324	6000000074717000085	絳 清河東武城	zh	graph traversal, 5 hop(s)
Q45527041	6000000074717001110	栟 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45421918	6000000074717013905	瓘 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45483420	6000000074717013947	著 清河東武城	zh	graph traversal, 5 hop(s)
Q45362749	6000000074717025937	頌 敦美 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q11054091	6000000074717028946	郾 廣略 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45461007	6000000074717039938	漸 河北道河南府	zh	graph traversal, 6 hop(s)
Q45452838	6000000074717051969	翽 蒲州河東	zh	graph traversal, 10 hop(s)
Q45465128	6000000074717062987	庠 清河東武城	zh	graph traversal, 6 hop(s)
Q45465315	6000000074717068935	濛 河北道河南府	zh	graph traversal, 8 hop(s)
Q45390712	6000000074717070325	蕃 彥弼 撫州金谿	zh	graph traversal, 2 hop(s)
Q5192676	6000000074717076961	鄲 晉封 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45465063	6000000074717080948	荐 清河東武城	zh	graph traversal, 5 hop(s)
Q45413493	6000000074717084375	士謐 金華浦江	zh	graph traversal, 6 hop(s)
Q45359141	6000000074717087896	曥 文炳 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45463737	6000000074717089895	道楨 清河東武城	zh	graph traversal, 3 hop(s)
Q45461890	6000000074717092872	郕 河南偃師	zh	carries the clan seat 河南偃師, which is Chinese
Q45447360	6000000074717100915	穜 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45682518	6000000074717103936	塤 貝州清河	zh	graph traversal, 9 hop(s)
Q45691696	6000000074717124967	保謙 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45527232	6000000074717126895	建娘 崔	zh	graph traversal, 2 hop(s)
Q45462863	6000000074717137845	郇 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45451080	6000000074717147986	滂 河南澠池	zh	graph traversal, 4 hop(s)
Q45536960	6000000074717148095	孝獎 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q45463362	6000000074717179823	珮 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45463610	6000000074717181889	伷 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45467529	6000000074717186950	參 清河東武城	zh	graph traversal, 6 hop(s)
Q45461131	6000000074717188914	稧 河北道河南府	zh	graph traversal, 4 hop(s)
Q45421920	6000000074717200826	鄯 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45527168	6000000074717205872	名娘 崔	zh	graph traversal, 2 hop(s)
Q65803923	6000000074717206845	河北道河南府	zh	graph traversal, 7 hop(s)
Q45463674	6000000074717228825	諷 清河武城	zh	carries the clan seat 清河武城, which is Chinese
Q45634861	6000000074717229884	玄覽 清河東武城	zh	graph traversal, 3 hop(s)
Q45620223	6000000074717236853	稹 河北道河南府	zh	graph traversal, 4 hop(s)
Q45466641	6000000074717246845	鄘 貝州清河	zh	graph traversal, 8 hop(s)
Q45464937	6000000074717254821	羨 清河東武城	zh	graph traversal, 5 hop(s)
Q45461193	6000000074717261853	粲 清河東武城	zh	graph traversal, 3 hop(s)
Q45467014	6000000074717272858	元藻 貝州清河	zh	graph traversal, 8 hop(s)
Q45577490	6000000074717277821	渾 河北道河南府	zh	graph traversal, 6 hop(s)
Q45536639	6000000074717289940	愸 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q45460439	6000000074717296850	彥辭 鄭州榮陽	zh	carries the clan seat 鄭州榮陽, which is Chinese
Q45618281	6000000074717301822	兗 河北道鎮州	zh	graph traversal, 1 hop(s)
Q45466450	6000000074717338821	謙 清河東武城	zh	graph traversal, 7 hop(s)
Q45390718	6000000074717454939	㮚 撫州金谿	zh	graph traversal, 1 hop(s)
Q45364871	6000000074717577037	杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q45364023	6000000074718068248	閏之 季章 眉州青神	zh	graph traversal, 1 hop(s)
Q45363739	6000000074718192870	蘇州常熟	zh	graph traversal, 1 hop(s)
Q16260880	6000000074718264166	弗 眉州青神	zh	graph traversal, 1 hop(s)
Q45364068	6000000074718889913	撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45364035	6000000074718975832	河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45364311	6000000074724657506	平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45380511	6000000074725252500	褒 福州侯官	zh	graph traversal, 11 hop(s)
Q45426551	6000000074725320680	裒 衢州開化	zh	graph traversal, 1 hop(s)
Q45366052	6000000074725351727	幾 揚州江都	zh	graph traversal, 2 hop(s)
Q45364907	6000000074725517947	楚州山陽	zh	graph traversal, 1 hop(s)
Q45427667	6000000074726043833	棠 蘇州吳縣	zh	carries the clan seat 蘇州吳縣, which is Chinese
Q45369794	6000000074727606338	紹錤 泉州永春	zh	graph traversal, 7 hop(s)
Q45369829	6000000074728020114	泉州永春	zh	graph traversal, 6 hop(s)
Q45369819	6000000074728056095	筠 端甫 泉州永春	zh	graph traversal, 4 hop(s)
Q45369828	6000000074728243900	寀 泉州永春	zh	graph traversal, 6 hop(s)
Q45369783	6000000074728335862	從願 泉州南安	zh	graph traversal, 8 hop(s)
Q45372468	6000000074728947769	延 開封	ja	graph traversal, 1 hop(s)
Q45421495	6000000074729692276	季子 京兆武功	ja	name ends in 子, a Japanese given-name ending
Q45643718	6000000074729712281	泳 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45420572	6000000074729856153	綜 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45646325	6000000074729903089	挺 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q18906976	6000000074729903109	導 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45684387	6000000074729990199	潁 京兆萬年	zh	carries the clan seat 京兆萬年, which is Chinese
Q20040988	6000000074730064951	椿 岐州扶風	zh	graph traversal, 2 hop(s)
Q45371932	6000000074730069978	岐州扶風	zh	graph traversal, 2 hop(s)
Q45372471	6000000074730163287	麗澤 開封	ja	graph traversal, 2 hop(s)
Q10514216	6000000074730174939	綽 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45371968	6000000074730235970	勗 慎行 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45645666	6000000074730267004	傅 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45684605	6000000074730279979	韙 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45371988	6000000074730292930	震 岐州扶風	zh	graph traversal, 1 hop(s)
Q45646025	6000000074730304051	叔謩 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45501397	6000000074730317902	諤 匪躬 蘇	zh	graph traversal, 1 hop(s)
Q45646800	6000000074730326980	洽 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45642337	6000000074730331003	測 伯源 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45644261	6000000074730332019	貺 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643897	6000000074730349920	潀 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45644019	6000000074730367005	憚 知止 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45372490	6000000074730390334	麗正 開封	ja	graph traversal, 2 hop(s)
Q45644564	6000000074730393955	孝頊 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q18906822	6000000074730395869	綰 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45684513	6000000074730415886	寬 京兆萬年	zh	carries the clan seat 京兆萬年, which is Chinese
Q65803056	6000000074730427998	河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45608010	6000000074730443882	震 京兆萬年	zh	carries the clan seat 京兆萬年, which is Chinese
Q45642214	6000000074730485909	蒨之 文聽 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45684636	6000000074730494898	䋔 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45643384	6000000074730501927	叔卿 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45646445	6000000074730508971	常棣 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45593788	6000000074730516840	調 京兆萬年	zh	carries the clan seat 京兆萬年, which is Chinese
Q45644200	6000000074730521894	泛 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643779	6000000074730525954	潁 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q5956587	6000000074730532821	頲 廷碩 京兆武功	zh	carries the clan seat 京兆武功, which is Chinese
Q45645843	6000000074730538905	汧 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643565	6000000074730559857	淨 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45644687	6000000074730569887	含章 積中 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643958	6000000074730584891	樞 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45646980	6000000074730589876	澈 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45644751	6000000074730608826	耕 德實 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45644628	6000000074730619850	磵 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643626	6000000074730640850	演 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q65803796	6000000074730675844	河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45599769	6000000074730682846	略 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45643135	6000000074730687848	浮 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45646086	6000000074730702833	叔猷 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45647160	6000000074730705825	襲治 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45372474	6000000074731303863	濟 仲溥 開封	ja	graph traversal, 2 hop(s)
Q18233741	6000000074731713872	整 勃海饒安	zh	graph traversal, 1 hop(s)
Q45449700	6000000074732181521	泳 蘭陵	zh	graph traversal, 4 hop(s)
Q45486611	6000000074732188525	璪 唐州方城	zh	graph traversal, 5 hop(s)
Q45486485	6000000074732426484	璟 唐州方城	zh	graph traversal, 5 hop(s)
Q45449382	6000000074732515196	孚 蘭陵	zh	graph traversal, 2 hop(s)
Q45505236	6000000074732536302	鍇 蘭陵	zh	graph traversal, 3 hop(s)
Q1336575	6000000074732572258	寶卷 智藏 南蘭陵	zh	graph traversal, 1 hop(s)
Q45418682	6000000074732736008	殷 太原祁縣	zh	carries the clan seat 太原祁縣, which is Chinese
Q45450139	6000000074732809064	戡 蘭陵	zh	graph traversal, 2 hop(s)
Q45374456	6000000074732873286	漪 若水 襄州襄陽	zh	graph traversal, 2 hop(s)
Q45502634	6000000074732939910	愻 元將 蘭陵	zh	graph traversal, 4 hop(s)
Q45451087	6000000074732947017	沔 蘭陵	zh	graph traversal, 1 hop(s)
Q45449761	6000000074732950026	異 蘭陵	zh	graph traversal, 3 hop(s)
Q45422801	6000000074732952053	廩 蘭陵	zh	graph traversal, 5 hop(s)
Q45373702	6000000074732955935	混 彭城	ja	graph traversal, 4 hop(s)
Q6134074	6000000074732993944	湯 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45450077	6000000074732995986	庸 應之 蘭陵	zh	graph traversal, 2 hop(s)
Q18906572	6000000074733024998	籍 蘭陵	zh	graph traversal, 2 hop(s)
Q18906535	6000000074733053932	俶 蘭陵	zh	graph traversal, 1 hop(s)
Q45472574	6000000074733057891	酇 蘭陵	zh	graph traversal, 6 hop(s)
Q45509198	6000000074733112050	祗本 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45509264	6000000074733112055	踐本 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45422803	6000000074733127963	頎 蘭陵	zh	graph traversal, 6 hop(s)
Q45509325	6000000074733161023	守挹 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q8044211	6000000074733247858	倣 思道 蘭陵	zh	graph traversal, 4 hop(s)
Q45449886	6000000074733261856	愿 蘭陵	zh	graph traversal, 7 hop(s)
Q45550089	6000000074733263059	願 唐州方城	zh	graph traversal, 3 hop(s)
Q45442857	6000000074733264872	濛 蘭陵	zh	graph traversal, 5 hop(s)
Q8044221	6000000074733273857	俛 思謙 蘭陵	zh	graph traversal, 1 hop(s)
Q45450014	6000000074733285833	熲 蘭陵	zh	graph traversal, 6 hop(s)
Q26209002	6000000074733339931	結 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45486548	6000000074733425022	珦 唐州方城	zh	graph traversal, 5 hop(s)
Q26209007	6000000074733464870	珎 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45508304	6000000074733469919	士積 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45685790	6000000074733514949	纁 襄州襄陽	zh	graph traversal, 4 hop(s)
Q45422214	6000000074733547877	弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45508369	6000000074733577880	緘 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45575479	6000000074733577987	佻 張	zh	graph traversal, 4 hop(s)
Q45441548	6000000074733585839	繤 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45508622	6000000074733602837	守拙 弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q45657048	6000000074733647883	嶠 襄州安養	zh	graph traversal, 2 hop(s)
Q708460	6000000074733747857	柬之 孟將 襄州襄陽	zh	graph traversal, 1 hop(s)
Q45486677	6000000074733752854	瑀 唐州方城	zh	graph traversal, 5 hop(s)
Q45550589	6000000074733791852	繟 張	zh	graph traversal, 4 hop(s)
Q45565418	6000000074733866076	四娘 陳	zh	graph traversal, 3 hop(s)
Q45550026	6000000074733881825	嶧 襄州襄陽	zh	graph traversal, 2 hop(s)
Q45484740	6000000074734270938	遺玉 吳興長城	zh	carries the clan seat 吳興長城, which is Chinese
Q45699129	6000000074734328321	惇 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45697453	6000000074734348280	爰 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45698038	6000000074734375283	敦禮 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q6539155	6000000074734399397	峴 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45486082	6000000074734409884	翺 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45700149	6000000074734439382	務該 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45692799	6000000074734465137	璡 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45485189	6000000074734518860	繹 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45486271	6000000074734672822	彝 昇州江寧	zh	graph traversal, 3 hop(s)
Q45697376	6000000074734735028	澹 河南伊闕	zh	graph traversal, 1 hop(s)
Q16076772	6000000074734774212	祗 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45698453	6000000074734810060	元規 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q10337238	6000000074734820047	瑊 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45443998	6000000074734853076	仲舒 益之 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45700204	6000000074734932914	岌 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45700230	6000000074734982059	邠 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45699465	6000000074734987004	鯤 潤州	zh	graph traversal, 5 hop(s)
Q45580413	6000000074735023866	玄崱 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45438594	6000000074735057925	去病 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45700534	6000000074735076898	汭 秦州成紀	zh	graph traversal, 4 hop(s)
Q45462208	6000000074735088825	乞豆 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45698842	6000000074735097989	論 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45692262	6000000074735116893	义羅 隴西狄道	zh	carries a form that exists only in simplified Chinese
Q45696198	6000000074735116930	愿 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45439442	6000000074735134844	矩 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45697225	6000000074735143903	孚 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45700434	6000000074735149010	景悞 秦州成紀	zh	graph traversal, 1 hop(s)
Q45700584	6000000074735158949	涗 秦州成紀	zh	graph traversal, 4 hop(s)
Q45692627	6000000074735167857	晞 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45692402	6000000074735187821	嵸 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45421011	6000000074735192935	嶧 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45497831	6000000074735207981	景叔 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45439317	6000000074735215823	處淨 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45692601	6000000074735215828	朏 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45502571	6000000074735216856	鉊 某 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45696223	6000000074735223835	方叔 秦州成紀	zh	graph traversal, 1 hop(s)
Q45508700	6000000074735239925	峽 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45509085	6000000074735242950	岵 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45509149	6000000074735273949	崌 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45699338	6000000074735292912	景悞 潤州	zh	graph traversal, 2 hop(s)
Q45470652	6000000074735317910	逖 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45699513	6000000074735324902	汙 潤州	zh	graph traversal, 4 hop(s)
Q16076771	6000000074735329037	璄 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45698949	6000000074735330887	沖寂 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45697402	6000000074735385822	鈒 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45699537	6000000074735385867	濃 潤州	zh	graph traversal, 4 hop(s)
Q45497896	6000000074735387002	景翱 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45691025	6000000074735421847	洗 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45699155	6000000074735422852	沖虛 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45690995	6000000074735449869	滻 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45469083	6000000074735454835	荊 某 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q45508764	6000000074735460860	喦 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45699261	6000000074735471832	瑗 仲寶 隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q15953288	6000000074735477871	峘 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
Q45508957	6000000074735480914	𕜗 京兆長安	zh	carries the clan seat 京兆長安, which is Chinese
