file,on_disk,referenced,n_items,properties,example_item,action
Geoffrey Mortimer Arms.svg,,yes,1,,Q149304,"named by a claim, no such file"
"Geoffrey Plantagenet, Count of Anjou Arms.svg",,yes,3,,Q117343,"named by a claim, no such file"
Geoffrey Ridel Arms.svg,,yes,1,,Q146969,"named by a claim, no such file"
"Geoffrey VI of Rancon, Lord of Taillebourg Arms.svg",,yes,1,,Q149927,"named by a claim, no such file"
Geoffrey d'Aubigny Arms.svg,,yes,1,,Q124858,"named by a claim, no such file"
Geoffrey de Beaumont Arms.svg,,yes,3,,Q119328,"named by a claim, no such file"
Geoffrey de Bohun Arms.svg,,yes,1,,Q149381,"named by a claim, no such file"
Geoffrey de Burgh Arms.svg,,yes,1,,Q144915,"named by a claim, no such file"
"Geoffrey de Châteaubriand, Signeur de Châteaubriand Arms.svg",,yes,1,,Q149903,"named by a claim, no such file"
Geoffrey de Courtenay Arms.svg,,yes,2,,Q120928,"named by a claim, no such file"
Geoffrey de Lucy Arms.svg,,yes,1,,Q149435,"named by a claim, no such file"
Geoffrey de Mandeville Arms.svg,,yes,1,,Q146795,"named by a claim, no such file"
"Geoffrey de Mandeville, 1st Earl of Essex Arms.svg",,yes,1,,Q146905,"named by a claim, no such file"
Geoffrey de Marisco Arms.svg,,yes,1,,Q144489,"named by a claim, no such file"
Geoffrey de Neufmarché Arms.svg,,yes,1,,Q125823,"named by a claim, no such file"
Geoffrey de Percy Arms.svg,,yes,1,,Q145186,"named by a claim, no such file"
Geoffrey de Say Arms.svg,,yes,2,,Q145178,"named by a claim, no such file"
"Geoffrey de Say, 2nd Lord de Say Arms.svg",,yes,1,,Q149552,"named by a claim, no such file"
Geoffrey de Saye Arms.svg,,yes,1,,Q142289,"named by a claim, no such file"
Geoffrey de Toeni Arms.svg,,yes,2,,Q117720,"named by a claim, no such file"
Geoffrey de Vendôme Arms.svg,,yes,1,,Q149855,"named by a claim, no such file"
Geoffrey de Venuz Arms.svg,,yes,1,,Q149800,"named by a claim, no such file"
Geoffrey de Vere Arms.svg,,yes,1,,Q124573,"named by a claim, no such file"
Geoffrey du Perche Arms.svg,,yes,1,,Q153604,"named by a claim, no such file"
Geoffrey of Angoulême Arms.svg,,yes,2,,Q118987,"named by a claim, no such file"
Geoffrey of Hauteville Arms.svg,,yes,2,,Q116467,"named by a claim, no such file"
Geoffrey of Joinville Arms.svg,,yes,1,,Q145035,"named by a claim, no such file"
Geoffrey of Ragusa Arms.svg,,yes,2,,Q116098,"named by a claim, no such file"
"Geoffrey, Count of Conversano Arms.svg",,yes,1,,Q120267,"named by a claim, no such file"
"Geoffrey, Count of Eu Arms.svg",,yes,3,,Q113958,"named by a claim, no such file"
"Geoffrey, Count of Nantes Arms.svg",,yes,3,,Q117347,"named by a claim, no such file"
Geoffroi Arms.svg,,yes,2,,Q117878,"named by a claim, no such file"
"Geoffroi I, Lord of Joinville Arms.svg",,yes,1,,Q206532,"named by a claim, no such file"
"Geoffroi I, seigneur de Joigny Arms.svg",,yes,1,,Q206405,"named by a claim, no such file"
"Geoffroi II ""Martel"" de Preuilly seigneur de Preuilly Arms.svg",,yes,1,,Q207713,"named by a claim, no such file"
Geoffroi II de Joigny Arms.svg,,yes,1,,Q143773,"named by a claim, no such file"
"Geoffroi II, comte de Joigny Arms.svg",,yes,2,,Q205857,"named by a claim, no such file"
"Geoffroi III / IV, Comte de Gien Arms.svg",,yes,1,,Q207077,"named by a claim, no such file"
"Geoffroi III Jourdain de Preuilly, count of Vendome Arms.svg",,yes,1,,Q206480,"named by a claim, no such file"
Geoffroi III de Joigny Arms.svg,,yes,1,,Q147328,"named by a claim, no such file"
"Geoffroi III, seigneur de Joinville Arms.svg",,yes,1,,Q206189,"named by a claim, no such file"
Geoffroi Ier de Joigny Arms.svg,,yes,1,,Q143771,"named by a claim, no such file"
"Geoffroy ""Rudel"" d'Angouleme, seigneur de Blaye Arms.svg",,yes,1,,Q206770,"named by a claim, no such file"
Geoffroy Grenonat Arms.svg,,yes,1,,Q120233,"named by a claim, no such file"
Geoffroy I Arms.svg,,yes,1,,Q146827,"named by a claim, no such file"
"Geoffroy I de Preuilly, Seigneur de Preuilly Arms.svg",,yes,1,,Q120748,"named by a claim, no such file"
"Geoffroy I de Semur, baron de Donzy Arms.svg",,yes,1,,Q205667,"named by a claim, no such file"
Geoffroy I of Grandpré Arms.svg,,yes,1,,Q128725,"named by a claim, no such file"
"Geoffroy I, comte d'Angouleme Arms.svg",,yes,1,,Q205653,"named by a claim, no such file"
"Geoffroy II Martel, comte d'Anjou Arms.svg",,yes,1,,Q205554,"named by a claim, no such file"
"Geoffroy II de Dinan, vicomte de Dinan Nord Arms.svg",,yes,1,,Q126343,"named by a claim, no such file"
Geoffroy II de Donzy Arms.svg,,yes,1,,Q120498,"named by a claim, no such file"
Geoffroy II de Donzy Comte de Chalon Arms.svg,,yes,1,,Q207078,"named by a claim, no such file"
Geoffroy II de Marseille Arms.svg,,yes,1,,Q205336,"named by a claim, no such file"
Geoffroy II de Mayenne Arms.svg,,yes,1,,Q146597,"named by a claim, no such file"
"Geoffroy II de Sémur, Sire de Semur Arms.svg",,yes,1,,Q120438,"named by a claim, no such file"
"Geoffroy II, seigneur de Semur Arms.svg",,yes,1,,Q207699,"named by a claim, no such file"
"Geoffroy II, vicomte de Thouars Arms.svg",,yes,1,,Q206975,"named by a claim, no such file"
"Geoffroy III (V) le Barbu"", comte de Gatinais et d'Anjou Arms.svg",,yes,1,,Q207311,"named by a claim, no such file"
"Geoffroy III de Donzy, Sire de Gien Arms.svg",,yes,1,,Q126081,"named by a claim, no such file"
Geoffroy III de Mayenne Arms.svg,,yes,1,,Q122812,"named by a claim, no such file"
"Geoffroy III de Sémur, Sire de Semur Arms.svg",,yes,1,,Q125997,"named by a claim, no such file"
Geoffroy III of Thouars Arms.svg,,yes,2,,Q117890,"named by a claim, no such file"
"Geoffroy III, seigneur de Semur en Brionnais Arms.svg",,yes,1,,Q207779,"named by a claim, no such file"
Geoffroy IV d'Anjou Comte d'Anjou (1103) Arms.svg,,yes,1,,Q206953,"named by a claim, no such file"
"Geoffroy IV de Sémur, Sire de Semur Arms.svg",,yes,1,,Q146931,"named by a claim, no such file"
Geoffroy IV of Thouars Arms.svg,,yes,2,,Q114568,"named by a claim, no such file"
"Geoffroy Seigneur de Chateau-Landon, Comte de Gatinais Arms.svg",,yes,1,,Q207110,"named by a claim, no such file"
Geoffroy d'Anjou Arms.svg,,yes,1,,Q205553,"named by a claim, no such file"
Geoffroy de Boulogne Arms.svg,,yes,2,,Q117628,"named by a claim, no such file"
"Geoffroy de Boulogne, eveque de Paris Arms.svg",,yes,1,,Q205759,"named by a claim, no such file"
Geoffroy de Bretagne Arms.svg,,yes,2,,Q114564,"named by a claim, no such file"
Geoffroy de Chateau-Landon Arms.svg,,yes,1,,Q208120,"named by a claim, no such file"
Geoffroy de Ferté-Ancoul Arms.svg,,yes,1,,Q126027,"named by a claim, no such file"
Geoffroy de Guise Arms.svg,,yes,2,,Q115904,"named by a claim, no such file"
Geoffroy de Joinville Arms.svg,,yes,1,,Q145036,"named by a claim, no such file"
Geoffroy de Laval Arms.svg,,yes,1,,Q127900,"named by a claim, no such file"
Geoffroy de Marseille I Arms.svg,,yes,2,,Q119169,"named by a claim, no such file"
Geoffroy de Rohan Arms.svg,,yes,1,,Q129227,"named by a claim, no such file"
Geoffroy de Sablé Arms.svg,,yes,1,,Q125981,"named by a claim, no such file"
Geoffroy de Semur Seigneur de Semur Arms.svg,,yes,1,,Q205256,"named by a claim, no such file"
Geoffroy de Tiffauges Arms.svg,,yes,1,,Q208044,"named by a claim, no such file"
Geoffroy de Vendome Arms.svg,,yes,1,,Q126353,"named by a claim, no such file"
Geoffroy of Grandpré Arms.svg,,yes,1,,Q122501,"named by a claim, no such file"
Geoffroy of Mâcon Arms.svg,,yes,2,,Q114231,"named by a claim, no such file"
Geojilmi of Geumgwan Gaya Arms.svg,,yes,1,,Q21085,"named by a claim, no such file"
Georg  Frey Arms.svg,,yes,2,,Q37652,"named by a claim, no such file"
Georg Friedrich of Hohenlohe-Neuenstein-Weikersheim Arms.svg,,yes,1,,Q130001,"named by a claim, no such file"
Georg \ Jorg  Jorg ?Frey Arms.svg,,yes,2,,Q37684,"named by a claim, no such file"
George Achpougas Arms.svg,,yes,1,,Q167344,"named by a claim, no such file"
George Arms.svg,,yes,4,,Q50271,"named by a claim, no such file"
George Bagrationi Arms.svg,,yes,2,,Q167267,"named by a claim, no such file"
George Croft Arms.svg,,yes,1,,Q150815,"named by a claim, no such file"
George Gobekli Arms.svg,,yes,1,,Q29770,"named by a claim, no such file"
George Grey Arms.svg,,yes,1,,Q150607,"named by a claim, no such file"
"George Grey, 2nd Earl of Kent Arms.svg",,yes,1,,Q150605,"named by a claim, no such file"
George Haplogroup G Arms.svg,,yes,2,,Q152981,"named by a claim, no such file"
George I of Bulgaria Arms.svg,,yes,1,,Q49989,"named by a claim, no such file"
George I of Imereti Arms.svg,,yes,1,,Q50338,"named by a claim, no such file"
"George I, King of Imereti Arms.svg",,yes,1,,Q167332,"named by a claim, no such file"
George II Arms.svg,,yes,1,,Q167063,"named by a claim, no such file"
George II of Bulgaria Arms.svg,,yes,1,,Q49788,"named by a claim, no such file"
George III of Georgia Arms.svg,,yes,2,,Q55931,"named by a claim, no such file"
George IV of Georgia Arms.svg,,yes,2,,Q50254,"named by a claim, no such file"
George Komnenos Arms.svg,,yes,1,,Q167447,"named by a claim, no such file"
George Koriatovich Arms.svg,,yes,1,,Q56083,"named by a claim, no such file"
George Megas Komnenos Arms.svg,,yes,1,,Q167288,"named by a claim, no such file"
George Metochites Arms.svg,,yes,1,,Q55835,"named by a claim, no such file"
George Mouzalon Arms.svg,,yes,1,,Q49434,"named by a claim, no such file"
George Palaiologos Arms.svg,,yes,1,,Q49358,"named by a claim, no such file"
George Palaiologos Kantakouzenos Arms.svg,,yes,1,,Q55423,"named by a claim, no such file"
George V of Georgia Arms.svg,,yes,1,,Q43370,"named by a claim, no such file"
George VI of Georgia Arms.svg,,yes,1,,Q43378,"named by a claim, no such file"
George VII of Georgia Arms.svg,,yes,2,,Q55903,"named by a claim, no such file"
George VIII of Georgia Arms.svg,,yes,1,,Q167381,"named by a claim, no such file"
"George Wirriot, of Orielton Arms.svg",,yes,1,,Q150761,"named by a claim, no such file"
"George ap William Lewis, of St.Pierre Arms.svg",,yes,1,,Q150495,"named by a claim, no such file"
George de Cantilupe Arms.svg,,yes,1,,Q142274,"named by a claim, no such file"
"George, Emperor of Trebizond Arms.svg",,yes,1,,Q46175,"named by a claim, no such file"
Georges de Samchvildé Arms.svg,,yes,1,,Q46355,"named by a claim, no such file"
Georgia  de Toledo Arms.svg,,yes,2,,Q79120,"named by a claim, no such file"
Georgia Arms.svg,,yes,5,,Q59645,"named by a claim, no such file"
Georgia Eudoxia Arms.svg,,yes,2,,Q79084,"named by a claim, no such file"
Georgios Achpugas Comnenos Arms.svg,,yes,1,,Q46215,"named by a claim, no such file"
Georgios Bahadur Arms.svg,,yes,1,,Q39126,"named by a claim, no such file"
Georgios Botaneiates Arms.svg,,yes,1,,Q167231,"named by a claim, no such file"
Georgios Choumnos Arms.svg,,yes,1,,Q49897,"named by a claim, no such file"
Georgios Kokalas Arms.svg,,yes,1,,Q55787,"named by a claim, no such file"
Georgios Palaiologos Komnenos Doukas Arms.svg,,yes,1,,Q167245,"named by a claim, no such file"
Georgius Arms.svg,,yes,1,,Q166960,"named by a claim, no such file"
Georgius of Libya  Rogas Arms.svg,,yes,2,,Q99575,"named by a claim, no such file"
Georgy Bagratovich of Georgia Arms.svg,,yes,1,,Q167508,"named by a claim, no such file"
Gepa of Egisheim Arms.svg,,yes,1,,Q121000,"named by a claim, no such file"
Gepa von Mergentheim Arms.svg,,yes,2,,Q121462,"named by a claim, no such file"
Gepa von Werl Arms.svg,,yes,2,,Q120976,"named by a claim, no such file"
Gepaepyris Arms.svg,,yes,1,,Q138363,"named by a claim, no such file"
Gera Arms.svg,,yes,1,,Q129528,"named by a claim, no such file"
Geradd Graf von Sachsen Arms.svg,,yes,1,,Q137004,"named by a claim, no such file"
Geraestus Arms.svg,,yes,1,,Q131819,"named by a claim, no such file"
Geraint Arms.svg,,yes,1,,Q136894,"named by a claim, no such file"
Geraint ap Cystennin Arms.svg,,yes,1,,Q138678,"named by a claim, no such file"
"Gerald FitzMaurice, 1st Lord of Offaly Arms.svg",,yes,2,,Q127778,"named by a claim, no such file"
Gerald I of Armagnac Arms.svg,,yes,2,,Q111000,"named by a claim, no such file"
Gerald II of Armagnac Arms.svg,,yes,2,,Q111693,"named by a claim, no such file"
Gerald de Barry Arms.svg,,yes,1,,Q141826,"named by a claim, no such file"
Gerald de Prendegast Arms.svg,,yes,1,,Q145033,"named by a claim, no such file"
Gerald de Windsor Arms.svg,,yes,2,,Q127756,"named by a claim, no such file"
Gerald fitz Maurice Arms.svg,,yes,2,,Q144494,"named by a claim, no such file"
"Gerald fitz Maurice, 4th Baron of Offaly Arms.svg",,yes,1,,Q149164,"named by a claim, no such file"
Gerald fitz Robert Arms.svg,,yes,1,,Q141833,"named by a claim, no such file"
Gerald fitz William Arms.svg,,yes,1,,Q139880,"named by a claim, no such file"
Gerald of Arbeissan Arms.svg,,yes,2,,Q112767,"named by a claim, no such file"
Gerald of Armagnac Arms.svg,,yes,2,,Q112741,"named by a claim, no such file"
Gerald of Aurillac Arms.svg,,yes,1,,Q139475,"named by a claim, no such file"
Gerald of Wales Arms.svg,,yes,1,,Q127766,"named by a claim, no such file"
Geralda Arms.svg,,yes,1,,Q123401,"named by a claim, no such file"
Geraldus d'Anduze Arms.svg,,yes,1,,Q123205,"named by a claim, no such file"
Gerard (Arnoud)(Arnulf)(Engelbert) van Breda van Schoten Arms.svg,,yes,1,,Q208151,"named by a claim, no such file"
Gerard Arms.svg,,yes,1,,Q208184,"named by a claim, no such file"
Gerard Flaitel Arms.svg,,yes,2,,Q120201,"named by a claim, no such file"
Gerard Giffard Arms.svg,,yes,1,,Q125697,"named by a claim, no such file"
Gerard Grenville Arms.svg,,yes,1,,Q146789,"named by a claim, no such file"
Gerard I Count of Paris Arms.svg,,yes,1,,Q208031,"named by a claim, no such file"
Gerard I de Limesay Arms.svg,,yes,1,,Q123161,"named by a claim, no such file"
Gerard I of Durbuy Arms.svg,,yes,1,,Q122398,"named by a claim, no such file"
Gerard I of Heinsberg Arms.svg,,yes,1,,Q122355,"named by a claim, no such file"
Gerard I of Paris Arms.svg,,yes,2,,Q113424,"named by a claim, no such file"
Gerard I van Limburg-Arlon Edelherr von Wassenberg Arms.svg,,yes,2,,Q114519,"named by a claim, no such file"
"Gerard I, Count of Guelders Arms.svg",,yes,2,,Q112676,"named by a claim, no such file"
Gerard I. Wassenbersky Arms.svg,,yes,1,,Q128501,"named by a claim, no such file"
Gerard II Edelherr von Reifferscheidt Arms.svg,,yes,2,,Q117786,"named by a claim, no such file"
"Gerard II de Limesay, Lord of Limesay Arms.svg",,yes,1,,Q140886,"named by a claim, no such file"
Gerard II of Metz Arms.svg,,yes,2,,Q120054,"named by a claim, no such file"
Gerard II of Nordgau Arms.svg,,yes,1,,Q122381,"named by a claim, no such file"
Gerard II of Vaudémont Arms.svg,,yes,1,,Q123283,"named by a claim, no such file"
"Gerard II, Count of Auvergne Arms.svg",,yes,1,,Q124050,"named by a claim, no such file"
"Gerard II, Count of Guelders Arms.svg",,yes,2,,Q112685,"named by a claim, no such file"
"Gerard II, Count of Loon Arms.svg",,yes,1,,Q122467,"named by a claim, no such file"
"Gerard II, Count of Wassenberg Arms.svg",,yes,2,,Q117636,"named by a claim, no such file"
"Gerard II, count of Roussillon Arms.svg",,yes,1,,Q205606,"named by a claim, no such file"
"Gerard II, duc de Lorraine Arms.svg",,yes,1,,Q208197,"named by a claim, no such file"
Gerard III of Metz Arms.svg,,yes,2,,Q116975,"named by a claim, no such file"
Gerard III van Limburg Arms.svg,,yes,1,,Q122649,"named by a claim, no such file"
"Gerard III, Count of Guelders Arms.svg",,yes,1,,Q122563,"named by a claim, no such file"
"Gerard III, Count of Rieneck Arms.svg",,yes,1,,Q122585,"named by a claim, no such file"
"Gerard III, Count of Wassenberg Arms.svg",,yes,2,,Q114461,"named by a claim, no such file"
"Gerard IV, duke of Upper Lorraine Arms.svg",,yes,1,,Q206824,"named by a claim, no such file"
Gerard d'Auvergne Arms.svg,,yes,1,,Q207794,"named by a claim, no such file"
Gerard de Bouzonville Arms.svg,,yes,2,,Q114451,"named by a claim, no such file"
Gerard de Camville Arms.svg,,yes,2,,Q126213,"named by a claim, no such file"
Gerard de Furnival Arms.svg,,yes,1,,Q149560,"named by a claim, no such file"
Gerard de Gournay Arms.svg,,yes,2,,Q125725,"named by a claim, no such file"
Gerard de Jauche * Arms.svg,,yes,1,,Q208094,"named by a claim, no such file"
Gerard de Saint-Aubert Arms.svg,,yes,2,,Q207797,"named by a claim, no such file"
Gerard de Vergy Arms.svg,,yes,1,,Q206909,"named by a claim, no such file"
Gerard of Antoing Arms.svg,,yes,1,,Q120664,"named by a claim, no such file"
Gerard of Avesnes Arms.svg,,yes,1,,Q124647,"named by a claim, no such file"
Gerard of Guelders Arms.svg,,yes,2,,Q117742,"named by a claim, no such file"
Gerard of Metz Arms.svg,,yes,3,,Q116279,"named by a claim, no such file"
Gerard of Vaudemont Arms.svg,,yes,1,,Q146611,"named by a claim, no such file"
Gerard van Wassenberg IV Arms.svg,,yes,1,,Q207399,"named by a claim, no such file"
Gerard von der Mark Arms.svg,,yes,1,,Q128864,"named by a claim, no such file"
"Gerard, Count of Auvergne Arms.svg",,yes,4,,Q118956,"named by a claim, no such file"
"Gerard, Count of Vaudémont Arms.svg",,yes,2,,Q117602,"named by a claim, no such file"
"Gerard, Duke of Lorraine Arms.svg",,yes,2,,Q114453,"named by a claim, no such file"
Gerardus de Lon Arms.svg,,yes,2,,Q117738,"named by a claim, no such file"
Geras Arms.svg,,yes,1,,Q131566,"named by a claim, no such file"
Geraud  de Millau Arms.svg,,yes,2,,Q79235,"named by a claim, no such file"
Geraud Ier Seigneur de  Cabrera Arms.svg,,yes,2,,Q100718,"named by a claim, no such file"
Gerazmatch GIGAW DESTA Arms.svg,,yes,2,,Q71020,"named by a claim, no such file"
Gerbera  Correia Arms.svg,,yes,2,,Q80196,"named by a claim, no such file"
Gerberga Arms.svg,,yes,11,,Q111458,"named by a claim, no such file"
Gerberga I Arms.svg,,yes,2,,Q116261,"named by a claim, no such file"
Gerberga II Arms.svg,,yes,2,,Q113910,"named by a claim, no such file"
Gerberga Konradiner Arms.svg,,yes,1,,Q208840,"named by a claim, no such file"
Gerberga Princess Of Bavaria (Hildesheim) Abbess Arms.svg,,yes,1,,Q206706,"named by a claim, no such file"
Gerberga d'Ivrea Arms.svg,,yes,4,,Q114028,"named by a claim, no such file"
"Gerberga de Borgonha, comtessa consort de Provenca Arms.svg",,yes,1,,Q205105,"named by a claim, no such file"
Gerberga de Burgondie Arms.svg,,yes,2,,Q112038,"named by a claim, no such file"
Gerberga de Hainaut Arms.svg,,yes,1,,Q206821,"named by a claim, no such file"
Gerberga de PROVENZA Arms.svg,,yes,1,,Q206048,"named by a claim, no such file"
Gerberga del Vasto Arms.svg,,yes,2,,Q121131,"named by a claim, no such file"
Gerberga of Boulogne Arms.svg,,yes,2,,Q114457,"named by a claim, no such file"
Gerberga of Burgundy Arms.svg,,yes,4,,Q114135,"named by a claim, no such file"
Gerberga of Chalon Arms.svg,,yes,2,,Q111603,"named by a claim, no such file"
Gerberga of Lorraine Arms.svg,,yes,4,,Q120052,"named by a claim, no such file"
Gerberga of Lower Lorraine Arms.svg,,yes,4,,Q116327,"named by a claim, no such file"
Gerberga of Saxony Arms.svg,,yes,4,,Q112468,"named by a claim, no such file"
Gerberga van Bonen Arms.svg,,yes,1,,Q205988,"named by a claim, no such file"
Gerberga van Hamaland Arms.svg,,yes,1,,Q120672,"named by a claim, no such file"
Gerberga van Lotharingen Arms.svg,,yes,1,,Q206163,"named by a claim, no such file"
Gerberga von Cappenberg Arms.svg,,yes,2,,Q147064,"named by a claim, no such file"
Gerberga von Toulouse Arms.svg,,yes,1,,Q123662,"named by a claim, no such file"
Gerberga von Verdun Arms.svg,,yes,1,,Q120354,"named by a claim, no such file"
"Gerberga, Countess of Provence Arms.svg",,yes,3,,Q115768,"named by a claim, no such file"
"Gerberga, comtesse de Macon Arms.svg",,yes,1,,Q205629,"named by a claim, no such file"
Gerberge  de Millau Arms.svg,,yes,2,,Q79205,"named by a claim, no such file"
Gerberge (Geva) de Senlis Arms.svg,,yes,1,,Q205484,"named by a claim, no such file"
Gerberge Arms.svg,,yes,4,,Q115938,"named by a claim, no such file"
Gerberge Von Hennenberg Arms.svg,,yes,1,,Q205339,"named by a claim, no such file"
Gerberge d'Anjou Arms.svg,,yes,4,,Q115690,"named by a claim, no such file"
Gerberge de Blaison Arms.svg,,yes,1,,Q122845,"named by a claim, no such file"
Gerberge de Bourgogne Arms.svg,,yes,2,,Q112506,"named by a claim, no such file"
Gerberge de Macon Arms.svg,,yes,1,,Q207897,"named by a claim, no such file"
Gerberge de Rennes Arms.svg,,yes,1,,Q208061,"named by a claim, no such file"
Gerberge de Rochefoucault Arms.svg,,yes,1,,Q129251,"named by a claim, no such file"
Gerberge de Roucy de Reims Arms.svg,,yes,1,,Q206265,"named by a claim, no such file"
"Gerberge de Terrasson, Comte de Terrasson Arms.svg",,yes,2,,Q118042,"named by a claim, no such file"
Gerberge de Toulouse Arms.svg,,yes,1,,Q206700,"named by a claim, no such file"
Gerberge of Lorraine Arms.svg,,yes,2,,Q113894,"named by a claim, no such file"
Gerberge of Nantes Arms.svg,,yes,2,,Q116729,"named by a claim, no such file"
Gerhard Dagsburg Arms.svg,,yes,1,,Q205810,"named by a claim, no such file"
Gerhard I of Kyrburg Arms.svg,,yes,1,,Q126511,"named by a claim, no such file"
Gerhard I of Oldenburg-Wildeshausen Arms.svg,,yes,2,,Q117758,"named by a claim, no such file"
Gerhard I von Egisheim Graf von Egisheim Arms.svg,,yes,1,,Q205648,"named by a claim, no such file"
"Gerhard I, Count of Holstein-Itzehoe Arms.svg",,yes,1,,Q54741,"named by a claim, no such file"
Gerhard II Graf von Metz Arms.svg,,yes,1,,Q207632,"named by a claim, no such file"
Gerhard II van Loon Arms.svg,,yes,1,,Q128831,"named by a claim, no such file"
Gerhard II von Thurgau Arms.svg,,yes,1,,Q146734,"named by a claim, no such file"
"Gerhard II, Graf von Wassenberg Arms.svg",,yes,1,,Q122653,"named by a claim, no such file"
"Gerhard II, count of Guelders Arms.svg",,yes,1,,Q207741,"named by a claim, no such file"
Gerhard de Hainault Arms.svg,,yes,2,,Q117710,"named by a claim, no such file"
Gerhard of Lorraine Arms.svg,,yes,1,,Q205544,"named by a claim, no such file"
Gerhard of Nassau Arms.svg,,yes,1,,Q128874,"named by a claim, no such file"
"Gerhard von Arnstein, Vogt von Leitzkau Arms.svg",,yes,1,,Q127624,"named by a claim, no such file"
Gerhard von Hoya Arms.svg,,yes,1,,Q128957,"named by a claim, no such file"
Gerhard von Kleve Arms.svg,,yes,1,,Q128133,"named by a claim, no such file"
Gerhard von Sponheim Arms.svg,,yes,1,,Q128453,"named by a claim, no such file"
"Gerhard, Heer van Breda Arms.svg",,yes,1,,Q143624,"named by a claim, no such file"
"Gerhard, count of Egisheim Arms.svg",,yes,1,,Q120996,"named by a claim, no such file"
Geribert de Barcelona Arms.svg,,yes,2,,Q113410,"named by a claim, no such file"
Gerletta de Normandie Arms.svg,,yes,2,,Q114066,"named by a claim, no such file"
Gerlindis von Pfalzel Arms.svg,,yes,2,,Q113233,"named by a claim, no such file"
Gerloc Arms.svg,,yes,2,,Q111611,"named by a claim, no such file"
Gerlod Duncansdatter Arms.svg,,yes,1,,Q120556,"named by a claim, no such file"
Gerlotte de Blois Arms.svg,,yes,1,,Q137510,"named by a claim, no such file"
Germa Asafa  Of Ethiopia Arms.svg,,yes,2,,Q71352,"named by a claim, no such file"
Germa Seyum  of Ethiopia Arms.svg,,yes,2,,Q71299,"named by a claim, no such file"
Germaine de Corbeil Arms.svg,,yes,2,,Q116425,"named by a claim, no such file"
Germanic Arms.svg,,yes,1,,Q2447,"named by a claim, no such file"
Germanicus Arms.svg,,yes,1,,Q137703,"named by a claim, no such file"
Germanicus Gemellus Arms.svg,,yes,1,,Q138469,"named by a claim, no such file"
Germanus Arms.svg,,yes,4,,Q109191,"named by a claim, no such file"
Germund von Franken Arms.svg,,yes,1,,Q123678,"named by a claim, no such file"
Gero Arms.svg,,yes,1,,Q146515,"named by a claim, no such file"
Gero Count of Brehna Arms.svg,,yes,1,,Q127541,"named by a claim, no such file"
"Gero II, Graf von Heunburg Arms.svg",,yes,1,,Q147142,"named by a claim, no such file"
"Gero, Count of Alsleben Arms.svg",,yes,1,,Q146521,"named by a claim, no such file"
"Gerold ""der Jungere"" in der Baar II Arms.svg",,yes,1,,Q206594,"named by a claim, no such file"
Gerold (?) Arms.svg,,yes,2,,Q118552,"named by a claim, no such file"
"Gerold I, graf im Kraichgau und Anglachgau Arms.svg",,yes,1,,Q206669,"named by a claim, no such file"
Gerold III Arms.svg,,yes,1,,Q208687,"named by a claim, no such file"
Gerold of Vinzgau Arms.svg,,yes,2,,Q115073,"named by a claim, no such file"
Gerold von Vinzgau Arms.svg,,yes,1,,Q205652,"named by a claim, no such file"
"Gerold, Prefect of Bavaria Arms.svg",,yes,2,,Q115075,"named by a claim, no such file"
Gerolf of Holland Arms.svg,,yes,1,,Q126269,"named by a claim, no such file"
Geronima  Fernandez de Vaulus Arms.svg,,yes,2,,Q40182,"named by a claim, no such file"
Geronima  Hinojos de Perez Bustillo Arms.svg,,yes,2,,Q39937,"named by a claim, no such file"
Geronima  Rangel Arms.svg,,yes,2,,Q39630,"named by a claim, no such file"
Geronima  de Arino Arms.svg,,yes,2,,Q31295,"named by a claim, no such file"
Geronima  de Cervantes Arms.svg,,yes,2,,Q35320,"named by a claim, no such file"
Geronima  de Cervantes y Velasco Arms.svg,,yes,2,,Q35364,"named by a claim, no such file"
Geronima  de Velasco y Vivero Arms.svg,,yes,2,,Q36686,"named by a claim, no such file"
Geronima Arms.svg,,yes,1,,Q6107,"named by a claim, no such file"
Geronima Ciangura Arms.svg,,yes,1,,Q168285,"named by a claim, no such file"
Geronima Maria  de Cisneros y Moctezuma Arms.svg,,yes,2,,Q39856,"named by a claim, no such file"
Geronimo  Gomez de Cervantes Arms.svg,,yes,2,,Q35344,"named by a claim, no such file"
Geronimo  Lopez de Peralta Arms.svg,,yes,2,,Q36035,"named by a claim, no such file"
Geronimo  Martel Arms.svg,,yes,2,,Q32006,"named by a claim, no such file"
Geronimo  Pacheco Arms.svg,,yes,2,,Q34988,"named by a claim, no such file"
Geronimo  Sanvitores de la Portilla y Garces Arms.svg,,yes,2,,Q36184,"named by a claim, no such file"
Geronimo  Torres Altamirano de los Rios Lisperguer Arms.svg,,yes,2,,Q45207,"named by a claim, no such file"
Geronimo  Vasquez de Coronado y Estrada Arms.svg,,yes,2,,Q31753,"named by a claim, no such file"
Geronimo  de Cervantes Carbajal Arms.svg,,yes,2,,Q33309,"named by a claim, no such file"
Geronimo  de Melo y Coutinho Arms.svg,,yes,2,,Q45896,"named by a claim, no such file"
Geronimo Maria  de Oca Nieto de Silva Arms.svg,,yes,2,,Q42664,"named by a claim, no such file"
Geronimo XUEREB Arms.svg,,yes,1,,Q168567,"named by a claim, no such file"
Geronimo de Caopena Arms.svg,,yes,1,,Q168070,"named by a claim, no such file"
Gerreiformes (mojarras) Arms.svg,,yes,1,,Q1607,"named by a claim, no such file"
