geni_id	qid	cjk_names	label_en	culture	state
6000000002188144604		薄	Empress Bo		already has an English label
6000000002188144705		煓 執嘉 劉	Liu Taigong, Grand Emperor of Han		already has an English label
6000000002188144713		含始 王	Wang Hanshi		already has an English label
6000000002188144757		漢宗女 劉	Princess of Han		already has an English label
6000000002188193880		未知	NN		already has an English label
6000000002188195015		林	Consort Lin		already has an English label
6000000002188195107		未知	NN		already has an English label
6000000002188195253		長樂	Poduolo/Pan		already has an English label
6000000002188195426		未知	NN		already has an English label
6000000002188195590		未知	NN		already has an English label
6000000002188195604		拓跋	Princess Anle		already has an English label
6000000002188195610		拓跋	Princess Boling		already has an English label
6000000002188195616		賀	Empress He Helai Helan		already has an English label
6000000002188195776		眷 劉頭眷 幽州薊縣	Toujuan 劉頭眷 Liu		already has an English label
6000000002188195826	Q11077213	熙	Prince Tuoba Xi of Northern Wei China		already has an English label
6000000002188195919		寔君 拓跋	Shijun Tuoba		already has an English label
6000000002188195925		翰 拓跋	Han Tuoba		already has an English label
6000000002188195937		紇根 拓跋	Hegen Tuoba		already has an English label
6000000002188195943		地干 拓跋	Digan Tuoba		already has an English label
6000000002188195949		窟咄 拓跋	Kuduo Tuoba		already has an English label
6000000002188195955		鬱律	Prince Tuoba Yulü of Dai		already has an English label
6000000002191030487		栗隈	Kurikuma no Okimi		already has an English label
6000000002191333153		諸兄 橘	Tachibana no Moroe		already has an English label
6000000002191375064		三千代 県犬養橘	Agata no Inukai no Tachibana no Michiyo		already has an English label
6000000002191748013		鏡	Kagami no Osemi		already has an English label
6000000002192065509		園光子 | 光子 壬生院	Mitsuko 壬生院 園		already has an English label
6000000002230371742		秀就 毛利 | 毛利秀就	Hidenari Mouri		already has an English label
6000000002243114657		松平親乗 | 親乗 松平	Chikanori Matudaira		already has an English label
6000000002415813106		茂子 藤原	Moshi Fujiwara		already has an English label
6000000002415878347		苡子 藤原	Ishi Fujiwara		already has an English label
6000000002416224737		方子 源 | 源方子	Masako Minamoto		already has an English label
6000000002417717963		定方 藤原	Fujiwara no Sugane		already has an English label
6000000002418857099		佐為 橘	Tachibana no Sai		already has an English label
6000000002418898035		雄友 藤原 | 藤原雄友	Otomo Fujiwara		already has an English label
6000000002419004197		乙麻呂 藤原	Fujiwara no Otomaro		already has an English label
6000000002419483457		乙牟漏 藤原	Fujiwawra no Otomuro		already has an English label
6000000002431458666		恵美朝臣 藤原	Fujiwara no Nakamaro		already has an English label
6000000002431839557		豊成 藤原	Fujiwara no Toyonari		already has an English label
6000000002433310637		東人 県犬養	Agatainukai no Azumabito		already has an English label
6000000002441531555		代明妃	daughter of Fujiwara no Sadakata		already has an English label
6000000002441581246		代明	Yoakira-shinno		already has an English label
6000000002442680050		元方 藤原	Fujiwara no Munetada		already has an English label
6000000002442725568		阿倍粳蟲	Abe no Kome-mushi		already has an English label
6000000002442731503		安倍 阿倍古美奈	Abe no Komina		already has an English label
6000000002483183211		?( 水野忠善の娘) 水野	? Matudaira		already has an English label
6000000002493357421		智仁 親王 八条宮 | 八条宮智仁親王	Toshihito Hachijonomiya		already has an English label
6000000002494069423		小笠原忠基 | 忠基 小笠原	Tadamoto Ogasawara		already has an English label
6000000002512140009		恭安	Keong Ann TAN 陳		already has an English label
6000000002605670592		曾	Keng Seng Chan		already has an English label
6000000002623872099		春娘 陳	Choon Neo TAN		already has an English label
6000000002673294906		吉和 邱	Keat Hoe KHOO 邱		already has an English label
6000000002715094693		仲 右扶風槐里	Wáng Zhòng 王		already has an English label
6000000002815940751		多比能 藤原	Fujiwara no Tobino		already has an English label
6000000002816950951		麻呂 石上 | 石上麻呂	Maro Isonokami		already has an English label
6000000002824765856		三千媛 田口	Taguchi		already has an English label
6000000002837170902		百川 藤原	Momokawa Fujiwara		already has an English label
6000000002837428936		有居斤	Chief Tsugu Viengsun of the Turks		already has an English label
6000000002838003967		男笠女 安倍	daughter of Abe no Ogasa		already has an English label
6000000002838330449		良輔 藤原	Fujiwara no Yoshisuke		already has an English label
6000000002838353378		男笠 安倍	Abe no Ogasa		already has an English label
6000000002838961543		藤原藤嗣 | 藤嗣 藤原	Fujitsugu Fujiwara		already has an English label
6000000002839046198		佐伯	daughter of a Fujiwara Uai Landlord		already has an English label
