qid	classes
Q37527197	Q101352
Q37527200	Q101352
Q37527201	Q101352
Q37527205	Q101352
Q37527206	Q101352
Q37527209	Q101352
Q37527210	Q101352
Q37527213	Q101352
Q37527214	Q101352
Q37527218	Q101352
Q37527219	Q101352
Q37527223	Q101352
Q37527225	Q101352
Q37527228	Q101352
Q37527229	Q101352
Q37527232	Q101352
Q37527234	Q101352
Q37527237	Q101352
Q37527239	Q101352
Q37527241	Q101352
Q37527243	Q101352
Q37527245	Q101352
Q37527247	Q101352
Q37527249	Q101352
Q37527251	Q101352
Q37527253	Q101352
Q37527256	Q101352
Q37527257	Q101352
Q37527261	Q101352
Q37527262	Q101352
Q37527266	Q101352
Q37527267	Q101352
Q37527271	Q101352
Q37527273	Q101352
Q37527276	Q101352
Q37527278	Q101352
Q37527280	Q101352
Q37527283	Q101352
Q37527285	Q101352
Q37527288	Q101352
Q37527290	Q101352
Q37527293	Q101352
Q37527295	Q101352
Q37527297	Q101352
Q37527300	Q101352
Q37527302	Q101352
Q37527303	Q101352
Q37527305	Q101352
Q37527307	Q101352
Q37527309	Q101352
Q37527311	Q101352
Q37527314	Q101352
Q37527316	Q101352
Q37527318	Q101352
Q37527320	Q101352
Q37527322	Q101352
Q37527324	Q101352
Q37527325	Q101352
Q37527329	Q101352
Q37527331	Q101352
Q37527334	Q101352
Q37527336	Q101352
Q37527338	Q101352
Q37527341	Q101352
Q37527343	Q101352
Q37527344	Q101352
Q37527347	Q101352
Q37527349	Q101352
Q37527352	Q101352
Q37527353	Q101352
Q37527356	Q101352
Q37527358	Q101352
Q37527361	Q101352
Q37527363	Q101352
Q37527365	Q101352
Q37527368	Q101352
Q37527370	Q101352
Q37527372	Q101352
Q37527375	Q101352
Q37527377	Q101352
Q37527379	Q101352
Q37527382	Q101352
Q37527384	Q101352
Q37527386	Q101352
Q37527389	Q101352
Q37527391	Q101352
Q37527394	Q101352
Q37527395	Q101352
Q37527398	Q101352
Q37527400	Q101352
Q37527401	Q101352
Q37527404	Q101352
Q37527406	Q101352
Q37527409	Q101352
Q37527410	Q101352
Q37527413	Q101352
Q37527414	Q101352
Q37527418	Q101352
Q37527419	Q101352
Q37527422	Q101352
Q37527424	Q101352
Q37527425	Q101352
Q37527428	Q101352
Q37527430	Q101352
Q37527432	Q101352
Q37527435	Q101352
Q37527437	Q101352
Q37527440	Q101352
Q37527442	Q101352
Q37527446	Q101352
Q37527448	Q101352
Q37527450	Q101352
Q37527453	Q101352
Q37527455	Q101352
Q37527458	Q101352
Q37527459	Q101352
Q37527463	Q101352
Q37527465	Q101352
Q37527468	Q101352
Q37527469	Q101352
Q37527473	Q101352
Q37527475	Q101352
Q37527477	Q101352
Q37527479	Q101352
Q37527481	Q101352
Q37527483	Q101352
Q37527485	Q101352
Q37527486	Q101352
Q37527494	Q101352
Q37527496	Q101352
Q37527499	Q101352
Q37527500	Q101352
Q37527502	Q101352
Q37527504	Q101352
Q37527506	Q101352
Q37527508	Q101352
Q37527510	Q101352
Q37527511	Q101352
Q37527513	Q101352
Q37527515	Q101352
Q37527516	Q101352
Q37527519	Q101352
Q37527520	Q101352
Q37527523	Q101352
Q37527524	Q101352
Q37527531	Q101352
Q37527532	Q101352
Q37527535	Q101352
Q37527537	Q101352
Q37527540	Q101352
Q37527542	Q101352
Q37527544	Q101352
Q37527546	Q101352
Q37527549	Q101352
Q37527551	Q101352
Q37527553	Q101352
Q37527555	Q101352
Q37527556	Q101352
Q37527558	Q101352
Q37527560	Q101352
Q37527562	Q101352
Q37527564	Q101352
Q37527566	Q101352
Q37527567	Q101352
Q37527570	Q101352
Q37527571	Q101352
Q37527574	Q101352
Q37527575	Q101352
Q37527578	Q101352
Q37527579	Q101352
Q37527582	Q101352
Q37527584	Q101352
Q37527587	Q101352
Q37527588	Q101352
Q37527591	Q101352
Q37527592	Q101352
Q37527596	Q101352
Q37527598	Q101352
Q37527599	Q101352
Q37527602	Q101352
Q37527603	Q101352
Q37527605	Q101352
Q37527607	Q101352
Q37527609	Q101352
Q37527611	Q101352
Q37527613	Q101352
Q37527615	Q101352
Q37527617	Q101352
Q37527619	Q101352
Q37527621	Q101352
Q37527623	Q101352
Q37527625	Q101352
Q37527626	Q101352
Q37527629	Q101352
Q37527630	Q101352
Q37527633	Q101352
Q37527635	Q101352
Q37527637	Q101352
Q37527639	Q101352
Q37527641	Q101352
Q37527642	Q101352
Q37527643	Q101352
Q37527646	Q101352
Q37527647	Q101352
Q37527650	Q101352
Q37527651	Q101352
Q37527653	Q101352
Q37527655	Q101352
Q37527658	Q101352
Q37527659	Q101352
Q37527662	Q101352
Q37527663	Q101352
Q37527666	Q101352
Q37527667	Q101352
Q37527669	Q101352
Q37527671	Q101352
Q37527672	Q101352
Q37527675	Q101352
Q37527676	Q101352
Q37527679	Q101352
Q37527680	Q101352
Q37527682	Q101352
Q37527683	Q101352
Q37527684	Q101352
Q37527687	Q101352
Q37527688	Q101352
Q37527689	Q101352
Q37527692	Q101352
Q37527693	Q101352
Q37527696	Q101352
Q37527697	Q101352
Q37527699	Q101352
Q37527700	Q101352
Q37527701	Q101352
Q37527703	Q101352
Q37527705	Q101352
Q37527707	Q101352
Q37527709	Q101352
Q37527711	Q101352
Q37527714	Q101352
Q37527716	Q101352
Q37527717	Q101352
Q37527720	Q101352
Q37527722	Q101352
Q37527725	Q101352
Q37527727	Q101352
Q37527730	Q101352
Q37527731	Q101352
Q37527734	Q101352
Q37527736	Q101352
Q37527739	Q101352
Q37527741	Q101352
Q37527744	Q101352
Q37527745	Q101352
Q37527749	Q101352
Q37527751	Q101352
Q37527754	Q101352
Q37527756	Q101352
Q37527759	Q101352
Q37527760	Q101352
Q37527763	Q101352
Q37527765	Q101352
Q37527767	Q101352
Q37527768	Q101352
Q37527771	Q101352
Q37527773	Q101352
Q37527776	Q101352
Q37527778	Q101352
Q37527781	Q101352
Q37527783	Q101352
Q37527785	Q101352
Q37527787	Q101352
Q37527789	Q101352
Q37527791	Q101352
Q37527794	Q101352
Q37527796	Q101352
Q37527798	Q101352
Q37527801	Q101352
Q37527803	Q101352
Q37527805	Q101352
Q37527807	Q101352
Q37527810	Q101352
Q37527812	Q101352
Q37527814	Q101352
Q37527817	Q101352
Q37527819	Q101352
Q37527820	Q101352
Q37527823	Q101352
Q37527825	Q101352
Q37527827	Q101352
Q37527829	Q101352
Q37527832	Q101352
Q37527834	Q101352
Q37527836	Q101352
Q37527838	Q101352
Q37527840	Q101352
Q37527843	Q101352
Q37527845	Q101352
Q37527847	Q101352
Q37527850	Q101352
Q37527852	Q101352
Q37527854	Q101352
Q37527856	Q101352
Q37527858	Q101352
Q37527860	Q101352
Q37527863	Q101352
Q37527865	Q101352
Q37527868	Q101352
Q37527870	Q101352
Q37527873	Q101352
Q37527875	Q101352
Q37527878	Q101352
Q37527880	Q101352
Q37527882	Q101352
Q37527884	Q101352
Q37527886	Q101352
Q37527887	Q101352
Q37527892	Q101352
Q37527894	Q101352
Q37527897	Q101352
Q37527898	Q101352
Q37527900	Q101352
Q37527902	Q101352
Q37527903	Q101352
Q37527907	Q101352
Q37527908	Q101352
Q37527911	Q101352
Q37527913	Q101352
Q37527916	Q101352
Q37527917	Q101352
Q37527921	Q101352
Q37527922	Q101352
Q37527924	Q101352
Q37527926	Q101352
Q37527929	Q101352
Q37527931	Q101352
Q37527934	Q101352
Q37527936	Q101352
Q37527939	Q101352
Q37527941	Q101352
Q37527944	Q101352
Q37527946	Q101352
Q37527948	Q101352
Q37527951	Q101352
Q37527953	Q101352
Q37527955	Q101352
Q37527957	Q101352
Q37527959	Q101352
Q37527960	Q101352
Q37527962	Q101352
Q37527964	Q101352
Q37527966	Q101352
Q37527968	Q101352
Q37527970	Q101352
Q37527972	Q101352
Q37527975	Q101352
Q37527977	Q101352
Q37527980	Q101352
Q37527985	Q101352
Q37527987	Q101352
Q37527989	Q101352
Q37527992	Q101352
Q37527994	Q101352
Q37527996	Q101352
Q37527998	Q101352
Q37527999	Q101352
Q37528003	Q101352
Q37528004	Q101352
Q37528007	Q101352
Q37528009	Q101352
Q37528011	Q101352
Q37528013	Q101352
Q37528014	Q101352
Q37528017	Q101352
Q37528018	Q101352
Q37528021	Q101352
Q37528022	Q101352
Q37528025	Q101352
Q37528027	Q101352
Q37528029	Q101352
Q37528030	Q101352
Q37528032	Q101352
Q37528034	Q101352
Q37528035	Q101352
Q37528036	Q101352
Q37528040	Q101352
Q37528042	Q101352
Q37528043	Q101352
Q37528047	Q101352
Q37528048	Q101352
Q37528052	Q101352
Q37528053	Q101352
Q37528056	Q101352
Q37528058	Q101352
Q37528061	Q101352
Q37528062	Q101352
Q37528065	Q101352
Q37528066	Q101352
Q37528069	Q101352
Q37528071	Q101352
Q37528074	Q101352
Q37528076	Q101352
Q37528078	Q101352
Q37528081	Q101352
Q37528082	Q101352
Q37528085	Q101352
Q37528087	Q101352
Q37528089	Q101352
Q37528091	Q101352
Q37528093	Q101352
Q37528096	Q101352
Q37528098	Q101352
Q37528100	Q101352
Q37528102	Q101352
Q37528104	Q101352
Q37528106	Q101352
Q37528108	Q101352
Q37528110	Q101352
Q37528112	Q101352
Q37528114	Q101352
Q37528117	Q101352
Q37528119	Q101352
Q37528122	Q101352
Q37528124	Q101352
Q37528125	Q101352
Q37528126	Q101352
Q37528128	Q101352
Q37528129	Q101352
Q37528132	Q101352
Q37528134	Q101352
Q37528137	Q101352
Q37528139	Q101352
Q37528141	Q101352
Q37528143	Q101352
Q37528145	Q101352
Q37528147	Q101352
Q37528150	Q101352
Q37528151	Q101352
Q37528154	Q101352
Q37528156	Q101352
Q37528157	Q101352
Q37528161	Q101352
Q37528162	Q101352
Q37528164	Q101352
Q37528166	Q101352
Q37528167	Q101352
Q37528169	Q101352
Q37528170	Q101352
Q37528172	Q101352
Q37528173	Q101352
Q37528176	Q101352
Q37528178	Q101352
Q37528181	Q101352
Q37528183	Q101352
Q37528184	Q101352
Q37528186	Q101352
Q37528187	Q101352
Q37528190	Q101352
Q37528191	Q101352
Q37528194	Q101352
Q37528196	Q101352
Q37528198	Q101352
Q37528201	Q101352
Q37528204	Q101352
Q37528207	Q101352
Q37528209	Q101352
Q37528211	Q101352
Q37528213	Q101352
Q37528215	Q101352
Q37528217	Q101352
Q37528220	Q101352
Q37528223	Q101352
Q37528224	Q101352
Q37528226	Q101352
Q37528228	Q101352
Q37528231	Q101352
Q37528233	Q101352
Q37528235	Q101352
Q37528237	Q101352
Q37528239	Q101352
Q37528241	Q101352
Q37528242	Q101352
Q37528245	Q101352
Q37528246	Q101352
Q37528249	Q101352
Q37528250	Q101352
Q37528254	Q101352
Q37528255	Q101352
Q37528258	Q101352
Q37528261	Q101352
Q37528263	Q101352
Q37528265	Q101352
Q37528266	Q101352
Q37528269	Q101352
Q37528271	Q101352
Q37528274	Q101352
Q37528276	Q101352
Q37528279	Q101352
Q37528281	Q101352
Q37528284	Q101352
Q37528286	Q101352
Q37528288	Q101352
Q37528289	Q101352
Q37528292	Q101352
Q37528294	Q101352
Q37528297	Q101352
Q37528299	Q101352
Q37528302	Q101352
Q37528304	Q101352
Q37528306	Q101352
Q37528309	Q101352
Q37528311	Q101352
Q37528313	Q101352
Q37528315	Q101352
Q37528317	Q101352
Q37528320	Q101352
Q37528322	Q101352
Q37528324	Q101352
Q37528327	Q101352
Q37528329	Q101352
Q37528333	Q101352
Q37528335	Q101352
Q37528337	Q101352
Q37528340	Q101352
Q37528341	Q101352
Q37528344	Q101352
Q37528346	Q101352
Q37528348	Q101352
Q37528350	Q101352
Q37528353	Q101352
Q37528355	Q101352
Q37528357	Q101352
Q37528359	Q101352
Q37528361	Q101352
Q37528362	Q101352
Q37528364	Q101352
Q37528366	Q101352
Q37528369	Q101352
Q37528370	Q101352
Q37528373	Q101352
Q37528375	Q101352
Q37528377	Q101352
Q37528380	Q101352
Q37528382	Q101352
Q37528385	Q101352
Q37528387	Q101352
Q37528390	Q101352
Q37528392	Q101352
Q37528394	Q101352
Q37528397	Q101352
Q37528398	Q101352
Q37528401	Q101352
Q37528403	Q101352
Q37528406	Q101352
Q37528407	Q101352
Q37528410	Q101352
Q37528412	Q101352
Q37528414	Q101352
Q37528416	Q101352
Q37528419	Q101352
Q37528421	Q101352
Q37528424	Q101352
Q37528427	Q101352
Q37528430	Q101352
Q37528432	Q101352
Q37528433	Q101352
Q37528437	Q101352
Q37528438	Q101352
Q37528442	Q101352
Q37528444	Q101352
Q37528446	Q101352
Q37528448	Q101352
Q37528449	Q101352
Q37528455	Q101352
Q37528456	Q101352
Q37528459	Q101352
Q37528460	Q101352
Q37528464	Q101352
Q37528465	Q101352
Q37528469	Q101352
Q37528470	Q101352
Q37528472	Q101352
Q37528474	Q101352
Q37528477	Q101352
Q37528478	Q101352
Q37528482	Q101352
Q37528483	Q101352
Q37528485	Q101352
Q37528488	Q101352
Q37528490	Q101352
Q37528493	Q101352
Q37528494	Q101352
Q37528497	Q101352
Q37528499	Q101352
Q37528502	Q101352
Q37528504	Q101352
Q37528507	Q101352
Q37528509	Q101352
Q37528512	Q101352
Q37528513	Q101352
Q37528515	Q101352
Q37528517	Q101352
Q37528519	Q101352
Q37528522	Q101352
Q37528524	Q101352
Q37528527	Q101352
Q37528529	Q101352
Q37528531	Q101352
Q37528533	Q101352
Q37528536	Q101352
Q37528537	Q101352
Q37528539	Q101352
Q37528542	Q101352
Q37528544	Q101352
Q37528547	Q101352
Q37528549	Q101352
Q37528552	Q101352
Q37528554	Q101352
Q37528556	Q101352
Q37528559	Q101352
Q37528561	Q101352
Q37528564	Q101352
Q37528566	Q101352
Q37528568	Q101352
Q37528570	Q101352
Q37528572	Q101352
Q37528574	Q101352
Q37528576	Q101352
Q37528579	Q101352
Q37528581	Q101352
Q37528582	Q101352
Q37528586	Q101352
Q37528587	Q101352
Q37528591	Q101352
Q37528593	Q101352
Q37528595	Q101352
Q37528596	Q101352
Q37528599	Q101352
Q37528601	Q101352
Q37528604	Q101352
Q37528606	Q101352
Q37528608	Q101352
Q37528611	Q101352
Q37528613	Q101352
Q37528615	Q101352
Q37528617	Q101352
Q37528618	Q101352
Q37528622	Q101352
Q37528623	Q101352
Q37528625	Q101352
Q37528627	Q101352
Q37528630	Q101352
Q37528632	Q101352
Q37528635	Q101352
Q37528637	Q101352
Q37528640	Q101352
Q37528641	Q101352
Q37528643	Q101352
Q37528646	Q101352
Q37528648	Q101352
Q37528651	Q101352
Q37528652	Q101352
Q37528654	Q101352
Q37528656	Q101352
Q37528659	Q101352
Q37528661	Q101352
Q37528663	Q101352
Q37528666	Q101352
Q37528667	Q101352
Q37528669	Q101352
Q37528671	Q101352
Q37528672	Q101352
Q37528674	Q101352
Q37528677	Q101352
Q37528679	Q101352
Q37528682	Q101352
Q37528683	Q101352
Q37528686	Q101352
Q37528688	Q101352
Q37528690	Q101352
Q37528692	Q101352
Q37528694	Q101352
Q37528695	Q101352
Q37528696	Q101352
Q37528699	Q101352
Q37528701	Q101352
Q37528704	Q101352
Q37528706	Q101352
Q37528708	Q101352
Q37528711	Q101352
Q37528713	Q101352
Q37528716	Q101352
Q37528717	Q101352
Q37528720	Q101352
Q37528721	Q101352
Q37528723	Q101352
Q37528724	Q101352
Q37528727	Q101352
Q37528729	Q101352
Q37528732	Q101352
Q37528734	Q101352
Q37528737	Q101352
Q37528738	Q101352
Q37528741	Q101352
Q37528743	Q101352
Q37528745	Q101352
Q37528747	Q101352
Q37528749	Q101352
Q37528752	Q101352
Q37528754	Q101352
Q37528756	Q101352
Q37528757	Q101352
Q37528759	Q101352
Q37528760	Q101352
Q37528763	Q101352
Q37528765	Q101352
Q37528766	Q101352
Q37528768	Q101352
Q37528771	Q101352
Q37528774	Q101352
Q37528776	Q101352
Q37528777	Q101352
Q37528780	Q101352
Q37528782	Q101352
Q37528783	Q101352
Q37528786	Q101352
Q37528788	Q101352
Q37528791	Q101352
Q37528792	Q101352
Q37528795	Q101352
Q37528797	Q101352
Q37528799	Q101352
Q37528802	Q101352
Q37528804	Q101352
Q37528806	Q101352
Q37528809	Q101352
Q37528811	Q101352
Q37528813	Q101352
Q37528815	Q101352
Q37528818	Q101352
Q37528820	Q101352
Q37528823	Q101352
Q37528825	Q101352
Q37528827	Q101352
Q37528830	Q101352
Q37528831	Q101352
Q37528832	Q101352
Q37528835	Q101352
Q37528837	Q101352
Q37528840	Q101352
Q37528841	Q101352
Q37528843	Q101352
Q37528845	Q101352
Q37528848	Q101352
Q37528850	Q101352
Q37528853	Q101352
Q37528855	Q101352
Q37528857	Q101352
Q37528859	Q101352
Q37528861	Q101352
Q37528863	Q101352
Q37528866	Q101352
Q37528868	Q101352
Q37528870	Q101352
Q37528873	Q101352
Q37528875	Q101352
Q37528877	Q101352
Q37528879	Q101352
Q37528881	Q101352
Q37528884	Q101352
Q37528886	Q101352
Q37528889	Q101352
Q37528891	Q101352
Q37528894	Q101352
Q37528896	Q101352
Q37528899	Q101352
Q37528900	Q101352
Q37528904	Q101352
Q37528906	Q101352
Q37528908	Q101352
Q37528912	Q101352
Q37528913	Q101352
Q37528917	Q101352
Q37528918	Q101352
Q37528920	Q101352
Q37528922	Q101352
Q37528923	Q101352
Q37528926	Q101352
Q37528928	Q101352
Q37528930	Q101352
Q37528932	Q101352
Q37528933	Q101352
Q37528936	Q101352
Q37528937	Q101352
Q37528941	Q101352
Q37528943	Q101352
Q37528946	Q101352
Q37528948	Q101352
Q37528951	Q101352
Q37528953	Q101352
Q37528957	Q101352
Q37528959	Q101352
Q37528961	Q101352
Q37528963	Q101352
Q37528965	Q101352
Q37528967	Q101352
Q37528970	Q101352
Q37528971	Q101352
Q37528973	Q101352
Q37528975	Q101352
Q37528976	Q101352
Q37528979	Q101352
Q37528980	Q101352
Q37528983	Q101352
Q37528985	Q101352
Q37528988	Q101352
Q37528990	Q101352
Q37528993	Q101352
Q37528995	Q101352
Q37528998	Q101352
Q37529000	Q101352
Q37529001	Q101352
Q37529003	Q101352
Q37529005	Q101352
Q37529006	Q101352
Q37529008	Q101352
Q37529009	Q101352
Q37529011	Q101352
Q37529013	Q101352
Q37529014	Q101352
Q37529018	Q101352
Q37529019	Q101352
Q37529021	Q101352
Q37529022	Q101352
Q37529023	Q101352
Q37529025	Q101352
Q37529026	Q101352
Q37529029	Q101352
Q37529030	Q101352
Q37529032	Q101352
Q37529034	Q101352
Q37529036	Q101352
Q37529038	Q101352
Q37529041	Q101352
Q37529043	Q101352
Q37529044	Q101352
Q37529046	Q101352
Q37529048	Q101352
Q37529050	Q101352
Q37529053	Q101352
Q37529055	Q101352
Q37529058	Q101352
Q37529060	Q101352
Q37529063	Q101352
Q37529064	Q101352
Q37529068	Q101352
Q37529070	Q101352
Q37529073	Q101352
Q37529075	Q101352
Q37529077	Q101352
Q37529080	Q101352
Q37529081	Q101352
Q37529084	Q101352
Q37529085	Q101352
Q37529088	Q101352
Q37529090	Q101352
Q37529092	Q101352
Q37529094	Q101352
Q37529096	Q101352
Q37529097	Q101352
Q37529100	Q101352
Q37529101	Q101352
Q37529102	Q101352
Q37529105	Q101352
Q37529106	Q101352
Q37529108	Q101352
Q37529110	Q101352
Q37529111	Q101352
Q37529113	Q101352
Q37529114	Q101352
Q37529116	Q101352
Q37529117	Q101352
Q37529121	Q101352
Q37529122	Q101352
Q37529125	Q101352
Q37529126	Q101352
Q37529129	Q101352
Q37529130	Q101352
Q37529133	Q101352
Q37529134	Q101352
Q37529135	Q101352
Q37529138	Q101352
Q37529139	Q101352
Q37529142	Q101352
Q37529143	Q101352
Q37529145	Q101352
Q37529147	Q101352
Q37529148	Q101352
Q37529150	Q101352
Q37529151	Q101352
Q37529153	Q101352
Q37529157	Q101352
Q37529158	Q101352
Q37529159	Q101352
Q37529162	Q101352
Q37529163	Q101352
Q37529166	Q101352
Q37529168	Q101352
Q37529171	Q101352
Q37529173	Q101352
Q37529175	Q101352
Q37529177	Q101352
Q37529178	Q101352
Q37529181	Q101352
Q37529183	Q101352
Q37529185	Q101352
Q37529188	Q101352
Q37529190	Q101352
Q37529192	Q101352
Q37529194	Q101352
Q37529195	Q101352
Q37529197	Q101352
Q37529199	Q101352
Q37529203	Q101352
Q37529204	Q101352
Q37529206	Q101352
Q37529210	Q101352
Q37529211	Q101352
Q37529214	Q101352
Q37529216	Q101352
Q37529219	Q101352
Q37529221	Q101352
Q37529224	Q101352
Q37529226	Q101352
Q37529229	Q101352
Q37529230	Q101352
Q37529233	Q101352
Q37529235	Q101352
Q37529238	Q101352
Q37529239	Q101352
Q37529242	Q101352
Q37529245	Q101352
Q37529246	Q101352
Q37529249	Q101352
Q37529251	Q101352
Q37529253	Q101352
Q37529255	Q101352
Q37529256	Q101352
Q37529259	Q101352
Q37529260	Q101352
Q37529263	Q101352
Q37529264	Q101352
Q37529267	Q101352
Q37529268	Q101352
Q37529271	Q101352
Q37529273	Q101352
Q37529276	Q101352
Q37529277	Q101352
Q37529280	Q101352
Q37529282	Q101352
Q37529285	Q101352
Q37529287	Q101352
Q37529289	Q101352
Q37529291	Q101352
Q37529292	Q101352
Q37529294	Q101352
Q37529297	Q101352
Q37529299	Q101352
Q37529301	Q101352
Q37529303	Q101352
Q37529306	Q101352
Q37529308	Q101352
Q37529310	Q101352
Q37529313	Q101352
Q37529315	Q101352
Q37529318	Q101352
Q37529320	Q101352
Q37529323	Q101352
Q37529325	Q101352
Q37529328	Q101352
Q37529330	Q101352
Q37529333	Q101352
Q37529335	Q101352
Q37529337	Q101352
Q37529339	Q101352
Q37529342	Q101352
Q37529344	Q101352
Q37529346	Q101352
Q37529349	Q101352
Q37529351	Q101352
Q37529354	Q101352
Q37529355	Q101352
Q37529357	Q101352
Q37529360	Q101352
Q37529396	Q101352
Q37529398	Q101352
Q37529400	Q101352
Q37529403	Q101352
Q37529404	Q101352
Q37529407	Q101352
Q37529409	Q101352
Q37529411	Q101352
Q37529413	Q101352
Q37529415	Q101352
Q37529418	Q101352
Q37529420	Q101352
Q37529423	Q101352
Q37529425	Q101352
Q37529427	Q101352
Q37529429	Q101352
Q37529432	Q101352
Q37529434	Q101352
Q37529436	Q101352
Q37529438	Q101352
Q37529441	Q101352
Q37529443	Q101352
Q37529444	Q101352
Q37529447	Q101352
Q37529448	Q101352
Q37529450	Q101352
Q37529452	Q101352
Q37529453	Q101352
Q37529456	Q101352
Q37529457	Q101352
Q37529460	Q101352
Q37529461	Q101352
Q37529464	Q101352
Q37529465	Q101352
Q37529466	Q101352
Q37529470	Q101352
Q37529472	Q101352
Q37529475	Q101352
Q37529477	Q101352
Q37529479	Q101352
Q37529481	Q101352
Q37529482	Q101352
Q37529485	Q101352
Q37529486	Q101352
Q37529489	Q101352
Q37529491	Q101352
Q37529493	Q101352
Q37529496	Q101352
Q37529498	Q101352
Q37529500	Q101352
Q37529503	Q101352
Q37529505	Q101352
Q37529507	Q101352
Q37529509	Q101352
Q37529512	Q101352
Q37529513	Q101352
Q37529515	Q101352
Q37529517	Q101352
Q37529518	Q101352
Q37529521	Q101352
Q37529523	Q101352
Q37529524	Q101352
Q37529525	Q101352
Q37529529	Q101352
Q37529531	Q101352
Q37529534	Q101352
Q37529536	Q101352
Q37529538	Q101352
Q37529540	Q101352
Q37529543	Q101352
Q37529545	Q101352
Q37529548	Q101352
Q37529550	Q101352
Q37529552	Q101352
Q37529555	Q101352
Q37529557	Q101352
Q37529559	Q101352
Q37529562	Q101352
Q37529564	Q101352
Q37529566	Q101352
Q37529567	Q101352
Q37529571	Q101352
Q37529572	Q101352
Q37529575	Q101352
Q37529576	Q101352
Q37529577	Q101352
Q37529579	Q101352
Q37529581	Q101352
Q37529583	Q101352
Q37529585	Q101352
Q37529586	Q101352
Q37529588	Q101352
Q37529590	Q101352
Q37529592	Q101352
Q37529594	Q101352
Q37529596	Q101352
Q37529599	Q101352
Q37529601	Q101352
Q37529603	Q101352
Q37529604	Q101352
Q37529607	Q101352
Q37529608	Q101352
Q37529610	Q101352
Q37529612	Q101352
Q37529615	Q101352
Q37529616	Q101352
Q37529619	Q101352
Q37529621	Q101352
Q37529623	Q101352
Q37529626	Q101352
Q37529628	Q101352
Q37529629	Q101352
Q37529632	Q101352
Q37529634	Q101352
Q37529636	Q101352
Q37529637	Q101352
Q37529639	Q101352
Q37529641	Q101352
Q37529643	Q101352
Q37529644	Q101352
Q37529647	Q101352
Q37529649	Q101352
Q37529651	Q101352
Q37529653	Q101352
Q37529655	Q101352
Q37529657	Q101352
Q37529659	Q101352
Q37529662	Q101352
Q37529664	Q101352
Q37529667	Q101352
Q37529669	Q101352
Q37529671	Q101352
Q37529672	Q101352
Q37529674	Q101352
Q37529678	Q101352
Q37529680	Q101352
Q37529683	Q101352
Q37529685	Q101352
Q37529688	Q101352
Q37529689	Q101352
Q37529693	Q101352
Q37529694	Q101352
Q37529697	Q101352
Q37529698	Q101352
Q37529700	Q101352
Q37529703	Q101352
Q37529704	Q101352
Q37529707	Q101352
Q37529708	Q101352
Q37529710	Q101352
Q37529713	Q101352
Q37529715	Q101352
Q37529716	Q101352
Q37529718	Q101352
Q37529719	Q101352
Q37529721	Q101352
Q37529723	Q101352
Q37529726	Q101352
Q37529727	Q101352
Q37529729	Q101352
Q37529731	Q101352
Q37529734	Q101352
Q37529736	Q101352
Q37529738	Q101352
Q37529741	Q101352
Q37529743	Q101352
Q37529745	Q101352
Q37529748	Q101352
Q37529749	Q101352
Q37529751	Q101352
Q37529753	Q101352
Q37529756	Q101352
Q37529758	Q101352
Q37529761	Q101352
Q37529763	Q101352
Q37529765	Q101352
Q37529767	Q101352
Q37529768	Q101352
Q37529771	Q101352
Q37529772	Q101352
Q37529774	Q101352
Q37529776	Q101352
Q37529779	Q101352
Q37529781	Q101352
Q37529782	Q101352
Q37529785	Q101352
Q37529786	Q101352
Q37529788	Q101352
Q37529790	Q101352
Q37529791	Q101352
Q37529793	Q101352
Q37529795	Q101352
Q37529797	Q101352
Q37529799	Q101352
Q37529800	Q101352
Q37529802	Q101352
Q37529805	Q101352
Q37529807	Q101352
Q37529809	Q101352
Q37529811	Q101352
Q37529813	Q101352
Q37529815	Q101352
Q37529816	Q101352
Q37529819	Q101352
Q37529820	Q101352
Q37529823	Q101352
Q37529824	Q101352
Q37529826	Q101352
Q37529828	Q101352
Q37529830	Q101352
Q37529832	Q101352
Q37529833	Q101352
Q37529835	Q101352
Q37529837	Q101352
Q37529840	Q101352
Q37529842	Q101352
Q37529845	Q101352
Q37529846	Q101352
Q37529849	Q101352
Q37529850	Q101352
Q37529853	Q101352
Q37529855	Q101352
Q37529856	Q101352
Q37529858	Q101352
Q37529861	Q101352
Q37529864	Q101352
Q37529866	Q101352
Q37529868	Q101352
Q37529870	Q101352
Q37529872	Q101352
Q37529874	Q101352
Q37529877	Q101352
Q37529879	Q101352
Q37529880	Q101352
Q37529882	Q101352
Q37529885	Q101352
Q37529886	Q101352
Q37529890	Q101352
Q37529891	Q101352
Q37529895	Q101352
Q37529897	Q101352
Q37529900	Q101352
Q37529902	Q101352
Q37529905	Q101352
Q37529907	Q101352
Q37529909	Q101352
Q37529911	Q101352
Q37529914	Q101352
Q37529916	Q101352
Q37529919	Q101352
Q37529921	Q101352
Q37529922	Q101352
Q37529925	Q101352
Q37529927	Q101352
Q37529930	Q101352
Q37529931	Q101352
Q37529933	Q101352
Q37529935	Q101352
Q37529937	Q101352
Q37529939	Q101352
Q37529941	Q101352
Q37529943	Q101352
Q37529945	Q101352
Q37529946	Q101352
Q37529947	Q101352
Q37529950	Q101352
Q37529951	Q101352
Q37529955	Q101352
Q37529956	Q101352
Q37529959	Q101352
Q37529961	Q101352
Q37529963	Q101352
Q37529966	Q101352
Q37529968	Q101352
Q37529971	Q101352
Q37529973	Q101352
Q37529974	Q101352
Q37529978	Q101352
