path,files,bytes,workflow_refs,pipeline_code_refs,test_refs,doc_refs,example_refs
out/wikidata/,68,198497050,4,71,6,7,.github/workflows/review-decks.yml .github/workflows/tree.yml .github/workflows/union-tree.yml .github/workflows/wikidata-edits.yml
paths/,733,2587725,7,81,18,15,.github/workflows/ci.yml .github/workflows/pages.yml .github/workflows/pipeline.yml .github/workflows/review-decks.yml
paths_for_wikidata_isolates/,37376,2877621573,5,5,0,1,.github/workflows/ci.yml .github/workflows/pipeline.yml .github/workflows/review-decks.yml .github/workflows/tree.yml
paths_for_wikidata_isolates/*_files/,36710,2760376261,0,0,0,0,
paths_for_wikidata_isolates/Geni - 8 Mathea Marie Tønder (Jacobsen) (1875-1912)_files/,50,4104051,0,0,0,0,
paths_for_wikidata_isolates/Geni - AUGUST Friedrich Karl von Brandis (1859-d.)_files/,50,4098039,0,0,0,0,
paths_for_wikidata_isolates/Geni - Aadne Eivindson Garborg (1851-1924)_files/,58,4196124,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Aaron Louis Treadwell, Ph.D. (1866-1947)_files/",60,4137617,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Abu ’l-Walīd Muḥammad ibn Rus̲h̲d, Qadi al-Qurtubi, al-Sebilla (c.1126-c.1198)- Marrakesh_files/",54,4173294,0,0,0,0,
paths_for_wikidata_isolates/Geni - Ada Yonath (Livshitz)_files/,55,4119200,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adam Gustav Afzelius (1905-1957)- Cori_files/,60,4204680,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adasi (-1760--1669)_files/,58,4116390,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adolf Hoel (1879-1964)- Oslo_files/,53,4189748,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adolf Willareth (1874-1953)_files/,51,4097079,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adriaan Floriszoon Boeyens Dedel (1459-1523)- Rome_files/,57,4201473,0,0,0,0,
paths_for_wikidata_isolates/Geni - Adriano di Tuscolo (b. - 885)- San Cesario sul Panaro_files/,55,4115618,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Aha (Menes), Pharaoh of Egypt (-3020--2975)_files/",63,4227852,0,0,0,0,
