geni_id	label	why
6000000008496890957	Elisabet Norn	P3373 sibling Q141457272 held: over the 60-a-day cap
6000000008496913568	Margareta Odhelia	P3373 sibling Q6158199 held: over the 60-a-day cap
6000000008496913568	Margareta Odhelia	P3448 stepparent Q6082487 held: over the 40-a-day cap
6000000008501396339	Catherine Elisabeth Alberique Marie Napoleon	P3373 sibling Q704776 held: over the 60-a-day cap
6000000008503451501	Anna Grubb	P3373 sibling Q141515917 held: over the 60-a-day cap
6000000008503451501	Anna Grubb	P3373 sibling Q141319253 held: over the 60-a-day cap
6000000008503451501	Anna Grubb	P3373 sibling Q141494539 held: over the 60-a-day cap
6000000008507821635	Carl Åke Posse af Säby	P3373 sibling Q141443359 held: over the 60-a-day cap
6000000008507821635	Carl Åke Posse af Säby	P3373 sibling Q141514604 held: over the 60-a-day cap
6000000008507821635	Carl Åke Posse af Säby	P3373 sibling Q141444624 held: over the 60-a-day cap
6000000008507821635	Carl Åke Posse af Säby	P3373 sibling Q141268088 held: over the 60-a-day cap
6000000008507821635	Carl Åke Posse af Säby	P3373 sibling Q141511465 held: over the 60-a-day cap
6000000008507926141	Beata Christina Hierta	P3373 sibling Q141313511 held: over the 60-a-day cap
6000000008507926141	Beata Christina Hierta	P3373 sibling Q141492652 held: over the 60-a-day cap
6000000008507926141	Beata Christina Hierta	P3373 sibling Q141352130 held: over the 60-a-day cap
6000000008507926141	Beata Christina Hierta	P3373 sibling Q141283718 held: over the 60-a-day cap
6000000008508010957	Fredrika Ulrika Eleonora von Braunjohan	P3448 stepparent Q141442963 held: over the 40-a-day cap
6000000008508097243	Carl Hierta	P3373 sibling Q122949451 held: over the 60-a-day cap
6000000008524081266	Signe Eilefsdatter Bore	P3373 sibling Q141353744 held: over the 60-a-day cap
6000000008541457637	Margareta Helena Wennerstedt	P3373 sibling Q6235986 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189107 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189102 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189056 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189074 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189049 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189063 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189100 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189101 held: over the 60-a-day cap
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189095 held: over the 60-a-day cap
