qid	lang	label
Q103220432	mul	Sybil|Anne Fettiplace, of Stokenchurch
Q103220432	nl	Sybil|Anne Fettiplace, of Stokenchurch
Q103220505	en	Agnes|Anne Lovingcott (Lovingott)
Q103220505	nl	Agnes|Anne Lovingcott
Q103774892	en	Winrich|Henrik von Fahrensbach
Q103774892	mul	Winrich|Henrik von Fahrensbach
Q103774892	nl	Winrich|Henrik von Fahrensbach
Q103782013	en	ridder Joachim|Jakob Hermansen Flemming, lord of Knudstrup
Q103782013	mul	ridder Joachim|Jakob Hermansen Flemming, lord of Knudstrup
Q103782013	nl	ridder Joachim|Jakob Hermansen Flemming, lord of Knudstrup
Q103783994	en	(Ingvord|Ingvar)
Q103783994	mul	(Ingvord|Ingvar)
Q103784270	en	Merete|Madelene Jensdatter af Hallkved
Q103784270	mul	Merete|Madelene Jensdatter af Hallkved
Q103784270	nl	Merete|Madelene Jensdatter af Hallkved
Q103945778	en	Margaret Vipount (Vipont|Veteripont)
Q103945778	nl	Margaret Vipount
Q103945885	en	Lionel|Lyon Claxton
Q103945885	mul	Lionel|Lyon Claxton
Q103945885	nl	Lionel|Lyon Claxton
Q103947259	en	Joan|Jean
Q103947259	mul	Joan|Jean
Q103947259	nl	Joan|Jean
Q103947515	en	Margaret|Maude Lound
Q103947515	mul	Margaret|Maude Lound
Q103947515	nl	Margaret|Maude Lound
Q103947545	en	Joan|Jennet Burgh
Q103947545	mul	Joan|Jennet Burgh
Q103947545	nl	Joan|Jennet Burgh
Q104012203	en	Anna|Anne de Charlton (Cherlton), of Apley, Salop
Q104012203	mul	Anna|Anne de Charlton (Cherlton), of Apley, Salop
Q104012203	nl	Anna|Anne de Charlton (Cherlton), of Apley, Salop
Q104033728	en	Margaret|Maud Preston (?)
Q104033728	nl	Margaret|Maud Preston
Q104037952	en	Catherine|Katherine Mylde (Milde)
Q104037952	nl	Catherine|Katherine Mylde
Q104037952	ru	Кэтрин Майдл
Q104038162	en	Jane|Alice Croft
Q104038162	mul	Jane|Alice Croft
Q104038162	nl	Jane|Alice Croft
Q104038267	en	Alienore|Aline|Alianore Le Strange
Q104038267	mul	Alienore|Aline|Alianore Le Strange
Q104038267	nl	Alienore|Aline|Alianore Le Strange
Q104038274	en	Sir Edmund|John Blount, of Mangotsfield
Q104038274	mul	Sir Edmund|John Blount, of Mangotsfield
Q104038274	nl	Sir Edmund|John Blount, of Mangotsfield
Q104038280	en	Thomas Abarle (Aberle|Aberhale)
Q104038280	nl	Thomas Abarle
Q104038325	en	Joan|Jane Hawte (Haute)
Q104038325	nl	Joan|Jane Hawte
Q104038328	en	Benedicta|Bennet Shelving
Q104038328	mul	Benedicta|Bennet Shelving
Q104038328	nl	Benedicta|Bennet Shelving
Q104038330	en	Sir Thomas Coven (Couen|Cawne), of Ightham, Kent
Q104038330	mul	Sir Thomas Coven (Couen|Cawne), of Ightham, Kent
Q104038330	nl	Sir Thomas Coven (Couen|Cawne), of Ightham, Kent
Q104038621	cy	Catrin ferch Morgan ap Llewelyn ab Ieuan o Radyr
Q104038621	en	Catrin|Catherine ferch Morgan ap Llewelyn ab Ieuan of Radyr, Glam
Q104038621	nl	Catrin|Catherine ferch Morgan ap Llewelyn ab Ieuan of Radyr, Glam
Q104038758	en	Anne|Agnes Roper
Q104038758	mul	Anne|Agnes Roper
Q104038758	nl	Anne|Agnes Roper
Q104038768	en	Harry|Henry Aucher, of Lossenham, Kent
Q104038768	mul	Harry|Henry Aucher, of Lossenham, Kent
Q104038768	nl	Harry|Henry Aucher, of Lossenham, Kent
Q104038876	en	William|Robert Warham, of Malshanger
Q104038876	mul	William|Robert Warham, of Malshanger
Q104038876	nl	William|Robert Warham, of Malshanger
Q104038918	en	Sir Roger|Robert Kempe
Q104038918	mul	Sir Roger|Robert Kempe
Q104038918	nl	Sir Roger|Robert Kempe
Q104038920	en	Anne|Alice Scott
Q104038920	mul	Anne|Alice Scott
Q104038920	nl	Anne|Alice Scott
Q104038933	en	Elianor|Alice Bellers (Beler)
Q104038933	nl	Elianor|Alice Bellers
Q104038966	en	Margaret Lucolind (Lucombe|Luccombe)
Q104038966	nl	Margaret Lucolind
Q104039110	en	Gilbert Haltoft (Holtoft|Haultost)
Q104039110	nl	Gilbert Haltoft
Q104074594	en	Magdalen|Janet Leslie, of Balquhain
Q104074594	mul	Magdalen|Janet Leslie, of Balquhain
Q104074594	nl	Magdalen|Janet Leslie, of Balquhain
Q104471578	en	Matilda|Maud Brereton
Q104471578	mul	Matilda|Maud Brereton
Q104471578	nl	Matilda|Maud Brereton
Q104471664	en	Mary|Elizabeth Port, of Etwall
Q104471664	mul	Mary|Elizabeth Port, of Etwall
Q104471664	nl	Mary|Elizabeth Port, of Etwall
Q104471987	en	Joan|Jane Bawde
Q104471987	mul	Joan|Jane Bawde
Q104471987	nl	Joan|Jane Bawde
Q104471993	en	Margaret|Katherine Welby
Q104471993	mul	Margaret|Katherine Welby
Q104471993	nl	Margaret|Katherine Welby
Q104471997	en	Roger|Richard de Welby, of Moulton and Welby
Q104471997	mul	Roger|Richard de Welby, of Moulton and Welby
Q104471997	nl	Roger|Richard de Welby, of Moulton and Welby
Q104472021	en	Maud|Margery Mablethorpe
Q104472021	mul	Maud|Margery Mablethorpe
Q104472021	nl	Maud|Margery Mablethorpe
Q104472085	en	Margaret de Bernake (Barnard|Bernard|Bernack)
Q104472085	nl	Margaret de Bernake
Q104472089	en	Sir Nicholas de Bernake (Barnard|Bernard), of Hoffingham
Q104472089	mul	Sir Nicholas de Bernake (Barnard|Bernard), of Hoffingham
Q104472089	nl	Sir Nicholas de Bernake (Barnard|Bernard), of Hoffingham
Q104472091	en	Eleanor|Ellen Limbury
Q104472091	mul	Eleanor|Ellen Limbury
Q104472091	nl	Eleanor|Ellen Limbury
Q104472165	en	Emma|Emeline
Q104472165	mul	Emma|Emeline
Q104472165	nl	Emma|Emeline
Q104472175	en	Katherine|Catherine le Brett
Q104472175	mul	Katherine|Catherine le Brett
Q104472175	nl	Katherine|Catherine le Brett
Q104472345	en	Agnes|Joan Aston
Q104472345	mul	Agnes|Joan Aston
Q104472345	nl	Agnes|Joan Aston
Q104472437	en	Thomas Wilde (Weild|Wylde), of Borasham
Q104472437	mul	Thomas Wilde (Weild|Wylde), of Borasham
Q104472437	nl	Thomas Wilde (Weild|Wylde), of Borasham
Q104472594	en	Anne|Agnes Knyvett
Q104472594	mul	Anne|Agnes Knyvett
Q104472594	nl	Anne|Agnes Knyvett
Q104472984	en	Helen|Ellen Longford
Q104472984	mul	Helen|Ellen Longford
Q104472984	nl	Helen|Ellen Longford
Q104473002	en	Alice|Margaret Deincourt
Q104473002	mul	Alice|Margaret Deincourt
Q104473002	nl	Alice|Margaret Deincourt
Q104473012	en	Margery|Margaret Sulney
Q104473012	mul	Margery|Margaret Sulney
Q104473012	nl	Margery|Margaret Sulney
Q104473124	en	NN de Haselrick (Hazelrigg|Hesilrige)
Q104473124	nl	NN de Haselrick
Q104473135	en	William|John|Roger Dethick, of Newhall, Derbs
Q104473135	mul	William|John|Roger Dethick, of Newhall, Derbs
Q104473135	nl	William|John|Roger Dethick, of Newhall, Derbs
Q104473158	en	William Kynardsley, of Loxton|Loxley
Q104473158	mul	William Kynardsley, of Loxton|Loxley
Q104473158	nl	William Kynardsley, of Loxton|Loxley
Q104473370	en	William de Grobere (Grober|Grobbere), of Rushall
Q104473370	nl	William de Grobere (Grober|Grobbere), of Rushall
Q104473370	zh	威廉姆·德·格罗贝尔
Q104473370	zh-hant	威廉·德·格羅貝爾
Q104473372	en	Robert de Grober (Grobere|Grobbere)
Q104473372	nl	Robert de Grober
Q104473372	zh	罗伯特·德·格罗贝尔
Q104473372	zh-hant	羅伯特·德·格羅貝爾
Q104473541	en	Agnes|Anne Stanhope
Q104473541	mul	Agnes|Anne Stanhope
Q104473541	nl	Agnes|Anne Stanhope
Q104473559	en	Maud|Matilda
Q104473559	mul	Maud|Matilda
Q104473559	nl	Maud|Matilda
Q104473578	en	Elizabeth|Beatrice Lewknor
Q104473578	mul	Elizabeth|Beatrice Lewknor
Q104473578	nl	Elizabeth|Beatrice Lewknor
Q104473674	en	Sir Roger|Robert Leche, of Chatsworth
Q104473674	mul	Sir Roger|Robert Leche, of Chatsworth
Q104473674	nl	Sir Roger|Robert Leche, of Chatsworth
Q104484426	en	Joan|Julian Hovel
Q104484426	mul	Joan|Julian Hovel
Q104484426	nl	Joan|Julian Hovel
Q104484513	en	Ellen de Ives (Ince|Ines)
Q104484513	nl	Ellen de Ives
Q104484515	en	Aynon de Ives (Ince|Ines)
Q104484515	nl	Aynon de Ives
Q104503644	en	Marion|Margery Mitford
Q104503644	mul	Marion|Margery Mitford
Q104503644	nl	Marion|Margery Mitford
Q104550087	en	Kerstin|Karin
Q104550087	nl	Kerstin|Karin
Q104550087	ru	Черстин Бродерсдоттер
Q104550851	en	Elisabeth|Else von Maydell, Heiress of Joesse
Q104550851	mul	Elisabeth|Else von Maydell, Heiress of Joesse
Q104550851	nl	Elisabeth|Else von Maydell, Heiress of Joesse
Q104603612	en	Simon|Stephen de Peplesham
Q104603612	mul	Simon|Stephen de Peplesham
Q104603612	nl	Simon|Stephen de Peplesham
Q104773019	cs	Anna z Velhartic
Q104773019	en	Freiin Anna|Johanna von Wolharticz
Q104773019	nl	Freiin Anna|Johanna von Wolharticz
Q104773019	ru	Анна из Вельгартиц
Q104773029	cs	Václav z Donína
Q104773029	en	Wenzel|Wentsch von Dohna zu Radmeritz, herr von Grafenstein
Q104773029	nl	Wenzel|Wentsch von Dohna zu Radmeritz, herr von Grafenstein
Q104773029	ru	Вацлав из Донина
Q104773030	cs	Václav z Donína
Q104773030	en	Wenzel|Wentsch IV von Dohna zu Herwigsdorf und Wittgendorf
Q104773030	nl	Wenzel|Wentsch IV von Dohna zu Herwigsdorf und Wittgendorf
Q104785128	en	Roger|John|Thomas Heritage, of Burton Dasset
Q104785128	mul	Roger|John|Thomas Heritage, of Burton Dasset
Q104785128	nl	Roger|John|Thomas Heritage, of Burton Dasset
Q104799486	en	Joan|Jane Threlkeld (Thirkeld)
Q104799486	nl	Joan|Jane Threlkeld
Q105554455	en	Esther Griner|Crider
