qid,current_en,geni_id,sex,via_relation,via_qid,proposed_en
Q114213918,NN,,F,child,Q75515095,mother of Anne Herne
Q128804059,NN,,F,child,Q75520528,mother of William Gardner
Q108935832,NN,,F,child,Q75542817,mother of Elizabeth Martin
Q111465476,NN,,F,child,Q75546952,mother of Magdalen Preston
Q120604030,NN,,F,child,Q75590044,mother of Janet Kennedy
Q111452857,NN,,F,child,Q75637638,mother of Thomas Bythemore
Q105791775,NN,,F,child,Q75655083,mother of Amy Lawes
Q112476371,NN,,F,child,Q75662175,mother of Sir Robert Levingston of Drumry
Q129257302,NN,,F,child,Q75755569,mother of Margaret Borland
Q104551246,NN,,F,child,Q75765302,mother of Richard Palgrave
Q96215562,NN,,F,child,Q75821424,mother of Catherine Hookey
Q116812845,NN,,F,child,Q75906551,mother of Roger de Mainwaring
Q116178117,NN,,F,child,Q116178115,mother of Sir Thomas Mainwaring
Q101530983,NN,,F,child,Q75934525,mother of Eliza Kewark
Q136006159,NN,,F,child,Q76119306,mother of Princess Leopoldine Cantacuzino
Q110456940,NN,,F,child,Q76123757,mother of Sara Letitia Morris
Q136192940,NN,,F,child,Q76125887,mother of Kate Harding
Q112475561,NN,,F,child,Q76150368,mother of Robert Colville of Cleish
Q99387396,NN,,F,child,Q76169814,mother of Sarah Peyton
Q111443593,NN,,F,child,Q76197700,mother of John Turing
Q96778465,NN,,F,child,Q76241415,mother of Elizabeth Scott
Q110424356,NN,,F,child,Q76241417,mother of Francis Scott
Q122260218,NN,,F,child,Q76242319,mother of Isabella Marshall
Q97008663,NN,,F,child,Q76331894,mother of Margaret Helen McKay
Q136006551,NN,,F,child,Q7701203,mother of Teotlalco
Q132075020,NN,,F,spouse,Q78143,"wife of Philip I, Duke of Brunswick-Grubenhagen"
Q101247306,NN,,F,child,Q6188549,mother of Sten Bosson (Natt och Dag)
Q112534635,NN,,F,child,Q83428,mother of Paracelsus
Q101354988,NN,,F,child,Q85853318,"mother of Gilles bâtard de Luxembourg, Seigneur de la Tour-devant-Virton"
Q110066774,NN,,F,father,Q85853318,"daughter of Gilles bâtard de Luxembourg, Seigneur de la Tour-devant-Virton"
Q103838175,NN,,F,child,Q97570424,"mother of Bardolph, Lord of Ravenswath"
Q97570387,NN,,F,spouse,Q86648180,wife of Randall FitzJohn
Q97570388,NN,,F,spouse,Q86648367,wife of John FitzRandall
Q96241613,NN,,F,spouse,Q86648626,wife of John FitzRandolph
Q96241616,NN,,F,spouse,Q86648776,wife of Christopher FitzRandolph
Q116004953,NN,,F,spouse,Q116004950,"wife of Emich II., Raugraf von Baumberg"
Q110377938,NN,,F,child,Q925205,mother of Guy I de la Roche
Q100441975,NN,,F,spouse,Q938220,wife of Anscar of Ivrea
Q87496154,?,,,,,
Q108654238,NN,,F,child,Q96079758,mother of Almira Strong
Q115714762,NN,,F,child,Q96089176,mother of Abraham Spooner
Q96197557,NN,,F,child,Q96197554,mother of Edith Squire
Q96198470,NN,,F,child,Q96198467,mother of Peter Aspinwall
Q97095092,NN,,F,child,Q96201260,mother of Hannah Whitlock
Q96201498,NN,,F,child,Q96201495,mother of Mary Anne Moody
Q96201886,NN,,M,child,Q96201885,father of Sarah King
Q96202331,NN,,F,child,Q96202302,mother of Isabell Harper
Q98961826,NN,,F,child,Q96206161,mother of Jane Baynton
Q96206336,NN,,F,child,Q96206333,mother of John Ryder
Q96209445,NN,,F,child,Q96209443,mother of Ebenezer Norton
Q96213116,NN,,F,child,Q96209462,mother of John Hawes
Q96215651,NN,,F,child,Q96215649,mother of William Clapp
Q96216092,NN,,F,child,Q96216090,mother of Sarah Hart
Q105877955,NN,,F,child,Q96216130,mother of Elizabeth Adgate
Q96237502,NN,,F,child,Q96237493,mother of Mary Bullard
Q96985262,NN,,F,child,Q96237599,mother of Frances Tough
Q127270765,NN,,F,child,Q96240861,mother of Ragnhild
Q96288213,NN,,F,child,Q96288209,mother of Jonathan Houghton
Q96317195,NN,,M,child,Q96317194,father of Elvira Lasso de la Vega
Q96778531,NN,,F,child,Q96778527,mother of Anna Sanders Glen
Q96813292,NN,,F,child,Q96813274,mother of Isabel Harding
Q96983983,NN,,F,child,Q96983976,mother of Frances Hills
Q97103680,NN,,F,child,Q97103105,mother of John Umfreville
Q98072502,NN,,F,child,Q98072500,mother of John Read
Q98101290,NN,,F,child,Q98101288,mother of Allen Breed
Q98273396,NN,,F,spouse,Q98273380,wife of James Blount
Q110603037,NN,,F,spouse,Q708703,wife of Gerolf of Holland
Q98697971,NN,,F,child,Q98697964,mother of Ragnhild Haakonardottir av Lade
Q98698490,NN,,F,child,Q98698482,"mother of Renaud 'the Old' Üksküla, Lord of Velise"
Q107296446,NN,,F,child,Q104550740,mother of Hans von Rosen
Q98698549,NN,,F,child,Q98698544,mother of Dordi Maydell
Q98699187,NN,,F,child,Q98698623,mother of Fromhold von Tisenhusen
Q98698838,NN,,F,child,Q98698808,mother of Engelbrecht von Tisenhusen
Q131446483,NN,,F,child,Q98699210,"mother of Volmar de Urangele, lord of Hobeda"
Q98053545,NN,,F,child,Q75972677,mother of John Pilkington
Q99208764,NN,,F,child,Q99208760,mother of Philemon Lloyd
Q130682441,NN,,F,child,Q99273708,mother of Prince Vassili Romanovitch Bariatinski
Q130682440,NN,,F,child,Q99309418,mother of Prince Roman Vassilievitch Bariatinski
Q100154303,NN,,F,child,Q100154299,mother of Mary Linken (Lincoln)
Q98697737,NN,,F,child,Q6219155,mother of Ulf Karlsson (Ulv)
Q112971101,NN,,F,child,Q101247593,mother of Elina of Louhisaari
Q101340821,NN,,M,,,
Q101167268,NN,,F,child,Q2001541,mother of Sybilla Corbet
