record,line_number,tag,as_stored,reconstructed,evidence
@I6000000001504827969@,1611205,PLAC,Vµr Kirke,Vær Kirke,unambiguous
@I6000000001504831102@,1611227,PLAC,"Svenstorp, Odarsl÷v, Malm÷hus, Sverige","Svenstorp, Odarslöv, Malmöhus, Sverige",unambiguous
@I6000000001504831594@,1611645,PLAC,"Raabel÷v, Kristianstad, Sverige","Raabelöv, Kristianstad, Sverige",unambiguous
@I6000000001504831603@,1611661,PLAC,"Raabel÷v, Kristianstad, Sverige","Raabelöv, Kristianstad, Sverige",unambiguous
@I6000000001504831623@,1611710,PLAC,"Raabel÷v, Kristianstad, Sverige","Raabelöv, Kristianstad, Sverige",unambiguous
@I6000000001504831656@,1611726,PLAC,"Svenstorp, Odarsl÷v, Malm÷hus, Sverige","Svenstorp, Odarslöv, Malmöhus, Sverige",unambiguous
@I6000000001504831976@,1611903,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504838628@,1611977,PLAC,"Holmgaard, Moberg, Ringk°bing, Danmark","Holmgaard, Moberg, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504838840@,1612076,OCCU,"Oberst ( Hµren - Forsvaret ), Överste","Oberst ( Hæren - Forsvaret ), Överste",unambiguous
@I6000000001504841130@,1612487,PLAC,"Ijfjfj, Runnby, Malm÷hus, Sverige","Ijfjfj, Runnby, Malmöhus, Sverige",unambiguous
@I6000000001504841155@,1612525,PLAC,"Korup, Krogsb°lle, Odense, Danmark","Korup, Krogsbølle, Odense, Danmark",degree-not-ordinal
@I6000000001504841173@,1612541,PLAC,"Korup, Krogsb°lle, Odense, Danmark","Korup, Krogsbølle, Odense, Danmark",degree-not-ordinal
@I6000000001504841191@,1612557,PLAC,"Egholm, K°benhavn, Danmark","Egholm, København, Danmark",degree-not-ordinal
@I6000000001504841379@,1613117,PLAC,"Timgaard, Tim, Ringk°bing, Danmark","Timgaard, Tim, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504841406@,1613135,PLAC,"Timgaard, Tim, Ringk°bing, Danmark","Timgaard, Tim, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504841478@,1613210,PLAC,"Svaneholm, Malm÷hus, Sverige","Svaneholm, Malmöhus, Sverige",unambiguous
@I6000000001504841478@,1613214,PLAC,"Svaneholm, Malm÷hus, Sverige","Svaneholm, Malmöhus, Sverige",unambiguous
@I6000000001504846027@,1613491,PLAC,"Roskilde, K°benhavn, Danmark","Roskilde, København, Danmark",degree-not-ordinal
@I6000000001504846138@,1613883,PLAC,"Helsing°r, Frederiksborg, Danmark","Helsingør, Frederiksborg, Danmark",degree-not-ordinal
@I6000000001504846417@,1614075,PLAC,"Roskilde, K°benhavn, Danmark","Roskilde, København, Danmark",degree-not-ordinal
@I6000000001504846428@,1614096,PLAC,"Grundestrup, n. Vram, Malm÷hus, Sverige","Grundestrup, n. Vram, Malmöhus, Sverige",unambiguous
@I6000000001504846437@,1614114,PLAC,"Grundestrup, n. Vram, Malm÷hus, Sverige","Grundestrup, n. Vram, Malmöhus, Sverige",unambiguous
@I6000000001504846466@,1614160,PLAC,"Roskilde, K°benhavn, Danmark","Roskilde, København, Danmark",degree-not-ordinal
@I6000000001504851973@,1614946,PLAC,"Kogsb°lle, Vindinge, Svendborg, Danmark","Kogsbølle, Vindinge, Svendborg, Danmark",degree-not-ordinal
@I6000000001504851982@,1614963,PLAC,"Skabersjo, Malm÷hus, Sverige","Skabersjo, Malmöhus, Sverige",unambiguous
@I6000000001504851991@,1614988,PLAC,"Skabersjo, Malm÷hus, Sverige","Skabersjo, Malmöhus, Sverige",unambiguous
@I6000000001504852000@,1615013,PLAC,"Skabersjo, Malm÷hus, Sverige","Skabersjo, Malmöhus, Sverige",unambiguous
@I6000000001504855027@,1615036,PLAC,"Kogsb°lle, Vindinge, Svendborg, Danmark","Kogsbølle, Vindinge, Svendborg, Danmark",degree-not-ordinal
@I6000000001504855054@,1615055,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504855094@,1615071,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504855105@,1615088,PLAC,"Tim, Ringk°bing, Danmark","Tim, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504855105@,1615092,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504855118@,1615110,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504855142@,1615125,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504857456@,1615172,PLAC,"S°ndergaarde, Husby, Odense, Danmark","Søndergaarde, Husby, Odense, Danmark",degree-not-ordinal
@I6000000001504857492@,1615215,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000001504913213@,1615950,PLAC,"Alnerup, Ronneberg,Malm÷hus,Sverige","Alnerup, Ronneberg,Malmöhus,Sverige",unambiguous
@I6000000001504913293@,1616211,PLAC,"Alnerup, Romeberg,Malm÷hus,Sverige","Alnerup, Romeberg,Malmöhus,Sverige",unambiguous
@I6000000001504913341@,1616268,PLAC,"Trollenaes, Naes,Malm÷hus,Sverige","Trollenaes, Naes,Malmöhus,Sverige",unambiguous
@I6000000001504913840@,1616847,PLAC,"Voldbjerg, Hee, Ringk°bing, Danmark","Voldbjerg, Hee, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504913864@,1616863,PLAC,"Voldbjerg, Hee, Ringk°bing, Danmark","Voldbjerg, Hee, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504913888@,1616879,PLAC,"Voldbjerg, Hee, Ringk°bing, Danmark","Voldbjerg, Hee, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504921502@,1617835,PLAC,"Kr°nge, Maribo,Danmark","Krønge, Maribo,Danmark",degree-not-ordinal
@I6000000001504921529@,1617862,PLAC,"Orebygaard, Saksk°bing, Maribo, Danmark","Orebygaard, Sakskøbing, Maribo, Danmark",degree-not-ordinal
@I6000000001504940135@,1618113,PLAC,"Sp°ttrup, R°dding, , Danmark","Spøttrup, Rødding, , Danmark",degree-not-ordinal
@I6000000001504947678@,1618173,PLAC,"Vestl°sgaard, ╪sterild, Thisted, Danmark","Vestløsgaard, Østerild, Thisted, Danmark",unambiguous
@I6000000001504955327@,1618347,PLAC,"Skj°rringe, Braaby, Sor°, Denmark","Skjørringe, Braaby, Sorø, Denmark",degree-not-ordinal
@I6000000001504955336@,1618375,PLAC,"Skj°rringe, Braaby, Sor°, Denmark","Skjørringe, Braaby, Sorø, Denmark",degree-not-ordinal
@I6000000001504955354@,1618400,PLAC,"Skj°rringe, Braaby, Sor°, Denmark","Skjørringe, Braaby, Sorø, Denmark",degree-not-ordinal
@I6000000001504955363@,1618425,PLAC,"Skj°rringe, Braaby, Sor°, Denmark","Skjørringe, Braaby, Sorø, Denmark",degree-not-ordinal
@I6000000001861504461@,1854088,OCCU,"1563 Proviantmester for ┼rhus Stift, 1564-72 Lensmand pσ ┼rhusgσrd og ┼kµr og stiftslensmand i ┼rhus Stift","1563 Proviantmester for Århus Stift, 1564-72 Lensmand på Århusgård og Åkær og stiftslensmand i Århus Stift",unambiguous
@I6000000001866575152@,1859958,PLAC,"S°gσrd, Kliplev, Aabenraa-S°nderborg, Danmark","Søgård, Kliplev, Aabenraa-Sønderborg, Danmark",degree-not-ordinal
@I6000000001866575152@,1859962,OCCU,1431 Drost i S°nderjylland,1431 Drost i Sønderjylland,degree-not-ordinal
@I6000000002188378744@,2173863,PLAC,"Altenburg, Sachsen-Altenburg, Thⁿringen","Altenburg, Sachsen-Altenburg, Thüringen",unambiguous
@I6000000002238942335@,2244446,OCCU,"1572 Abbed i Reinfeld Kloster, 1576 Hofjunker, 1581 Rigsrσd, 1601 Statholder i K°benhavn, 1606 medlem af regeringsrσdet, Riksråd","1572 Abbed i Reinfeld Kloster, 1576 Hofjunker, 1581 Rigsråd, 1601 Statholder i København, 1606 medlem af regeringsrådet, Riksråd",degree-not-ordinal
@I6000000002245078990@,2264838,PLAC,N°rre Lyndelse,Nørre Lyndelse,degree-not-ordinal
@I6000000002245187205@,2264882,PLAC,"Torl°se Kirke, Skaane","Torløse Kirke, Skaane",degree-not-ordinal
@I6000000002245265100@,2265117,PLAC,Kvµrndrup,Kværndrup,unambiguous
@I6000000002401297520@,2345261,OCCU,Overkrigssekretµr i S°etaten,Overkrigssekretær i Søetaten,unambiguous
@I6000000002751269228@,2516387,PLAC,"Faareveile, Skr°belev,Svendborg,Danmark","Faareveile, Skrøbelev,Svendborg,Danmark",degree-not-ordinal
@I6000000002772984709@,2527228,PLAC,"Vor Frue Kirke, K°benhavn, K°benhavn, Danmark","Vor Frue Kirke, København, København, Danmark",degree-not-ordinal
@I6000000002812593428@,2540315,PLAC,Tirsbµk,Tirsbæk,unambiguous
@I6000000002818870691@,2544826,PLAC,"Nicolai Kirke, K°benhavn","Nicolai Kirke, København",degree-not-ordinal
@I6000000002821520944@,2545154,OCCU,"Beseglede den skaanske adels fuldmagt til Stµnderne i Danmark om at hylde Junker Oluf, Adelsman til Gyllebo og Tostrup","Beseglede den skaanske adels fuldmagt til Stænderne i Danmark om at hylde Junker Oluf, Adelsman til Gyllebo og Tostrup",unambiguous
@I6000000002835777835@,2552708,PLAC,"Galtrup, Mors N°rre herred","Galtrup, Mors Nørre herred",degree-not-ordinal
@I6000000002835777835@,2552712,PLAC,"Vesl°sgσrd, Han herred","Vesløsgård, Han herred",degree-not-ordinal
@I6000000002844297062@,2564919,OCCU,"1486 Hofsinde, 1493 Amtmand pσ Flensborg, 1506-10 S°nderborg, 1519 Lehnsmand Hundsbµk, Länsherre, var 1486 Hofsinde, 1493 Amtmand på Flensborg, Amtman","1486 Hofsinde, 1493 Amtmand på Flensborg, 1506-10 Sønderborg, 1519 Lehnsmand Hundsbæk, Länsherre, var 1486 Hofsinde, 1493 Amtmand på Flensborg, Amtman",unambiguous
@I6000000002850361803@,2571078,PLAC,Kaptajnl°jtnant,Kaptajnløjtnant,degree-not-ordinal
@I6000000002865626550@,2579068,OCCU,"1517 Ventebrev pσ Skodsborg og Hundsbµk len, havde indtil 1522 Elfsborg slot i forlening, Godsejer","1517 Ventebrev på Skodsborg og Hundsbæk len, havde indtil 1522 Elfsborg slot i forlening, Godsejer",unambiguous
@I6000000002896031105@,2599735,PLAC,"Vor Frue Kirke, K°benhavn","Vor Frue Kirke, København",degree-not-ordinal
@I6000000002929624391@,2621665,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000002936566207@,2628159,OCCU,"I Tjeneste Hos Peder Bille I Braunschweig, 1611 Krigskommisµr og statholder i Skaane, Halland, Krigskommissarie, Danskt riksråd","I Tjeneste Hos Peder Bille I Braunschweig, 1611 Krigskommisær og statholder i Skaane, Halland, Krigskommissarie, Danskt riksråd",unambiguous
@I6000000002971761914@,2649248,PLAC,"Holmgσrd, Skodborg, Ringk°bing, Danmark","Holmgård, Skodborg, Ringkøbing, Danmark",degree-not-ordinal
@I6000000002986742924@,2659184,PLAC,"Kjellingb°l, Middelsom Herred","Kjellingbøl, Middelsom Herred",degree-not-ordinal
@I6000000003014458073@,2670573,PLAC,Hornbµk,Hornbæk,unambiguous
@I6000000003072015623@,2707691,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000003072212013@,2707721,PLAC,"Pσ Lindbjerg, ╪lgod S Ved Varde","På Lindbjerg, Ølgod S Ved Varde",unambiguous
@I6000000003149057456@,2800892,PLAC,H°vedsmand,Høvedsmand,degree-not-ordinal
@I6000000003310002624@,2918119,PLAC,Lyddekj°bing Kirke,Lyddekjøbing Kirke,degree-not-ordinal
@I6000000003310142524@,2918270,PLAC,╪rbµk kirke,Ørbæk kirke,unambiguous
@I6000000003310142524@,2918278,PLAC,K°benhavn   (af B°rnekopper),København   (af Børnekopper),degree-not-ordinal
@I6000000003362834131@,2935452,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000003367339773@,2936978,PLAC,"Hackberga, Genarp, Malm°hus Len, Sverige","Hackberga, Genarp, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000003500447479@,3043187,PLAC,"Stavanger, siden f°rt til Rosendals gravsted ved Kvindherreds kirke","Stavanger, siden ført til Rosendals gravsted ved Kvindherreds kirke",degree-not-ordinal
@I6000000003827438731@,3293794,PLAC,"Kloster Reinhardsbrunn, Sachsen-Coburg-Gotha, Thⁿringen","Kloster Reinhardsbrunn, Sachsen-Coburg-Gotha, Thüringen",unambiguous
@I6000000003827464548@,3303312,PLAC,"Gera, R-J-L, Thⁿringen","Gera, R-J-L, Thüringen",unambiguous
@I6000000003858572796@,3436528,PLAC,"Schloss Blankenburg, Schwarzburg-Rudolstadt, Thⁿringen","Schloss Blankenburg, Schwarzburg-Rudolstadt, Thüringen",unambiguous
@I6000000003858572796@,3436532,PLAC,"Arnstadt, Schwarzburg-Sondershausen, Thⁿringen","Arnstadt, Schwarzburg-Sondershausen, Thüringen",unambiguous
@I6000000003860179858@,3462590,OCCU,"1577 Hofsinde, 1589 Lensmand ┼rhus, 1602 Lensmand Bygholm","1577 Hofsinde, 1589 Lensmand Århus, 1602 Lensmand Bygholm",unambiguous
@I6000000003867857842@,3465394,PLAC,Faddersb°l,Faddersbøl,degree-not-ordinal
@I6000000003868113349@,3465647,PLAC,"St. Peders K, Nµstved","St. Peders K, Næstved",unambiguous
@I6000000003897513842@,3478750,NICK,der Jⁿngere,der Jüngere,unambiguous
@I6000000003982420038@,3539292,PLAC,"Hackeberga, Genarp, Malm÷hus, Sverige","Hackeberga, Genarp, Malmöhus, Sverige",unambiguous
@I6000000004108913115@,3593479,PLAC,"Togaethorp, Harager,Malm÷hus,Sverige","Togaethorp, Harager,Malmöhus,Sverige",unambiguous
@I6000000004144536661@,3603373,PLAC,"S°ndergaarde, Husby, Odense, Danmark","Søndergaarde, Husby, Odense, Danmark",degree-not-ordinal
@I6000000004273646451@,3630558,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000004318196148@,3641378,PLAC,Kal°,Kalø,degree-not-ordinal
@I6000000004379990832@,3656195,PLAC,"Turebyholm, Tureby, Prµst°","Turebyholm, Tureby, Præstø",unambiguous
@I6000000004533774990@,3724944,PLAC,"Vor Frue Kirke, K°benhavn","Vor Frue Kirke, København",degree-not-ordinal
@I6000000004533902672@,3728139,PLAC,╪rbµklunde,Ørbæklunde,unambiguous
@I6000000005441648603@,3910677,PLAC,Kj°gemester,Kjøgemester,degree-not-ordinal
@I6000000006234271078@,4210532,PLAC,Kaptajnl°jtnant,Kaptajnløjtnant,degree-not-ordinal
@I6000000006234832085@,4211005,PLAC,Generall°jtnant,Generalløjtnant,degree-not-ordinal
@I6000000006243681588@,4214179,PLAC,Generall°jtnant,Generalløjtnant,degree-not-ordinal
@I6000000006328749904@,4263019,PLAC,S°nders° Kirke,Søndersø Kirke,degree-not-ordinal
@I6000000006444136780@,4311394,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311418,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311436,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311484,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311502,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311550,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311589,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311608,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311656,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311674,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006444136780@,4311683,TITL,TudorPlace Bio - William Henry BOURCHIER (2Â° E. Essex),TudorPlace Bio - William Henry BOURCHIER (2Âø E. Essex),degree-not-ordinal
@I6000000006727778426@,4402719,NICK,Braunschweig-Wolfenbⁿttel,Braunschweig-Wolfenbüttel,unambiguous
@I6000000006727821172@,4421410,PLAC,"Grafentonna, Sachsen-Coburg-Gotha, Thⁿringen","Grafentonna, Sachsen-Coburg-Gotha, Thüringen",unambiguous
@I6000000006727832716@,4434525,NAME,Ludwig /Thⁿringen/ Archbishop of Mainz,Ludwig /Thüringen/ Archbishop of Mainz,unambiguous
@I6000000006727832716@,4434527,SURN,Thⁿringen,Thüringen,unambiguous
@I6000000006727838605@,4437602,PLAC,"Wolfenbⁿttel, Braunschweig, Tyskland","Wolfenbüttel, Braunschweig, Tyskland",unambiguous
@I6000000006836613103@,4502269,PLAC,Holbµk,Holbæk,unambiguous
@I6000000006980718814@,4560990,NAME,Princesse d'Arménie (Fille n°4),Princesse d'Arménie (Fille nø4),degree-not-ordinal
@I6000000006980718814@,4560991,GIVN,Princesse d'Arménie (Fille n°4),Princesse d'Arménie (Fille nø4),degree-not-ordinal
@I6000000007366469251@,4759848,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000007452405393@,4809913,PLAC,M°gtved,Møgtved,degree-not-ordinal
@I6000000007470795309@,4819014,OCCU,"Rigsrσd, H°vedsmand i Jylland","Rigsråd, Høvedsmand i Jylland",degree-not-ordinal
@I6000000007754839249@,4905698,PLAC,"S°rup, Ljunits Herred, Skσne","Sørup, Ljunits Herred, Skåne",degree-not-ordinal
@I6000000007769643772@,4909449,PLAC,"Koosgσrd, R°dding herred","Koosgård, Rødding herred",degree-not-ordinal
@I6000000007777128484@,4913024,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000007980761172@,4967807,PLAC,"Nyk°bing, Holbaek, Danmark","Nykøbing, Holbaek, Danmark",degree-not-ordinal
@I6000000007981027329@,4974466,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000007988247261@,4975704,PLAC,"Ejsb°l, Haderslev, Danmark","Ejsbøl, Haderslev, Danmark",degree-not-ordinal
@I6000000008594211739@,5166569,PLAC,Skµve,Skæve,unambiguous
@I6000000009062544315@,5304631,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000011250913630@,5775802,PLAC,L°jtnant,Løjtnant,degree-not-ordinal
@I6000000011309325938@,5788273,PLAC,"Kogsb°lle, Vindinge, Svendborg, Danmark","Kogsbølle, Vindinge, Svendborg, Danmark",degree-not-ordinal
@I6000000011670340057@,5847325,PLAC,Kommand°r,Kommandør,degree-not-ordinal
@I6000000011670592245@,5847425,PLAC,"T°jstrup, Ryslinge","Tøjstrup, Ryslinge",degree-not-ordinal
@I6000000011671334743@,5847759,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000011684248846@,5848412,PLAC,"Ryde, Ringk°bing, Danmark","Ryde, Ringkøbing, Danmark",degree-not-ordinal
@I6000000011879902831@,5883321,PLAC,Kgl. Sekretµr,Kgl. Sekretær,unambiguous
@I6000000012114625200@,5913197,PLAC,"Raabel÷v, Kristianstad, Sverige","Raabelöv, Kristianstad, Sverige",unambiguous
@I6000000012121229789@,5913921,PLAC,╪vids kloster,Øvids kloster,unambiguous
@I6000000012824316312@,6038729,NAME,João /de Menezes/ 1.° Conde de Tarouca,João /de Menezes/ 1.ø Conde de Tarouca,degree-not-ordinal
@I6000000012824316312@,6038731,NSFX,1.° Conde de Tarouca,1.ø Conde de Tarouca,degree-not-ordinal
@I6000000013071532101@,6081544,NAME,D. Rodrigo Xavier Teles de Menezes /Castro e Silveira/ 4.° conde de Unhão,D. Rodrigo Xavier Teles de Menezes /Castro e Silveira/ 4.ø conde de Unhão,degree-not-ordinal
@I6000000013071532101@,6081547,NSFX,4.° conde de Unhão,4.ø conde de Unhão,degree-not-ordinal
@I6000000014263673913@,6244397,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000014291202051@,6249190,PLAC,Sekretµr,Sekretær,unambiguous
@I6000000015029409391@,6406501,PLAC,"Gera, R-J-L, Thⁿringen","Gera, R-J-L, Thüringen",unambiguous
@I6000000015222014153@,6436738,PLAC,"╪stergσrd, Hvam Sogn ?","Østergård, Hvam Sogn ?",unambiguous
@I6000000015252616416@,6440812,PLAC,"rue de l'orangerie n°54, Versailles","rue de l'orangerie nø54, Versailles",degree-not-ordinal
@I6000000015915934171@,6538989,PLAC,"Kragerup, ╪rslev, Holbaek, Danmark","Kragerup, Ørslev, Holbaek, Danmark",unambiguous
@I6000000015975345446@,6546264,PLAC,"Reinhardsbrunn, Sachsen-Coburg-Gotha, Thⁿringen","Reinhardsbrunn, Sachsen-Coburg-Gotha, Thüringen",unambiguous
@I6000000016066143812@,6554107,PLAC,"Havn°, Visborg, Aalborg, Danmark","Havnø, Visborg, Aalborg, Danmark",degree-not-ordinal
@I6000000017193061493@,6703528,PLAC,"Havn°, Visborg, Aalborg, Danmark","Havnø, Visborg, Aalborg, Danmark",degree-not-ordinal
@I6000000017193330048@,6703627,PLAC,"Bratskov, Brovst, Hj°rring, Danmark","Bratskov, Brovst, Hjørring, Danmark",degree-not-ordinal
@I6000000017781412203@,6769027,PLAC,H°vedsmand,Høvedsmand,degree-not-ordinal
@I6000000017781412203@,6769031,PLAC,L°itved,Løitved,degree-not-ordinal
@I6000000017781823046@,6769071,PLAC,L°itved,Løitved,degree-not-ordinal
@I6000000018903698232@,6882691,PLAC,"N°rholm, Torstrup, Ribe, Danmark","Nørholm, Torstrup, Ribe, Danmark",degree-not-ordinal
@I6000000019806326451@,6971766,NAME,Pedro /Lourenço de Castro/ meirinho-mor de D. Joaõ I°,Pedro /Lourenço de Castro/ meirinho-mor de D. Joaõ Iø,degree-not-ordinal
@I6000000019806326451@,6971769,NSFX,meirinho-mor de D. Joaõ I°,meirinho-mor de D. Joaõ Iø,degree-not-ordinal
@I6000000020280354558@,7008046,NAME,Luiz de Castelo Branco /da Cunha/ 4.° conde de Pombeiro,Luiz de Castelo Branco /da Cunha/ 4.ø conde de Pombeiro,degree-not-ordinal
@I6000000020280354558@,7008048,NSFX,4.° conde de Pombeiro,4.ø conde de Pombeiro,degree-not-ordinal
@I6000000020817124107@,7065993,PLAC,Todb°l,Todbøl,degree-not-ordinal
@I6000000021301638209@,7127535,NAME,µ /de Foix/,æ /de Foix/,unambiguous
@I6000000021301638209@,7127536,GIVN,µ,æ,unambiguous
@I6000000021503061549@,7144679,NAME,Francisco /de Sousa/ 6.° Senhor De Calhariz Olivaes e Monfalim,Francisco /de Sousa/ 6.ø Senhor De Calhariz Olivaes e Monfalim,degree-not-ordinal
@I6000000021503061549@,7144681,NSFX,6.° Senhor De Calhariz Olivaes e Monfalim,6.ø Senhor De Calhariz Olivaes e Monfalim,degree-not-ordinal
@I6000000025072932222@,7367089,PLAC,"╪stergσrd, Hvam Sogn ?","Østergård, Hvam Sogn ?",unambiguous
@I6000000026039599591@,7424956,OCCU,"1706 amtmand, Amtmand over Kors°r og Antvorskov","1706 amtmand, Amtmand over Korsør og Antvorskov",degree-not-ordinal
@I6000000028184973360@,7529522,NAME,D. Joana Josefa /de Menezes/ 3.° Condessa da Ericeira,D. Joana Josefa /de Menezes/ 3.ø Condessa da Ericeira,degree-not-ordinal
@I6000000028184973360@,7529525,NSFX,3.° Condessa da Ericeira,3.ø Condessa da Ericeira,degree-not-ordinal
@I6000000028184973360@,7529527,NAME,"Joana Josefa de Meneses, 3.° Condessa da Ericeira","Joana Josefa de Meneses, 3.ø Condessa da Ericeira",degree-not-ordinal
@I6000000029208239030@,7567490,NAME,"João Xavier Fernão /Teles de Menezes, 5.° conde de Unhao/","João Xavier Fernão /Teles de Menezes, 5.ø conde de Unhao/",degree-not-ordinal
@I6000000029208239030@,7567492,_MARNM,"Teles de Menezes, 5.° conde de Unhao","Teles de Menezes, 5.ø conde de Unhao",degree-not-ordinal
@I6000000029208239030@,7567493,NAME,"João Xavier Fernão /Teles de Menezes, 5.° conde de Unhao/","João Xavier Fernão /Teles de Menezes, 5.ø conde de Unhao/",degree-not-ordinal
@I6000000029208239030@,7567495,SURN,"Teles de Menezes, 5.° conde de Unhao","Teles de Menezes, 5.ø conde de Unhao",degree-not-ordinal
@I6000000035156745201@,7773700,PLAC,Vellingh°j,Vellinghøj,degree-not-ordinal
@I6000000035156745201@,7773704,PLAC,"Vellingh°j, Hj°rring,Danmark","Vellinghøj, Hjørring,Danmark",degree-not-ordinal
@I6000000037833987842@,7857524,OCCU,Padron Bs As 1744 - Familia n° 613,Padron Bs As 1744 - Familia nø 613,degree-not-ordinal
@I6000000037833987862@,7857542,OCCU,Padron Bs As 1744 - Familia n° 613,Padron Bs As 1744 - Familia nø 613,degree-not-ordinal
@I6000000039352091749@,7920332,PLAC,"Lystrup, Kongsed, Praest°, Danmark","Lystrup, Kongsed, Praestø, Danmark",degree-not-ordinal
@I6000000076302278997@,8652964,PLAC,L°jtnant Ved Kavalleriet,Løjtnant Ved Kavalleriet,degree-not-ordinal
@I6000000078043317248@,8691338,PLAC,"Trollenaes, Onsjo,Malm÷hus,Swenden","Trollenaes, Onsjo,Malmöhus,Swenden",unambiguous
@I6000000078365097855@,8699462,PLAC,"R°nhave, Ulkeb°l, S°nderborg, Danmark","Rønhave, Ulkebøl, Sønderborg, Danmark",degree-not-ordinal
@I6000000078365845025@,8699719,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@F5149096314360047149@,10419833,PLAC,"Landtind, Eising, Ringk°bing, Danmark","Landtind, Eising, Ringkøbing, Danmark",degree-not-ordinal
@F5468385692930038022@,10422196,PLAC,"Kors°r, Sor°, Danmark","Korsør, Sorø, Danmark",degree-not-ordinal
@F6000000000212229463@,10430380,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000000314001228@,10432250,PLAC,Malm°,Malmø,degree-not-ordinal
@F6000000001174415037@,10455874,PLAC,K°ge,Køge,degree-not-ordinal
@F6000000001505022700@,10467590,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505025024@,10467758,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505032119@,10467923,PLAC,"Vor Frue Kirke, K°benhavn","Vor Frue Kirke, København",degree-not-ordinal
