geni_id	qids	in_our_tree
310090752260008190	Q3287706	yes
3101347	Q84312	yes
3101478	Q134458898	yes
310233164060001380	Q105460406	yes
310281579760008254	Q63229966	yes
310403552040005696	Q7295124	yes
310589497410008061	Q3298824	yes
310709157580007085	Q506358	yes
310751553220005746	Q127692599	yes
3108463	Q28237396	yes
310905349320002927	Q3263279	yes
310924270940007069	Q2201980	yes
310929011350002852	Q47055580	yes
3109384	Q116187578	yes
310944094990001504	Q1810250	yes
3111727	Q524474	yes
311345248480006477	Q15066445	yes
311351528870006426	Q21772623	yes
311595021890005791	Q104658387	yes
311653582440008279	Q717388	yes
311700575730006450	Q109735775	yes
311743332450006495	Q105643193	yes
311744369750008283	Q95151457	yes
311759779760001455	Q60693758	yes
311821150420001441	Q7146030	yes
311908754240004587	Q109464065	yes
3119263	Q368414	yes
311942359020005985	Q3840264	yes
312025859460004583	Q43301063	yes
312102169410005006	Q144589	yes
312360116330003928	Q19840690	yes
312360375440003921	Q3056484	yes
312416262460005784	Q6536643	yes
312504447440004614	Q7183316	yes
312528334140002420	Q100964860	yes
312540909880007066	Q5626486	yes
312652	Q7173646	yes
312774940430006480	Q6066593	yes
3131314	Q3723080	yes
313182761900002492	Q106708042	yes
313183243080007978	Q106708041	yes
313183638130004700	Q106708039	yes
313184105500008983	Q106708036	yes
313208179990007096	Q106708033	yes
313212056430007105	Q106708601	yes
313215047770004774	Q106708070	yes
313234004470006000	Q106708279	yes
313235393820005759	Q106708264	yes
313237530540001690	Q106708341	yes
313238706640001709	Q106708342	yes
313253412440008180	Q106713584	yes
313269242360001885	Q106708739	yes
313271500900008234	Q106713485	yes
313304172280004066	Q12482565	yes
313312746580007459	Q139907502	yes
313691980010004815	Q1444495	yes
313858408650006046	Q2856959	yes
313859154760006996	Q3124435	yes
313860829480005865	Q3017893	yes
313876252290004900	Q3470052	yes
313876365270001572	Q3442411	yes
313974606750003695	Q5820866	yes
314032125370005906	Q5541678	yes
314086678480006041	Q106708426	yes
314148835320002048	Q24387461	yes
3141569	Q6175319	yes
314160619070006999	Q13218861	yes
314249063500006022	Q5820873	yes
314272331340006102	Q12405854	yes
314276708460002131	Q988434	yes
314404387530005053	Q27635952	yes
3144169	Q540070	yes
314481971720006226	Q20261154	yes
314609092040001429	Q44155020	yes
314628304830008863	Q1362785	yes
314652601570005452	Q826535	yes
314776831000001362	Q12407467	yes
3149161	Q105469605	yes
314941803320001580	Q104807240	yes
314961111910002720	Q11966845	yes
314995586910002711	Q1797318	yes
315030944100005611	Q3184762	yes
315085855080006421	Q109857417	yes
315087793210005607	Q121863069	yes
315239349120001597	Q1725378	yes
315312923060001550	Q2415473	yes
315415586980008969	Q6124758	yes
3156927	Q1584036	yes
315802227260005691	Q111143589	yes
3158598	Q114638937	yes
315910667780005729	Q887916	yes
315947726590001699	Q12768593	yes
315985803400004836	Q100841298	yes
316249179460001768	Q4204359	yes
316311693960001834	Q106993412	yes
316399725170005766	Q104545135	yes
316543332520006486	Q15975481	yes
316573034100003310	Q18120775	yes
316631591370006539	Q317631	yes
3166550	Q105525436	yes
3166552	Q105596026	yes
3166555	Q105614904	yes
3166575	Q105525431	yes
3166586	Q105525520	yes
3166599	Q105614909	yes
3166628	Q105614902	yes
316735432380008306	Q6121395	yes
316888129580005951	Q3155626	yes
3169158	Q105642815	yes
316971043190003537	Q134982734	yes
317021172790008403	Q63307632	yes
317144265350008380	Q1458901	yes
317199642180003490	Q3013195	yes
317235940510003535	Q578031	yes
317388454990003541	Q42351703	yes
317481127520002174	Q273019	yes
317590208250001407	Q136549578	yes
3176854	Q28358707	yes
317704864250008527	Q114703007	yes
317780690180006606	Q2576246	yes
317795396610006551	Q11902124	yes
317840994730002360	Q5690769	yes
317855527550005053	Q104420783	yes
318135924570003733	Q291275	yes
318154349490002499	Q11978245	yes
