geni_id	qids	sources
6000000034638041217	Q15627774;Q4113037	structural;wikidata-p2600
6000000036450398173	Q123359156;Q126027921	structural;wikidata-p2600
6000000037344141986	Q134986491;Q5860561	structural;wikidata-p2600
6000000038092078850	Q121009276;Q122937099	structural;wikidata-p2600
6000000049542888882	Q139046841;Q139047034	wikidata-p2600
6000000049629524856	Q45363950;Q45363954	structural;wikidata-p2600
6000000049984380848	Q64236100;Q96598227	wikidata-p2600
6000000051899520076	Q12330899;Q12330899;Q3073717;Q3073717	geni-about-me;geni-wikidata-pairs
6000000052128327889	Q133467857;Q76011027	structural;wikidata-p2600
6000000052945111849	Q134986281;Q50824532	structural;wikidata-p2600
6000000052945695870	Q134985471;Q134986001	structural;wikidata-p2600
6000000053251731917	Q76118739;Q76118746	structural;wikidata-p2600
6000000055090072837	Q128069151;Q99302104	structural;wikidata-p2600
6000000056237546001	Q131385186;Q139412760	structural;wikidata-p2600
6000000057238218914	Q75923553;Q75944406	wikidata-p2600
6000000057628495857	Q45422206;Q45422718	structural;wikidata-p2600
6000000060001809033	Q134981976;Q134986329	structural;wikidata-p2600
6000000064526895824	Q2337232;Q67174943	structural;wikidata-p2600
6000000064865319259	Q105364110;Q105512751	wikidata-p2600
6000000071775578071	Q128157370;Q128195707	structural;wikidata-p2600
6000000073472698862	Q15627774;Q4398425	structural;wikidata-p2600
6000000074692006933	Q45377513;Q45377516	structural;wikidata-p2600
6000000074725517947	Q45364907;Q65798801	structural;wikidata-p2600
6000000074730443882	Q45608010;Q45683922	structural;wikidata-p2600
6000000074733774373	Q45692318;Q45699766	structural;wikidata-p2600
6000000074734329258	Q45699740;Q45699868	structural;wikidata-p2600
6000000074735148982	Q45692374;Q45699816	structural;wikidata-p2600
6000000074735242823	Q45692909;Q45699842	structural;wikidata-p2600
6000000074744697294	Q45425352;Q45429129	structural;wikidata-p2600
6000000074749011461	Q45419898;Q45626813	structural;wikidata-p2600
6000000074749503970	Q15938899;Q45627001	structural;wikidata-p2600
6000000074749675364	Q45673593;Q45678086	structural;wikidata-p2600
6000000074758704275	Q45418903;Q45526606	structural;wikidata-p2600
6000000074759067177	Q45418901;Q45526670	structural;wikidata-p2600
