qid	label	slot	n	parents	parent_labels
Q95640157	Thomas Clayhills	mother	2	Q107296396;Q128157114	noble Gerdraute Drenteln, heiress | Charlotte Helena Poorten
Q96203276	Hester Delano	father	3	Q2634629;Q98275688;Q2634629	Philip Delano | Samuel Nash | Philip Delano
Q96221235	Anna Rosine Moser von Filseck	mother	2	Q96221374;Q106589149	Anna Kunigunda Krimmel | Anna Kunigunda Krimmel
Q96983829	Simon Cooley	mother	2	Q96983835;Q101423708	Mary Wolcott | Elizabeth Cooley
Q970135	Roger Marie Vincent Philippe Lévêque de Vilmorin	father	2	Q3381015;Q18363	Joseph-Marie-Philippe Lévêque de Vilmorin | Alfonso XIII
Q97069554	Jean Baptiste Fortin	father	2	Q97069203;Q97069226	Charles Thomas Fortin | Eustache Fortin
Q97069554	Jean Baptiste Fortin	mother	2	Q97069205;Q97069569	Sainte Cloutier | Louise Cloutier
Q977533	Louis, comte de Narbonne-Lara	father	2	Q7738;Q123025952	Louis XV of France | Jean François de Narbonne-Lara
Q98017087	Hester Deforest	mother	2	Q98017092;Q107296251	Abigail Marvin | Abigail DeForest
Q876602	Jérôme Frédéric Paul David	father	2	Q20605355;Q151087	Charles-Louis-Jules David | Jérôme Bonaparte
Q721477	Mamercus Aemilius Lepidus Livianus	father	2	Q3622705;Q703346	Marcus Aemilius Lepidus | Marcus Livius Drusus
Q101247071	Brita Gustavsdotter Rutencrantz, dowager of Moshult	father	2	Q101247072;Q5134131	Gustav Gustavson i Hässle | Gustav of Saxe-Lauenburg
Q101247071	Brita Gustavsdotter Rutencrantz, dowager of Moshult	mother	2	Q101247091;Q116453081	Kristina Kristersdotter Manesköld | Anna Lillie
Q16556142	Gunhilda	mother	2	Q9396741;Q75386627	Świętosława | daughter Sveynsdottir
Q75384495	Rohese (?)	father	2	Q101384;Q75386709	Henry I of England | Herbert FitzHerbert
Q10266559	Diego Froilaz	father	2	Q5505326;Q110302494	Froila Ramírez | Fruela Ramirez, Señor de Cifuentes
Q45567774	Li Gao	father	2	Q45567713;Q6539062	Li Qianyou | Li Shen
Q58810664	Filomena Matarazzo	mother	2	Q58810738;Q58860046	Amália Cintra Ferreira | Amália Cintra Matarazzo
Q45621962	Yang Xingli	father	2	Q10359797;Q45470764	Yang Yuanqing | Yang Yuanchen
Q18654337	Hunhu	father	2	Q860152;Q1036784	Yelü Zhilugu | Yelü Bei
Q121065905	Isaak Bacharach	father	2	Q16747395;Q16479668	Jakob | Bacharach
Q75315625	Ivana Lowell	father	2	Q75283191;Q1675579	Israel Citkowitz | Ivan Moffat
Q111036141	徳川茶々姫	mother	2	Q111040554;Q111040052	越智氏 (徳川頼宣の側室) | 理真院 (徳川頼宣の側室)
Q6759529	Margaret Hoover	father	2	Q105110447;Q35236	Andrew Hoover | Herbert Hoover
Q7234050	Lucius Cornelius Scipio Asiaticus Aemilianus	father	2	Q435329;Q529884	Marcus Aemilius Lepidus | Lucius Cornelius Scipio Asiaticus
Q117242228	Marie Josepha Elisabeth, Gräfin von Schrattenbach	mother	2	Q117242234;Q130458809	Marie Alžběta ze Šternberka | Marie Alžběta ze Starhembergu
Q7321381	Rhonda Ross Kendrick	father	2	Q355288;Q23682351	Berry Gordy | Robert Ellis Silberstein
Q274113	Catherine Allégret	father	2	Q945227;Q106057	Yves Allégret | Yves Montand
Q45632232	Li Xingshen	father	2	Q45545832;Q10720135	Li Chenwang | Li Gui
Q1762	Elagabalus	father	2	Q276309;Q1446	Sextus Varius Marcellus | Caracalla
Q35691900	Gnaeus Domitius Lucanus	father	2	Q107638081;Q868066	Sextus Curvius Tullus | Gnaeus Domitius Afer
Q1694739	John III, Count of Oldenburg	mother	2	Q75246267;Q75246955	Elisabeth von Braunschweig-Lüneburg | Hedwig von Diepholz
Q108433297	Maria Pimentel	father	2	Q3810762;Q110935090	Juan Alonso Pimentel de Herrera | Don Luis Vigil de Quiñones, Conde de Luna
Q108433297	Maria Pimentel	mother	2	Q110586594;Q110935091	Catalina de Quiñones | María Cortés y Ramírez de Arellano
Q45356309	Fu Zixiu	father	2	Q10889114;Q9396324	Fu Ji | Fu Cha
Q10889177	Fu Zide	father	2	Q10889114;Q9396324	Fu Ji | Fu Cha
Q16603502	Princesse Tanguo	mother	2	Q19854787;Q65800263	Song Guifei | Song Shi
Q117246013	Freiin Huberta Maria von Loë	father	2	Q117246014;Q1365881	Maximilian, Freiherr von Loë | Maximilian von Loë
Q111442871	Samuel Appelbom	father	2	Q111442885;Q109835787	Anders Haraldson Appelbom | Anders Appelbom
Q1655899	Regintrud	father	3	Q1277343;Q109860;Q109223	Hugobert | Dagobert I | Childebert III
Q5373015	Emma of Austrasia	father	3	Q209118;Q312605;Q560467	Chlothar II | Theudebert II | Erchinoald
Q4975457	Maria von Rosen	father	2	Q7546;Q18202439	Ingmar Bergman | Jan-Carl von Rosen
Q130803553	Alfrida Kruse	father	2	Q110303505;Q131106702	lagman Måns Sigvardson Kruse, 2.Lord of Elghammar & Vestergaarden, | Per Lillie
Q27894490	Xiao Han	father	3	Q11048986;Q47261104;Q11622136	Xiao Dilu | Xiao Shilu | Xiao Aguzhi
Q5953788	Juana Fernández de Córdoba y Enríquez de Ribera	father	3	Q11905099;Q110586546;Q110586519	Alonso Fernández de Córdoba y Enríquez de Ribera | Don Fernando Enriquez de Ribera y Cortés de Zuñiga,  3.Marqués de Tarifa | Don Pedro Fernández de Córdoba, 4.Marqués de Priego, 2.Marqués de Villafranca
Q5953788	Juana Fernández de Córdoba y Enríquez de Ribera	mother	3	Q110586521;Q110586544;Q110586547	Doña Juana Enriquez de Ribera y Cortés de Zuniga | Juana Enriquez de Ribera y Girón | Doña Ana Téllez-Girón
Q110586565	Isabel Fernández de Córdoba y Enríquez de Ribera	father	3	Q11905099;Q110586546;Q110586519	Alonso Fernández de Córdoba y Enríquez de Ribera | Don Fernando Enriquez de Ribera y Cortés de Zuñiga,  3.Marqués de Tarifa | Don Pedro Fernández de Córdoba, 4.Marqués de Priego, 2.Marqués de Villafranca
Q110586565	Isabel Fernández de Córdoba y Enríquez de Ribera	mother	3	Q110586544;Q110586547;Q110586521	Juana Enriquez de Ribera y Girón | Doña Ana Téllez-Girón | Doña Juana Enriquez de Ribera y Cortés de Zuniga
Q45474322	Fang Di	father	2	Q11084814;Q45474258	Fang Zheng | Fang Xuan
Q55068500	Frédéric Ier de Löwenstein	father	2	Q96844;Q55068468	Louis I, Count of Löwenstein | Wolfgang von Löwenstein
Q45502146	Li Yuan	father	2	Q11098100;Q45519194	Li Di | Li Zhen
Q45659324	Liang Zushun	father	2	Q45659265;Q45608938	Liang Zhiqing | Liang Zhiqing
Q112876040	Aleksandr Ivanovich Timiryazev	mother	2	Q111297984;Q126966422	Sofia Fyodorovna Vadkovskaya | Olga Borisovna Danzas
Q135105510	Wistar Morris	mother	2	Q111364675;Q111364662	Mary Hollingsworth Morris | Israel Wistar Morris
Q6285495	Joseph Albright	father	2	Q1392676;Q111368043	Ivan Albright | Jay Frederick Reeve
Q111399214	Henry Dwight Williams Gardner	father	2	Q111383652;Q111399138	William Frederic Williams | James V. P. Gardner
Q16006318	Demetrios Mourouzis	father	2	Q2976077;Q2833904	Constantine Mourousis | Alexander Mourousis
Q136173481	Lyman Richards Williston	father	2	Q113803794;Q8017535	Samuel Williston | William Richards
Q45544326	Sun Shenxiang	mother	2	Q65803146;Q65806187	Lu Shi | Lu Shi
Q98698552	Hildegard Üksküla, co-heiress of Kiltsi castle	father	2	Q98698556;Q12371719	Field Marshal Otto Üksküla, Lord of Vigala and Kiltsi, Castellan of Narva | Otto von Uexküll
Q65966163	Anita Malootian	father	2	Q65976028;Q117260990	Markay Harotoune Malootian | Peter Robert Whitfield Jr.
Q28672732	Kazimierz Oborski	father	2	Q11731059;Q2626375	Józef Oborski | Michał Jerzy Poniatowski
Q116469302	Elena Franciotti della Rovere	mother	2	Q116469325;Q11753251	Laura Migliorati | Laura Orsini
Q2826477	Agatha, wife of Edward the Exile	father	4	Q177903;Q1866171;Q188943;Q28468	Stephen I of Hungary | Liudolf, Margrave of Frisia | Yaroslav the Wise | Mieszko II
Q2826477	Agatha, wife of Edward the Exile	mother	4	Q232039;Q15434092;Q2332287;Q269619	Gisela of Hungary | Gertrud die Ältere von Braunschweig | Ingegerd Olofsdotter of Sweden | Richeza of Lotharingia
Q16159693	Michael Emanuel von Althann	mother	2	Q19974202;Q117848253	Maria Aloysia of Dietrichstein | Marie Josefa z Paaru
Q75492436	Margaret Clifford	mother	2	Q75238487;Q116090694	Anne St. John | NN
Q113394114	Fredrik Wahl	father	2	Q11886946;Q113510590	Paul Wahl | Paul Wahl
Q12485365	Harun Al-Rasyid Sutan Bandaro	mother	2	Q120175322;Q120175229	Siti Rawiah | Siti Sjarifah
Q124097709	Юрій Виговський	mother	2	Q12135695;Q4498462	Elena Khmelnytsky | Catherine Bogdanovna Khmelnytsky
Q124097897	Vasyl Vyhovskyi	mother	2	Q12135695;Q4498462	Elena Khmelnytsky | Catherine Bogdanovna Khmelnytsky
Q75346716	Jakob Georg Graf von Brühl	father	2	Q75346713;Q1223091	Mauritius Graf von Brühl | Dieter von Landsberg-Velen
Q6469957	Barbara FitzRoy	father	2	Q122553;Q153803	Charles II of England | John Churchill, 1st Duke of Marlborough
Q12285182	Lucius Dasumius Tullius Tuscus	father	2	Q3329226;Q85854004	Publius Tullius Varro | Lucius Dasumius Hadrianus
Q12285182	Lucius Dasumius Tullius Tuscus	mother	2	Q107638147;Q3655752	Dasumia Polla | Mindia Matidia
Q505341	Quintus Caecilius Metellus Celer	father	2	Q713394;Q12109354	Quintus Caecilius Metellus Nepos | Quintus Caecilius Metellus Celer
Q71429	Franziska zu Reventlow	mother	2	Q116032551;Q94747276	Emilie Anna Louise, Gräfin von Rantzau af Ascheberg-Rastorf | Emilie Reventlow
Q882953	Lucius Calpurnius Piso Frugi Licinianus	father	2	Q1233627;Q1414	Marcus Licinius Crassus Frugi | Galba
Q75272209	Lady Elizabeth Stewart	mother	2	Q61268437;Q1783503	Eleanor Sinclair | Margaret Douglas, Fair Maid of Galloway
Q5249748	Dede Yusuf	father	2	Q3231014;Q124325266	Rustam Effendi | Tammy Effendi
Q76174359	Alice de Toeni	mother	2	Q3058882;Q52153867	Estefania Ramon | Godehildis
Q124987744	Berdi Vieyra-Pront	mother	2	Q124972258;Q124991822	Margaretha van Hinte | Cornelia Hennekam
Q28474028	Галактион Вологодский	father	2	Q4083311;Q126959209	Ivan Belsky | Іван Іванавіч Бельскі
Q76048509	Isotta Visconti	mother	2	Q17149471;Q116007730	Bertramola de Grassi | Beltameda Cassa
Q71335015	George Douglas of Parkhead	father	2	Q5538609;Q1266779	George Douglas | James Douglas, 4th Earl of Morton
Q928894	Publius Cornelius Scipio	father	2	Q1269233;Q11943246	Cornelius Scipio Salvito | Publius Cornelius Scipio
Q20005554	Marcus Livius Drusus	father	2	Q703448;Q432244	Marcus Livius Salinator | Lucius Aemilius Paullus
Q126933838	Adalbert Poorten	father	2	Q128049461;Q125853641	Johann Georg Poorten | Adalbert Poorten
Q75240821	Georgiana Augusta Frederica Seymour	father	2	Q96087987;Q130586	Unknown | George IV of the United Kingdom
Q11917891	Decimus Junius Silanus Manlianus	father	2	Q1215347;Q509399	Decimus Iunius Silanus | Titus Manlius Torquatus
Q1669268	Marcus Junius Silanus	father	2	Q12277943;Q1283595	Decimus Junius Silanus | Marcus Junius Silanus
Q76300039	NN von Veringen	father	2	Q76300059;Q76300763	Eberhard  I Gräfin von Nellenburg | Wolfrad VI von Veringen
Q116007777	Willibirg von Württemberg	father	2	Q1284076;Q69350	Hermann De Wurtemberg | Hartmann, Count of Württemberg
Q7347608	Robert Meeropol	father	2	Q2739096;Q1284580	Julius Rosenberg | Abel Meeropol
Q2511778	Rhuddfedel Frych	father	2	Q1292998;Q116147848	Catigern | Cyndeyrn ap Gwrtheyrn Gwrtheneu ap Gwidol ap Gwidolin
Q109487399	Jean Antoine François de Franquetot, Marquis de Coigny	father	2	Q1451244;Q109487480	François de Franquetot de Coigny | Огюстен-Габриель де Франкето Куаньи
Q75318515	Olga Karoline Albrecht	father	2	Q130734;Q4063411	Nicholas I of Russia | Karl Albrecht
Q4346762	Aleksey Paskhin	father	2	Q23926566;Q130734	Ivan Tutolmin | Nicholas I of Russia
Q61911714	Maud de Saint Hilary	mother	2	Q75938512;Q61963113	Aqueline (?) | Эвелин
Q6470274	Jean Stewart	mother	2	Q75389590;Q5362419	Elizabeth Bethune | Elizabeth Bethune
Q1995125	Nobuo Kishi	father	2	Q318209;Q27917602	Shintarō Abe | Nobukazu Kishi
Q15070874	Nikita Lavinsky	father	2	Q23061608;Q132964	Anton Lavinsky | Vladimir Mayakovsky
Q394754	Agnes von Hohenlohe	mother	2	Q394800;Q55217321	Agnes of Württemberg | Margareta von Truhendingen
Q2887133	Gunhild of Wenden	father	2	Q53435;Q2315967	Mieszko I | Burislav
Q311011	Harald II of Denmark	mother	3	Q24238356;Q242746;Q2887133	unknown | Sigrid the Haughty | Gunhild of Wenden
Q34130352	Cosima Vane-Tempest-Stewart	father	2	Q335344;Q13557546	Alistair Vane-Tempest-Stewart, 9th Marquess of Londonderry | Robin Douglas-Home
Q172248	Marcus Junius Brutus	father	2	Q1358824;Q765997	Marcus Junius Brutus the Elder | Quintus Servilius Caepio
Q172248	Marcus Junius Brutus	mother	2	Q232229;Q469712	Servilia | Hortensia
Q3445668	Manono I	father	2	Q4708320;Q13605720	Alapainui | Kalaniʻōpuʻu
Q18576308	Henry fitz Count	mother	2	Q75102200;Q75384506	Beatrice de Vaux | Beatrice FitzRichard
Q75387844	Isabella de Beaumont	father	2	Q1386498;Q1364180	Robert de Beaumont, 1st Earl of Leicester | Robert de Beaumont, 2nd Earl of Leicester
Q75387844	Isabella de Beaumont	mother	2	Q204351;Q59154776	Elizabeth of Vermandois, Countess of Leicester | Amice de Gaël
Q195707	William of Jülich	mother	2	Q70894634;Q75292323	Richardis of Geldern | Margareta van Gelre
Q13972933	Otto van Gulik	mother	2	Q70894634;Q75292323	Richardis of Geldern | Margareta van Gelre
Q111443942	Yolande	father	2	Q107365065;Q1539272	Henri III of Grandpré | Godfrey IV, Lord of Joinville
Q5549396	Jadwiga	father	2	Q572017;Q9396729	Mestwin I, Duke of Pomerania | Świętopełk Brneński
Q96088749	Abigail Prather Churchill	father	2	Q139674045;Q139674111	Samuel Churchill | Abigail Oldham Churchill
Q110616678	Pedro Enriquez de Castilla, 1.Señor de Camporredondo	mother	2	Q110616695;Q3187863	NN | Juana de Lara
Q110604964	Anna von Plettenberg	father	2	Q55858956;Q63099186	Johann Adolph von Plettenberg | Friedrich Bernhard Wilhelm von Plettenberg
Q30026262	Claudia Julia	father	2	Q1411;Q118734160	Claudius | Boter
Q2521130	Vespasian the Younger	father	2	Q280869;Q1423	Titus Flavius Clemens | Domitian
Q1238439	Domitian the Younger	father	2	Q280869;Q1423	Titus Flavius Clemens | Domitian
Q3167790	Jean-Marie Périer	father	2	Q318060;Q1451173	Henri Salvador | François Périer
Q723681	Asenath	father	2	Q22054796;Q7234956	Shechem | Potipherah
Q311575	Sviatopolk I of Kiev	father	2	Q311291;Q14974	Yaropolk I of Kiev | Vladimir the Great
Q3101345	Georges Achille-Fould	father	2	Q3121088;Q5536702	Gustave Fould | George Barbu Știrbei
Q75850021	Lady Elizabeth FitzGerald	father	2	Q1509868;Q75850028	Gerald FitzGerald, 8th Earl of Kildare | Sir Thomas FitzGerald
Q71799	Mary Osborne, Duchess of Leeds	father	2	Q716347;Q366805	Francis Godolphin, 2nd Earl of Godolphin | William Congreve
Q28499977	Sofya Naryshkina	father	2	Q4313555;Q15193	Dmitry Naryshkin | Alexander I of Russia
Q4313566	Emmanuil Naryshkin	father	2	Q4313555;Q15193	Dmitry Naryshkin | Alexander I of Russia
Q14955489	Liza Todd	father	2	Q240566;Q151973	Mike Todd | Richard Burton
Q15629149	August von Gemmingen	father	2	Q15629140;Q15629138	Ludwig Friedrich Wilhelm von Gemmingen | August Wilhelm von Gemmingen
Q75775370	Catherine Cook	father	2	Q75775372;Q110315615	Sir Thomas Cook | William Cooke, of Salisbury
Q55643175	Meryamun (20th dynasty)	mother	2	Q739331;Q386713	Tyti | Iset Ta-Hemdjert
Q3562315	Æthelstan of Kent	father	2	Q272326;Q154934	Æthelwulf | Ecgberht
Q3562315	Æthelstan of Kent	mother	2	Q2296250;Q3267477	Osburh | Redburga
Q137183385	Helen Phelps	father	2	Q75723896;Q15505278	Maldion Byron Bicknell | Isaac Newton Phelps Stokes
Q137183385	Helen Phelps	mother	2	Q75573304;Q20858115	Mildred Mary Bax-Ironside | Edith Minturn Stokes
Q26419	Justin Welby	father	2	Q15619216;Q75349343	Anthony Montague Browne | Gavin Bramhall Welby
Q136409940	Василий	father	2	Q4458172;Q15650618	Tit Mstislavovich | Ivan Titovich
Q671572	Gerold of Vinzgau	father	2	Q3125564;Q130367640	Hado of the Anglachgau | Agiluf of Vintzau
Q45576087	Miao Ji	father	2	Q1568310;Q45424487	Miao Jinqing | Miao Hanye
Q265436	Ota	father	2	Q1339011;Q693896	Udo of Neustria | Berengar I of Neustria
Q45586583	Mou Mo	father	2	Q45419739;Q65804036	Jiang Jing | Mou Jing
Q22813328	Dugu Yuanjie	father	2	Q15934399;Q45645655	Dugu Qingyun | Dugu Yun
Q136700571	Anniballe Anguissola	father	2	Q136700572;Q136700574	Lazzaro Anguissola | Anniballe Anguissola
Q133294859	Louise Fennell	mother	2	Q133294860;Q16207879	Coco Fennell | Emerald Fennell
Q4416801	Artem Sergeev	father	2	Q1332918;Q855	Fyodor Sergeyev | Joseph Stalin
Q44191432	Friedrich III von Harzgau	father	2	Q20500239;Q2531480	Count Frederick II Von Harzgau | Volkmar I
Q110778696	Mary Broughton Motte	mother	2	Q75728803;Q110778756	Elizabeth Motte | Mary Jones Keating Broughton
Q75450260	Lady Felicity Russell	father	2	Q75450480;Q167356	William Barlett | John Russell, 4th Earl Russell
Q75341799	Lady Harriet Russell	father	2	Q33760;Q94369494	Bertrand Russell | Griffin Barry
Q6913869	Morris Robinson, 3rd Baron Rokeby	father	2	Q1675101;Q75448489	Matthew Robinson | Morris Robinson
Q1403883	Frans Hals Junior	mother	2	Q13564504;Q13564506	Anneke Hermansz | Lysbeth Reyniers
Q7962174	Walkelin de Derby	father	2	Q2601233;Q1683480	Robert de Ferrers, 2nd Earl of Derby | William de Ferrers, 3rd Earl of Derby
Q7962174	Walkelin de Derby	mother	2	Q6759399;Q61896279	Margaret Ferrers, Countess of Derby | Sibyl de Braose
Q50824515	Violetta Lyon	father	2	Q7147044;Q16850543	Patrick Lyon, 1st Lord Glamis | John Lyon, 3rd Lord Glamis
Q75247175	Luitgard of Elchingen-Ravenstein	father	2	Q281245;Q60534495	Frederick I, Duke of Swabia | Adalbert von Ravenstein
Q75247175	Luitgard of Elchingen-Ravenstein	mother	2	Q242187;Q15624705	Agnes of Waiblingen | Berta of Boll
Q75897192	Eleanor Talbot	father	2	Q16863515;Q28091676	Gilbert Talbot | Gilbert Talbot
Q75247975	Agnes of Oldenburg	father	2	Q820554;Q1694708	Conrad I, Count of Oldenburg | John II of Oldenburg
Q75247975	Agnes of Oldenburg	mother	2	Q75242615;Q75246955	Ingeborg von Holstein-Segeburg | Hedwig von Diepholz
Q694696	Welf I, Count of Altdorf	father	3	Q76299066;Q76299395;Q1942136	Welpo (or Isebrand) Count in Bavaria | Gelph Count of Altdorf and Argengau | Rothard van de Argengau
Q75307592	Mercy Greville	father	2	Q3313263;Q1707481	Francis Greville, 5th Earl of Warwick | Joseph Frederick Laycock
Q11608404	Oda Hideko	father	2	Q171411;Q313320	Oda Nobunaga | Akechi Mitsuhide
Q4215814	Oda Nobutoki	father	2	Q1153962;Q11608286	Oda Nobuhide | Oda Nobuyasu
Q919247	Eberhard of Friuli	father	2	Q17153107;Q763220	Unruoch II of Friuli | Berengar the Wise
Q838180	Asahihime	father	2	Q11599480;Q11518035	Chikuami | Kinoshita Yaemon
Q11360827	Shimoyama-dono	father	2	Q106698887;Q276404	Akiyama Torayasu | Takeda Shingen
Q10502504	Okaji no Kata	father	3	Q11070231;Q11642054;Q11551125	Ōta Yasusuke | 遠山直景 (左衛門大夫) | 江戸重通
Q10523145	Sutsien-si	father	2	Q106678873;Q11675728	鵜殿長忠 | Udono Nagamochi
Q10523145	Sutsien-si	mother	2	Q106678925;Q106664620	奥平貞勝の娘 | 今川氏親の娘 (松平親善の室、のち鵜殿長持の室)
Q10345259	Mate-hime	father	2	Q10729352;Q171977	Matsudaira Yasumoto | Tokugawa Ieyasu
Q104651367	Leni Klum	father	2	Q173169;Q218091	Flavio Briatore | Seal
Q75239435	Diana Bouverie	father	2	Q17318482;Q26277142	Edward Bouverie | Lord Robert Spencer
Q75238197	Isabel de Bruce	father	2	Q1772833;Q2526281	Robert de Brus, 6th Lord of Annandale | Robert de Brus, 5th Lord of Annandale
Q6756007	Marcantonio Mario Dimitri Ruspoli, 3rd Prince of Poggio Suasa	father	2	Q16003053;Q76374197	Mario Ruspoli, 2nd Prince of Poggio Suasa | Don Constantino Ruspoli
Q3036054	Donald MacWilliam	father	2	Q1778144;Q75387801	William fitz Duncan | William MacWilliam, Lord of Egremont
Q3198784	Konstanty Jeleński	father	2	Q463243;Q17864526	Carlo Sforza | Konstanty Jeleński
Q75490593	Mary Sheridan	father	2	Q352725;Q2605222	Richard Brinsley Sheridan | Lord Edward FitzGerald
Q110017731	Jean Gounod	father	2	Q180278;Q375744	Charles Gounod | Pierre-Victor Galland
Q314540	Gerard II, Count of Guelders	mother	2	Q1811683;Q122574638	Clementia of Aquitaine | Sophia
Q18810715	Frances Arnold Forster	father	2	Q654942;Q5559798	William Edward Forster | William Delafield Arnold
Q18810715	Frances Arnold Forster	mother	2	Q96077555;Q76159093	Frances Anne Hodgson | Jane Martha Arnold
Q76154065	Edward Penrose Arnold-Forster	father	2	Q654942;Q5559798	William Edward Forster | William Delafield Arnold
Q76154065	Edward Penrose Arnold-Forster	mother	2	Q76159093;Q96077555	Jane Martha Arnold | Frances Anne Hodgson
Q3142302	Hugh Oakeley Arnold-Forster	father	2	Q5559798;Q654942	William Delafield Arnold | William Edward Forster
Q3142302	Hugh Oakeley Arnold-Forster	mother	2	Q76159093;Q96077555	Jane Martha Arnold | Frances Anne Hodgson
Q9396741	Świętosława	mother	2	Q242746;Q2887133	Sigrid the Haughty | Gunhild of Wenden
Q4731396	Allegra Huston	father	2	Q335071;Q51575	John Julius Norwich | John Huston
Q3056721	Ermengarde, Countess of Auvergne	father	3	Q3592416;Q2251384;Q465555	Stephen of Gévaudan | Raymond (V), Count of Toulouse | William I of Provence
Q241971	Aeëtes	mother	2	Q1333108;Q122829761	Perse | Antiope
Q134270	Helios	mother	2	Q184232;Q61049896	Theia | Euryphaessa
Q131575	Hecate	father	3	Q660924;Q34201;Q2071913	Perses | Zeus | Perses
Q131575	Hecate	mother	3	Q18642285;Q38012;Q40730	Asteria | Hera | Demeter
Q779406	Latinus	father	3	Q47231;Q192482;Q3089703	Odysseus | Telemachus | Faunus
Q779406	Latinus	mother	2	Q187602;Q1546675	Circe | Marica
Q203236	Pasiphaë	mother	2	Q1333108;Q58852762	Perse | Crete
Q3255290	Leotychidas	father	2	Q202826;Q187982	Agis II | Alcibiades
Q12121701	Mariya Olegovna	father	2	Q2992005;Q143099	Oleg I of Chernigov | Sviatopolk II of Kiev
Q45667825	Wei Hao	father	2	Q18907259;Q45667773	Wei Zhan | Wei Mo
Q75586348	William Clifford	father	2	Q19043332;Q112573813	Lewis Clifford | Hugh Clifford, of Hastings
Q7720969	Heshuo Princess Hewan	father	2	Q5896081;Q19133	Hongzhou | Qianlong Emperor
Q7733079	Hongyan	father	2	Q317839;Q7361552	Yongzheng Emperor | Yunli
Q75910253	Bethia Russell	mother	2	Q75712019;Q76239027	Sophia Russell | Jane Eliza Sherwood
Q75593346	Lady Emily Fitzgerald	father	2	Q6793089;Q194008	Maurice FitzGerald, 1st Earl of Desmond | Thomas FitzGerald, 2nd Earl of Kildare
Q888757	Stefan Berislavić	father	2	Q347090;Q1959796	Ivaniš Berislavić | Jovan Branković
Q18750970	Philip Cary	mother	2	Q61896155;Q75548190	Margaret Courtenay | Jane Hanksford
Q232137	Theophano	father	2	Q60040600;Q116921121	Craterus | Krateros
Q55830004	Maria of Nuremberg	mother	2	Q55445613;Q75289133	Elisabeth of Andechs-Merania | Helena of Saxony
Q2495184	Enoch	mother	3	Q9639242;Q5681043;Q134373856	Awan | Aclima | Cain's wife
Q2083855	Wolfert van Brederode	father	2	Q2198000;Q2058056	Hendrik van Brederode | Reinoud IV van Brederode
Q531357	Quintus Mucius Scaevola	father	2	Q939045;Q6095299	Quintus Mucius Scaevola | Quintus Mucius Scaevola
Q804773	Balderic of Utrecht	father	2	Q24970544;Q206774	Ricfried, Count of Betuwe | Reginar I Longneck
Q4357331	Philippus	father	2	Q237248;Q207363	Philip V of Macedon | Perseus of Macedon
Q75382949	Elisabeth of Sponheim	father	2	Q44192323;Q20752712	Johann Graf von Sponheim | Heinrich II Graf von Sponheim
Q75382949	Elisabeth of Sponheim	mother	2	Q76263882;Q76263879	Walpurga Leiningen | Adelheid von Katzenelnbogen
Q75387375	Sir Oliver St. John	mother	2	Q75558206;Q99083531	Elizabeth Paullett | Isabel Paveley
Q250708	Álmos, Grand Prince of the Magyars	father	2	Q2079488;Q927543	Ügyek | Előd
Q121833454	Elizabeth Tudor	mother	2	Q211519;Q269863	Emmeline Pankhurst | Christabel Pankhurst
Q75930006	William FitzHerbert	father	2	Q75930004;Q110618230	John FitzHerbert | Anthony FitzHerbert
Q76300388	Hicha von Schwaben	father	2	Q819630;Q157121	Burchard II of Swabia | Conrad I of Germany
Q75401020	Joyce la Zouche	mother	2	Q3611715;Q2160835	Alice de Toeni, Countess of Warwick | Eleanor de Clare
Q114212779	Judith von Lahngau	father	2	Q2473209;Q76299666	Odo, Count of Wetterau | Konrad Herzog von Elsass
Q21062646	Quincy	father	2	Q2260801;Q216936	Al B. Sure! | Sean Combs
Q61314159	Heylwig of Dillingen	father	2	Q60809240;Q60809216	Dietwald von Dillingen | Hupald I Graf von Dillingen
Q72377963	Albert of Silesia	father	2	Q54051;Q280053	Władysław II the Exile | Bolesław I the Tall
Q459836	Quintus Fabius Maximus Aemilianus	father	2	Q298168;Q11944256	Lucius Aemilius Paullus Macedonicus | Quintus Fabius Maximus
Q17312598	Brandi Cyrus	father	2	Q111681995;Q231259	Baxter Neal Helson | Billy Ray Cyrus
Q108047369	Rosamund Edith Nesbit Bland	mother	2	Q130375795;Q231708	Alice Hoatson | Edith Nesbit
Q313664	Publius Clodius Pulcher	father	2	Q531923;Q11943255	Appius Claudius Pulcher | Publius Fonteius
Q94617627	Eppa Hunton Jr.	father	2	Q2339968;Q114394107	Eppa Hunton | Eppa Hunton I
Q120015	Sejanus	father	2	Q550450;Q778051	Lucius Seius Strabo | Sextus Aelius Catus
Q18535434	Angharad ferch Nest	father	2	Q2394789;Q75384482	Gerald de Windsor | Stephen, Constable of Cardigan
Q128624596	Olivier Bergmann	father	2	Q88306528;Q23957305	Henri Bergmann | Paul Grunebaum-Ballin
Q128624596	Olivier Bergmann	mother	2	Q128612557;Q128611176	Eva Bergmann | Cécile Grunebaum-Ballin
Q55772087	Denis Bergmann	father	2	Q88306528;Q23957305	Henri Bergmann | Paul Grunebaum-Ballin
Q2479045	Catharina Hoen	father	2	Q2743028;Q105905391	Nicolaas I Hoen | Herman van Hoensbroeck, Heer van Hoensbroeck
Q75386919	Edmund de Bohun	father	2	Q2527958;Q76345418	Humphrey de Bohun, 4th Earl of Hereford | John de Bohun
