qid	kind	leading_title	live_mul	live_en	langs_carrying_live	geni_ids	created_by	created_at
Q75330181	title	Sir		Sir John Balfour	en nl			
Q75330478	title	Countess		Countess Isabella-Alexandra Plater-Zyberk	en nl			
Q75330479	title	Count		Count Roman-Jacques Plater-Zyberk	en nl			
Q75330493	title	Lady		Lady Anne Montagu	en nl sv			
Q75330501	title	Count		Count Christoph Plater-Zyberk	en nl			
Q75330503	title	Lady		Lady Mary Rich	en nl			
Q75330504	title	Lady		Lady Diana Rich	en nl			
Q75330518	title	Sir		Sir Francis Gundi	en nl			
Q75330520	title	Count		Count Victor Plater-Zyberk	en nl			
Q75330526	title	Sir		Sir Robert Douglas of Lochleven	en nl sv	6000000025358603057		
Q75330533	title	Prince		Prince Witold Czartoryski	en nl			
Q75330535	title	Prince		Prince Albrecht Czartoryski	en nl			
Q75330541	title	Princess		Princess Olivia Czartoryska	en nl			
Q75330542	title	Princess		Princess Christina Czartoryska	en nl	6000000041466051926		
Q75330556	title	Princess		Princess Izabella Radziwill	en nl	6000000006583622197		
Q75330559	title	Prince		Prince Ferdinand Radziwill	en nl	6000000190457524140		
Q75330562	title	Princess		Princess Anna María Lubomirski	en nl	6000000006583345588		
Q75330566	title	Prince		Prince Charles Ferdinand Radziwill	en nl			
Q75330572	title	Princess		Princess Isabella Radziwill	en nl			
Q75330573	title	Princess		Princess Theresa Margareta Radziwill	en nl			
Q75330575	title	Princess		Princess Krystyna Radziwill	en nl			
Q75330578	title	Baroness		Baroness Olga de Simolin-Wettberg	en nl	6000000025874581966 6000000219769028825		
Q75330579	title	Prince		Prince Anton Radziwill	en nl	6000000030501679884 6000000219768971872		
Q75330583	title	Princess		Princess Diana Radziwill	en nl			
Q75330584	title	Princess		Princess Roza Radziwill	en nl	6000000002188456446 6000000219768835908		
Q75330587	title	Prince		Prince Jerzy Swiatopelk-Czetwertynski	en nl	6000000031745955606		
Q75330588	title	Countess		Countess Roza Zoltowska	en nl	6000000031014960175		
Q75330589	title	Prince		Prince Michel Swiatopelk-Czetwertynski	en nl			
Q75330591	title	Prince		Prince Stanislaw Swiatopelk-Czetwertynski	en nl			
Q75330593	title	Prince		Prince Nicholas Swiatopelk-Czetwertynski	en nl			
Q75330596	title	Prince		Prince Maxime Swiatopelk-Czetwertynski	en nl			
Q75330597	title	Princess		Princess Olivia Swiatopelk-Czetwertynski	en nl			
Q75330599	title	Princess		Princess Marie Swiatopelk-Czetwertynski	en nl	6000000031746362215		
Q75330600	title	Princess		Princess Anna Swiatopelk-Czetwertynski	en nl			
Q75330602	title	Princess		Princess Maria-Anna Swiatopelk-Czetwertynski	en nl			
Q75330603	title	Prince		Prince Stanislaw Swiatopelk-Czetwertynski	en nl	6000000028507764756		
Q75330606	title	Baroness		Baroness Eva Buxhoeveden	en nl	6000000039785175095		
Q75330607	title	Prince		Prince Ludwik Swiatopelk-Czetwertynski	en nl			
Q75330610	title	Prince		Prince Vladimir Swiatopelk-Czetwertynski	en nl			
Q75330611	title	Princess		Princess Eva Swiatopelk-Czetwertynski	en nl			
Q75330612	title	Prince		Prince Albrecht Stanislaw Swiatopelk-Czetwertynski	en nl			
Q75330614	title	Sir		Sir John Bethune, 2nd of Creich	en nl			
Q75330616	title	Prince		Prince Severin Swiatopelk-Czetwertynski	en nl			
Q75330619	title	Prince		Prince Andrew Swiatopelk-Czetwertynski	en nl	6000000032100902262		
Q75330620	title	Prince		Prince Jan Swiatopelk-Czetwertynski	en nl			
Q75330621	title	Princess		Princess Izabella Swiatopelk-Czetwertynski	en nl	6000000220899970836		
Q75330629	title	Princess		Princess Maria-Roza Swiatopelk-Czetwertynski	en nl			
Q75330633	title	Princess		Princess Angela Swiatopelk-Czetwertynski	en nl			
Q75330635	title	Princess		Princess Dorothy Swiatopelk-Czetwertynski	en nl			
Q75330636	title	Prince		Prince Andrew Swiatopelk-Czetwertynski	en nl	6000000036519136802		
Q75330638	title	Sir		Sir Robert Melville	en nl			
Q75330640	title	Princess		Princess Roza Swiatopelk-Czetwertynski	en nl	6000000021932925045		
Q75330642	title	Count		Count Jan Plater-Zyberk	en nl	6000000021932530665		
Q75330648	title	Lady		Lady Frances Montagu	en nl sv			
Q75330667	title	Count		Count Ludwik Plater-Zyberk	en nl			
Q75330669	title	Countess		Countess Christina Plater-Zyberk	en nl			
Q75330671	title	Princess		Princess Marie Elizabeth Swiatopelk-Czetwertynski	en nl	6000000015679577411		
Q75330678	title	Princess		Princess Teresa Radziwill	en nl	6000000002188456475		
Q75330681	title	Prince		Prince Hubert Lubomirski	en nl	6000000030415635269		
Q75330682	title	Prince		Prince Jan Lubomirski	en nl			
Q75330683	title	Countess		Countess Gabriela Przezdziecka	en nl			
Q75330685	title	Prince		Prince Hubert Lubomirski	en nl			
Q75330689	title	Prince		Prince Richard Hubert Lubomirski	en nl			
Q75330690	title	Princess		Princess Irene Lubomirski	en nl			
Q75330693	title	Prince		Prince Stanislaw Lubomirski	en nl			
Q75330695	title	Prince		Prince Tadeusz Lubomirski	en nl			
Q75330697	title	Prince		Prince Christoph Lubomirski	en nl			
Q75330698	title	Princess		Princess Teresa Lubomirski	en nl			
Q75330700	title	Prince		Prince Zdislaw Lubomirski	en nl			
Q75330702	title	Prince		Prince Henryk Lubomirski	en nl			
Q75330710	title	Prince		Prince Heraklius Lubomirski	en nl			
Q75330712	title	Princess		Princess Anna Lubomirski	en nl	6000000015605212062		
Q75330716	title	Princess		Princess Wanda Lubomirski	en nl			
Q75330719	title	Count		Count Jan Krasinski	en nl			
Q75330721	title	Count		Count Christoph Krasinski	en nl			
Q75330722	title	Count		Count Dominik Krasinski	en nl			
Q75330723	title	Princess		Princess Elizabeth Radziwill	en nl	6000000020209053418 6000000219769011834 6000000219769019848		
Q75330724	title	Prince		Prince Ludwik Radziwill	en nl			
Q75330725	title	Sir		Sir William Cann	en			
Q75330729	title	Count		Count Jan Tyszkiewicz	en nl	6000000015163721774		
Q75330732	title	Princess		Princess Dolores Radziwill	en nl	6000000074284988933		
Q75330733	title	Princess		Princess Anna Maria Radziwill	en nl	6000000022173188630		
Q75330743	title	Prince		Prince Guy de Broglie	en nl			
Q75330744	title	Prince		Prince Antoine de Broglie	en nl			
Q75330747	title	Prince		Prince Louis de Broglie	en nl			
Q75330748	title	Princess		Princess Marie Charlotte de Broglie	en nl			
Q75330756	title	Count		Count Stanislaus Potocki	en nl			
Q75330762	title	Princess		Princess Anna Swiatopelk-Czetwertynski	en nl			
Q75330763	title	Count		Count Roman Potocki	en nl			
Q75330765	title	Count		Count Marek Potocki	en nl			
Q75330768	title	Countess		Countess Maria Potocki	en nl			
Q75330770	title	Count		Count Stanislas Rey	en			
Q75330772	title	Count		Count Konstanty Rey	en nl			
Q75330773	title	Countess		Countess Helena Rey	en nl			
Q75330774	title	Countess		Countess Izabela Rey	en nl			
Q75330776	title	Countess		Countess Helena Potocki	en nl			
Q75330784	title	Princess		Princess Christina Radziwill	en nl	6000000021376736185		
Q75330786	title	Count		Count Peter Potocki	en nl			
Q75330789	title	Countess		Countess Anna Potocki	en nl			
Q75330790	title	Countess		Countess Dorota Potocki	en nl			
Q75330793	title	Countess	Countess Izabela Potocki	Countess Izabela Potocki	mul en fr nl			
Q75330796	title	Count		Count Philip d'Ornano	en nl			
Q75330797	title	Prince		Prince Janusz Radziwill	en nl	6000000002188456552		
Q75330800	title	Prince		Prince Wilhelm Radziwill	en nl	6000000018515004494		
Q75330842	title	Princess		Princess Leontyna Radziwill	en nl	6000000002188456538		
Q75330843	title	Princess		Princess Elira Radziwill	en nl	6000000082890668047		
Q75330844	title	Princess		Princess Eufemia Radziwill	en nl	6000000069723136371		
Q75330846	title	Count		Count Michal Rzyszczewski	en nl	6000000069723702040		
Q75330847	title	Count		Count Leon Rzyszczewski	en nl	6000000024167325203		
Q75330850	title	Count		Count Antoni Rzyszczewski	en nl	6000000024166878715		
Q75330852	title	Countess		Countess Octavia Rzyszczewski	en nl	6000000024166898417		
Q75330860	title	Countess		Countess Eva Rzyszczewski	en nl	6000000024166998492		
Q75330863	title	Countess		Countess Eufemia Rzyszczewski	en nl	6000000024166871545		
Q75330867	title	Prince		Prince Ferdinand Radziwill	en nl	6000000082888447812		
Q75330871	title	Princess		Princess Maria Radziwill	en nl	6000000002188456729		
Q75330880	title	Prince		Prince Antoni Radziwiłł	en	6000000002188456743 6000000190458846870		
Q75330882	title	Princess		Princess Leontyna Radziwill	en nl	6000000002188456750 6000000190457408018		
Q75330885	title	Count		Count Leon Skorzewski	en nl			
Q75330889	title	Princess		Princess Maria Skorzewski	en nl			
Q75330898	title	Countess		Countess Jadwiga Skorzewski	en nl			
Q75330909	title	Count		Count Ignacy Potocki	en nl			
Q75330912	title	Count		Count Tomasz Potocki	en nl			
Q75330913	title	Countess		Countess Elizabeth Potocka	en nl			
Q75330918	title	Countess		Countess Joanna Potocka	en nl			
Q75330921	title	Count		Count Konstanty Potocki	en nl			
Q75330924	title	Count		Count Johann Potocki	en nl			
Q75330925	title	Countess		Countess Sofia Potocka	en nl			
Q75330927	title	Countess		Countess Róża Potocka	en nl	6000000002188456798		
Q75330928	title	Count		Count Casimir Mycielski	en nl	6000000015582817632		
Q75330930	title	Count		Count Maciej Mycielski	en nl			
Q75330938	title	Countess		Countess Pelagia Potocka	en nl			
Q75330940	title	Prince		Prince Wladislaw Radziwill	en nl	6000000002188456849		
Q75330942	title	Princess		Princess Teresa Lubomirska	en nl	6000000015605784387		
Q75330943	title	Prince		Prince Wladislaw Radziwiłł	en de	6000000002188456863		
Q75330952	title	Prince		Prince Boguslaw Radziwill	en nl	6000000025605240024 6000000002188456898		
Q75330954	title	Princess		Princess Jadwiga Radziwill	en nl	6000000002188456885		
Q75330955	title	Princess		Princess Felicia Radziwill	en nl	6000000002188456904		
Q75330962	title	Princess		Princess Elizabeth Radziwill	en nl	6000000025603508425 6000000002188456939		
Q75330968	title	Countess		Countess Florentina Dzieduszycka	en nl	6000000002188456358		
Q75330969	title	Princess		Princess Angelica Czartoryska	en nl	6000000002188456343		
Q75331032	title	Lady		Lady Augusta Maude	en nl			
Q75331057	title	Comte		Comte Boniface de Castellane	en			
Q75331063	title	Comte		Comte Pierre de Cabarrus	en nl			
Q75331073	title	Lord		Lord Max Percy	en pt	6000000007385687269		
Q75331085	title	Lord		Lord Charles Scott	en			
Q75331088	title	Lady		Lady Louisa Montagu Douglas Scott	en			
Q75331089	title	Lady		Lady Amabel Montagu Douglas Scott	en			
Q75331096	title	Lord		Lord James Percy	en			
Q75331097	title	Lady		Lady Caroline Percy	en			
Q75331100	title	Lady		Lady Victoria Percy	en			
Q75331101	title	Lady		Lady Julia Percy	en			
Q75331103	title	Lady		Lady Louise Percy	en nl			
Q75331105	title	Lord		Lord John Scott	en			
Q75331107	title	Lady		Lady Charlotte-Anne Scott	en			
Q75331112	title	Lord		Lord Damian Scott	en			
Q75331164	title	Sir		Sir Michael de Berneval	en nl			
Q75331180	title	Lady		Lady Davina Cecil	en	6000000005690378038		
Q75331202	title	Lady		Lady Gillian Cecil	en			
Q75331204	title	Sir		Sir Giles Floyd, 7th Baronet	en			
Q75331217	title	Lady		Lady Angela Cecil	en			
Q75331218	title	Sir		Sir William Oswald	en			
Q75331259	title	Sir		Sir George Alexander Dolby	en nl			
Q75331382	title	Sir		Sir George Cayley, 9th Baronet	en	6000000014050130222		
Q75331389	title	Sir		Sir Edward Chichester, 11th Bt.	en	6000000010026992227		
Q75331391	title	Sir		Sir James Chichester, 12th Bt.	en			
Q75331424	title	Lady		Lady Caroline Lindsay-Bethune	en			
Q75331431	title	Lady		Lady Frances Lindesay-Bethune	en			
Q75331432	title	Lady		Lady Alexandra Lindesay-Bethune	en			
Q75331434	title	Lady		Lady Charlotte Lindesay-Bethune	en			
Q75331509	title	Countess		Countess Marie Louise Rex	en nl			
Q75331683	title	Lady		Lady Hermione Graham	en	6000000013694985342		
Q75331687	title	Lady		Lady Helen Violet Graham	en en-ca fr nl es it pt	5043525209930037669		
Q75331705	title	Lady		Lady Selina Gathorne-Hardy	en			
Q75331707	title	Lady		Lady Jane Gathorne-Hardy	en			
Q75331708	title	Lady		Lady Dorothy Gathorne-Hardy	en			
Q75331715	title	Lady		Lady Cecil Kerr	en			
Q75331790	title	Sir		Sir Archibald Orr Ewing of Ballikinrain, 6th Bt.	en			
Q75331874	title	Lady		Lady Carey Coke	en			
Q75331877	title	Lady		Lady Sarah Coke	en			
Q75331885	title	Lady		Lady Silvia Coke	en	6000000023058813580		
Q75331888	title	Lady		Lady Mary Coke	en			
Q75331986	title	Sir		Sir Ralph Hare, 4th Baronet	en			
Q75332022	title	Sir	Sir Richard Bagge	Sir Richard Bagge	mul en			
Q75332024	title	Baron		Baron Oscar de Langue-Querfeldt von der Seedeck	en			
Q75332033	title	Lady		Lady Rose Bligh	en			
Q75332112	title	Sir		Sir Thomas Dalrymple Straker-Smith	en nl	6000000014019336480		
Q75332134	title	Sir		Sir William John Tevenar Usher, 7th Bt.	en nl			
Q75332142	title	Sir		Sir William Thomas Reginald Houldsworth, 3rd Bt.	en fr de nl es pt			
Q75332150	title	Sir		Sir Henry Hamilton Houldsworth, 2nd Bt.	en nl			
Q75332172	title	Sir		Sir Reginald Douglas Henry Houldsworth, 4th Bt.	en fr de nl es pt	6000000029304037914		
Q75332181	title	Sir		Sir Richard Thomas Reginald Houldsworth, 5th Bt.	en nl			
Q75332189	title	Sir		Sir Robert Usher, 2nd Bt.	en nl			
Q75332194	title	Sir		Sir Simon Houldsworth, 6th Bt.	en			
Q75332264	title	Lady		Lady Anne Florence Adelaide Montagu	en nl			
Q75332268	title	Lady		Lady Emily Montagu	en	6000000014334269919		
Q75332535	title	Lady		Lady Florence Enid Wyndham-Quin	en nl			
Q75332536	title	Lady		Lady Rachael Charlotte Wyndham-Quin	en nl	6000000014024467141		
Q75332593	title	Lady		Lady Florence Byng	en	6000000002856275502		
Q75332597	title	Lady		Lady Mary Byng	en	6000000002626452396		
Q75332631	title	Sir		Sir Nusserwanjee Nowrosjee Wadia	en nl			
Q75332649	title	Lady		Lady Rachel Theodora Byng	en nl			
Q75332651	title	Lady		Lady Irene Hildare Byng	en nl			
Q75332652	title	Lady		Lady Anne Dorothy Frederica Byng	en nl			
Q75332657	title	Lady		Lady Joan Byng	en			
Q75332666	title	Lady		Lady Tara Byng	en			
Q75332681	title	Lady		Lady Elizabeth Lambart	en	6000000011199672195		
Q75332684	title	Sir		Sir William Clopton	en nl			
Q75332807	title	Lady		Lady Elizabeth Shakerley	en			
Q75332856	title	Lady		Lady Gertrude Douglas	en			
Q75332860	title	Sir		Sir Hugh Drummond, 1st Baronet	en			
Q75332923	title	Sir		Sir Charles William Morrison-Bell, 1st Bt.	en nl			
Q75332984	title	Lady		Lady Margaret Seymour	en	6000000002188383734		
Q75333099	title	Lady		Lady Lucy Graham	en nl			
Q75333117	title	Lady		Lady Charlotte Scott	en nl			
Q75333120	title	Lord		Lord Francis Scott	en nl			
Q75333141	title	Lord		Lord Claud Hamilton	en			
Q75333142	title	Lady		Lady Moyra Hamilton	en	6000000008630254741		
Q75333149	title	Lord		Lord Nicholas Hamilton	en			
Q75333151	title	Lady		Lady Sophia Hamilton	en			
Q75333360	title	Sir		Sir Hedworth Williamson, 9th Bt.	en nl			
Q75333439	title	Lady		Lady Annabel Bertie	en			
Q75333453	title	Sir		Sir Owen Scourfield, 2nd Bt.	en nl			
Q75333474	title	Lady		Lady Cecil Bertie	en	6000000002188517311		
Q75333479	title	Lady		Lady Elizabeth Bertie	en	6000000016515321692		
Q75333488	title	Sir		Sir John Wemyss	en nl			
Q75333529	title	Lady		Lady Elizabeth Bertie	en			
Q75333530	title	Lady		Lady Lavinia Bertie	en			
Q75333534	title	Lady		Lady Frances Bertie	en			
Q75333640	title	Sir		Sir James Graham, 7th Baronet	en			
Q75333766	title	Lady		Lady Elizabeth Hay	en nl			
Q75333767	title	Sir		Sir John Leslie	en nl			
Q75333833	title	Sir		Sir John Montgomery-Cuninghame, 12th Baronet	en			
Q75333850	title	Sir		Sir Francis Gouldsmith	en nl			
Q75333872	title	Sir		Sir Richard Pease, 4th Baronet	en			
Q75333877	title	Lady		Lady Sybil Brodrick	en nl			
Q75333982	title	Countess		Countess Isabelle de Dreux-Brézé	en nl			
Q75334026	title	Sir		Sir Robert Grenville Harvey, 2nd Bt.	en nl	6000000024114306052		
Q75334087	title	Lady		Lady Diana Duncombe	en			
Q75334093	title	Sir		Sir Richard Gervase Beckett, 3rd Bt.	en nl			
Q75334132	title	Sir		Sir Richard Rasch, 3rd Bt.	en			
Q75334172	title	Sir		Sir Aubrey Lyttelton Simon Lawrence, 6th Baronet	en			
Q75334281	title	Sir		Sir Adrian Donald Wilde Pollock	en en-ca fr nl es it pt	6000000011303840994		
Q75334331	title	Lady		Lady Christina McDonnell	en			
Q75334340	title	Lady		Lady Alice McDonnell	en			
Q75334344	title	Lady		Lady Rachel McDonnell	en			
Q75334384	title	Lady		Lady Rose McDonnell	en	6000000052824409959		
Q75334415	title	Lady		Lady Jean McDonnell	en			
Q75334474	title	Lady		Lady Charlotte Paston	en nl			
Q75334477	title	Lady		Lady Rebecca Paston	en nl			
Q75334479	title	Sir		Sir John Holland, 2nd Bt.	en nl			
Q75334489	title	Sir		Sir William Holland, 3rd Bt.	en nl			
Q75334498	title	Sir		Sir Charles Pilcher	en			
Q75334539	title	Sir		Sir John Smith	en nl			
Q75334615	title	Princess		Princess Olga Mickkeladze	en nl			
Q75334667	title	Sir		Sir Montague John Cholmeley, 6th Bt.	en nl			
Q75334668	title	Sir		Sir Hugh John Frederick Sebastian Cholmeley, 7th Bt.	en nl			
Q75334672	title	Sir		Sir Hugh John Francis Sibthorp Cholmeley, 5th Bt.	en nl	6000000018278835036		
Q75334691	title	Lady		Lady Henrietta FitzRoy	en			
Q75334693	title	Lady		Lady Virginia FitzRoy	en			
Q75334694	title	Lady		Lady Rose FitzRoy	en			
Q75334696	title	Lady		Lady Louise FitzRoy	en			
Q75334698	title	Lady		Lady Emily FitzRoy	en			
Q75334699	title	Lady		Lady Charlotte FitzRoy	en			
Q75334703	title	Lady		Lady Isobel FitzRoy	en			
Q75334721	title	Lady		Lady Mary Kerr	en			
Q75334760	title	Sir		Sir Herbert Walter Samuelson	en nl			
Q75334975	title	Sir		Sir Charles Henry Napier Bunbury, 11th Bt.	en nl	6000000015652640051		
Q75334981	title	Sir		Sir John William Napier Bunbury, 12th Bt.	en nl	6000000015652641076		
Q75335130	title	Sir		Sir Edward St. Aubyn, 1st Bt.	en nl	6000000017611009394		
Q75335173	title	Sir		Sir John Edward Harington, 8th Bt.	en nl	6000000017338203764		
Q75335274	title	Sir		Sir David Kinloch of Gilmerton, 9th Bt.	en nl	6000000018342917397		
Q75335357	title	Lady		Lady Dorothy Violet Bligh	en nl	6000000108543896821		
Q75335468	title	Sir		Sir Walter Farquhar, 5th Baronet	en	6000000015274441699		
Q75335471	title	Sir		Sir Peter Farquhar, 6th Bt.	en	6000000009118549297		
Q75335480	title	Sir		Sir Michael FitzRoy Farquhar, 7th Bt.	en nl			
Q75335586	title	Lady		Lady Catherine Pakenham	en	5180846459080069328		
Q75335722	title	Lady		Lady Katharine Pakenham	en			
Q75335725	title	Sir		Sir Henry Vane	en	6000000012844962599		
Q75335837	title	Lady		Lady Rose Fane	en nl	6000000009588577526		
Q75335876	title	Sir		Sir Roland Findlay, 3rd Baronet	en	6000000009729120784		
Q75335880	title	Lady		Lady Camilla Fane	en			
Q75335882	title	Sir		Sir Reginald Macdonald-Buchanan	en	6000000034209636999		
Q75335926	title	Lady		Lady Enid Fane	en	6000000002167361217		
Q75335934	title	Lady		Lady Gloria Fane	en			
Q75335935	title	Lady		Lady Catherine Cecil	en	6000000011512172949		
Q75335990	title	Sir		Sir Alexander Hay Seton of Abercorn, 10th Bt.	en nl			
Q75336017	title	Sir		Sir James Thomas Stewart Forbes of Newe, 8th Bt.	en nl			
Q75336026	title	Lady		Lady Penelope Rous	en			
Q75336032	title	Lady		Lady Marye Rous	en en-ca fr es it pt			
Q75336166	title	Don		Don Honoria Roigt	en nl			
Q75336183	title	Sir		Sir Euan Anstruther-Gough-Calthorpe, 3rd Bt.	en			
Q75336244	title	Sir		Sir Charles Edward Fitzroy	en nl			
Q75336321	title	Captain		Captain Frederick Southampton Le Strange Fitzroy	en nl			
Q75336416	title	Sir		Sir John Watson, 1st Bt.	en nl	6000000023701160059		
Q75336420	title	Sir		Sir Charles Graham, 6th Baronet	en	6000000013538978152		
Q75336429	title	Sir		Sir Richard Graham, 4th Bt.	en	6000000004079799823		
Q75336572	title	Donna		Donna Agatina Saverio D'Ayala	en nl			
Q75336573	title	Conte		Conte Francesco Saverio D'Ayala	en nl			
Q75336718	title	Sir		Sir Geoffrey Voltelin Bates, 5th Bt.	en nl			
Q75336748	title	Sir		Sir Richard Hugh Jessel	en nl	6000000002764858910		
Q75336753	title	Sir		Sir George James Graham Lewis, 2nd Bt.	en nl	6000000002765728401		
Q75336814	title	Sir		Sir Edward Hotham Rouse-Boughton, 13th Bt.	en nl			
Q75336893	title	Baroness		Baroness Lily de Brienen	en nl			
Q75336894	title	Baron		Baron unknown de Brienen	en nl			
Q75336908	title	Sir		Sir William Gibbons	en nl	6000000078747331232		
Q75336925	title	Lady		Lady Jane Grey	en nl			
Q75336969	title	Lady		Lady Hilda Rous	en			
Q75337008	title	Lady		Lady Beatrice Capell	en			
Q75337115	title	Sir		Sir William Younger, 2nd Baronet	en	6000000026325949080		
Q75337131	title	Sir		Sir John Younger, 3rd Baronet	en	6000000026326352973		
Q75337137	title	Sir		Sir Julian Younger, 4th Baronet	en			
Q75337185	title	Lady		Lady Sibell Alma Kathleen Le Poer Trench	en nl			
Q75337200	title	Lord		Lord Simon Conyngham	en			
Q75337204	title	Lord		Lord Patrick Conyngham	en			
Q75337206	title	Lord		Lord John Conyngham	en			
Q75337210	title	Lady		Lady Antoinette Conyngham	en	6000000013168023619		
Q75337223	title	Lady		Lady Mildred Conyngham	en	6000000002188477858		
Q75337226	title	Lady		Lady Hersey Conyngham	en	6000000002188477864		
Q75337229	title	Sir		Sir David Baird, 3rd Baronet	en	6000000013381154444		
Q75337232	title	Sir		Sir David Baird of Newbyth, 5th Bt.	en	6000000026411280344		
Q75337236	title	Sir		Sir Charles William Stuart Baird of Newbyth, 6th Bt.	en nl			
Q75337269	title	Lady		Lady Edina Conyngham	en	6000000002188477869		
Q75337270	title	Lady		Lady Helen Conyngham	en			
Q75337274	title	Sir		Sir Thomas Ainsworth, 2nd Bt.	en nl	6000000014660486109		
Q75337279	title	Sir		Sir John Ainsworth, 3rd Bt.	en			
Q75337293	title	Sir		Sir Thomas David Ainsworth, 4th Bt.	en nl			
Q75337323	title	Lord		Lord Charles Conyngham	en			
Q75337331	title	Lady		Lady Blanche Conyngham	en nl	6000000002188477892		
Q75337337	title	Lady		Lady Constance Conyngham	en	6000000002188477898		
Q75337341	title	Lady		Lady Jane Conyngham	en	6000000002188477904		
Q75337345	title	Lady		Lady Elizabeth Conyngham	en			
Q75337348	title	Lady		Lady Florence Conyngham	en nl	6000000019336983887		
Q75337403	title	Lady		Lady Mary Needham	en			
Q75337425	title	Lady		Lady Moira Scott	en			
Q75337432	title	Lady		Lady Sheila Scott	en			
Q75337541	title	Baron		Baron Nikolaus Pilar von Pilchau	en nl			
Q75337546	title	Sir		Sir Wroth Lethbridge, 5th Baronet	en			
Q75337555	title	Sir		Sir Hector Lethbridge, 6th Baronet	en			
Q75337558	title	Sir		Sir Thomas Lethbridge, 7th Baronet	en			
Q75337589	title	Sir		Sir Thomas Balliol	en nl			
Q75337721	title	Lady		Lady Pamela FitzGerald	en			
Q75337722	title	Lady		Lady Rosemary FitzGerald	en			
Q75337723	title	Lady		Lady Nesta FitzGerald	en nl			
Q75337732	title	Lord		Lord Maurice FitzGerald	en nl	6000000002188477555		
Q75337759	title	Lord		Lord Walter FitzGerald	en nl			
Q75337760	title	Lord		Lord Charles FitzGerald	en nl			
Q75337806	title	Lord		Lord George FitzGerald	en nl			
Q75337808	title	Lord		Lord Henry FitzGerald	en nl			
Q75337819	title	Lord		Lord Robert FitzGerald	en nl			
Q75337820	title	Lady		Lady Geraldine FitzGerald	en nl			
Q75337822	title	Lady		Lady Mabel FitzGerald	en nl			
Q75337823	title	Lady		Lady Alice FitzGerald	en nl			
Q75337825	title	Lady		Lady Eva FitzGerald	en nl			
Q75337826	title	Lady		Lady Mabel FitzGerald	en nl			
Q75337827	title	Lady		Lady Nesta FitzGerald	en nl			
Q75337828	title	Lady		Lady Margaret FitzGerald	en nl			
Q75337830	title	Lord		Lord Gerald FitzGerald	en	6000000002188489030		
Q75337849	title	Lord		Lord Gerald Otho FitzGerald	en nl	6000000002188489077		
Q75337882	title	Lady		Lady Jane FitzGerald	en			
Q75337886	title	Lady		Lady Caroline Mackenzie	en nl			
Q75337978	title	Lady		Lady Evelyn Molyneux	en nl			
Q75337979	title	Sir		Sir Richard Frederick Molyneux	en nl			
Q75337981	title	Lady		Lady Rose Mary Molyneux	en nl			
Q75338046	title	Lord		Lord George Seymour	en	6000000035787486952		
Q75338053	title	Lady		Lady Margaret Campbell	en nl			
Q75338065	title	Lady		Lady Florence Cole	en	6000000002188475326		
Q75338072	title	Sir		Sir Charles Markham, 2nd Bt.	en nl	6000000023043014850		
Q75338079	title	Lady		Lady Mary Maud Diana Liddell	en nl			
Q75338093	title	Sir		Sir Humphrey Simon Meysey-Thompson, 4th Bt.	en nl			
Q75338097	title	Lady		Lady Victoria Liddell	en	6000000004079807286		
Q75338199	title	Lady		Lady Georgina Susan Boyle	en nl			
Q75338201	title	Lady		Lady Helen Boyle	en nl			
Q75338206	title	Lady		Lady Caroline Mary Victoria Boyle	en nl			
Q75338309	title	Count		Count Stanislaw Andrzej Saryusz-Bielski	en nl			
Q75338359	title	Sir		Sir Andrew Cosmo Lewis Duff Gordon, 8th Bt.	en nl			
Q75338361	title	Sir		Sir Douglas Frederick Duff Gordon, 7th Bt.	en nl			
Q75338366	title	Sir		Sir Cosmo Henry Villiers Duff Gordon, 9th Bt.	en			
Q75338415	title	Sir		Sir Basil Scott of Glenaros	en nl			
Q75338547	title	Sir		Sir Thomas Barrett-Lennard, 2nd Bt.	en nl	6000000017269333507		
Q75338549	title	Lady		Lady Emma Barrett-Lennard	en	6000000017268970955		
Q75338555	title	Sir		Sir Thomas Barrett-Lennard, 3rd Baronet	en	6000000043973902515		
Q75338561	title	Sir		Sir Richard Fiennes Barrett-Lennard, 4th Bt.	en nl	6000000044071563395		
Q75338591	title	Sir		Sir John Lambton Loraine, 10th Bt.	en nl			
Q75338602	title	Sir		Sir Allen Aitchison Havelock Charles, 2nd Bt.	en nl			
Q75338634	title	Lady		Lady Marion Ogilvy	en nl			
Q75338705	title	Sir		Sir Peter Barrett-Lennard, 7th Bt	en			
Q75339020	title	Sir		Sir John Darnall	en nl			
Q75339329	title	Sir		Sir Peter Talbot	en nl			
Q75339411	title	Sir		Sir Lovelace Stamer, 4th Bt.	en fr de nl es pt			
Q75339413	title	Sir		Sir Lovelace Stamer, 5th Baronet	en	6000000016491379284		
Q75339431	title	Sir		Sir Peter Stamer, 6th Baronet	en			
Q75339490	title	Lady		Lady Joan Butler	en nl			
Q75339584	title	Lady		Lady Millicent Taylour	en			
Q75339611	title	Sir		Sir Gerald Aylmer, 1st Bt.	en nl	6000000183909688869 6000000018849620241		
Q75339677	title	Sir		Sir Saxton William Armstrong Noble of Ardmore, 3rd Bt.	en nl	6000000014413292642		
Q75339797	title	Sir		Sir John Henry Cotterell, 2nd Bt.	en nl	6000000019410796665		
Q75339813	title	Miles		Miles Barne	en nl			
