qid,mul_value,duplicate_langs,live_en,live_mul
Q110390643,Jonet ferch Ieuan ap Trahaearn ap Meurig,en nl,Jonet|Cecily ferch Ieuan ap Trahaearn ap Meurig,Jonet|Cecily ferch Ieuan ap Trahaearn ap Meurig
Q110394408,Thomas Bulteau,en nl,Thomas Bulteau|Bulteel,Thomas Bulteau|Bulteel
Q110394593,Anna van Hooghvorst van Grymbergen,en nl,Anna|Marguerite van Hooghvorst van Grymbergen,Anna|Marguerite van Hooghvorst van Grymbergen
Q110394733,Mahaut Dame de Francières,en nl,"Mahaut|Isabelle, Dame de Francières",
Q110395414,Ellen Mountford (Montford),en,Ellen|Helena Mountford (Montford),
Q110395449,Sybil de Lorty (L'Orti),en,Sybil|Sibilla de Lorty (L'Orti),
Q110395933,Isabella Holt (Holte),en,Isabella|Isobel Holt (Holte),
Q110396438,Mary Bromley,en nl,Mary|Margaret Bromley,Mary|Margaret Bromley
Q110396550,Isabella de Halton,en nl,Isabella|Sibilla de Halton,Isabella|Sibilla de Halton
Q110396874,"Laurence Standish, of Standish",en nl,"Laurence|Lawrence Standish, of Standish","Laurence|Lawrence Standish, of Standish"
Q110396878,Laura Pilkington,en nl,Laura|Lora Pilkington,Laura|Lora Pilkington
Q110398002,"Hamon Massey (Mascy), of Rixton",en nl,"Hamon|Hamnet Massey (Mascy), of Rixton","Hamon|Hamnet Massey (Mascy), of Rixton"
Q110398007,"Joanna Booth, of Dunham Massey",en nl,"Joanna|Janet Booth, of Dunham Massey","Joanna|Janet Booth, of Dunham Massey"
Q110398671,Alice Fitton,en nl,Alice|Agnes Fitton,Alice|Agnes Fitton
Q110399510,Sevastia 'Safta' Palladi,en nl,Sevastia|Elisabeta 'Safta' Palladi,
Q110399520,Elisabeta 'Safta' Ursachi,en nl,Elisabeta|Sevastia 'Safta' Ursachi,Elisabeta|Sevastia 'Safta' Ursachi
Q110399576,Nicolae Catargiul,en nl,Nicolae|Neculai Catargiul,Nicolae|Neculai Catargiul
Q110399683,Sarbica Barnovscha,en nl,Sarbica|Siruca Barnovscha,Sarbica|Siruca Barnovscha
Q110399719,boier Sherban,nl,"boier Sherban [de Sitoaia|Coiani], seneschal & ban of Valachia",
Q110399775,Elisabeta 'Safta' Balsh,en nl,Elisabeta|Sevastie 'Safta' Balsh,Elisabeta|Sevastie 'Safta' Balsh
Q110399860,Safta Jora,en nl,Safta|Sanda Jora,Safta|Sanda Jora
Q110409812,Johann Orth 'the Elder Blind',en nl,Johann Orth 'the Elder|the Blind',Johann Orth 'the Elder|the Blind'
Q110409996,Catharina von Hövell,en nl,Catharina|Marga von Hövell,Catharina|Marga von Hövell
Q110410070,Dries von Eller zu Luxheim,en nl,Dries|Andreas von Eller zu Luxheim,Dries|Andreas von Eller zu Luxheim
Q110410119,"Fulsgin van Swalmen, Heiress of St.Laurensberg",en nl,"Fulsgin|Fulcona van Swalmen, Heiress of St.Laurensberg","Fulsgin|Fulcona van Swalmen, Heiress of St.Laurensberg"
Q110410348,"Amiel II de La Trémoille, seigneur de Fontmorand",en nl,"Amiel|Amé II de La Trémoille, seigneur de Fontmorand","Amiel|Amé II de La Trémoille, seigneur de Fontmorand"
Q110410456,"William Daubeney (d'Aubigné), Seigneur de Landal",en nl,"William|Guillaume Daubeney (d'Aubigné), Seigneur de Landal","William|Guillaume Daubeney (d'Aubigné), Seigneur de Landal"
Q110412817,Emma Perrott,en nl,Emma|Emmotta Perrott,Emma|Emmotta Perrott
Q110412847,Gwenllian ferch Hywel ap Maredudd Fychan ap Maredudd,en nl,Gwenllian|Jonet ferch Hywel ap Maredudd Fychan ap Maredudd,Gwenllian|Jonet ferch Hywel ap Maredudd Fychan ap Maredudd
Q110412862,William (Herle) of Stoke Bishop,en,William (Herle) of Stoke Bishop|Bliss,
Q110412954,"Jenkin Kynaston, of Stocks",en nl,"Jenkin|John Kynaston, of Stocks","Jenkin|John Kynaston, of Stocks"
Q110413095,Agnes Russell,en nl,Agnes|Nest Russell,Agnes|Nest Russell
Q110413123,"Eleanor Corbet, of Moreton Corbet",en nl,"Eleanor|Alice|Elizabeth Corbet, of Moreton Corbet","Eleanor|Alice|Elizabeth Corbet, of Moreton Corbet"
Q110413374,Margaret Genny,en,Margaret Genny (Jenney|Jermyn),
Q110414047,Gwenhwyfar ferch Dafydd ab Ieuan ap Rhirid Foel of Blodwel,en nl,Gwenhwyfar|Angharad ferch Dafydd ab Ieuan ap Rhirid Foel of Blodwel,Gwenhwyfar|Angharad ferch Dafydd ab Ieuan ap Rhirid Foel of Blodwel
Q110414722,"Johan von der Leiter (della Scala), Herr von Bern",en nl,"Johan|Giovanni von der Leiter (della Scala), Herr von Bern",
Q110414898,Gräfin Anna von Honstein,en nl,Gräfin Anna|Agnes von Honstein,
Q110415835,Johann Freiherr von Aichberg zu Laberweinting,en nl,"Johann|Hans, Freiherr von Aichberg zu Laberweinting","Johann|Hans, Freiherr von Aichberg zu Laberweinting"
Q110422691,Eleonora Cirino,en nl,Eleonora|Caterina Cirino,Eleonora|Caterina Cirino
Q110423586,Vincente Calvaert,en nl,Vincente Calvaert|Caluwaert,Vincente Calvaert|Caluwaert
Q110423587,Jan Calvaert,en nl,Jan Calvaert|Caluwaert,Jan Calvaert|Caluwaert
Q110423641,Louis de Presles,en nl,Louis|Raoul de Presles,
Q110425353,Jan Sweerts de Weert,en nl,Jan|Hans Sweerts de Weert,Jan|Hans Sweerts de Weert
Q110425430,Katharina von Wylich,en nl,Katharina|Anna von Wylich,Katharina|Anna von Wylich
Q110425470,"Barthold van Gendt, Heer van Loenen, Wolferen",en nl,"Barthold|Bertold van Gendt, Heer van Loenen, Wolferen","Barthold|Bertold van Gendt, Heer van Loenen, Wolferen"
Q110426951,Elizabeth Wardedieu,en,Elizabeth Wardedieu (Wardieu|Wardeux),
Q110427960,Cecily Kemeys,en nl,Cecily|Sibyl Kemeys,Cecily|Sibyl Kemeys
Q110427972,Jenet ferch Ieuan ap Llesion ap Rhys (of Baglan) ap Morgan Fychan,en,Jenet|Joan ferch Ieuan ap Llesion ap Rhys (of Baglan) ap Morgan Fychan,
Q110427976,Elizabeth de la Mare (?Bere),en,Elizabeth|Isabel de la Mare (?Bere),
Q110428779,Thomas Hanley,en nl,Thomas|John Hanley,Thomas|John Hanley
Q110438516,Joan Busby,en nl,Joan|Jane Busby,Joan|Jane Busby
Q110438758,"Robert Brandling, of Spytton",en nl,"Robert|William Brandling, of Spytton","Robert|William Brandling, of Spytton"
Q110438928,"Thomas Livesey, of Livesey, Lancs",en nl,"Thomas|James Livesey, of Livesey, Lancs","Thomas|James Livesey, of Livesey, Lancs"
Q110438953,Edith Grey,en nl,Edith|Eden Grey,Edith|Eden Grey
Q110439200,Maud Quatermayne,en,Maud|Matilda Quatermayne (Quatremain|Quatermain),
Q110439205,"Sir Roger Whittingham, of Pendley",en nl,"Sir Roger|Robert Whittingham, of Pendley","Sir Roger|Robert Whittingham, of Pendley"
Q110439230,Isabel Wilcotes,en nl,Isabel|Emmote Wilcotes,Isabel|Emmote Wilcotes
Q110440305,Galfred de Coryton,en nl,Galfred|Geoffrey de Coryton,Galfred|Geoffrey de Coryton
Q110440338,Elisabeth Mathaderva (Mathadarda),en,Elisabeth|Isabell Mathaderva (Mathadarda),
Q110440365,Johane Pengelley,en nl,Johane|Johanna Pengelley,Johane|Johanna Pengelley
Q110440385,Joan Lanhergy (Lannerey),en,Joan|Joanne Lanhergy (Lannerey),
Q110440632,Ellen Rocliffe (Roucliffe),en,Ellen|Eleanor Rocliffe (Roucliffe),
Q110440662,Dulcia Ashley,en nl,Dulcia|Dowsabel Ashley,Dulcia|Dowsabel Ashley
Q110440752,Margery Drury,en nl,Margery|Margaret Drury,Margery|Margaret Drury
Q110440757,Margaret Naunton,en nl,Margaret|Margery Naunton,Margaret|Margery Naunton
Q110440920,Joan Dene (Deane),en,Joan|Joanna Dene (Deane),
Q110440944,Maud Prestwood,en nl,Maud|Matilda Prestwood,Maud|Matilda Prestwood
Q110441617,Iorwerth ap Cynwrig ap Rhys ap Robert,en nl,Iorwerth|Iocyn ap Cynwrig ap Rhys ap Robert,Iorwerth|Iocyn ap Cynwrig ap Rhys ap Robert
Q110441660,Elliw ferch Gruffudd Derwas,en nl,Elliw|Gwenllian ferch Gruffudd Derwas,Elliw|Gwenllian ferch Gruffudd Derwas
Q110458671,Agnes von Westerburg,en nl,Agnes|Kunigunde von Westerburg,Agnes|Kunigunde von Westerburg
Q110458688,Brigitte von Leisnig,en nl,Brigitte|Jutta von Leisnig,
Q110459026,Bernhard de Guise,en nl,Bernhard|Bouchard de Guise,
Q110504200,"Honora O'More, of Leix",en,"Honora|Norin O'More, of Leix","Honora|Norin O'More, of Leix"
Q110504473,Lucy ferch Morgan ap Llywelyn ap Hywel Fychan of Brecon,en,Lucy|Lleucu ferch Morgan ap Llywelyn ap Hywel Fychan of Brecon,Lucy|Lleucu ferch Morgan ap Llywelyn ap Hywel Fychan of Brecon
Q110504582,"Sean Mac-Gill-Patrick (Fitzpatrick), of Upper Ossory",en,"Sean|John|Shane Mac-Gill-Patrick (Fitzpatrick), of Upper Ossory","Sean|John|Shane Mac-Gill-Patrick (Fitzpatrick), of Upper Ossory"
Q110504637,"Mahon O'Brien, of Killclanoy",en,"Mahon|Mathghamhain O'Brien, of Killclanoy","Mahon|Mathghamhain O'Brien, of Killclanoy"
Q110504642,Margaret FitzMaurice,en,Margaret|Joanna FitzMaurice,Margaret|Joanna FitzMaurice
Q110505149,Barbara von Niebelschütz,en,Barbara|Anna von Niebelschütz,Barbara|Anna von Niebelschütz
Q110505197,Mathilde de Confignon,en,Mathilde|Mahaut de Confignon,Mathilde|Mahaut de Confignon
Q110505753,Jaus Leins,en,Jaus Leins|Luenss,Jaus Leins|Luenss
Q110506078,Anna Henninger,en,Anna Henninger|Hennicke,Anna Henninger|Hennicke
Q110506281,Mr. Jan van Ittersum,en,Mr. Jan|Johan van Ittersum,Mr. Jan|Johan van Ittersum
Q110506502,Alard Fleck van Caldenbroeck,en,Alard Fleck|Vlecke van Caldenbroeck,Alard Fleck|Vlecke van Caldenbroeck
Q110506504,Lijsbeth van Tegelen,en,Lijsbeth|Elisabeth van Tegelen,Lijsbeth|Elisabeth van Tegelen
Q110506970,NN van Rosande Rosaw,en,NN van Rosande|van Rosaw,NN van Rosande|van Rosaw
Q110507038,Fije van Sinderen,en,Fije|Sophia van Sinderen,Fije|Sophia van Sinderen
Q110507592,Jutte Mulert,en,Jutte|Judith Mulert,Jutte|Judith Mulert
Q110507596,Engelbert Mulert,en,Engelbert|Egbert Mulert,Engelbert|Egbert Mulert
Q110509176,"Aysinus III de Montesquiou, Chevalier",en,"Aysinus|Arsieu III de Montesquiou, Chevalier","Aysinus|Arsieu III de Montesquiou, Chevalier"
Q110509203,"Aysinus II de Montesquiou, Chevalier",en,"Aysinus|Arsieu II de Montesquiou, Chevalier","Aysinus|Arsieu II de Montesquiou, Chevalier"
Q110509209,"Aysinus I 'le Vieux' de Montesquiou, Baron de Montesquiou",en,"Aysinus|Arsieu I 'le Vieux' de Montesquiou, Baron de Montesquiou",
Q110520145,Reynold Trethurffe,en,Reynold|Reginald Trethurffe,Reynold|Reginald Trethurffe
Q110520693,"John Upton, of Upton",en,"John|Edward Upton, of Upton","John|Edward Upton, of Upton"
Q110520725,Joan Trelawny,en,Joan|Johanna Trelawny,Joan|Johanna Trelawny
Q110520788,Thomas Uppeton,en,Thomas|John Uppeton,Thomas|John Uppeton
Q110520795,Radigond,en,Radigond|Radigund,Radigond|Radigund
Q110520969,Maud de Kederston,en,Maud|Mathilda de Kederston,Maud|Mathilda de Kederston
Q110537076,Elisabeth von Galen,en,Elisabeth|Elsa von Galen,Elisabeth|Elsa von Galen
Q110537456,"Adelheid Berthout, Heiress of Grimberghe",en,"Adelheid|Alix Berthout, Heiress of Grimberghe",
Q110537898,Catherine de Monchy (Mouchy),en,Catherine|Claude de Monchy (Mouchy),
Q110538936,Wulfing Ungnad von Weissenwolf,en,Wulfing|Wolfgang Ungnad von Weissenwolf,Wulfing|Wolfgang Ungnad von Weissenwolf
Q110539125,Theodor (?Dietrich) von Kolowrat-Bezdruziczky,en,Theodor|Getrzych (?Dietrich) von Kolowrat-Bezdruziczky,
Q110548771,"Ermegaard Bylow, Grevinna i Gripsholm",en,"Ermegaard|Armgard Bylow, Grevinna i Gripsholm","Ermegaard|Armgard Bylow, Grevinna i Gripsholm"
Q110548776,Alhed,en,Alhed|Aleda,
Q110549014,Dina Ogilvie,en,Dina|Mariotta Ogilvie,Dina|Mariotta Ogilvie
Q110549352,Kristofer Stackelberg,en,Kristofer|Krister Stackelberg,Kristofer|Krister Stackelberg
Q110549531,Kristen Skram zu Urup,en,Kristen|Christiern Skram zu Urup,
Q110549747,"Sigmund III Thun, Herr von Thun in Castel-Brughier",en,"Sigmund|Simon III Thun, Herr von Thun in Castel-Brughier",
Q110556468,Jan de Villegas,en,Jan|Jean de Villegas,Jan|Jean de Villegas
Q110557065,Jakob van der Ehze (Heeckeren),en,Jakob|Jacob van der Ehze (Heeckeren),Jakob|Jacob van der Ehze (Heeckeren)
Q110558671,"Matthias Finck, Herr von Finckenstein auf Roggenhausen",en,"Matthias|Albert Finck, Herr von Finckenstein auf Roggenhausen","Matthias|Albert Finck, Herr von Finckenstein auf Roggenhausen"
Q110558676,Dorothea von Seewalde,en,Dorothea|Barbara von Seewalde,Dorothea|Barbara von Seewalde
Q110558999,"Iain Campbell, of Craignish",en,"Iain|John Campbell, of Craignish","Iain|John Campbell, of Craignish"
Q110559555,"Humfrey Tyrrell, of Thornton",en,"Humfrey|Humphrey Tyrrell, of Thornton","Humfrey|Humphrey Tyrrell, of Thornton"
Q110559640,"Anne Huntley, of Treowen",en,"Anne|Matilda Huntley, of Treowen","Anne|Matilda Huntley, of Treowen"
Q110559649,Margred ferch John ap Thomas ab Adam,en,Margred|Elsbeth ferch John ap Thomas ab Adam,Margred|Elsbeth ferch John ap Thomas ab Adam
Q110559927,Sibill Fitzelles (Fitzellis),en,Sibill|Sybbell Fitzelles (Fitzellis),Sibill|Sybbell Fitzelles (Fitzellis)
Q110561456,Ellen Allen,en,Ellen|Elbert|Elizabeth Allen,Ellen|Elbert|Elizabeth Allen
Q110561477,Richard Chamberlayne,en,Richard|Ralph Chamberlayne,Richard|Ralph Chamberlayne
Q110572003,Clara von Freyberg,en,Clara|Anna von Freyberg,Clara|Anna von Freyberg
Q110572007,Chunrat von Freyberg,en,Chunrat|Konrad von Freyberg,Chunrat|Konrad von Freyberg
Q110574594,"Clinet de Lanes (Lannes), Seigneur de Bellade et de Rochebalade",en,"Clinet|Claude de Lanes (Lannes), Seigneur de Bellade et de Rochebalade",
Q110574618,Clinet de Perigord de Talleyrand,en,Clinet|Clignet de Perigord de Talleyrand,
Q110578155,Etiennette de Chantocé,en,Etiennette|Tiphaine de Chantocé,Etiennette|Tiphaine de Chantocé
Q110578184,Origone,en,Origone|Orguen,Origone|Orguen
Q110578358,Pierre Raymond,en,Pierre|Jean Raymond,Pierre|Jean Raymond
Q110580647,Joane de Bromflete (Brounflete),en,Joane|Joan de Bromflete (Brounflete),Joane|Joan de Bromflete (Brounflete)
Q110582239,Elsbeth Conwy,en,Elsbeth|Elizabeth Conwy,Elsbeth|Elizabeth Conwy
Q110582255,"Richard Brereton, of Cheshire",en,"Richard|Ralph Brereton, of Cheshire","Richard|Ralph Brereton, of Cheshire"
Q110582418,Gruffudd ap Llywelyn ap Robert ap Llywarch,en,Gruffudd|Griffi ap Llywelyn ap Robert ap Llywarch,Gruffudd|Griffi ap Llywelyn ap Robert ap Llywarch
Q110582440,Gwladys ferch Gruffudd ap Meilir Eutun ab Elidir,en,Gwladys|Gwenllian ferch Gruffudd ap Meilir Eutun ab Elidir,Gwladys|Gwenllian ferch Gruffudd ap Meilir Eutun ab Elidir
Q110582810,Lleuki ferch Gwerstan ap Gwaithfoed,en,Lleuki|Nest ferch Gwerstan ap Gwaithfoed,Lleuki|Nest ferch Gwerstan ap Gwaithfoed
Q110583387,Joice Burley,en,Joice|Jocosa Burley,Joice|Jocosa Burley
Q110583502,Dyddgu ferch Aron ap Pen Hen ab Iorwerth,en,Dyddgu|Gwerful ferch Aron ap Pen Hen ab Iorwerth,Dyddgu|Gwerful ferch Aron ap Pen Hen ab Iorwerth
Q110585521,Angharad ferch Gruffudd ap Cadwgan,en,Angharad|Hunydd ferch Gruffudd ap Cadwgan,Angharad|Hunydd ferch Gruffudd ap Cadwgan
Q110585751,Gladousa,en,Gladousa|Wladousa,Gladousa|Wladousa
Q110585877,Anne Taylor,en,Anne|Agnes Taylor,Anne|Agnes Taylor
Q110585903,Philip Knottesford,en,Philip|Thomas Knottesford,Philip|Thomas Knottesford
Q110602300,Estevanhinha Garcia,en,Estevanhinha|Estafania Garcia,Estevanhinha|Estafania Garcia
Q110612463,Jane Jewe,en,Jane|Joan Jewe,Jane|Joan Jewe
Q110612785,Margaret de Trewargen (Trevanyon),en,Margaret|Margeria de Trewargen (Trevanyon),Margaret|Margeria de Trewargen (Trevanyon)
Q110612792,Riej Bloyet (Bluet),en,Riej|Richard Bloyet (Bluet),Riej|Richard Bloyet (Bluet)
Q110612796,"Sir Theobald Gorges alias Russell, of Wraxall",en,"Sir Theobald|Tibbot Gorges alias Russell, of Wraxall","Sir Theobald|Tibbot Gorges alias Russell, of Wraxall"
Q110613212,Letitia L'Estrange,en,Letitia|Alicia L'Estrange,Letitia|Alicia L'Estrange
Q110613606,Stevina van Wisch,en,Stevina|Stevania van Wisch,Stevina|Stevania van Wisch
Q110615895,Anne Mauleverer,en,Anne|Agnes Mauleverer,Anne|Agnes Mauleverer
Q110616340,Ruffin Bourell,en,Ruffin Bourell|Bourel|Boureel,Ruffin Bourell|Bourel|Boureel
Q110616705,Maria Rodriguez Pecha,en,Maria|Mayor Rodriguez Pecha,Maria|Mayor Rodriguez Pecha
Q110618305,Etheldred Poyntz,en,Etheldred|Audrey Poyntz,Etheldred|Audrey Poyntz
Q110618374,"Geoffrey Radcliffe, of Farmesden",en,"Geoffrey|Gregory Radcliffe, of Farmesden","Geoffrey|Gregory Radcliffe, of Farmesden"
Q110618420,"Sir Robert Segrave, of Norfolk",en,"Sir Robert|John Segrave, of Norfolk","Sir Robert|John Segrave, of Norfolk"
Q110618461,"Gerald Meynell, of Willington",en,"Gerald|Gerard Meynell, of Willington","Gerald|Gerard Meynell, of Willington"
Q110618483,Joan,en,Joan|Johanna,Joan|Johanna
Q110618684,Margaret Bray,en,Margaret|Magdalen Bray,Margaret|Magdalen Bray
Q110618866,"Reginald Warcup, of Smerdale",en,"Reginald|Richard Warcup, of Smerdale","Reginald|Richard Warcup, of Smerdale"
Q110619225,Sir Robert Newport,en,Sir Robert|Thomas Newport,Sir Robert|Thomas Newport
Q110621289,"Leena Deken, heiress of Rooküla, co-heiress of Paunküla & Harmi",en,"Leena|Madleena Deken, heiress of Rooküla, co-heiress of Paunküla & Harmi","Leena|Madleena Deken, heiress of Rooküla, co-heiress of Paunküla & Harmi"
Q110621296,Maikki Tuve,en,Maikki|Maret Tuve,Maikki|Maret Tuve
Q110621529,Jörg von Arberg,en,Jörg|Georg von Arberg,Jörg|Georg von Arberg
Q110621543,Christoph von Obritschau,en,Christoph|Christopher von Obritschau,Christoph|Christopher von Obritschau
Q110621880,Jane,en,Jane|Joan,Jane|Joan
Q110621955,Gwenllian Norris,en,Gwenllian|Lucy Norris,Gwenllian|Lucy Norris
Q110621969,Joan ferch Rhûn ap Gronwy Fychan ap Gronwy ap Llywarch,en,Joan|Crisly ferch Rhûn ap Gronwy Fychan ap Gronwy ap Llywarch,Joan|Crisly ferch Rhûn ap Gronwy Fychan ap Gronwy ap Llywarch
Q110621995,Agnes Chicheley,en,Agnes|Elizabeth Chicheley,Agnes|Elizabeth Chicheley
Q110622076,"Morgan ab Iestyn, lord of Glamorgan",en,"Morgan|Meurig ab Iestyn, lord of Glamorgan","Morgan|Meurig ab Iestyn, lord of Glamorgan"
Q110622122,Jenkin de Turberville,en,Jenkin|John de Turberville,Jenkin|John de Turberville
Q110622416,Elsbeth Eliot,en,Elsbeth|Elizabeth Eliot,Elsbeth|Elizabeth Eliot
Q110622430,Jonet Perott,en,Jonet|Joan Perott,Jonet|Joan Perott
Q110622435,Sir John ap John ap Robert ap Jenkin Clement,en,Sir John|Gwilyn ap John ap Robert ap Jenkin Clement,Sir John|Gwilyn ap John ap Robert ap Jenkin Clement
Q110622453,Margred Welsh,en,Margred|Jane Welsh,Margred|Jane Welsh
Q110622492,Sir Walter ap Walter Malephant,en,Sir Walter|Gwilym ap Walter Malephant,Sir Walter|Gwilym ap Walter Malephant
Q110622582,Lucy Hampton,en,Lucy|(Lettice) Hampton,Lucy|(Lettice) Hampton
Q110622583,Sir Thomas Hampton,en,Sir Thomas|John Hampton,Sir Thomas|John Hampton
Q110622936,Eleanor Rigges (Brigges),en,Eleanor|Ellen Rigges (Brigges),Eleanor|Ellen Rigges (Brigges)
Q110623118,"John Bird, of Middlesex",en,"John|Thomas Bird, of Middlesex","John|Thomas Bird, of Middlesex"
Q110623207,"Janet Robertson, of Strowan",en,"Janet Robertson, of Strowan|Struan","Janet Robertson, of Strowan|Struan"
Q110623212,Jean Somerville,en,Jean|Janet Somerville,Jean|Janet Somerville
Q110623341,Alianore Chandos,en,Alianore|Eleanor Chandos,Alianore|Eleanor Chandos
Q110623449,Anne Gresley,en,Anne|Innocentia|Senecha|Sarah Gresley,Anne|Innocentia|Senecha|Sarah Gresley
Q110623477,Pernele de Camville,en,Pernele|Petronelle de Camville,Pernele|Petronelle de Camville
Q110623530,Margaret Francis,en,Margaret (not Cecily) Francis (Frauncis|Franceys|Frauncys),Margaret (not Cecily) Francis (Frauncis|Franceys|Frauncys)
Q110623887,Margred Lewis,en,Margred|Elizabeth Lewis,Margred|Elizabeth Lewis
Q110635485,Angharad ferch Ieuan ap Hywel ap Tegwared Bais Wen,en,Angharad|Gwerful ferch Ieuan ap Hywel ap Tegwared Bais Wen,Angharad|Gwerful ferch Ieuan ap Hywel ap Tegwared Bais Wen
Q110635521,Awdrey,en,Awdrey|Ethelrede,Awdrey|Ethelrede
Q110635652,Agnes ferch Dafydd,en,Agnes|Jane ferch Dafydd,Agnes|Jane ferch Dafydd
Q110637009,Efa ferch Gruffudd Llwyd,en,Efa|Gwenllian ferch Gruffudd Llwyd,Efa|Gwenllian ferch Gruffudd Llwyd
Q110637365,Anne Salwey,en,Anne|Isolda Salwey,Anne|Isolda Salwey
Q110637387,Mary Breaux,en,Mary Breaux|Bressy,Mary Breaux|Bressy
Q110637477,Reginald Barantyne,en,Reginald|Reynold Barantyne,Reginald|Reynold Barantyne
Q110637490,Joan Goddard,en,Joan|Jane Goddard,Joan|Jane Goddard
Q110637510,Gonar (or Grace) Thurgood (or Thorowgood),en,Gonar|Gonnora (or Grace) Thurgood (or Thorowgood),Gonar|Gonnora (or Grace) Thurgood (or Thorowgood)
Q110637528,James Odim,en,James|John Odim (Obbone|Oddone),James|John Odim (Obbone|Oddone)
Q110637529,Crysogona Smith,en,Crysogona|Grisogena Smith,Crysogona|Grisogena Smith
Q110638109,Jane Anderson,en,Jane|Isabel Anderson,Jane|Isabel Anderson
Q110638131,Elisabeth Markenfield,en,Elisabeth|Eleanor Markenfield,Elisabeth|Eleanor Markenfield
Q110638184,Anne Crake (Creyke),en,Anne|Agnes Crake (Creyke),Anne|Agnes Crake (Creyke)
Q110638736,Mary de Heton,en,Mary|Joan de Heton,Mary|Joan de Heton
Q110639125,Jean Midorge,en,Jean Midorge (Mydorge|Muidorge),Jean Midorge (Mydorge|Muidorge)
Q110640245,Anne d'Enghien de Havrech,en,Anne|Louise d'Enghien de Havrech,Anne|Louise d'Enghien de Havrech
Q110640427,Egidius de Bouchout,en,Egidius|Gilles de Bouchout,Egidius|Gilles de Bouchout
Q110640434,"Alard de Poucques, Vicomte d'Ypres",en,"Alard|Eylard de Poucques, Vicomte d'Ypres","Alard|Eylard de Poucques, Vicomte d'Ypres"
Q110640440,Catharina van Borselen,en,Catharina|Katharina van Borselen,Catharina|Katharina van Borselen
Q110640441,Claas van Borselen Rasenzoon,en,Claas|Nikolaus van Borselen Rasenzoon,Claas|Nikolaus van Borselen Rasenzoon
Q110640889,Jacques van Calendries,en,Jacques|Josse van Calendries,Jacques|Josse van Calendries
Q110640959,Elisabeth van Rotselaer (Rotzelaer),en,Elisabeth|Marie van Rotselaer (Rotzelaer),
Q110653236,Frances Landon,en,Frances Landon (Lenden|Lander),Frances Landon (Lenden|Lander)
Q110688264,Eleanor Waldeive,en,Eleanor|Helen Waldeive,Eleanor|Helen Waldeive
Q110715309,Béatrice de Réthel,en,Béatrice|Cecile de Réthel,Béatrice|Cecile de Réthel
Q110729293,Jyrki Matinpoika of Vilkki,en,Jyrki|Yrjänä Matinpoika of Vilkki,Jyrki|Yrjänä Matinpoika of Vilkki
Q110729337,Jyrki Simonpoika of Vilkki,en,Jyrki|Yrjänä Simonpoika of Vilkki,Jyrki|Yrjänä Simonpoika of Vilkki
Q110730678,Anne Isaac,en,Anne|Ann Isaac,Anne|Ann Isaac
Q110730725,Cecily Deincourt,en,Cecily|Cecilia Deincourt,Cecily|Cecilia Deincourt
Q110730740,Margaret Calthorpe,en,Margaret|Margery Calthorpe,Margaret|Margery Calthorpe
Q110730994,Ailine,en,Ailine|Elen,Ailine|Elen
Q110731010,Henry de Clifton,en,Henry|Gilbert de Clifton,Henry|Gilbert de Clifton
Q110731138,Iannaki Mavros,en,Iannaki|Jorgos Mavros,
Q110731142,Nike Soutzaina,en,noble Nike|Victoria Soutzaina,noble Nike|Victoria Soutzaina
Q110731154,"Constantin Catargiu, steward of Moldavia",en,"Constantin|Apostol Catargiu, steward of Moldavia",
Q110731625,"Gottfried V, Herr zu Drachenfels und Fronenbruch",en,"Gottfried|Gothard V, Herr zu Drachenfels und Fronenbruch",
Q110731701,John Gashis,en,John Gashis|Gashes|Gaches,John Gashis|Gashes|Gaches
Q110737710,Bahadur Sidamoni,en,Bahadur|Baindur|Baadur Sidamoni,Bahadur|Baindur|Baadur Sidamoni
Q110737861,Rusa Mkheidze,en,Rusa|Rusudan Mkheidze,Rusa|Rusudan Mkheidze
Q111424098,"George Leslie, lord of Saka manor",en,"George|Jyrgi Leslie, lord of Saka manor","George|Jyrgi Leslie, lord of Saka manor"
Q111424100,John Watson,en,John|Johannes Watson,John|Johannes Watson
Q111444002,Agnes Gross,en,Agnes|Joan|Jane Gross,Agnes|Joan|Jane Gross
Q111444231,"Sir Richard Lane, of Tulske, 1st Baronet",en,"Sir Richard|George Lane, of Tulske, 1st Baronet","Sir Richard|George Lane, of Tulske, 1st Baronet"
Q111451883,Joan Thweng (Thwynge),en,Joan|Jennet Thweng (Thwynge),Joan|Jennet Thweng (Thwynge)
Q111452296,Marie Lane,en,Marie|Mary Lane,Marie|Mary Lane
Q111452444,"Robert Twyford, of Sponden",en,"Robert|Robinet Twyford, of Sponden","Robert|Robinet Twyford, of Sponden"
Q111452557,"John Pigott, of Abingdon Hall",en,"John|George Pigott, of Abingdon Hall","John|George Pigott, of Abingdon Hall"
Q111452839,Elizabeth Savage,en,Elizabeth|Maud|Margaret Savage,Elizabeth|Maud|Margaret Savage
Q111453018,Radulf de Clayton,en,Radulf|Ralph de Clayton,Radulf|Ralph de Clayton
Q111454495,Margaret Eyton,en,Margaret|Margery Eyton,Margaret|Margery Eyton
Q111456769,Jane Egan,en,Jane|Joan Egan,Jane|Joan Egan
Q111456846,"William Winter, of Winter Barningham",en,"William|John Winter, of Winter Barningham","William|John Winter, of Winter Barningham"
