qid,mul_value,duplicate_langs,live_en,live_mul
Q99240367,John Rich,en nl,John|Thomas Rich,
Q99301896,Dorothea Delwig,en nl,Dorothea|Dordi Delwig,
Q99301905,"Jens 'Bonde', lord of Traneberg & Stensholmen",en nl,"knight Jens|Jon|Jöns|Johannes 'Bonde', lord of Traneberg & Stensholmen",
Q99304143,Astrige,en nl,Astrige|Eustorge,
Q99658654,Mary Yewelton (Yeovilton),en,Mary|Margery Yewelton (Yeovilton),
Q99674911,Ellen Warburton,en nl,Ellen|Margaret Warburton,
Q99674963,"Robert Barrow, of Flookers Brook",en nl,"Robert|Roger Barrow, of Flookers Brook",
Q99707355,Alice Barrington,en es nl,Alice|Elizabeth Barrington,
Q99707379,Alice Battell,en,Alice Battell (Battle|Battail),
Q99707421,Margaret Blyant,en nl,Margaret|Mary Blyant,
Q99707425,Margaret Alcocke,en nl,Margaret|Margery Alcocke,
Q99735753,William de la Spine,nl,"William de la Spine (Spineto|Spyne|Spinney), of Coughton",
Q99735761,Margery,en nl,Margery|Margeria,
Q99800232,Joan de Helyon,en,Joan de Helyon (Helion|Hellion),
Q99800478,Sir David Skull,en nl,Sir David|Miles Skull,
Q99803748,"Denise Tempest, of Studley",en nl,"Denise|Dionisia Tempest, of Studley",
Q99803886,Laura FitzHugh,en nl,Laura|Lora FitzHugh,
Q99804016,Joan,en nl,Joan|Jane,
Q99804414,Dionysia,en nl,Dionysia|Denise,
Q99804421,Jane Tunstall,en nl,Jane|Joan Tunstall,
Q99805205,"Thomas Towers, of Somerby",en nl,"Thomas|John Towers, of Somerby",
Q99805262,William de Tunstall,en nl,William|Henry de Tunstall,
Q99806018,Ivette de Ros,en nl,Ivette|Juette de Ros,
Q99807109,Sir William Babthorp,en nl,Sir William|Ralph Babthorp,
Q100152977,Margaret Billing,en nl,Margaret|Joan? Billing,Margaret|Joan? Billing
Q100153029,Alison Dauncey (Dauntsey),en,Alison|Alice Dauncey (Dauntsey),
Q100153041,Joan Fabian,en nl,Joan|Jane Fabian,Joan|Jane Fabian
Q100153842,Robert Francis,nl,"Robert Francis (Frauncis|Fraunceys), of Foremark","Robert Francis (Frauncis|Fraunceys), of Foremark"
Q100326000,"Joan Fairfax, of Walton",en nl,"Joan|Jane Fairfax, of Walton","Joan|Jane Fairfax, of Walton"
Q100326022,Agnes Ingleby,en nl,Agnes|Anne Ingleby,Agnes|Anne Ingleby
Q100326382,Matilda Hamerton,en nl,Matilda|Alice Hamerton,Matilda|Alice Hamerton
Q100326388,"Sir Richard Radcliffe (Radclyffe), of Winmarleigh",en nl,"Sir Richard|Thomas Radcliffe (Radclyffe), of Winmarleigh","Sir Richard|Thomas Radcliffe (Radclyffe), of Winmarleigh"
Q100326468,Ellen Holme,en nl,Ellen|Eleanor|Marion Holme,Ellen|Eleanor|Marion Holme
Q100326474,Joan Orrell,en nl,Joan|Jane Orrell,Joan|Jane Orrell
Q100326482,"Jeannette Percival, of Ripon",en nl,"Jeannette|Janet Percival, of Ripon","Jeannette|Janet Percival, of Ripon"
Q100326508,Elizabeth Eure,en nl,Elizabeth|Isabella Eure,Elizabeth|Isabella Eure
Q100326554,Englesia Dymoke,en nl,Englesia|Engaret Dymoke,Englesia|Engaret Dymoke
Q100389061,Elizabeth Alcock,en nl,Elizabeth|Ellen Alcock,Elizabeth|Ellen Alcock
Q100390584,"Maud Fleming, of Slane",en nl,"Maud|Matilda Fleming, of Slane","Maud|Matilda Fleming, of Slane"
Q100439895,Sylvestre Gondi,en nl,Sylvestre|Silventro Gondi,Sylvestre|Silventro Gondi
Q100440671,Despoina Eirene,en nl,Despoina Eirene|Irina,Despoina Eirene|Irina
Q100447015,Mercy Freeman,en nl,Mercy|Marcy Freeman,Mercy|Marcy Freeman
Q100447118,Azariah Boody,en nl,Azariah|Hezekiah Boody,Azariah|Hezekiah Boody
Q100447567,William Wilcockson,en,William Wilcockson (Wilcoxon|Willcox),
Q100447585,Anna,en nl,Anna|Hannah,Anna|Hannah
Q100447924,Isabelle,en nl,Isabelle|Elizabeth,Isabelle|Elizabeth
Q100727120,Margaret,en nl,Margaret|Katherine,Margaret|Katherine
Q100727444,"Sir William Bradshagh, of Blackrod et al",en nl,"Sir William|Robert Bradshagh, of Blackrod et al","Sir William|Robert Bradshagh, of Blackrod et al"
Q100727512,"Maud de Legh, of Booths & Sandbach",en nl,"Maud|Mathilde de Legh, of Booths & Sandbach","Maud|Mathilde de Legh, of Booths & Sandbach"
Q100900274,"Eleanor Conyers, of Hornby",en nl,"Eleanor|Alianor Conyers, of Hornby","Eleanor|Alianor Conyers, of Hornby"
Q100900294,"Reginald Conyers, of Wakerley",en nl,"Reginald|Reynald Conyers, of Wakerley","Reginald|Reynald Conyers, of Wakerley"
Q100900295,Anne Norwich,en nl,Anne|Alice Norwich,Anne|Alice Norwich
Q100900507,Piers Corbet,en nl,Piers|Peter Corbet,Piers|Peter Corbet
Q100900719,Doda de Cornailles,en nl,Doda|Gouda de Cornailles,Doda|Gouda de Cornailles
Q100900854,Alice Harley,en nl,Alice|Alicia Harley,Alice|Alicia Harley
Q100901144,"Sir Lawrence de Warren, of Poynton, Ches",en nl,"Sir Lawrence|Laurence de Warren, of Poynton, Ches","Sir Lawrence|Laurence de Warren, of Poynton, Ches"
Q100901145,"Margaret Bulkeley, of Cheadle",en nl,"Margaret|Margery Bulkeley, of Cheadle","Margaret|Margery Bulkeley, of Cheadle"
Q100901203,"Sir Randall Brereton, of Malpas",en nl,"Sir Randall|Randle Brereton, of Malpas","Sir Randall|Randle Brereton, of Malpas"
Q100901215,Isabel de Beeston,en nl,Isabel|Elizabeth de Beeston,Isabel|Elizabeth de Beeston
Q101163165,"Jeffrey Okes, of Shrubland, Suffolk",en nl,"Jeffrey|Geoffrey Okes, of Shrubland, Suffolk","Jeffrey|Geoffrey Okes, of Shrubland, Suffolk"
Q101163986,Alice de Meriet,en nl,Alice|Ellen de Meriet,Alice|Ellen de Meriet
Q101164552,Philippe Lovel,en nl,Philippe|Philippa Lovel,Philippe|Philippa Lovel
Q101228256,Anna von Bystram,en nl,Anna|Barbara von Bystram,Anna|Barbara von Bystram
Q101231618,Mazera Marmion,en nl,Mazera|Macerie Marmion,Mazera|Macerie Marmion
Q101231732,Sybil Darset (Dorset),en,Sybil|Juliana Darset (Dorset),
Q101231743,Margery Popham,en nl,Margery|Margaret Popham,Margery|Margaret Popham
Q101231759,Audrey Hampden,en nl,Audrey|Ethelreda Hampden,Audrey|Ethelreda Hampden
Q101231791,"Thomas Hexstall, of Hexstall's Court",en nl,"Thomas|Richard Hexstall, of Hexstall's Court","Thomas|Richard Hexstall, of Hexstall's Court"
Q101231795,"John Hewet , of Walsall",nl,"John Hewet (Hewett|Hewit), of Walsall, Staffs","John Hewet (Hewett|Hewit), of Walsall, Staffs"
Q101231836,Dorothy Arundell,en nl,Dorothy|Elizabeth Arundell,Dorothy|Elizabeth Arundell
Q101247128,Måns Hakansson,en nl,Måns|Magnus Hakansson,
Q101247188,"Ermegård Fikkesdotter Bylow, heiress of Sundby & Brokind",en nl,"Ermegård|Armgard Fikkesdotter Bylow, heiress of Sundby & Brokind",
Q101247331,Karin Magnusdotter,en nl,Karin|Katarina Magnusdotter,Karin|Katarina Magnusdotter
Q101247632,Karin Magnusdotter av Tjuk,en nl,Karin|Catharina Magnusdotter av Tjuk,Karin|Catharina Magnusdotter av Tjuk
Q101247653,Ingerd Toresdotter av Stola,en nl,Ingerd|Ingrid Toresdotter av Stola,Ingerd|Ingrid Toresdotter av Stola
