geni_id,label,description,pair_count,is_collision
6000000003828382443,Lucius Cornelius,"born Rome, Roma, Italy",3,yes
6000000003828382983,Marcus Nonius,"born Rome, Roma, Italy",2,yes
6000000003828382990,Marcus Nonius,"born Rome, Roma, Italy",2,yes
6000000003828385018,Marcus Servilius,"born Rome, Roma, Italy",2,yes
6000000003828385025,Gaius Servilius,"born Rome, Roma, Italy",5,yes
6000000003828385032,Gaius Servilius,"born Rome, Roma, Italy",5,yes
6000000003828385074,Marcus Granius,"born Rome, Roma, Italy",3,yes
6000000003828385081,Marcus Granius,"born Rome, Roma, Italy",3,yes
6000000003828385088,Marcus Granius,"born Rome, Roma, Italy",3,yes
6000000003828385308,Marcus Servilius,"born Rome, Roma, Italy",2,yes
6000000003828385315,Gaius Servilius,"born Rome, Roma, Italy",5,yes
6000000003828385322,Publius Servilius,"born Rome, Roma, Italy",3,yes
6000000003828385329,Quintus Servilius,"born Rome, Roma, Italy",2,yes
6000000003828385350,Gaius Servilius,"born Rome, Roma, Italy",5,yes
6000000003828385364,Quintus Servilius,"born Rome, Roma, Italy",2,yes
6000000003828385371,Gaius Servilius,"born Rome, Roma, Italy",5,yes
6000000003828385378,Publius Servilius,"born Rome, Roma, Italy",3,yes
6000000003828385385,Publius Servilius,"born Rome, Roma, Italy",3,yes
6000000003828385644,Marcus Valerius,"born Rome, Roma, Italy",4,yes
6000000003828385658,Marcus Valerius,"born Rome, Roma, Italy",4,yes
6000000003828385665,Marcus Valerius,"born Rome, Roma, Italy",4,yes
6000000003828385672,Marcus Valerius,"born Rome, Roma, Italy",4,yes
6000000003828385832,Lucius Cornelius,"born Rome, Roma, Italy",3,yes
6000000003828385846,Lucius Cornelius,"born Rome, Roma, Italy",3,yes
6000000003828396685,Hosidius,"born Rome, Roma, Italy",2,yes
6000000003828396692,Hosidius,"born Rome, Roma, Italy",2,yes
6000000003828396699,Gnaeus Hosidius,"born Rome, Roma, Italy",2,yes
6000000003828396706,Gnaeus Hosidius,"born Rome, Roma, Italy",2,yes
6000000003852072296,Margaret Grenfell,born 1743,2,yes
6000000003859681740,Olaus,born 1786,2,yes
6000000003876621613,NN,born circa 1060,2,yes
6000000004008837726,Christina Hahn,born 21 Jan 1740,2,yes
6000000004065529155,Pedro Vaz de Abreu,born circa 1430,2,yes
