geni_id	qid	cjk_names	han_tokens	ko	ja_sourced	zh
6000000003128547003		久儔 加納 | 加納久儔	久儔 加納 加納久儔	구주 가납 가납구주		
6000000003128602328		久慎室 植村 | 加納久慎室	植村	식촌		
6000000003128638090		家長 植村 | 植村家長	家長 植村 植村家長	가장 식촌 식촌가장		
6000000003128663005		久儔正室 高木 | 加納久儔正室	高木	고목		
6000000003128769247		宗弥 松平 | 松平宗弥	宗弥 松平 松平宗弥	종미 송평 송평종미		
6000000003128769304		信興 津軽 | 津軽信興	信興 津軽 津軽信興	신흥 진경 진경신흥		
6000000003128859533		正矩 本多 | 本多正矩	正矩 本多 本多正矩	정구 본다 본다정구		
6000000003128926331		正珍養女 本多 | 本多正珍養女	本多	본다		
6000000003128992166		直邦 黒田 | 黒田直邦	直邦 黒田 黒田直邦	직방 흑전 흑전직방		
6000000003129281273		高栄継室 松平 | 京極高栄継室	松平	송평		
6000000003129588624		康長室 永井 | 柴田康長室	永井	영정		
6000000003129920731		重元 長田 | 長田重元	重元 長田 長田重元	중원 장전 장전중원		
6000000003130197070		正陳 高木 | 高木正陳	正陳 高木 高木正陳	정진 고목 고목정진		
6000000003130219023		正陳正室 本多 | 高木正陳正室	本多	본다		
6000000003130265100		康長 柴田 | 柴田康長	康長 柴田 柴田康長	강장 시전 시전강장		
6000000003130267157		正弘正室 柴田 | 高木正弘正室	柴田	시전		
6000000003130462430		康久 柴田 | 柴田康久	康久 柴田 柴田康久	강구 시전 시전강구		
6000000003130929133		忠順室 松平 | 松平忠順室	松平	송평		
6000000003130938414		正経 井上 | 井上正経	正経 井上 井上正経	정경 정상 정상정경		
6000000003156289849		定之 大学 菅沼 | 菅沼定之	定之 大学 菅沼 菅沼定之	정지 대학 관소 관소정지		
6000000003156428985		堀田正亮正室 松平 | 堀田正亮正室(松平定儀娘)	松平	송평		
6000000003156467900		勝房正室 水野 | 松平勝房正室	水野	수야		
6000000003156487000		恒通 稲葉 | 稲葉恒通	恒通 稲葉 稲葉恒通	항통 도엽 도엽항통		
6000000003156822808		助芳 本多 | 本多助芳	助芳 本多 本多助芳	조방 본다 본다조방		
6000000003156840510		正亮 堀田 | 堀田正亮	正亮 堀田 堀田正亮	정양 굴전 굴전정양		
6000000003156845434		勝房 松平 | 松平勝房	勝房 松平 松平勝房	승방 송평 송평승방		
6000000003156872013		忠定 水野 | 水野忠定	忠定 水野 水野忠定	충정 수야 수야충정		
6000000003156964581		定武正室 稲葉 | 松平定武正室	稲葉	도엽		
6000000003157041246		助芳正室 松平 | 本多助芳正室	松平	송평		
6000000003157064047		俊平 柳生 | 柳生俊平	俊平 柳生 柳生俊平	준평 유생 유생준평		
6000000003169379926		かい 溝口 | かい	溝口	구구		
6000000003169593875		信綱養女 松平 | 松平信綱養女	松平	송평		
6000000003169635635		知通 稲葉 | 稲葉知通	知通 稲葉 稲葉知通	지통 도엽 도엽지통		
6000000003169756507		直方 兵部 市橋 | 市橋直方	直方 兵部 市橋 市橋直方	직방 병부 시교 시교직방		
6000000003169766850		重雄継室 酒井 | 溝口重雄継室	酒井	주정		
6000000003169918985		峯 慈照院 溝口 | 慈照院	峯 慈照院 溝口 慈照院	봉 자조원 구구 자조원		
6000000003170132183		よめ 溝口 | よめ	溝口	구구		
6000000003170137399		きい 溝口 | きい	溝口	구구		
6000000003170177396		安宣 戸川 | 戸川安宣	安宣 戸川 戸川安宣	안선 호천 호천안선		
6000000003170214714		義倫 宗 | 宗義倫	義倫 宗 宗義倫	의윤 종 종의윤		
6000000003170242382		津河 高寿院 三浦 | 津河(高寿院 宗義真室)	津河 高寿院 三浦	진하 고수원 삼포		
6000000003170253679		正安 戸川 | 戸川正安	正安 戸川 戸川正安	정안 호천 호천정안		
6000000003170295661		康純 有馬 | 有馬康純	康純 有馬 有馬康純	강순 유마 유마강순		
6000000003170404158		正安正室 寺沢 | 戸川正安正室	寺沢	사택		
6000000003170431033		安宣正室 有馬 | 戸川安宣正室	有馬	유마		
6000000003175352586		高 伯真 陳	高 伯真 陳	고 백진 진		
6000000003175604109		陳文讚 憲章 宣成 吳興長城 | 文贊 憲章 宣成 吳興長城	陳文讚 憲章 宣成 吳興長城 文贊 憲章 宣成 吳興長城	진문찬 헌장 선성 오흥장성 문찬 헌장 선성 오흥장성		
6000000003175634292		譚先 道談 吳興長城 | 譚先 道談 吳興長城 一	譚先 道談 吳興長城 譚先 道談 吳興長城 一	담선 도담 오흥장성 담선 도담 오흥장성 일		
6000000003175649423		蒨 子華 吳興長城	蒨 子華 吳興長城	천 자화 오흥장성		
6000000003175650332		頊 紹世 吳興長城	頊 紹世 吳興長城	욱 소세 오흥장성		
6000000003175651265		陳霸先 興國 吳興長城 | 霸先 興國 吳興長城 二	陳霸先 興國 吳興長城 霸先 興國 吳興長城 二	진패선 흥국 오흥장성 패선 흥국 오흥장성 이		
6000000003176479787		政良継室 加藤 | 溝口政良継室	加藤	가등		
6000000003176493551		政勝正室 溝口 | 溝口政勝正室	溝口	구구		
6000000003176505864		政良 溝口 | 溝口政良	政良 溝口 溝口政良	정양 구구 구구정양		
6000000003176518480		薫彰正室 戸川 | 池田薫彰正室	戸川	호천		
6000000003176613755		昌勝 徳永 | 徳永昌勝	昌勝 徳永 徳永昌勝	창승 덕영 덕영창승		
6000000003176628845		正英正室 井上 | 保科正英正室	井上	정상		
6000000003176645867		正尚室 溝口 | 長谷川正尚室	溝口	구구		
6000000003176652683		宣秋 溝口 | 溝口宣秋	宣秋 溝口 溝口宣秋	선추 구구 구구선추		
6000000003176692502		宣知 溝口 | 溝口宣知	宣知 溝口 溝口宣知	선지 구구 구구선지		
6000000003176701459		宣俊 溝口 | 溝口宣俊	宣俊 溝口 溝口宣俊	선준 구구 구구선준		
6000000003176722703		正英 保科 | 保科正英	正英 保科 保科正英	정영 보과 보과정영		
6000000003176748435		昌勝正室 溝口 | 徳永昌勝正室	溝口	구구		
6000000003176756249		溝口宣秋正室 大久保 | 溝口宣秋正室(大久保教隆娘)	大久保	대구보		
6000000003176802209		英勝 小出 | 小出英勝	英勝 小出 小出英勝	영승 소출 소출영승		
6000000003176804584		庸名 井上 | 井上庸名	庸名 井上 井上庸名	용명 정상 정상용명		
6000000003176812313		宣俊正室 井上 | 溝口宣俊正室	井上	정상		
6000000003176857119		宣知正室 京極 | 溝口宣知正室	京極	경극		
6000000003176919903		昌重正室 下間 | 徳永昌重正室	下間	하간		
6000000003177071479		昌利 徳永 | 徳永昌利	昌利 徳永 徳永昌利	창이 덕영 덕영창이		
6000000003177175020		昌重 徳永 | 徳永昌重	昌重 徳永 徳永昌重	창중 덕영 덕영창중		
6000000003177193582		重教 池田 | 池田重教	重教 池田 池田重教	중교 지전 지전중교		
6000000003177200083		康成正室 松平 | 牧野康成正室	松平	송평		
6000000003177233494		蕃子 池田 | 池田蕃子	蕃子 池田 池田蕃子	번자 지전 지전번자		
6000000003177275487		玉子 松平 | 玉子(池田恒元正室)	玉子 松平	옥자 송평		
6000000003177277726		恒元 池田 | 池田恒元	恒元 池田 池田恒元	항원 지전 지전항원		
6000000003177292662		秀勝妻 長井 | 溝口秀勝妻	長井	장정		
6000000003177391477		秋香 溝口 | 溝口秋香	秋香 溝口 溝口秋香	추향 구구 구구추향		
6000000003177483397		頼水正室 本多 | 諏訪頼水正室	本多	본다		
6000000003177517617		慶勝正室 本多 | 遠藤慶勝正室	本多	본다		
6000000003177532283		利重正室 本多 | 堀利重正室	本多	본다		
6000000003177547882		雅庸室 本多 | 飛鳥井雅庸室	本多	본다		
6000000003177556797		雅綱 飛鳥井 | 飛鳥井雅綱	雅綱 飛鳥井 飛鳥井雅綱	아강 비조정 비조정아강		
6000000003177570819		康紀正室 松平 | 本多康紀正室	松平	송평		
6000000003177604058		紀貞 本多 | 本多紀貞	紀貞 本多 本多紀貞	기정 본다 본다기정		
6000000003177619015		頼水 諏訪 | 諏訪頼水	頼水 諏訪 諏訪頼水	뇌수 추방 추방뇌수		
6000000003177620142		慶勝 遠藤 | 遠藤慶勝	慶勝 遠藤 遠藤慶勝	경승 원등 원등경승		
6000000003177691073		貞晴正室 本多 | 桑山貞晴正室	本多	본다		
6000000003177728996		雅経 飛鳥井 | 飛鳥井雅経	雅経 飛鳥井 飛鳥井雅経	아경 비조정 비조정아경		
6000000003177777365		雅孝 飛鳥井 | 飛鳥井雅孝(雅有養子)	雅孝 飛鳥井	아효 비조정		
6000000003177799031		顕雅 源 | 源顕雅	顕雅 源 源顕雅	현아 원 원현아		
6000000003177829246		雅親 飛鳥井 | 飛鳥井雅親	雅親 飛鳥井 飛鳥井雅親	아친 비조정 비조정아친		
6000000003177838261		雅清 飛鳥井 | 飛鳥井雅清	雅清 飛鳥井 飛鳥井雅清	아청 비조정 비조정아청		
6000000003177869206		雅家 飛鳥井 | 飛鳥井雅家	雅家 飛鳥井 飛鳥井雅家	아가 비조정 비조정아가		
6000000003177896006		雅縁 飛鳥井 | 飛鳥井雅縁	雅縁 飛鳥井 飛鳥井雅縁	아연 비조정 비조정아연		
6000000003177902064		難波頼経室 源 | 難波頼経室(源顕雅娘)	源	원		
6000000003177947827		信安 大蔵 | 大蔵信安	信安 大蔵 大蔵信安	신안 대장 대장신안		
6000000003178042605		忠成 越後長岡藩二代 牧野 | 牧野忠成(越後長岡藩二代)	忠成 越後長岡藩二代 牧野	충성 월후장강번이대 목야		
6000000003178160059		忠清室 大久保 | 牧野忠清室	大久保	대구보		
6000000003178190552		正重 半蔵 服部 | 服部半蔵正重	正重 半蔵 服部 服部半蔵正重	정중 반장 복부 복부반장정중		
6000000003178214725		正幸 服部 | 服部正幸	正幸 服部 服部正幸	정행 복부 복부정행		
6000000003178218028		新之丞 大久保 | 大久保新之丞	新之丞 大久保 大久保新之丞	신지승 대구보 대구보신지승		
6000000003178219599		長安正室 下間 | 大久保長安正室	下間	하간		
6000000003178235500		松尾 松平 | 松尾	松尾 松平 松尾	송미 송평 송미		
6000000003178253109		正重室 大久保 | 服部正重室	大久保	대구보		
6000000003178254408		正吉 服部 | 服部正吉	正吉 服部 服部正吉	정길 복부 복부정길		
6000000003178257335		正就 半蔵 服部 | 服部半蔵正就	正就 半蔵 服部 服部半蔵正就	정취 반장 복부 복부반장정취		
6000000003178264196		正辰 源右衛門 服部 | 服部源右衛門正辰	正辰 源右衛門 服部 服部源右衛門正辰	정진 원우위문 복부 복부원우위문정진		
6000000003178290281		正治 服部 | 服部正治	正治 服部 服部正治	정치 복부 복부정치		
6000000003178389252		氏利 戸田 | 戸田氏利	氏利 戸田 戸田氏利	씨이 호전 호전씨이		
6000000003178389369		常友 遠藤 | 遠藤常友	常友 遠藤 遠藤常友	상우 원등 원등상우		
6000000003178407973		勝直 南部 | 南部勝直	勝直 南部 南部勝直	승직 남부 남부승직		
6000000003178434274		貞長室 戸田 | 高木貞長室	戸田	호전		
6000000003178442201		常友正室 戸田 | 遠藤常友正室	戸田	호전		
6000000003178505777		重常正室 戸田 | 板倉重常正室	戸田	호전		
6000000003178614310		重郷 板倉 | 板倉重郷	重郷 板倉 板倉重郷	중향 판창 판창중향		
6000000003178622249		貞長 高木 | 高木貞長	貞長 高木 高木貞長	정장 고목 고목정장		
6000000003178646089		重常 板倉 | 板倉重常	重常 板倉 板倉重常	중상 판창 판창중상		
6000000003178664172		正休正室 板倉 | 堀田正休正室	板倉	판창		
6000000003178707036		重郷正室 酒井 | 板倉重郷正室	酒井	주정		
6000000003178779549		あぐり 正統院 酒井 | あぐり	正統院 酒井	정통원 주정		
6000000003178794069		正盛 堀田 | 堀田正盛	正盛 堀田 堀田正盛	정성 굴전 굴전정성		
6000000003178902804		泰通 稲葉 | 稲葉泰通	泰通 稲葉 稲葉泰通	태통 도엽 도엽태통		
6000000003178917234		正英 堀田 | 堀田正英	正英 堀田 堀田正英	정영 굴전 굴전정영		
6000000003179188321		安照 脇坂 | 脇坂安照	安照 脇坂 脇坂安照	안조 협판 협판안조		
6000000003179287008		正賓 堀田 | 堀田正賓	正賓 堀田 堀田正賓	정빈 굴전 굴전정빈		
6000000003179455546		長璉 市橋 | 市橋長璉	長璉 市橋 市橋長璉	장연 시교 시교장연		
6000000003179506738		菫通正室 有馬 | 稲葉菫通正室	有馬	유마		
6000000003179515260		信昌 中山 | 中山信昌	信昌 中山 中山信昌	신창 중산 중산신창		
6000000003179540689		谷衛広室 小出 | 谷衛広室(小出吉重娘)	小出	소출		
6000000003179580372		恒通正室 松平 | 稲葉恒通正室	松平	송평		
6000000003179767765		衛衝 谷 | 谷衛衝	衛衝 谷 谷衛衝	위충 곡 곡위충		
6000000003179823016		菫通 稲葉 | 稲葉菫通	菫通 稲葉 稲葉菫通	근통 도엽 도엽근통		
6000000003179847710		義都 佐竹 | 佐竹義都	義都 佐竹 佐竹義都	의도 좌죽 좌죽의도		
6000000003179879289		康広 小笠原 | 小笠原康広	康広 小笠原 小笠原康広	강광 소입원 소입원강광		
6000000003179880576		則維正室 谷 | 有馬則維正室	谷	곡		
6000000003179880912		佐竹義堅正室 谷 | 佐竹義堅正室(谷衛憑娘)	谷	곡		
6000000003179892095		衛広 谷 | 谷衛広	衛広 谷 谷衛広	위광 곡 곡위광		
6000000003179927644		酒井忠貫正室 谷 | 酒井忠貫正室(谷衛広娘)	谷	곡		
6000000003180109244		衛純 谷 | 谷衛純	衛純 谷 谷衛純	위순 곡 곡위순		
6000000003180182114		谷衛憑正室 大田原 | 谷衛憑正室(大田原典清娘)	大田原	대전원		
6000000003180207009		衛憑 谷 | 谷衛憑	衛憑 谷 谷衛憑	위빙 곡 곡위빙		
6000000003180210323		良好 山村 | 山村良好	良好 山村 山村良好	양호 산촌 산촌양호		
6000000003180273025		義堅 佐竹 | 佐竹義堅	義堅 佐竹 佐竹義堅	의견 좌죽 좌죽의견		
6000000003180403161		定則 蒔田 | 蒔田定則	定則 蒔田 蒔田定則	정칙 시전 시전정칙		
6000000003185966808		忠祇 松平 | 松平忠祇	忠祇 松平 松平忠祇	충기 송평 송평충기		
6000000003186031763		氏英正室 堀田 | 戸田氏英正室	堀田	굴전		
6000000003186046440		忠祇正室 堀田 | 松平忠祇正室	堀田	굴전		
6000000003186080400		忠刻 島原藩主 松平 | 松平忠刻	忠刻 島原藩主 松平 松平忠刻	충각 도원번주 송평 송평충각		
6000000003186118447		祥運院 堀田 | 祥運院	祥運院 堀田 祥運院	상운원 굴전 상운원		
6000000003186277964		助之正室 堀田 | 本多助之正室	堀田	굴전		
6000000003186385291		忠喜 大久保 | 大久保忠喜	忠喜 大久保 大久保忠喜	충희 대구보 대구보충희		
6000000003186431158		忠喜正室 堀田 | 大久保忠喜正室	堀田	굴전		
6000000003186520108		常子 京極 | 常子	常子 京極 常子	상자 경극 상자		
6000000003186533146		忠胤 大久保 | 大久保忠胤	忠胤 大久保 大久保忠胤	충윤 대구보 대구보충윤		
6000000003186570158		常春室 小林 | 小林氏	小林 小林氏	소임 소임씨		
6000000003186657820		詮央 間部 | 間部詮央	詮央 間部 間部詮央	전앙 간부 간부전앙		
6000000003186660431		政苗 内藤 | 内藤政苗	政苗 内藤 内藤政苗	정묘 내등 내등정묘		
6000000003186714481		浄鏡院 朽木 | 浄鏡院	浄鏡院 朽木 浄鏡院	정경원 후목 정경원		
6000000003186770041		綱方 朽木 | 朽木綱方	綱方 朽木 朽木綱方	강방 후목 후목강방		
6000000003186837004		菊子 間部	菊子 間部	국자 간부		
6000000003186857637		忠意 鳥居 | 鳥居忠意	忠意 鳥居 鳥居忠意	충의 조거 조거충의		
6000000003186859965		英貞 小出 | 小出英貞	英貞 小出 小出英貞	영정 소출 소출영정	その もとたか	
6000000003186860393		茲政側室 水崎 | 水崎氏	水崎 水崎氏	수기 수기씨		
6000000003186866643		覚知院 宗 | 覚知院	覚知院 宗 覚知院	각지원 종 각지원		
6000000003186896651		万吉 亀井 | 亀井万吉	万吉 亀井 亀井万吉	만길 구정 구정만길		
6000000003186911570		虎子 鳥居	虎子 鳥居	호자 조거		
6000000003186940445		茲親 亀井 | 亀井茲親	茲親 亀井 亀井茲親	자친 구정 구정자친		
6000000003187009817		英持正室 板倉 | 小出英持正室	板倉	판창		
6000000003187032065		茲親養女 亀井 | 亀井茲親養女	亀井	구정		
6000000003187066828		重泰正室 水野 | 板倉重泰正室	水野	수야		
6000000003187069030		茲長 亀井 | 亀井茲長	茲長 亀井 亀井茲長	자장 구정 구정자장		
6000000003187070622		伊織 亀井 | 亀井伊織	伊織 亀井 亀井伊織	이직 구정 구정이직		
6000000003187079728		茄之助 亀井 | 亀井茄之助	茄之助 亀井 亀井茄之助	가지조 구정 구정가지조		
6000000003187090426		英持 小出 | 小出英持	英持 小出 小出英持	영지 소출 소출영지		
6000000003187090706		英貞正室 松平 | 小出英貞正室	松平	송평		
6000000003187095235		茲満 亀井 | 亀井茲満	茲満 亀井 亀井茲満	자만 구정 구정자만		
6000000003187121604		重寛正室 亀井 | 板倉重寛正室	亀井	구정		
6000000003187138066		定好 菅沼 | 菅沼定好	定好 菅沼 菅沼定好	정호 관소 관소정호		
6000000003187155290		忠直 水野 | 水野忠直	忠直 水野 水野忠直	충직 수야 수야충직		
6000000003187157082		重泰 板倉 | 板倉重泰	重泰 板倉 板倉重泰	중태 판창 판창중태		
6000000003187159384		直泰養女 一柳 | 加藤直泰養女 | 直泰養女	一柳	일유		
6000000003187178986		重矩正室 小出 | 板倉重矩正室	小出	소출		
6000000003187212141		重寛 板倉 | 板倉重寛	重寛 板倉 板倉重寛	중관 판창 판창중관		
6000000003187223218		重種 板倉 | 板倉重種	重種 板倉 板倉重種	중종 판창 판창중종		
6000000003187227676		直次 一柳 | 一柳直次	直次 一柳 一柳直次	직차 일유 일유직차		
6000000003187243642		直家 一柳 | 一柳直家	直家 一柳 一柳直家	직가 일유 일유직가		
6000000003187280371		重矩 板倉 | 板倉重矩	重矩 板倉 板倉重矩	중구 판창 판창중구		
6000000003187298396		直次正室 一柳 | 一柳直次正室	一柳	일유		
6000000003187380525		重昌室 林 | 板倉重昌室	林	임		
6000000003187400752		吉定 林 | 林吉定	吉定 林 林吉定	길정 임 임길정		
6000000003187495073		重昌 板倉 | 板倉重昌	重昌 板倉 板倉重昌	중창 판창 판창중창		
6000000003187546573		板倉好重室 本多 | 板倉好重室(本多光次娘)	本多	본다		
6000000003187582824		好重 板倉 | 板倉好重	好重 板倉 板倉好重	호중 판창 판창호중		
6000000003187657053		勝重室 粟生 | 板倉勝重室	粟生	속생		
6000000003187683001		永勝 粟生 | 粟生永勝	永勝 粟生 粟生永勝	영승 속생 속생영승		
6000000003187697903		信宝 織田 | 織田信宝	信宝 織田 織田信宝	신보 직전 직전신보		
6000000003187711635		頼徳 松平 | 松平頼徳	頼徳 松平 松平頼徳	뇌덕 송평 송평뇌덕		
6000000003187748527		鎮子 池田 | 池田鎮子	鎮子 池田 池田鎮子	진자 지전 지전진자		
6000000003187780131		信成 織田 | 織田信成	信成 織田 織田信成	신성 직전 직전신성		
6000000003187782326		定常 池田 | 池田定常	定常 池田 池田定常	정상 지전 지전정상		
6000000003187789933		よね 西村 | 西村よね | よね	西村	서촌		
6000000003187817870		英発正室 松平 | 小出英発正室	松平	송평		
6000000003187821302		康敬 松平 | 松平康敬	康敬 松平 松平康敬	강경 송평 송평강경		
6000000003187822633		康郷 金七郎 松平 | 松平金七郎康郷	康郷 金七郎 松平 松平金七郎康郷	강향 금칠낭 송평 송평금칠낭강향		
6000000003187824451		松平康道室 五島 | 松平康道室(五島盛道娘)	五島	오도		
6000000003187850088		頼徳継室 小出 | 松平頼徳継室	小出	소출		
6000000003187850379		康道 松平 | 松平康道	康道 松平 松平康道	강도 송평 송평강도		
6000000003187856211		英筠 小出 | 小出英筠	英筠 小出 小出英筠	영균 소출 소출영균	その もとしげ	
6000000003187857585		康任 松平 | 松平康任	康任 松平 松平康任	강임 송평 송평강임		
6000000003187865503		房長 前田 | 前田房長	房長 前田 前田房長	방장 전전 전전방장		
6000000003187897112		康任正室 松平 | 松平康任正室	松平	송평		
6000000003187897156		盛道 五島 | 五島盛道	盛道 五島 五島盛道	성도 오도 오도성도		
6000000003187947294		英常 小出 | 小出英常	英常 小出 小出英常	영상 소출 소출영상		
6000000003187970114		英常継室 井伊 | 小出英常継室	井伊	정이		
6000000003187977139		英筠正室 松平 | 小出英筠正室	松平	송평		
6000000003187987340		光和 西村 | 西村光和	光和 西村 西村光和	광화 서촌 서촌광화		
6000000003187998843		貞彰 片桐 | 片桐貞彰	貞彰 片桐 片桐貞彰	정창 편동 편동정창		
6000000003188048785		貞彰正室 水野 | 片桐貞彰正室	水野	수야		
6000000003188056806		忠輝 水野 | 水野忠輝	忠輝 水野 水野忠輝	충휘 수야 수야충휘		
6000000003188058205		宗恒 浅野 | 浅野宗恒	宗恒 浅野 浅野宗恒	종항 천야 천야종항		
6000000003188083356		忠辰正室 本多 | 水野忠辰正室	本多	본다		
6000000003188085192		忠鼎 水野 | 水野忠鼎	忠鼎 水野 水野忠鼎	충정 수야 수야충정		
6000000003188114111		忠辰 水野 | 水野忠辰	忠辰 水野 水野忠辰	충진 수야 수야충진		
6000000003188117292		可安 井上 | 井上可安	可安 井上 井上可安	가안 정상 정상가안		
6000000003188132268		忠輝正室 井上 | 水野忠輝正室	井上	정상		
6000000003188135103		忠良 本多 | 本多忠良	忠良 本多 本多忠良	충양 본다 본다충양		
6000000003188135116		忠之 水野 | 水野忠之	忠之 水野 水野忠之	충지 수야 수야충지		
6000000003188137013		忠任養女 水野 | 水野忠任養女	水野	수야		
6000000003188146748		義苗室 牧野 | 大島義苗室	牧野	목야		
6000000003188182697		忠英 本多 | 本多忠英	忠英 本多 本多忠英	충영 본다 본다충영		
6000000003188201180		政勝側室 服部 | 服部氏	服部 服部氏	복부 복부씨		
6000000003188226852		貴 徳川 | 貴姫	貴 徳川 貴姫	귀 덕천 귀진		
6000000003188249001		忠良正室 本多 | 本多忠良正室(政利娘)	本多	본다		
6000000003188272089		吉長 浅野 | 浅野吉長	吉長 浅野 浅野吉長	길장 천야 천야길장		
6000000003188274513		貞音 片桐 | 片桐貞音	貞音 片桐 片桐貞音	정음 편동 편동정음		
6000000003188277434		節 前田 | 節姫	節 前田 節姫	절 전전 절진		
6000000003188300286		甚兵衛 吉田 | 吉田甚兵衛	甚兵衛 吉田 吉田甚兵衛	심병위 길전 길전심병위		
6000000003188348423		貞尚室 松田 | 松田貞尚室(重政娘)	松田	송전		
6000000003188382040		片桐貞音正室 木下 | 片桐貞音正室(木下公福娘)	木下	목하		
6000000003188392383		貞尚 松田 | 松田貞尚	貞尚 松田 松田貞尚	정상 송전 송전정상		
6000000003188398121		貞起 片桐 | 片桐貞起	貞起 片桐 片桐貞起	정기 편동 편동정기		
6000000003188409099		片桐貞起室 上田 | 片桐貞起室(上田勘解由娘)	上田	상전		
6000000003188436115		貞房 片桐 | 片桐貞房	貞房 片桐 片桐貞房	정방 편동 편동정방		
6000000003188572029		政勝正室 有馬 | 本多政勝正室	有馬	유마		
6000000003188572141		直純 有馬 | 有馬直純	直純 有馬 有馬直純	직순 유마 유마직순		
6000000003188589034		マルタ 小西 | 小西マルタ | マルタ	小西	소서		
6000000003188598015		国 本多 | 国姫	国 本多 国姫	국 본다 국진		
6000000003188601118		晴純 有馬 | 有馬晴純	晴純 有馬 有馬晴純	청순 유마 유마청순		
6000000003188733653		貞経正室 小出 | 片桐貞経正室	小出	소출		
6000000003188759792		建顕 田村 | 田村建顕	建顕 田村 田村建顕	건현 전촌 전촌건현		
6000000003188787573		英陳 小出 | 小出英陳	英陳 小出 小出英陳	영진 소출 소출영진		
6000000003188790869		正成 成瀬 | 成瀬正成	正成 成瀬 成瀬正成	정성 성뇌 성뇌정성		
6000000003188804575		之虎 成瀬 | 成瀬之虎	之虎 成瀬 成瀬之虎	지호 성뇌 성뇌지호		
6000000003188811571		重高 板倉 | 板倉重高	重高 板倉 板倉重高	중고 판창 판창중고		
6000000003188816290		英雄 小出 | 小出英雄	英雄 小出 小出英雄	영웅 소출 소출영웅		
6000000003188819457		成瀬正成室 森川 | 成瀬正成室(森川氏俊娘)	森川	삼천		
6000000003188845103		英知正室 成瀬 | 小出英知正室	成瀬	성뇌		
6000000003188846273		板倉重高側室 安田 | 板倉重高側室(安田氏)	安田	안전		
6000000003188855070		英治 小出 | 小出英治	英治 小出 小出英治	영치 소출 소출영치		
6000000003188855837		正敬 内藤 | 内藤正敬	正敬 内藤 内藤正敬	정경 내등 내등정경		
6000000003188870062		英知側室 山崎 | 山崎氏	山崎 山崎氏	산기 산기씨		
6000000003188879304		重高正室 山内 | 板倉重高正室	山内	산내		
6000000003188884123		氏利正室 小出 | 戸田氏利正室	小出	소출		
6000000003188887259		近栄養女 田村 | 松平近栄養女 | 近栄養女	田村	전촌		
6000000003188891581		正敬正室 板倉 | 内藤正敬正室	板倉	판창		
6000000003189517853		正一 成瀬 | 成瀬正一	正一 成瀬 成瀬正一	정일 성뇌 성뇌정일		
6000000003189839921		正章 成瀬 | 成瀬正章	正章 成瀬 成瀬正章	정장 성뇌 성뇌정장		
6000000003189924845		正武 成瀬 | 成瀬正武	正武 成瀬 成瀬正武	정무 성뇌 성뇌정무		
6000000003189992753		正成継室 本多 | 成瀬正成継室	本多	본다		
6000000003190065819		正信 半太夫 成瀬 | 成瀬半太夫正信	正信 半太夫 成瀬 成瀬半太夫正信	정신 반태부 성뇌 성뇌반태부정신		
6000000003190103760		正一正室 熊谷 | 成瀬正一正室	熊谷	웅곡		
6000000003190161663		治部左衛門 金丸 | 金丸治部左衛門	治部左衛門 金丸 金丸治部左衛門	치부좌위문 금환 금환치부좌위문		
6000000003190194619		正勝 成瀬 | 成瀬正勝	正勝 成瀬 成瀬正勝	정승 성뇌 성뇌정승		
6000000003190204303		重宗正室 成瀬 | 板倉重宗正室	成瀬	성뇌		
6000000003190288721		正親 成瀬 | 成瀬正親	正親 成瀬 成瀬正親	정친 성뇌 성뇌정친		
6000000003190288746		直龍 寺屋 | 寺屋直龍	直龍 寺屋 寺屋直龍	직용 사옥 사옥직용		
6000000003190301478		吉正 成瀬 | 成瀬吉正	吉正 成瀬 成瀬吉正	길정 성뇌 성뇌길정		
6000000003190336183		正虎 成瀬 | 成瀬正虎	正虎 成瀬 成瀬正虎	정호 성뇌 성뇌정호		
6000000003190403238		於仙 伊東 | 於仙	於仙 伊東 於仙	어선 이동 어선		
6000000003190407295		宗好 日下部 | 日下部宗好	宗好 日下部 日下部宗好	종호 일하부 일하부종호		
6000000003190429735		志水忠継室 成瀬 | 志水忠継室(成瀬正虎娘)	成瀬	성뇌		
6000000003190444403		正一継室 倉鹿野 | 倉賀野氏	倉鹿野 倉賀野氏	창녹야 창하야씨		
6000000003190445526		重勝室 成瀬 | 金森重勝室	成瀬	성뇌		
6000000003190462029		正一継室 山上 | 山上氏	山上 山上氏	산상 산상씨		
6000000003190462042		宗好正室 成瀬 | 日下部宗好正室	成瀬	성뇌		
6000000003190476997		基久 成瀬 | 成瀬基久	基久 成瀬 成瀬基久	기구 성뇌 성뇌기구		
6000000003190486832		正則 成瀬 | 成瀬正則	正則 成瀬 成瀬正則	정칙 성뇌 성뇌정칙		
6000000003190488939		長治 関 | 関長治	長治 関 関長治	장치 관 관장치		
6000000003190491790		忠継 志水 | 志水忠継	忠継 志水 志水忠継	충계 지수 지수충계		
6000000003190513850		正惟 大和守 成瀬 | 成瀬大和守正惟	正惟 大和守 成瀬 成瀬大和守正惟	정유 대화수 성뇌 성뇌대화수정유		
6000000003190525938		尚泰 松平 | 松平尚泰	尚泰 松平 松平尚泰	상태 송평 송평상태		
6000000003190580475		重大正室 成瀬 | 板倉重大正室	成瀬	성뇌		
