qid	geni_id
Q12278990	302204346420006438
Q12284966	6000000012691500697
Q12285131	6000000041324454927
Q12285173	6000000041231837264
Q12295991	6000000001501029613
Q12300943	6000000001519116433
Q12319909	6000000015115823265
Q12363134	6000000007602857711
Q12598947	6000000186285688286
Q12874612	6000000006101234295
Q12981477	6000000025112067876
Q13049838	6000000015863392432
Q13567887	6000000015423628089
Q14917577	6000000007258389936
Q15057415	6000000015337221970
Q15069149	6000000007320896789
Q15079473	6000000037259458193
Q15118568	6000000009237318143
Q15221084	6000000006127223596
Q15378578	6000000006444136849
Q15557352	6000000008116263313
Q15694989	6000000181780099839
Q15695146	6000000009843993807
Q15711188	6000000012763029334
Q15833896	6000000017514695637
Q15845368	6000000013228338305
Q15965620	6000000033097096166
Q16121272	6000000011667059305
Q16124683	6000000002307392273
Q16158291	6000000151342598061
Q16161266	6000000174174597293
Q16170625	6000000026122456049
Q16206914	6000000035615176558
Q16206992	6000000025583646241
Q16408094	6000000018909078351
Q16466645	6000000023025260921
Q16555509	6000000022276166225
Q16574259	6000000095245666916
Q16590419	6000000021441996908
Q16617598	6000000007016191767
Q16639111	6000000002188261622
Q16649267	6000000002063115439
Q16649517	6000000007548056402
Q16649829	6000000006127484093
Q16649875	6000000014934914202
Q16649961	6000000018985534304
Q16650170	6000000028475780607
Q16851600	6000000156421848833
Q16863793	6000000011789536603
Q16866639	6000000006444298894
Q17031639	6000000041031202042
Q17319639	6000000019772400748
Q17362772	6000000087038856861
Q17380093	6000000012821381729
Q17993573	6000000023003762827
Q18028984	6000000188494434823
Q18171573	6000000026201036697
Q18214782	6000000007274283215
Q18237358	6000000019928138697
Q18237362	6000000027449167690
Q18237366	6000000027358970033
Q18238650	6000000026369681304
Q18397598	6000000022860990118
Q18577248	6000000000152491239
Q18593060	6000000014642294104
Q18613031	6000000031884893247
Q18672779	6000000003051231404
Q18674287	4389986497370062510
Q18683936	6000000040345347544
Q18748299	6000000002187855294
Q18761937	6000000021414590954
Q18944165	6000000000841185274
Q19060571	6000000081603859272
Q19325685	6000000027775449638
Q19678400	6000000007286110282
Q19750490	6000000013224934575
Q19851830	6000000039073624528
Q19976772	6000000018625507007
Q19976845	6000000005774368518
Q19984708	6000000015211209683
Q20003478	6000000002187820623
Q20100264	6000000010669428008
Q20250108	6000000009014627733
Q20498971	6000000002187818470
Q20725516	6000000006274858406
Q20732053	6000000015137126039
Q20816949	6000000006257821174
Q21003752	6000000002188005625
Q21004273	6000000003714487380
Q21008966	6000000015986262990
Q21055295	6000000000129397244
Q21093951	6000000018211121477
Q21100240	6000000011050565707
Q21105949	6000000006727873834
Q21116363	6000000015652647538
Q21166243	6000000002115875355
Q21508077	6000000002450172130
Q22329037	6000000007848801625
Q22337677	6000000034766738728
Q22674506	6000000001789021838
Q22674712	6000000001500841530
Q22678394	6000000003243489447
Q22678444	6000000003827791675
Q22976203	6000000017504436449
Q22979270	6000000113310649834
Q23017416	6000000175145088445
Q23771011	6000000015873081347
Q23930942	6000000001744971918
Q23930953	6000000003962400680
Q24307423	6000000002187829920
Q24878983	6000000007167514905
Q24879230	6000000006986415134
Q25355502	6000000008686001409
Q25370462	6000000002797429054
Q25451348	6000000007314101475
Q25487209	6000000006727820249
Q26239902	6000000008979112162
Q26813209	6000000008485882320
Q26959917	6000000009665780773
Q26959922	6000000003827477230
Q27102470	6000000000161626571
Q27825482	6000000217701543909
Q27835159	6000000014818894769
Q28006728	6000000003828302118
Q28056821	6000000002187887641
Q28374049	6000000108377333949
Q28374110	6000000109503921128
Q28409803	6000000002848066261
Q28940093	6000000017690820213
Q29246906	342026151920011851
Q29401074	6000000009687265753
Q30186306	6000000008736074142
Q30879127	6000000002188395192
Q31181694	6000000007337390586
Q31191456	6000000015662377687
Q31191493	6000000028711363793
Q31191593	6000000003827467150
Q31191910	6000000014783964669
Q31900316	6000000012672773645
Q38156577	6000000011604374639
Q40300554	6000000011288085884
Q40686243	6000000000034930234
Q42656745	6000000013538893135
Q42846888	6000000026106957516
Q42899214	6000000022783283306
Q43261256	6000000171966784171
