sha,category,bytes,copies,example_path
db222d4f3397dea2c79017f9bacc122d9fdcdd98,Facebook like-button frame,30814,1,paths_for_wikidata_isolates/Geni - Francisco Caldeira Cabral (1908-1992)- Coimbra_files/like.html
0d84095429e01326f4ac6fe7dc2bc8f73723eb0b,Facebook like-button frame,30811,1,paths_for_wikidata_isolates/Geni - Erik Oscar von Kraemer (1911-1980)_files/like.html
56c4cef598b984aaf4be1d816a1fde0f57cb5449,Facebook like-button frame,30811,1,paths_for_wikidata_isolates/Geni - Prof. Dr. August Maria Leopold Karl Knoll (1900-1963)- Wien_files/like.html
9e23c6d7cbf61b523d37ae9eb6d302f2aa043d78,Facebook like-button frame,30810,1,paths_for_wikidata_isolates/Geni - Samuel Karl Anders Wide (Pettersson) (1861-1918)- Uppsala_files/like.html
de7063670c265ea0ab3ad80816d23bd40b4f8f73,Facebook like-button frame,30809,1,paths_for_wikidata_isolates/Geni - Karl Frithiof Sundman (1873-1949)- Helsinki_files/like.html
3071a77a4231bce90761ae03a700872e4d6283a2,Facebook like-button frame,30807,1,"paths_for_wikidata_isolates/Geni - Carlo della Torre di Rezzonico, Pope Clemente Xlll (1693-1769)- Rome_files/like.html"
7e71a3a7c4b5a16af6ff89e639c66a4af154b654,Facebook like-button frame,30807,1,paths_for_wikidata_isolates/Geni - Carlo Giacinto Antonio Pignatelli (1615-1700)- Rome_files/like.html
b381c734d7d9afbbae5b90cf77f8ea9eb69c9121,Facebook like-button frame,30807,1,"paths_for_wikidata_isolates/Geni - Prof. Richard MacGillivray Dawkins, FBA (1871-1955)- Oxford_files/like.html"
e07a79bded0d1a63b11e5bac0b745a05519339f3,Facebook like-button frame,30807,1,paths_for_wikidata_isolates/Geni - Vincenzo Francesco Maria Errante (1890-1951)_files/like.html
361634392863240727a17cbf45f82e87f8b29c68,Facebook like-button frame,30806,1,paths_for_wikidata_isolates/Geni - Sigurd Some Sørensen (1889-1984)- Copenhagen_files/like.html
fdc2bdbef428ad6ba19e0eb0a95583d4f3519c86,Facebook like-button frame,30806,1,paths_for_wikidata_isolates/Geni - Ernst Ensio Kivikoski (Stenfors) (1891-1973)- Helsinki_files/like.html
1a14344277c275e2a918a54ea0f7528541df9aec,Facebook like-button frame,30805,1,paths_for_wikidata_isolates/Geni - Unto Uuno Uotila (1910-1977)- Helsinki_files/like.html
4dd906cd65d7a3a1a3190c719a9b12b3d5ba0abe,Facebook like-button frame,30802,1,paths_for_wikidata_isolates/Geni - Johan Severin Axell (1843-1892)- Wiesbaden_files/like.html
aea2cb9854556a6fb4827bc065ee115df8ba1753,Facebook like-button frame,30802,1,paths_for_wikidata_isolates/Geni - Birgit Vennesland (1913-2001)_files/like.html
7d353289a38c71820dce87fe0391b037eb36f507,Facebook like-button frame,30801,1,paths_for_wikidata_isolates/Geni - Andreas Bauer (1590-1638)- Leipzig_files/like.html
8a5228ab6c78304b3e165da4700acab4d0096f17,Facebook like-button frame,30801,1,paths_for_wikidata_isolates/Geni - Nils Olof Holst (1846-1918)_files/like.html
8c06a304ce95aadbf871bc82b53a698a719df4e6,Facebook like-button frame,30801,1,paths_for_wikidata_isolates/Geni - Lorenzo Corsini (1652-1740)- Rome_files/like.html
9caeacc87c3439974726dc6e06eb64b5765778a6,Facebook like-button frame,30801,1,paths_for_wikidata_isolates/Geni - Erling Christophersen (1898-1994)- Oslo_files/like.html
