qid	label	faults	statements
Q6001555	Carl Claes Mörner	-	25
Q6001589	Carl Stellan Mörner	-	38
Q6001608	Hampus Mörner	-	26
Q6014779	Otto Henrik Nordenskjöld	-	58
Q6015181	Carl Johan af Nordin	-	50
Q6034157	Otto Palmstierna	-	62
Q6045829	Thore Petre	-	37
Q6057321	Olof Pryss	-	30
Q6060350	Lars Georg Rabenius	-	41
Q6060365	Olof Ingelsson Rabenius	-	38
Q6066129	Johan Martin Reftelius	no relationship at all	30
Q6070068	Fredrik Ribbing	-	46
Q6079124	Axel von Rosen	-	47
Q6079275	Gustaf Fredrik von Rosen (1758–1815)	-	41
Q6079637	Elof Rosenblad	-	25
Q6079648	Nils Rosenblad (1749–1827)	-	14
Q6080164	Nils von Rosenstein	-	74
Q6082455	Thure Gustaf Rudbeck	-	65
Q6082697	Torsten Rudenschöld	-	38
Q6092385	Gösta Sandels (konstnär)	-	69
Q6092396	Karl Sandels	no relationship at all	37
Q6092404	August Sandels	-	51
Q6145888	Georg Ludvig von Köhler	-	15
Q6158199	Erik Odelstierna (1661–1704)	-	25
Q6161733	Carl Fredrik Piper (1700–1770)	-	56
Q6166560	Åke Rålamb	-	43
Q6170263	Fredrik Bogislaus von Schwerin	-	58
Q6175446	Anders Sidner (musiker)	-	23
Q6175928	Aron Gustaf Silfversparre	-	29
Q6175942	David Wilhelm Silfverstolpe	-	24
Q6175945	Fredrik Otto Silfverstolpe	-	40
Q6184896	Carl Georg Sparre	-	32
Q6184934	Eric Samuel Sparre	-	34
Q6185927	Jakob Wilhelm Sprengtporten	-	54
Q6188777	Arvid Nils Stenbock	-	32
Q6190771	Emil Stjernvall-Walleen	-	44
Q6193512	Fredrik Georg Strömfelt	-	42
Q6197518	Svantepolk of Viby	-	25
Q6197780	Wilhelm Erik Svedelius	-	59
Q6206392	Fredrik Tersmeden (militär)	-	43
Q6206408	Jacob Johan Tersmeden	-	14
Q6206421	Lars Gustaf Tersmeden	-	21
Q6206425	Per Reinhold Tersmeden (1751–1842)	-	26
Q6218068	Carl Petter Törnebladh	-	27
Q6218214	Michael Törnflycht	-	39
Q6218220	Olof Törnflycht	-	42
Q6229400	Elias von Walcker	no relationship at all	8
Q6235986	Carl Gustaf Wennerstedt	-	42
Q6240337	Per Henrik Widmark	-	33
Q6255155	Gustaf Fredrik Åkerhielm	-	35
Q6330080	Elof Steuch	-	24
Q633094	Johannes Bureus	-	77
Q657814	Hans Henric von Essen (1755–1824)	-	88
Q692994	Henric Benzelius	-	71
Q717179	Arvid Horn	-	107
Q719983	Johan Ihre	-	97
Q763053	Henning Adolf Gyllenborg	-	57
Q792307	Axel Otto Mörner	-	73
Q805827	Baltzar von Platen (1898–1984)	-	39
Q821990	Christopher Jacob Boström	-	78
Q900478	Wilhelm Hisinger	-	74
Q919247	Eberhard of Friuli	-	58
Q930758	Carl von Rosenstein	-	77
Q932770	Gustaf von Paykull	-	91
Q943803	Uno von Troil	-	93
