qid,our_token,kind,bearers,missing,n_missing,mul,en,ja,zh
Q21507570,Considine,family,6,zh,1,Considine,Considine,コンシダイン,
Q21513119,Lundberg,family,6,mul,1,,Lundberg,ルンドベリ,伦德伯格
Q37563396,Taillefer,family,6,ja,1,Taillefer,Taillefer,,泰尔弗
Q32856130,Buchmann,family,6,mul ja,2,,Buchmann,,布赫曼
Q16674157,Munson,family,6,mul ja,2,,Munson,,曼森
Q27892790,Heggelund,family,6,mul ja zh,3,,Heggelund,,
Q37530845,Bledsoe,family,6,zh,1,Bledsoe,Bledsoe,ブレッドソー,
Q21448028,Godunov,family,6,ja zh,2,Godunov,Godunov,,
Q37445339,Persia,family,6,ja zh,2,Persia,Persia,,
Q15043039,Rufus,family,6,zh,1,Rufus,Rufus,ルフス,
Q114614938,Massimo,family,6,ja zh,2,Massimo,Massimo,,
Q21510960,Malmberg,family,6,ja,1,Malmberg,Malmberg,,马姆伯格
Q21492353,Broberg,family,6,ja zh,2,Broberg,Broberg,,
Q1355692,Funk,family,6,zh,1,Funk,Funk,フンク,
Q37449233,Clopton,family,6,ja zh,2,Clopton,Clopton,,
Q37431674,Fincham,family,6,ja,1,Fincham,Fincham,,芬查姆
Q27876739,Norén,family,6,mul ja zh,3,,Norén,,
Q37046081,Catlin,family,6,ja zh,2,Catlin,Catlin,,
Q28763332,Stryker,family,6,mul zh,2,,Stryker,ストライカー,
Q21502152,Glinski,family,6,ja zh,2,Glinski,Glinski,,
Q30098118,Salvesen,family,6,ja,1,Salvesen,Salvesen,,萨尔维森
Q105498343,Bischoffsheim,family,6,ja,1,Bischoffsheim,Bischoffsheim,,比肖夫斯海姆
Q21482502,Bochner,family,6,ja zh,2,Bochner,Bochner,,
Q26973097,Kauffmann,family,6,ja,1,Kauffmann,Kauffmann,,考夫曼
Q37547050,Neuburg,family,6,mul ja zh,3,,Neuburg,,
Q83347356,Eberty,family,6,ja zh,2,Eberty,Eberty,,
Q24706860,Lublin,family,6,ja zh,2,Lublin,Lublin,,
Q21482836,Michiels,family,6,ja,1,Michiels,Michiels,,米希尔斯
Q35153999,Muhr,family,6,mul,1,,Muhr,ムアー,穆尔
Q37194313,Crantz,family,6,ja zh,2,Crantz,Crantz,,
Q37266442,Lowder,family,6,zh,1,Lowder,Lowder,ラウダー,
Q14634564,Burbank,family,6,mul,1,,Burbank,バーバンク,伯班克
Q16882481,Sadler,family,6,zh,1,Sadler,Sadler,サドラー,
Q38898385,Ommundsen,family,6,ja zh,2,Ommundsen,Ommundsen,,
Q37086008,Bragança,family,6,mul ja,2,,Bragança,,布拉干卡
Q29570353,Skragge,family,6,mul ja zh,3,,Skragge,,
Q36914031,Prudden,family,6,mul ja zh,3,,Prudden,,
Q37464035,Riber,family,6,zh,1,Riber,Riber,リベル,
Q21450629,Andreasson,family,6,ja,1,Andreasson,Andreasson,,安德烈亚松
Q122836221,Gabrielsdatter,family,6,mul ja zh,3,,Gabrielsdatter,,
Q16876312,Maldonado,family,6,mul,1,,Maldonado,マルドナド,马尔多纳多
Q1640039,Hellmann,family,6,mul zh,2,,Hellmann,ヘルマン,
Q27132293,Boberg,family,6,mul ja zh,3,,Boberg,,
Q37302249,Tyszkiewicz,family,6,ja zh,2,Tyszkiewicz,Tyszkiewicz,,
Q66661616,Sayn,family,6,mul ja zh,3,,Sayn,,
Q106120897,Regenstein,family,6,ja zh,2,Regenstein,Regenstein,,
Q16837841,Friedberg,family,6,ja,1,Friedberg,Friedberg,,弗里德伯格
Q18515508,Luci,family,6,mul ja,2,,Luci,,卢奇
Q29654361,Stokke,family,6,mul ja,2,,Stokke,,斯托克
Q16869877,Eyton,family,6,ja zh,2,Eyton,Eyton,,
Q112572256,Meyerbeer,family,6,mul ja zh,3,,Meyerbeer,,
Q25273085,Ramel,family,6,ja zh,2,Ramel,Ramel,,
Q21482853,Botts,family,6,zh,1,Botts,Botts,ボッツ,
Q37523832,Mathiason,family,6,ja zh,2,Mathiason,Mathiason,,
Q37497423,Shard,family,6,ja zh,2,Shard,Shard,,
Q16884661,Thrasher,family,6,ja zh,2,Thrasher,Thrasher,,
Q16863020,Hadland,family,6,zh,1,Hadland,Hadland,ハドランド,
Q42293729,Strömfelt,family,6,ja zh,2,Strömfelt,Strömfelt,,
Q93761587,Stettheimer,family,6,ja zh,2,Stettheimer,Stettheimer,,
Q124150461,Leijonhufvud,family,6,ja zh,2,Leijonhufvud,Leijonhufvud,,
Q37318167,Knoff,family,6,ja zh,2,Knoff,Knoff,,
Q30510706,Vennesland,family,6,mul ja zh,3,,Vennesland,,
Q7577295,Spilman,family,6,ja zh,2,Spilman,Spilman,,
Q90581841,Golitsyna,family,6,mul ja zh,3,,Golitsyna,,
Q16865736,Cooley,family,6,zh,1,Cooley,Cooley,クーリー,
Q74087661,Simmern,family,6,ja zh,2,Simmern,Simmern,,
Q106907497,Moravia,family,6,ja zh,2,Moravia,Moravia,,
Q30083262,Lystad,family,6,mul ja zh,3,,Lystad,,
Q36945665,Fobes,family,6,mul ja zh,3,,Fobes,,
Q27887723,Filipsson,family,6,zh,1,Filipsson,Filipsson,フィリップソン,
Q37174448,Heilbrunn,family,6,ja zh,2,Heilbrunn,Heilbrunn,,
Q56245102,Homburger,family,6,ja zh,2,Homburger,Homburger,,
Q2259147,Schönfeld,family,6,ja,1,Schönfeld,Schönfeld,,舍恩菲尔德
Q49418041,Haurowitz,family,6,ja zh,2,Haurowitz,Haurowitz,,
Q53848242,Wijnbladh,family,6,ja zh,2,Wijnbladh,Wijnbladh,,
Q23639337,Stange,family,6,mul ja zh,3,,Stange,,
Q16865161,Bunge,family,6,ja zh,2,Bunge,Bunge,,
Q16872123,Lichtenstein,family,6,zh,1,Lichtenstein,Lichtenstein,リキテンスタイン,
Q16873931,Obermeyer,family,6,mul ja zh,3,,Obermeyer,,
Q36858204,Sneyd,family,6,mul ja zh,3,,Sneyd,,
Q45374454,Fredberg,family,6,ja zh,2,Fredberg,Fredberg,,
Q28819302,Woody,family,6,mul ja zh,3,,Woody,,
Q923674,Brockenbrough,family,6,ja zh,2,Brockenbrough,Brockenbrough,,
Q83501178,Hartogs,family,6,ja zh,2,Hartogs,Hartogs,,
Q21510644,Vilain,family,6,ja zh,2,Vilain,Vilain,,
Q96030350,Moryson,family,6,mul ja zh,3,,Moryson,,
Q37553238,Minden,family,6,zh,1,Minden,Minden,ミンデン,
Q5302329,Doust,family,6,ja zh,2,Doust,Doust,,
Q21494336,Elkan,family,6,ja,1,Elkan,Elkan,,埃尔肯
Q21493672,Wurmser,family,6,ja zh,2,Wurmser,Wurmser,,
Q21504827,Elizondo,family,6,ja,1,Elizondo,Elizondo,,埃利松多
Q37531876,Valdes,family,6,mul,1,,Valdes,バルデス,巴尔德斯
Q35029465,Skaktavl,family,6,mul ja zh,3,,Skaktavl,,
Q30079648,Lindeland,family,6,mul ja zh,3,,Lindeland,,
Q37507164,Vinall,family,6,ja,1,Vinall,Vinall,,维纳勒
Q30134792,Ås,family,6,mul ja zh,3,,Ås,,
Q100435854,de Alvarado,family,6,ja zh,2,De Alvarado,De Alvarado,,
Q106118814,Knina,family,6,ja zh,2,Knina,Knina,,
Q5314694,Dunch,family,6,ja zh,2,Dunch,Dunch,,
Q37538161,Berend,family,6,zh,1,Berend,Berend,ベレント,
Q16479342,Alderton,family,6,ja zh,2,Alderton,Alderton,,
Q106119298,Lekisch,family,6,ja zh,2,Lekisch,Lekisch,,
Q18396954,Høiland,family,6,ja zh,2,Høiland,Høiland,,
Q119619701,de Noé,family,6,ja zh,2,de Noé,de Noé,,
Q8028169,Witherspoon,family,6,ja,1,Witherspoon,Witherspoon,,威瑟斯庞
Q21493794,Speier,family,6,zh,1,Speier,Speier,スパイアー,
Q47482987,Pors,family,6,ja,1,Pors,Pors,,波尔斯
Q92096104,Henckel von Donnersmarck,family,6,mul ja zh,3,,Henckel von Donnersmarck,,
Q24085417,Malafaia,family,6,mul ja zh,3,,Malafaia,,
Q106120778,Prossnitz,family,6,ja zh,2,Prossnitz,Prossnitz,,
Q21488965,Quintanilla,family,6,mul,1,,Quintanilla,キンタニーヤ,金塔尼利亚
Q37237057,Lewine,family,6,ja zh,2,Lewine,Lewine,,
Q37078505,Branciforte,family,6,ja zh,2,Branciforte,Branciforte,,
Q21493884,Vold,family,6,ja zh,2,Vold,Vold,,
Q96575200,Vitéz,family,6,mul ja zh,3,,Vitéz,,
Q36968478,Reach,family,6,mul zh,2,,Reach,リーチ,
Q21504635,Arends,family,6,ja zh,2,Arends,Arends,,
Q21494021,Sotomayor,family,6,ja,1,Sotomayor,Sotomayor,,索托马约尔
Q37206292,Dubbe,family,6,ja zh,2,Dubbe,Dubbe,,
Q21509864,Hagberg,family,6,ja zh,2,Hagberg,Hagberg,,
Q37305727,Benedikt,family,6,mul,1,,Benedikt,ベネディクト,本尼迪克特
Q37516449,Sinsheimer,family,6,mul ja zh,3,,Sinsheimer,,
Q37122301,Crosman,family,6,ja,1,Crosman,Crosman,,克罗斯曼
Q42395766,Rée,family,6,ja zh,2,Rée,Rée,,
Q19656761,Thurnauer,family,6,ja zh,2,Thurnauer,Thurnauer,,
Q61026053,du Pré,family,6,mul ja,2,,du Pré,,杜·普雷
Q33104864,Milles,family,6,mul ja zh,3,,Milles,,
Q47493097,Socin,family,6,ja zh,2,Socin,Socin,,
Q37237941,Baruch,family,6,zh,1,Baruch,Baruch,バルーク,
Q30252623,Wiik,family,6,mul ja zh,3,,Wiik,,
Q21508146,Ullstein,family,6,ja zh,2,Ullstein,Ullstein,,
Q30963543,Wickstrøm,family,6,mul ja zh,3,,Wickstrøm,,
Q37491652,Leete,family,6,ja zh,2,Leete,Leete,,
Q16865629,Cleveland,family,6,mul,1,,Cleveland,クリーヴランド,克利夫兰
Q27877510,Skog,family,6,mul ja zh,3,,Skog,,
Q123345529,Meÿer,family,6,mul ja zh,3,,Meÿer,,
Q21488358,Rosenstein,family,6,zh,1,Rosenstein,Rosenstein,ローゼンシュタイン,
Q21489062,Arvidsson,family,6,mul,1,,Arvidsson,アルヴィドソン,阿维德松
Q21502175,Estes,family,6,zh,1,Estes,Estes,エステス,
Q21452973,Moyes,family,6,ja zh,2,Moyes,Moyes,,
Q2340604,Steinfeld,family,6,mul ja zh,3,,Steinfeld,,
Q37313566,Hilder,family,6,ja zh,2,Hilder,Hilder,,
Q5713671,Hendrick,family,6,zh,1,Hendrick,Hendrick,ヘンドリック,
Q21492164,Torelli,family,6,zh,1,Torelli,Torelli,トレッリ,
Q21428216,Pringle,family,6,ja zh,2,Pringle,Pringle,,
Q27888575,Cederlund,family,6,mul ja zh,3,,Cederlund,,
Q28037769,Dempster,family,6,mul ja zh,3,,Dempster,,
Q27979781,Seemann,family,6,ja,1,Seemann,Seemann,,西曼
Q105818145,de Bracquemont,family,6,ja zh,2,de Bracquemont,de Bracquemont,,
Q36941998,Penry,family,6,mul ja zh,3,,Penry,,
Q1340418,Otterson,family,6,ja zh,2,Otterson,Otterson,,
Q42962772,Ellissen,family,6,ja,1,Ellissen,Ellissen,,埃利森
Q4662678,Aas,family,6,zh,1,Aas,Aas,アアス,
Q16865925,Cuellar,family,6,ja zh,2,Cuellar,Cuellar,,
Q21452185,Fassbender,family,6,ja,1,Fassbender,Fassbender,,法斯宾德
Q104594021,d'Estienne,family,6,ja zh,2,d'Estienne,d'Estienne,,
Q30669609,Harb,family,6,mul zh,2,,Harb,ハルブ,
Q29550347,Thomasse,given,6,ja zh,2,Thomasse,Thomasse,,
Q5296263,Donn,given,6,zh,1,Donn,Donn,ドニー,
Q111039047,Tell,given,6,ja zh,2,Tell,Tell,,
Q38110754,Wells,given,6,mul ja zh,3,,Wells,,
Q84702305,Albrekt,given,6,ja zh,2,Albrekt,Albrekt,,
Q66264101,Phillipe,given,6,mul ja,2,,Phillipe,,菲利普
Q16278106,Kunegunda,given,6,zh,1,Kunegunda,Kunegunda,クニグンデ,
Q20000078,Lorin,given,6,mul,1,,Lorin,ローリン,洛林
Q8095418,Sverker,given,6,zh,1,Sverker,Sverker,スヴェルケル,
Q16282576,Waldo,given,6,ja zh,2,Waldo,Waldo,,
Q120053180,Parish,given,6,ja,1,Parish,Parish,,帕里什
Q2093412,Nazar,given,6,zh,1,Nazar,Nazar,ナザール,
Q29514590,Hatton,given,6,mul zh,2,,Hatton,ハットン,
Q23448561,Hidayat,given,6,zh,1,Hidayat,Hidayat,ヒダヤット,
Q20803763,Pompeo,given,6,zh,1,Pompeo,Pompeo,ポンペオ,
Q18655756,Bluma,given,6,ja zh,2,Bluma,Bluma,,
Q51084941,Tobine,given,6,mul ja zh,3,,Tobine,,
Q19389502,Sofus,given,6,zh,1,Sofus,Sofus,ソーフス,
Q76638036,Oddone,given,6,mul ja,2,,Oddone,,奧冬
Q3893148,Pandolfo,given,6,zh,1,Pandolfo,Pandolfo,パンドルフォ,
Q104903577,Tránsito,given,6,mul ja,2,,Tránsito,,特兰西托
Q113128552,Montefiore,given,6,ja zh,2,Montefiore,Montefiore,,
Q19370861,Bernardus,given,6,ja,1,Bernardus,Bernardus,,伯纳度斯
Q18196483,Remigius,given,6,zh,1,Remigius,Remigius,レミギウス,
Q30090731,Hamida,given,6,ja,1,Hamida,Hamida,,哈米达
Q33512075,Ejnar,given,6,ja zh,2,Ejnar,Ejnar,,
Q1782248,Gorm,given,6,ja zh,2,Gorm,Gorm,,
Q30893647,Yeshayahu,given,6,ja zh,2,ישעיהו,Yeshayahu,,
Q4926003,Agne,given,6,ja,1,Agne,Agne,,阿格尼
Q62089798,Alanson,given,6,mul zh,2,,Alanson,アランソン,
Q4576207,Magnar,given,6,ja zh,2,Magnar,Magnar,,
Q17618699,Giustina,given,6,ja zh,2,Giustina,Giustina,,
Q19830582,Lodovico,given,6,zh,1,Lodovico,Lodovico,ロドヴィコ,
Q19968581,Nettie,given,6,ja zh,2,Nettie,Nettie,,
Q133458720,Riquilda,given,6,mul ja zh,3,,Riquilda,,
Q25917078,Filips,given,6,ja zh,2,Filips,Filips,,
Q20138232,Eldad,given,6,zh,1,Eldad,Eldad,エルダッド,
Q21401566,Zoila,given,6,ja zh,2,Zoila,Zoila,,
Q250661,Álmos,given,6,zh,1,Álmos,Álmos,アールモシュ,
Q21142570,Constantinus,given,6,zh,1,Constantinus,Constantinus,コンスタンティヌス,
Q33104818,Paal,given,6,ja zh,2,Paal,Paal,,
Q26868871,Drogon,given,6,zh,1,Drogon,Drogon,ドロゴ,
Q25975824,Increase,given,6,ja zh,2,Increase,Increase,,
Q20000357,Jemina,given,6,ja zh,2,Jemina,Jemina,,
Q22815720,Meilyr,given,6,ja zh,2,Meilyr,Meilyr,,
Q7095539,Opal,given,6,zh,1,Opal,Opal,オーパル,
Q60701583,Colvin,given,6,zh,1,Colvin,Colvin,コルヴィン,
Q39290744,Rosendo,given,6,ja zh,2,Rosendo,Rosendo,,
Q22002019,Lewys,given,6,ja zh,2,Lewys,Lewys,,
Q110702735,Gilette,given,6,ja zh,2,Gilette,Gilette,,
Q130263274,Che,given,6,mul ja,2,,Che,,徹
Q336878,Jo,given,6,zh,1,Jo,Jo,ジョー,
Q3489872,Mojmir,given,6,ja zh,2,Mojmir,Mojmir,,
Q61121962,Bassett,given,6,mul zh,2,,Bassett,バセット,
Q20021703,Wasyl,given,6,ja zh,2,Wasyl,Wasyl,,
Q1236831,Domas,given,6,ja zh,2,Domas,Domas,,
Q3780127,Guðríður,given,6,ja zh,2,Guðríður,Guðríður,,
Q16425143,Gils,given,6,ja zh,2,Gils,Gils,,
Q89486862,Richardson,given,6,zh,1,Richardson,Richardson,リチャードソン,
Q124733148,Adrianos,given,6,ja zh,2,Adrianos,Adrianos,,
Q21142894,Renier,given,6,zh,1,Renier,Renier,レニエ,
Q47531432,Bina,given,6,ja zh,2,बीना,Bina,,
Q20675793,Ananias,given,6,ja zh,2,Ananias,Ananias,,
Q39381383,Melitón,given,6,mul ja zh,3,,Melitón,,
Q19830690,Benjamín,given,6,zh,1,Benjamín,Benjamín,ベンハミン,
Q19968511,Eliane,given,6,zh,1,Eliane,Eliane,エリアーネ,
Q12716089,Kjartan,given,6,ja,1,Kjartan,Kjartan,,贾尔坦
Q116680809,Hadassa,given,6,mul ja zh,3,,Hadassa,,
Q130285369,Johans,given,6,ja zh,2,Johans,Johans,,
Q105085061,Artavazd,given,6,mul ja zh,3,,Artavazd,,
Q25510824,Vladislaus,given,6,ja,1,Vladislaus,Vladislaus,,弗拉德劳斯
Q20001509,Simche,given,6,ja zh,2,Simche,Simche,,
Q3607808,Alarico,given,6,ja zh,2,Alarico,Alarico,,
Q19914132,Aymeri,given,6,ja zh,2,Aymeri,Aymeri,,
Q16601431,Sem,given,6,ja,1,Sem,Sem,,塞姆
Q5801333,Nona,given,6,ja,1,Nona,Nona,,诺娜
Q64173747,Chaime,given,6,ja zh,2,Chaime,Chaime,,
Q24069293,Sança,given,6,ja zh,2,Sança,Sança,,
Q52833237,Kellogg,given,6,mul ja zh,3,,Kellogg,,
Q20024762,Lucile,given,6,ja,1,Lucile,Lucile,,露西尔 (名字)
Q96206660,Kunhuta,given,6,ja zh,2,Kunhuta,Kunhuta,,
Q20220087,Bernardine,given,6,ja zh,2,Bernardine,Bernardine,,
Q21959500,Cicely,given,6,zh,1,Cicely,Cicely,シシリー,
Q20000710,Mihailo,given,6,zh,1,Mihailo,Mihailo,ミハイロ,
Q133458708,Richilda,given,6,ja zh,2,Richilda,Richilda,,
Q17457501,Margrét,given,6,ja,1,Margrét,Margrét,,玛格雷特（冰岛名字）
Q15840443,Phoebus,given,6,ja zh,2,Phoebus,Phoebus,,
Q64853329,Fowler,given,6,mul zh,2,,Fowler,ファウラー,
Q98543013,Selah,given,6,ja,1,Selah,Selah,,锡拉
Q98907598,Rowe,given,6,zh,1,Rowe,Rowe,ロウ,
Q18606335,Héloïse,given,6,ja,1,Héloïse,Héloïse,,埃洛伊兹
Q111072565,Cooley,given,6,ja zh,2,Cooley,Cooley,,
Q21155553,Honorius,given,6,ja zh,2,Honorius,Honorius,,
Q26903393,Xerxes,given,6,ja,1,Xerxes,Xerxes,,薛西斯
Q18220917,Antigone,given,6,ja,1,Antigone,Antigone,,安提戈涅
Q23688139,Abgar,given,6,mul ja zh,3,,Abgar,,
Q18039196,Arnout,given,6,ja,1,Arnout,Arnout,,阿努特
Q2087690,Ulric,given,6,ja,1,Ulric,Ulric,,乌尔里希 (人名)
Q21143588,Mechteld,given,6,ja,1,Mechteld,Mechteld,,梅克特尔德
Q1553704,Romanas,given,6,ja zh,2,Romanas,Romanas,,
Q105778290,Jaroslaw,given,6,ja,1,Jaroslaw,Jaroslaw,,雅罗斯瓦夫
Q9396707,Świętobor,given,6,ja zh,2,Świętobor,Świętobor,,
Q124632299,Bù,given,6,mul,1,,Bù,布,布
Q106869326,Shao,given,6,ja,1,Shao,Shao,,Shao
Q1103531,Calliope,given,6,ja zh,2,Calliope,Calliope,,
Q600155,Theodosia,given,6,zh,1,Theodosia,Theodosia,テオドシア,
Q20011870,Oton,given,6,zh,1,Oton,Oton,オトン,
Q29551411,Avice,given,6,ja zh,2,Avice,Avice,,
Q10423722,Axelina,given,6,ja zh,2,Axelina,Axelina,,
Q1799009,Vidar,given,6,ja,1,Vidar,Vidar,,维达
Q2434892,Zeger,given,6,ja zh,2,Zeger,Zeger,,
Q116958163,Σέλευκος,given,6,mul ja zh,3,,Σέλευκος,,
Q134282328,Gunnvor,given,6,ja zh,2,Gunnvor,Gunnvor,,
Q20001142,Scheindel,given,6,ja zh,2,Scheindel,Scheindel,,
Q58902229,Jakov,given,6,ja zh,2,Jakov,Jakov,,
Q12719272,Unn,given,6,ja,1,Unn,Unn,,乌恩
Q73895583,Loomis,given,6,ja zh,2,Loomis,Loomis,,
Q47465190,Edwards,given,6,mul ja zh,3,,Edwards,,
Q113128108,Oldham,given,6,ja zh,2,Oldham,Oldham,,
Q90416176,Blackwell,given,6,mul ja zh,3,,Blackwell,,
Q73645454,Myfanwy,given,6,mul ja zh,3,,Myfanwy,,
Q19985955,Bořivoj,given,6,ja zh,2,Bořivoj,Bořivoj,,
Q55499624,Ólöf,given,6,ja zh,2,Ólöf,Ólöf,,
Q20024958,Perrette,given,6,ja,1,Perrette,Perrette,,佩蕾特
Q55965950,Umama,given,6,mul ja zh,3,,Umama,,
Q124150810,Larsine,given,6,ja zh,2,Larsine,Larsine,,
Q109653363,Bartol,given,6,ja zh,2,Bartol,Bartol,,
Q100234671,Muño,given,6,ja zh,2,Muño,Muño,,
Q12009701,Vidkun,given,6,zh,1,Vidkun,Vidkun,ヴィドクン,
Q21296021,Tryggve,given,6,ja zh,2,Tryggve,Tryggve,,
Q16278208,Lamia,given,6,ja,1,Lamia,Lamia,,拉米娅
Q989778,Enna,given,6,ja zh,2,Enna,Enna,,
Q104836740,Higgins,given,6,ja zh,2,Higgins,Higgins,,
Q21400623,Ehrenfried,given,6,ja zh,2,Ehrenfried,Ehrenfried,,
Q109542016,Amanieu,given,6,ja zh,2,Amanieu,Amanieu,,
Q3905660,Pirro,given,6,zh,1,Pirro,Pirro,ピッロ,
Q75135531,Ros,given,6,ja,1,Ros,Ros,,罗斯
Q280291,Balbina,given,6,ja zh,2,Balbina,Balbina,,
Q21401544,Prudencio,given,6,zh,1,Prudencio,Prudencio,プルデンシオ,
Q111017927,Jahan,given,6,ja zh,2,Jahan,Jahan,,
Q453946,Kinga,given,6,ja,1,Kinga,Kinga,,Kinga
Q71572017,Burwell,given,6,mul ja zh,3,,Burwell,,
Q15784195,Asgeir,given,6,ja zh,2,Asgeir,Asgeir,,
Q66866961,Armistead,given,6,zh,1,Armistead,Armistead,アーミステッド,
Q19967480,Amé,given,6,ja zh,2,Amé,Amé,,
Q11958336,Anniken,given,6,zh,1,Anniken,Anniken,アニケン,
Q40434184,Ambrósio,given,6,ja zh,2,Ambrósio,Ambrósio,,
Q5788600,Cornelio,given,6,ja zh,2,Cornelio,Cornelio,,
Q19968532,Hilaria,given,6,zh,1,Hilaria,Hilaria,ヒラリア,
Q30188568,Hagbart,given,6,ja zh,2,Hagbart,Hagbart,,
Q110729896,Zadock,given,6,ja zh,2,Zadock,Zadock,,
Q41443317,Zaida,given,6,ja,1,Zaida,Zaida,,扎伊达
Q4946772,Boruch,given,6,ja zh,2,Boruch,Boruch,,
Q4964570,Tala,given,6,ja,1,Tala,Tala,,塔拉 (名字)
Q108548432,Heloise,given,6,ja zh,2,Heloise,Heloise,,
Q23702419,Cyngar,given,6,ja zh,2,Cyngar,Cyngar,,
Q18182685,Reinhart,given,6,zh,1,Reinhart,Reinhart,ラインハルト,
Q30077488,Elvine,given,6,ja zh,2,Elvine,Elvine,,
Q105627062,Gāng,given,6,mul,1,,Gāng,岡,岡
Q16280808,Ransom,given,6,ja,1,Ransom,Ransom,,蘭塞姆
Q21146778,Elenora,given,6,ja zh,2,Elenora,Elenora,,
Q27587771,Maxima,given,6,ja,1,Maxima,Maxima,,玛克西玛
Q104621222,Placidia,given,6,ja zh,2,Placidia,Placidia,,
Q108520438,Enock,given,6,ja zh,2,Enock,Enock,,
Q11306992,Teofil,given,6,zh,1,Teofil,Teofil,テオフィル,
Q62430014,Margarett,given,6,zh,1,Margarett,Margarett,マーガレット,
Q3277512,Mahala,given,6,ja,1,Mahala,Mahala,,迈哈拉
Q20871749,Judson,given,6,zh,1,Judson,Judson,ジャドソン,
Q10403123,Agda,given,6,ja zh,2,Agda,Agda,,
Q20003567,Kristofer,given,6,ja,1,Kristofer,Kristofer,,克里斯托弗
Q19660801,Scipione,given,6,mul ja zh,3,,Scipione,,
Q96933362,Lie,given,6,mul,1,,Lie,烈,烈
Q96350664,Fa,given,6,mul,1,,Fa,發,發
Q124650101,Sōng,given,6,mul,1,,Sōng,嵩,嵩
Q2014517,Odilia,given,6,ja,1,Odilia,Odilia,,奥迪莉娅
Q16291191,Woldemar,given,6,zh,1,Woldemar,Woldemar,ヴォルデマール,
Q104632394,Boo,given,6,mul ja zh,3,,Boo,,
Q28943945,Royal,given,6,ja,1,Royal,Royal,,罗亚尔
Q114299086,Marton,given,6,ja zh,2,Marton,Marton,,
Q74913247,Emerentia,given,6,ja,1,Emerentia,Emerentia,,厄买蓝齐亚
Q47483115,Swan,given,6,mul ja zh,3,,Swan,,
Q19870795,Granville,given,6,zh,1,Granville,Granville,グランヴィル,
Q19689426,Gila,given,6,ja zh,2,Gila,Gila,,
Q20025037,Angélique,given,6,ja,1,Angélique,Angélique,,安热莉克
Q61895959,Almeda,given,6,mul ja zh,3,,Almeda,,
Q75660266,Gazi,given,6,mul ja zh,3,,Gazi,,
Q19967881,Evrard,given,6,ja zh,2,Evrard,Evrard,,
Q111072808,Schack,given,6,ja zh,2,Schack,Schack,,
Q18691527,Reinhild,given,6,ja,1,Reinhild,Reinhild,,莱因霍尔德
Q12790752,Hari,given,6,zh,1,Hari,Hari,ハリ,
Q129866250,Mèng,given,6,mul ja,2,,Mèng,,夢
Q124363346,Jìn,given,6,mul,1,,Jìn,近,近
Q125371350,Yuè,given,6,mul,1,,Yuè,楽,樂
Q81897576,Ghazi,given,6,ja zh,2,Ghazi,Ghazi,,
Q56303329,Gunni,given,6,ja zh,2,Gunni,Gunni,,
Q134513843,Chaje,given,6,mul ja zh,3,,Chaje,,
Q36005101,Fortunée,given,6,mul ja zh,3,,Fortunée,,
Q17145207,Macario,given,6,zh,1,Macario,Macario,マカリオ,
Q20000794,Bohdana,given,6,zh,1,Bohdana,Bohdana,ボフダナ,
Q1423455,Ottilia,given,6,ja zh,2,Ottilia,Ottilia,,
Q2113358,Prospero,given,6,zh,1,Prospero,Prospero,プロスペロ,
Q3639217,Beulah,given,6,zh,1,Beulah,Beulah,ビューラー,
Q27700115,Tillie,given,6,mul ja zh,3,,Tillie,,
Q97040118,Manasse,given,6,mul ja zh,3,,Manasse,,
Q20011814,Rozalia,given,6,mul,1,,Rozalia,ロザリア,罗扎莉娅
Q11711627,Ildefonsa,given,6,ja zh,2,Ildefonsa,Ildefonsa,,
Q20001787,Cosma,given,6,ja zh,2,Cosma,Cosma,,
Q20200846,Kaare,given,6,zh,1,Kaare,Kaare,カーレ,
Q97609066,Ewell,given,6,mul zh,2,,Ewell,ユーウェル,
Q106957823,Artemus,given,6,mul ja zh,3,,Artemus,,
Q21141832,Trijntje,given,6,mul ja zh,3,,Trijntje,,
Q18697301,Geraldo,given,6,ja,1,Geraldo,Geraldo,,Geraldo
Q13479676,Orsolya,given,6,zh,1,Orsolya,Orsolya,オルショヤ,
Q21285785,Gastão,given,6,ja zh,2,Gastão,Gastão,,
Q21279029,Honorine,given,6,ja zh,2,Honorine,Honorine,,
Q52354504,Nissim,given,6,ja zh,2,נסים,Nissim,,
Q15809544,Fernande,given,6,ja zh,2,Fernande,Fernande,,
Q21400637,Gotthelf,given,6,zh,1,Gotthelf,Gotthelf,ゴットヘルフ,
Q10498995,Frideborg,given,6,ja zh,2,Frideborg,Frideborg,,
Q543740,Apolinaria,given,6,zh,1,Apolinaria,Apolinaria,アポリナリア,
Q9339326,Soledad,given,6,mul,1,,Soledad,ソレダー,索莱达
Q21147619,Constancia,given,6,zh,1,Constancia,Constancia,コンスタンシア,
Q106860101,Cháo,given,6,mul,1,,Cháo,朝,朝
Q63930320,Mus'ab,given,6,mul ja zh,3,,Mus'ab,,
Q27948980,Davenport,given,6,mul zh,2,,Davenport,ダヴェンポート,
Q12365087,Jarvis,given,6,mul,1,,Jarvis,ジャーヴィス,贾维斯
Q133268214,Tuti,given,6,mul ja zh,3,,Tuti,,
Q16276922,Holmes,given,6,zh,1,Holmes,Holmes,ホームズ,
Q23050521,Sutan,given,6,ja,1,Sutan,Sutan,,苏丹
Q19963461,Thyra,given,6,ja zh,2,Thyra,Thyra,,
