han	corpus_count	ko_readings	zh_pinyin	kKorean	kJapaneseOn	kJapaneseKun	definition
蔓	1	만	màn	MAN	BAN MAN	TSURU	creeping plants, tendrils, vines
櫸	1		jǔ				type of elm
暮	1	모	mù	MO	BO	KURERU KURASU KURE	evening, dusk, sunset; ending
剡	1	섬	shàn	SEM	EN SEN ZEN	SURUDOI SORUDOKUSURU KEZURU	sharp, sharp-pointed; sharpen
皐	1	고	gāo	KO HO	KOU	SAWA SAKAI SATSUKI	the high land along a river
隲	1		zhì		SHITSU CHOKU	NOBORU	stallion; promote
纖	1	섬	xiān	SEM	SEN	HOSOI CHIISAI SHINAYAKA	fine, delicate; minute; graceful
埛	1		jiōng				
璯	1		huì		KAI E KE	KAZARI	(simplified form of 璯) jade decorated cap, used in person's 
㻴	1						
縡	1	재	zài	CAY	SAI	KOTO	matter, affair
壟	1	농 롱	lǒng	LONG	RYOU ROU	UNE TSUKA	grave, mound; ridge in field
示	1	시	shì	SI KI	SHI JI KI	SHIMESU SHIMESHI	show, manifest; demonstrate; Kangxi radical 113
尙	1	상	shàng	SANG	SHOU		still, yet; even; fairly, rather
穣	1		ráng		JOU	YUTAKA WARA	stalks of grain; lush, abundant
諳	1	암	ān	AM	AN ON	SORANJIRU	versed in, fully acquainted with
颯	1	삽	sà	SAP	SATSU SOU	HISHIGU HAYATE MIDARERU	the sound of the wind; bleak; melancholy
雒	1		luò	LAK	RAKU	MIMIZUKU	black horse with white mane
座	1	좌	zuò	CWA	ZA	SUWARU KURA IMASU	seat; stand, base
躭	1		dān		TAN	HUKERU	to delay; to loiter; to hinder
珝	1	후	xǔ	HWU	KU	TAMA	
潨	1		cóng		SOU ZU SHOU SHU ZOU	ATSUMARU MIZUAI KISHI	gather; flow into (water); sound of waters flowing together
潧	1		zhēn				
闔	1	합	hé	HAP	KOU	TOBIRA	close; whole, entire; all; leaf
郟	1		jiá	KYEP	KOU KYOU		county in Henan province; surname
堵	1	도	dǔ	TO	TO	KAKI	wall; stop, prevent; stop up
覵	1		jiàn		KAN KEN HEN EN	MIRU UKAGAU MAZERU	steal look; peep at; spy on
掘	1	굴	jué	KWUL KWEL	KUTSU KOTSU	HORU	dig, excavate; excavate cave
寤	1	오	wù	O	GO	SAMERU	few, scarce; empty, deserted
亹	1	미	wěi	MI MWUN	BI MI BON MON	TSUTOMERU UTSUKUSHII	progress; busy, untiring; exert
踕	1		jié				
眅	1		pān				inlay; border
歂	1		chuǎn				
齹	1		cī				
髡	1	곤	kūn	KON			to shave the head as a punishment; to prune
睔	1		gùn				
醜	1	추	chǒu	CHWU	SHUU	MINIKUI NIKUMU TAGUI	ugly looking, homely; disgraceful
躉	1	돈	dǔn	TON	TON	HASHIKE	sell or buy wholesale; store
賕	1		qiú		KYUU KU	MAINAI	bribe
匽	1	언	yǎn	EN	EN	KAKUSU HUSU NABIKU HAKO DOBU	to hide, to secrete, to repress; to bend
组	1		zǔ				class; section, department
陌	1	맥	mò	MAYK	HAKU BAKU	MICHI MACHI	foot path between rice fields
黟	1		yī	I	EI I	KOKUTAN	black and shining; ebony
霂	1		mù		BOKU MOKU		fine rain, drizzle
党	1	당	dǎng	TANG	TOU	NAKAMA MURA	political party, gang, faction
淦	1	감	gàn	KEM	KAN KON	AKA DORO	river in Jiangxi province; water leaking into a boat
阡	1	천	qiān	CHEN	SEN	AZE MICHI HAKAMICHI	footpaths between fields; paths
綍	1		fú		FUTSU FUCHI HI	HITSUGINAWA	rope
溎	1		yàn				river in Guangxi province
涭	1		shòu				
覿	1	적	dí	CEK	TEKI	AU	see; interview; be admitted to audience
覯	1	구	gòu	KWU	KOU	AU	meet or see unexpectedly
霆	1	정	tíng	CENG	TEI	IKAZUCHI	a sudden peal of thunder
澋	1	횡	hòng	HOYNG	KOU GYOU KEI	MEGURU	
挦	1		xián				pull out, pluck; take hold of
锁	1		suǒ				lock, padlock; shackles, chains
踰	1	유	yú	YU	YU YOU	KOERU	exceed, transgress; cross over
宓	1	복	mì	POK	BITSU MICHI FUKU BUKU HITSU	YASURAKA	quiet, silent; in good health
浤	1	굉	hóng	KOYNG	KOU GYOU	FUKAI	beating of ocean; surging of water
咠	1	집	qì	CIP	SHUU YUU	SASAYAKU SOSHIRU	to whisper. to blame to slander
潰	1	궤	kuì	KWEY	KAI E	TSUIERU TSUBURE	flooding river; militarily defeat
潏	1	율	yù	YUL	KETSU KECHI SHUTSU JUCHI		reclaimed land; dike, embankment
狼	1	낭 랑	láng	LANG	ROU	OOKAMI	wolf
旁	1	방	páng	PANG PHAYNG	HOU BOU	KATAWARA TSUKURI KATAGATA	side; by side, close by, near
窋	1		zhú		CHUTSU TATSU TACHI		
侀	1	형	xíng	HYENG	KEI KYAU	NARU	form
崈	1		chóng		SHUU		esteem, honor, revere, venerate
凍	1	동	dòng	TONG	TOU	KOORU KOGOERU	freeze; cold, congeal; jelly
戶	1	호	hù	HO	KO	TO HE	door; family, household
櫝	1	독	dú	TOK	TOKU DOKU	HAKO HITSUGI	cabinet, wardrobe; closet
涂	1	도	tú	TO	TO ZU CHO JO	MICHI	surname; name of certain rivers
贶	1		kuàng				give, grant, bestow; surname
玗	1	우	yú	WU	U		a jade-like stone
苦	1	고	kǔ	KO	KU	NIGAI KURUSHII KURUSHIMU	bitter; hardship, suffering
餞	1	전	jiàn	CEN	SEN ZEN	HANAMUKE	farewell party; see off, send off
飾	1	식	shì	SIK	SHOKU	KAZARU KAZARI	decorate, ornament, adorn; to deceive
饌	1	찬	zhuàn	CHAN	SEN ZEN	SONAERU	feed, support, provide for; food; fine meats, delicacies
嬛	1	현	huán	HYEN	KEN KEI GYOU	KATAI	apt, clever; sycophant, flatterer
姈	1	령	líng	LYENG	REI RYOU	AZANA	
吒	1		zhā	THA THAK	TA		shout, roar, bellow; scold
輅	1	로	lù	LO HAYK	RO RAKU KAKU	MIKURUMA MUKAERU	a chariot, carriage; a carriage pull-bar
驢	1	려	lǘ	LYE	RYO RO	USAGIUMA	donkey, ass
粵	1		yuè	WEL	ETSU OCHI	KOKONI	Guangdong and Guangxi provinces; initial particle
查	1		chá	SA	SA	SHIRABERU	investigate, examine, seek into
悛	1	전	quān	CEN	SEN SHUN	ARATAMERU	repent, reform
這	1	저	zhè	CE EN	GEN SHA	HAU HAI MUKAERU	this, the, here
黙	1		mò		MOKU	DAMARU MODASU	silent; quiet, still; dark
釜	1	부	fǔ	PWU	FU	KAMA	cauldron, pot, kettle
盡	1	진	jǐn	CIN	JIN	TSUKUSU	exhaust, use up; deplete
聸	1		dān				
琥	1	호	hǔ	HO	KO		jewel in shape of tiger; amber
龕	1	감	kān	KAM	GAN KAN	ZUSHI	niche, shrine
鎋	1		xiá		KATSU	KUSABI	the linch-pin of a wheel to govern or control the noise of a
埭	1	태	dài	THAY	TAI DAI	SEKI	a dam, a jock; inclined plane on a canal, where boats can be
梃	1	정	tǐng	CENG	TEI CHOU	TSUE TEKO	a club; a stalk; straight
竽	1	우	yú	WU	U	HUE	ancient woodwind instrument
嫫	1	모	mó	MO	BO MO	SHIKOME	Huangdi's ugly concubine; nurse
敔	1	어	yǔ	E	GYO GO	SASHITOMERU	gavel
綠	1	녹 록	lǜ	LOK	RYOKU ROKU	MIDORI	green; chlorine
灝	1	호	hào	HO	KOU GOU KAN KON	MAMEJIRU	vast, large, grand, expansive
齐	1		qí				even, uniform, of equal length
卹	1	휼	xù	HYUL	JUTSU SHUTSU SHUCHI SOTSU	UREERU	sympathy, pity; comfort
晶	1	정	jīng	CENG	SHOU	AKIRAKA	crystal; clear, bright; radiant
頳	1		chēng		TEI CHOU	AKAI	red
䵸	1						(same as 鼀) the toad that lives in the moon
騋	1	래	lái	LAY	RAI		tall (7 chi) horse
鰤	1	사	shī	SA	SHI	BURI	a yellowtail (fish)
霬	1		yì				
闓	1	개	kǎi	KAY	KAI	HIRAKU	open; peaceful
畯	1	준	jùn	CWUN	SHUN		rustic; crude
躋	1	제	jī	CEY	SEI SAI	NOBORU	ascend, go up, rise
優	1	우	yōu	WU	YUU U	YASASHII SUGURERU WAZAOGI	superior, excellent; actor
虪	1		shù				
覲	1	근	jìn	KUN	KIN	MAMIERU	have imperial audience
髮	1	발	fà fǎ	PAL	HATSU	KAMI	hair
譿	1	혜	huì	HYEY			
侵	1	침	qīn	CHIM	SHIN	OKASU	invade, encroach upon, raid
摹	1	모	mó	MO			trace, copy, duplicate; pattern
界	1	계	jiè	KYEY	KAI	SAKAI	boundary, limit; domain; society; the world
仚	1		xiān	HEN	KEN	TOBU	to fly
豔	1		yàn		EN	NAMAMEKASHII TSUYA	plump, voluptuous, beautiful
蒜	1	산	suàn	SAN	SAN	HIRU NOBIRU	garlic
珧	1		yáo		YOU	TAIRAGI	mother-of-pearl
舆	1		yú				cart, palanquin, sedan chair
扬	1		yáng				scatter, spread; praise
霰	1	산	xiàn	SEN SAN	SAN SEN	ARARE	hail, sleet
诏	1		zhào				decree, proclaim; imperial decree
繆	1	무	móu	MWU YU	KYUU BYUU RYOU	TSUKANERU KUKURU MATOU	wind around, bind; prepare
槶	1		guì				
䓝	1		mèng				Chinese pennisetum (Pennisetum alopecuroides)
䮤	1		hé				one of the 36 gardens in Han Dynasty, (same as 馰) horse with
湸	1		liàng				
硅	1	규	guī	KYU	KEI KAKU KYAKU		silicon (element 14, Si)
纕	1		rǎng		SHOU SOU JOU	UDEMAKURISURU	belt
糯	1	나	nuò	NA	DA NA	MOCHIGOME	glutinous rice; glutinous, sticky
刁	1	조	diāo	CO	TEU CHOU		tricky, sly, crafty, cunning
风	1		fēng				wind; air; manners, atmosphere
揭	1	게	jiē	KEY KAL	KEI KETSU	KAKAGERU	raise, lift up; surname
摯	1	지	zhì	CI	SHI	ITARU	sincere, warm, cordial; surname
吁	1	우	xū	YU	KU U	AU	interjection 'Alas!'; to sigh
嬖	1	폐	bì	PHYEY	HEI	KINIIRI	favorite; a minion
燬	1	훼	huǐ	HWEY	KI	YAKU	burn down; blaze, fire
孜	1	자	zī	CA	SHI	TSUTOMERU	be as diligent as possible
楣	1	미	méi	MI	BI MI	HISASHI	crossbeam above or under gate
燏	1	율	yù				blaze
鐺	1	당	dāng	TANG	TOU SOU	NABE KOJIRI KOTE	frying pan; warming vessel
址	1	지	zhǐ	CI	SHI	ATO	site, location, land for house
茗	1	명	míng	MYENG	MEI BEI MYOU	CHA	tea; tea plant
覓	1	멱	mì	MYEK	BEKI	MOTOMERU	seek; search
薪	1	신	xīn	SIN	SHIN	TAKIGI	fuel, firewood; salary
暫	1	잠	zàn	CAM	ZAN	SHIBARAKU	temporary
咏	1	영	yǒng	YENG	EI	UTAU	sing song or poem, hum, chant
戟	1	극	jǐ	KUK	GEKI	HOKO	halberd with crescent blade
汁	1	즙	zhī	CIP CUP	JUU	SHIRU	juice, liquor, fluid, sap, gravy, sauce
聳	1	용	sǒng	YONG	SHOU	SOBIERU	urge on; rise up; stir, excite; to raise up; lofty
暘	1	양	yáng	YANG	YOU	HINODE AKIRAKA HARERU	rising sun; sunshine
铠	1		kǎi				armor, chain mail
鏜	1	당	tāng	TANG	TOU		boring tool
圜	1	원 환	huán	WEN HWAN	KAN EN	MEGURU MARUI	circle, surround; encircle
憐	1	련 연	lián	LYEN	REN	AWAREMU AWAREMI	pity, sympathize
毌	1		guàn		KAN	TSURANUKU	old form of 貫; component in 贯,貫,實, etc.; not to be confused 
袭	1		xí				raid, attack; inherit
晷	1	귀	guǐ	KWI	KI	KAGE	shadows of sun; time; sundial
马	1		mǎ				horse; surname; Kangxi radical 187
鹅	1		é				goose
历	1		lì				history; calendar
苏	1		sū				revive, resurrect; a species of thyme; transliteration of 'S
堉	1	육	yù	YUK	IKU		ground, fertile land
崶	1		fēng		HOU FU		
輳	1	주	còu	CWU	SOU	ATSUMARU	hubs of wheel; converge around
籧	1	거	qú	KE	KYO GO		crude bamboo mat
秫	1	출	shú	CHWUL	JOTSU SHUTSU CHUTSU	MOCHIAWA	glutinous variety of millet
滸	1	호	hǔ	HO	KO	HOTORI	riverbank, shore
鄷	1		fēng		HOU		
淶	1	래	lái	LAY	RAI		river in Hebei province; creek
虁	1	기	kuí	KI	KI GI		
鱄	1		zhuān		SEN ZEN TAN DAN REN		anchovy
櫻	1	앵	yīng	AYNG	OU YOU	SAKURA	cherry, cherry blossom
畟	1		cè		SHOKU SHIKI SOKU	SOKU	plough
畋	1	전	tián	CEN	TEN DEN	KARI	till land, cultivate; hunt
昪	1		biàn		HEN BEN	TANOSHIMUSAMA AKIRAKA	delighted; pleased
慨	1	개	kǎi	KAY	GAI KAI	NAGEKU	sigh, regret; generous
膚	1	부	fū	PWU	FU	HADA	skin; superficial, shallow
愓	1		dàng		TOU DOU SHOU YOU	HOSHIIMAMA	profligate
斿	1	유	yóu	YU	YOU YO RYUU RU	HATAASHI	to swim; to move or rove freely
挻	1	연	shān	YEN			
訴	1	소	sù	SO	SO	UTTAERU UTTAE	accuse; sue; inform; narrate
众	1		zhòng		GIN GON	OOI	multitude, crowd; masses, public
苖	1		dí				
壴	1		zhù		SHU CHU	TATERU	
鸾	1		luán				fabulous bird
瑧	1		zhēn		SHIN	TAMA	
䪧	1		chí				ancient music; Chinese classical music
绳	1		shéng				rope, string, cord; control
殇	1		shāng				die young; national mourning
紟	1		jīn				a sash; to tie
艺	1		yì				art; talent, ability; craft
娉	1	빙	pīng	PING	HEI HOU	TOU	beautiful, attractive, charming, graceful
绚	1		xuàn				variegated, adorned; brilliant
逡	1	준	qūn	CWUN	SHUN	SHIRIZOKU	retreat, withdraw, fall back
皞	1	호	hào	HO			bright, brilliant
慛	1		cuī				
韹	1		huáng				music of bell and drum
逮	1	체	dǎi	CHEY THAY	TAI TEI	OYOBU	seize, catch; reach, arrive
逹	1		dá		TATSU DACHI	TOORU TOOSU TOGARU	arrive at, reach; intelligent
恴	1		dé				
谹	1		hóng		KOU OU	HUKAI	
覌	1		guān	KWAN	KAN	MIRU	see, observe, view; appearance
亜	1	아	yà	A	A ATSU OU	TSUGU	Asia; second
鋁	1		lǚ		RYO RO	YASURI ARUMINYUUMU	
鴅	1		huān				
礦	1		kuàng	KWANG HWANG	KOU	ARAGANE	mine; mineral, ore
驄	1	총	cōng	CHONG	SOU SU	ASHIGE	horse with a bluish white color
忺	1		xiān		KEN KON	NOZOMU	happy
陂	1	피	pí	PHI	HA HI	TSUTSUMI	dam, embankment; reservoir
燒	1	소	shāo	SO	SHOU	YAKU	burn; bake; heat; roast
遫	1		chì				speed
诲	1		huì				teach, instruct; encourage, urge
墘	1		qián				(Cant.) halfway
褆	1		tí		SHI JI TEI DAI		handsomely dressed
堃	1	곤	kūn	KON	KON	CHI HITSUJISARU	compliance; obedience; female
洺	1	명	míng	MYENG			river in Hebei province
悎	1		hào		KOU GOU KOKU KAKU KYOU	OSORERU	
嵊	1		shèng		SHOU JOU		district in Shaohsing, Chekiang
翬	1	휘	huī	HWI	KI	TOBU	pheasant; variegated; to fly
胙	1	조	zuò	CO	SO SAKU	HIMOROGI	meat offered in sacrifice to one's ancestors
頍	1	규	kuǐ	KYU	GI KI KEN	ATAMAWOAGERU	to raise one's head
苻	1	부	fú	PWU	FU HO BU	SAYA AMAKAWA	Angelica anomala
莭	1		jié		SETSU SECHI	FUSHI	
稟	1	품	bǐng	PHWUM	RIN HIN	KOMEGURA UKERU	report to, petition
輕	1	경	qīng	KYENG	KEI KYOU	KARUI KAROYAKA	light; easy, simple; gentle
煙	1	연	yān	YEN IN	EN	KEMURI KEMURU KEMUI	smoke, soot; opium; tobacco, cigarettes
阁	1		gé				chamber, pavilion; cabinet
墩	1	돈	dūn	TON	TON		heap, mound, block of stone
莲	1		lián				lotus, water lily; paradise
萧	1		xiāo				common artemisia; dejected
卢	1		lú				cottage, hut; surname; black
鼒	1		zī		SHI JI	KANAE	large tripod caldron with small mouth
荂	1		fū		KA KE FU KU	HANA	
昧	1	매	mèi	MAY	MAI	KURAI	obscure, dark; darken
蔞	1	루	lóu	LWU	ROU RU RYUU KU GU	YOMOGI	Artemisia stelleriana
僉	1	첨	qiān	CHEM	SEN	MINA KOTOGOTOKU TOMONI	all, together, unanimous
缵	1		zuǎn				continue, carry on, succeed
双	1	쌍	shuāng	SSANG	SOU	FUTATSU NARABU TAGUI	set of two, pair, couple; both
棗	1	조	zǎo	CO	SOU	NATSUME	date tree; dates, jujubes; surname
痞	1	비	pǐ	PI	HI	TSUKAE	dyspepsia, spleen infection
虨	1		bīn				
释	1		shì				interpret, elucidate; release
賔	1		bīn	PIN	HIN	MAROUDO SHITAGAU	guest, visitor; surname; submit
煩	1	번	fán	PEN	HAN BON	WAZURAU WAZURAWASU WAZURAWASHI	bother, vex, trouble; troublesome
蘩	1	번	fán	PEN	HAN BON	SHIROYOMOGI	Artemisia stelleriana
搔	1	소	sāo	SO	SOU	KAKU	to scratch
跱	1	치	zhì	CHI	CHI JI	TODOMARU	stop
脈	1	맥	mài	MAYK	MYAKU BAKU	SUJI	blood vessels, veins, arteries
矔	1		guàn				
蘧	1	거	qú	KE	KU GU KYO		Dianthus superbus
謁	1	알	yè	AL	ETSU	MAMIERU	visit, pay respects to
埴	1	식	zhí	SIK CHI	SHOKU	HANI	soil with large clay content
汯	1		hóng		KOU OU		
构	1		gòu		KOU	KAMAAERU KAMAAU	frame, building, structure
捉	1	착	zhuō	CHAK	SOKU SAKU	TORAERU	grasp, clutch; catch, seize
净	1		jìng				clean, pure; cleanse
篇	1	편	piān	PHYEN	HEN	MAKI	chapter, section, essay, article
艳	1		yàn				beautiful, sexy, voluptuous
妠	1		nà		DOU NOU DATSU NACHI DAN NAN	METORU IRERU TORU	(Cant.) to collect, seize, grab
獄	1	옥	yù	OK	GOKU KYOKU	HITOYA	prison, jail; case; lawsuit
耄	1	모	mào	MO	MOU BOU	OIBORERU	elderly person; very old, senile
切	1	절 체	qiè	CEL CHEY	SETSU SAI	KIRU KIRE KIRI	cut, mince, slice, carve
昷	1	온	wēn	ON	ON	MEGUMU	to feed a prisoner
螺	1	나 라	luó	LA LEY	RA	NINA	spiral shell; conch; spiral
㻌	1		tú				fine jade
怛	1	달	dá	TAL	DATSU TATSU	ITAMU	grieved, saddened; worried
琂	1		yán				
琟	1	유	wéi				
珹	1	성	chéng	SENG	SEI JOU	TAMA	type of jade; pearl
玿	1	소	sháo		SHOU JOU		
簣	1		kuì		KI	AJIKA	a bamboo basket for carrying earth
欺	1	기	qī	KI	GI KI	AZAMUKU	cheat, double-cross, deceive
釿	1	근	jīn	KUN	KIN GIN	TATSU KIRU MASAKARI	hew, chop, smooth
抃	1	변	biàn	PYEN	BEN	UTSU	to clap hands; to cheer
喚	1	환	huàn	HWAN	KAN	YOBU	call, summon; invite; be called
搏	1	박	bó	PAK	HAKU	UTSU TORU	seize; spring upon; strike
莽	1	망	mǎng	MANG	BOU MOU	KUSA	thicket, underbrush; poisonous
磁	1	자	cí	CA	JI SHI	JISHAKU YAKIMONO	magnetic; magnetism; porcelain
鸑	1		yuè		GAKU		a legendary waterfowl; a young phoenix
騏	1	기	qí	KI	KI	KUROMIDORI	piebald horse; excellent horse
陲	1	수	chuí	SWU	SUI	HOTORI	frontier, border
郔	1		yán				place name in Shandong province
槦	1	용	yōng	YONG			
沌	1	돈	dùn	TON	TON	FUSAGARU KURAI OROKA	chaotic, confused; turbid, murky
賡	1	갱	gēng	KAYNG	SHOKU ZOKU KOU KYOU	TSUGU TSUGUNAFU	continue
瀣	1	해	xiè	HAY	KAI GAI	MIZU	sea mist; vapor
鄠	1		hù		KO GO		county in Shanxi province
栟	1		bēn		HEI HYUU HIN		hemp palm
翽	1		huì		KAI KE	HABATAKI	whir
稃	1		fū		FU FUU BU	MOMIGARA	bran; seed capsules
稧	1	설	xì	SEL	KEI GEI KETSU KECHI	WARA MISOGI	
鄘	1		yōng		YOU YU		state in Henan province
愸	1		zhěng				
㮚	1		lì				(an ancient form of 栗) the chestnut tree, a kind of metalwor
錤	1	기	jī	KI	KI GI	SUKI	hoe
畏	1	외	wèi	OY	I	OSORERU KASHIKOSHI KASHIKOMARU	fear, dread, awe, reverence
韙	1	위	wěi	WI	I	TADASHII	right; proper; propriety
潀	1		cóng		SOU	ATSUMARU	gather; flow into (water); sound of waters flowing together
䋔	1		bì				to band together; to twist; to wring and to disperse fiber t
磵	1	간	jiàn	KAN			brook, mountain stream
繤	1		zuǎn	CHAN	SAN	ATSUMERU	edit
繟	1		chǎn		SEN TAN DAN ZEN	YURUI	
崱	1		zè		SHOKU JIKI		lofty
病	1	병	bìng	PYENG	BYOU HEI	YAMU YAMAI UREE	illness, sickness, disease
崌	1		jū				mountain name
汙	1	오	wū	O	O	KEGAASU KEGAARERU TOGOOSU KEGAARERUKEGAARUWASHII	filthy, dirty, impure, polluted
璄	1	경	jǐng				
鈒	1	삽	sà	SAP	SOU SHUU KYUU KOU	TEBOKO	spear; (Cant.) to cut, slice; grass-shears
滻	1		chǎn		SAN SEN		a river in Shaanxi
喦	1		niè	YEP	JOU NYOU	OSHABERI	talkative
鮪	1	유	wěi	YU	I YUU	MAGURO SHIBI	kind of sturgeon, tuna
鰅	1		yú				
袨	1		xuàn		KEN GEN	HAREGI	
禬	1		guì				
峒	1	동	dòng	TONG	TOU ZU DOU		mountain in Gansu province
拻	1		huī				
翿	1		dào		TOU DOU	HATABOKO	streamer adorned with feathers
咺	1		xuǎn	HWEN	KEN KUUN	OSORERU	majestic
瑝	1	황	huáng	HWANG	KOU OU		
亻	1		rén	IN			radical number 9
雚	1	관	guàn	KWAN	KAN	KOUNOTORI	a heron; small cup
諄	1	순	zhūn	SWUN	JUN SHUN	KUDOKUDO NENGORO	patient, earnest; earnestly
㥓	1		qī				happy; contented; pleased, fragile, nearly; almost, cunning;
曎	1		yì		EKI YAKU	HIKARU	
岧	1	초	tiáo	CHO	TEU DEU		peak; cliff; precipice
樽	1	준	zūn	CWUN	SON	TARU	goblet; jar, jug; lush
畛	1	진	zhěn	CIN	SHIN	AZE	border, boundary; raised path
揣	1	췌	chuāi	CHWI THA	SHI SUI TAN	HAKARU KOKOROMIRU SADAMERU	put things under clothes
爭	1	쟁	zhēng	CAYNG	SOU	ARASOU	to dispute, fight, contend, strive
磎	1	계	xī	KYEY	KEI	TANI	mountain stream, creek
鈹	1		pī		HI	OOHARI	a needle used in Chinese medicine; a sword, large knife; ber
苹	1	평	píng	PHYENG	HEI HOU HEN	UKIKUSA YOMOGI ASHI	artemisia; duckweed; apple
銚	1	조	yáo	CO	YOU CHOU	NABE SUKI HOKO	large hoe; surname; a spear
䢔	1		hé				mixed; abundant; assorted, repeated
禊	1	계	xì	KYEY	KEI	MISOGI HARAU	semi-annual ceremony of purification
鴈	1	안	yàn	AN	GAN	KARI AHIRU	wild goose
鐧	1		jiān				kind of rapier
蔜	1		áo		GOU	HAKOBI	
縑	1	겸	jiān	KYEM	KEN	KINU	fine silk
詣	1	예	yì	YEY	KEI GEI	ITARU MOUDERU	reach; achievement, accomplishment
鍰	1	환	huán	HWAN	KAN GEN EN	MEKATA	measure; money, coins
鐙	1	등	dèng	TUNG	TOU	TAKATSUKI HITOMOSHI ABUMI	lamp; a kind of cooking vessel
祤	1		yǔ				
憻	1	탄	tǎn	THAN			
晠	1	성	shèng		SEI JOU	AKIRAKA	
僙	1		guāng		KOU	TAKEDAKESHIISAMA	
俏	1	소 초	qiào	SO	SEU	NIRU KATADORU MIMETOISAMA	like, similar; resemble; pretty
鉟	1		pī				
鋂	1		méi		BAI MAI BOU MYOU	KUSARI	bit cup
釬	1		hàn		KAN GAN	KOTE	weld, solder
宷	1		shěn		SHIN	TSUMABIRAKA TSUBUSANI	
惴	1	췌	zhuì	CHWEY	ZUI SUI	OSORERU	afraid, apprehensive, nervous
曍	1		hào				bright, brilliant
澭	1		yōng				
濘	1	녕	nìng	NYENG	NEI	NUKARU	mud; miry, muddy, stagnant
憒	1	궤	kuì	KWEY	KAI GAI	MIDARERU	confused, troubled, muddle-headed
緷	1		yùn				
㤝	1		chōng				palpitation or fluttering of the heart, to become interested
悺	1		guàn				
僴	1		xiàn				
籯	1		yíng				bamboo chest; tubular bamboo case
嵫	1		zī				a hill in Shantung
佴	1	이	nài	I	JI NI DAI NAI	TASUKE SOHI NARABU ORU TSUGU	a second, an assistant
偆	1	준	chǔn	CHWUN	SHUN	ATSUI UGOMEKU	
償	1	상	cháng	SANG	SHOU	TSUGUNAU TSUGUNAI	repay, recompense; restitution
賨	1		cóng		SOU ZU	MITSUGI	tribute paid in cloth by the tribes in Szechwan and Yunnan u
僓	1		tuǐ		TAI DE KAI E TE	NARAU MIYABIYAKA SHITAGAHU	
侳	1		zuò	CWA	SA	HAZUKASHIMERU YASURAKA	
倞	1	경	jìng	KYENG	KEI KYOU RYOU OU	TSUYOI AKIRAKA TOOI MOTOMERU KISOHU	far
寪	1		wěi		I GI		surname
㝣	1		yì				still; calm; silent, peaceful; harmonious; serene, quite
僆	1		liàn	LYEN	REN	HUTAGO OYOBU OHITSUKU	
侒	1	안	ān	AN	AN	YASURAKA	
倛	1		qī	KI	KI	AZAMUKU	
僝	1		chán	CAN	SAN ZEN	SONAERU NONOSHIRU ARAWASU	to revile; to abuse
佼	1	교	jiǎo	KYO	KOU KYOU	UTSUKUSHII	beautiful, handsome, good-looking
侁	1	신	shēn	SIN	SHIN	YUKUSAMA TSUKAHI	crowd
傆	1		yuàn		GEN GAN KAN	KOZAKASHII	
佟	1	퉁	tóng	TONG	TOU ZU		a name
仂	1		lè	LUK	ROKU RYOKU	AMARI TSUTOMERU	surplus or excess; remainder
傛	1	용	yǒng	YONG	YOU YU	KAGAMU	
伓	1		pī		HAI HE HI		
俘	1	부	fú	PWU	FU	TORIKO	prisoner of war; take as prisoner
僇	1		lù	LYUK	RIKU ROKU RU	HAJI HAZUKASHIMERU	humiliate; treat with contempt
侚	1	순	xùn	SWUN	SHUN JUN	SUMIYAKA SHIMESU TONAERU HUKAI TSUKAHU	fast
佽	1	차	cì	CHA	SHI	SUBOSHIKOI NARABU TASUKERU OYOBI KAHARUGAHARU	aid; help
炫	1	현	xuàn	HYEN	KEN GEN	HIKARU	shine, glitter; show off, flaunt
熺	1	희	xī	HUY	KI	AKARUI ABURU	dim light, glimmer; warm
澟	1	름	lǐn	LUM	RIN	SAMUI	
瀆	1	독	dú	TOK	TOKU TOU	MIZO KEGASU KEGARE	ditch, sluice, gutter, drain
洊	1	천	jiàn	CHEN	SEN ZEN SON ZON	ITARU	flowing water
杳	1	묘	yǎo	MYO YO	YOU	HARUKA	obscure, dark, mysterious, deep
涯	1	애	yá	AY UY	GAI	KISHI HATE	shore, bank, water's edge
嶓	1		bō		HA		Boshan, mountain in Shaanxi
扢	1		gǔ				caper
週	1	주	zhōu	CWU	SHUU	MEGURU	week; turn, cycle; anniversary
嵎	1	우	yú	YU	GUU GU	KUMA	mountain recess; canyon
楹	1	영	yíng	YENG	EI	HASHIRA	column, pillar; numerary adjunct
㝢	1	우	yǔ				(same as 宇) a house; a roof, look; appearance, space
琀	1		hán		KAN GON	HUKUMIDAMA	gems of pearls formerly put into the mouth of a corpse
佇	1	저	zhù	CE	CHO	TATAZUMU	wait; look towards; turn one's back on
恡	1		lìn		RIN	OSHIMU YABUSAKA	stingy, sparing of; close-fisted
䎖	1		zēng				soaring up in the sky
夽	1	운	yǔn				
證	1	증	zhèng	CUNG	SHOU	AKASHI	proof, evidence; testify, verify
翛	1	소	xiāo	SO	YUU YU SHUKU	HAYAI	look of rumpled feathers; bedraggled; hasty; rapid flight
琈	1		fú				
驂	1	참	cān	CHAM	SAN	SOEUMA	two outside ones in three horse
戀	1	련 연	liàn	LYEN	REN	KOI KOISHII	love; long for, yearn for; love
霏	1	비	fēi	PI	HI	MOYA	falling of snow and rain
