han	corpus_count	ko_readings	zh_pinyin	kKorean	kJapaneseOn	kJapaneseKun	definition
尾	290	미	wěi	MI	BI	O	tail, extremity; end, stern; 6th lunar mansion, determinativ
秋	284	추	qiū	CHWU	SHUU	AKI TOKI	autumn, fall; year
廣	282	광	guǎng	KWANG	KOU	HIROI HIROBA HIROMERU	broad, wide, extensive
九	282	구	jiǔ	KWU KYU	KYUU KU	KOKONOTSU	nine
雄	280	웅	xióng	WUNG	YUU	OSU O	male of species; hero; manly
莊	279	장	zhuāng	CANG	SOU	OGOSOKA	village, hamlet; villa; surname
胤	279	윤	yìn	YUN	IN	TANE TSUGU YOTSUGI	heir, successor; progeny, posterity
賢	278	현	xián	HYEN	KEN	KASHIKOI MASARU	virtuous, worthy, good; able
賀	277	하	hè	HA	GA KA	YOROKOBU	congratulate; send present
麻	277	마	má	MA	MA BA	ASA	hemp, jute, flax; sesame; Kangxi radical 200
細	276	세	xì	SEY	SEI SAI	HOSOI KOMAKAI KUWASHII	fine, tiny; slender, thin
玄	274	현	xuán	HYEN	GEN KEN	KURO	deep, profound, abstruse; Kangxi radical 95
敬	273	경	jìng	KYENG	KEI KYOU	UYAMAU	respect, honor; respectfully
慶	272	경	qìng	KYENG KANG	KEI KYOU	YOI YOROKOBU	congratulate, celebrate
戸	271		hù	HO	KO	TO HE	door; family
福	269	복	fú	POK	FUKU	SAIWAI HIMOROGI	happiness, good fortune, blessing
堀	268	굴	kū	KWUL	KUTSU	HORI HORU ANA	cave, hole
古	267	고	gǔ	KO	KO	FURUI INISHIE	old, classic, ancient
則	265	칙	zé	CHIK CHUK	SOKU	NORI NOTTORU SUNAWACHI	rule, law, regulation; grades
足	260	족	zú	COK CWU	SOKU SHOKU SUU	ASHI TARIRU TASU	foot; attain, satisfy, enough; Kangxi radical 156
年	259	년 연	nián	NYEN	NEN	TOSHI MINORU YOWAI	year; new-years; person's age
妻	259	처	qī	CHE	SAI	TSUMA MEAWASERU	wife
顕	259	현	xiǎn	HYEN	KEN GEN	AKIRAKA ARAWARERU	manifest, display; evident, clear
酒	258	주	jiǔ	CWU	SHU	SAKE	wine, spirits, liquor, alcoholic beverage
雅	257	아	yǎ	A	GA A	MIYABIYAKA TSUNE	elegant, graceful, refined
友	256	우	yǒu	WU	YUU	TOMO	friend, companion; fraternity
英	255	영	yīng	YENG	EI	HANABUSA HANA HIIDERU	petal, flower, leaf; brave, a hero; England, English
千	253	천	qiān	CHEN	SEN	CHI	thousand; many, numerous; very; (Cant.) a cheater, swindler
思	252	사	sī	SA	SHI	OMOU OMOI	think, consider, ponder; final particle
教	252	교	jiào	KYO	KYOU KOU	OSHIERU OSHIE	teach, class
範	250	범	fàn	PEM	HAN	NORI	pattern, model, rule, law
口	248	구	kǒu	KWU	KOU KU	KUCHI	mouth; open end; entrance, gate
冥	245	명	míng	MYENG	MEI	KURAI	dark, gloomy, night; deep
滎	245	형	xíng	HYENG	KEI GYOU EI	CHIYOROCHIYORO	county in Henan; rising and dashing of waves
善	243	선	shàn	SEN	ZEN	YOI	good, virtuous, charitable, kind
竹	242	죽	zhú	CWUK	CHIKU	TAKE	bamboo; flute; Kangxi radical 118
呂	240	려 여	lǚ	LYE	RYO RO	SEBONE	surname; a musical note
周	239	주	zhōu	CWU	SHUU	MAWARI AMANESHI MEGURU	Zhou dynasty; circumference
下	239	하	xià	HA	KA GE	SHITA SHIMO MOTO	under, underneath, below; down; inferior; bring down
能	239	능	néng	NUNG NAY	NOU DAI	ATAU YOKUSURU	to be able; can, permitted to; ability
近	239	근	jìn	KUN	KIN KON	CHIKAI	near, close; approach; intimate
笠	239	립 입	lì	LIP	RYUU	KASA	bamboo hat; bamboo covering
岡	238	강	gāng	KANG	KOU	OKA	ridge or crest of hill
葉	237	섭 엽	yè	YEP SEP	YOU SHOU	HA	leaf, petal; page of book; period
眉	235	미	méi	MI	BI MI	MAYU	eyebrows; upper margin of book
十	234	십	shí	SIP	JUU JITSU	TOU TOTABI	ten, tenth; complete; perfect
潁	232	영	yǐng	YENG	EI		river in Anhui
深	232	심	shēn	SIM	SHIN	FUKAI FUKASA FUKAMERU	deep; depth; far; very, extreme
建	232	건	jiàn	KEN	KEN KON	TATERU	build, establish, erect, found
彭	231	팽	péng	PHAYNG PANG	HOU	YUKU MICHI SAKAN	name of ancient country; surname
鼎	231	정	dǐng	CENG	TEI	KANAE MASANI	large, three-legged bronze caldron; Kangxi radical 206; hexa
延	230	연	yán	YEN	EN	NOBIRU NOBASU	delay, postpone, defer
尚	229		shàng	SANG	SHOU	KUWAERU TATTOBU NEGAU	still, yet; even; fairly, rather
谷	229	곡	gǔ	KOK YOK	KOKU YOKU	TANI KIWAMARU	valley, gorge, ravine; Kangxi radical 150
橋	225	교	qiáo	KYO	KYOU KOU	HASHI	bridge; beam, crosspiece
相	225	상	xiāng	SANG	SHOU SOU	AI MIRU TASUKERU	mutual, reciprocal, each other
御	223	어	yù	E A	GYO GO	ON OSAMERU	drive, ride; chariot; manage
市	223	시	shì	SI	SHI	ICHI	market, fair; city, town; trade
泉	222	천	quán	CHEN	SEN	IZUMI ZENI	spring, fountain; wealth, money
人	220	인	rén	IN	JIN NIN	HITO	man; people; mankind; someone else
鳥	219	조	niǎo	CO	CHOU	TORI	bird; Kangxi radical 196
孔	218	공	kǒng	KONG	KOU	ANA HANAHADA	opening, hole, orifice; great
智	217	지	zhì	CI	CHI	CHIE	wisdom, knowledge, intelligence
夏	216	하	xià	HA	KA GE	NATSU	summer; great, grand, big
純	216	순 준	chún	SWUN CWUN	SHUN JUN TON	KIITO MOPPARA	pure, clean, simple
満	216		mǎn		MAN BAN	MICHIRU MITASU	fullness, enough; pride
士	216	사	shì	SA	SHI JI	SAMURAI	scholar, gentleman; soldier
黃	214	황	huáng	HWANG	KOU OU	KI	yellow; surname; Kangxi radical 201
命	214	명	mìng	MYENG	MEI MYOU	INOCHI OOSE MIKOTO	life; destiny, fate, luck; an order, instruction
憲	209	헌	xiàn	HEN	KEN	NORI	constitution, statute, law
宇	209	우	yǔ	WU	U	NOKI IE	house; building, structure; eaves
美	209	미	měi	MI	BI MI	UTSUKUSHII YOI HOMERU	beautiful, pretty; pleasing
祖	207	조	zǔ	CO	SO	JIJI HAJIME	ancestor, forefather; grandfather
金	206	금 김	jīn	KIM KUM	KIN KON	KANE	gold; metals in general; money; Kangxi radical 167
府	206	부	fǔ	PWU	FU	YAKUSHO MIYAKO	prefecture; prefect; government
贊	203	찬	zàn	CHAN	SAN	TASUKERU TATAERU	help, support, assist, aid
居	202	거	jū	KE KI	KYO KI	IRU ORU OKU	live, dwell, reside, sit
承	201	승	chéng	SUNG	SHOU SOU	UKETAMAWARU UKERU	inherit, receive; succeed
代	201	대	dài	TAY	DAI TAI	KAWARU YO SHIRO	replace, replacement (of person or generation); era, generat
蘇	200	소	sū	SO	SO SU	YOMIGAERU	revive, resurrect; a species of thyme; transliteration of 'S
順	197	순	shùn	SWUN	JUN SHUN	SUNAO SHITAGAU	obey, submit to, go along with
堂	197	당	táng	TANG	DOU TOU	TAKADONO SUMAI	hall; government office
森	197	삼	sēn	SAM	SHIN	MORI	forest; luxuriant vegetation
孫	195	손	sūn	SON	SON	MAGO	grandchild, descendent; surname
黄	194		huáng	HWANG	KOU OU	KI	yellow; surname
業	194	업	yè	EP	GYOU GOU	WAZA SUDENI	profession, business, trade
益	193	익	yì	IK	EKI YAKU	MASU MASUMASU	profit, benefit; advantage; hexagram ䷩
稲	193		dào	TO	TOU	INE	rice growing in field, rice plant
衡	193	형	héng	HYENG HOYNG	KOU	HAKARI HAKARU	measure, weigh, judge, consider
青	192	청	qīng	CHENG	SEI SHOU	AO AOI	blue, green; young; Kangxi radical 174
溫	192	온	wēn	ON	ON UN	ATATAKA ATATAMERU	lukewarm, warm; tepid, mild
敏	191	민	mǐn	MIN	BIN MIN	TOSHI SATOI	fast, quick, clever, smart
富	190	부	fù	PWU	FU FUU	TOMU TOMI	abundant, ample; rich, wealthy
玉	188	옥	yù	OK	GYOKU GOKU	TAMA	jade, precious stone, gem
寿	187	수	shòu	SWU	JU JUU SU SHUU	KOTOBUKI HISASHII KOTOHOGU	old age, long life; lifespan
路	187	노 로	lù	LO	RO	JI MICHI	road, path, street; journey
須	187	수	xū	SWU	SHU SU	HIGE MOTOMERU MOCHIIRU	must, have to, necessary; moment; whiskers
君	185	군	jūn	KWUN	KUN	KIMI	sovereign, monarch, ruler, chief, prince
八	185	팔	bā	PHAL	HACHI HATSU	YATSU YATABI	eight; all around, all sides
柳	184	류 유	liǔ	LYU	RYUU	YANAGI	willow tree; pleasure; 24th lunar mansion, determinative sta
彥	183	언	yàn	EN	GEN	HIKO	elegant, handsome; learned
見	181	견 현	jiàn	KYEN HYEN	KEN	MIRU MIERU MAMIERU	see, observe, behold; perceive; Kangxi radical 147
言	180	언	yán	EN UN	GEN GON GIN	KOTO IU KOTOBA	words, speech; speak, say; Kangxi radical 149
里	180	리 이	lǐ	LI	RI	SATO	unit of distance; village; lane; Kangxi radical 166
幸	180	행	xìng	HAYNG	KOU	SAIWAI SHIAWASE SACHI	luck(ily), favor, fortunately
浅	179		qiǎn	CHEN	SEN	ASAI	shallow, not deep; superficial
瀬	179		lài	LOY	RAI	SE	swift current; rapids
持	179	지	chí	CI	JI CHI	MOTSU MOCHI	sustain, support; hold, grasp
輔	179	보	fǔ	PO	FU BU HO	TASUKERU TASUKE SUKE	cheek bone; protective; assist
