geni_id,qid,label_en
6000000037591478488,Q45386597,Wu Zi
6000000037591503482,Q45363052,Wang Wei
6000000037591515207,Q2898768,Wang Ling
6000000037591559980,Q45363115,Wu Min
6000000037591582013,Q45390713,Wu Rui
6000000037591592660,Q45362452,Su Dai
6000000037591597159,Q45359969,Wu Yue
6000000037591886338,Q45391332,Su Mai
6000000037591899292,Q947039,Su Xun
6000000037592032099,Q10514231,Su Guo
6000000037592099973,Q36020,Su Shi
6000000037603178579,Q45391360,Su Kuo
6000000037603270240,Q45391369,Su Jian
6000000037603387400,Q45391354,Su Jiong
6000000037603431461,Q45358667,Su Zhou
6000000037603605908,Q45390717,Wu Que
6000000037603687944,Q45358656,Su Chi
6000000037603781935,Q45358703,Su Ce
6000000037678045908,Q16075968,Fan Chunli
6000000037700339204,Q19825226,Fan Chuncui
6000000037700386149,Q15926068,Fan Chunren
6000000037721770284,Q45365261,Wang Bi
6000000037721778568,Q19653769,Fan Zhengguo
6000000037721819352,Q19653772,Fan Zhengsi
6000000037721915382,Q19653773,Fan Zhengmin
6000000037722004326,Q45365195,Sima Hong
6000000037722051249,Q19653770,Fan Zhengping
6000000037722053264,Q45362694,Cai Gu
6000000037722083273,Q45365217,Cui Baosun
6000000037722184067,Q45363791,Wang Shi
6000000037722359879,Q45426590,Fan Zhenglu
6000000037722398165,Q45433544,Wang Gui
6000000037745941540,Q16076358,Han Zhongyan
6000000037745968305,Q45356323,Han Qi
6000000037746241493,Q45387263,Han Hao
6000000037746249975,Q45383980,Fan Zhengfu
6000000037746454071,Q45361214,Han Zhi
6000000037746643862,Q45427827,Han Zao
6000000037746669834,Q45427866,Han Cheng
6000000037869833609,Q10317793,Chao Jiong
6000000037870028817,Q45360422,Chao Zhongwei
6000000037870103592,Q45378085,Chao Zhongyuan
6000000037870412063,Q45365351,Chao Zhongyan
6000000037888702674,Q45377977,Chao Duanzhong
6000000037888843569,Q11089173,Chao Yuezhi
6000000037888980437,Q45354631,Chao Duanyan
6000000037889074236,Q45377968,Chao Zhongxun
6000000037889287747,Q10295880,Zhang Biaochen
6000000037889289306,Q8050756,Ye Mengde
6000000037889310875,Q45360455,Chao Duanyou
6000000037889379259,Q45360447,Chao Duanli
6000000037889380326,Q45369681,Chao Gongsu
6000000037889405881,Q1275360,Zeng Gong
6000000037889421516,Q45360413,Chao Quan
6000000037889594982,Q45360420,Chao Zhongcan
6000000037889757848,Q5072727,Chao Chongzhi
6000000037889848910,Q45360462,Chao Yongzhi
6000000037889899021,Q45378024,Chao Duangui
6000000037890140333,Q11091628,Zeng Zhao
6000000037890215169,Q45383383,Zeng Renwang
6000000037890358015,Q7228641,Zeng Zhiyao
6000000037890432957,Q45366040,Zeng Yizhan
6000000037890471938,Q4391229,Zeng Bu
6000000037910423126,Q45384004,Fan Zhifang
6000000037910596056,Q19825225,Fan Zhiyun
6000000037910886848,Q45365953,Sima Kang
6000000038027087780,Q45358164,Lv Xichun
6000000038027132594,Q45358166,Lv Xiji
6000000038027136715,Q45358189,Lv Gongru
6000000038027137799,Q9628247,Lü Xizhe
6000000038027154817,Q10919873,Lü Gongzhu
6000000038027199751,Q45358193,Lü Gongbi
6000000038027219805,Q45376490,Lv Mengzhou
6000000038027305519,Q10918439,Lü Mengzheng
6000000038027375748,Q45387648,Lv Zhijian
6000000038027377264,Q10919892,Lü Yijian
6000000038027406702,Q4272132,Lü Zuqian
6000000038027443234,Q45376482,Lv Guixiang
6000000038027443434,Q45387608,Lv Xingjian
6000000038027448140,Q45365172,Lv Menghen
6000000038027512540,Q9627021,Lü Qiaonian
6000000038027526626,Q45387597,Lv Dalun
6000000038027570848,Q30947356,Lü Gongchuo
6000000038027605041,Q45376487,Lv Mengsun
6000000038027609056,Q45376475,Lu Mengqi
6000000038027614325,Q9627505,Lü Haowen
6000000038027626558,Q10919953,Lü Benzhong
6000000038027655458,Q45358233,Lv Yongzhong
6000000038027664245,Q65798587,Zeng Shi
6000000038027666981,Q45376478,Lv Guitu
6000000038027678135,Q9628003,Lü Jujian
6000000038027713047,Q45376496,Lv Wujian
6000000038027714961,Q45387680,Lv Weijian
6000000038027734153,Q9616216,Lü Zujian
6000000038027775997,Q45358203,Lv Bengzhong
6000000038027862834,Q45387681,Lv Congjian
6000000038027896831,Q45387651,Lv Chengjian
6000000038027902868,Q9627182,Lü Daqi
6000000038045232205,Q45387675,Lv Shijian
6000000038045643543,Q16075953,Fan Chong
6000000038045782808,Q45369517,Fan Zushu
6000000038045947317,Q45365617,Fan Baizhi
6000000038045959341,Q15912473,Fan Zuyu
6000000038046062185,Q45384116,Fan Zhongbiao
6000000038046081130,Q10503917,Fan Wen
6000000038046256338,Q16078116,Fan Kai
6000000038046299496,Q45369521,Fan Cui
6000000038046431203,Q45369525,Fan Zhongfu
6000000038046543985,Q45389161,Fan Zude
6000000038046558315,Q45384021,Fan Baisui
6000000038046559861,Q15897363,Fan Bailu
6000000038046573201,Q45361116,Fan Bailu
6000000038046578306,Q45378696,Fan Baikui
6000000038046601874,Q45409962,Fan Zuxiu
6000000038046617910,Q45384035,Fan Zuyi
6000000038046721827,Q45384103,Fan Zhongyun
6000000038046765960,Q45361112,Fan Baijia
6000000038046835879,Q16078123,Fan Zi
6000000038067986658,Q45391511,Su Dan
6000000038068824837,Q45362419,Su Xu
6000000038068827870,Q45362424,Su Huan
6000000038069434232,Q45362806,Zeng Xiaochuo
6000000038069538248,Q10324555,Zeng Xiaoyun
6000000038069706867,Q10324490,Zeng Xiaokuan
6000000038069706896,Q8069062,Zeng Gongliang
6000000038069848844,Q45362811,Zeng Xiaozong
