geni_id,field,value,numeral_tokens,found_in
6000000001504979346,GIVN,Jean VI,VI,exports/fleshing-out/export-geni/export-Forest-31.ged
6000000001504979693,NICK,Crato VI de Hohelohe,VI,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001504979693,NICK,Kraft VI von Hohenlohe,VI,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001504987829,NICK,Innocentius IV,IV,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001504987829,NICK,Innozenz IV.,IV.,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001504987829,NICK,Inocencio IV,IV,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001504987829,NICK,Inocêncio IV,IV,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001504987829,NICK,Иннокентий IV,IV,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001504991257,GIVN,Johann VII,VII,exports/descendants/export-Descendants-6000000177955802827.ged
6000000001504991599,GIVN,"Wilhelm III., Graf","III.,",exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001504991621,GIVN,Bernhard III,III,exports/descendants/export-Descendants-6000000177955802827.ged
6000000001504991928,GIVN,"Ludwig I, Graf von","I,",exports/fleshing-out/export-geni/export-Forest-32.ged
6000000001504993353,GIVN,Eberhard V,V,exports/chain-seeds/export-Forest-6000000227298391886.ged
6000000001504993360,GIVN,Wilhelm I,I,exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001504993486,GIVN,Gobert VIII,VIII,exports/chain-seeds/export-Forest-6000000227298391886.ged
6000000001507731077,GIVN,?,?,exports/8-19 exports/export-Forest-6000000227297589821.ged
6000000001510499255,GIVN,Carrie I.,I.,exports/archive/export-geni/export-Forest-25.ged
6000000001514999817,NICK,IX Señor de Palazuelo y Carija,IX,exports/chain-seeds/export-Forest-6000000227315929835.ged
6000000001515002037,NICK,III Duque de la Vega,III,exports/hermenegildo/export-Descendants-6000000227725063822.ged
6000000001515002037,NICK,IV Marqués de Jamaica,IV,exports/hermenegildo/export-Descendants-6000000227725063822.ged
6000000001515002223,NICK,IX C. de Gavia la Grande,IX,exports/hermenegildo/export-Descendants-6000000227725063822.ged
6000000001517344681,GIVN,Albrecht V “der Grossmüthige”,V,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001517402269,NICK,Nicholas II Eaton Baron of Stockport,II,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001517463064,NICK,Edward Goode III,III,exports/chain-seeds/export-Forest-6000000227312490920.ged
6000000001517463424,GIVN,Viljamas IV,IV,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001517463424,GIVN,"Wilhelm IV ""the Steadfast""",IV,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001517463424,GIVN,Wilhelm IV «der Standhafte»,IV,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001517866371,GIVN,unknown mother of Geoffroy (concubine of Richard I),I),exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001521816731,GIVN,Albertas II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001521816731,GIVN,Albrecht II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001521816731,GIVN,Albrecht II II.,II II.,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001521816731,GIVN,Albrecht II.,II.,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001521816731,NICK,Albert V Archduke of Austria,V,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001526952099,GIVN,Wizlaw II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001526952099,NICK,Wizlaw II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001529614466,GIVN,Giovanni III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001529614466,GIVN,Ioannes III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001529617371,GIVN,Chilperic I,I,exports/archive/export-geni/export-Forest-2.ged
6000000001529617385,NICK,Rechilla I,I,exports/archive/export-geni/export-Forest-17.ged
6000000001529617955,GIVN,Boniface II,II,exports/gaps/export-Ancestors-6000000177921459114.ged
6000000001529617955,GIVN,Bonifacio II,II,exports/gaps/export-Ancestors-6000000177921459114.ged
6000000001529617955,GIVN,Bonifatius II.,II.,exports/gaps/export-Ancestors-6000000177921459114.ged
6000000001530433381,_MARNM,Kusse? / Storm?,/,exports/chain-seeds/export-Forest-6000000227320438845.ged
6000000001531197688,GIVN,Robert I,I,exports/8-19 exports/export-Descendants-6000000227258314174.ged
6000000001531202412,GIVN,Gaucher I,I,exports/gaps/export-Descendants-6000000227086244080.ged
6000000001531202519,GIVN,Enrico I Conde,I,exports/chain-seeds/export-Forest-6000000227298391886.ged
6000000001531202519,GIVN,Hendrik I,I,exports/chain-seeds/export-Forest-6000000227298391886.ged
6000000001531243264,GIVN,Robert I,I,exports/8-19 exports/export-Forest-6000000227296941934.ged
6000000001531282463,NICK,Thomas Chapin (1671),(1671),exports/edges/export-Forest-6000000227254345871.ged
6000000001531288456,NICK,III,III,exports/fleshing-out/export-geni/export-Forest-15.ged
6000000001531309686,GIVN,Tommaso III,III,exports/8-19 exports/export-Forest-6000000227297512829.ged
6000000001531309940,GIVN,Ermengaud II,II,exports/8-19 exports/export-Forest-6000000227297762830.ged
6000000001531396406,GIVN,Wife of Theodo III Von,III,exports/gaps/export-Forest-6000000227086455824.ged
6000000001532164885,NICK,"Kallad ""Janke'"". I födelseboken står: ""Johannes"".",I,exports/8-19 exports/export-Forest-6000000227297681897.ged
6000000001532250165,GIVN,?,?,exports/chain-seeds/export-Forest-6000000227316301867.ged
6000000001532952729,GIVN,Mansur Riayat Syah I,I,exports/chinese-clusters/export-Descendants-6000000227722412975.ged
6000000001532952729,_MARNM,ibni Sultan Zainal Abidin I,I,exports/chinese-clusters/export-Descendants-6000000227722412975.ged
6000000001532954962,GIVN,Sultan Zainal Abidin II ibni,II,exports/chinese-clusters/export-Descendants-6000000227722412975.ged
6000000001532954962,_MARNM,[Al-Marhum] Sultan Mansur Riayat Shah I,I,exports/chinese-clusters/export-Descendants-6000000227722412975.ged
6000000001533289347,_MARNM,Sultan Mansur Riayat Shah I,I,exports/chinese-clusters/export-Descendants-6000000227722412975.ged
6000000001534887771,GIVN,Johann Ernst I,I,exports/descendants/export-Descendants-6000000177955802827.ged
6000000001534991182,GIVN,Johan II Maria Wilhelm,II,exports/8-19 exports/export-Descendants-6000000227326510857.ged
6000000001534991182,NICK,Johan II,II,exports/8-19 exports/export-Descendants-6000000227326510857.ged
6000000001538262290,NICK,Lund ?,?,exports/bure-campaign/export-Forest-6000000227474827821.ged
6000000001541143085,SURN,Monroy ?,?,exports/chain-seeds/export-Forest-6000000227302210847.ged
6000000001543487593,GIVN,Karl Alexander XI,XI,exports/descendants/export-Descendants-6000000177955802827.ged
6000000001543798015,GIVN,Eberhard III,III,exports/descendants/export-Descendants-6000000177955802827.ged
6000000001544453863,GIVN,Guigues III,III,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001544453863,GIVN,Guy III,III,exports/chain-seeds/export-Forest-6000000227313486929.ged
6000000001544493632,GIVN,Beatrice III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001544554402,GIVN,Amalric I,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001544554402,GIVN,Amalrik I,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001544554402,GIVN,Amaury I,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001544600421,GIVN,Teobaldo III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001544600421,NICK,Count of Champagne & Brie,&,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001544600421,NICK,Thibaut III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001547754595,GIVN,NR Epoh Djar' ah / Rd Hj Siti Rohana,/,exports/fleshing-out/export-geni/export-Forest-19.ged
6000000001548136270,GIVN,Christoph II.,II.,exports/chain-seeds/export-Forest-6000000227306452830.ged
6000000001549980127,GIVN,Johan Edvard / Evert,/,exports/bure-campaign/export-Forest-6000000227477211859.ged
6000000001550059512,SURN,Jonsson / Jonasson),/,exports/chain-seeds/export-Forest-6000000227322307822.ged
6000000001552874983,GIVN,Friedrich I,I,exports/chain-seeds/export-Forest-6000000227306504844.ged
6000000001552874983,NICK,крал Фридрих I Пруски,I,exports/chain-seeds/export-Forest-6000000227306504844.ged
6000000001552980413,GIVN,Friedrich Wilhelm III,III,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001552980413,GIVN,"Friedrich Wilhelm III,","III,",exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001552980413,GIVN,Frédéric-Guillaume III,III,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001552980413,GIVN,Фридрих Вильгельм III,III,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001553724960,_MARNM,?,?,exports/chain-seeds/export-Forest-6000000227327789838.ged
6000000001556323737,_MARNM,Weiss / Weisz,/,exports/gaps/export-Descendants-6000000227227274837.ged
6000000001560068612,NICK,SAMUEL 1 CROSSMAN,1,exports/fleshing-out/export-geni/export-Forest-15.ged
6000000001560131844,GIVN,Hubert I,I,exports/edges/export-Forest-6000000227254550821.ged
6000000001560131844,GIVN,Hubert I Schenck,I,exports/edges/export-Forest-6000000227254550821.ged
6000000001560131844,NICK,Hubert I van Culemborg,I,exports/edges/export-Forest-6000000227254550821.ged
6000000001560131844,NICK,Hubert III van Bosinchem,III,exports/edges/export-Forest-6000000227254550821.ged
6000000001561727235,GIVN,Oscar II,II,exports/chain-seeds/export-Forest-6000000227315959846.ged
6000000001561727235,GIVN,Oscar II Fredrik,II,exports/chain-seeds/export-Forest-6000000227315959846.ged
6000000001561849052,GIVN,Oscar I Joseph François,I,exports/chain-seeds/export-Forest-6000000227315959846.ged
6000000001561849052,GIVN,Oscar I Joseph François Oscar,I,exports/chain-seeds/export-Forest-6000000227315959846.ged
6000000001563248087,GIVN,"Heinrich V ""der Ältere""",V,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001563248087,GIVN,"Henry V ""the elder""",V,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001563248087,GIVN,Jindřich V.,V.,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001563248087,NICK,Henry V -Count Palatine of the Rhine,V,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001563248849,_MARNM,Concubine #3 of Henry I King Of England,#3 I,exports/gaps/export-Forest-6000000227086380915.ged
6000000001563258822,GIVN,Bertran I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001563284300,GIVN,Ferry I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001563288652,GIVN,Poppo Poppo VIII of,VIII,exports/chain-seeds/export-Forest-6000000227298315838.ged
6000000001563293084,GIVN,Ferry I De,I,exports/gaps/export-Forest-6000000227086380915.ged
6000000001563350697,GIVN,Raoul I,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001563350803,GIVN,Raoul II,II,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001563381918,GIVN,"Padraig / Patrick,",/,exports/8-19 exports/export-Descendants-6000000227258314174.ged
6000000001566413275,GIVN,João IV 'o Restaurador',IV,exports/hermenegildo/export-Descendants-6000000227725063822.ged
6000000001573870037,NICK,Bonnie Prince Charlie;  Charles III (by supporters),III,exports/abul-hamza-descendants/export-Descendants-6000000227696775867.ged
6000000001573883013,NICK,Giacomo III d'Inghilterra e Irlanda,III,exports/abul-hamza-descendants/export-Descendants-6000000227696775867.ged
6000000001573883013,NICK,Giacomo VIII di Scozia,VIII,exports/abul-hamza-descendants/export-Descendants-6000000227696775867.ged
6000000001575222893,GIVN,Afonso VI 'o Vitorioso',VI,exports/hermenegildo/export-Descendants-6000000227725063822.ged
6000000001578920877,GIVN,Heinrich II der Jüngere,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001580257335,GIVN,X,X,exports/8-19 exports/export-Forest-6000000227293218831.ged
6000000001580945871,NICK,Sunan Gresik -23 [MP] Walisongo-1,-23,exports/archive/export-geni/export-Forest-32.ged
6000000001582568270,GIVN,Sunan Lamongan / Raden Husamuddin,/,exports/archive/export-geni/export-Forest-32.ged
6000000001582568270,SURN,bt Ki Bang Kuning @ Ki Wiryosaroyo,@,exports/archive/export-geni/export-Forest-32.ged
6000000001583552787,GIVN,Sultan Amangkurat III Sunan Mas Raden Mas Sutikna (1703-1705),III (1703-1705),exports/adasi/export-Descendants-6000000227712700862.ged
6000000001583785128,GIVN,Susuhunan Amangkurat Amral 1677-1703,1677-1703,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001583785128,NICK,Sri Susuhunan Amangkurat II,II,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001583785128,NICK,Sultan Amangkurat II,II,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001583785128,NICK,Sunan Prabu Mangkurat II,II,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001583785128,NICK,Susuhunan Amangkurat II Amral,II,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001588444082,GIVN,Bernat II,II,exports/fleshing-out/export-geni/export-Forest-20.ged
6000000001588455098,GIVN,Bhre Tumapel I,I,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001588468128,GIVN,Bhre Kahuripan I,I,exports/archive/export-geni/export-Forest-32.ged
6000000001588539963,GIVN,Chilperich II,II,exports/archive/export-geni/export-Forest-16.ged
6000000001589359149,GIVN,John  I,I,exports/chain-seeds/export-Forest-6000000227316420926.ged
6000000001590010326,_MARNM,Al-Marhum Sultan Mahmud Shah I,I,exports/edges/export-Forest-6000000227252355883.ged
6000000001590315600,_MARNM,-Sultan Pasai ke-5 (23),(23),exports/edges/export-Forest-6000000227252355883.ged
6000000001590329485,_MARNM,Ibni Al-Marhum Sultan Makhdum Alaiddin Malik Muhammad Amin Shah II,II,exports/sparse_filling/export-Forest-6000000227380708902.ged
6000000001592449682,GIVN,Nurindahsih (Endah / Indah Pringgoadisuryo) Pringgo,/,exports/fleshing-out/export-geni/export-Forest-18.ged
6000000001593637951,GIVN,"Albrecht I ""The Bear",I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001593637951,GIVN,Albrecht I (The Bear),I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001593928046,GIVN,Hermann I,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001593928046,GIVN,"Hermann I,","I,",exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001593947330,GIVN,Albert III,III,exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001594051535,GIVN,Andrija II.,II.,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001594051535,GIVN,Andrés II el Hierosolimitano,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001594051535,NICK,"Andrés II ""El Hierosolimitano"" de Hungría",II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001594051535,NICK,Андраш II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001598971185,GIVN,Leopold VI Leopoldsön,VI,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001598971185,GIVN,Leopoldas VI,VI,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,GIVN,Jacobus II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,GIVN,"Jaime II ""El Justo""",II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,GIVN,Jaime II 'el Justo',II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,GIVN,Jokūbas II Teisingasis,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,Chaime II d'Aragón-Barzelona ; Jaime II 'el justo' de Aragón ; Jaime I de Sicilia,II ; II ; I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,James II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,James II of Barcelona,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,in Aragonese Chaime II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,in Catalan Jaume II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599527098,NICK,in Spanish Jaime II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001599855039,GIVN,"Ferdinand II ""the Catholic""",II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599855039,GIVN,"Fernando II ""el Católico""",II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599855039,GIVN,Ferran II El Catòlic,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599858347,GIVN,Isabel I «la Católica»,I,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599919033,GIVN,Juana I 'la Loca',I,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599919033,NICK,Juana I la Loca,I,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001599919033,NICK,Juana La I La Loca  De Castille  - Queen Of Nav...,I,exports/8-19 exports/export-Descendants-6000000227295719853.ged
6000000001600060051,GIVN,Felip II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600060051,GIVN,Felipe II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600060051,GIVN,Filippo II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600060051,GIVN,Philip II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600060051,GIVN,Philipp II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600060051,GIVN,Philippe II,II,exports/8-19 exports/export-BloodTree-6000000227291886826.ged
6000000001600536412,GIVN,Reynold II,II,exports/gaps/export-Forest-6000000227226720863.ged
6000000001601619020,NICK,of Zhovkva & Zolkiew,&,exports/gaps/export-Descendants-6000000227227041063.ged
6000000001606733137,GIVN,Achatius I,I,exports/chain-seeds/export-Forest-6000000227306452830.ged
6000000001610389741,GIVN,"Afonso VII ""o Imperador""",VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610389741,GIVN,"Alfonso VII ""the Emperor""",VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610389741,GIVN,Alfonso VII «el Emperador»,VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610389741,NICK,Alfonso VII King of Castile,VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610389741,NICK,Alfonso VII Raimundez de Castilla y León ; Alfonso VII 'el emperador',VII ; VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610389741,NICK,King Alfonso VII of Castile,VII,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610448055,GIVN,Vsevolod I / Andrei,I /,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610448055,GIVN,Vsevolodas I Jaroslavaitis,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610448055,GIVN,Wsiewołod / Wsewołod I,/ I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001610448055,NICK,Vsevolod I,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001612365083,GIVN,Amaury I,I,exports/gaps/export-Forest-6000000227086717913.ged
6000000001624169429,NICK,men namnet var taget. Hittade av Karl X adlade Hägerfelt (utdöd släkt) med vapensköld på Riddarhuset i Sthlm och la till ett -h,X,exports/chain-seeds/export-Forest-6000000227315959846.ged
6000000001624977289,GIVN,Mihailo I of Duklja,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001633520297,NICK,לוי ' צחק,',exports/8-19 exports/export-Forest-6000000227293218831.ged
6000000001634160911,NICK,Always only surname Venter !,!,exports/chain-seeds/export-Forest-6000000227298337835.ged
6000000001651460598,GIVN,"Erik IV ""Plovpenning""",IV,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001651542115,GIVN,Haakon VII,VII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651542115,GIVN,Haakon VII Christian Frederik Carl Georg Valdemar Axel,VII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651542115,GIVN,Kong Haakon VII,VII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651577833,GIVN,Frederik VIII Christian Vilhelm Carl,VIII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651577833,GIVN,Kong Fredrik VIII av Danmark,VIII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651629109,GIVN,Albert (Albrecht) I Bernhardssøn,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001651629109,GIVN,Albrecht I.,I.,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001651648070,GIVN,Albert Edward VII,VII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001651648070,GIVN,Albrecht Eduard VII,VII,exports/northern-dfa/export-Descendants-6000000227726280959.ged
6000000001655554853,SURN,+,+,exports/8-19 exports/export-Forest-6000000227297029878.ged
6000000001661351020,GIVN,??. GPH Mulyodiningrat [Versi Tovian],??.,exports/archive/export-geni/export-BloodTree-38.ged
6000000001662500394,GIVN,Torokholjin ?,?,exports/archive/export-geni/export-Forest-36.ged
6000000001662683210,GIVN,Maral ?,?,exports/fleshing-out/export-geni/export-Forest-38.ged
6000000001664395099,NICK,Bachster ?,?,exports/chain-seeds/export-Forest-6000000227302080982.ged
6000000001665616290,NICK,Française ?,?,exports/edges/export-Forest-6000000227254335853.ged
6000000001669611247,NICK,Sysselmann I Hedemark,I,exports/chain-seeds/export-Forest-6000000227317899894.ged
6000000001669611635,GIVN,Johan (?),(?),exports/midpoints/export-Forest-6000000227289547881.ged
6000000001669620123,GIVN,Ring II,II,exports/bure-campaign/export-Ancestors-6000000227464556886.ged
6000000001669640393,GIVN,Meginhard IV,IV,exports/gaps/export-Ancestors-6000000177921459056.ged
6000000001669640632,GIVN,"Leopold V ""the Virtuous""",V,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001669640632,GIVN,"Leopold V. ""der Tugendhafte""",V.,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001669649864,GIVN,"Matilda / Maude ""Maude""",/,exports/gaps/export-Ancestors-6000000177921459114.ged
6000000001669654269,GIVN,Berengar I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001669654269,GIVN,Berengario I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001669654269,GIVN,Bérenger I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001669658581,GIVN,Otto I,I,exports/bure-campaign/export-Ancestors-6000000227464556886.ged
6000000001669660462,GIVN,Guigues II,II,exports/gaps/export-Descendants-6000000227086455824.ged
6000000001669660462,NICK,Comte Guigues VI d'Albon,VI,exports/gaps/export-Descendants-6000000227086455824.ged
6000000001669660660,GIVN,Trayan / Troianus,/,exports/abul-hamza/export-Forest-6000000227676734863.ged
6000000001669662856,GIVN,Elli II,II,exports/gaps/export-Ancestors-6000000177921459056.ged
6000000001669662856,NICK,Alverich II,II,exports/gaps/export-Ancestors-6000000177921459056.ged
6000000001669662856,NICK,Elli II (~1010-1055) Graf in Leinegau,II (~1010-1055),exports/gaps/export-Ancestors-6000000177921459056.ged
6000000001670931121,NICK,Mangkoenagaran: VI. A1. B1.,VI.,exports/archive/export-geni/export-BloodTree-38.ged
6000000001676737262,GIVN,Изольда ?,?,exports/chain-seeds/export-Forest-6000000227321625911.ged
6000000001677211928,SURN,?,?,exports/post-merge/export-Forest-6000000227413445871.ged
6000000001677211928,_MARNM,?,?,exports/post-merge/export-Forest-6000000227413445871.ged
6000000001684800541,NICK,Mangkoenagaran: VI. A1. B1. C1.,VI.,exports/archive/export-geni/export-BloodTree-38.ged
6000000001694538583,NICK,Ens. ______________ Rev. War Vet.,______________,exports/gaps/export-Forest-6000000227086715937.ged
6000000001699428281,GIVN,Silo I,I,exports/archive/export-geni/export-Forest-13.ged
6000000001699465082,NICK,IV Marqués de Torre Tagle,IV,exports/no-name-descendants/export-Descendants-6000000227717534826.ged
6000000001699492817,GIVN,Guilhem II V Sancion,II V,exports/archive/export-geni/export-Forest-19.ged
6000000001699548519,GIVN,Hellin II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
6000000001700524409,GIVN,Anne 2 Samsonsdatter,2,exports/descendants/export-Descendants-6000000227212960823.ged
6000000001701420771,SURN,Birkedal / Birchedahl,/,exports/chain-seeds/export-Forest-6000000227300290832.ged
6000000001704006610,GIVN,Bouchard IV,IV,exports/edges/export-Forest-6000000227254550821.ged
6000000001711239815,NICK,1610  Reino de Portugal Falecimento:	Lisboa,1610,exports/chain-seeds/export-Forest-6000000227301842878.ged
6000000001712846511,NICK,Josiah Davis I,I,exports/fleshing-out/export-geni/export-Forest-15.ged
6000000001714041449,GIVN,Marie 1 Madeleine,1,exports/chain-seeds/export-Forest-6000000227315562970.ged
6000000001715405853,GIVN,Leodegard II,II,exports/gaps/export-Forest-6000000227086244080.ged
6000000001723331188,NICK,Norene East *,*,exports/chain-seeds/export-Forest-6000000227326275870.ged
6000000001723988096,SURN,??,??,exports/gaps/export-Forest-6000000227086455824.ged
6000000001723988096,_MARNM,??,??,exports/gaps/export-Forest-6000000227086455824.ged
6000000001724058559,NICK,"(Gerhard II) ""Count of Paris",II),exports/gaps/export-Forest-6000000227086244080.ged
6000000001725833217,GIVN,Clodgar II,II,exports/archive/export-geni/export-Forest-13.ged
6000000001732262988,_MARNM,"1 señor de Vizcaya, 2 señor de Altamira",1 2,exports/archive/export-geni/export-Forest-13.ged
6000000001732283610,_MARNM,"López, 4 señor de Vizcaya",4,exports/archive/export-geni/export-Forest-13.ged
6000000001732435918,_MARNM,1 señor de Altamira,1,exports/archive/export-geni/export-Forest-13.ged
6000000001732622313,_MARNM,"Iñiguez, 3 señor de Vizcaya",3,exports/archive/export-geni/export-Forest-13.ged
6000000001732633400,_MARNM,"Ortiz, 2 señor de Vizcaya",2,exports/archive/export-geni/export-Forest-13.ged
6000000001742254888,GIVN,Waskita Jawi / Ratu Mas (Putri Waskita Jawi),/,exports/adasi/export-Descendants-6000000227712700862.ged
6000000001744745385,NICK,5,5,exports/8-19 exports/export-Forest-6000000227289886830.ged
6000000001744804830,GIVN,Adalbèrt II,II,exports/fleshing-out/export-geni/export-Forest-20.ged
6000000001744806176,NICK,Guelf II Altdorf,II,exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001744806176,NICK,Welf II Weingarten,II,exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001744815012,NICK,"Also referred to as Simon III and ""le Chauve"".   Simon was a crusader from 1208 until 1213 and defeated Raymond III of Aragon at Muret in 1215. He laid seige to Toulouse in 1218.  George Washington's 16-Great Grandfather.",III 1208 1213 III 1215. 1218.,exports/gaps/export-Descendants-6000000227086455824.ged
6000000001744815307,GIVN,Bernard III (IV),III (IV),exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001744815307,NICK,Bernard IV,IV,exports/8-19 exports/export-Forest-6000000227290951877.ged
6000000001744822677,NICK,Odo II,II,exports/chain-seeds/export-Forest-6000000227297843999.ged
6000000001744825392,GIVN,Reginar III ‘Langhals’,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001744825392,GIVN,Reinier III ‘Langhals’,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
6000000001744825392,GIVN,Régnier III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
