given_name,records,looks_placeholder
Raden Ayu Muhammad Soleh,1,no
Kyai Salim,1,no
Kyai Mursodo (Raden Mas Mursodo),1,no
Kyai Ageng Karang Besari,1,no
Kyai Hasan Besari (Chasan Bisri),1,no
Raden Mas Nawawi,1,no
Raden Mas Syafangatun,1,no
Raden Mas Taptojani ? (Kyai Kedu),1,no
Raden Ayu Muhammad,1,no
Raden Ayu Nurfakih ? (Murfakiyyah),1,no
Raden Ayu Muso,1,no
Raden Ayu Cholifah,1,no
Raden Ayu Mursilah Abdul Karim,1,no
R.B. Soemodiwirjo,1,no
RB. Soemodiwirjo,1,no
Raden Sidikhman I,1,no
mbok Mas Surodjoyo II,1,no
mbok Mas Djodrono III,1,no
Raden Ngabei Tohpati - I,1,no
Raden Ngabei Suronagoro II I,1,no
Pangeran Surodiwiryo II,1,no
Raden Ayu Tjitrosoma ing Jepara VIII,1,no
Raden Ayu Sumowardoyo,1,no
Raden Ngabei Purwokusumo IX,1,no
Raden Ngabei Notodiwiryo X,1,no
Raden Ngabei Tirtowinoto,1,no
Raden Ngabei Kromowinoto VII,1,no
Raden Ngabei Romodipuro VI,1,no
Raden Tumenggung Tirtokusumo I,1,no
Raden Ngabei Tirtodimedjo II,1,no
Raden Ngabei Tirtoprodjo III,1,no
Raden Ngabei Prawiroyudo IV,1,no
Raden Ngabei Sumodirdjo V,1,no
R. Ng. Martowidjojo,1,no
R. Joedodiwirjo,1,no
RNgabehi Tjitrojudho (Djogoduto),1,no
Kyai Prasuto,1,no
Pangeran Arya Prabhu Vijaya Prangwardana,1,no
pangeran arya prabhu vijaya II,1,no
Pangeran Arya Jaya Kusuma,1,no
Raden Mas Panji Manguningrat,1,no
R. M. Atmosaroso [Diah],1,no
Rn Aj Wiradeksana (Speraprabawa) Poerwaredja,1,no
RAy Tum Tirtokusumo,1,no
R.A.A. Reksonegoro VII,1,no
R.M.A Reksonegoro VII,1,no
Rn Adj Koening,1,no
RMP Wirokoesomo,1,no
RMN Pringgadipoera,1,no
R.Ng. Mertomenggolo,1,no
Pontjoredjoso,1,no
Panembahan Cakraningrat XI,1,no
Pangeran Cokrokusumo (R Abdul Rasjid),1,no
KYAI MOH SANTRI sewulan,1,no
abdu,1,no
Raden Ajoe Sri Menantie,1,no
Raden Ajoe Siti Hawa,1,no
Siti Hawa,1,no
R. Puspotaruno,1,no
R. SYAFI'I,1,no
R. Anggadiredja,1,no
Rd. Najawigata,1,no
Natawijaya (Bapa Lijam),1,no
P. Lubang Surya Kusuma,1,no
P. Surya Angkara Wisesa,1,no
Pangeran Raja Kusumaningrat,1,no
"Rd, Andang",1,no
Pangeran Brataningrat II,1,no
Cakranagara III,1,no
Nyi Raden Adipura,1,no
Nyi Raden Siti Sarana,1,no
Nyi Raden Wijayapura,1,no
Nyi Raden Natapraja,1,no
Nyi Raden Sacadinata,1,no
Raden Ngabehi Angrek,1,no
Raden Cakradipraja,1,no
Raden Dalem Cakranagara III,1,no
Rd. Natadipradja,1,no
Nyi Rd. Saripaningsih,1,no
1 Rd Dmg Soema Taroena or Rd Suradipradja Anom TAROENA,1,no
Rd. Demang Diramantri Anom Patih Panjalu,1,no
Rd. Demang Wangsadipradja Patih Panjalu,1,no
NR. Pradjaresmi,1,no
Rd. Kertapanata,1,no
Rd. Banteng,1,no
Rd. Garuda,1,no
Rd. Madjadikara,1,no
Rd. Kartadinata,1,no
Nyi Rd. Djaja,1,no
Rd. Tarunadikarta,1,no
Rd. Ardisasilam,1,no
Nyi Rd. Ika Pradjaningsih,1,no
Rd. Djajawinita,1,no
Rd. Wangsadidjaja,1,no
Rd. Mertawirana,1,no
Rd. Puranta,1,no
Rd. Pangeran Natadilaga,1,no
Dalem Mangkuredja,1,no
"Dipati Aria Satjanata, Talaga",1,no
Wiradinata,1,no
M. Wiradipura,1,no
M. Wiradirana,1,no
M. Subadiwangsa,1,no
M. Subawinata,1,no
M. Anggawinata,1,no
M. Wergadirana,1,no
NM. Nataningsih,1,no
NM. Asmara,1,no
M. Ondang,1,no
M. Wergadikara,1,no
M. Tarunadinata,1,no
NM. Kamsijah,1,no
M. Kriadinata,1,no
NM. Widasmara,1,no
M. Puspawinata,1,no
NM. Nataningsih.,1,no
M. Ngabei Durgama,1,no
M. Karama,1,no
M. Nadjamanggala,1,no
M. Arsadinata,1,no
M. Arsawidjaja,1,no
M. Ardjadirana,1,no
M. Nurkisam,1,no
Nyi M Ratmidjakasih,1,no
R. Kuladenda,1,no
R. Wergadiwangsa,1,no
R. Natawirana,1,no
R. Sepon,1,no
R. Edjom,1,no
R. Anggamanggala.,1,no
R. Wangsadirana,1,no
R. Wangsamanggala,1,no
R. Indra,1,no
Rd. Muh Hanapi,1,no
R. Raelah,1,no
NR. Natapangasih,1,no
NR. Salinggaasmara,1,no
NR. Salinggaresmi,1,no
NR. Salemar,1,no
NR. Rasijah,1,no
R. Pringgadiwangsa,1,no
R. Pura,1,no
R. Argajuda,1,no
R. Anggadinata,1,no
NR. Rengga,1,no
NM. Halimah,1,no
Kandjeng Dalem Adipati Wiranatakusumah III,1,no
Rd. K. Nursalim,1,no
Rd. K. Nurahmad,1,no
2 Raden Koesoemajoeda,1,no
3 Rd H Moestapa,1,no
4 NR Siti Marian,1,no
5 NR Lenggang Nagara,1,no
6. NR. Koesoemaningroem,1,no
NR Radjaningroem,1,no
7 NR Moenigar,1,no
NR Koesoemaningroem,1,no
Kandjeng Pangeran Soeria Koesoemah Adinata,1,no
NR Jogjanagara,1,no
Sastranegara,1,no
RAA Dlm Alit Bpt Smd-10 (1833-1834),1,no
Rd Hasim,1,no
NR Lenggangmantri,1,no
NR Banonagara,1,no
NR Radjapoetri,1,no
NR Koesoemamantri,1,no
3 R. Adikoesoemah,1,no
1 RAA. Soerianagara Koesoemadinata 1833-1834 Dalem Alit,1,no
5 R. Hasim,1,no
6 NR. Lenggangmantri,1,no
4 R. Soeriabrata,1,no
1 Dmg. Adiwijaya (H Muh Sapei Patih Limbangan Garut),1,no
Taruna,1,no
Mertamanggala.,1,no
Tjandramanggala,1,no
Panembahan Syech Moch. Yusuf,1,no
Sepuh VII Joharuddin (1791–1816),1,no
Sepuh VIII Syamsuddin (1816–1819,1,no
Anom VI Muhammad,1,no
R. Pringgowikromo,1,no
R. Kartodimejo,1,no
R. Mertodiwiryo,1,no
R. Mertopawiro,1,no
R. Ngt. Prawirodikromo,1,no
R. NGT. Surodiwiryo,1,no
R. Kromodijoyo,1,no
R. Pringgosumantri,1,no
R. Kromowiharjo,1,no
Nyai Honggodipo,1,no
Kliwon Wiroprojo,1,no
Kyai Ketib Sememi I,1,no
Kyai Haji Yahya,1,no
Kyai Kasan Mohamad,1,no
Kyai Mangunrejo menantu Kyai Mojo,1,no
Nyai Iman Raji,1,no
Kyai Mohamad,1,no
Raden Riyo Djoyodirjo,1,no
Koesoemomigoeno,1,no
[13] R. Hasyim,1,no
KH. Hasanuddin Muhamad Salabi,1,no
Abdullah bin Muhamad Salabi,1,no
1 Wafat bayi,1,no
2 Pangeran Anta PR Carbon,1,no
P. Partaningrat SKc-4 (1914-1931),1,no
Syekh Ahmad Baidowi,1,no
1 R. Muhammad (Buyut Amad bocah Buntet Astana Japura Cirebon),1,no
2 Nyai Syarifah Benda Kerep,1,no
3 R. Baalawi Gempol Lebak Ciwaringin Cirebon,1,no
4 R. Maulangi Citotok Kesal Palimana,1,no
5. R. Maulani Penawuan Kdng-Bunder Palimanan,1,no
R. Santoso Anom Besari Gontor - Ponorogo,1,no
1 Dalem Djaya,1,no
2 Dalem Kartadinata,1,no
4 P. Kartanagara,1,no
5 Raden Binong,1,no
6 Dipati Maruyung,1,no
1 Dalem Surya Sepuh Bupati Talaga Kulon,1,no
2 Rd. Demang Suryadiwangsa,1,no
3 Rd. Djaid,1,no
2 Dalem Suradirana,1,no
3 Dalem Tjakradinata (Cilancang),1,no
4 Dalem Djayadiwangsa,1,no
5 Pangeran Natadilaga,1,no
1 Dalem Ardjamanggala,1,no
Alvin Version : R. Tmg. Wiraseta,1,no
R. Anom Wirasuta,1,no
NM Noermala or Sara,1,no
Dlm Apoen Diparedja Rd Ad Anggawatjana,1,no
Dlm Kj Tjandramerta Ad Singanagara,1,no
Dalem Wirasuta,1,no
Wirapraja,1,no
R. Adireja bin R. Astramanggala,1,no
Kiai Zaenudin-Kragilan,1,no
P. Panduk Suryakusuma III,1,no
P. Adiwijaya (P. Syamsudin IV) Wali P. Satria (1853-1871),1,no
P. Atmadja Rajaningrat SS-12 (1880-1899),1,no
PR Alexander Radjaningrat SS-12 (1942-1969),1,no
KRMT Sosronegoro II (Bupati Godean),1,no
KRT Sosrokoesoemo II (Bupati Berbek III),1,no
Mehra,1,no
Maharawal MALDEV,1,no
Rani Uma Devi,1,no
Lorepind,1,no
Esho Leg,1,no
Gap-1 (keturunan Nyai Ageng Ibnu Umar),1,no
MERTODIKROMO,1,no
Nyai Hasan Besari ing Geneng,1,no
R. Rangga Nilapurba,1,no
Adipati Cokronagoro III,1,no
R. Singodiwongso,1,no
Kanjeng Susuhunan Hamangkurat IV,1,no
Ki Ageng Pronoyudo II,1,no
R Ng Soemodiredjo,1,no
R Ayu Joeda Atmadja,1,no
R Ayu Soemodiningrat,1,no
R Ay Tum. Djojodirdjo,1,no
R Ngt Dalijah,1,no
R Nganten Dalijah,1,no
R Mertosoero,1,no
R Ayu Redjo Mohamad,1,no
R Bei Mangkoeredjo,1,no
R Soerodiredjo,1,no
Rden Maryadi,1,no
R Djajasoemitro,1,no
R Ayu Marlijah,1,no
R Singadiredja,1,no
R Agus Soekarsa,1,no
R Mohammad,1,no
Thoyyib,1,no
Abu Bakar,1,no
Hadhar,1,no
'Umar,1,no
'Abdul Qadir,1,no
Zain,1,no
Anam (Husmin),1,no
Sa'id (Danuningrat III),1,no
R. M. Ngabehi Dermojambu I,1,no
R. M. Mangundimejo (Imogiri),1,no
Raden Kromosoekarto ( Glondong Desa Kuwaru I ),1,no
Kromosoekarto,1,no
Kromoprawiro,1,no
Dinem,1,no
Purwodikromo,1,no
Marjati,1,no
Kartodikromo,1,no
Dulgani,1,no
Tjokroredjo,1,no
The Tiang Lie,1,no
Tiang Lie,1,no
The Tinggal Nio,1,no
Tinggal Nio,1,no
Tjin Hok,1,no
The Tjin Hok,1,no
The Tjin Thoan,1,no
Tjin Thoan-2,1,no
The Po Tjo Nio,1,no
Po Tjo Nio,1,no
The Tjin Hin-3,1,no
The Tjin Hin,1,no
The Tjin Kwat,1,no
Tjin Kwat,1,no
The Sin Nio,1,no
The Tjin Tek,1,no
The In Nio,1,no
In Nio,1,no
Hik Nio,1,no
The Hik Nio (R.Ngt.Sukesi),1,no
Joe Beng,1,no
The Joe Beng,1,no
Tjin Jam,1,no
The Tjin Jam,1,no
Yoe Ko,1,no
The Yoe Ko,1,no
R. Nganten Larasati (The Tjin Nio),1,no
Tioe Boen,1,no
Kho Boen Tioe - R. Boentoro Putro,1,no
R. Ngt. Tan Kiem Nio,1,no
Kiem Nio,1,no
Raden Mas Kertapradja-2,1,no
"Raden Mas Sutikna, Amangkurat III",1,no
Amangkurat III,1,no
Raden Indro Manggolo,1,no
Kyai Mangunnagoro,1,no
Kyai Singaprana III,1,no
Hanggayudha,1,no
Singayudha,1,no
RT Mertorejo,1,no
Kyai Ageng Mohammad Besari (Tegalsari),1,no
Kyai Hanggayuda,1,no
1 R. Wirawangsa,1,no
2. R. Astrawangsa,1,no
3 R. Narahita,1,no
4 R. Pranawangsa,1,no
5 R. Bagus Chalipah,1,no
1 NR. Gede,1,no
2 Rd. Astakerti,1,no
3 Rd. Wasta,1,no
4 Rd. Mangun,1,no
5 Rd. Sanggana,1,no
6 NR. Ngawa,1,no
7 NR. Purwana,1,no
Amangkurat III (Raden Mas Sutikna),1,no
Pangeran Arya Dipanagara,1,no
Amangkurat IV (Raden Mas Suryaputra),1,no
Pangeran Purbaya kartasura,1,no
Pangeran Blitar,1,no
Pangeran Bunguh (Sumare ing Sedayu),1,no
Sultan Mahyudin,1,no
Raden Ajeng Ngabei Sinduprojo Pemalang,1,no
Raden Ajeng Kuning,1,no
Pangeran Samas,1,no
Dzumali Mbah Tuyuhan,1,no
Abdul Jabar,1,no
Abdul Bar,1,no
KH. Azro’i,1,no
[29] Ahmad (Waliyulloh Lasem),1,no
KH. Abdul Latif,1,no
Nyai Muziroh,1,no
Nyai Toyyibah,1,no
R. Panji Tmg. Tjokronegoro I,1,no
Kanjeng Pangeran Fatah,1,no
R. Mahmud,1,no
Pangeran Qadhi Jimantaka,1,no
Syekh Abdul Syukur Sepuh,1,no
1 Pangeran Mandoera,1,no
2 Ratubagus Sura Direja,1,no
3 Ratubagus Suta,1,no
4 Tubagus Jaya Haji Taruna,1,no
5 Ratu Duri,1,no
Tb. Syech ZAENUDDIN,1,no
#3 Ratu Zakiyah,1,no
Ki Mahmud,1,no
Panenggak,1,no
Puspita,1,no
Dipanegara (Tubagus Abdussalam,1,no
P. Arya Ardikusuma (Tb. Abdurahman,1,no
Ahmad Arya Wetan,1,no
Inten,1,no
Tinumpuk,1,no
Abdul Fattah (Sultan Agung Tirtayasa),1,no
Nengah,1,no
Arya Elor,1,no
Ewaraja,1,no
Kulon,1,no
Ingalengkadipura,1,no
Sultan Ageng Tirtayasa - Sultan Abu al-Fath Abdul Fattah Raja Banten ke-5 (Pangeran Surya) [Versi 1],1,no
Pangeran Arya Lor (Elor) [Versi 1],1,no
Pangeran Sutawidjaja Ahmad [Versi 1 Dadang],1,no
Ratu Puspita [Versi 1],1,no
Pangeran Arya Ewaraja,1,no
Pangeran Arya Kulon [Versi 1 ARI],1,no
Pangeran Arya Wetan [Versi 1],1,no
Pangeran Arya Kidul [Versi 1],1,no
Ratu Tinumpuk [Versi 1],1,no
Pangeran Wetan [Versi 1],1,no
Ratu Pusmita,1,no
pangeran dipti buana,1,no
pangeran dipati buana,1,no
Tb Muhammad Mangunyasa,1,no
R. Kartadjiwa (Pangeran Soeriadiwangsa II),1,no
Nyi Mas Ratoe Ratu Satyasih Poetjoek Oemoen,1,no
Rd. Mas Soleman,1,no
Rd. Mas Samaun,1,no
Nyai Sabariyah Rangkasbitung,1,no
Nyai Sariyah di Ciseeng,1,no
Nyai Asih Karawang,1,no
Syekh 'Ajib Sangkan Kananga Menes,1,no
Rd. Kamil,1,no
Ratu Bagus Abdul Hamid Citeureup,1,no
Pangeran Ketib Salim,1,no
Eyang Jaga Wulan,1,no
Eyang Jaga Raksa,1,no
Eyang Jaga Wadana,1,no
Syaikh Sulaiman,1,no
P. Dlm Anom Sutajaya-3 Ingkang Sedo ing Tambak),1,no
Pangeran Kebo Agung,1,no
Ngabei Wangsadinata Cidamar,1,no
Jagasatru Patengan,1,no
Pangeran Singarajan Anom,1,no
6 Tubagus Rajasuta,1,no
7 Tubagus Rajaputra,1,no
8 Maulana M. Mukhtar-Pandeglang,1,no
9 R. Mandaraka,1,no
10 P. Sake Citeureup R. Syafrudin Shoheh (1682-1740) Mbah Soleh 1682-1740,1,no
11 Raden Rum,1,no
12 Raden Mesir,1,no
13 Reden Muhammad,1,no
14 Raden Muhsin,1,no
15 Tubagus Wetan,1,no
16 Tubagus Muhammad Athif,1,no
17 Tubagus Abdul,1,no
18 Ratu Baja Mirah,1,no
19 Tubagus Kulon,1,no
20 Ratu Kidul,1,no
21 Ratu Marta,1,no
22 Ratu Adi,1,no
23 Ratu Umuk,1,no
24 Ratu Hadija,1,no
25 Ratu Habibah,1,no
26 Ratu Fatimah,1,no
27 Ratu Asyiqoh,1,no
28 Ratu Nasibah,1,no
29 Ratu Ayu,1,no
R. Saleh Syarif,1,no
Kyai Mas Khosim (Jaya Sentika) 1780,1,no
Ki Mas Bugel,1,no
Khasan Sanusi (Mbah Slaga),1,no
Kyai Asror Karomah,1,no
Kiai Abdullah bin Ali Akbar,1,no
Sayid Iskandar (Mbah Bungkul Surabaya),1,no
Mas Pangeran Syaja,1,no
Mas Kun,1,no
Maskon,1,no
Syekh Maskun al-Bantani (Tubagus Mahmud,1,no
Tb. Isrofil,1,no
Syekh Cinding Bin Syekh Abdurrahman (Ciliwulung),1,no
Raden Tjokrokusumo,1,no
Sunan Amangkurat I,1,no
Tumenggung Ario,1,no
Kyai Tumenggung Adipati,1,no
Mangkunegara,1,no
R AJOE KARTOJOEDO,1,no
Baba Jaleel Cassim,1,no
Gnei Jasson,1,no
Baba Dane,1,no
Gnei Bagoos,1,no
Gnei Jarry,1,no
Gnei Jarry Cassim,1,no
Gnei Mooda,1,no
Baba Dain,1,no
Gnei Jarri,1,no
Gnei Moeda,1,no
Gnei Abinon Abu Cassim,1,no
Baba Haniff Abu Cassim,1,no
Baba Shareef Abu Cassim,1,no
Gnei Kassima Abu Cassim,1,no
Gnei Naima Abu Cassim,1,no
Baba Jaleel Abu Cassim,1,no
Baba Mussadam Abu Cassim,1,no
Gnei Jammo Abu Cassim,1,no
Nona Sabrina,1,no
Baba Bakki,1,no
Gnei Ayn,1,no
SAMIRONO II,1,no
Tepasana,1,no
Kijai Gedeng Djakroet,1,no
TRAH RADEN DEMANG TJOKROHARDJONO,1,no
Tjokrohardjono,1,no
Gate Mudliyar Baba Thajul Arifin,1,no
Nona Emona,1,no
Nona Injan,1,no
Baba Zain,1,no
Ky. Ragasasi,1,no
Pangeran Tepasana,1,no
GPH Wiromenggolo,1,no
Raden Ajeng Banuwati (Raden Ayu Puspodirojo),1,no
BPA Simbar Buminoto,1,no
Amangkurat V,1,no
Muhammad Umar (Penghulu Tuban),1,no
Mangkubuwono I,1,no
RM. Haryo Panji Tohpati,1,no
R. Ngt. sarah,1,no
Ongko,1,no
KRT. ONGKO HAMIDJOJO,1,no
Ongko Hamijoyo,1,no
R. Suparta,1,no
K.R.Ad.T. Kolopaking III (Kertowongso Sulaiman),1,no
Kolopaking III,1,no
Kyai Mertowongso,1,no
Nyai Kertodrono,1,no
Nyai Prabu Reksowidjojo,1,no
Kertowongso Sudirso,1,no
R. Ay. Notokusumo (R. Ajeng Sayati),1,no
KH. Asy'ari,1,no
Nyai Siman,1,no
Kyai Serudin,1,no
Kyai Karsidin,1,no
Kyai Onggo,1,no
Kyai Nur Rahmat,1,no
Raden Tumenggung Padmanegara,1,no
Nyai Ageng Soerodirdjo,1,no
Kiyai Siman,1,no
GKR Kencana Wungu,1,no
amangkurat V sunan kuning,1,no
Raden Mas Mangun Asmoro,1,no
R. Ronojudo,1,no
R. T. Tjakrajuda,1,no
R. Ng Yosodipuro,1,no
Sinduprodjo,1,no
Raden Bei Reksodisono,1,no
RM. Adipati Wironegoro Prabuningrat,1,no
K. R. M. A. Sasradiningrat I,1,no
Sasradiningrat I,1,no
R.Tg. Yasadipura I,1,no
Wisnu,1,no
Kyai Muhammad Rafingi,1,no
R. Achmad Djojodipoero,1,no
Supraptiyah,1,no
RA. Soenartijah,1,no
Subagijo,1,no
KRT Resonegoro Subagijo,1,no
Subardjo,1,no
Kyai Mas Buntoro,1,no
Sri Sultan HB III,1,no
Pangeran Ario Adipati Mangkudiningrat,1,no
Mangkudiningrat,1,no
Bendoro Pangeran Haryo Tejokusumo,1,no
G.K.R. Bendoro Ratu Kedaton,1,no
Bendoro Pangeran Haryo Dipawiyana,1,no
Haryo Pujokusumo,1,no
Dewi Martonegoro,1,no
Haryo Timur,1,no
KH. Ghozali,1,no
R. Hoedowikarta,1,no
R. Hudawikarta,1,no
Mas Sumodjoyo I,1,no
Raden Nganten Perwito IV,1,no
Raden Nganten Sastrodirdjo III,1,no
mbok Mas Sastrodrono II,1,no
Mas Djoyomenggolo,1,no
Mas Djojo,1,no
Mas Djodrono,1,no
Raden Ngabei Tohpati - II I,1,no
Raden Ngabei Surodipuro II,1,no
Raden Nganten Mangkudirdjo II,1,no
RT Rangga Kudo Djogodipuro Kalisahak I,1,no
Raden Ngabei Sontoturonggo I,1,no
Radin Masbei Karto,1,no
Raden Ayu Sutopuro,1,no
Raden Ayu Kartokusumo,1,no
Raden Ayu Mangunkusumo,1,no
Raden Ayu Marsokumoro,1,no
Raden Kromodimedjo,1,no
Raden Djoyodikromo,1,no
Raden Ayu Atmowidjoyo,1,no
Raden Ayu Tjarangwardoyo,1,no
Raden Ngabei Purbodiwiryo,1,no
Raden Ngabei Tirtokusumo,1,no
Raden Ngabei Martokusumo,1,no
Raden Ngabei Tirtodipuro III,1,no
Raden Ngabei Tirtodiwiryo,1,no
Raden Sastrodikromo VI,1,no
Raden Tirtodikromo V,1,no
Raden Ngabei Tirtoprodjo VII,1,no
R. Djojodiwirjo,1,no
RAy. Retnolangen,1,no
Kyai Mertodrono (Soediro Leksono),1,no
Rn Aj Soeradiwirja Ngrawoh Poerwaredja,1,no
Raden Ajoe Demang,1,no
Raden Ajoe,1,no
Raden Mas Panji Sumodiwiryo,1,no
RAj Tirtadikara,1,no
R.A Ngelimah,1,no
Surosaroyo,1,no
Panembahan Cakraningrat XII,1,no
Raden Ario Samodin Simson,1,no
KYAI KASANBESARI,1,no
Soetan Mohamad Sahab,1,no
R.Ngt Martodiwirjo,1,no
Rr. Kiftijah binti Syafi'i Mertoatmodjo,1,no
Rr. Kiftijah,1,no
R. Abdurrachman,1,no
Rr. Suleha binti Syafi'i Mertoatmodjo,1,no
Rr. Suleha,1,no
Rr. Rokayah,1,no
Rr. Rokayah binti Syafi'i Mertoatmodjo,1,no
Rr. Hasanah binti Syafi'i Mertoatmodjo,1,no
Rr. Hasanah,1,no
R. Rahmat bin Syafi'i Mertoatmodjo,1,no
R. Rahmat,1,no
R. Syafi'un Syafi'i Mertoatmodjo,1,no
R. Syafi'un,1,no
R Natawigata,1,no
NR Mantria,1,no
Rd Bradja Koesoemah,1,no
H. Abdul Gani (Asiam atau Icong),1,no
P. Adireja Martakusuma I,1,no
Pangeran Kusumabrata,1,no
Acmad,1,no
Achmad SOERIADINATA,1,no
Sjarief,1,no
Ratu Watiningrat,1,no
Nji Rd Entin,1,no
Nji Rd Paulina,1,no
Prajasasana,1,no
Nyi Mas Sumadisari,1,no
Nyi Mas Puraresmi,1,no
Nyi Mas Widia,1,no
Mas Natapradja,1,no
Nyi Mas Subia,1,no
Mas Mu'id,1,no
Mas Abidin,1,no
Nyi Mas Adijaningsih,1,no
Mas Djaharuddin,1,no
Mas Pradjamanggala.,1,no
Nyi Rd. Karsilah,1,no
Rd. Kartawinata,1,no
Rd. Ardjawinata,1,no
Rd. Pradjawidjaja,1,no
Nyi Rd. Supitaningsih,1,no
Rd. Patradinata II,1,no
Rd. Sacakusumah Wedana Ciawi,1,no
Rd. Ardiwidjaya Kuwu Sindangbarang,1,no
Nyi Rd. Kapija,1,no
Rd. Ardjadinata Kuwu Kawali.,1,no
Rd. Mangkupradja Kuwu Winduradja,1,no
Nyi Rd. Ambara,1,no
Nyi Rd. Padmija,1,no
Raden Raksadipraja,1,no
Nyi Raden Wijayaningrum,1,no
Nyi Raden Kuraesin,1,no
Raden Baka,1,no
Rd. Demang Pradjasasana Nusa lengkong,1,no
Raden Aldakanata,1,no
Raden Wiradipa,1,no
Raden Jibjakusumah,1,no
Raden Sumawijaya Demang Panjalu,1,no
Raden Cakradikusumah,1,no
Rd. Suriadipradja,1,no
Nyi Rd. Adiaresmi,1,no
Nyi Rd. Djuwita,1,no
Rd. Natadisastra,1,no
Rd. Tjakrawinata,1,no
Rd. Argawinata,1,no
Rd. Ismaja,1,no
Nyi Rd. Aisah,1,no
Nyi Rd. Majakaningrat,1,no
Mas Raksa Pradja,1,no
Rd Dmg Soema Manggala,1,no
NM Natawoelan,1,no
Rd Bradja Di Rana,1,no
Rd Dmg Soema Pradja,1,no
Rd. Demang Pradjanagara Patih Panjalu,1,no
Rd. Astrawidjaja,1,no
NR. Pradjaningsih,1,no
Rd. Satjanata,1,no
Rd. Dipawidjaja,1,no
Nyi Rd. Murtiningsih.,1,no
Rd. Surawidjaja Kuwu Hujungtiwu,1,no
Nyi Rd. Matanggasari,1,no
Nyi Rd. Kadis,1,no
Rd. Arsadimaja,1,no
Rd. Karmawidjaja,1,no
Rd. Kartadidjaja,1,no
Rd. Singawidjaja,1,no
Nyi Rd. Kasewi,1,no
Nyi Rd. Kati,1,no
Rd. Taruma,1,no
Rd. Wangsadikara,1,no
Rd. Mukail,1,no
NR. Purnamaningsih.,1,no
Rd. Arditaroni.,1,no
Rd. Wira,1,no
Nyi Rd. Lesem,1,no
Gap 2 [Yudhi dan Iwa],1,no
Pradjadenda,1,no
M. Muh Yunus,1,no
NM. Marijah,1,no
"Rd Aria Angganegara I (Aria Anom, Patih Bandung)",1,no
NRA Radjapermas (RA Andjakarta),1,no
#1 NRA. Radjaningrat,1,no
#2 NR. Ayu Radjapamerat Ratna Wiranatakusumah (Garwa Padmi ke 1),1,no
4 Wirkus-4 Dlm Bintang 1846-1874 Suria Kartadiningrat,1,no
NRA. Radjamirah,1,no
Soeriadjanagara,1,no
R. Demang Wiradikoesoemah,1,no
1 Siti Khadijah,1,no
2 R. Adipati Maleka Koesoemahdilaga,1,no
NR. Artimah,1,no
Nj. R. Saom Sewunagara,1,no
Rd. K. Murtaja,1,no
2 #1 Rd. Soeriadiredja,1,no
1 NR. Rajamirah,1,no
2 Rd. H. Muhamad Dahlan,1,no
3 NR. Kusumah,1,no
4 Rd. Winata,1,no
5 Rd. Prawira,1,no
6 NR. Dewi Rukmini,1,no
7 NR. Enoh,1,no
8 NR. Esin Sariyakusumah,1,no
9 NR. Empat,1,no
10 Rd. Nataprawira,1,no
11 NR. Suhaemi,1,no
12 Rd H Muhamad Saleh,1,no
NR Koesoemaningsih,1,no
Rd H Umar Jayasutisna Wedana Batuwangi Cikajang,1,no
1 NM. Karsiem,1,no
3 NM. Itjon,1,no
4 Mas Satjapradja,1,no
2 NM. Endjot,1,no
5 Rd Kdr Djiwaprana V,1,no
R.A.A. Martanagara Koesoemahjoeda (Bupati Bandung),1,no
"R.A.A. Martanagara (Bupati Bandung, Tedak Sumedang)",1,no
Rd Sadikin,1,no
Pangeran Aria Soeriaatmadja,1,no
Pangeran Aria Soeriaatmadja or Pangeran Mekkah,1,no
NR. Ayu Radjaretnadi (Garwa Padmi),1,no
NR. Ayu Radjaretnadi,1,no
Kandjeng Pangeran Aria Soeriaatmadja or Pangeran Mekah,1,no
14 R. Kadir Soemawilaga,1,no
14. R. Kadir Soemawilaga,1,no
NR Banoningrat,1,no
Llira Inca,1,no
Guayanay,1,no
Apu Tambo,1,no
Manco Cápac (Emperador Inca),1,no
Manco Cápac,1,no
Sinchi,1,no
Manco Sapaca,1,no
Lloque (Lluq'i) (Surdo Memorable),1,no
Mayta,1,no
Cápac (Qhapaq),1,no
Tarco,1,no
Cunti,1,no
Roca VI Inca,1,no
Humpi,1,no
Uchun Cuna,1,no
Yáhuar Huácac,1,no
Yahuar,1,no
"Wiraqucha VIII Inka, 'el Inca de Huiracocha'",1,no
Wiracocha,1,no
Paucar,1,no
Pauac,1,no
"Pachacútec IX Inca Yupanqui ""El que cambia el rumbo de la tierra""",1,no
Pachacútec Inca Yupanqui,1,no
Cuisi,1,no
Korita,1,no
Cápac Yupanqui General Inca,1,no
Amaru Inca,1,no
Túpac Inca,1,no
Mallcu,1,no
Tocunango,1,no
Palla Curi Ocllo,1,no
Juana Curi,1,no
Auqui,1,no
Cápac,1,no
Quisu,1,no
Rahua Ocllo Coya,1,no
Tala Canta Ilabe,1,no
Huayna Cápac,1,no
Catalina Sisa Chimpu Ocllo,1,no
Huáscar,1,no
Huira,1,no
Rumiñahui,1,no
Inés Pispita (Alegre),1,no
Inés Huaylas Yupanqui (Quispe Sisa),1,no
Mama Cori Duchisela,1,no
Juana Curi De Azurpay Ocllo,1,no
Isabel Paya Yupanqui y Duchisela,1,no
Hualpa,1,no
Túpac Huallpa,1,no
