role,name,people,kind,item_state,qids
family,dell'Acaya,3,ordinary Western surname,no item found,
family,Rosengård,3,ordinary Western surname,no item found,
family,Hinojos,3,ordinary Western surname,no item found,
family,Lopes de Sequeiros,3,ordinary Western surname,no item found,
family,Saliceti,3,ordinary Western surname,exists,Q65113311
family,Starodubsky,3,ordinary Western surname,no item found,
family,Vitéz de Magyarbikal et Tamásfalva,3,ordinary Western surname,no item found,
family,da Mesquita,3,toponymic or territorial byname,no item found,
family,da Cunha Portocarrero,3,toponymic or territorial byname,no item found,
family,von Toerring,3,toponymic or territorial byname,no item found,
family,Borge,3,ordinary Western surname,exists,Q16739663
family,da Costa de Prado,3,toponymic or territorial byname,no item found,
family,von Nassau-Idstein,3,toponymic or territorial byname,no item found,
family,Anthoine de Saint Joseph,3,ordinary Western surname,no item found,
family,zu Solms-Braunfels-Griefenstein,3,toponymic or territorial byname,no item found,
family,Charlęski h. Bończa,3,ordinary Western surname,no item found,
family,Hudson,3,patronymic,exists,Q2720681
family,Rodrigues de Caldas,3,ordinary Western surname,no item found,
family,De Limoges,3,toponymic or territorial byname,exists,Q104832197
family,Sandy,3,ordinary Western surname,exists,Q20727077
family,von Württemberg-Neuenstadt,3,toponymic or territorial byname,no item found,
family,鍾,3,CJK clan name,no item found,
family,陆,3,CJK clan name,no item found,
family,Pranckevičius-Radziminskis,3,ordinary Western surname,no item found,
family,Frąckiewicz-Radzimiński h. Brodzic,3,ordinary Western surname,no item found,
family,iš Vitebsko,3,ordinary Western surname,no item found,
family,Ivanović,3,patronymic,exists,Q21507848
family,Đurđević,3,patronymic,exists,Q91922372
family,Gräfin zu Salm-Neuburg,3,ordinary Western surname,no item found,
family,Alurralde Villagrán,3,ordinary Western surname,no item found,
family,Madeuc de Guemadeuc,3,ordinary Western surname,no item found,
family,Greveg,3,ordinary Western surname,no item found,
family,Vaz Guedes,3,ordinary Western surname,no item found,
family,de Lauzon,3,toponymic or territorial byname,no item found,
family,Cyrne,3,ordinary Western surname,no item found,
family,Gale Hvite,3,ordinary Western surname,no item found,
family,von Post,3,toponymic or territorial byname,exists,Q47469205
family,Ulriksdatter Sandberg,3,ordinary Western surname,no item found,
family,de Magalhães e Menezes,3,toponymic or territorial byname,no item found,
family,de Thury,3,toponymic or territorial byname,no item found,
family,Sánchez de la Borda,3,ordinary Western surname,no item found,
family,González de Ochoa y Flores,3,ordinary Western surname,no item found,
family,Samuelsdotter,3,patronymic,no item found,
family,Lozano Ramires,3,ordinary Western surname,no item found,
family,Pacheco de Sousa,3,ordinary Western surname,no item found,
family,Grisi,3,ordinary Western surname,exists,Q21452366
family,Barbosa de Castro,3,ordinary Western surname,no item found,
family,de Caldas e Sousa,3,toponymic or territorial byname,no item found,
family,Rodrigues de Faria,3,ordinary Western surname,no item found,
family,da Rocha Barbosa,3,toponymic or territorial byname,no item found,
family,Kvål,3,ordinary Western surname,no item found,
family,Al-Tabataba'i,3,ordinary Western surname,no item found,
family,Mayer-Stölzle,3,ordinary Western surname,no item found,
family,Ballesteros Treviño,3,ordinary Western surname,no item found,
family,do Rêgo,3,ordinary Western surname,exists,Q88464461
family,燕,3,CJK clan name,no item found,
family,Кропоткин,3,non-Latin script (CYRILLIC),no item found,
family,von Kalberlage,3,toponymic or territorial byname,no item found,
family,Прега,3,non-Latin script (CYRILLIC),no item found,
family,(Staritsky),3,ordinary Western surname,no item found,
family,Soares Pereira,3,ordinary Western surname,no item found,
family,Kamytzes,3,ordinary Western surname,exists,Q99909712
family,Loew,3,ordinary Western surname,exists,Q37038841
family,Hartvig,3,ordinary Western surname,no item found,
family,Liú 劉,3,place misfiled as a name,no item found,
family,van Matenesse,3,toponymic or territorial byname,no item found,
family,de Brialmont,3,toponymic or territorial byname,no item found,
family,van Immerseel,3,toponymic or territorial byname,no item found,
family,Dias de Velez,3,ordinary Western surname,no item found,
family,van Lynden,3,toponymic or territorial byname,exists,Q115068884
family,Fernandes de Portocarreiro,3,ordinary Western surname,no item found,
family,Jarosławski,3,ordinary Western surname,exists,Q28132414
family,Álvares de Carvalho,3,ordinary Western surname,no item found,
family,Benavides,3,ordinary Western surname,exists,Q5725502
family,Patek,3,ordinary Western surname,ambiguous,Q21513691 | Q55810023
family,Arnbjørnsdatter,3,patronymic,no item found,
family,Freiin von Gersdorff,3,ordinary Western surname,no item found,
family,Galteryggen,3,ordinary Western surname,no item found,
family,Воронцова,3,non-Latin script (CYRILLIC),no item found,
family,Garza Lozano,3,ordinary Western surname,no item found,
family,кн. Шуморовский,3,non-Latin script (CYRILLIC),no item found,
family,Всеволожская,3,non-Latin script (CYRILLIC),no item found,
family,Odojewski,3,ordinary Western surname,no item found,
family,Molina Villafañe,3,ordinary Western surname,no item found,
family,Siñani,3,ordinary Western surname,no item found,
family,Ambia,3,ordinary Western surname,no item found,
family,Заозерский,3,non-Latin script (CYRILLIC),no item found,
family,Dart,3,ordinary Western surname,exists,Q16869420
family,Shurasena,3,ordinary Western surname,no item found,
family,Salazar Benjuméa,3,ordinary Western surname,no item found,
family,Pedersen Klingenberg,3,ordinary Western surname,no item found,
family,Stenbith,3,ordinary Western surname,no item found,
family,Bristol,3,ordinary Western surname,exists,Q37534869
family,Bernhardsdotter Bure,3,ordinary Western surname,no item found,
family,de Galard,3,toponymic or territorial byname,exists,Q65101176
family,Lyngfield,3,ordinary Western surname,no item found,
family,van Leefdael,3,toponymic or territorial byname,exists,Q110008230
family,Persdtr. Vika Dalen,3,ordinary Western surname,no item found,
family,de Fléchin,3,toponymic or territorial byname,no item found,
family,Sanchez Vargas,3,ordinary Western surname,no item found,
family,Vélez Posada,3,ordinary Western surname,no item found,
family,Cantú del Río y de la Cerda,3,ordinary Western surname,no item found,
family,Gutiérrez de Lara de la Garza,3,ordinary Western surname,no item found,
family,Guerra de Reza,3,ordinary Western surname,no item found,
family,Sáenz Treviño,3,ordinary Western surname,no item found,
family,Sosa Saldivar,3,ordinary Western surname,no item found,
family,Ramelan,3,ordinary Western surname,no item found,
family,Lobo Guerrero de las Casas,3,ordinary Western surname,no item found,
family,Sondresen,3,patronymic,no item found,
family,Ansteensen,3,patronymic,no item found,
family,ibn Chizkiya,3,patronymic,no item found,
family,Cadwell,3,ordinary Western surname,exists,Q37544946
family,Ruud,3,ordinary Western surname,exists,Q30080388
family,ibn Barhūn al-Tāhertī,3,patronymic,no item found,
family,Holme,3,ordinary Western surname,exists,Q28199939
family,Farias,3,ordinary Western surname,exists,Q20015005
family,Salinas,3,ordinary Western surname,exists,Q16882541
family,Avila,3,ordinary Western surname,ambiguous,Q29179393 | Q29905929
family,Вельяминов-Зернов Синцов,3,non-Latin script (CYRILLIC),no item found,
family,García Zorro,3,ordinary Western surname,no item found,
family,Skarpholt,3,ordinary Western surname,no item found,
family,de la Tour Saint Vidal,3,toponymic or territorial byname,no item found,
family,Olsdatter (Kile),3,ordinary Western surname,no item found,
family,Hartvigssøn Sehsted,3,ordinary Western surname,no item found,
family,?????,3,not a name,no item found,
family,de Crèvecoeur,3,toponymic or territorial byname,no item found,
family,Grubbenhielm,3,ordinary Western surname,exists,Q116955287
family,Fjetland,3,ordinary Western surname,no item found,
family,López de Betancourt,3,ordinary Western surname,no item found,
family,Fernández Dávila Eyzaguirre,3,ordinary Western surname,no item found,
family,Fernández Dávila y Larreátegui,3,ordinary Western surname,no item found,
family,Kastrioti,3,ordinary Western surname,no item found,
family,Roldan Montoya,3,ordinary Western surname,no item found,
family,Moreno Sierra,3,ordinary Western surname,no item found,
family,de la Roche Guyon,3,toponymic or territorial byname,no item found,
family,Prip,3,ordinary Western surname,no item found,
family,Rodrigues Pimentel,3,ordinary Western surname,no item found,
family,Arias Bueno,3,ordinary Western surname,no item found,
family,Arango Sánchez,3,ordinary Western surname,no item found,
family,Skulevold,3,ordinary Western surname,no item found,
family,van Alkemade,3,toponymic or territorial byname,no item found,
family,Risanger,3,ordinary Western surname,no item found,
family,鄔,3,CJK clan name,no item found,
family,Gomez Poblete,3,ordinary Western surname,no item found,
family,Gómez Torres,3,ordinary Western surname,no item found,
family,Larssen,3,patronymic,exists,Q27888992
family,久松Hisamatsu,3,place misfiled as a name,no item found,
family,de Marillac,3,toponymic or territorial byname,exists,Q105107605
family,Ibn Tibbon,3,patronymic,no item found,
family,de Conros d'Aurillac,3,toponymic or territorial byname,no item found,
family,de Mirabel,3,toponymic or territorial byname,no item found,
family,Mataram,3,ordinary Western surname,no item found,
family,Syeikh Ahmad Barus,3,ordinary Western surname,no item found,
family,Vestberg,3,ordinary Western surname,no item found,
family,Dysjeland,3,ordinary Western surname,no item found,
family,von Sandersleben,3,toponymic or territorial byname,no item found,
family,Mackay,3,ordinary Western surname,ambiguous,Q21506751 | Q63978307
family,Lovestead,3,ordinary Western surname,no item found,
family,Gilberg,3,ordinary Western surname,no item found,
family,Lupi,3,ordinary Western surname,exists,Q37180826
family,Maciel,3,ordinary Western surname,exists,Q21491511
family,de Freitas Carneiro,3,toponymic or territorial byname,no item found,
family,Gómez de Castro Jiménez,3,ordinary Western surname,no item found,
family,Flatner,3,ordinary Western surname,no item found,
family,Kjønnerød,3,ordinary Western surname,no item found,
family,Thorvalsen,3,patronymic,no item found,
family,Álvares de Castro,3,ordinary Western surname,no item found,
family,Falcão Marinho,3,ordinary Western surname,no item found,
family,e Sousa,3,ordinary Western surname,no item found,
family,Andersen Wouer,3,ordinary Western surname,no item found,
family,Luque,3,ordinary Western surname,exists,Q28800729
family,Herrera Crespo,3,ordinary Western surname,no item found,
family,Yepes,3,ordinary Western surname,no item found,
family,Byschoff,3,ordinary Western surname,no item found,
family,Veiga,3,ordinary Western surname,exists,Q37568798
family,Urreaga,3,ordinary Western surname,no item found,
family,Urreaga Urbina,3,ordinary Western surname,no item found,
family,Kurbskis,3,ordinary Western surname,no item found,
family,Hoyer,3,ordinary Western surname,exists,Q28317929
family,von Wied-Neuenburg,3,toponymic or territorial byname,no item found,
family,Rodriguez-Ponce,3,ordinary Western surname,no item found,
family,Felgueiras,3,ordinary Western surname,no item found,
family,Pereira Lobato,3,ordinary Western surname,no item found,
family,Martens,3,ordinary Western surname,exists,Q16876487
family,de La Moussaye,3,toponymic or territorial byname,no item found,
family,Infante,3,ordinary Western surname,exists,Q37089445
family,Martinez Garcia,3,ordinary Western surname,no item found,
family,Hernandez Henao,3,ordinary Western surname,no item found,
family,Ружинская,3,non-Latin script (CYRILLIC),no item found,
family,бар. Строганова,3,non-Latin script (CYRILLIC),no item found,
family,бар. Строганов,3,non-Latin script (CYRILLIC),no item found,
family,de Lestrange,3,toponymic or territorial byname,exists,Q105770878
family,Kijatas,3,ordinary Western surname,no item found,
family,Skagen,3,ordinary Western surname,no item found,
family,Pelaez Restrepo,3,ordinary Western surname,no item found,
family,Tobón Mesa,3,ordinary Western surname,no item found,
family,陳龍洛,3,place misfiled as a name,no item found,
family,al-Jarhami,3,ordinary Western surname,no item found,
family,柳,3,CJK clan name,no item found,
family,de Foix de Rabat,3,toponymic or territorial byname,no item found,
family,Førrisdahl,3,ordinary Western surname,no item found,
family,d'Ornhac,3,ordinary Western surname,no item found,
family,De La Garza De La Garza,3,toponymic or territorial byname,no item found,
family,de Conty,3,toponymic or territorial byname,no item found,
family,del Castillo y Arias Rengel,3,toponymic or territorial byname,no item found,
family,Ruiz de los Llanos y Ruiz de los Llanos,3,ordinary Western surname,no item found,
family,de Arbestain Videla,3,toponymic or territorial byname,no item found,
family,de Gerando,3,toponymic or territorial byname,ambiguous,Q122811434 | Q60583459
family,Pereira de Melo,3,ordinary Western surname,no item found,
family,Gomes Pereira,3,ordinary Western surname,no item found,
family,Niccolini,3,ordinary Western surname,exists,Q47069894
family,Isenburg,3,ordinary Western surname,exists,Q37084696
family,von Wartburg,3,toponymic or territorial byname,exists,Q76418034
family,Mesnard,3,ordinary Western surname,no item found,
family,Brisart,3,ordinary Western surname,no item found,
family,de Gouveia Mendanha,3,toponymic or territorial byname,no item found,
family,Alvarez del Pino Cortes,3,ordinary Western surname,no item found,
family,Mesa Alvarez del Pino,3,ordinary Western surname,no item found,
family,Tesson,3,patronymic,no item found,
family,de Benavente y Silva,3,toponymic or territorial byname,no item found,
family,González Rubio y Márquez,3,ordinary Western surname,no item found,
family,de Maigret,3,toponymic or territorial byname,exists,Q27905743
family,Aldobrandini,3,ordinary Western surname,exists,Q28753277
family,de La Garza González Quintanilla,3,toponymic or territorial byname,no item found,
family,Guerra Garza,3,ordinary Western surname,no item found,
family,Wiener,3,ordinary Western surname,no item found,
family,Barbosa Cabral,3,ordinary Western surname,no item found,
family,Arias Bedoya,3,ordinary Western surname,no item found,
family,Bhattacharya,3,ordinary Western surname,no item found,
family,de Bouillé,3,toponymic or territorial byname,exists,Q105139626
family,Niel,3,ordinary Western surname,exists,Q37076606
family,Lammfromm,3,ordinary Western surname,exists,Q106069846
family,Walrond,3,ordinary Western surname,exists,Q7963750
family,Salazar Gomez,3,ordinary Western surname,no item found,
family,de Bazán,3,toponymic or territorial byname,no item found,
family,Caballero de Los Olivos,3,ordinary Western surname,no item found,
family,Allesina genannt von Schweitzer,3,ordinary Western surname,no item found,
family,van Zuylen,3,toponymic or territorial byname,exists,Q88388710
family,d'Aubeterre,3,ordinary Western surname,exists,Q105713596
family,L'Orfèvre,3,ordinary Western surname,no item found,
family,Gómez de Castro y Betancourt,3,ordinary Western surname,no item found,
family,Pettersdotter,3,patronymic,no item found,
family,Nærby,3,ordinary Western surname,no item found,
family,Rendon Lopez Idarraga,3,ordinary Western surname,no item found,
family,Al-Hamdani,3,ordinary Western surname,no item found,
family,الهمداني,3,non-Latin script (ARABIC),no item found,
family,Eilertsdatter,3,patronymic,no item found,
family,von Thuringia,3,toponymic or territorial byname,no item found,
family,Lande,3,ordinary Western surname,exists,Q1727037
family,von Thurn,3,toponymic or territorial byname,no item found,
family,Russ,3,ordinary Western surname,exists,Q24411709
family,Rodrigues da Cunha,3,ordinary Western surname,no item found,
family,Iversen Lund,3,ordinary Western surname,no item found,
family,Franco Betancurt,3,ordinary Western surname,no item found,
family,Vargas Feria,3,ordinary Western surname,no item found,
family,Cordoba Mesa,3,ordinary Western surname,no item found,
family,Knudson,3,patronymic,no item found,
family,ap Ieuan,3,ordinary Western surname,no item found,
family,von Diesbach,3,toponymic or territorial byname,exists,Q76422435
family,Lizarraras y Cuellar García,3,ordinary Western surname,no item found,
family,Arias Maldonado,3,ordinary Western surname,no item found,
family,Weld,3,ordinary Western surname,exists,Q16965825
family,Pålsdotter,3,patronymic,no item found,
family,Duckworth,3,ordinary Western surname,exists,Q27887174
family,Neve,3,ordinary Western surname,exists,Q28054963
family,Temiño de Velasco,3,ordinary Western surname,no item found,
family,Rafshol,3,ordinary Western surname,no item found,
family,ኃይሉ,3,non-Latin script (ETHIOPIC),no item found,
family,García Arredondo,3,ordinary Western surname,no item found,
family,ap Clydog,3,ordinary Western surname,no item found,
family,van Wittenhorst,3,toponymic or territorial byname,no item found,
family,Karski,3,ordinary Western surname,exists,Q37491443
family,Baena de la sierra,3,ordinary Western surname,no item found,
family,Соломерецкая,3,non-Latin script (CYRILLIC),no item found,
family,van Auxerre,3,toponymic or territorial byname,no item found,
family,Ryhiner,3,ordinary Western surname,exists,Q76411442
family,Mildmay,3,ordinary Western surname,exists,Q6850912
family,de la Garza de Elizondo,3,toponymic or territorial byname,no item found,
family,CHUA,3,ordinary Western surname,no item found,
family,Gómez Giraldo,3,ordinary Western surname,no item found,
family,Sánchez (del Guijo) Gaitán,3,ordinary Western surname,no item found,
family,González Nieto,3,ordinary Western surname,no item found,
family,Báez de Benavides Martínez,3,ordinary Western surname,no item found,
family,LEE 李,3,place misfiled as a name,no item found,
family,de Castilla Altamirano,3,toponymic or territorial byname,no item found,
family,Lauritsen Fiskå,3,ordinary Western surname,no item found,
family,Hansdatter Fiskå,3,ordinary Western surname,no item found,
family,Riquelme de Guzmán,3,ordinary Western surname,no item found,
family,Coytemore,3,ordinary Western surname,no item found,
family,von Boineburg,3,toponymic or territorial byname,no item found,
family,DE BOËRIO,3,toponymic or territorial byname,no item found,
family,Miroslavić Andrijić,3,ordinary Western surname,no item found,
family,de Rocabertí i de Cruïlles,3,toponymic or territorial byname,no item found,
family,de Paternoy y Gordo,3,toponymic or territorial byname,no item found,
family,Andersson Lang,3,ordinary Western surname,no item found,
family,McFerren,3,ordinary Western surname,no item found,
family,von Berckheim,3,toponymic or territorial byname,no item found,
family,Clausen Grubendal,3,ordinary Western surname,no item found,
family,González de Tapia,3,ordinary Western surname,no item found,
family,Dominguez de Sancebrian Gómez,3,ordinary Western surname,no item found,
family,Hackburn,3,ordinary Western surname,no item found,
family,Le Baveux,3,toponymic or territorial byname,no item found,
family,Gómez de Ureña Arnedo,3,ordinary Western surname,no item found,
family,Autier de Villemontée,3,ordinary Western surname,no item found,
family,Martel,3,ordinary Western surname,exists,Q21492116
family,Marcellus,3,ordinary Western surname,no item found,
family,Kaufmann,3,ordinary Western surname,no item found,
family,Arias Rengel y López de Villanueva,3,ordinary Western surname,no item found,
family,Majewski,3,ordinary Western surname,exists,Q21449061
family,de Mostuejouls,3,toponymic or territorial byname,no item found,
family,des Deux Vierges,3,toponymic or territorial byname,no item found,
family,De Peralta,3,toponymic or territorial byname,no item found,
family,von Brandenburg-Ansbach,3,toponymic or territorial byname,no item found,
family,Lotero Velasquez,3,ordinary Western surname,no item found,
family,Desguanechs,3,ordinary Western surname,no item found,
family,Periañez de Lezcano,3,ordinary Western surname,no item found,
family,예,3,non-Latin script (HANGUL),no item found,
family,Velez Fernandez,3,ordinary Western surname,no item found,
family,Angel Arango,3,ordinary Western surname,no item found,
family,Loewi,3,ordinary Western surname,no item found,
family,de Bouvet,3,toponymic or territorial byname,no item found,
family,Tukatimur,3,ordinary Western surname,no item found,
family,de Zaldívar de Miranda,3,toponymic or territorial byname,no item found,
family,WONG 黃,3,place misfiled as a name,no item found,
family,Truchsess von Waldburg,3,ordinary Western surname,exists,Q131849497
family,Sandbjerg,3,ordinary Western surname,no item found,
family,de Ariño y Cabrero,3,toponymic or territorial byname,no item found,
family,de Ariño,3,toponymic or territorial byname,no item found,
family,PEARCE,3,ordinary Western surname,exists,Q15897006
family,Von Brandenburg-Bayreuth,3,toponymic or territorial byname,no item found,
family,Cockrill,3,ordinary Western surname,exists,Q16865661
family,Solms-Greifenstein,3,ordinary Western surname,no item found,
family,Al-Mustaliqi,3,ordinary Western surname,no item found,
family,de Tingry,3,toponymic or territorial byname,no item found,
family,de Démandolx - Trigance,3,toponymic or territorial byname,no item found,
family,Takeda,3,ordinary Western surname,ambiguous,Q18642402 | Q1981031
family,Princess,3,ordinary Western surname,no item found,
family,Brewerton,3,ordinary Western surname,exists,Q36915229
family,Svenungsen,3,patronymic,no item found,
family,Hornnæs,3,ordinary Western surname,no item found,
family,von Groß-Mähren,3,toponymic or territorial byname,no item found,
family,van Stolberg,3,toponymic or territorial byname,no item found,
family,Reimer,3,ordinary Western surname,exists,Q18599200
family,de Morny,3,toponymic or territorial byname,exists,Q129167149
family,de Wissocq,3,toponymic or territorial byname,no item found,
family,Marulanda,3,ordinary Western surname,exists,Q37320867
family,von Anhalt-Köthen,3,toponymic or territorial byname,no item found,
family,Correa de Soto Collantes,3,ordinary Western surname,no item found,
family,Kjølberg,3,ordinary Western surname,no item found,
family,von Gemen,3,toponymic or territorial byname,no item found,
family,im Padergau,3,ordinary Western surname,no item found,
family,Gediminaitė,3,ordinary Western surname,no item found,
family,Reinertson,3,patronymic,no item found,
family,Rostovietė,3,ordinary Western surname,no item found,
family,Giddens,3,ordinary Western surname,exists,Q5559499
family,Pinazo Funes,3,ordinary Western surname,no item found,
family,Faanes,3,ordinary Western surname,exists,Q33093230
family,Adorno,3,ordinary Western surname,exists,Q30096947
family,de Olazábal y Peralta,3,toponymic or territorial byname,no item found,
family,De Olazábal,3,toponymic or territorial byname,no item found,
family,Spiegelberg,3,ordinary Western surname,exists,Q27887171
family,Cernyne,3,ordinary Western surname,no item found,
family,Leguizamo,3,ordinary Western surname,no item found,
family,Dávila,3,ordinary Western surname,ambiguous,Q28800642 | Q37552046
family,Končakaitė,3,ordinary Western surname,no item found,
family,Pacas h. Gozdava,3,ordinary Western surname,no item found,
family,Romo Lomeli,3,ordinary Western surname,no item found,
family,Cantú Ortiz,3,ordinary Western surname,no item found,
family,Larsdatter Dallerud,3,ordinary Western surname,no item found,
family,王氏,3,CJK clan name,no item found,
family,吴氏,3,CJK clan name,no item found,
family,Jørgensdatter Lunge,3,ordinary Western surname,no item found,
family,Thurnauer,3,ordinary Western surname,exists,Q19656761
family,Ovesen Lunge,3,ordinary Western surname,no item found,
family,Culver,3,ordinary Western surname,exists,Q16865939
family,Bermejo O'Phelan,3,ordinary Western surname,no item found,
family,Burggraf von Kirchberg,3,ordinary Western surname,no item found,
family,Stigsen (Hvide),3,ordinary Western surname,no item found,
family,Hilleström,3,ordinary Western surname,no item found,
family,Billings,3,ordinary Western surname,exists,Q20995841
family,Gebwyler,3,ordinary Western surname,no item found,
family,Stiernfelt,3,ordinary Western surname,exists,Q117301826
family,Maresca Donnorso,3,ordinary Western surname,no item found,
family,Carlsdatter,3,patronymic,no item found,
family,閭邱,3,CJK clan name,no item found,
family,Delgadillo de Isla,3,ordinary Western surname,no item found,
family,Al-Habashi,3,ordinary Western surname,no item found,
family,Minge,3,ordinary Western surname,exists,Q16864382
family,Lerchenthal,3,ordinary Western surname,no item found,
family,Al-Ukhaydari,3,ordinary Western surname,no item found,
family,Guerra Canamar de Gutierrez,3,ordinary Western surname,no item found,
family,Олелькович-Слуцкий,3,non-Latin script (CYRILLIC),no item found,
family,Olsdatter Skaar,3,ordinary Western surname,no item found,
family,Челяндин,3,non-Latin script (CYRILLIC),no item found,
family,Mochiri,3,ordinary Western surname,no item found,
family,Torres Carvajal y San Martín,3,ordinary Western surname,no item found,
family,Алабышев,3,non-Latin script (CYRILLIC),no item found,
family,Jalayer,3,ordinary Western surname,no item found,
family,Łączyńska,3,ordinary Western surname,no item found,
family,Søreid,3,ordinary Western surname,no item found,
family,Jǐ 己,3,place misfiled as a name,no item found,
family,Tabone,3,ordinary Western surname,exists,Q21493125
family,zu Schaumburg-Lippe,3,toponymic or territorial byname,no item found,
family,Lazard,3,ordinary Western surname,exists,Q16871943
family,Rodriguez Baca Uribe,3,ordinary Western surname,no item found,
family,de Islas y Palacio,3,toponymic or territorial byname,no item found,
family,Israelsson,3,patronymic,exists,Q16871103
family,Tisthamar,3,ordinary Western surname,no item found,
family,Kurčaitė,3,ordinary Western surname,no item found,
family,Åkerström,3,ordinary Western surname,no item found,
family,Minshall,3,ordinary Western surname,exists,Q20997359
family,Spanas,3,ordinary Western surname,no item found,
family,Pérez de Vivero y Menchaca,3,ordinary Western surname,no item found,
family,Cantú Gómez de Castro,3,ordinary Western surname,no item found,
family,iš Konkirat giminės,3,ordinary Western surname,no item found,
family,of the Kerayt tribe,3,toponymic or territorial byname,no item found,
family,из рода Кераит,3,non-Latin script (CYRILLIC),no item found,
family,Монастырев,3,non-Latin script (CYRILLIC),no item found,
family,von Kalckreuth,3,toponymic or territorial byname,exists,Q140045008
family,de Laugier de Beaurecueil,3,toponymic or territorial byname,no item found,
family,ap Maredudd Fychan,3,ordinary Western surname,no item found,
family,Ortiz de Sandoval,3,ordinary Western surname,no item found,
family,Strassburger,3,ordinary Western surname,exists,Q36895729
family,Słowacka h. Leliwa,3,ordinary Western surname,no item found,
family,Eskridge,3,ordinary Western surname,no item found,
family,Edgar,3,ordinary Western surname,exists,Q25936455
family,Herades de Arriaga,3,ordinary Western surname,no item found,
family,Larsdotter Bod,3,ordinary Western surname,no item found,
family,Stormont,3,ordinary Western surname,no item found,
family,Lovit,3,ordinary Western surname,no item found,
family,Ianvilla,3,ordinary Western surname,no item found,
family,Vedal,3,ordinary Western surname,no item found,
family,magyarbikali Vitéz,3,ordinary Western surname,no item found,
family,d' Armenia,3,ordinary Western surname,no item found,
family,Roiz (Rodrigues) o Maduro,3,ordinary Western surname,no item found,
family,de la Tour d'Auvergne d'Oliergues,3,toponymic or territorial byname,no item found,
family,Tom,3,ordinary Western surname,exists,Q37211490
family,de Rocaberti,3,toponymic or territorial byname,no item found,
family,Centeno,3,ordinary Western surname,no item found,
family,Willcox,3,ordinary Western surname,exists,Q16938768
family,Rodríguez de Quiroga,3,ordinary Western surname,no item found,
family,Talwosz h. Łabędź,3,ordinary Western surname,no item found,
family,劉氏,3,CJK clan name,no item found,
family,Ornelas,3,ordinary Western surname,exists,Q7103539
family,Thoresdatter,3,patronymic,no item found,
family,Henri-Robert,3,ordinary Western surname,no item found,
family,Barula,3,ordinary Western surname,no item found,
family,González García,3,ordinary Western surname,no item found,
family,de Melo e Lima,3,toponymic or territorial byname,no item found,
family,Pytten,3,ordinary Western surname,no item found,
family,Burton,3,ordinary Western surname,exists,Q1259568
family,Lempriere,3,ordinary Western surname,exists,Q6521501
family,Marinus,3,ordinary Western surname,no item found,
family,Ano,3,ordinary Western surname,no item found,
family,Rodríguez de Portugal,3,ordinary Western surname,no item found,
family,Tamez,3,ordinary Western surname,no item found,
family,de Tremiño,3,toponymic or territorial byname,no item found,
family,Alvares Faria,3,ordinary Western surname,no item found,
family,de Luque y Peralta,3,toponymic or territorial byname,no item found,
family,Buchan,3,ordinary Western surname,exists,Q16860612
family,Julio Rospigliosi y Bustios,3,ordinary Western surname,no item found,
family,de Peñaloza y Vélez de Córdova,3,toponymic or territorial byname,no item found,
family,LeDoux,3,ordinary Western surname,exists,Q1811652
family,Fernandez de Zevallos,3,ordinary Western surname,no item found,
family,Fernández de Zevallos,3,ordinary Western surname,no item found,
family,Quiros,3,ordinary Western surname,exists,Q41587157
family,Syvertsen,3,patronymic,exists,Q35551038
family,Von Mansfeld Zu Hinter-Ort,3,toponymic or territorial byname,no item found,
family,Fernandes da Rua,3,ordinary Western surname,no item found,
family,Pérez de Tudela,3,ordinary Western surname,no item found,
family,Spalletti Trivelli,3,ordinary Western surname,no item found,
family,Christian,3,ordinary Western surname,no item found,
family,Нетшин,3,non-Latin script (CYRILLIC),no item found,
family,de Tanlay,3,toponymic or territorial byname,no item found,
family,de wissocq,3,toponymic or territorial byname,no item found,
family,de Osorio,3,toponymic or territorial byname,no item found,
family,Hohenstein,3,ordinary Western surname,exists,Q36863712
family,von Valkenstein,3,toponymic or territorial byname,no item found,
family,Guerra Canamar,3,ordinary Western surname,no item found,
family,Nielsdotter Kjærulf,3,ordinary Western surname,no item found,
family,Duval,3,ordinary Western surname,exists,Q105129090
family,? Espeli,3,ordinary Western surname,no item found,
family,Jorgensen,3,patronymic,exists,Q27238362
family,Halvarsdtr. Bersagel,3,ordinary Western surname,no item found,
family,Enevoldsdatter,3,patronymic,no item found,
family,de Thüringen,3,toponymic or territorial byname,no item found,
family,D'Austrasie,3,ordinary Western surname,no item found,
family,De Chalcis,3,toponymic or territorial byname,no item found,
family,De Syrie,3,toponymic or territorial byname,no item found,
family,De Anda,3,toponymic or territorial byname,no item found,
family,de Anda Altamirano,3,toponymic or territorial byname,no item found,
family,D'Auvergne,3,ordinary Western surname,exists,Q93972551
family,WEEMS,3,ordinary Western surname,exists,Q37457857
family,Andersdatter Hvittenstiern,3,ordinary Western surname,no item found,
family,Treviño Mota,3,ordinary Western surname,no item found,
family,Flores de Abrego Martinez,3,ordinary Western surname,no item found,
family,Орбелиани,3,non-Latin script (CYRILLIC),no item found,
family,Cantú de la Serna,3,ordinary Western surname,no item found,
family,Skelton,3,ordinary Western surname,exists,Q28152955
family,Trevino Garza,3,ordinary Western surname,no item found,
family,Montanez de Sotomayor,3,ordinary Western surname,no item found,
family,de Fontrailles,3,toponymic or territorial byname,no item found,
family,Duglatas,3,ordinary Western surname,no item found,
