cut	rank	people	max_dist	min_dist	median_dist	p2600_linked	common	farthest	farthest_geni
60	88	27	78	60	68	0	邱 70% khoo 14%	思妮 邱 | Eng Liat YEOH | Tiang Lim KHOO 邱 | Saw Wan LIM | Siew Tin KHOO	6000000013735725976 | 6000000198603659850 | 6000000084307674117 | 6000000198603259854 | 6000000198603608840
60	89	27	70	60	68	0	dhanak 29% pattni 29% ancestor 14% gopaldas 11% popatlal 11%	(private) | (private) | (private) | (private) | (private)	6000000011116271917 | 6000000011116246938 | 6000000011116426270 | 6000000011116412232 | 6000000011116223024
60	90	27	64	60	63	0	陳 100%	和卿 陳 | 安生 陳 | 帥公 陳 | 建章 陳 | 建童 陳	6000000021651472045 | 6000000021651316129 | 6000000021651406182 | 6000000021651280201 | 6000000021651579995
60	91	26	69	60	62	0	陳 76% 138,130,97,50,14g 30% 139,131,98,51,15g 23% 芳 23% 137,129,96,49,13g 19% 義 19%	Kwok Wing 145,137,104,57,21G (奕) CHAN | (於) | 失記 (Not known yet) 143,135,102,55,19G (光) | 失記 (Not known yet) 142,134,101,54,18G (龍) | 失記 (Not known yet) 141,133,100,53,17G (衍)	6000000188313855876 | 6000000188314278831 | 6000000188313510924 | 6000000188314281821 | 6000000188313844886
60	92	26	62	60	62	0	nabitz 19% smadja 15% levitre 11%	(private) | (no label) | (private) | (private) | (no label)	6000000069552269017 | 6000000069551932266 | 6000000069552181956 | 6000000069552098063 | 6000000069551790329
60	93	26	62	60	62	0		(private) | (private) | (private) | (private) | (private)	6000000008671228665 | 6000000008671287449 | 6000000008671152568 | 6000000008671050580 | 6000000008671238642
60	94	25	72	60	70	0	曾 68% 龍山曾 32%	子淳 曾 | 子淵 曾 | 子淸 曾 | 子源 曾 | 子漠 曾	6000000178361436822 | 6000000178361474821 | 6000000178361479821 | 6000000178361243823 | 6000000178359745875
60	95	25	69	60	67	0	chin 72% gnee 24% chen 20% lang 20% fat 12%	Lang Chong Chin | Lang Dic Chin | Lang Kuin Chin | Lang Suan Chin | Lang Tan Chin	6000000217424553843 | 6000000217424666837 | 6000000217390941842 | 6000000217424660825 | 6000000217424733838
60	96	25	62	60	61	0	barkate 24% guedj 24% fitoussi 20%	Arlette Couca Fitoussi | Joseph Emmanuel Ganem | (private) | (private) | (private)	6000000224302940933 | 6000000224570510848 | 6000000219025545847 | 6000000219025343931 | 6000000219025895837
60	97	25	62	60	62	0		(private) | (private) | (private) | (private) | (private)	6000000019220932300 | 6000000019220932296 | 6000000019220932292 | 6000000019220932288 | 6000000019220932284
60	98	24	64	60	62	0	tan 83% 陳 83% for 29% version 29% 景肅 29% descendents 25%	Version 1 for descendents of 景肅 Tan 陳 | Version 1 for descendents of 景肅 Tan 陳 | 仕一 Tan 陳 | 崇源 Tan 陳 | Version 1 for descendents of 景肅 Tan 陳	6000000039655969990 | 6000000039655808184 | 6000000020506357860 | 6000000020505647322 | 6000000039655868073
60	99	24	64	60	63	0	tan 100% 陳 100%	伯希 TAN 陳 | 原祚 TAN 陳 | 士公 TAN 陳 | 弟奴 TAN 陳 | 弟貝 TAN 陳	6000000039584194556 | 6000000039584365054 | 6000000039584352455 | 6000000039585024864 | 6000000039584345427
60	100	24	63	60	63	0		(private) | (private) | (private) | (private) | (private)	6000000010057541795 | 6000000010057506353 | 6000000010057335574 | 6000000010057303995 | 6000000010057299580
60	101	24	63	60	62	0	陳 100%	善吟 陳 | 善和 陳 | 善嚶 陳 | 善如 陳 | 善鳴 陳	6000000021651355431 | 6000000021651849056 | 6000000021651465652 | 6000000021651836163 | 6000000021651765243
60	102	23	64	60	64	0	tan 100% 陳 100%	德亨 TAN 陳 | 德善 TAN 陳 | 德應 TAN 陳 | 德懋 TAN 陳 | 德章 TAN 陳	6000000039573558710 | 6000000039572781807 | 6000000039573820862 | 6000000039573603476 | 6000000039573831125
60	103	23	64	60	63	0	陳 100%	德弘 陳 | 德成 陳 | 德祥 陳 | 汶輝 陳 | 泗輝 陳	6000000021651492576 | 6000000021651441380 | 6000000021651868838 | 6000000021651660992 | 6000000021651755051
60	104	23	63	60	61	0	nacache 26% nakache 17%	(no label) | (no label) | Dolly Léontine Jeanne Booms | Georges Booms | Mardochée Martin Amsili	6000000173435209903 | 6000000173435209894 | 6000000173435209885 | 6000000140067586353 | 6000000175883136822
60	105	21	75	60	70	0		(no label) | Kush | LUV | (no label) | (no label)	6000000038624631390 | 6000000038625036917 | 6000000038624816204 | 6000000038624632317 | 6000000038624980985
60	106	21	69	60	63	0	陳 71%	華坤 陳 | 而康 陳 | 業護 陳 | (private) | 大賀 陳	6000000185515210826 | 6000000185513342959 | 6000000185513036011 | 6000000185904916852 | 6000000185512797960
60	107	21	62	60	61	0	timestit 28%	(private) | (private) | (private) | (private) | (private)	6000000009204329634 | 4383194618150030691 | 4383138049680076192 | 4383135857770030779 | 4383134131150043923
60	108	20	75	60	70	0	李 80% lee 65%	(private) | (no label) | (private) | 憲文 LEE 李 | 登輝 李	6000000041426668975 | 6000000041426535345 | 6000000041426249661 | 6000000041426672995 | 6000000041426138623
60	109	20	73	60	65	0	dridhasena 10%	Dridhasena | Susuma | Dharma | Subrata | Kshemya	6000000009716635412 | 6000000009716480568 | 6000000009716405844 | 6000000009716593532 | 6000000009716386807
60	110	20	63	60	63	0	poriss 15% schwab 15%	(private) | (private) | (private) | (private) | (private)	6000000009003977972 | 6000000009003977968 | 6000000009003977962 | 6000000094084516471 | 6000000094085624270
60	111	20	62	60	61	0	zaffran 60% bakouche 15% khalfa 10% zaïra 10%	(private) | (private) | (private) | (private) | Moshe Bakouche	3130845 | 3130850 | 3130856 | 3130876 | 3130787
60	112	20	62	60	61	0	khalifat 65%	(no label) | (private) | Odette, Myriam ZEMMOUR | Diamanti Khalifat | Djohra Khalifat	6000000203766513677 | 6000000203753502697 | 6000000203766513671 | 6000000015596245732 | 6000000041247316434
60	113	19	70	60	64	0	senge 78% higashi 21% munetoshi 10% takanori 10%	Takanori 81 Senge | Takatomi 80 Senge | Takasumi 79 Senge | Takamago 78 Senge | Takanori 77 Senge	6000000227331629828 | 6000000227331651847 | 6000000227331591841 | 6000000227331651878 | 6000000227331536905
60	114	19	64	60	62	0		(private) | (private) | (private) | (private) | (private)	6000000010056005282 | 6000000010055658084 | 6000000010055517129 | 6000000010055088860 | 6000000010055942355
