qid,label,token,position,father_qid,father_given,sex,verdict,evidence,form
Q76103343,Frederick Fendall Kinsman,Kinsman,2,,,M,no father recorded,,
Q75431969,Kelvin Clayton Pollock,Clayton,1,,,M,no father recorded,,
Q75431969,Kelvin Clayton Pollock,Pollock,2,,,M,no father recorded,,
Q75667583,Louise Eugenie Amanda Laboureau,Eugenie,1,,,F,no father recorded,,
Q75667583,Louise Eugenie Amanda Laboureau,Amanda,2,,,F,no father recorded,,
Q75667583,Louise Eugenie Amanda Laboureau,Laboureau,3,,,F,no father recorded,,
Q76059693,C. J. Hoddinott,J.,1,,,M,no father recorded,,
Q76059693,C. J. Hoddinott,Hoddinott,2,,,M,no father recorded,,
Q76072129,Lois Eirene Frances Streatfeild,Eirene,1,Q76072127,Gerald,F,not patronymic,,
Q76072129,Lois Eirene Frances Streatfeild,Frances,2,Q76072127,Gerald,F,"AMBIGUOUS: form, father differs",-es,-es
Q76072129,Lois Eirene Frances Streatfeild,Streatfeild,3,Q76072127,Gerald,F,not patronymic,,
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry",Ranald,1,Q76042055,Donald,M,not patronymic,,
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry",Euan,2,Q76042055,Donald,M,not patronymic,,
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry","Macdonell,",3,Q76042055,Donald,M,"AMBIGUOUS: form, father differs",prefix mac,prefix mac
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry",23rd,4,Q76042055,Donald,M,not patronymic,,
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry",of,5,Q76042055,Donald,M,not patronymic,,
Q76071437,"Aeneas Ranald Euan Macdonell, 23rd of Glengarry",Glengarry,6,Q76042055,Donald,M,not patronymic,,
Q76072098,Colin Patrick Macdonell,Patrick,1,Q76042055,Donald,M,not patronymic,,
Q76072098,Colin Patrick Macdonell,Macdonell,2,Q76042055,Donald,M,"AMBIGUOUS: form, father differs",prefix mac,prefix mac
Q76072120,Lindsay Alice Macdonell,Alice,1,Q76042055,Donald,F,not patronymic,,
Q76072120,Lindsay Alice Macdonell,Macdonell,2,Q76042055,Donald,F,"AMBIGUOUS: form, father differs",prefix mac,prefix mac
Q76072131,James Donald Macdonell of Scotus,Donald,1,Q76042055,Donald,M,not patronymic,,
Q76072131,James Donald Macdonell of Scotus,Macdonell,2,Q76042055,Donald,M,"AMBIGUOUS: form, father differs",prefix mac,prefix mac
Q76072131,James Donald Macdonell of Scotus,of,3,Q76042055,Donald,M,not patronymic,,
Q76072131,James Donald Macdonell of Scotus,Scotus,4,Q76042055,Donald,M,not patronymic,,
Q76072132,Penelope Lois Macdonell,Lois,1,Q76042055,Donald,F,not patronymic,,
Q76072132,Penelope Lois Macdonell,Macdonell,2,Q76042055,Donald,F,"AMBIGUOUS: form, father differs",prefix mac,prefix mac
Q75772834,Fiona (?),(?),1,,,F,no father recorded,,
Q75772609,Audrey Joyce Darch,Joyce,1,,,F,no father recorded,,
Q75772609,Audrey Joyce Darch,Darch,2,,,F,no father recorded,,
Q75515827,Jost E. von Kursell,E.,1,,,M,no father recorded,,
Q75515827,Jost E. von Kursell,von,2,,,M,no father recorded,,
Q75515827,Jost E. von Kursell,Kursell,3,,,M,no father recorded,,
Q75420938,Thomas Burges,Burges,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q136672390,Walter Penn Shipley,Penn,1,Q20908927,,M,father has no label,,
Q136672390,Walter Penn Shipley,Shipley,2,Q20908927,,M,father has no label,,
Q75747381,Richard Lambert,Lambert,1,,,M,no father recorded,,
Q110394865,William Gibb,Gibb,1,,,M,no father recorded,,
Q110394866,Mary Tarbet,Tarbet,1,,,F,no father recorded,,
Q110394869,Andrew Blair,Blair,1,,,M,no father recorded,,
Q110394870,Euphemia Aird,Aird,1,,,F,no father recorded,,
Q110394873,Hugh Kilpatrick,Kilpatrick,1,,,M,no father recorded,,
Q110394875,Isabel Monroe,Monroe,1,,,F,no father recorded,,
Q75241692,Geocomo Albini,Albini,1,,,M,no father recorded,,
Q27177918,Joseph Herbert Marshall,Herbert,1,,,M,no father recorded,,
Q27177918,Joseph Herbert Marshall,Marshall,2,,,M,no father recorded,,
Q76240718,Augusta Georgina Meadows,Georgina,1,,,F,no father recorded,,
Q76240718,Augusta Georgina Meadows,Meadows,2,,,F,no father recorded,,
Q75895966,Gerald Fitzgibbon,Fitzgibbon,1,Q75895952,,M,"AMBIGUOUS: form, father unnamed",prefix fitz,prefix fitz
Q76010865,Elizabeth Dowding,Dowding,1,Q76010866,,F,father has no label,,
Q75896048,Elizabeth Fitzgibbon,Fitzgibbon,1,Q75895980,Philip,M,"AMBIGUOUS: form, father differs",prefix fitz,prefix fitz
Q75896050,Mary Anne Fitzgibbon,Anne,1,Q75895980,Philip,F,not patronymic,,
Q75896050,Mary Anne Fitzgibbon,Fitzgibbon,2,Q75895980,Philip,F,"AMBIGUOUS: form, father differs",prefix fitz,prefix fitz
Q75980622,Abraham Coates Fitzgibbon,Coates,1,Q75895980,Philip,M,"AMBIGUOUS: form, father differs",-es,-es
Q75980622,Abraham Coates Fitzgibbon,Fitzgibbon,2,Q75895980,Philip,M,"AMBIGUOUS: form, father differs",prefix fitz,prefix fitz
Q75896024,Abraham Coates,Coates,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q75896030,Elizabeth Greatrakes,Greatrakes,1,Q75896031,,F,"AMBIGUOUS: form, father unnamed",-es,-es
Q76010881,John Rhind,Rhind,1,,,M,no father recorded,,
Q75896057,Arthur Fitzgibbon,Fitzgibbon,1,Q75896056,Arthur,M,"AMBIGUOUS: form, father differs",prefix fitz,prefix fitz
Q75896074,Kathleen (?),(?),1,,,F,no father recorded,,
Q75896070,Elsie Elizabeth Montillon,Elizabeth,1,Q75896069,,F,father has no label,,
Q75896070,Elsie Elizabeth Montillon,Montillon,2,Q75896069,,F,father has no label,,
Q75896071,John Ord Fitzgibbon,Ord,1,Q75896068,John,M,not patronymic,,
Q75896071,John Ord Fitzgibbon,Fitzgibbon,2,Q75896068,John,M,"AMBIGUOUS: form, father differs",prefix fitz,prefix fitz
Q75635263,Edwin James Wenyon,James,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q75635263,Edwin James Wenyon,Wenyon,2,,,M,no father recorded,,
Q75635277,Ernest Schargel,Schargel,1,,,M,no father recorded,,
Q75635414,Arthur AlecBanes-Walker,AlecBanes-Walker,1,Q75635413,,M,father has no label,,
Q75635281,Basil Kennedy,Kennedy,1,,,M,no father recorded,,
Q75635418,Roma Rome,Rome,1,Q75635417,,F,father has no label,,
Q75635287,Eveline Mary Mardon,Mary,1,Q75635288,,F,father has no label,,
Q75635287,Eveline Mary Mardon,Mardon,2,Q75635288,,F,father has no label,,
Q75635420,Sarah Gay Lisette Cotter,Gay,1,Q75635384,Sir,F,not patronymic,,
Q75635420,Sarah Gay Lisette Cotter,Lisette,2,Q75635384,Sir,F,not patronymic,,
Q75635420,Sarah Gay Lisette Cotter,Cotter,3,Q75635384,Sir,F,not patronymic,,
Q75635423,Charnisay Ann Cotter,Ann,1,Q75635384,Sir,F,not patronymic,,
Q75635423,Charnisay Ann Cotter,Cotter,2,Q75635384,Sir,F,not patronymic,,
Q75635392,G. R. Wilson,R.,1,,,M,no father recorded,,
Q75635392,G. R. Wilson,Wilson,2,,,M,"patronymic (inferred, no father recorded)",-son,-son
Q75634503,George Potter,Potter,1,,,M,no father recorded,,
Q75625531,Charles John Bunting,John,1,Q75625536,,M,father has no label,,
Q75625531,Charles John Bunting,Bunting,2,Q75625536,,M,father has no label,,
Q75625532,Kate Allison,Allison,1,Q75625534,,F,"AMBIGUOUS: form, father unnamed",-son,-son
Q63159085,Frank Addy Hopkinson,Addy,1,,,M,no father recorded,,
Q63159085,Frank Addy Hopkinson,Hopkinson,2,,,M,"patronymic (inferred, no father recorded)",-son,-son
Q75821806,Margaret Filgate,Filgate,1,Q75821808,William,F,not patronymic,,
Q75821831,Francis Booth,Booth,1,Q75821824,Joseph,M,not patronymic,,
Q75821887,Margaret Booth,Booth,1,Q75821824,Joseph,F,not patronymic,,
Q75821844,Frances Diana Booth,Diana,1,Q75821824,Joseph,F,not patronymic,,
Q75821844,Frances Diana Booth,Booth,2,Q75821824,Joseph,F,not patronymic,,
Q75821857,Joseph Booth,Booth,1,Q75821824,Joseph,M,not patronymic,,
Q75821858,Burton Booth,Booth,1,Q75821824,Joseph,M,not patronymic,,
Q75821888,Elizabeth Booth,Booth,1,Q75821824,Joseph,F,not patronymic,,
Q75821890,Jane Brabazon Booth,Brabazon,1,Q75821824,Joseph,F,not patronymic,,
Q75821890,Jane Brabazon Booth,Booth,2,Q75821824,Joseph,F,not patronymic,,
Q75821893,Laura Ellen Booth,Ellen,1,Q75821824,Joseph,F,not patronymic,,
Q75821893,Laura Ellen Booth,Booth,2,Q75821824,Joseph,F,not patronymic,,
Q75821827,Francis Elliott,Elliott,1,,,M,no father recorded,,
Q75821829,Diana Frances Obry Tandy,Frances,1,,,F,"patronymic (inferred, no father recorded)",-es,-es
Q75821829,Diana Frances Obry Tandy,Obry,2,,,F,no father recorded,,
Q75821829,Diana Frances Obry Tandy,Tandy,3,,,F,no father recorded,,
Q75821873,George Llewhellin Richardson,Llewhellin,1,Q75821875,,M,father has no label,,
Q75821873,George Llewhellin Richardson,Richardson,2,Q75821875,,M,"AMBIGUOUS: form, father unnamed",-son,-son
Q75821879,Walter Campbell Vanrenan,Campbell,1,Q75821881,,M,father has no label,,
Q75821879,Walter Campbell Vanrenan,Vanrenan,2,Q75821881,,M,father has no label,,
Q75997363,Lewis MacLellan,MacLellan,1,,,M,"patronymic (inferred, no father recorded)",prefix mac,prefix mac
Q75865084,James Lester Deane,Lester,1,,,M,no father recorded,,
Q75865084,James Lester Deane,Deane,2,,,M,no father recorded,,
Q75933175,Ethel Lilla Hannon,Lilla,1,Q75933176,,F,father has no label,,
Q75933175,Ethel Lilla Hannon,Hannon,2,Q75933176,,F,father has no label,,
Q75826786,Charles Bernard Mathews,Bernard,1,,,M,no father recorded,,
Q75826786,Charles Bernard Mathews,Mathews,2,,,M,no father recorded,,
Q76117638,Beatrice Thompson,Thompson,1,Q76117637,,F,"AMBIGUOUS: form, father unnamed",-son,-son
Q76117641,Norman Nuttall,Nuttall,1,Q76117636,James,M,not patronymic,,
Q76117649,George Geoffrey Nuttall,Geoffrey,1,Q76117636,James,M,not patronymic,,
Q76117649,George Geoffrey Nuttall,Nuttall,2,Q76117636,James,M,not patronymic,,
Q76117657,Horatio Douglas Russell,Douglas,1,,,M,no father recorded,,
Q76117657,Horatio Douglas Russell,Russell,2,,,M,no father recorded,,
Q137755687,Catherine Ober,Ober,1,,,F,no father recorded,,
Q137755835,Elizabeth Hambleton,Hambleton,1,Q137755659,John,F,not patronymic,,
Q90688261,"Edward Eyre Hunt, Jr",Eyre,1,Q76210358,Edward,M,not patronymic,,
Q90688261,"Edward Eyre Hunt, Jr","Hunt,",2,Q76210358,Edward,M,not patronymic,,
Q90688261,"Edward Eyre Hunt, Jr",Jr,3,Q76210358,Edward,M,not patronymic,,
Q6913842,Morris P. Glushien,P.,1,,,M,no father recorded,,
Q6913842,Morris P. Glushien,Glushien,2,,,M,no father recorded,,
Q76351422,Pierce D. Smith,D.,1,,,M,no father recorded,,
Q76351422,Pierce D. Smith,Smith,2,,,M,no father recorded,,
Q76210373,William Turner,Turner,1,,,M,no father recorded,,
Q76174130,Ralph Lindsay Fisher,Lindsay,1,,,M,no father recorded,,
Q76174130,Ralph Lindsay Fisher,Fisher,2,,,M,no father recorded,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,Antonio,1,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,Narciso,2,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,de,3,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,Santa,4,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,Maria,5,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,y,6,Q110328637,,M,father has no label,,
Q110328633,Don Antonio Narciso de Santa Maria y Florent,Florent,7,Q110328637,,M,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,Maria,1,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,Isabel,2,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,de,3,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,Baeza-Torquemada,4,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,y,5,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,Montes,6,Q110328643,,F,"AMBIGUOUS: form, father unnamed",-es,-es
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,de,7,Q110328643,,F,father has no label,,
Q110328642,Doña Maria Isabel de Baeza-Torquemada y Montes de Oca,Oca,8,Q110328643,,F,father has no label,,
Q75491027,Juan José Darroch y Moreno,José,1,Q75491023,Joseph,M,not patronymic,,
Q75491027,Juan José Darroch y Moreno,Darroch,2,Q75491023,Joseph,M,not patronymic,,
Q75491027,Juan José Darroch y Moreno,y,3,Q75491023,Joseph,M,not patronymic,,
Q75491027,Juan José Darroch y Moreno,Moreno,4,Q75491023,Joseph,M,not patronymic,,
Q75491028,María Ignacia Arlegui Lanz,Ignacia,1,Q110328688,,F,father has no label,,
Q75491028,María Ignacia Arlegui Lanz,Arlegui,2,Q110328688,,F,father has no label,,
Q75491028,María Ignacia Arlegui Lanz,Lanz,3,Q110328688,,F,father has no label,,
Q76002488,Carmen Daroch y Solar,Daroch,1,Q75491030,Juan,F,not patronymic,,
Q76002488,Carmen Daroch y Solar,y,2,Q75491030,Juan,F,not patronymic,,
Q76002488,Carmen Daroch y Solar,Solar,3,Q75491030,Juan,F,not patronymic,,
Q110328693,Juan Antonio del Solar y Echeverria,Antonio,1,Q110328694,,M,father has no label,,
Q110328693,Juan Antonio del Solar y Echeverria,del,2,Q110328694,,M,father has no label,,
Q110328693,Juan Antonio del Solar y Echeverria,Solar,3,Q110328694,,M,father has no label,,
Q110328693,Juan Antonio del Solar y Echeverria,y,4,Q110328694,,M,father has no label,,
Q110328693,Juan Antonio del Solar y Echeverria,Echeverria,5,Q110328694,,M,father has no label,,
Q110328725,Francisco de La Arriagada y Mandiola,de,1,,,M,no father recorded,,
Q110328725,Francisco de La Arriagada y Mandiola,La,2,,,M,no father recorded,,
Q110328725,Francisco de La Arriagada y Mandiola,Arriagada,3,,,M,no father recorded,,
Q110328725,Francisco de La Arriagada y Mandiola,y,4,,,M,no father recorded,,
Q110328725,Francisco de La Arriagada y Mandiola,Mandiola,5,,,M,no father recorded,,
Q110328727,Agustina de Vergara,de,1,,,F,no father recorded,,
Q110328727,Agustina de Vergara,Vergara,2,,,F,no father recorded,,
Q121691217,Joseph Glossop,Glossop,1,,,M,no father recorded,,
Q67501937,Elisabeth Féron,Féron,1,,,F,no father recorded,,
Q4821432,Augustus Glossop Harris,Glossop,1,Q121691217,Joseph,M,not patronymic,,
Q4821432,Augustus Glossop Harris,Harris,2,Q121691217,Joseph,M,not patronymic,,
Q100506086,Émilie Lablache,Lablache,1,Q121691217,Joseph,F,not patronymic,,
Q75362461,Georges Matray,Matray,1,,,M,no father recorded,,
Q75362471,Stephanie Laigre de Grainville,Laigre,1,Q75362468,,F,father has no label,,
Q75362471,Stephanie Laigre de Grainville,de,2,Q75362468,,F,father has no label,,
Q75362471,Stephanie Laigre de Grainville,Grainville,3,Q75362468,,F,father has no label,,
Q75362473,Laetitia Laigre de Grainville,Laigre,1,Q75362468,,F,father has no label,,
Q75362473,Laetitia Laigre de Grainville,de,2,Q75362468,,F,father has no label,,
Q75362473,Laetitia Laigre de Grainville,Grainville,3,Q75362468,,F,father has no label,,
Q75438269,Benjamin Limoges,Limoges,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q75438271,Marie-Louise Trudel,Trudel,1,,,F,no father recorded,,
Q137600152,DeVer Howard Warner,Howard,1,Q137600112,Ira,M,not patronymic,,
Q137600152,DeVer Howard Warner,Warner,2,Q137600112,Ira,M,not patronymic,,
Q7611709,Stevan Dohanos,Dohanos,1,,,M,no father recorded,,
Q76205152,Katherine Hughes,Hughes,1,Q76333946,,F,"AMBIGUOUS: form, father unnamed",-es,-es
Q76205156,Mary Louise Talbot,Louise,1,Q76205150,Brian,F,not patronymic,,
Q76205156,Mary Louise Talbot,Talbot,2,Q76205150,Brian,F,not patronymic,,
Q76333947,Andrew Hervey Talbot,Hervey,1,Q76205150,Brian,M,not patronymic,,
Q76333947,Andrew Hervey Talbot,Talbot,2,Q76205150,Brian,M,not patronymic,,
Q76334023,Howard Douglas Talbot,Douglas,1,Q76205150,Brian,M,not patronymic,,
Q76334023,Howard Douglas Talbot,Talbot,2,Q76205150,Brian,M,not patronymic,,
Q76334060,Wendy Robina Roylance Talbot,Robina,1,Q76205150,Brian,F,not patronymic,,
Q76334060,Wendy Robina Roylance Talbot,Roylance,2,Q76205150,Brian,F,not patronymic,,
Q76334060,Wendy Robina Roylance Talbot,Talbot,3,Q76205150,Brian,F,not patronymic,,
Q76335363,Eve Mary Mundell,Mary,1,,,F,no father recorded,,
Q76335363,Eve Mary Mundell,Mundell,2,,,F,no father recorded,,
Q76335365,George William J. Aitchison,William,1,Q76251746,John,M,not patronymic,,
Q76335365,George William J. Aitchison,J.,2,Q76251746,John,M,not patronymic,,
Q76335365,George William J. Aitchison,Aitchison,3,Q76251746,John,M,"AMBIGUOUS: form, father differs",-son,-son
Q76335367,Camilla Allan Aitchison,Allan,1,Q76251746,John,F,not patronymic,,
Q76335367,Camilla Allan Aitchison,Aitchison,2,Q76251746,John,F,"AMBIGUOUS: form, father differs",-son,-son
Q76365867,Edward Frederick Corbett-Winder,Frederick,1,Q76204955,Edward,M,not patronymic,,
Q76365867,Edward Frederick Corbett-Winder,Corbett-Winder,2,Q76204955,Edward,M,not patronymic,,
Q76365868,Robert Uvedale Corbett-Winder,Uvedale,1,Q76204955,Edward,M,not patronymic,,
Q76365868,Robert Uvedale Corbett-Winder,Corbett-Winder,2,Q76204955,Edward,M,not patronymic,,
Q76204972,James Lakeman Dyson,Lakeman,1,,,M,no father recorded,,
Q76204972,James Lakeman Dyson,Dyson,2,,,M,"patronymic (inferred, no father recorded)",-son,-son
Q76204978,Titus Mills,Mills,1,,,M,no father recorded,,
Q76204979,Malachi Mills,Mills,1,Q76204978,Titus,M,not patronymic,,
Q76204983,Nicholas Jones,Jones,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q76204984,Charlie Parsley Jones,Parsley,1,Q76204983,Nicholas,M,not patronymic,,
Q76204984,Charlie Parsley Jones,Jones,2,Q76204983,Nicholas,M,"AMBIGUOUS: form, father differs",-es,-es
Q76204959,John Smythies Mangles,Smythies,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q76204959,John Smythies Mangles,Mangles,2,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q76204967,Mark Geoffrey Culling,Geoffrey,1,,,M,no father recorded,,
Q76204967,Mark Geoffrey Culling,Culling,2,,,M,no father recorded,,
Q76204962,Daniel Gavin Bagley,Gavin,1,,,M,no father recorded,,
Q76204962,Daniel Gavin Bagley,Bagley,2,,,M,no father recorded,,
Q76204964,Jonah Leven Bagley,Leven,1,Q76204962,Daniel,M,not patronymic,,
Q76204964,Jonah Leven Bagley,Bagley,2,Q76204962,Daniel,M,not patronymic,,
Q76204940,Achilles George,George,1,,,M,no father recorded,,
Q75987656,W. Deans Forster,Deans,1,,,M,no father recorded,,
Q75987656,W. Deans Forster,Forster,2,,,M,no father recorded,,
Q76097428,John Hall,Hall,1,,,M,no father recorded,,
Q76262531,Jean Isobel Nesbitt,Isobel,1,Q76262532,,F,father has no label,,
Q76262531,Jean Isobel Nesbitt,Nesbitt,2,Q76262532,,F,father has no label,,
Q2209638,Sabine Brandi,Brandi,1,Q62626,Albrecht,F,not patronymic,,
Q75397803,Alexander Ogilvy,Ogilvy,1,,,M,no father recorded,,
Q75397806,Margaret Gallion,Gallion,1,,,F,no father recorded,,
Q75242129,Stephen Morrison,Morrison,1,,,M,"patronymic (inferred, no father recorded)",-son,-son
Q75242141,Michael Noel Varvill,Noel,1,,,M,no father recorded,,
Q75242141,Michael Noel Varvill,Varvill,2,,,M,no father recorded,,
Q75407485,Henry Howard Cook,Howard,1,,,M,no father recorded,,
Q75407485,Henry Howard Cook,Cook,2,,,M,no father recorded,,
Q75407487,James Richard Cook,Richard,1,Q75407485,Henry,M,not patronymic,,
Q75407487,James Richard Cook,Cook,2,Q75407485,Henry,M,not patronymic,,
Q75407489,Alexander Howard Cook,Howard,1,Q75407485,Henry,M,not patronymic,,
Q75407489,Alexander Howard Cook,Cook,2,Q75407485,Henry,M,not patronymic,,
Q75653750,Travers Robert Blackley,Robert,1,Q75653734,Travers,M,not patronymic,,
Q75653750,Travers Robert Blackley,Blackley,2,Q75653734,Travers,M,not patronymic,,
Q75653791,Ethel Cuming,Cuming,1,Q75653792,,F,father has no label,,
Q75653667,Virginia Blackley,Blackley,1,Q12804367,Travers,F,not patronymic,,
Q75653659,Alexander Blackley,Blackley,1,Q12804367,Travers,M,not patronymic,,
Q75653660,Jasper Blackley,Blackley,1,Q12804367,Travers,M,not patronymic,,
Q75653661,William Blackley,Blackley,1,Q12804367,Travers,M,not patronymic,,
Q75653649,Alexander Deane,Deane,1,Q75653650,,M,father has no label,,
Q140638297,Alanson Charles Brown,Charles,1,Q140637724,Alanson,M,"AMBIGUOUS: form, father differs",-es,-es
Q140638297,Alanson Charles Brown,Brown,2,Q140637724,Alanson,M,not patronymic,,
Q140646442,Vesta Ryerson Brown,Ryerson,1,Q140637724,Alanson,F,"AMBIGUOUS: form, father differs",-son,-son
Q140646442,Vesta Ryerson Brown,Brown,2,Q140637724,Alanson,F,not patronymic,,
Q140646450,George Warren Brown,Warren,1,,,M,no father recorded,,
Q140646450,George Warren Brown,Brown,2,,,M,no father recorded,,
Q140637952,Fielding Turner Childress,Turner,1,,,M,no father recorded,,
Q140637952,Fielding Turner Childress,Childress,2,,,M,no father recorded,,
Q76249922,Joseph Keatinge,Keatinge,1,,,M,no father recorded,,
Q76249931,H. Waring,Waring,1,,,M,no father recorded,,
Q75895809,Harold Beverly Chase,Beverly,1,,,M,no father recorded,,
Q75895809,Harold Beverly Chase,Chase,2,,,M,no father recorded,,
Q76228025,Günther Henning,Henning,1,,,M,no father recorded,,
Q76228029,Michael Preussner,Preussner,1,,,M,no father recorded,,
Q76228046,Albrecht Hallwachs,Hallwachs,1,,,M,no father recorded,,
Q55674327,Karl Franz Koehler,Franz,1,Q55853764,,M,father has no label,,
Q55674327,Karl Franz Koehler,Koehler,2,Q55853764,,M,father has no label,,
Q94854811,Hugo Koehler,Koehler,1,,,M,no father recorded,,
Q23931282,Leonard Wild,Wild,1,,,M,no father recorded,,
Q7329968,Richard Wild,Wild,1,Q23931282,Leonard,M,not patronymic,,
Q139581708,Johannes Henricus Herwig,Henricus,1,Q139581773,,M,father has no label,,
Q139581708,Johannes Henricus Herwig,Herwig,2,Q139581773,,M,father has no label,,
Q139581709,Anna Margarete Fischer,Margarete,1,Q139581780,,F,father has no label,,
Q139581709,Anna Margarete Fischer,Fischer,2,Q139581780,,F,father has no label,,
Q76215821,Edwin Arthur Beazley,Arthur,1,Q76215796,James,M,not patronymic,,
Q76215821,Edwin Arthur Beazley,Beazley,2,Q76215796,James,M,not patronymic,,
Q76032085,Mary Loveday Rawlings,Loveday,1,Q4893575,,F,father has no label,,
Q76032085,Mary Loveday Rawlings,Rawlings,2,Q4893575,,F,father has no label,,
Q76344395,Richard Beazley,Beazley,1,Q5931280,Hugh,M,not patronymic,,
Q76344396,Boo Beazley,Beazley,1,Q5931280,Hugh,F,not patronymic,,
Q76344397,Charles Beazley,Beazley,1,Q5931280,Hugh,M,not patronymic,,
Q75573608,S. Murray,Murray,1,,,M,no father recorded,,
Q8019187,"William Tatem, 1st Baron Glanely","Tatem,",1,Q75443489,Thomas,M,not patronymic,,
Q8019187,"William Tatem, 1st Baron Glanely",1st,2,Q75443489,Thomas,M,not patronymic,,
Q8019187,"William Tatem, 1st Baron Glanely",Baron,3,Q75443489,Thomas,M,not patronymic,,
Q8019187,"William Tatem, 1st Baron Glanely",Glanely,4,Q75443489,Thomas,M,not patronymic,,
Q76351795,Christopher Westmacott,Westmacott,1,,,M,no father recorded,,
Q76260772,Sophia S. L. H. Lintott,S.,1,Q76260774,,F,father has no label,,
Q76260772,Sophia S. L. H. Lintott,L.,2,Q76260774,,F,father has no label,,
Q76260772,Sophia S. L. H. Lintott,H.,3,Q76260774,,F,father has no label,,
Q76260772,Sophia S. L. H. Lintott,Lintott,4,Q76260774,,F,father has no label,,
Q76260775,Cressida Lucy Florence More-Molyneux,Lucy,1,Q76260771,Alexander,F,not patronymic,,
Q76260775,Cressida Lucy Florence More-Molyneux,Florence,2,Q76260771,Alexander,F,not patronymic,,
Q76260775,Cressida Lucy Florence More-Molyneux,More-Molyneux,3,Q76260771,Alexander,F,not patronymic,,
Q76260776,Rocco More-Molyneux,More-Molyneux,1,Q76260771,Alexander,M,not patronymic,,
Q76260777,Aubrey More-Molyneux,More-Molyneux,1,Q76260771,Alexander,F,not patronymic,,
Q76351800,Zsa Zsa Hermione Christobel More-Molyneux,Zsa,1,Q76260771,Alexander,F,not patronymic,,
Q76351800,Zsa Zsa Hermione Christobel More-Molyneux,Hermione,2,Q76260771,Alexander,F,not patronymic,,
Q76351800,Zsa Zsa Hermione Christobel More-Molyneux,Christobel,3,Q76260771,Alexander,F,not patronymic,,
Q76351800,Zsa Zsa Hermione Christobel More-Molyneux,More-Molyneux,4,Q76260771,Alexander,F,not patronymic,,
Q131430599,Anne Pettiward,Pettiward,1,,,F,no father recorded,,
Q131430601,"Edward Layton, of Sunbury","Layton,",1,,,M,no father recorded,,
Q131430601,"Edward Layton, of Sunbury",of,2,,,M,no father recorded,,
Q131430601,"Edward Layton, of Sunbury",Sunbury,3,,,M,no father recorded,,
Q76045055,David Charles Yarwood,Charles,1,,,M,"patronymic (inferred, no father recorded)",-es,-es
Q76045055,David Charles Yarwood,Yarwood,2,,,M,no father recorded,,
Q76002891,Jerome Dawson,Dawson,1,,,M,"patronymic (inferred, no father recorded)",-son,-son
Q76258715,Patience Mary Williamson,Mary,1,Q76258713,Charles,F,not patronymic,,
Q76258715,Patience Mary Williamson,Williamson,2,Q76258713,Charles,F,"AMBIGUOUS: form, father differs",-son,-son
Q76297822,M. R. Braithwaite,R.,1,,,M,no father recorded,,
Q76297822,M. R. Braithwaite,Braithwaite,2,,,M,no father recorded,,
Q76297829,Sir Robert Mark,Robert,1,,,M,no father recorded,,
Q76297829,Sir Robert Mark,Mark,2,,,M,no father recorded,,
Q75870513,Peter Kenneth Devitt,Kenneth,1,Q75870494,Howson,M,not patronymic,,
Q75870513,Peter Kenneth Devitt,Devitt,2,Q75870494,Howson,M,not patronymic,,
Q75870518,Jeremy Peter Devitt,Peter,1,Q75870513,Peter,M,not patronymic,,
Q75870518,Jeremy Peter Devitt,Devitt,2,Q75870513,Peter,M,not patronymic,,
Q75870532,Lorna Stephanie Devitt,Stephanie,1,Q75870513,Peter,F,not patronymic,,
