missing,steps,destination,destination_geni_id,destination_missing,action,path,first_missing,first_missing_geni_id
12,30,Paolo Vinassa de Regny,6000000140996692829,1,export,isolate-geni-paolo-vinassa-de-regny-1871-1957.tsv,Elizabeth Lester,6000000004594492806
12,47,Pedro Calmon,6000000019821504114,1,export,isolate-geni-pedro-calmon-moniz-de-bittencourt-1902-1985-rio-de-jane.tsv,Joana Teixeira,6000000013887015516
12,23,Pekka Gustaf Grenquist,6000000011093637021,1,export,isolate-geni-pekka-gustaf-grenquist-1907-1981.tsv,Artur Lidman,6000000082482425565
12,44,Pope John XVII,6000000184169690842,1,export,isolate-geni-pope-john-sicco-954-1003-rome.tsv,"Otto Orseolo, 27th doge of Venice",6000000003495384814
12,26,Prof. Dr. August Maria Leopold Karl Knoll,6000000146318796826,1,export,isolate-geni-prof-dr-august-maria-leopold-karl-knoll-1900-1963-wien.tsv,Tonder Peter Bordsen,6000000010707740459
12,71,Richard Schrock,6000000014438228368,0,export,isolate-geni-richard-royce-schrock-1945-d.tsv,"Johann Ludwig I, Graf von Nassau-Saarbrücken",6000000006727820421
12,51,Rolf Rainer Otto Robert Westman,6000000009665002660,1,export,isolate-geni-rolf-rainer-otto-robert-westman-1927-2017-bo.tsv,Bror Rainer Gustaf Westman,6000000001256015811
12,30,Fu Ssu-nien 傅斯年,6000000012827520384,1,export,isolate-geni-ssu-nien-fu-1896-1950.tsv,Maria Magdalena Eurenia,6000000005817625016
12,22,Timo Veijola,6000000031824797548,1,export,isolate-geni-timo-veijola-1947-2005-hyvink.tsv,Emelia Westerberg,6000000009155942630
12,42,Tove Bærheim,6000000009894903775,1,export,isolate-geni-tove-b-rheim-holtermann-1917-2005-stavanger.tsv,Ole Torstensen Brandt,6000000023742761845
12,29,Univ.-Prof. Dr. phil. et med. Walther Poppelreuter,6000000039148821945,1,export,isolate-geni-univ-prof-dr-phil-et-med-walther-poppelreuter-1886-1939.tsv,"Wilhelm II II von Hessen-Kassel, Kurfürst zu Hessen",6000000000051817104
11,69,Adam Gustav Afzelius,6000000022820413342,0,export,isolate-geni-adam-gustav-afzelius-1905-1957-cori.tsv,Tore Pedersson Lillie,6000000003296089921
11,21,Akeo Watanabe,6000000056836304898,1,export,isolate-geni-akeo-watanabe-1919-1990-tokyo.tsv,Aasmund Tellefsen Rosseland,6000000017125797738
11,52,Alfred Elis Törnebohm,6000000189814354825,1,export,isolate-geni-alfred-elis-t-rnebohm-1838-d.tsv,Carl Gyllenskepp,6000000020504551210
11,24,Alfred Horn,6000000004187651020,1,export,isolate-geni-alfred-horn-1918-2001-pacific-palisades.tsv,Reier Reierson Herigstad,6000000005606953015
11,55,Axel Anders Theodor Hägerström,6000000017430262394,1,export,isolate-geni-axel-anders-theodor-h-gerstr-m-1868-1939.tsv,Johan Alexander von Johnstone,6000000026269194410
11,26,Bernhard Maria Schmitz,6000000001875558003,1,export,isolate-geni-bernhard-maria-schmitz-1819-1881.tsv,Joachim Henrich Ellerhusen,6000000026903232879
11,25,Björn Olof Roos,6000000011157772349,1,export,isolate-geni-bj-rn-olof-roos-1937-2010-lund.tsv,Fritz Malmström,6000000085556349165
11,34,Bror Marklund,6000000020676480769,1,export,isolate-geni-bror-hjalmar-marklund-1907-1977.tsv,Daniel Anton Marklund,6000000030168592833
11,65,Carl Adam Wilhelm Schalén,6000000042155450074,1,export,isolate-geni-carl-adam-wilhelm-schal-n-1902-1993-lund.tsv,Elisabet Valtinsson,6000000006917506672
11,76,Dr. Markku Ilari Linnoila,6000000032758429626,1,export,isolate-geni-dr-markku-ilari-linnoila-1947-1998-bethesda.tsv,Katarina Margareta Stierncreutz,6000000021603623092
11,26,Emma Watson,6000000046134296028,1,export,isolate-geni-emma-charlotte-duerre-watson.tsv,John Hufford,6000000011646680218
11,27,Feliks Szlachtowski,6000000136783038551,1,export,isolate-geni-feliks-szlachtowski-1820-1896.tsv,Zygmunt Antoni Franciszek von Michalow,6000000026258749108
11,26,Gottlob Friedrich Lipps,6000000073125297058,1,export,isolate-geni-gottlob-friedrich-lipps-1865-1931-z-rich.tsv,Elisabeth Wilhelmine Wexelsen,6000000000774227768
11,25,Harry Austryn Wolfson,6000000213334348871,1,export,isolate-geni-harry-austryn-wolfson-1887-1974-cambridge.tsv,Kari Olsdatter Torper,6000000050692171996
11,21,Isak Björklund,6000000031616467030,1,export,isolate-geni-isak-bj-rklund-1686-1740-turku-bo.tsv,Maria Ericsdotter,6000000008753802614
11,62,Ivar Christian Hallström,6000000019644306540,1,export,isolate-geni-ivar-christian-hallstr-m-1826-1901.tsv,Karin Andersdotter Hassel,6000000002804564364
11,21,Johan Wolter Arnberg,6000000182913870868,1,export,isolate-geni-johan-wolter-arnberg-1832-1900.tsv,Anna Emilia Larsson,6000000031247836416
11,24,"Johann Christian von Klein, Dr.",6000000125874088975,1,export,isolate-geni-johann-christian-von-klein-klein-dr-1659-1732.tsv,Charlotte Marie Arnold,6000000042269847003
11,25,Johann Vollrath Christian Heinrich Bünger,6000000091812725828,1,export,isolate-geni-johann-vollrath-christian-heinrich-b-nger-1782-1842.tsv,Sara Oline Olsdatter,6000000091812428917
11,64,Kalle Putkisto,6000000078925988112,1,export,isolate-geni-kalle-putkisto-1919-1997-helsinki.tsv,Gunilla Kristina Elfvengren,6000000002444210554
11,38,Lars Larsen Hertervig,6000000104759702112,1,export,isolate-geni-lars-larsen-hertervig-1830-1902-stavanger.tsv,Fenrik og sersjant ved det Bergenske infanteriregiment) Carl Philip Adamsen de Wahl,6000000051013034013
11,60,Laurids Engelstoft,6000000025259188072,1,export,isolate-geni-laurids-engelstoft-1774-1851.tsv,Anna Jensdatter Kalf,6000000009006058142
11,26,Masami Kuni,6000000034121728391,1,export,isolate-geni-masami-ehara-kuni-pak-yeong-in-1908-2007-los-angeles.tsv,Niklas Olsson,6000000011221633679
11,52,Moses Coit Tyler,6000000047427831893,1,export,isolate-geni-moses-coit-tyler-1835-1900-ithaca.tsv,Alianore Knight,6000000009056819504
11,62,Nicolai Edinger Sørensen Balle,5254038781340071824,1,export,isolate-geni-nicolai-edinger-s-rensen-balle-1744-1816-k-benhavn-vor-.tsv,Anne Andersdatter Kjærulf,6000000010730379695
11,40,Ole Arnt Buer Rosholdt,6000000001499154903,1,export,isolate-geni-ole-arnt-buer-rosholdt-1940-2018.tsv,Iver Kristensen Grislingås,6000000013331014414
11,49,prof. dr. Arie Querido,6000000015248558209,1,export,isolate-geni-prof-dr-arie-querido-1901-1983-pont-de-barret.tsv,André Belmonte,6000000011768632979
11,45,Prof. Dr. med. August Ludolph Brauer,6000000024488925033,1,export,isolate-geni-prof-dr-med-august-ludolph-brauer-1865-1951-munich.tsv,"Georg von Oldenburg, Count",6000000006727781511
11,46,Raphael (Jan) Høegh-Krohn,6000000011503175034,1,export,isolate-geni-raphael-jan-h-egh-krohn-krohn-1938-1988-b-rum.tsv,Methe Marie Melchiorsdatter Schjelderup,6000000006443767962
11,52,Thure Hastrup,6000000059766262845,1,export,isolate-geni-thure-magnus-julius-hastrup-1903-1989.tsv,Bengt Lagercrantz,6000000007071641276
11,42,Unto Uuno Uotila,6000000037581589491,1,export,isolate-geni-unto-uuno-uotila-1910-1977-helsinki.tsv,Karin Jonsdotter,6000000008833101165
10,40,Axel Nicolai Herlofson,5058899407670133169,1,export,isolate-geni-axel-nicolai-herlofson-1916-2004-stockholm.tsv,Axel Herlofson,6000000004292344380
10,23,Bengt I. Samuelsson,6000000040203264557,1,export,isolate-geni-bengt-ingemar-samuelsson-1934-2024-stockholm.tsv,Nils Nilsson,6000000081974088208
10,24,Carl Gustaf Lundquist,6000000025988216933,1,export,isolate-geni-carl-gustaf-lundquist-1841-1917-uppsala.tsv,Sofia Albertina Charlotta Augusta Eleonora Catharina af Petersons,6000000013375817359
10,20,Carl Gustav Sparre Olsen,6000000015762582857,1,export,isolate-geni-carl-gustav-sparre-olsen-1903-1984-lillehammer.tsv,Synnøve Haukvik Hoel,315003375090005630
10,24,Dr. Phil. Otto Antscherl,6000000017353079059,1,export,isolate-geni-dr-phil-otto-antscherl-1895-1942.tsv,Pauline Stastny / Kohoutek,6000000025630816867
10,45,Einar Gram Borch,6000000020254004837,1,export,isolate-geni-einar-gram-borch-1870-1952-jevnaker.tsv,Kari Olsdatter Balke,6000000020235091169
10,21,Erik Björkman,6000000021026235857,1,export,isolate-geni-erik-bj-rkman-1872-1919-uppsala.tsv,Johan Salomonsson,6000000011508315232
10,50,Erkki Voipio,6000000020500645225,1,export,isolate-geni-erkki-voipio-1917-1995-helsinki.tsv,Daniel Larsson Åkerman,6000000016076845140
10,20,Hubert Utterback,6000000041217429865,1,export,isolate-geni-hubert-utterback-1880-1942.tsv,Johan Arnt Hanson Dysjaland,6000000008871956250
10,47,Johan Hjalmar Théel,6000000174348348858,1,export,isolate-geni-johan-hjalmar-th-el-tj-der-1848-1937-stockholm.tsv,Margareta Gustafva Ennes,6000000019197251718
10,40,Pope Benedict XVl,6000000010888345851,0,export,isolate-geni-joseph-aloisius-ratzinger-1927-2022-vatican-city.tsv,George Franklin Bills,6000000000252931854
10,70,Julius Severin Wilhelm Lassen,6000000023952656979,1,export,isolate-geni-julius-severin-wilhelm-lassen-1847-1923-k-benhavn.tsv,Bagge Lauritsen Suur,369367553650013351
10,46,Kaj Gabriel Franck,6000000003913667969,1,export,isolate-geni-kaj-gabriel-franck-1911-1989.tsv,Märta Kafle,6000000013227274075
10,24,Karl August Julius Schmitt-Walter,6000000076985626326,1,export,isolate-geni-karl-august-julius-schmitt-walter-1900-1985-kreuth.tsv,Zenon Stanislaw De Grzymala Przybyszewski,6000000003308649938
10,26,Leon Detela,6000000114756258161,1,export,isolate-geni-leon-detela-1902-1982.tsv,Ivana Popek,6000000061155995862
10,25,Pope Urban VIII,6000000002375565387,0,export,isolate-geni-maffeo-vincenzo-barberini-1568-1644-rome.tsv,Hans Kristian Kristensen Gåsland,6000000026812417591
10,49,Marinus Jan Granpré Molière,6000000054107766878,1,export,isolate-geni-marinus-jan-granpr-moli-re-1883-1972-wassenaar.tsv,Agatha Cornelisdr. de Vager,6000000019924892621
10,21,Nils Olof Holst,6000000016645354674,1,export,isolate-geni-nils-olof-holst-1846-1918.tsv,Gabriel Jonsson,6000000003349271215
10,20,Paavo Ilmari Ravila,6000000044240464914,1,export,isolate-geni-paavo-ilmari-ravila-1902-1974-helsinki.tsv,Haldor Jensenius Angel Sivertsen,6000000021355464829
10,20,Per Nils Staffan Bergsten,6000000177211840836,1,export,isolate-geni-per-nils-staffan-bergsten-1932-2022.tsv,Fritz Gustav Sterner,4806200479270042334
10,26,Prof. Dr. phil. Karl Wilhelm Baedeker,6000000104523744806,1,export,isolate-geni-prof-dr-phil-karl-wilhelm-baedeker-1877-1914.tsv,Edel Dorothea von Scheel,6000000001504493761
10,33,Formgivare Stig Lindberg,6000000043810712869,1,export,isolate-geni-professor-stig-fredrik-sigurd-lindberg-1916-1982-circeo.tsv,Anna Jonsson Lundmark,5207059158680127266
10,27,Àrni Magnússon,6000000013153614307,1,export,isolate-geni-rni-magn-sson-1663-1730-k-benhavn.tsv,Guðrún Torfadóttir,6000000021277832072
10,33,Sigurd Some Sørensen,6000000002067072170,0,export,isolate-geni-sigurd-some-s-rensen-1889-1984-copenhagen.tsv,Claus Olsen Some,6000000018851780623
10,30,孫承諤,6000000220958151877,1,export,isolate-geni-sun-cheng-e-1911-1991.tsv,Zacharias Wikström,6000000011377853780
10,22,Yrjö Henrik Kajava (Nylund),6000000007184836787,1,export,isolate-geni-yrj-henrik-kajava-nylund-1884-1929-helsinki.tsv,Jens Anton Holmboe,6000000012685987687
9,25,AUGUST Friedrich Karl von Brandis,6000000123450888831,1,export,isolate-geni-august-friedrich-karl-von-brandis-1859-d.tsv,Ludvig Vilhelm August Douglas,6000000008806093343
9,23,Børge  Christian  Jessen,360492189060012549,1,export,isolate-geni-b-rge-christian-jessen-1907-1993.tsv,August Herman af Petersens,6000000013375853221
9,33,Bjørn Hervik Nilsen,6000000012284316316,1,export,isolate-geni-bj-rn-hervik-nilsen-1937-1966-stavanger.tsv,Martha Osmundsdtr. Sandvik,6000000011503602559
9,19,Brostrup Marius Müller,6000000010375411929,1,export,isolate-geni-brostrup-marius-m-ller-1910-1991.tsv,Lars O. Flage,6000000194786811827
9,22,Carl Gustaf Thomson,6000000178955260842,1,export,isolate-geni-carl-gustaf-thomson-1824-1899-lund.tsv,Per Johan Emil Malmsten,6000000006829408821
9,54,Carl Olof Hanner,6000000042992733943,1,export,isolate-geni-carl-olof-hanner-1922-2015.tsv,Justina Schultin,6000000026434701324
9,48,Carsten Høeg,6000000011558107669,1,export,isolate-geni-carsten-h-eg-1896-1961.tsv,Louise Amalie Bloch,6000000011557129572
9,22,Dr Olav Gjærevoll,6000000225776538839,1,export,isolate-geni-dr-olav-gj-revoll-1916-1994-trondheim.tsv,Trond Isakson Flatebø,6000000193477663821
9,50,Eugène Napoleon Theodor Fredrik Gustaf Tigerstedt,6000000031820552726,1,export,isolate-geni-eug-ne-napoleon-theodor-fredrik-gustaf-tigerstedt-1907-.tsv,Adolf Wilhelm Tigerstedt,6000000007512044856
9,21,Gösta Valdemar Edman,6000000123032991857,1,export,isolate-geni-g-sta-valdemar-edman-gr-berg-1887-1972-stockholm.tsv,Anna Charlotta Bursell,6000000002452992211
9,25,G. E. Moore,6000000001249504219,1,export,isolate-geni-george-edward-moore-1873-1958-cambridge.tsv,Louise Philippine Monod,4649799
9,28,Gerhard Otto Heinzelmann,6000000009275550955,1,export,isolate-geni-gerhard-otto-heinzelmann-1884-1951-halle-saale.tsv,Karen Jensdatter,340853027020010818
9,43,Gunnar Henrik Julius Ekman,6000000007732495237,1,export,isolate-geni-gunnar-henrik-julius-ekman-1883-1937-helsinki.tsv,Carolina Sofia Elisabeth Nykopp,6000000008268498570
9,21,Gun Widmark (Gustafsson),6000000016498484905,1,export,isolate-geni-gunvor-margareta-widmark-gustafsson-1920-2013-uppsala.tsv,Karin Larsdotter,6000000000581158881
9,69,Holger Christian Begtrup,4880315912470047216,0,export,isolate-geni-holger-christian-begtrup-1859-1937-hiller-d-sogn-hiller.tsv,Elisabeth Pleskow,6000000010030493271
9,46,Hugh MacMaster Kingery,6000000008370497662,1,export,isolate-geni-hugh-macmaster-kingery-1860-1927-denver.tsv,Catherine (Dewar) Alexander,6000000145515626135
9,23,Jakob Lennart Simons,6000000139388764299,1,export,isolate-geni-jakob-lennart-simons-1905-1986-helsingfors.tsv,Karin Jonasdotter,6000000008627636357
9,22,Katri Elina Rehtijärvi,6000000054754245892,1,export,isolate-geni-katri-elina-rehtij-rvi-tynni-1912-1987-helsinki.tsv,Martin Alfred Pedersen Sundnes,6000000011079358102
9,27,Léopold Sancke,6000000040845899938,1,export,isolate-geni-l-opold-sancke-1815-1874-brussels.tsv,Baronne Marie-Thérèse Wittouck,6000000058026823823
9,20,Martin Hans Christian Knudsen,6000000010173695472,1,export,isolate-geni-martin-hans-christian-knudsen-1871-1949-gentofte.tsv,Tobias Pedersen (Persson) Salmelid,6000000005738495673
9,25,Michael Heltzer,6000000000692661835,1,export,isolate-geni-michael-heltzer-1928-2010-haifa.tsv,Johannes Olsson,6000000009090501514
9,25,Nicola Jaeger,6000000043290200075,1,export,isolate-geni-nicola-jaeger-1903-1975-milan.tsv,Margrethe Holst-Knudsen Westenholz,6000000020034213019
9,57,Niels Henning Ørsted Pedersen,6000000003805665380,1,export,isolate-geni-niels-henning-rsted-pedersen-1946-2005-ish-j.tsv,"Christian Rantzau, Lensgreve, Ridder af Elefantordenen",6000000006097966476
9,47,Nils G. Wollin,6000000097137888972,1,export,isolate-geni-nils-gustaf-axelsson-wollin-axelsson-1892-1964.tsv,Axel Gustaf Nordenskjöld,6000000024930112308
9,21,Olavi Valdemar Peräsalo,6000000078280348682,1,export,isolate-geni-olavi-valdemar-per-salo-1913-1966-helsinki.tsv,Magdalena Andersdotter,6000000097687818838
9,19,Ole Myrvoll,6000000065291349821,1,export,isolate-geni-ole-myrvoll-jensen-1911-1988-bergen.tsv,Peder Knudsson Dale,6000000006934922105
9,24,Philip Fischel Vineberg,6000000109741693968,1,export,isolate-geni-philip-fischel-vineberg-1914-1987-montreal-east.tsv,<private> Stang,6000000030520349786
9,46,"Reginald Aubrey Fessenden (""The Father of Radio Broadcasting"")",6000000013059926666,1,export,isolate-geni-reginald-aubrey-fessenden-1866-1932.tsv,"James Atkinson, I",6000000033382539205
9,76,Pope Gregory X,6000000003897531253,1,export,isolate-geni-teobaldo-visconti-c-1210-1276-arezzo.tsv,Alasie de Genève,6000000008498184002
9,21,Thoralf Albert Skolem,6000000186276535130,1,export,isolate-geni-thoralf-albert-skolem-1887-1963.tsv,Anna Sofie Bergersen,6000000037289081437
9,21,Thore Michelsen,6000000011357531284,1,export,isolate-geni-thore-michelsen-1888-d.tsv,<private> Håland,6000000003504266538
9,18,Thorleif Oscar Karlsen,6000000009745740734,1,export,isolate-geni-thorleif-oscar-karlsen-1909-2010.tsv,Halfdan (Holton) Egeberg Solid,6000000052889257889
9,30,Vincenzo Francesco Maria Errante,6000000143231712883,1,export,isolate-geni-vincenzo-francesco-maria-errante-1890-1951.tsv,principessa Teodolinda Carlotta Florestina Maria Giuseppina Guglielmina Altieri,5220247975170113734
9,61,Willem Joseph Andries geb. Diehl Jonckbloet,6000000069988689021,1,export,isolate-geni-willem-joseph-andries-geb-diehl-jonckbloet-1817-1885-wi.tsv,Duchess Sofie Elisabeth von Braunschweig-Lüneburg,6000000004139583444
8,26,Виктор Николаевич Бернадский,6000000038251598792,1,export,isolate-geni-1890-1959.tsv,Margareta Nilsdotter,6000000095734849248
8,49,Arthur Isak Edvard Långfors,6000000004183977279,1,export,isolate-geni-arthur-isak-edvard-l-ngfors-1881-1959-helsinki.tsv,Katarina Kristina Mattsdotter Tackou,6000000010860935566
8,53,Arvi Antti Ilmari Sovijärvi,6000000180614517834,1,export,isolate-geni-arvi-antti-ilmari-sovij-rvi-1912-1995-helsinki.tsv,N.N. von Nandelstadh,5546205916350079760
8,23,Bengt Holmström,6000000048131669306,1,export,isolate-geni-bengt-robert-holmstr-m.tsv,Hedvig Bjuhr,6000000006346224409
8,24,Bernard Mordecai Abraham,6000000046869458870,1,export,isolate-geni-bernard-mordecai-abraham-1918-1999.tsv,Berta Mae Delman,6000000001865922386
8,38,Boyine Wilhelmine Martens,6000000028258191964,1,export,isolate-geni-boyine-wilhelmine-martens-1842-d.tsv,Margrete Jensdatter Hjelm Berg,6000000082050052895
8,24,Dr. Franz August Otto Pieper,6000000069597808829,1,export,isolate-geni-dr-franz-august-otto-pieper-1852-1931.tsv,Ruth Mary Hansen,6000000011723790552
8,22,Dr. Jacob Mendes da Costa,6000000019418600064,1,export,isolate-geni-dr-jacob-mendes-da-costa-1833-1900-villanova.tsv,Sophie Magdalene Worm,6000000014980060826
8,23,Dr. Ulrich Helmuth Adolf Friedemann,6000000040535638865,1,export,isolate-geni-dr-ulrich-helmuth-adolf-friedemann-1877-1949-new-york.tsv,Karen Hansdatter Grimnes,6000000201213461833
8,21,Erik Albrecht Sparre Andersen,6000000125982458050,1,export,isolate-geni-erik-albrecht-sparre-andersen-1919-2003.tsv,Jens Vilhelm Hedemann Jensen,6000000027834749836
8,21,Erik Wilhelm Hulthén,6000000103707895007,1,export,isolate-geni-erik-wilhelm-hulth-n-1891-d.tsv,Lilly Marie Reime,6000000009581283770
8,47,Geir Lundestad,6000000000988688239,0,export,isolate-geni-geir-lundestad-1945-2023-oslo.tsv,Målfrid Kvammen,5303355803010088423
8,39,Georg Backer,6000000100167913878,1,export,isolate-geni-georg-backer-berg-1900-1980.tsv,Jan Larsen Backer,6000000010983764629
8,21,Gottfried Feder,6000000045486688897,1,export,isolate-geni-gottfried-feder-1883-1941-murnau-am-staffelsee.tsv,Liv Dommersnes,6000000026353975568
8,20,Gunn-Rita Dahle Flesjå,6000000033181822821,1,export,isolate-geni-gunn-rita-dahle-flesj.tsv,Anna Larsdatter Husabø,6000000033183449875
8,27,Hanns Hopp,6000000008816674509,1,export,isolate-geni-hanns-hopp-1890-1981.tsv,Peter Wilhelm Arnold von Behse,6000000004043741382
8,43,Hans Emil Andersin,6000000001865773260,1,export,isolate-geni-hans-emil-andersin-1930-2010-helsinki.tsv,Petter Leonard Hedman,6000000012331522809
8,74,Pope John XXII,6000000012734378784,1,export,isolate-geni-jacques-du-ze-1244-1334-avignon.tsv,"Arnaud-Amanieu VII d'Albret, vicomte de Tartas",6000000003827512899
8,60,Jacques (Jacob) Ludvig Borelius,6000000024207739062,1,export,isolate-geni-jacques-jacob-ludvig-borelius-1859-1921-lund.tsv,Peter Samuel Lönegren,6000000015804229094
8,62,Johan Gottschalk Wallerius,6000000060737985956,0,export,isolate-geni-johan-gottschalk-wallerius-1709-1785-uppsala.tsv,Nils Nilsson Bratt,6000000002919170392
8,52,Jouko Matti Virkkunen,6000000084659844821,1,export,isolate-geni-jouko-matti-virkkunen-1933-2011-espoo.tsv,Jacob Gustaf Hoffrén,6000000011048559394
8,22,Leo Reino Sario,6000000022149778278,1,export,isolate-geni-leo-reino-sario-1916-2009-santa-monica.tsv,Terttu Mirjami Kauramäki,6000000003155406266
8,32,Martin Nag,6000000008529438853,1,export,isolate-geni-martin-nag-1927-2015-oslo.tsv,Siri Samuelsdatter Nag,6000000008127631376
8,81,Pope Gregory XIV,6000000015350503911,1,export,isolate-geni-niccol-sfondrati-1535-1591-rome.tsv,Maddalena Trivulzio,6000000026101993038
8,22,Paavo Väyrynen,6000000015271224733,1,export,isolate-geni-paavo-matti-v-yrynen.tsv,Maria Wiksten,6000000201990774837
8,21,Peter Moltesen,6000000014912086026,1,export,isolate-geni-peter-moltesen-1914-2009-birker-d.tsv,"Ingrid ""Motte"" Lie",6000000007980321257
8,34,Ståle Eskeland,6000000010760898759,1,export,isolate-geni-st-le-eskeland-1943-2015-oslo.tsv,Anne Olsdatter Johannesen,6000000011564434916
8,19,Svein Geirfinn Molaug,6000000023968655929,1,export,isolate-geni-svein-geirfinn-molaug-1914-2007-oslo.tsv,Åse Gruda Skard,6000000009897684623
8,50,Thure Georg Sahama,6000000028190860420,1,export,isolate-geni-thure-georg-sahama-sahlstein-1910-1983-helsinki.tsv,Margaretha Catharina Eriksdotter Tigerstedt,6000000007512031613
8,33,Pope Nicholas V,6000000022945004064,1,export,isolate-geni-tommaso-parentuccelli-lucando-1397-1455-rome.tsv,Jacques Michaeli de Cray,6000000006127651815
8,23,Wilhelm Wiget,6000000174091841233,1,export,isolate-geni-wilhelm-wiget-1885-1934-herisau.tsv,Cav. Capt. Adam Toll,6000000130457097853
8,45,"William Christopher Zeise, 1836 Ridder af Dannebrog",6000000075700805895,1,export,isolate-geni-william-christopher-zeise-1836-ridder-af-dannebrog-1789.tsv,Hanne Ellene Hammond,6000000078495607060
8,37,William Coucheron-Aamot,365488721470011625,1,export,isolate-geni-william-coucheron-aamot-1868-1948.tsv,Andreas Christensen Aamodt,365173521440013963
7,18,8 Mathea Marie Tønder,6000000031097643683,1,export,isolate-geni-8-mathea-marie-t-nder-jacobsen-1875-1912.tsv,Inga Carlson,6000000187612373856
7,23,Alfred Heinrich Bucherer,6000000030611671005,1,export,isolate-geni-alfred-heinrich-bucherer-1863-1927-bonn.tsv,"Erich Christian Carl Edelberg Paulsen, til Gandrupgård",6000000008021269916
7,42,Annik (Anna Constance) Saxegaard,6000000018604811298,1,export,isolate-geni-annik-anna-constance-saxegaard-1905-1990-kiel.tsv,Severine Cathrine Reimers,6000000009083384547
7,46,Antonio Parreiras,6000000041360141789,1,export,isolate-geni-ant-nio-diogo-da-silva-parreiras-1860-1937-niter-i.tsv,Isabel Rangel de Macedo,6000000021888354940
7,43,Anton Johnson Fridrichsen,6000000019519065150,1,export,isolate-geni-anton-johnson-fridrichsen-1888-1953-uppsala.tsv,Tycho Diderich Isaksen Castberg,6000000012689064662
7,54,Arkkiatri Nils Oker-Blom,6000000009043901113,0,export,isolate-geni-archiatre-nils-christian-edgar-oker-blom-1919-1995-hels.tsv,Christina Elisabet Arvidsdotter Hammarskjöld,6000000011028093314
7,20,Biskop Bengt Sundkler,6000000170028735922,1,export,isolate-geni-bengt-sundkler-1909-1995-uppsala.tsv,Karl Abel Bergmark,6000000019736625121
7,18,Berit Ås,283298045420002957,1,export,isolate-geni-berit-s-skarpaas-1928-2024.tsv,Anne Therese Tandberg,6000000012498376723
7,30,Bjørn Bue,6000000005609095725,1,export,isolate-geni-bj-rn-bue-1934-1997-stavanger.tsv,Jonas Larsen Bue,6000000038271047959
7,41,Eilif Dahl,6000000019932176283,0,export,isolate-geni-eilif-dahl-1916-1993-oslo-s-akershus.tsv,Susanne Christensdotter Paus,6000000003362694630
7,31,Erik Anders Allardt,6000000026800312845,1,export,isolate-geni-erik-anders-allardt-1925-2020-helsingfors.tsv,Magdalena Johansdotter Flachsenius,6000000000631616520
7,41,Haaken Hasberg Gran,6000000000133689969,1,export,isolate-geni-haaken-hasberg-gran-1870-1955-oslo.tsv,Ole Tidemann Arentz,6000000005440875788
7,19,Hans Christian Tscherning,6000000025221850026,1,export,isolate-geni-hans-christian-tscherning-1804-1886-k-benhavn-skt-matth.tsv,Maren Kristine Larsdatter,6000000026512516451
7,17,Harald Wiig,6000000118648470833,1,export,isolate-geni-harald-wiig-vik-1891-1959.tsv,Anna Bore Dahl,6000000003492031255
7,55,Herman Valentiner,6000000010877248442,0,export,isolate-geni-herman-valentiner-1850-1913-frederiksberg.tsv,Reinhard von Eppingen,6000000022451204920
7,28,Hisaakira Kanō,4304466546090010445,0,export,isolate-geni-hisaakira-kan-1886-1963.tsv,Hilma Alexandra Lundström,6000000001678388210
7,19,Hugo Bernhard Rahamägi,6000000006205826134,1,export,isolate-geni-hugo-bernhard-raham-gi-1886-1941.tsv,Alexandra Eugenia (Asta Eugenie),6000000009598748165
7,28,"Jens Gregoriussen Riber, 1480",6000000013776824344,1,export,isolate-geni-jens-gregoriussen-riber-1480-1480-1571.tsv,Gertrud Hansdatter,6000000106970516848
7,31,Josip Plemelj,6000000000311762065,1,export,isolate-geni-josip-plemelj-1873-1967-ljubljana.tsv,Valentin Plemelj,6000000056100863101
7,33,Doctor Ammondt,6000000079290762052,1,export,isolate-geni-jukka-ammondt-riiluoto.tsv,Hedvig Juliana Ammondt,6000000000037736960
7,41,Kristian Birkeland,6000000007770373058,0,export,isolate-geni-kristian-olaf-bernard-birkeland-1867-1917.tsv,Tøri Karlsdatter Hove/ Vestre Ersdal,6000000005427303177
7,22,"Martin Welker, US Congress",6000000020761326856,1,export,isolate-geni-martin-welker-1819-1902-wooster.tsv,"Richard T. Thurman, Jr.",6000000011083185276
7,56,Mary Noble Garretson,6000000032372405206,1,export,isolate-geni-mary-noble-garretson-welleck-1896-1971.tsv,Mary Warburton,6000000006444123340
7,20,Gregor Paulsson,6000000007293685319,1,export,isolate-geni-nils-bernhard-gregor-paulsson-1889-1977.tsv,Gottfrid Leonard Nygren,6000000019762072134
7,70,Olaf Pedersen,6000000004104829407,0,export,isolate-geni-olaf-pedersen-1920-1997.tsv,Peder Madsen Nielsen Haahr,5015735835370048379
7,52,Oluf Eilert Løseth,6000000005391699089,1,export,isolate-geni-oluf-eilert-l-seth-1858-1945.tsv,Gjert Ingebrigtson Røv,6000000001555141893
7,35,Paul Stohrer,6000000123493262823,0,export,isolate-geni-paul-stohrer-1909-1975-stuttgart.tsv,Torger Aadnesen Kyllingstad,6000000003095084150
7,23,Per-Ingvar Brånemark,6000000015458018093,1,export,isolate-geni-per-ingvar-br-nemark-1929-2014.tsv,Augusta Hansdotter,6000000012185146533
