token,usage,bearers,script,marker,existing_qid,action
Horowitz,family,187,Latin,,Q21482757,link
孔,family,187,Han,,,create
Marte,given,187,Latin,,Q18536473,link
Loeb,given,185,Latin,,,create
or,given,185,Latin,,,create
Montoya,family,185,Latin,,Q21491674,link
משה,given,185,Hebrew,,,create
Auguste,given,185,Latin,,,"AMBIGUOUS - review, do not create"
Hansson,given,184,Latin,,,create
Tan,family,184,Latin,,,"AMBIGUOUS - review, do not create"
Sultan,given,184,Latin,,Q3503530,link
H.,given,184,Latin,,Q19803505,link
Sancho,given,184,Latin,,Q16600098,link
M,given,184,Latin,,,create
Margrete,given,184,Latin,,Q17457544,link
Katzenellenbogen,family,183,Latin,,Q56244536,link
Guajardo,family,183,Latin,,,create
Abdul,given,183,Latin,,Q19818134,link
Agnès,given,183,Latin,,Q19689363,link
Micaela,given,183,Latin,,Q1926667,link
Aguirre,family,182,Latin,,Q21487490,link
Porter,family,182,Latin,,Q2105042,link
Marthe,given,182,Latin,,Q1483687,link
White,family,181,Latin,,Q1215200,link
Emily,given,181,Latin,,Q18121477,link
Washington,family,180,Latin,,Q2550388,link
daughter,given,180,Latin,,,create
Nathaniel,given,180,Latin,,Q18978396,link
Grude,family,179,Latin,,Q30229687,link
Emanuel,given,179,Latin,,Q4926740,link
Zalman,given,179,Latin,,Q8065524,link
R',given,179,Latin,,,create
Astrid,given,179,Latin,,Q167755,link
Isabeau,given,179,Latin,,Q21113005,link
Jakobsdatter,patronymic,179,Latin,sdatter,,create
Martín,given,178,Latin,,Q18002404,link
Ki,given,178,Latin,,,create
Eriksdotter,patronymic,178,Latin,sdotter,Q130232912,link
Olsdotter,patronymic,178,Latin,sdotter,,create
滎陽開封,family,178,Han,,,create
Barbosa,family,177,Latin,,Q16496800,link
Kahn,family,177,Latin,,Q1260948,link
Al-Abbasi,family,177,Latin,,Q65096431,link
Domingo,given,177,Latin,,Q18199014,link
Nelson,family,176,Latin,,Q2782528,link
Nava,family,176,Latin,,Q16825579,link
Harald,given,176,Latin,,Q1530266,link
Bille,family,175,Latin,,,create
Øksnevad,family,175,Latin,,Q30583490,link
안,family,175,Hangul,,,create
Søren,given,175,Latin,,Q7174941,link
王,family,174,Han,,,create
Noronha,family,174,Latin,,Q10337432,link
Uribe,family,174,Latin,,Q21448841,link
Françoise,given,174,Latin,,Q1244936,link
the,given,173,Latin,,,create
Portugal,family,173,Latin,,Q14110517,link
Vivar,family,173,Latin,,,create
محمد,given,173,Arabic,,,create
윤,family,172,Hangul,,,create
Susan,given,172,Latin,,Q14936243,link
왕,family,172,Hangul,,,create
Dorothy,given,172,Latin,,Q2647244,link
Edmund,given,172,Latin,,Q401836,link
Ester,given,172,Latin,,Q18638241,link
Kristi,given,172,Latin,,Q6437836,link
Rudolf,given,172,Latin,,Q18028491,link
Cantu,family,171,Latin,,,create
Quintus,given,171,Latin,,Q17983455,link
Rakel,given,171,Latin,,Q16424094,link
Ayala,family,170,Latin,,Q15540752,link
יצחק,given,170,Hebrew,,,create
Juliana,given,170,Latin,,Q12900572,link
Margarida,given,170,Latin,,Q6760116,link
mac,given,169,Latin,,Q19901550,link
Lourenço,given,169,Latin,,Q21285781,link
Peláez,family,169,Latin,,Q21493893,link
Carlos,given,169,Latin,,Q364753,link
Christensdatter,patronymic,169,Latin,sdatter,,create
Edel,given,169,Latin,,Q3480258,link
Sissel,given,169,Latin,,Q4571101,link
Sanchez,family,168,Latin,,Q28912875,link
Lion,given,168,Latin,,Q21056446,link
Gertrude,given,168,Latin,,Q509729,link
Paula,given,168,Latin,,Q847179,link
/,family,167,none,,,create
Marx,given,167,Latin,,Q1906157,link
Perez,family,167,Latin,,Q37453974,link
Hauge,family,167,Latin,,Q21487823,link
