token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
salmundsen	patronymic	20		create	salmundsen				Salmund		salmundsdatter	salmund	Q9043
salmundson	patronymic	13		create	salmundson				Salmund		salmundsdatter	salmund	
salmundsson	patronymic	1		create	salmundsson				Salmund		salmundsdatter	salmund	Q9027
salomonis	patronymic	1		create	salomonis			Salomon(2)					
salomonsdatter	patronymic	47		create	salomonsdatter	Q20001035	Salamon	Salomon(2)			salomonsson	salomon	Q9043
salomonsdotter	patronymic	120		create	salomonsdotter			Salomon(2)	Salemon		salomonsson	salomons	Q9027
salomonsen	patronymic	45		create	salomonsen	Q20001035	Salamon	Salomon(2)	Salemon		salomonsdotter	salomon	Q9043
salomonson	patronymic	33		create	salomonson			Salomon(2)			salomonsdotter	salomon	
salomonsson	patronymic	109		create	salomonsson			Salomon(2)			salomonsdotter	salomon	Q9027
salvesdatter	patronymic	117		create	salvesdatter	Q12717110	Salve				salvesen	salve	Q9043
salvesdotter	patronymic	4		create	salvesdotter	Q12717110	Salve				salvesen	salves	Q9027
salvesen	patronymic	125		create	salvesen	Q12717110 Q135214035	Salve Solve				salvesdatter	salve	Q9043
salveson	patronymic	18		create	salveson	Q12717110	Salve				salvesdatter	salve	
salvesson	patronymic	2		create	salvesson	Q12717110	Salve				salvesdatter	salve	Q9027
samsonsdatter	matronymic	1		create	samsonsdatter				Samsons		samsonsson	samson	Q9043
samsonsson	matronymic	1		create	samsonsson				Samsons		samsonsdatter	samson	Q9027
samueli	patronymic	3		create	samueli	Q629347	Samuel						
samuelis	patronymic	22		create	samuelis	Q629347	Samuel						
samuelsdatter	patronymic	187		create	samuelsdatter	Q629347	Samuel				samuelsson	samuel	Q9043
samuelsdotter	patronymic	364		create	samuelsdotter	Q629347 Q18760965	Samuel Samuli				samuelsson	samuels	Q9027
samuelsen	patronymic	153		create	samuelsen	Q629347	Samuel				samuelsdotter	samuel	Q9043
samuelson	patronymic	108		create	samuelson	Q629347	Samuel				samuelsdotter	samuel	
samuelsson	patronymic	339		create	samuelsson	Q629347 Q18760965	Samuel Samuli				samuelsdotter	samuel	Q9027
sandersdatter	patronymic	3		create	sandersdatter	Q18670563	Sander				sandersen	sander	Q9043
sandersen	patronymic	5		create	sandersen	Q18670563	Sander				sandersdatter	sander	Q9043
sanderson	patronymic	2		create	sanderson	Q12001983 Q53673045	Sondre Sanders				sandersdatter	sander	
sanfridsson	patronymic	2		create	sanfridsson	Q31897074	Sanfrid					sanfrid	Q9027
saraksen	patronymic	1		create	saraksen				Sarak			sarak	Q9043
satyaki	patronymic	1		create	satyaki				Satyaka				
saulesson	patronymic	1		create	saulesson				Saules			saule	Q9027
saxesdatter	patronymic	3		create	saxesdatter	Q111036449	Saxe				saxesen	saxe	Q9043
saxesen	patronymic	3		create	saxesen	Q111036449	Saxe				saxesdatter	saxe	Q9043
scemenonis	patronymic	1		create	scemenonis				Scemeno				
schachsdatter	patronymic	7		create	schachsdatter				Schach		schachsen	schach	Q9043
schachsen	patronymic	2		create	schachsen				Schach Skakk		schachsdatter	schach	Q9043
schacksdatter	patronymic	2		create	schacksdatter	Q111072808	Schack		Skakk		schacksen	schack	Q9043
schacksen	patronymic	2		create	schacksen				Schacko Schach		schacksdatter	schack	Q9043
schaksdatter	patronymic	1		create	schaksdatter	Q111072808	Schack				schaksen	schak	Q9043
schaksen	patronymic	1		create	schaksen				Skakk		schaksdatter	schak	Q9043
sebastiansdatter	patronymic	3		create	sebastiansdatter	Q4844560	Sebastian				sebastiansen	sebastian	Q9043
sebastiansdotter	patronymic	1		create	sebastiansdotter	Q4844560	Sebastian				sebastiansen	sebastians	Q9027
sebastiansen	patronymic	4		create	sebastiansen	Q4844560	Sebastian				sebastiansdatter	sebastian	Q9043
sebastiansson	patronymic	1		create	sebastiansson	Q4844560	Sebastian				sebastiansdatter	sebastian	Q9027
sebjørnsdatter	patronymic	1		create	sebjørnsdatter				Sebjørn		sebjørnsson	sebjørn	Q9043
sebjørnsdotter	patronymic	4		create	sebjørnsdotter			Sæbjørn(2)	Sebjørn		sebjørnsson	sebjørns	Q9027
sebjørnsen	patronymic	1		create	sebjørnsen			Sæbjørn(2)			sebjørnsdotter	sebjørn	Q9043
sebjørnsson	patronymic	3		create	sebjørnsson			Sæbjørn(2)	Sebjørn		sebjørnsdotter	sebjørn	Q9027
sefaniasson	patronymic	1		create	sefaniasson	Q111795346	Sefanias					sefania	Q9027
segebodsdatter	patronymic	2		create	segebodsdatter				Segebod		segebodsen	segebod	Q9043
segebodsen	patronymic	1		create	segebodsen				Segebod		segebodsdatter	segebod	Q9043
segersdotter	patronymic	8		create	segersdotter	Q21148470	Seger				segersson	segers	Q9027
segersson	patronymic	6		create	segersson	Q21148470	Seger				segersdotter	seger	Q9027
segolsdotter	patronymic	9		create	segolsdotter				Segol		segolsson	segols	Q9027
segolsson	patronymic	4		create	segolsson				Segol		segolsdotter	segol	Q9027
sejersdatter	patronymic	7		create	sejersdatter	Q113389622 Q112967126	Sejer Sejr				sejersen	sejer	Q9043
sejersen	patronymic	9		create	sejersen	Q113389622 Q112967126	Sejer Sejr				sejersdatter	sejer	Q9043
selimsson	patronymic	1		create	selimsson	Q16467628	Selim					selim	Q9027
semdatter	patronymic	1		create	semdatter	Q16601431	Sem				semson	sem	
semingsdatter	patronymic	4		create	semingsdatter				Seming		semingsen	seming	Q9043
semingsen	patronymic	6		create	semingsen				Seming		semingsdatter	seming	Q9043
semingson	patronymic	2		create	semingson				Seming		semingsdatter	seming	
semmingsdatter	patronymic	3		create	semmingsdatter				Semming Seming		semmingsen	semming	Q9043
semmingsen	patronymic	4		create	semmingsen				Seming		semmingsdatter	semming	Q9043
semsdatter	patronymic	6		create	semsdatter	Q16601431	Sem				semson	sem	Q9043
semsdotter	patronymic	2		create	semsdotter	Q16601431	Sem				semson	sems	Q9027
semsen	patronymic	1		create	semsen	Q16601431	Sem				semsdatter	sem	Q9043
semson	patronymic	8		create	semson	Q16601431	Sem				semsdatter	sem	
serkerson	patronymic	1		create	serkerson				Serker			serker	
serkersson	patronymic	1		create	serkersson				Serker			serker	Q9027
serkson	patronymic	2		create	serkson				Serk			serk	
servasson	patronymic	3		create	servasson	Q16281303	Servais					serva	Q9027
sethsdatter	patronymic	3		create	sethsdatter	Q3958283	Seth				sethsen	seth	Q9043
sethsen	patronymic	2		create	sethsen	Q3958283	Seth				sethsdatter	seth	Q9043
sevaldsdatter	patronymic	4		create	sevaldsdatter	Q112265349	Sevald				sevaldsen	sevald	Q9043
sevaldsen	patronymic	2		create	sevaldsen	Q112265349	Sevald				sevaldsdatter	sevald	Q9043
sevatsdatter	patronymic	8		create	sevatsdatter				Sjovat Sevat		sevatson	sevat	Q9043
sevatsen	patronymic	3		create	sevatsen				Sjovat		sevatsdatter	sevat	Q9043
sevatson	patronymic	4		create	sevatson				Sevat Sjovat		sevatsdatter	sevat	
sevatsson	patronymic	2		create	sevatsson				Sevat		sevatsdatter	sevat	Q9027
sevedsdotter	patronymic	11		create	sevedsdotter	Q10666797	Seved				sevedsson	seveds	Q9027
sevedsson	patronymic	12		create	sevedsson	Q10666797	Seved				sevedsdotter	seved	Q9027
severinsdatter	patronymic	20		create	severinsdatter	Q2800528	Severin				severinsen	severin	Q9043
severinsdotter	patronymic	3		create	severinsdotter	Q2800528	Severin				severinsen	severins	Q9027
severinsen	patronymic	18		create	severinsen	Q2800528	Severin				severinsdatter	severin	Q9043
severinson	patronymic	7		create	severinson	Q2800528	Severin				severinsdatter	severin	
severinsson	patronymic	5		create	severinsson	Q2800528	Severin				severinsdatter	severin	Q9027
sevidsdatter	patronymic	1		create	sevidsdatter				Sevid			sevid	Q9043
sibrandtsson	patronymic	1		create	sibrandtsson				Sibrandt			sibrandt	Q9027
siegfredsson	patronymic	1		create	siegfredsson	Q329006	Sigfrid					siegfred	Q9027
siegfriedsdatter	patronymic	1		create	siegfriedsdatter	Q3483397	Siegfried					siegfried	Q9043
sigarsson	patronymic	2		create	sigarsson				Sigarr			sigar	Q9027
sigbiørnsen	patronymic	2		create	sigbiørnsen				Sigbiørn			sigbiørn	Q9043
sigbiørnson	patronymic	1		create	sigbiørnson	Q3481852	Sigbjørn					sigbiørn	
sigbjørndotter	patronymic	1		create	sigbjørndotter	Q3481852	Sigbjørn				sigbjørnsen	sigbjørn	
sigbjørnsdatter	patronymic	47		create	sigbjørnsdatter	Q3481852	Sigbjørn				sigbjørnsen	sigbjørn	Q9043
sigbjørnsdotter	patronymic	3		create	sigbjørnsdotter	Q3481852	Sigbjørn				sigbjørnsen	sigbjørns	Q9027
sigbjørnsen	patronymic	45		create	sigbjørnsen	Q3481852	Sigbjørn		Sigbiørn		sigbjørnsdatter	sigbjørn	Q9043
sigbjørnson	patronymic	11		create	sigbjørnson	Q3481852	Sigbjørn		Sigbiørn		sigbjørnsdatter	sigbjørn	
sigbjørnsson	patronymic	3		create	sigbjørnsson	Q3481852	Sigbjørn				sigbjørnsdatter	sigbjørn	Q9027
sigersen	patronymic	1		create	sigersen	Q29550685	Siger					siger	Q9043
sigfredsdatter	patronymic	1		create	sigfredsdatter	Q329006	Sigfrid				sigfredsson	sigfred	Q9043
sigfredsdotter	patronymic	8		create	sigfredsdotter	Q329006 Q10829623	Sigfrid Sigfred				sigfredsson	sigfreds	Q9027
sigfredsen	patronymic	1		create	sigfredsen	Q329006	Sigfrid				sigfredsdotter	sigfred	Q9043
sigfredsson	patronymic	8		create	sigfredsson	Q10829623 Q329006	Sigfred Sigfrid				sigfredsdotter	sigfred	Q9027
sigfridi	patronymic	4		create	sigfridi	Q329006	Sigfrid						
sigfridsdatter	patronymic	3		create	sigfridsdatter	Q329006	Sigfrid				sigfridsson	sigfrid	Q9043
sigfridsdotter	patronymic	39		create	sigfridsdotter	Q329006 Q10829623	Sigfrid Sigfred		Sigfridus Sigefrid		sigfridsson	sigfrids	Q9027
sigfridsen	patronymic	3		create	sigfridsen	Q329006	Sigfrid				sigfridsdotter	sigfrid	Q9043
sigfridsson	patronymic	55		create	sigfridsson	Q329006 Q10829623	Sigfrid Sigfred				sigfridsdotter	sigfrid	Q9027
sigfriedsson	patronymic	1		create	sigfriedsson	Q329006	Sigfrid					sigfried	Q9027
sigfússon	patronymic	1		create	sigfússon	Q2284706	Sigfús					sigfú	Q9027
siggeirsdatter	patronymic	1		create	siggeirsdatter	Q16425405	Siggeir					siggeir	Q9043
siggesdotter	patronymic	17		create	siggesdotter	Q10667540	Sigge				siggesson	sigges	Q9027
siggeson	patronymic	1		create	siggeson	Q10667540	Sigge				siggesdotter	sigge	
siggesson	patronymic	17		create	siggesson	Q10667540	Sigge				siggesdotter	sigge	Q9027
siggurdsdatter	patronymic	1		create	siggurdsdatter	Q1315397	Sigurd					siggurd	Q9043
sighvatsson	patronymic	2		create	sighvatsson				Sighvat			sighvat	Q9027
sigismundiussen	patronymic	1		create	sigismundiussen				Sigismundius			sigismundius	Q9043
sigismundiusson	patronymic	1		create	sigismundiusson				Sigismundius			sigismundiu	Q9027
sigismundusson	patronymic	1		create	sigismundusson				Sigismundius			sigismundu	Q9027
sigmundarson	patronymic	10		create	sigmundarson	Q16425438	Sigmundur					sigmundar	
sigmundrsdotter	patronymic	1		create	sigmundrsdotter				Sigmundr			sigmundrs	Q9027
sigmundsdatter	patronymic	13		create	sigmundsdatter	Q905954	Sigmund				sigmundsen	sigmund	Q9043
sigmundsen	patronymic	13		create	sigmundsen	Q905954	Sigmund				sigmundsdatter	sigmund	Q9043
sigmundson	patronymic	6		create	sigmundson	Q905954	Sigmund				sigmundsdatter	sigmund	
sigmundsson	patronymic	3		create	sigmundsson	Q905954	Sigmund				sigmundsdatter	sigmund	Q9027
sigridsson	matronymic	1		create	sigridsson	Q634916	Sigrid					sigrid	Q9027
sigrlamasson	patronymic	1		create	sigrlamasson				Sigrlami			sigrlama	Q9027
sigtryggsdotter	patronymic	3		create	sigtryggsdotter				Sigtrygg		sigtryggsson	sigtryggs	Q9027
sigtryggson	patronymic	1		create	sigtryggson				Sigtrygg		sigtryggsdotter	sigtrygg	
sigtryggsson	patronymic	5		create	sigtryggsson				Sigtrygg		sigtryggsdotter	sigtrygg	Q9027
sigtrygsson	patronymic	1		create	sigtrygsson				Sigtrygg			sigtryg	Q9027
sigurdsdatter	patronymic	31	Q83873546	link	sigurdsdatter	Q1315397	Sigurd				sigurdsson	sigurd	Q9043
sigurdsdotter	patronymic	12		create	sigurdsdotter	Q1315397	Sigurd				sigurdsson	sigurds	Q9027
sigurdsen	patronymic	9		create	sigurdsen	Q1315397	Sigurd				sigurdsdatter	sigurd	Q9043
sigurdson	patronymic	35		create	sigurdson	Q1315397	Sigurd				sigurdsdatter	sigurd	
sigurdsson	patronymic	62	Q21506553	link	sigurdsson	Q1315397	Sigurd				sigurdsdatter	sigurd	Q9027
sigvaldsdatter	patronymic	13		create	sigvaldsdatter	Q7513345	Sigvald				sigvaldsen	sigvald	Q9043
sigvaldsen	patronymic	7		create	sigvaldsen	Q7513345	Sigvald				sigvaldsdatter	sigvald	Q9043
sigvaldson	patronymic	1		create	sigvaldson	Q7513345	Sigvald				sigvaldsdatter	sigvald	
sigvaldsson	patronymic	1		create	sigvaldsson	Q7513345	Sigvald				sigvaldsdatter	sigvald	Q9027
sigvarddatter	patronymic	1		create	sigvarddatter	Q7513347	Sigvard				sigvardsen	sigvard	
sigvardi	patronymic	1		create	sigvardi	Q7513347	Sigvard						
sigvardsdatter	patronymic	7		create	sigvardsdatter	Q7513347 Q30087900	Sigvard Sigvardt		Sigward		sigvardsen	sigvard	Q9043
sigvardsdotter	patronymic	2		create	sigvardsdotter	Q7513347	Sigvard				sigvardsen	sigvards	Q9027
sigvardsen	patronymic	7		create	sigvardsen	Q7513347 Q20664284 Q30087900	Sigvard Sigvart Sigvardt				sigvardsdatter	sigvard	Q9043
sigvardson	patronymic	6		create	sigvardson	Q7513347	Sigvard				sigvardsdatter	sigvard	
sigvardsson	patronymic	1		create	sigvardsson	Q7513347	Sigvard				sigvardsdatter	sigvard	Q9027
sigvarthsen	patronymic	1		create	sigvarthsen	Q7513347	Sigvard					sigvarth	Q9043
sigvartsdatter	patronymic	6		create	sigvartsdatter	Q20664284	Sigvart		Sigward		sigvartsen	sigvart	Q9043
sigvartsen	patronymic	4		create	sigvartsen	Q20664284	Sigvart				sigvartsdatter	sigvart	Q9043
sigvartson	patronymic	1		create	sigvartson	Q20664284	Sigvart				sigvartsdatter	sigvart	
sigvesdatter	patronymic	8		create	sigvesdatter	Q4573088	Sigve				sigvesen	sigve	Q9043
sigvesen	patronymic	13		create	sigvesen	Q4573088	Sigve				sigvesdatter	sigve	Q9043
sigveson	patronymic	2		create	sigveson	Q4573088	Sigve				sigvesdatter	sigve	
sigvesson	patronymic	8		create	sigvesson	Q4573088	Sigve				sigvesdatter	sigve	Q9027
sigvidsdotter	patronymic	1		create	sigvidsdotter				Sigvid		sigvidsson	sigvids	Q9027
sigvidsen	patronymic	1		create	sigvidsen				Sigvid		sigvidsdotter	sigvid	Q9043
sigvidsson	patronymic	2		create	sigvidsson				Sigvid		sigvidsdotter	sigvid	Q9027
sigwaldsen	patronymic	1		create	sigwaldsen	Q7513345	Sigvald					sigwald	Q9043
simensdatter	patronymic	103		create	simensdatter	Q2287061	Simen	Simon(4)			simensen	simen	Q9043
simensen	patronymic	134		create	simensen	Q2287061	Simen	Simon(4)			simensdatter	simen	Q9043
simenson	patronymic	2		create	simenson			Simon(4)			simensdatter	simen	
simeonsen	patronymic	1		create	simeonsen			Simon(4)				simeon	Q9043
simmensdatter	patronymic	2		create	simmensdatter	Q2287061	Simen				simmensen	simmen	Q9043
simmensen	patronymic	1		create	simmensen	Q2287061	Simen				simmensdatter	simmen	Q9043
simonis	patronymic	6		create	simonis			Simon(4)					
simonsdatter	patronymic	122		create	simonsdatter	Q2287061	Simen	Simon(4)			simonsson	simon	Q9043
simonsdotter	patronymic	313		create	simonsdotter			Simon(4)			simonsson	simons	Q9027
simonsen	patronymic	95	Q108320932	link	simonsen	Q2287061 Q1557	Simen Simeon	Simon(4)			simonsdotter	simon	Q9043
simonson	patronymic	52		create	simonson			Simon(4)			simonsdotter	simon	
simonsson	patronymic	301		create	simonsson			Simon(4)	Simuna		simonsdotter	simon	Q9027
simundsdatter	patronymic	2		create	simundsdatter				Simund		simundson	simund	Q9043
simundsdotter	patronymic	2		create	simundsdotter				Simund		simundson	simunds	Q9027
simundsen	patronymic	2		create	simundsen				Simund		simundsdatter	simund	Q9043
simundson	patronymic	3		create	simundson				Simund		simundsdatter	simund	
simzondotter	patronymic	1		create	simzondotter				Simzon			simzon	
simzonsdotter	patronymic	1		create	simzonsdotter				Simzon			simzons	Q9027
sithricsson	patronymic	1		create	sithricsson				Sitric			sithric	Q9027
sitricsson	patronymic	1		create	sitricsson				Sitric			sitric	Q9027
siurdsdotter	patronymic	1		create	siurdsdotter				Siurd			siurds	Q9027
siursdatter	patronymic	2		create	siursdatter	Q12000735	Sjur				siursen	siur	Q9043
siursdotter	patronymic	1		create	siursdotter	Q12000735	Sjur				siursen	siurs	Q9027
siursen	patronymic	2		create	siursen	Q12000735	Sjur				siursdatter	siur	Q9043
sivartsdatter	patronymic	1		create	sivartsdatter	Q19869345	Sivert					sivart	Q9043
siversdatter	patronymic	7		create	siversdatter	Q19391532 Q30087923	Syver Siver				siversen	siver	Q9043
siversen	patronymic	2		create	siversen	Q19391532 Q30087923	Syver Siver				siversdatter	siver	Q9043
siverson	patronymic	2		create	siverson	Q30087923 Q19391532	Siver Syver				siversdatter	siver	
sivertsdatter	patronymic	165		create	sivertsdatter	Q19869345 Q30643295	Sivert Syvert				sivertsen	sivert	Q9043
sivertsdotter	patronymic	9		create	sivertsdotter	Q19869345	Sivert				sivertsen	siverts	Q9027
sivertsen	patronymic	199		create	sivertsen	Q19869345 Q30643295	Sivert Syvert				sivertsdatter	sivert	Q9043
sivertson	patronymic	33		create	sivertson	Q19869345	Sivert				sivertsdatter	sivert	
sivertsson	patronymic	11		create	sivertsson	Q19869345	Sivert				sivertsdatter	sivert	Q9027
sixtensson	patronymic	1		create	sixtensson	Q2290921	Sixten					sixten	Q9027
sjaundesson	patronymic	2		create	sjaundesson				Sjaunde			sjaunde	Q9027
sjondeson	patronymic	1		create	sjondeson				Sjaunde			sjonde	
sjovatsdatter	patronymic	9		create	sjovatsdatter				Sjovat		sjovatson	sjovat	Q9043
sjovatsdotter	patronymic	2		create	sjovatsdotter				Sjovat		sjovatson	sjovats	Q9027
sjovatsen	patronymic	6		create	sjovatsen				Sjovat		sjovatsdatter	sjovat	Q9043
sjovatson	patronymic	13		create	sjovatson				Sjovat		sjovatsdatter	sjovat	
sjovatsson	patronymic	1		create	sjovatsson				Sjovat		sjovatsdatter	sjovat	Q9027
sjuersdatter	patronymic	1		create	sjuersdatter				Sjuer		sjuersen	sjuer	Q9043
sjuersen	patronymic	4		create	sjuersen	Q12000735	Sjur		Sjuer		sjuersdatter	sjuer	Q9043
sjuerson	patronymic	3		create	sjuerson	Q12000735	Sjur		Sjuer		sjuersdatter	sjuer	
sjugurdsdatter	patronymic	2		create	sjugurdsdatter	Q1315397	Sigurd				sjugurdsson	sjugurd	Q9043
sjugurdsson	patronymic	1		create	sjugurdsson	Q1315397	Sigurd				sjugurdsdatter	sjugurd	Q9027
sjulsdotter	patronymic	4		create	sjulsdotter	Q133827187	Sjul				sjulsson	sjuls	Q9027
sjulsson	patronymic	6		create	sjulsson	Q133827187	Sjul				sjulsdotter	sjul	Q9027
sjurdotter	patronymic	2		create	sjurdotter	Q12000735	Sjur				sjurson	sjur	
sjursdatter	patronymic	163		create	sjursdatter	Q12000735	Sjur		Siur Sjuer		sjurson	sjur	Q9043
sjursdotter	patronymic	68		create	sjursdotter	Q12000735	Sjur				sjurson	sjurs	Q9027
sjursen	patronymic	103		create	sjursen	Q12000735	Sjur				sjursdatter	sjur	Q9043
sjurson	patronymic	177		create	sjurson	Q12000735	Sjur				sjursdatter	sjur	
sjurssen	patronymic	2		create	sjurssen	Q12000735	Sjur				sjursdatter	sjurs	Q9043
sjursson	patronymic	61		create	sjursson	Q12000735	Sjur				sjursdatter	sjur	Q9027
sjøfarsdatter	patronymic	10		create	sjøfarsdatter				Sjøfar		sjøfarsen	sjøfar	Q9043
sjøfarsdotter	patronymic	1		create	sjøfarsdotter				Sjøfar		sjøfarsen	sjøfars	Q9027
sjøfarsen	patronymic	5		create	sjøfarsen				Sjøfar		sjøfarsdatter	sjøfar	Q9043
sjøfarson	patronymic	1		create	sjøfarson				Sjøfar		sjøfarsdatter	sjøfar	
sjøfarsson	patronymic	5		create	sjøfarsson				Sjøfar		sjøfarsdatter	sjøfar	Q9027
sjønnesdatter	patronymic	15		create	sjønnesdatter				Sjønne		sjønnesen	sjønne	Q9043
sjønnesen	patronymic	18		create	sjønnesen				Sjønne		sjønnesdatter	sjønne	Q9043
skafhoggssen	patronymic	1		create	skafhoggssen				Skafhogg			skafhoggs	Q9043
skaftason	patronymic	1		create	skaftason	Q16426174	Skafti					skafta	
skagesdatter	patronymic	1		create	skagesdatter				Skage		skagesson	skage	Q9043
skagesson	patronymic	1		create	skagesson				Skage		skagesdatter	skage	Q9027
skakksdatter	patronymic	1		create	skakksdatter				Skakk		skakksen	skakk	Q9043
skakksdotter	patronymic	2		create	skakksdotter				Skakk		skakksen	skakks	Q9027
skakksen	patronymic	5		create	skakksen				Skakk Schach		skakksdotter	skakk	Q9043
skakkson	patronymic	2		create	skakkson				Skakk		skakksdotter	skakk	
skaksen	patronymic	1		create	skaksen				Skak			skak	Q9043
skaresdotter	patronymic	1		create	skaresdotter				Skåre			skares	Q9027
skarisdatter	patronymic	1		create	skarisdatter	Q4927814	Sakarias				skarisen	skari	Q9043
skarisen	patronymic	1		create	skarisen	Q4927814	Sakarias				skarisdatter	skari	Q9043
skegg-broddason	patronymic	1		create	skegg-broddason				Skegg-Broddi			skegg-brodda	
skeggason	patronymic	3		create	skeggason	Q16426280	Skeggi					skegga	
skeggjason	patronymic	6		create	skeggjason	Q16426280	Skeggi		Skeggji			skeggja	
skeldulvsson	patronymic	2		create	skeldulvsson				Skjeldulv Skeldulv			skeldulv	Q9027
skelfisson	patronymic	1		create	skelfisson				Skelfi			skelfi	Q9027
skidesson	patronymic	3		create	skidesson				Skide			skide	Q9027
skjalgsdotter	patronymic	1		create	skjalgsdotter	Q12001012	Skjalg				skjalgsson	skjalgs	Q9027
skjalgsson	patronymic	2		create	skjalgsson	Q12001012	Skjalg				skjalgsdotter	skjalg	Q9027
skjalmsdatter	patronymic	5		create	skjalmsdatter	Q118558260	Skjalm				skjalmsen	skjalm	Q9043
skjalmsen	patronymic	9		create	skjalmsen	Q118558260	Skjalm				skjalmsdatter	skjalm	Q9043
skjedulfson	patronymic	1		create	skjedulfson				Skjedulf			skjedulf	
skjeldulfsdatter	patronymic	1		create	skjeldulfsdatter				Skjeldulf		skjeldulfson	skjeldulf	Q9043
skjeldulfson	patronymic	2		create	skjeldulfson				Skjeldulf		skjeldulfsdatter	skjeldulf	
skjellufsdatter	patronymic	1		create	skjellufsdatter				Skjelluf			skjelluf	Q9043
skjoldsson	patronymic	1		create	skjoldsson				Skjöld			skjold	Q9027
skoftesdatter	patronymic	1		create	skoftesdatter				Skofte		skoftesson	skofte	Q9043
skofteson	patronymic	2		create	skofteson				Skofte		skoftesdatter	skofte	
skoftesson	patronymic	5		create	skoftesson				Skofte		skoftesdatter	skofte	Q9027
skoldson	patronymic	1		create	skoldson				Skold			skold	
skulasson	patronymic	2		create	skulasson	Q122958929	Skúli					skula	Q9027
skulesdatter	patronymic	6		create	skulesdatter	Q96478843	Skule				skulesen	skule	Q9043
skulesdotter	patronymic	3		create	skulesdotter	Q122958929	Skúli				skulesen	skules	Q9027
skulesen	patronymic	4		create	skulesen	Q96478843 Q122958929	Skule Skúli				skulesdatter	skule	Q9043
skulesson	patronymic	1		create	skulesson	Q96478843	Skule				skulesdatter	skule	Q9027
skåresdotter	patronymic	8		create	skåresdotter				Skåre		skåresson	skåres	Q9027
skåresson	patronymic	5		create	skåresson				Skåre		skåresdotter	skåre	Q9027
skúlason	patronymic	1		create	skúlason	Q122958929	Skúli					skúla	
smedsdatter	patronymic	8		create	smedsdatter				Smed		smedsen	smed	Q9043
smedsen	patronymic	8		create	smedsen				Smed		smedsdatter	smed	Q9043
smidsdotter	patronymic	1		create	smidsdotter				Smid		smidsson	smids	Q9027
smidsen	patronymic	1		create	smidsen				Smid		smidsdotter	smid	Q9043
smidson	patronymic	1		create	smidson				Smid		smidsdotter	smid	
smidsson	patronymic	2		create	smidsson				Smid		smidsdotter	smid	Q9027
smithsen	patronymic	1		create	smithsen	Q21079662	Smith					smith	Q9043
snaresdatter	patronymic	2		create	snaresdatter				Snare		snaresson	snare	Q9043
snaresdotter	patronymic	1		create	snaresdotter				Snare		snaresson	snares	Q9027
snaresson	patronymic	1		create	snaresson				Snare		snaresdatter	snare	Q9027
snartarson	patronymic	1		create	snartarson				Snartar			snartar	
snerisson	patronymic	1		create	snerisson				Snerir			sneri	Q9027
snjallson	patronymic	1		create	snjallson				Snjall			snjall	
snorasson	patronymic	1		create	snorasson				Snori			snora	Q9027
snorisson	patronymic	1		create	snorisson	Q2072266	Snorri					snori	Q9027
snorrason	patronymic	26		create	snorrason	Q2072266	Snorri					snorra	
snorrasson	patronymic	1		create	snorrasson	Q2072266	Snorri					snorra	Q9027
snorresdatter	patronymic	1		create	snorresdatter	Q2072266	Snorri				snorresson	snorre	Q9043
snorresdotter	patronymic	4		create	snorresdotter	Q2072266	Snorri				snorresson	snorres	Q9027
snorreson	patronymic	1		create	snorreson	Q2072266	Snorri				snorresdotter	snorre	
snorresson	patronymic	5		create	snorresson	Q2072266	Snorri				snorresdotter	snorre	Q9027
snorrisson	patronymic	2		create	snorrisson	Q2072266	Snorri					snorri	Q9027
snæbjørnsson	patronymic	1		create	snæbjørnsson				Snøbjørn			snæbjørn	Q9027
snæresson	patronymic	1		create	snæresson				Snære			snære	Q9027
snødatter	patronymic	1		create	snødatter				Snø			snø	
soderini	patronymic	2		create	soderini				Soderino				
soelfestersen	patronymic	1		create	soelfestersen				Sølfester			soelfester	Q9043
soerensdotter	patronymic	1		create	soerensdotter	Q7174941	Søren				soerensen	soerens	Q9027
soerensen	patronymic	1		create	soerensen	Q7174941	Søren				soerensdotter	soeren	Q9043
soffrensen	patronymic	1		create	soffrensen	Q137709760	Søfren					soffren	Q9043
sofiasson	matronymic	2		create	sofiasson			Sofia(5)				sofia	Q9027
sofrensdatter	patronymic	1		create	sofrensdatter	Q137709760	Søfren				sofrensen	sofren	Q9043
sofrensen	patronymic	1		create	sofrensen	Q137709760	Søfren				sofrensdatter	sofren	Q9043
solandsdatter	patronymic	5		create	solandsdatter				Soland		solandsen	soland	Q9043
solandsen	patronymic	1		create	solandsen				Soland		solandsdatter	soland	Q9043
solfarsson	patronymic	1		create	solfarsson				Solfar			solfar	Q9027
solfestsdotter	patronymic	2		create	solfestsdotter	Q30883780	Sølfest					solfests	Q9027
solfæstersdatter	patronymic	1		create	solfæstersdatter				Sølfester			solfæster	Q9043
solgasson	patronymic	1		create	solgasson				Solgi			solga	Q9027
solomonsdotter	patronymic	1		create	solomonsdotter			Salomon(2)				solomons	Q9027
solvason	patronymic	1		create	solvason	Q12718852	Solvi					solva	
solvasson	patronymic	1		create	solvasson	Q135214035	Solve					solva	Q9027
solvesdatter	patronymic	5		create	solvesdatter	Q135214035	Solve				solvesen	solve	Q9043
solvesen	patronymic	5		create	solvesen	Q135214035	Solve				solvesdatter	solve	Q9043
solís	patronymic	1		create	solís			Sol(3)					
