token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
andresdotter	patronymic	2		create	andresdotter	Q8843357	Anders	Andres(2)			andresen	andres	Q9027
andresen	patronymic	19		create	andresen	Q4926263 Q8843357	Andreas Anders	Andres(2)			andresdatter	andre	Q9043
andreson	patronymic	1		create	andreson	Q8843357	Anders				andresdatter	andre	
andressen	patronymic	3		create	andressen			Andres(2)			andresdatter	andres	Q9043
andresson	patronymic	14		create	andresson	Q8843357	Anders	Andres(2)			andresdatter	andre	Q9027
andresssen	patronymic	1		create	andresssen	Q4926263	Andreas					andress	Q9043
andrewson	patronymic	1		create	andrewson	Q18042461	Andrew					andrew	
andreæ	patronymic	33		create	andreæ	Q4926263	Andreas						
andriesdotter	patronymic	1		create	andriesdotter	Q510402	Andries				andriesson	andries	Q9027
andriesson	patronymic	1		create	andriesson	Q510402	Andries				andriesdotter	andrie	Q9027
andrisdatter	patronymic	3		create	andrisdatter	Q8843357	Anders				andrisen	andri	Q9043
andrisen	patronymic	1		create	andrisen	Q8843357	Anders				andrisdatter	andri	Q9043
andrsen	patronymic	1		create	andrsen	Q8843357	Anders					andr	Q9043
andrésdotter	patronymic	1		create	andrésdotter	Q96186930	Andry				andrésson	andrés	Q9027
andrésson	patronymic	2		create	andrésson	Q51394	Andrés				andrésdotter	andré	Q9027
anfindsen	patronymic	9		create	anfindsen				Anfind			anfind	Q9043
anfinnsdatter	patronymic	15		create	anfinnsdatter	Q30132308	Anfinn				anfinnson	anfinn	Q9043
anfinnsdotter	patronymic	1		create	anfinnsdotter	Q30132308	Anfinn				anfinnson	anfinns	Q9027
anfinnsen	patronymic	17		create	anfinnsen	Q30132308	Anfinn				anfinnsdatter	anfinn	Q9043
anfinnson	patronymic	19		create	anfinnson	Q30132308	Anfinn				anfinnsdatter	anfinn	
anfinnsson	patronymic	2		create	anfinnsson	Q30132308	Anfinn				anfinnsdatter	anfinn	Q9027
