geni_id,qid,wikidata_en,latin_name_count,first_latin_name,first_verdict,first_token_diff,best_latin_name,best_verdict
6000000002325798114,Q110303313,"Karen Bentsdatter Bille, Heiress of Svanholm",1,Karen Bentsdatter Bille,Wikidata is a superset,-3,Karen Bentsdatter Bille,Wikidata is a superset
6000000002325801401,Q18573690,Ulf the Galician,3,"Ulv ""Galiciefarer"" Ulfsen Earl of Denmark",nothing in common,3,"Ulf ""Galiciefarer"" jarl","overlap, under half"
6000000002325801413,Q101248740,Bodil Hakonsdatter,5,Bodil Håkonsdatter of Denmark,Geni is a superset,2,Bodil Håkonsdatter of Denmark,Geni is a superset
6000000002325801622,Q12339267,Thorgunna Vagnsdatter,4,Þórgunnr 'Torgunna' Vagnadóttir Vagnadottír,nothing in common,1,Thorgunna Vagnsdatter,identical
6000000002325812089,Q110549452,"Ermengaard Eggertsdatter Frille, Heiress of Sandholt",3,Ermegard Eggertsdotter Frille,"overlap, under half",-3,Ermegaard Eggertsdatter Frille,"overlap, half or more"
6000000002325812169,Q110303993,"Claus Predbjoernsen Podebusk, Lord of Vosborg",1,"Claus zu Putbus, Podebusk","overlap, half or more",-2,"Claus zu Putbus, Podebusk","overlap, half or more"
6000000002325844196,Q101247947,Gyrid Andresdottir av Stodreim,2,Gyrid Andresdatter Andersdatter Bjarkøy Giske,"overlap, under half",1,Gyrid Andresdatter Andersdatter Bjarkøy Giske,"overlap, under half"
6000000002325844220,Q75393579,Gregor Anderson,2,Gregorius d.e. Andresson Pott Lord of Stovreim,nothing in common,6,Gregorius d.e. Andresson Pott Lord of Stovreim,nothing in common
6000000002325844350,Q5717887,Erling Alvsson,3,Erling Alvsson,identical,0,Erling Alvsson,identical
6000000002325846407,Q103781633,Elin Nikolasdottir av Kanestraum,1,Eline Nicolausdatter,nothing in common,-2,Eline Nicolausdatter,nothing in common
6000000002325851160,Q5923300,Ivar the White,1,Ivar Hvide,"overlap, half or more",-1,Ivar Hvide,"overlap, half or more"
6000000002325859340,Q62007901,Cecilia Knutsdotter (Bjälboätten),5,Cecilia Knutsdotter Knutsdotter,Wikidata is a superset,-1,Cecilia Knutsdotter Knutsdotter,Wikidata is a superset
6000000002341396943,Q75321315,Nazareth Newton,1,Nazareth Newton,identical,0,Nazareth Newton,identical
6000000002342409509,Q7825898,Torleiv Trondson Benkestok,3,Torleiv Trondssøn Benkestok,"overlap, half or more",0,Torleiv Trondssøn Benkestok,"overlap, half or more"
6000000002343351603,Q108913959,Captain Nehemiah Washburn,1,Nehemiah Washburn,Wikidata is a superset,-1,Nehemiah Washburn,Wikidata is a superset
6000000002349480748,Q110549506,"Corfitz Tonnesen Ronnov, Lord of Faarevejle",1,Corfitz Tønnesen Rønnow,"overlap, under half",-3,Corfitz Tønnesen Rønnow,"overlap, under half"
6000000002349645443,Q109854658,Andrew Bartholomew,2,Andrew Bartholomew,identical,0,Andrew Bartholomew,identical
6000000002354700008,Q61310624,Sulayman,2,Sulayman Al-Hasani,Geni is a superset,1,Sulayman Al-Hasani,Geni is a superset
6000000002363192047,Q187114,Edward the Elder,3,Ēadweard,nothing in common,-2,"Edward I ""the Elder"", king of The Anglo-Saxons","overlap, half or more"
6000000002364207870,Q243453,Charibert I,2,Charibert roi de Paris,"overlap, half or more",2,"Charibert I, King of the Franks at Paris",Geni is a superset
6000000002372843490,Q381273,Peter II of Sicily,4,Peter II de Aragón king of Sicily,Geni is a superset,3,Peter II de Aragón king of Sicily,Geni is a superset
6000000002375967608,Q9150593,Anastazy Walewski,2,Anastazy Walewski,identical,0,Anastazy Walewski,identical
6000000002375992701,Q96034060,Maciej Łączyński,2,Maciej Łączyński h. Kościesza,Geni is a superset,2,Maciej Łączyński h. Kościesza,Geni is a superset
6000000002376125369,Q9323749,Rudolf-August d'Ornano,2,Rodolphe Auguste Louis d'Ornano,"overlap, half or more",2,Rodolphe Auguste Louis d'Ornano,"overlap, half or more"
6000000002376132134,Q237931,Marie Walewska,2,Maria Maria Ewa Laczynska,nothing in common,1,Marie Łączyńska h. Kościesza,"overlap, half or more"
6000000002376167676,Q128777,Philippe Antoine d'Ornano,2,Philippe Antoine d'Ornano,identical,0,Philippe Antoine d'Ornano,identical
6000000002376187259,Q435375,Alexandre Colonna-Walewski,3,Alexandre Florian Józef Colonna-Walewski,Geni is a superset,2,Alexandre Florian Józef Colonna-Walewski,Geni is a superset
6000000002377350844,Q371670,Amalasuntha,1,Amalasuintha of the Ostrogoths,nothing in common,3,Amalasuintha of the Ostrogoths,nothing in common
6000000002378405122,Q549866,"Charles Somerset, 1st Earl of Worcester",2,Charles Somerset,Wikidata is a superset,-4,"Charles Somerset, 1st Earl of Worcester",identical
6000000002378493325,Q714475,"Henry Beaufort, 3rd Duke of Somerset",1,Henry Beaufort 3rd Duke of Somerset,identical bar case/diacritics,0,Henry Beaufort 3rd Duke of Somerset,identical bar case/diacritics
6000000002378529265,Q592988,"Richard de Beauchamp, 13th Earl of Warwick",2,"Richard de Beauchamp 13th Earl of Warwick, Count of Aumale, KG",Geni is a superset,3,"Richard de Beauchamp, 13th Earl of Warwick",identical
6000000002384754616,Q1031944,"Thomas Holland, 1st Earl of Kent",2,Thomas Holland,Wikidata is a superset,-4,"Thomas Holland, 1st Earl of Kent",identical
6000000002388323755,Q445543,Eléonore Denuelle de La Plaigne,2,Loise Catherine Eléonore Denuelle de la Plaigne,Geni is a superset,2,Eléonore Denuelle de La Plaigne,identical
6000000002388364458,Q155545,Eugène de Beauharnais,3,"Eugène Rose de Beauharnais Prince Français, duc de Leuchtenberg et prince d'Eichstätt",Geni is a superset,7,Eugène de Beauharnais,identical
6000000002388399316,Q157491,"Marie Louise, Duchess of Parma",2,"Marie Louise Leopoldine Franziska Theresia Josepha Lucia di Borbone-Napoli Duchess of Parma, Empress of the French",Geni is a superset,10,"Marie Louise Leopoldine Franziska Theresia Josepha Lucia di Borbone-Napoli Duchess of Parma, Empress of the French",Geni is a superset
6000000002388572350,Q7723,Napoleon II,2,Napoléon François Joseph Charles Bonaparte King of Rome,"overlap, half or more",6,"Napoleon II, King of Rome",Geni is a superset
6000000002388712778,Q151995,Maria-Letizia Bonaparte,1,Maria Letizia Ramolino,nothing in common,1,Maria Letizia Ramolino,nothing in common
6000000002391786177,Q110302808,Erik Ormsson,3,Erik Ormson Ormson,"overlap, half or more",0,Erik Ormson Ormson,"overlap, half or more"
6000000002395369434,Q64595,"Henry the Middle, Duke of Brunswick-Lüneburg",2,"Heinrich ""der Mittlere"" von Braunschweig-Lüneburg Herzog von Braunschweig-Lüneburg",nothing in common,0,"Heinrich I, duke of Brunswick-Lüneburg-Gifhorn","overlap, under half"
6000000002395383779,Q75246072,Elisabeth von Braunschweig-Lüneburg-Harburg,1,Elisabeth Anna von Braunschweig-Lüneburg Hertiginna,"overlap, half or more",2,Elisabeth Anna von Braunschweig-Lüneburg Hertiginna,"overlap, half or more"
6000000002397323620,Q2594188,Theresa of Portugal,3,Teresa de Portugal queen consort of Leon,"overlap, half or more",4,Teresa de Portugal queen consort of Leon,"overlap, half or more"
6000000002400782615,Q68567,Salomea of Berg,7,Salomea von Berg-Schelklingen,"overlap, under half",0,Salomea of Berg,identical
6000000002400899638,Q54013,Mieszko III the Old,5,Mieszko III III van Polen the Old,Geni is a superset,2,Mieszko III the Old,identical
6000000002404739430,Q4141555,Vasily Golitsyn,1,Vasily Yuryevich Golitsyn,Geni is a superset,1,Vasily Yuryevich Golitsyn,Geni is a superset
6000000002404786243,Q1393018,Mihail Bulgakov,2,"Mikhail Ivanovich ""Golitsa"" Bulgakov","overlap, half or more",2,"Mikhail Ivanovich ""Golitsa"" Bulgakov","overlap, half or more"
6000000002406387852,Q983715,Krzysztof Radziwiłł,3,Kristoph palatine of Vilnius,nothing in common,2,Krzysztof Radziwiłł h. Trąby młodszy,Geni is a superset
6000000002407824893,Q99638951,Elias Lyman,1,Elias Lyman,identical,0,Elias Lyman,identical
6000000002411796203,Q75453625,Isabel d'Aubigny,1,Isabel d'Aubigny Heiress of Belvoir,Geni is a superset,3,Isabel d'Aubigny Heiress of Belvoir,Geni is a superset
6000000002414186138,Q1035345,Caradoc Freichfras,2,"Caradog Freichfras ap Llyr Merini of Ewias, King of Gwent, Lord of Hereford","overlap, half or more",9,"Caradog Freichfras ap Llyr Merini of Ewias, King of Gwent, Lord of Hereford","overlap, half or more"
6000000002415194667,Q40023,Cleopatra IV of Egypt,2,Cleopatra,Wikidata is a superset,-3,Cleopatra IV of Egypt,identical
6000000002415234643,Q3340,Ptolemy IX Lathyros,2,Ptolemy,Wikidata is a superset,-2,Ptolemy,Wikidata is a superset
6000000002415363424,Q40242,Cleopatra V of Egypt,2,Cleopatra,Wikidata is a superset,-3,Cleopatra,Wikidata is a superset
6000000002415390027,Q39991,Ptolemy XII Auletes,2,Ptolemy Neos Dionysos Theos Philopator Theos Philadelphos,"overlap, under half",3,"Ptolemy XII Auletes, Pharaoh of Egypt",Geni is a superset
6000000002415448137,Q3350,Ptolemy VIII Physcon,2,Ptolemy,Wikidata is a superset,-2,Ptolemy,Wikidata is a superset
6000000002418664152,Q75267200,Margaret de la Pole,1,Margaret de la Pole,identical,0,Margaret de la Pole,identical
6000000002422915559,Q693480,"Christian, Prince-Elect of Denmark",1,Christian von Oldenburg,"overlap, under half",-1,Christian von Oldenburg,"overlap, under half"
6000000002424322085,Q108840736,Ide Due,1,Ide Bondesdatter Due til Bondemosegaard,Geni is a superset,3,Ide Bondesdatter Due til Bondemosegaard,Geni is a superset
6000000002425153161,Q5542842,"George Neville, 1st Baron Latimer",1,George Neville 1st Baron Latimer,identical bar case/diacritics,0,George Neville 1st Baron Latimer,identical bar case/diacritics
6000000002428674074,Q6487856,Laodice,1,Laodice,identical,0,Laodice,identical
6000000002428752488,Q51672,Herod the Great,3,Herod .,Wikidata is a superset,-2,"Herod the Great, de-facto King of Judea",Geni is a superset
6000000002433994667,Q41646,Romanos I Lekapenos,1,Romanos I Lekapenos byzantine emperor,Geni is a superset,2,Romanos I Lekapenos byzantine emperor,Geni is a superset
6000000002434111282,Q41833,Basil II,2,Basilus II Bulgaroktonos Byzantine Emperor,"overlap, half or more",3,Basilus II Bulgaroktonos Byzantine Emperor,"overlap, half or more"
6000000002434151612,Q41663,Konstantinos VIII,2,Constantine,nothing in common,-1,"Constantine VIII, Eastern Roman Emperor","overlap, half or more"
6000000002434214184,Q41847,Romanos II,2,Romanos II Byzantine Emperor,Geni is a superset,2,Romanos II Byzantine Emperor,Geni is a superset
6000000002435383373,Q433161,Margaret Douglas,1,Margaret Douglas Countess of Lennox,Geni is a superset,3,Margaret Douglas Countess of Lennox,Geni is a superset
6000000002435936588,Q4572973,"Charles Neville, 6th Earl of Westmorland",2,Charles Neville 6th Earl of Westmorland,identical bar case/diacritics,0,"Charles Neville, 6th Earl of Westmorland",identical
6000000002441590664,Q353829,Adela of France,8,Adela,Wikidata is a superset,-2,"Adela of France, countess of Flanders",Geni is a superset
6000000002441720163,Q333346,"Robert I, Count of Flanders",8,Robert graaf van Vlaanderen Comte d'Artois,"overlap, under half",1,"Robert I, Count of Flanders",identical
6000000002442771476,Q453346,Amaury III de Montfort,1,"Amauri de Montfort III, Count d'Evreux & Seigneur de Montfort","overlap, half or more",4,"Amauri de Montfort III, Count d'Evreux & Seigneur de Montfort","overlap, half or more"
6000000002443504788,Q2013847,Juan de Aragón,3,Chuan d'Aragón sinyor d'Elch,nothing in common,1,"Juan de Aragón, señor de Elche",Geni is a superset
6000000002444013586,Q579846,"William VII, Marquess of Montferrat",3,"William VII degli Aleramici ""the Great Marquess"" of Montferrat","overlap, half or more",4,"William VII, marquess of Montferrat",identical bar case/diacritics
6000000002444271370,Q5784538,Constanza de Castilla,2,Constanza Alfonsez de Borgoña Infanta de Castilla,Geni is a superset,3,Constanza Alfonsez de Borgoña Infanta de Castilla,Geni is a superset
6000000002444370499,Q2706087,Diego López V de Haro,2,Diego V 'el Intruso' López de Haro señor de Vizcaya,Geni is a superset,4,Diego V 'el Intruso' López de Haro señor de Vizcaya,Geni is a superset
6000000002447085944,Q75299051,Anne Echingham,1,Anne Echingham,identical,0,Anne Echingham,identical
6000000002447103414,Q131732243,Rhodogune,2,Rhodah (Rhodogune) . of Persia,Geni is a superset,3,Rhodah (Rhodogune) . of Persia,Geni is a superset
6000000002447112218,Q2567607,Gradlon,3,Gradlon Mawr ap Cynan Meriadog King of Brittany,Geni is a superset,7,Gradlon Mawr ap Cynan Meriadog King of Brittany,Geni is a superset
6000000002447112231,Q15223068,Salomó I d'Armòrica,2,Selyfan Salomon ap Gradlon King of Brittany,nothing in common,4,"Salomon I ap Gradlon, King of Brittany","overlap, under half"
6000000002447114415,Q16323100,Serwyl ab Usai,2,Serwyl ap ab Usai Brenin Ceredigion,Geni is a superset,3,Serwyl ap ab Usai Brenin Ceredigion,Geni is a superset
6000000002447118571,Q351610,Mathieu II de Montmorency,2,Mathieu Il 'Le Grand' de Montmorency Grand Sire,"overlap, half or more",4,"Mathieu II, Baron de Montmorency",Geni is a superset
6000000002447118580,Q3052490,Emma de Laval,2,Gertrude Of Soissons,nothing in common,0,"Gertrude de Nesle, dame de Soissons","overlap, under half"
6000000002447151164,Q964196,Odet de Coligny,2,Odet Coligny Cardinal de Chatillon,Geni is a superset,2,Odet Coligny Cardinal de Chatillon,Geni is a superset
6000000002447151170,Q588824,François de Coligny d'Andelot,2,François de Coligny,Wikidata is a superset,-1,"François de Coligny, seigneur d'Andelot",Geni is a superset
6000000002447173603,Q740325,Mary of Burgundy,3,Marie de Valois-Bourgogne ducheese épouse de Savoie,nothing in common,3,"Marie de Valois-Bourgogne, Duchess consort of Savoy","overlap, under half"
6000000002447185479,Q465187,"Geoffrey I, Duke of Brittany",5,Geoffrey I de Rennes,"overlap, half or more",-1,Geoffrey I de Rennes,"overlap, half or more"
6000000002447238331,Q539434,Angilbert,2,"Angilbert ""the Saint"" abbé de Saint-Riquier",Geni is a superset,5,"Angilbert ""the Saint"" abbé de Saint-Riquier",Geni is a superset
6000000002447256295,Q480455,"Peter II, Count of Saint-Pol",1,Pierre II de Luxembourg comte de Saint Pol,"overlap, under half",2,Pierre II de Luxembourg comte de Saint Pol,"overlap, under half"
6000000002447290112,Q7960396,Wait Winthrop,2,Wait Still Winthrop of Massachusetts,Geni is a superset,3,Wait Still Winthrop of Massachusetts,Geni is a superset
6000000002447290151,Q75129083,Ann Dudley,2,Anne Dudley,"overlap, half or more",0,Anne Dudley,"overlap, half or more"
6000000002447290464,Q89351322,Alexander St John,2,Alexander St John Esq.,Geni is a superset,1,Alexander St John Esq.,Geni is a superset
6000000002447336383,Q75253663,"Joan Lestrange, Baroness Strange",2,Joan le Strange Lady Strange of Knockin,"overlap, half or more",2,Joan le Strange Lady Strange of Knockin,"overlap, half or more"
6000000002447374705,Q101439017,Joseph Washburn,1,Joseph Washburn,identical,0,Joseph Washburn,identical
6000000002447405119,Q3086637,Francoise d'Orléans-Longueville,1,Françoise d'Orléans-Longueville,identical bar case/diacritics,0,Françoise d'Orléans-Longueville,identical bar case/diacritics
6000000002447405884,Q3121857,Guy IX de Laval,2,Guy IX De Montmorency-Laval IX,"overlap, half or more",0,"Guy IX de Laval, conte di Caserta",Geni is a superset
6000000002447405896,Q3122219,Guy X de Laval,2,Guy X de Laval,identical,0,Guy X de Laval,identical
6000000002451873607,Q86457952,Christina Knutsdotter Aspenäsätten,1,Kristina Knutsdotter (Aspenäs),"overlap, under half",0,Kristina Knutsdotter (Aspenäs),"overlap, under half"
6000000002453715498,Q261934,Adelaide-Blanche of Anjou,8,Adélaïde (Adele) d'Anjou Reine de France,nothing in common,3,Adelaide de Anjou,"overlap, under half"
6000000002455370465,Q5342026,"Edward Brooke, 6th Baron Cobham",2,Edward Brooke,Wikidata is a superset,-3,"Edward Brooke, 6th Baron Cobham",identical
6000000002457013227,Q3044,Charlemagne,14,Carolus 'Magnus' Rex Francorum & Imperator Romanorum,nothing in common,6,Charlemagne,identical
6000000002459854330,Q150782,Empress Elisabeth of Austria,3,Elisabeth Amalie Eugenie Wittelsbach Empress consort of Austria-Hungary,"overlap, half or more",4,Empress Elisabeth of Austria Elisabeth von Österreich-Ungarn,Geni is a superset
6000000002459862166,Q110906666,Philo S. Shelton,1,Philo Strong Shelton,"overlap, half or more",0,Philo Strong Shelton,"overlap, half or more"
6000000002459902739,Q13129268,Iorwerth Drwyndwn,1,Iorwerth Drwyndwn ab Owain,Geni is a superset,2,Iorwerth Drwyndwn ab Owain,Geni is a superset
6000000002461246164,Q216787,David I of Scotland,8,"Davíd I ""The Saint"" mac Maíl Choluim","overlap, half or more",3,David I The Saint King Of Scotland,Geni is a superset
6000000002462627020,Q427525,"Robert IV, Count of Dreux",2,Robert de Dreux Count of Dreux,"overlap, half or more",0,Robert de Dreux Count of Dreux,"overlap, half or more"
6000000002465038702,Q40930,Nefertiti,2,Nefertiti,identical,0,Nefertiti,identical
6000000002465068862,Q152230,Tiye,1,"Tiye [Taia, Tiy and Tiyi] san Queen of Egypt",Geni is a superset,8,"Tiye [Taia, Tiy and Tiyi] san Queen of Egypt",Geni is a superset
6000000002465094974,Q42606,Amenhotep III,1,Nebmaatre Amenhotep III Pharaoh of Egypt,Geni is a superset,4,Nebmaatre Amenhotep III Pharaoh of Egypt,Geni is a superset
6000000002466110291,Q347441,"Adalbert I, Count of Vermandois",4,Adalbert,Wikidata is a superset,-4,"Adalbert I the Pious, count of Vermandois",Geni is a superset
6000000002475161686,Q6265668,"John de Warenne, 7th Earl of Surrey",1,John de Warenne 7th Earl of Surrey & Sussex,Geni is a superset,2,John de Warenne 7th Earl of Surrey & Sussex,Geni is a superset
6000000002475709670,Q116698299,Jeanne de Trie,2,Jeanne de Trie,identical,0,Jeanne de Trie,identical
6000000002475873098,Q116698263,Jean de Mornay,1,Jean de Mornay,identical,0,Jean de Mornay,identical
6000000002489009774,Q96216078,John Stanley II,2,"John of ""the Planter"" Stanley","overlap, half or more",2,"John of ""the Planter"" Stanley","overlap, half or more"
6000000002491551942,Q470528,Amha Selassie,1,Amha Selassie Haile Selassie,Geni is a superset,1,Amha Selassie Haile Selassie,Geni is a superset
6000000002498289927,Q126871642,Jonathan Ashley Saxton,1,Jonathan Ashley Saxton,identical,0,Jonathan Ashley Saxton,identical
6000000002498500269,Q126871644,Rufus Sexton,1,Rufus Sexton,identical,0,Rufus Sexton,identical
6000000002498661103,Q126871651,Tirzah Saxton,1,Tirzah Ashley,"overlap, half or more",0,Tirzah Ashley,"overlap, half or more"
6000000002498661129,Q126871645,Rebecca Saxton,1,Rebecca Barnard,"overlap, half or more",0,Rebecca Barnard,"overlap, half or more"
6000000002498661140,Q126871656,Sarah Saxton,1,Sarah Parsons,"overlap, half or more",0,Sarah Parsons,"overlap, half or more"
6000000002501819220,Q30346415,Elise Weil Bernheimer,1,Elcha (Elsa) Weil,"overlap, under half",0,Elcha (Elsa) Weil,"overlap, under half"
6000000002503036414,Q1363323,"Thomas of Brotherton, 1st Earl of Norfolk",1,Thomas of Brotherton 1st Earl of Norfolk,identical bar case/diacritics,0,Thomas of Brotherton 1st Earl of Norfolk,identical bar case/diacritics
6000000002503133462,Q711992,"Thomas de Mowbray, 1st Duke of Norfolk",2,"Thomas de Mowbray 1st Duke of Norfolk, Earl Marshal of England, K.G.",Geni is a superset,5,"Thomas de Mowbray, 1st Duke of Norfolk",identical
6000000002503662838,Q110303000,"Mette Pedersdatter af Vollerup, Heiress of Hvedholm and Logismose",1,Mette Pedersdatter Present,"overlap, half or more",-6,Mette Pedersdatter Present,"overlap, half or more"
6000000002503678686,Q110303302,Lene Magensdatter Gyldenstjerne,1,Lene Mogensdatter Gyldenstierne,"overlap, under half",0,Lene Mogensdatter Gyldenstierne,"overlap, under half"
6000000002503688537,Q96240781,Berta,1,Berta Rønnow,Geni is a superset,1,Berta Rønnow,Geni is a superset
6000000002503697318,Q110371153,"Anna, Freiin von Malzan",1,Anna von Maltzan,"overlap, half or more",-1,Anna von Maltzan,"overlap, half or more"
6000000002512230594,Q1773738,Inga of Varteig,3,Inga Olavsdatter Smorkull,"overlap, under half",0,Inga,Wikidata is a superset
6000000002512264794,Q2656291,Gunnhildr Sveinsdóttir,4,Gunhild Sveinsdatter,nothing in common,0,Gunhild Sveinsdatter,nothing in common
6000000002512264965,Q1793048,Eyvind Lambi,2,Eyvind Berle-Kari Kåresson Lambi,Geni is a superset,2,Eyvind Berle-Kari Kåresson Lambi,Geni is a superset
6000000002512264976,Q2472709,Thorolf Kveldulfsson,1,Thorolv Ulvsson,nothing in common,0,Thorolv Ulvsson,nothing in common
6000000002512272005,Q3638589,Berle-Kari,2,Berdla-Kåre Vemundsson,nothing in common,1,Berdla-Kåre Vemundsson,nothing in common
6000000002512272407,Q3356544,Tora Torbergsdatter,5,Tora Torbergsdatter,identical,0,Tora Torbergsdatter,identical
6000000002512272519,Q270541,Gunnhild,2,Gunhild «Mother of Kings» Gormsdatter,nothing in common,4,Gunhild «Mother of Kings» Gormsdatter,nothing in common
6000000002512340834,Q108840607,Else Knudsdatter Urne,3,Else Knudsdatter Urne til Aasemark,Geni is a superset,2,Else Knudsdatter Urne,identical
6000000002512340898,Q108840742,Henning Pedersen til Hojbygaard,2,Henning Walkendorff,"overlap, half or more",-2,Henning Walkendorff,"overlap, half or more"
6000000002512340903,Q108840743,Inger Axelsdatter af Krenkerup,1,Inger Axelsdatter Gøye,"overlap, half or more",-1,Inger Axelsdatter Gøye,"overlap, half or more"
6000000002512340949,Q108840733,Lage Nielsen Urne,2,Lage Nicolaussen Urne,"overlap, half or more",0,Lauge Nielsen Urne Lage Nielson,Geni is a superset
6000000002512346142,Q7061312,Christoffer Urne,1,Christopher Knudsen Urne til Aarsmarke,"overlap, half or more",3,Christopher Knudsen Urne til Aarsmarke,"overlap, half or more"
6000000002512346178,Q2026887,Sofia of Minsk,11,Sofia Volodarsdatter von Polotzk Queen of Denmark,"overlap, half or more",4,Sofia Volodarsdatter von Polotzk Queen of Denmark,"overlap, half or more"
6000000002512613884,Q98277986,Claudia,1,Claudia Neronis,Geni is a superset,1,Claudia Neronis,Geni is a superset
6000000002515736290,Q96240794,Johann von Thienen,1,Johannes von Thienen,"overlap, half or more",0,Johannes von Thienen,"overlap, half or more"
6000000002515749552,Q12306503,Claus Limbek,1,Claus Ottesen Limbek kaldet Mulerch,Geni is a superset,3,Claus Ottesen Limbek kaldet Mulerch,Geni is a superset
6000000002515809784,Q5923254,Krister Nilsson (Vasa),3,Christiern Nilsson (Vasa),"overlap, half or more",0,Christiern Nilsson (Vasa),"overlap, half or more"
6000000002517312586,Q96240777,Margarethe Clausdatter Rønnow,3,Margrethe Clausdatter Rønnow,"overlap, half or more",0,Margrethe Clausdatter Rønnow,"overlap, half or more"
6000000002517327915,Q96240778,"Claus Markvardsen Ronnow, Lord of Hvidkilde",3,Claus Markvardssøn Markvads søn,"overlap, under half",-2,Claus,Wikidata is a superset
6000000002517348398,Q4959889,Birgitta Kristiernsdotter,2,Birgitta Kristiernsdotter Vasa,Geni is a superset,1,Birgitta Kristiernsdotter Vasa,Geni is a superset
6000000002517621586,Q15621898,Torbern Bille,2,Torbern Bille,identical,0,Torbern Bille,identical
6000000002517672589,Q86456531,Lisbet Jensdatter Ulfstand,3,Elisabeth Jensdatter Ulfstand Jensdatter,"overlap, half or more",0,Elisabeth Jensdatter Ulfstand Jensdatter,"overlap, half or more"
6000000002517869069,Q352629,Adasi,2,Adasi,identical,0,Adasi,identical
6000000002525465512,Q2917684,Beate Clausdatter Bille,1,Beate Clausdatter Bille til Allinde,Geni is a superset,2,Beate Clausdatter Bille til Allinde,Geni is a superset
6000000002525584585,Q3429122,Thyge Axelsen Brahe,3,Tyge Axelson Brahe til Tosterup,"overlap, under half",2,Tyge Axelson Brahe til Tosterup,"overlap, under half"
6000000002525617303,Q2630476,Otte Brahe,6,Otte Tygesen Brahe til Knudstrup,Geni is a superset,3,Otte Tygesen Brahe til Knudstrup,Geni is a superset
6000000002525980049,Q108674030,Kirsten Barbara Jørgensdatter,1,Kirstine Barbara Jørgensdatter,"overlap, half or more",0,Kirstine Barbara Jørgensdatter,"overlap, half or more"
6000000002527208007,Q101424633,Thomas Gilbert,1,Thomas Gilbert,identical,0,Thomas Gilbert,identical
6000000002527615054,Q110302995,Gyrid Torbergsdatter,1,Gyrid Torbergsdatter Stora Brandvik,Geni is a superset,2,Gyrid Torbergsdatter Stora Brandvik,Geni is a superset
6000000002527618911,Q16532663,Arne Arnmodsson,3,Arne Arnmodsson,identical,0,Arne Arnmodsson,identical
6000000002527704016,Q98697974,Sigrid Finnsdottir av Austraat og Halland,1,Sigrid Finnsdatter Austrått,"overlap, under half",-3,Sigrid Finnsdatter Austrått,"overlap, under half"
6000000002536692977,Q5714962,Sebastián Garcilaso de la Vega y Vargas,2,Sebastián Garcilaso de la Vega Vargas,Wikidata is a superset,-1,Sebastián Garcilaso de la Vega Vargas,Wikidata is a superset
6000000002539596479,Q1373764,Kartini,1,RAAA Kartini Djojoadhiningrat (RA Kartini) SOSRONINGRAT,Geni is a superset,4,RAAA Kartini Djojoadhiningrat (RA Kartini) SOSRONINGRAT,Geni is a superset
6000000002541131528,Q3277252,"Magnus II, Earl of Orkney",1,Angus Gilchrist of Angus,"overlap, under half",-2,Angus Gilchrist of Angus,"overlap, under half"
6000000002543244556,Q486165,Anarawd ap Rhodri,1,Anarawd ap Rhodri Mawr,Geni is a superset,1,Anarawd ap Rhodri Mawr,Geni is a superset
6000000002544926321,Q50805084,Cecilia Jonsdotter,2,Cecilia Johnsdatter Sudreim,"overlap, half or more",1,Cecilia Johnsdatter Sudreim,"overlap, half or more"
6000000002550979947,Q76011868,Henry Clifford,1,Henry De Clifford,Geni is a superset,1,Henry De Clifford,Geni is a superset
6000000002553540163,Q116054567,Afraig inghen Fergusa a Gallobha,1,Afreca nic Fergus of Galloway,nothing in common,0,Afreca nic Fergus of Galloway,nothing in common
6000000002553595095,Q5729472,Bjǫrn Grímsson,6,"Björn ""Buna"" Grimsson",Geni is a superset,1,Björn Grímsson,identical bar case/diacritics
6000000002553629374,Q101247287,Fin Hareksson,1,Finn Håreksson av Tjøtta,"overlap, half or more",2,Finn Håreksson av Tjøtta,"overlap, half or more"
6000000002556286829,Q101423445,Hannah Hitchcock,1,Hannah Chapin,"overlap, half or more",0,Hannah Chapin,"overlap, half or more"
6000000002556473072,Q120142936,Nathaniel Hitchcock,1,Nathaniel Hitchcock,identical,0,Nathaniel Hitchcock,identical
6000000002556488268,Q120143014,Deacon John Hitchcock,1,John Hitchcock,Wikidata is a superset,-1,John Hitchcock,Wikidata is a superset
6000000002567020255,Q1345250,Petrus Kenicius,3,Petrus Königsson Königsson,"overlap, half or more",0,Petrus Kenicius,identical
6000000002572920173,Q5971771,Magnus Bengtsson,2,Magnus Bengtsson (Folkungaätten),Geni is a superset,1,Magnus Bengtsson (Folkungaätten),Geni is a superset
6000000002574481553,Q11988675,Matias Orheim,1,Mathias Orheim,"overlap, half or more",0,Mathias Orheim,"overlap, half or more"
6000000002576577610,Q131360151,"Timothy Wickham ""Tang"" Morley",1,"Timothy Wickham ""Tang"" Morley",identical,0,"Timothy Wickham ""Tang"" Morley",identical
6000000002576593155,Q109301681,Therese,1,Terèsa d'Astarac,nothing in common,1,Terèsa d'Astarac,nothing in common
6000000002576660683,Q131399487,Sarah Bartholomew,1,Sarah Catlin,"overlap, half or more",0,Sarah Catlin,"overlap, half or more"
6000000002577276935,Q52587392,Zechariah Symmes,2,Zechariah Symmes,identical,0,Zechariah Symmes,identical
6000000002580397663,Q115695626,John Woodward Jr.,1,John Woodward Jr.,identical,0,John Woodward Jr.,identical
