geni_id	page	name	relationship	managed_by	immediate_family	href
6000000031528515872	3	Name: Bahram Seljuq	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Brother of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Ilyas ibn Çağrı and 6 others; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Bahram-Seljuq/6000000031528515872?through=6000000227822546944
6000000031528315292	3	Name: Ilyas ibn Çağrı	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Brother of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Ilyas-ibn-%C3%87a%C4%9Fr%C4%B1/6000000031528315292?through=6000000227822546944
6000000031528373142	3	Name: Uthman ibn Çağrı	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Brother of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Uthman-ibn-%C3%87a%C4%9Fr%C4%B1/6000000031528373142?through=6000000227822546944
6000000031528501956	3	Name: Khadija Arslan	Relationship: NN's 10th great granddaughter	Managed By: Emily Damiano	Immediate Family: Daughter of Dawud Chaghri Bey, Lord of Khorasan Wife of Caliph Abdullah al-Qa'im and Emir Ali bin Faramurz Kakuyi Mother of Muhammad Dhakhirat al-Din; Fatima Al-Abbasi and Garchasp II Kakuyid, Emir of Yazd and Abarkuh Sister of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half sister of Sulayman Seljuq	/people/Khadija-Arslan/6000000031528501956?through=6000000227822546944
6000000031528082759	3	Name: Gouhar Khatun bint Çağrı	Relationship: NN's 10th great granddaughter	Managed By: Emily Damiano	Immediate Family: Daughter of Dawud Chaghri Bey, Lord of Khorasan Wife of Erishgi / Erisghen of the Navakiyya Sister of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half sister of Sulayman Seljuq	/people/Gouhar-Khatun-bint-%C3%87a%C4%9Fr%C4%B1/6000000031528082759?through=6000000227822546944
6000000031528396153	3	Name: Safiye bint Çağrı	Relationship: NN's 10th great granddaughter	Managed By: Emily Damiano	Immediate Family: Daughter of Dawud Chaghri Bey, Lord of Khorasan Wife of Ibrahim Al-Uqayli Sister of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Fulana Seljuq and NN Seljuq« less Half sister of Sulayman Seljuq	/people/Safiye-bint-%C3%87a%C4%9Fr%C4%B1/6000000031528396153?through=6000000227822546944
6000000032997174062	3	Name: Fulana Seljuq	Relationship: NN's 10th great granddaughter	Managed By: Emily Damiano	Immediate Family: Daughter of Dawud Chaghri Bey, Lord of Khorasan Wife of Kurd Hazarasp bin Bankir; Sharaf al-Daula Muslim Al-Uqayli and Ibrahim Al-Uqayli Sister of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı and NN Seljuq« less Half sister of Sulayman Seljuq	/people/Fulana-Seljuq/6000000032997174062?through=6000000227822546944
6000000226654205823	3	Name: NN Seljuq	Relationship: NN's 10th great granddaughter	Managed By: Omar Bin Ashraf	Immediate Family: Daughter of Dawud Chaghri Bey, Lord of Khorasan Wife of Abu Mansur Fulad Sutun, Emir of Fars Sister of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 6 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı and Fulana Seljuq« less Half sister of Sulayman Seljuq	/people/NN-Seljuq/6000000226654205823?through=6000000227822546944
6000000031528431076	3	Name: Sulayman Seljuq	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan and (No Name) Half brother of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 7 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less	/people/Sulayman-Seljuq/6000000031528431076?through=6000000227822546944
6000000032959842955	3	Name: Dawlat-Šāh (b. - 1098)	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Musa ibn Mika'il Seljuq	/people/Dawlat-%C5%A0%C4%81h/6000000032959842955?through=6000000227822546944
