qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q4133209	6000000000700972962	Gandalf Alfgeirsson	Eyestein «Fret Fjert» Halfdansson King of Romerike and Vestfold	6000000000172750514	6000000000172769147	Q2560871		father: their Q2560871 carries 6000000000420209452, ours is 6000000000172750514 | mother: none on the item
Q273602	6000000000761639165	Ermengard of Italy	Engelberga	6000000005936841091	6000000019457314840	Q215204	Q255437	father: their Q215204 carries 6000000000761701017, ours is 6000000005936841091 | mother: their Q255437 carries no Geni id
Q76300819	6000000000769920068	Ermentrude of France	Ermentrudis Billung Im Padergau	6000000000894794311	6000000013601123514	Q187519	Q272103	mother: their Q272103 carries 6000000053184617821, ours is 6000000013601123514
Q75269394	6000000000772779081	Lady Elizabeth Hay	Annabella Stewart	6000000002277472620	6000000000743955206	Q18821934	Q75269343	father: their Q18821934 carries 6000000001013078078, ours is 6000000002277472620 | mother: their Q75269343 carries no Geni id
Q653945	6000000000774650887	Roger I of Carcassonne	Rogièr I 'lo Vièlh' de Comenge comte de Carcassona	6000000010995204353	6000000028606400210	Q2863144	Q18213978	father: their Q2863144 carries no Geni id | mother: their Q18213978 carries 6000000099626188887, ours is 6000000028606400210
Q233865	6000000000831060653	Blanche I of Navarre	Blanca I de Navarra reina de Navarra	6000000000831222922	6000000000831340779	Q358365	Q237734	father: their Q358365 carries 6000000000628817210, ours is 6000000000831222922 | mother: their Q237734 carries no Geni id
Q123036366	6000000000839811133	Gustava Armfelt	Adelaide Gustava Aspasie Armfelt	6000000006127523501	6000000194182897823	Q543935	Q272289	mother: their Q272289 carries 6000000001181021094, ours is 6000000194182897823
Q3175646	6000000000905014194	Jean de Poitiers, Seigneur de Saint Vallier	Jean de Poitiers seigneur de Saint-Vallier, marchese di Crotone	6000000014278115010	6000000003122483227	Q101509489	Q101509678;Q3292941	father: their Q101509489 carries no Geni id | mother: their Q101509678 carries no Geni id | mother: their Q3292941 carries 6000000000770001082, ours is 6000000003122483227
Q270395	6000000001156811632	Bertha of Swabia	Bertha	6000000196144855822	6000000196144661849	Q819630	Q2137291	father: their Q819630 carries 6000000001157104064, ours is 6000000196144855822 | mother: their Q2137291 carries 2 Geni ids
Q24706412	6000000001363640693	Robert de Quincy	William de Braose Baron Abergavenny	6000000002166131976	6000000006727915717	Q1703908	Q61497599	father: their Q1703908 carries 6000000003146930404, ours is 6000000002166131976 | mother: their Q61497599 carries 6000000000191983296, ours is 6000000006727915717
Q9070237	6000000001412873961	Rodrigo Fernández de Castro	"Roderigo ""the Bald"" Fernandi Royal Lieutenant"	6000000007186471271	6000000008268294846	Q5859611	Q6007698	father: their Q5859611 carries no Geni id | mother: their Q6007698 carries 6000000012913787639, ours is 6000000008268294846
Q3304798	6000000001475110150	Bernard I, Count of Besalú	Bernat I 'Tallaferro' de Cerdanya comte de Besalú	5096010198730109069	5096010210420109075	Q2499376	Q4532539	mother: their Q4532539 carries 6000000011017916072, ours is 5096010210420109075
Q948993	6000000001477584011	Catherine of Foix, Countess of Candale	Catherine de Foix	6000000003503676462	6000000001378295126	Q372977	Q236889	father: their Q372977 carries no Geni id | mother: their Q236889 carries 6000000042712527188, ours is 6000000001378295126
Q349062	6000000001500992534	Bohemond III of Antioch	"Bohemond III ""the Stammerer"" of Poitiers prince of Antioch"	6000000010060961353	6000000003858589760	Q437271	Q238609	father: their Q437271 carries no Geni id | mother: their Q238609 carries 6000000004487857003, ours is 6000000003858589760
Q75930662	6000000001562928994	Alianore Dagworth	Philippa de Mohun Duchess of York	6000000000350923523	6000000006444050262	Q2423350	Q5354426	father: their Q2423350 carries 6000000006444526591, ours is 6000000000350923523 | mother: their Q5354426 carries 6000000003883986396, ours is 6000000006444050262
Q133445401	6000000001654465278	noble Johanna Sofia Gripenstedt, lady of Målhammar manor, dowager of Tidö	Sofia Johanna Gripenstedt	6000000004171090875	6000000004171031623	Q727985	Q59637984	father: their Q727985 carries 6000000085483672967, ours is 6000000004171090875
Q101247643	6000000001777664885	Gertrud Nielsdotter av Tun	Ingeborg Siggesdotter Sparre	6000000001934304946	6000000001804461560	Q6054549	Q101247644	father: their Q6054549 carries 6000000001686323805, ours is 6000000001934304946 | mother: their Q101247644 carries 384960584920013762, ours is 6000000001804461560
