qid,en,initial,unambiguous,ja,ja_verdict,zh,zh_verdict,ko,ko_verdict,ru,ru_verdict,el,el_verdict,hi,hi_verdict,uk,uk_verdict,bg,bg_verdict,sr,sr_verdict,he,he_verdict,ar,ar_verdict,fa,fa_verdict,ta,ta_verdict
Q190770,Philip W. Anderson,W,1,フィリップ・アンダーソン,dropped,菲利普·安德森,dropped,필립 워런 앤더슨,expanded,Филип Уоррен Андерсон,expanded,Φίλιπ Άντερσον,dropped,फ़िलिप ऐंडरसन,dropped,Філіп Андерсон,dropped,Филип Уорън Андерсън,expanded,Филип Ворен Андерсон,expanded,פיליפ אנדרסון,dropped,فيليب أندرسون,dropped,فیلیپ وارن اندرسن,expanded,பிலிப் டபிள்யூ. ஆண்டர்சன்,expanded
Q191020,Gary S. Becker,S,1,ゲーリー・ベッカー,dropped,加里·贝克尔,dropped,게리 베커,dropped,Гэри Беккер,dropped,,no label,गैरी बेकर,dropped,Гері Беккер,dropped,Гери Бекър,dropped,Гари Бекер,dropped,גארי בקר,dropped,غاري بيكر,dropped,گری بکر,dropped,கேரி பெக்கர்,dropped
Q1911332,Maurice R. Greenberg,R,1,モーリス・R・グリーンバーグ,latin_initial,莫里斯·格林伯格,dropped,모리스 R. 그린버그,latin_initial,Морис Гринберг,dropped,,no label,,no label,,no label,,no label,,no label,,no label,موريس ر. غرينبيرغ,script_initial,موریس آر. گرینبرگ,script_initial,,no label
Q1914329,Maxwell R. Thurman,R,1,マクスウェル・R・サーマン,latin_initial,麦克斯韦·R·瑟曼,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ماكسويل ر. ثورمان,script_initial,ماکسول تورمن,dropped,,no label
Q1922193,Mervyn M. Dymally,M,0,マーヴィン・M・ディマリー,latin_initial,默文·迪馬利,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,מרווין דיימלי,dropped,,no label,,no label,,no label
Q192245,Susan B. Anthony,B,1,スーザン・B・アンソニー,latin_initial,苏珊·安东尼,dropped,수전 B. 앤서니,latin_initial,Сьюзен Энтони,dropped,Σούζαν Μπ. Άντονι,script_initial,सुसान बी. एंथनी,expanded,Сьюзен Ентоні,dropped,Сюзан Б. Антъни,script_initial,Сузан Б. Ентони,script_initial,סוזן ב. אנתוני,script_initial,سوزان أنتوني,dropped,سوزان آنتونی,dropped,சூசன் ப்ரவுன் அந்தோனி,expanded
Q192695,Leon M. Lederman,M,0,レオン・レーダーマン,dropped,利昂·萊德曼,dropped,리언 M. 레이더먼,latin_initial,Леон Макс Ледерман,expanded,Λέον Μαξ Λέντερμαν,expanded,लीयोन एम लीडरमन,expanded,Леон Ледерман,dropped,Лион Ледърман,dropped,Лион Ледермен,dropped,לאון לדרמן,dropped,ليون ليدرمان,dropped,لیان لدرمن,dropped,லியோன் மேக்ஸ் லேடர்மேன்,expanded
Q192715,Samuel C. C. Ting,C,0,サミュエル・ティン,dropped,丁肇中,dropped,새뮤얼 차오 충 팅,script_initial,Сэмюэл Тинг,dropped,,no label,सैमुअल सी सी टिंग,expanded,Семюел Тінг,dropped,Самюел Тинг,dropped,Семјуел Ч. Ч. Тинг,script_initial,סמואל טינג,dropped,صمويل تينج,dropped,ساموئل چائو چونگ تینگ,expanded,,no label
Q19282412,John M. Mason,M,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ميتشيل ماسون,dropped,,no label,,no label
Q1929672,Michael W. Young,W,1,マイケル・ヤング,dropped,迈克尔·扬,script_initial,마이클 W. 영,latin_initial,Майкл Янг,dropped,,no label,माइकल डब्ल्यू यंग,expanded,Майкл Янг,dropped,Майкъл Йънг,dropped,,no label,מייקל יאנג,dropped,مايكل يونغ,dropped,مایکل دبلیو. یانگ,expanded,மைக்கேல் வாரன் யங்,expanded
Q193009,Frank B. Kellogg,B,1,フランク・ケロッグ,dropped,弗兰克·B·凯洛格,latin_initial,프랭크 빌링스 켈로그,expanded,Фрэнк Биллингс Келлог,expanded,,no label,फ़्रैंक बिलिंग्स केलॉग,expanded,Френк Біллінґс Келлоґ,expanded,Франк Билингс Келог,expanded,,no label,פרנק קלוג,dropped,فرانك بيلينجز كيلوج,expanded,فرانک بی. کلاگ,script_initial,,no label
Q1934628,Miles C. Allgood,C,0,,no label,麥爾斯·C·奧爾古德,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q1934724,Milford W. Howard,W,1,,no label,米爾福德·W·霍華德,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q193503,Kenneth G. Wilson,G,1,ケネス・ウィルソン,dropped,肯尼斯·威爾森,dropped,케네스 G. 윌슨,latin_initial,Кеннет Вильсон,dropped,,no label,केनेथ जी विल्सन,expanded,Кеннет Геддес Вільсон,expanded,Кенет Уилсън,dropped,Кенет Г. Вилсон,script_initial,קנת וילסון,dropped,كينيث ويلسون,dropped,کنت ویلسن,dropped,,no label
Q1935893,Milton J. Daniels,J,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,میلتون جی. دنیلز,script_initial,,no label
Q1935952,Milton A. Wolf,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ميلتون أ. وولف,script_initial,,no label,,no label
Q19359605,Lee C. White,C,0,リー・C・ホワイト,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,لي ك. وايت,script_initial,لی سی. وایت,script_initial,,no label
Q19360671,Nat W. Washington,W,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,نات دبليو. واشنطن,expanded,,no label,,no label
Q1937373,William B. Franklin,B,1,ウィリアム・B・フランクリン,latin_initial,,no label,,no label,Уильям Франклин,dropped,,no label,,no label,,no label,,no label,,no label,,no label,ويليام بي. فرانكلين,script_initial,ویلیام بی. فرانکلین,script_initial,,no label
Q19423783,Henry A. Adams,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,هنري أ. آدامز,script_initial,,no label,,no label
Q1944867,Peter R. de Vries,R,1,ペーター・ルドルフ・デ・フリース,script_initial,皮特·R·德·弗利,latin_initial,페터르 R. 더프리스,latin_initial,Петер Р. де Врис,script_initial,,no label,,no label,,no label,,no label,,no label,,no label,بيتر رودولف دي فريس,expanded,پیتر ار د فریس,script_initial,,no label
Q19471824,Fred A. Howland,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,فرد أ. هاولاند,script_initial,,no label,,no label
Q194773,Ambrose E. B. Stephens,E,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,أمبروز إي. بي. ستيفنز,script_initial,,no label,,no label
Q1948752,Morton S. Wilkinson,S,1,,no label,,no label,모턴 S. 윌킨슨,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,מורטון וילקינסון,dropped,مورتون إس. ويلكينسون,script_initial,مورتون اس. ویلکینسون,script_initial,,no label
Q1949146,Moses E. Clapp,E,1,モーゼス・E・クラップ,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,מוזס א. קלאפ,script_initial,موسى إي. كلاب,script_initial,موزز ئی. کلپ,script_initial,,no label
Q1949227,Moses W. Field,W,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,موسى دبليو. فيلد,expanded,موزز دبلیو. فیلد,expanded,,no label
Q19502397,Gerald M. Friedman,M,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,جيرالد إم. فريدمان,script_initial,,no label,,no label
Q19502460,Guy W. Bailey,W,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,قاي دبليو. بيلي,expanded,,no label,,no label
Q19560169,Lucius E. Burch,E,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,لوسيوس بورش,dropped,,no label,,no label
Q19560297,Herman D. Crow,D,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,هيرمان دي. كرو,script_initial,,no label,,no label
Q19605014,Otto E. Adelborg,E,1,,no label,,no label,,no label,Отто Адельборг,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q19605252,Fred B. Wells,B,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,فرد بي. ولز,script_initial,,no label,,no label
Q19629735,Russell F. Schoengarth,F,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ראסל שיינגארת',dropped,راسل ف. شوينغارث,script_initial,,no label,,no label
Q19661707,Robert W. B. Elliott,W,1,ロバート・ウッドワード・バーンウェル・エリオット,expanded,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q1966467,Nathan B. Scott,B,1,ネイサン・B・スコット,latin_initial,,no label,,no label,Нейтан Скотт,dropped,,no label,,no label,,no label,,no label,,no label,נתן ב. סקוט,script_initial,ناثان بي. سكوت,script_initial,ناتان بی. اسکات,script_initial,,no label
Q1966536,Nathan F. Dixon I,F,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,נייתן דיקסון הראשון,expanded,ناثان إف. ديكسون الأول,script_initial,ناتان اف. دیکسون,script_initial,,no label
Q1966538,Nathan F. Dixon II,F,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,נייתן דיקסון השני,expanded,ناثان إف. ديكسون الثاني,script_initial,ناتان اف. دیکسون دوم,script_initial,,no label
Q1966635,Nathan S. Kline,S,1,ネイザン・S・クライン,latin_initial,內森·克萊恩,dropped,,no label,Натан Кляйн,dropped,,no label,,no label,,no label,,no label,,no label,,no label,ناثان إس. كلاين,script_initial,,no label,,no label
Q1966707,Nathaniel B. Baker,B,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ناثانيل بي. بيكر,script_initial,ناتانیل بی. بیکر,script_initial,,no label
Q1966712,Nathaniel B. Dial,B,1,ナサニエル・ダイアル,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,נתניאל ב. דייאל,script_initial,ناثانيل بي. دايل,script_initial,ناتانیل بی. دیال,script_initial,,no label
Q1966714,Nathaniel B. Smithers,B,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,נתנאל ב. סמית'רס,script_initial,,no label,,no label,,no label
Q1966716,Nathaniel S. Berry,S,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ناثانيل إس. بيري,script_initial,ناتانیل اس. بری,script_initial,,no label
Q19667594,Herman W. Hellman,W,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,הרמן הלמן,dropped,هيرمان دبليو. هيلمان,expanded,,no label,,no label
Q19668313,Charles F. Warwick,F,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,تشارلز إف. وارويك,script_initial,,no label,,no label
Q1967627,Hugo F. Sonnenschein,F,1,ヒューゴ・F・ソネンシャイン,latin_initial,,no label,,no label,Хьюго Зонненшайн,dropped,,no label,,no label,,no label,,no label,,no label,,no label,هوغو فريند سوننشاين,expanded,,no label,,no label
Q19702782,"Harold G. Bowen, Sr.",G,1,ハロルド・G・ボーウェン・シニア,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,هارولد جي. بوين سينيور,script_initial,,no label,,no label
Q19750449,Asahel C. Kendrick,C,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,أساهل س. كندريك,script_initial,,no label,,no label
Q1975383,David A. Kennedy,A,1,デビッド・A・ケネディ,latin_initial,戴维·肯尼迪,dropped,데이비드 A. 케네디,latin_initial,Дэвид Кеннеди,dropped,Ντέιβιντ Κένεντι,dropped,,no label,,no label,,no label,Дејвид Кенеди,dropped,דייוויד קנדי,dropped,ديفيد أ. كينيدي,script_initial,دیوید ای. کندی,script_initial,,no label
Q1976061,Augustus D. Juilliard,D,0,,no label,,no label,,no label,Огастас Джульярд,dropped,,no label,,no label,,no label,,no label,,no label,אוגוסטוס ד. ג'וליארד,script_initial,,no label,,no label,,no label
Q198179,David S. Garland,S,1,,no label,,no label,데이비드 S. 갈런드,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ديفيد إس. غارلاند,script_initial,,no label,,no label
Q1981938,Joseph T. McNarney,T,1,ジョセフ・T・マクナーニー,latin_initial,約瑟夫·T·肯尼迪,latin_initial,,no label,Джозеф Тэггэрт Макнерни,expanded,,no label,,no label,,no label,,no label,,no label,,no label,جوزيف ماكنارني,dropped,,no label,,no label
Q19832428,William M. Kramer,M,0,,no label,,no label,,no label,Уильям Крамер,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q19834675,Anson T. Hemingway,T,1,,no label,,no label,,no label,,no label,,no label,,no label,Енсон Т. Гемінґвей,script_initial,,no label,,no label,,no label,,no label,,no label,,no label
Q19867030,Sam E. Rork,E,1,,no label,,no label,,no label,Сэм Э. Рорк,script_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q19873496,Heber R. Bishop,R,1,,no label,,no label,,no label,Гебер Бишоп,dropped,,no label,,no label,,no label,,no label,,no label,,no label,هيبر ر. بيشوب,script_initial,,no label,,no label
Q1992440,Nils R. Müller,R,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,نيلس ر. مولر,script_initial,,no label,,no label
Q19974430,Edward L. Browne,L,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,إدوارد إل. براون,script_initial,,no label,,no label
Q19974509,Edmund C. Converse,C,0,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,إدموند س. كونفيرز,script_initial,,no label,,no label
Q19974948,Oscar A. Mitscher,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,آسکار متشر,dropped,,no label
Q19975037,Harvey L. Page,L,0,ハーヴェイ.L.ページ,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q1999656,Norman R. Hamilton,R,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,نورمان ر. هاميلتون,script_initial,نورمن آر. همیلتون,script_initial,,no label
Q2003225,William A. Niskanen,A,1,,no label,威廉斯·奈斯坎南,dropped,윌리엄 니스카넨,dropped,Уильям Нисканен,dropped,,no label,,no label,Вільям А. Нісканен,script_initial,Уилям Нисканен,dropped,,no label,,no label,,no label,,no label,,no label
Q200401,Antigonus I Monophthalmus,I,0,アンティゴノス1世,dropped,安提柯一世,dropped,안티고노스 1세,dropped,Антигон I Одноглазый,latin_initial,Αντίγονος ο Μονόφθαλμος,script_initial,,no label,Антигон I Одноокий,latin_initial,Антигон I Монофталм,latin_initial,Антигон I Монофталмос,latin_initial,אנטיגונוס מונופתלמוס,dropped,أنتيغونوس الأول مونوفثالموس,expanded,آنتیگون یکم,dropped,,no label
Q200470,Roger Y. Tsien,Y,1,ロジャー・Y・チエン,latin_initial,钱永健,dropped,로저 첸,script_initial,Роджер Тсиен,dropped,,no label,,no label,Роджер Цянь,dropped,Роджър Циен,dropped,Роџер Чен,dropped,רוג'ר טסיין,dropped,روجر تسيان,dropped,راجر تسین,dropped,ரோஜர் ஒய். சியன்,expanded
Q200480,John C. Underwood,C,0,,no label,约翰·C·安德伍德,latin_initial,존 C. 언더우드,script_initial,,no label,,no label,,no label,,no label,,no label,,no label,ג'ון אנדרווד,dropped,جون ك. أندروود,script_initial,جان سی. آندروود,script_initial,,no label
Q200516,James S. Boynton,S,1,,no label,詹姆斯·博因頓,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,ג'יימס בוינטון,dropped,جيمس إس. بوينتون,script_initial,,no label,,no label
Q200617,James T. Jones,T,1,,no label,詹姆斯·T·瓊斯,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,جيمس تي. جونز,script_initial,جیمز تی. جونز,script_initial,,no label
Q200719,John W. Dawson,W,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,جون دبليو. دوسن,expanded,جان دبلیو. داوسون,expanded,,no label
Q20101126,Maximí I Smassmann,I,0,,no label,,no label,,no label,,no label,Μαξιμιλιανός Ζμάσμαν,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q2010332,Leonard T. Gerow,T,1,レオナルド・ジロー,dropped,伦纳德·杰罗,dropped,레너드 T. 게로,latin_initial,,no label,,no label,,no label,Леонард Героу,dropped,,no label,,no label,לאונרד ג'רואו,dropped,,no label,لئونارد گرو,dropped,,no label
Q201470,Richard E. Taylor,E,1,リチャード・E・テイラー,latin_initial,理查·爱德华·泰勒,expanded,리처드 E. 테일러,latin_initial,Ричард Эдвард Тейлор,expanded,,no label,रिचार्ड इ टेलर,script_initial,Річард Тейлор,dropped,Ричард Тейлър,dropped,Ричард Е. Тејлор,script_initial,ריצ'רד טיילור,dropped,ريتشارد تيلور,dropped,ریچارد ادوارد تایلور,expanded,,no label
Q2016114,Ogden H. Hammond,H,1,オグデン・ハモンド,dropped,奧頓·H·哈蒙德,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q2017566,George T. Sakato,T,1,ジョージ・T・サカト,latin_initial,坂戶太郎,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q2020455,Oliver P. Snyder,P,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,أوليفر بي. سنايدر,script_initial,الیور پی. اسنایدر,script_initial,,no label
Q202140,Robert H. Grubbs,H,1,ロバート・グラブス,dropped,罗伯特·格拉布,dropped,로버트 그럽스,dropped,Роберт Граббс,dropped,,no label,रॉबर्ट हावर्ड ग्रुब्स,expanded,Роберт Граббс,dropped,Робърт Гръбс,dropped,Роберт Грабс,dropped,רוברט גרבס,dropped,روبرت غرابز,dropped,رابرت گرابز,dropped,,no label
Q202149,Martinus J. G. Veltman,J,1,マルティヌス・フェルトマン,dropped,马丁纽斯·韦尔特曼,dropped,마르티뉘스 펠트만,dropped,Мартинус Велтман,dropped,,no label,मार्टिनस जे. जी. वेल्टमैन,expanded,Мартінус Велтман,dropped,Мартинус Велтман,dropped,Мартинус Велтман,dropped,מרטינוס פלטמן,dropped,مارتينوس فيلتمان,dropped,مارتینیوس ولتمن,dropped,,no label
Q202159,Richard R. Schrock,R,1,リチャード・シュロック,dropped,理查德·施罗克,dropped,리처드 R. 슈록,latin_initial,Ричард Шрок,dropped,,no label,रिचर्ड आर सरोक,expanded,Річард Шрок,dropped,Ричард Шрок,dropped,,no label,ריצ'רד שרוק,dropped,ريتشارد شروك,dropped,ریچارد شراک,dropped,,no label
Q2023061,Omar D. Conger,D,0,オマー・D・コンガー,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,עומר קונגר,dropped,عمر دي. كونغور,script_initial,عمر دی. کنگر,script_initial,,no label
Q202854,Johnson K. Duncan,K,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,جونسون ك. دونكان,script_initial,جانسون کی. دانکن,script_initial,,no label
Q2031160,William J. Duane,J,1,ウィリアム・デュアン,dropped,威廉·约翰·杜安,expanded,,no label,Уильям Джон Дуэйн,expanded,,no label,,no label,Вільям Джон Дуейн,expanded,,no label,,no label,ויליאם ג'ון דואן,expanded,وليام جيه دوان,expanded,ویلیام جی. دوین,script_initial,,no label
Q2031553,William H. Woodin,H,1,ウィリアム・ウッディン,dropped,威廉·哈特曼·伍丁,expanded,,no label,Уильям Хартман Вудин,expanded,,no label,,no label,,no label,,no label,,no label,ויליאם הרטמן וודין,expanded,ويليام وودين,dropped,,no label,,no label
Q203167,James H. Brady,H,1,ジェイムズ・ブレイディ,dropped,,no label,제임스 H. 브레이디,latin_initial,Джеймс Генри Брэйди,expanded,,no label,,no label,,no label,,no label,,no label,ג'יימס בריידי,dropped,جيمس إتش. برادي,script_initial,جیمز اچ. بردلی,script_initial,,no label
Q203268,Michael C. Hall,C,0,マイケル・C・ホール,latin_initial,米高·C·賀爾,latin_initial,마이클 C. 홀,latin_initial,Майкл Си. Холл,script_initial,Μάικλ Κ. Χολ,script_initial,,no label,Майкл Голл,dropped,Майкъл Хол,dropped,Мајкл Си Хол,expanded,מייקל סי הול,expanded,مايكل ك. هول,script_initial,مایکل سی هال,expanded,,no label
Q2036138,Stuart M. Kaminsky,M,0,スチュアート・M・カミンスキー,latin_initial,,no label,,no label,Стюарт Камински,dropped,,no label,,no label,Стюарт Камінскі,dropped,,no label,,no label,סטיורא קמינסקי,dropped,ستيوارت إم. كامنسكي,script_initial,استوارت ام. کامینسکی,script_initial,,no label
Q2038012,Cadmus M. Wilcox,M,0,カドマス・M・ウィルコックス,latin_initial,卡德摩斯·M·威爾考斯,latin_initial,,no label,Кадмус Уилкокс,dropped,,no label,,no label,,no label,,no label,,no label,,no label,كادموس مارسيلوس ويلكوكس,expanded,,no label,,no label
Q2039492,Thomas R. Gold,R,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,תומאס ראגלס גולד,expanded,توماس ر. جولد,script_initial,توماس آر. گلد,script_initial,,no label
Q2039912,Charles A. Foote,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,צ'ארלס פוט,dropped,تشارلز أ. فووت,script_initial,,no label,,no label
Q204000,Frank T. Griswold,T,1,フランク・T・グリズウォルド,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q204124,Frank R. Gooding,R,1,フランク・グッディング,dropped,,no label,프랭크 R. 구딩,latin_initial,Фрэнк Роберт Гудинг,expanded,Φρανκ Ρόμπερτ Γκούντινγκ,expanded,,no label,,no label,,no label,,no label,פרנק גודינג,dropped,,no label,فرانک آر. گودینگ,script_initial,,no label
Q2042924,James E. Talmage,E,1,ジェームス・E・タルマッジ,latin_initial,,no label,,no label,Джеймс Эдвард Талмедж,expanded,,no label,,no label,,no label,Джеймз И. Талмадж,script_initial,,no label,,no label,جيمس إدوارد تالماج,expanded,,no label,,no label
Q2045555,Lawrence J. Hogan,J,1,,no label,劳伦斯·霍甘,dropped,,no label,Лоуренс Хоган,dropped,,no label,,no label,,no label,,no label,,no label,,no label,لورنس هوغن,dropped,لارنس هوگن,dropped,,no label
Q20486999,Horace L. Calvo,L,0,,no label,赫拉斯·L·卡爾沃,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q20511401,Vartan I. Vartanov,I,0,,no label,,no label,,no label,Вартан Иванович Вартанов,expanded,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q2052323,Paris C. Dunning,C,0,,no label,,no label,패리스 C. 더닝,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,פריס דנינג,dropped,باريس سي. دونينغ,script_initial,,no label,,no label
Q205353,James M. Buchanan,M,0,ジェームズ・M・ブキャナン,latin_initial,詹姆斯·M·布坎南,latin_initial,제임스 M. 뷰캐넌,latin_initial,Джеймс Макгилл Бьюкенен,expanded,,no label,,no label,Джеймс М. Б'юкенен,script_initial,Джеймс Бюканън,dropped,Џејмс М. Бјукенан,script_initial,ג'יימס מ. ביוקנן,script_initial,جيمس بوكنان جونيور,expanded,جیمز مک‌گیل بیوکنن,expanded,ஜேம்ஸ் எம். புக்கானன்,expanded
Q2059697,Paul G. Hatfield,G,1,ポール・G・ハットフィールド,latin_initial,,no label,폴 G. 햇필드,script_initial,,no label,,no label,,no label,,no label,,no label,,no label,פול ג. הטפילד,script_initial,بول ج هاتفيلد,script_initial,پل جی. هتفیلد,script_initial,,no label
Q2060793,Paul L. Patterson,L,0,,no label,,no label,,no label,Пол Линтон Паттерсон,expanded,,no label,,no label,,no label,,no label,,no label,פול פטרסון,dropped,باول إل. باترسون,script_initial,پل ال. پترسون,script_initial,,no label
Q20639940,Perry L. Adkisson,L,0,ペリー・L・アドキッソン,latin_initial,佩里·艾奇森,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,פרי אדקיסון,dropped,بيري إديكسون,dropped,,no label,,no label
Q20668053,Henry K. Lattin,K,1,ヘンリー・K・ラッティン,latin_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q206774,Reginar I Longneck,I,0,レニエ1世 (エノー伯),dropped,埃諾伯爵雷尼埃一世,dropped,,no label,Ренье I,latin_initial,Ρέγκιναρ Α΄ της Λωρραίνης,expanded,,no label,Регінар I (правитель Лотарингії),latin_initial,Регинхар I,latin_initial,,no label,,no label,ريغنار الأول طويل العنق,expanded,,no label,,no label
Q20684483,Robert M. Leeds,M,0,,no label,,no label,,no label,Роберт М. Лидс,script_initial,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q207,George W. Bush,W,1,ジョージ・W・ブッシュ,latin_initial,喬治·沃克·布什,expanded,조지 W. 부시,latin_initial,Джордж Буш — младший,expanded,Τζορτζ Μπους (νεότερος),expanded,जॉर्ज वॉकर बुश,expanded,Джордж Вокер Буш,expanded,Джордж Уокър Буш,expanded,Џорџ В. Буш,script_initial,ג'ורג' ווקר בוש,expanded,جورج بوش الابن,expanded,جورج دبلیو بوش,expanded,ஜார்ஜ் வாக்கர் புஷ்,expanded
Q20707607,Joseph D. Oliver,D,0,,no label,,no label,,no label,Джозеф Оливер,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q20708214,Edward A. Bradford,A,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,إدوارد أ. برادفورد,script_initial,,no label,,no label
Q207191,John C. Calhoun,C,0,ジョン・カルフーン,dropped,约翰·卡德威尔·卡尔霍恩,expanded,존 캘훈,script_initial,Джон Колдвелл Кэлхун,expanded,Τζον Κάλντγουελ Κάλχουν,expanded,,no label,Джон Колдвелл Келхун,expanded,Джон Колдуел Калхун,expanded,Џон К. Калхун,script_initial,ג'ון קלהון,dropped,جون كالهون,dropped,جان سی. کلهون,script_initial,,no label
Q20728446,Mykhaylo M. Bohomolets,M,0,,no label,,no label,,no label,Михаил Михайлович Богомолец,expanded,,no label,,no label,Богомолець Михайло Михайлович,expanded,,no label,,no label,,no label,,no label,,no label,,no label
Q2075069,Peter G. Gerry,G,1,ピーター・G・ゲリー,latin_initial,彼得·格里,dropped,,no label,,no label,,no label,,no label,,no label,,no label,,no label,פיטר ג'יי. ג'רי,expanded,بيتر جي. جيري,script_initial,پیتر جی. جری,script_initial,,no label
Q2075379,Peter H. Silvester,H,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,פיטר הנרי סילבסטר,expanded,,no label,,no label,,no label
Q2077150,Peter A. Munch,A,1,ペーター・アンドレアス・ムンク,expanded,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label
Q207992,Peter D. Mitchell,D,0,ピーター・ミッチェル,dropped,彼得·米切尔,dropped,피터 D. 미첼,latin_initial,Питер Деннис Митчелл,expanded,,no label,,no label,Пітер Денніс Мітчелл,expanded,Питър Денис Мичъл,expanded,Piter Mičel,dropped,פיטר מיטשל,dropped,بيتر ميتشل,dropped,پیتر دی میچل,expanded,,no label
Q2085915,Philemon T. Herbert,T,1,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,,no label,فليمون تي. هربرت,script_initial,,no label,,no label
