contrast	own	nbr_median	nbrs	birth	geni_id	name
6	2	8	2	1050	6000000200985107834	Ebles de Roucy
6	2	8	2	1050	6000000009304990315	
6	3	9	2	1068	6000000002187837557	Jaroslaw of Wladimir
6	2	8	2	1070	6000000002187823867	Giso IV von Gudensberg
6	4	10	2	1075	6000000211978301842	Lukarta z Bogenu
6	3	9	2	1075	6000000026163985290	NN of Loccum
6	2	8	2	1080	6000000001744971326	Emma de Blois-Champagne
6	1	7	2	1083	6000000002187746890	
6	1	7	2	1090	6000000002187746929	
6	4	10	2	1095	6000000211978602821	Břetislav Přemyslovec
6	3	9	2	1095	6000000003177885471	Élisabeth ou Alice Cecile de Nangis
6	4	10	2	1107	6000000002188021217	
6	1	7	2	1110	6000000093043192151	
6	3	9	2	1125	6000000003827921144	Berenguela de Queralt
6	6	12	2	1128	6000000036554976531	Jon Pedersen
6	1	7	2	1140	6000000008907497735	
6	8	14	2	1146	6000000076545243977	Theodora Kalusine Kantakouzene
6	1	7	2	1150	6000000185889948825	.... of Armenia
6	6	12	2	1162	6000000028806728955	Minna Buob
6	2	8	2	1162	6000000001500992091	Eudokia Komnene
6	1	7	2	1165	6000000185890399850	Rupen II of Armenia
6	1	7	2	1165	6000000003827902298	Guy de Vignory VI
6	1	7	2	1166	6000000007849693239	Adalbert van Leuven
6	4	10	2	1168	6000000005599075991	Morgan
6	1	7	2	1169	6000000052674875147	
6	1	7	2	1175	6000000009944903824	
6	6	12	2	1180	6000000001412918765	Nicolasa García Barba IV Señora de Castrofuerte
6	2	8	2	1180	6000000005222341104	Fernão Paes de Riba de Vizela
6	2	8	2	1180	6000000003827661007	
6	3	9	2	1185	6000000012770491308	Pelfort I (Pélifort ) de Rabastens
6	3	9	2	1185	6000000004868851441	Guilhem Raymond II des PINS
6	2	8	2	1187	6000000140223000978	Teresa Vasques
6	1	7	2	1190	6000000155198318876	Béatrice de Vignory
6	6	12	2	1197	6000000010668560033	Conrad Graf von Regenstein II
6	8	14	2	1205	6000000008477917059	Heinrich III von Wettin
6	2	8	2	1205	6000000003827657993	
6	2	8	2	1210	6000000016937991171	Elvira Baralha
