bucket	kind	name	occurrences	descriptions	qids
same romanisation	given	Viktoria	45	female given name | female given name (Βικτωρία)	Q18328177 | Q98558017
same romanisation	given	Timur	45	male given name | male given name (Тимур)	Q12376986 | Q60972253
same romanisation	family	LEE	44	Korean family name (이) | family name	Q11983535 | Q12794688
same romanisation	given	Eleazar	42	male given name | male given name (אלעזר)	Q2679054 | Q56446587
same romanisation	given	Mark	41	male given name (Марк) | male given name	Q100320817 | Q13610143
same romanisation	given	Natan	39	male given name (Натан) | male given name (נתן) | male given name	Q112199674 | Q31690613 | Q43531093
same romanisation	given	Valentin	38	male given name (Валентин) | male given name	Q28865131 | Q852779
same romanisation	given	Alexandra	38	female given name | female given name (Αλεξάνδρα)	Q6081128 | Q67757040
same romanisation	given	Shalom	35	male given name (Шалом) | given name	Q18407330 | Q20001228
same romanisation	given	Naomi	34	undifferentiated Japanese kana unisex given name (なおみ) | female given name	Q125829881 | Q18508449
same romanisation	given	JUAN	34	Chinese given name (娟) | male given name	Q110700065 | Q475210
same romanisation	given	Hassan	34	 | male given name	Q107178443 | Q16276444
same romanisation	given	Vera	34	female given name (Вера) | female given name	Q25999849 | Q659189
same romanisation	given	Filip	34	male given name (Филип) | male given name	Q59916845 | Q998338
same romanisation	given	Adrian	33	male given name | male given name (Адриан)	Q372250 | Q67636036
same romanisation	given	Jehan	33	male given name | female given name	Q19800591 | Q55503464
same romanisation	given	Andrey	32	male given name (Андрей) | male given name	Q15732892 | Q19803435
same romanisation	given	JOSE	32	male given name | female given name	Q19801116 | Q66827733
same romanisation	given	Viktor	31	male given name | male given name (Виктор) | male given name (Віктор)	Q16430022 | Q30106749 | Q65562114
same romanisation	given	Gleb	31	male given name | male given name (Глеб)	Q109483423 | Q3787148
same romanisation	given	Boris	28	male given name (Борис) | female given name | male given name	Q39314414 | Q61356723 | Q666112
same romanisation	given	Chava	28	female given name | female given name (חוה)	Q20000236 | Q31207471
same romanisation	given	Artur	28	male given name (Артур) | male given name	Q40204814 | Q4801582
same romanisation	family	Strauß	27	family name | family name	Q10450274 | Q15731389
same romanisation	family	Dal	27	family name (Даль) | family name	Q16726211 | Q30250614
same romanisation	given	Roald	27	male given name (Роальд) | male given name	Q130955134 | Q1646751
same romanisation	given	Cecil	26	male given name | female given name	Q15731759 | Q42424526
same romanisation	given	Yazid	26	male given name | given name	Q106653856 | Q29561457
same romanisation	given	Alexis	26	unisex given name | male given name (Αλέξης)	Q1558167 | Q97932949
same romanisation	given	Yuan	26	Chinese given name (源) | Chinese given name (元) | given name (淵/渊)	Q105426885 | Q97638464 | Q98072533
same romanisation	family	Reiss	25	family name | family name	Q15725918 | Q60170844
same romanisation	given	Vladislav	25	male given name | male given name (Владислав)	Q19826494 | Q945863
same romanisation	given	Thekla	25	female name (Θέκλα) | female given name	Q130760559 | Q21147318
same romanisation	given	Sylvester	25	male given name (Сильвестер) | male given name	Q112184683 | Q19828535
same romanisation	given	Nina	24	female given name (Ніна) | female given name | female given name (Нина)	Q102699251 | Q1508902 | Q29575688
same romanisation	given	Aleksandra	24	female given name | female given name (Александра)	Q16799796 | Q56682479
same romanisation	given	Chong	24	Chinese given name (寵 / 宠) | Chinese given name (崇)	Q108613217 | Q110906606
same romanisation	given	Konstantin	24	male given name (Константин) | male given name	Q31362405 | Q7111053
same romanisation	given	Rostislav	24	male given name (Ростислав) | male given name	Q104091997 | Q2167906
same romanisation	family	FitzGerald	23	family name | family name	Q16466739 | Q55550590
same romanisation	given	Yakov	23	male given name | male given name (Яков)	Q19802347 | Q544124
same romanisation	given	ke	23	Chinese given name (柯) | Chinese given name (克)	Q109636967 | Q96335547
same romanisation	given	Marian	23	female given name | male given name	Q20155725 | Q545486
same romanisation	family	TAN	22	Chinese family name (譚 / 谭) | family name (檀)	Q2354177 | Q65925905
same romanisation	given	Zaynab	22	female given name | female given name (زينب)	Q30125992 | Q8722488
same romanisation	given	Yaroslav	21	male given name | male given name (Ярослав)	Q16909612 | Q741
same romanisation	given	Gabriele	21	unisex given name | male given name | female given name	Q104804603 | Q17765515 | Q17765518
same romanisation	given	Georgia	21	female given name | female given name (Γεωργία)	Q378694 | Q97961511
same romanisation	given	Hóng	21	Chinese given name (泓) | Chinese given name (竑) | Chinese given name (閎)	Q124359413 | Q125230917 | Q134442991
same romanisation	family	Fitzgerald	20	family name | family name	Q16466739 | Q55550590
same romanisation	given	Michal	20	female given name | male given name | female given name (מיכל)	Q104771451 | Q18563993 | Q29037654
same romanisation	family	Hess	19	family name | family name	Q21482735 | Q57661293
same romanisation	given	Stella	19	female given name | female given name (Στέλλα)	Q773765 | Q97960571
same romanisation	given	JOSÉ	19	male given name | Portuguese male given name | Spanish male given name	Q2190619 | Q29043256 | Q29043257
same romanisation	family	Levin	18	family name | family name (Левин)	Q14959634 | Q48874254
same romanisation	given	Dmitry	18	male given name (Дмитрий) | male given name	Q19002866 | Q84648014
same romanisation	given	Wen	18	Chinese given name (聞 / 闻) | unisex given name (文)	Q106967901 | Q94957241
same romanisation	given	Yong	18	Chinese given name (顒 / 颙) | Chinese given name (永) | Chinese given name (勇)	Q105643363 | Q96098690 | Q96343718
same romanisation	given	Basil	18	male given name | male given name (باسل)	Q4926514 | Q60576346
same romanisation	given	Shì	18	Chinese given name (昰) | Chinese given name (是) | Chinese given name (軾 / 轼)	Q125243355 | Q125257677 | Q125314511
same romanisation	given	Michele	17	given name | male given name | female given name	Q12901049 | Q18620536 | Q18620539
same romanisation	given	Bogdan	17	male given name | male given name (Богдан)	Q1065625 | Q47537720
same romanisation	given	Yù	17	Chinese given name (愈) | Chinese given name (昱)	Q124420985 | Q124613799
same romanisation	given	Veronika	16	female given name (Вероніка) | female given name | female given name (Вероника)	Q111605607 | Q18218258 | Q63124171
same romanisation	given	Chéng	16	Chinese given name (呈) | Chinese given name (澂)	Q124811832 | Q125313959
same romanisation	given	Oleg	16	male given name (Олег) | male given name	Q18523982 | Q370292
same romanisation	given	Itzhak	15	male given name | male given name (יצחק)	Q20088014 | Q35746561
same romanisation	given	Da	15	Chinese given name (大) | Chinese given name (達 / 达)	Q96251258 | Q97640111
same romanisation	given	Qi	15	Chinese given name (期) | Chinese given name (啓 / 啟 / 启) | Chinese given name (祺)	Q106913784 | Q106918722 | Q110820391
same romanisation	given	Igor	14	male given name | male given name (Игорь)	Q26214577 | Q28038713
same romanisation	given	Lin	14	Chinese given name (林) | unisex given name | Chinese given name (臨 / 临)	Q112982039 | Q20001920 | Q96350670
same romanisation	given	Heng	14	Chinese given name (亨) | Chinese given name (恆 / 恒) | Chinese given name (衡)	Q105622419 | Q105622731 | Q107096979
same romanisation	given	DE	14	Korean given name element 데 | Chinese given name (德)	Q69523565 | Q94627855
same romanisation	given	Lín	14	Chinese given name (麟) | Chinese given name (鄰 / 邻) | Chinese given name (麐)	Q124446136 | Q124651203 | Q125262525
same romanisation	given	Yīng	14	Chinese given name (英) | Chinese given name (瑛)	Q94957785 | Q96095943
same romanisation	given	Wang	13	Chinese given name (旺) | Chinese given name (汪) | Chinese given name (望)	Q105652164 | Q105660548 | Q105660725
same romanisation	given	MANUEL	13	male given name | male given name (Μανουήλ)	Q11113719 | Q98497161
same romanisation	given	Myron	12	male given name (Мирон) | male given name	Q110834744 | Q18607970
same romanisation	given	Valentina	12	female given name | female given name (Валентина)	Q13589249 | Q61053921
same romanisation	given	Tang	12	Chinese given name (堂) | Chinese given name (唐)	Q110868275 | Q96748303
same romanisation	given	Vasilisa	12	female given name (Васіліса) | female given name (Василиса)	Q111944147 | Q2362713
same romanisation	given	Yú	12	Chinese female given name (妤) | Chinese given name (俞) | Chinese given name (魚 / 鱼)	Q110732615 | Q124540674 | Q125274663
same romanisation	given	Bohdan	12	male given name (Богдан) | male given name	Q102271378 | Q15877163
same romanisation	given	Qǐ	12	Chinese given name (玘) | Chinese given name (綺 / 绮) | Chinese given name (棨)	Q125018899 | Q125145778 | Q125147902
same romanisation	given	Bibi	12	female given name | male given name	Q65258015 | Q856260
same romanisation	given	Isidora	11	female given name | female given name (Исидора)	Q16773436 | Q54555380
same romanisation	given	Dan	11	Chinese given name (旦) | male given name | Chinese given name (丹)	Q105460561 | Q2487038 | Q97573280
same romanisation	given	Lev	11	male given name | male given name (Лев)	Q1745228 | Q42373577
same romanisation	given	Andrei	11	male given name | male given name (Андрэй)	Q19850904 | Q27568750
same romanisation	given	Demetrios	11	male given name | male given name (Δημήτριος)	Q19803788 | Q30127367
same romanisation	given	Su	11	female given name | Chinese given name (素)	Q20001413 | Q94794239
same romanisation	given	Guan	11	Chinese given name (觀 / 观) | Chinese given name (灌) | Chinese given name (冠)	Q105453700 | Q97651912 | Q98496778
same romanisation	given	Yury	10	male given name (Юрий) | male given name (Юрый)	Q30465251 | Q3627558
same romanisation	given	Petar	10	male given name | male given name (Петар)	Q12798587 | Q97362242
same romanisation	given	Terje	10	male given name | female given name	Q11074303 | Q65261327
same romanisation	given	Uta	10	Japanese unisex given name (詩) | female given name	Q136384969 | Q1770991
same romanisation	given	Xī	10	Chinese given name (曦) | Chinese given name (熹)	Q108502661 | Q125370745
same romanisation	family	Landa	9	family name | Cyrillic family name (Ланда)	Q15052031 | Q62603262
same romanisation	given	Antonina	9	female given name (Антоніна) | female given name | female given name (Антонина)	Q104025438 | Q1961700 | Q67858050
same romanisation	given	Alison	9	male given name | female given name	Q110929819 | Q16154105
same romanisation	given	Ken	9	Japanese male given name (健) | male given name	Q125372580 | Q2645657
same romanisation	given	Nestor	9	male given name (Нестор) | male given name (Νέστωρ) | male given name	Q102270838 | Q102335246 | Q1417705
same romanisation	given	Lì	9	Chinese given name (力) | Chinese given name (勵 / 励)	Q104440010 | Q124719067
same romanisation	given	Zhu	9	Chinese given name (柷) | Chinese given name (珠)	Q105623546 | Q96096110
same romanisation	given	He	9	Chinese given name (和) | Chinese given name (鶴 / 鹤)	Q96251284 | Q98399536
same romanisation	given	Sheng	9	Chinese given name (勝 / 胜) | Chinese given name (盛)	Q106844969 | Q96637385
same romanisation	family	Moon	8	family name | Korean family name (문)	Q16877383 | Q18128173
same romanisation	family	Gross	8	family name | family name	Q14290163 | Q57645534
same romanisation	given	Azriel	8	male given name (עזריאל) | given name	Q115864918 | Q95586455
same romanisation	given	Gun	8	Chinese given name (袞) | Chinese given name (衮) | female given name	Q134586905 | Q134587140 | Q1796041
same romanisation	given	Irena	8	female given name (Ірена) | female given name	Q112651058 | Q11977502
same romanisation	given	Ioannis	8	male given name | male given name (Ιωάννης)	Q10303410 | Q58827213
same romanisation	given	Nikolas	8	male given name | male given name (Νικόλας)	Q16423029 | Q97619413
same romanisation	given	Ze'ev	8	male given name | male given name (זאב)	Q169279 | Q87768670
same romanisation	given	Ai	8	undifferentiated Japanese kana female given name (あい) | Chinese given name (艾)	Q2827747 | Q96184711
same romanisation	given	Jī	8	Chinese given name (機 / 机) | Chinese given name (璣 / 玑)	Q124652511 | Q125148979
same romanisation	given	María	8	male given name | female given name	Q109785195 | Q18088640
same romanisation	given	Lu	8	Chinese given name (璐) | Chinese given name (祿 / 禄) | unisex given name	Q110920895 | Q96464390 | Q96464446
same romanisation	given	Wu	8	Chinese given name (午) | Chinese given name (悟) | Chinese given name (武)	Q96620501 | Q96756044 | Q97653045
same romanisation	given	Yoshiko	8	Japanese female given name (良子) | undifferentiated Japanese kana female given name (よしこ)	Q123631361 | Q8056135
same romanisation	family	Romanov	7	family name (Романов) | family name	Q10854295 | Q28753162
same romanisation	family	Tan	7	Chinese family name (譚 / 谭) | family name (檀)	Q2354177 | Q65925905
same romanisation	family	Shimazu	7	Japanese family name (島津, しまず) | Japanese family name (島津, しまづ) | family name	Q21489162 | Q26231124 | Q81730867
same romanisation	family	Park	7	family name | Korean family name (박)	Q20007284 | Q715935
same romanisation	given	Mù	7	Chinese given name (牧) | Chinese given name (穆)	Q125342584 | Q22809411
same romanisation	given	Tai	7	Chinese given name (泰) | Chinese given name (臺 / 台)	Q106967904 | Q96195237
same romanisation	given	Chan	7	Chinese given name (蟾) | Chinese given name (瀍)	Q104253015 | Q105623209
same romanisation	given	Elli	7	female given name | female given name (Έλλη)	Q16423167 | Q98550203
same romanisation	given	Leonidas	7	male given name | male given name (Λεωνίδας)	Q20001911 | Q98467656
same romanisation	given	Xiù	7	Chinese given name (綉 / 绣) | Chinese given name (繡 / 绣) | Chinese given name (秀)	Q124625587 | Q124625622 | Q96384095
same romanisation	given	Zong	7	Chinese given name (總 / 总) | Chinese given name (宗)	Q96195485 | Q96251267
same romanisation	given	Liang	7	Chinese given name (亮) | Chinese given name (諒 / 谅)	Q27895328 | Q96483232
same romanisation	given	Harun	7	male given name | male given name (هارون)	Q66615290 | Q66618381
same romanisation	given	Raina	7	female given name | female given name (Райна)	Q16292470 | Q28914650
same romanisation	family	Heß	6	family name | family name	Q21482735 | Q57661293
same romanisation	family	Macdonald	6	family name | family name	Q2778569 | Q52984204
same romanisation	family	Hayashi	6	Japanese family name (林) | family name	Q279372 | Q65683742
same romanisation	given	Isabela	6	female given name | female given name (Изабела)	Q20002178 | Q98602804
same romanisation	given	Fumiko	6	Japanese female given name (文子) | undifferentiated Japanese kana female given name (ふみこ)	Q116187612 | Q5508575
same romanisation	given	Miron	6	male given name | male given name (Мирон)	Q18607973 | Q54603424
same romanisation	given	Maya	6	female given name (Майя) | female given name	Q81213437 | Q935522
same romanisation	given	jose	6	male given name | female given name	Q19801116 | Q66827733
same romanisation	given	Gu	6	Chinese given name (固) | Korean given name element 구	Q110868297 | Q69515056
same romanisation	given	Juri	6	male given name | undifferentiated Japanese kana unisex given name (じゅり)	Q18932166 | Q28599877
same romanisation	given	Zhao	6	Chinese given name (肇) | Chinese given name (照) | Chinese given name (昭)	Q106967903 | Q96748282 | Q97500755
same romanisation	given	Ting	6	Chinese given name (庭) | Chinese given name (霆) | Chinese given name (珽)	Q104326227 | Q104738919 | Q110872941
same romanisation	given	Bǐng	6	Chinese given name (柄) | Chinese given name (昺)	Q124422476 | Q125243499
same romanisation	given	Jiǎn	6	Chinese given name (簡 / 简) | Chinese given name (翦)	Q106860106 | Q125312568
same romanisation	given	Fang	6	Chinese given name (芳) | given name | Chinese given name (放)	Q81422241 | Q96274249 | Q96637386
same romanisation	given	Yè	6	Chinese given name (曄 / 晔) | Chinese given name (葉 / 叶) | Chinese given name (液)	Q105623425 | Q125145080 | Q125147500
same romanisation	given	Fǔ	6	Chinese given name (甫) | Chinese given name (撫 / 抚)	Q124622160 | Q124940293
same romanisation	given	Jí	6	Chinese given name (佶) | Chinese given name (極 / 极)	Q125188805 | Q125319074
same romanisation	given	Jiàn	6	Chinese given name (鑒 / 鉴) | Chinese given name (建)	Q125121169 | Q96251282
same romanisation	given	Ding	6	Chinese given name (定) | Chinese given name (鼎)	Q104474302 | Q107645320
same romanisation	given	Hua	6	Chinese given name (化) | Chinese given name (華 / 华)	Q110941082 | Q94984870
same romanisation	given	Ran	6	Chinese given name (然) | unisex given name	Q104376683 | Q9303943
same romanisation	given	Dui	5	Chinese given name (兌 / 兑) | Chinese given name (對 / 对)	Q110834712 | Q110834881
same romanisation	given	Nikita	5	male given name (Никита) | unisex given name	Q39291804 | Q4964037
same romanisation	given	Mitsuko	5	Japanese female given name (光子) | undifferentiated Japanese kana female given name (みつこ)	Q123936410 | Q1666942
same romanisation	given	Mao	5	given name (髦) | male given name	Q16278931 | Q24034953
same romanisation	given	Qiān	5	Chinese given name (遷 / 迁) | Chinese given name (千)	Q124640612 | Q96374446
same romanisation	given	Tine	5	female given name | male given name	Q13138335 | Q28750872
same romanisation	given	Ru	5	Chinese given name (儒) | Chinese given name (如)	Q108858810 | Q96479518
same romanisation	given	Jiā	5	Chinese given name (嘉) | Chinese given name (佳)	Q105627507 | Q108576077
same romanisation	given	Ke	5	Chinese given name (柯) | Chinese given name (克)	Q109636967 | Q96335547
same romanisation	given	Aleksandr	5	male given name (Александр) | male given name	Q17501806 | Q45087221
same romanisation	given	juan	5	Chinese given name (娟) | male given name	Q110700065 | Q475210
same romanisation	given	Yáo	5	Chinese given name (繇) | Chinese given name (瑤 / 瑶) | Chinese given name (謠 / 谣)	Q124633079 | Q124668715 | Q124852980
same romanisation	family	Mackay	4	family name | family name	Q21506751 | Q63978307
same romanisation	given	Ekaterina	4	female given name | female given name (Екатерина)	Q109260192 | Q17317988
same romanisation	given	Kira	4	female given name (Кира) | female given name	Q66459346 | Q971245
same romanisation	given	Eleni	4	female given name | female given name (Ελένη)	Q19760437 | Q56447880
same romanisation	given	Rena	4	female given name (Ρένα) | female given name	Q137900363 | Q21387363
same romanisation	given	Jiu	4	Chinese given name (舊 / 旧) | Chinese given name (九)	Q105446046 | Q96251242
same romanisation	given	Rae	4	unisex given name | Korean given name element 래	Q16258208 | Q69513165
same romanisation	given	Ksenia	4	female given name | female given name (Ксения)	Q20743915 | Q43979833
same romanisation	given	Uliana	4	female given name | female given name (Ульяна)	Q104621297 | Q15731689
same romanisation	given	Dimitri	4	male given name | male given name (Димитрий)	Q18337978 | Q39936578
same romanisation	given	Marko	4	male given name (Марко) | male given name	Q104162424 | Q17520952
same romanisation	given	Cong	4	Chinese given name (聰 / 聪) | Chinese given name (琮)	Q104551491 | Q111517528
same romanisation	given	Danila	4	female given name | male given name (Данила)	Q12787291 | Q60050793
same romanisation	given	Rong	4	Chinese given name (榮 / 荣) | Chinese given name (鎔 / 镕) | Chinese given name (容)	Q106871296 | Q124453795 | Q96099576
same romanisation	given	Xuán	4	Chinese given name (璿) | Chinese given name (琁)	Q124668744 | Q124984153
same romanisation	given	Kūn	4	Chinese given name (琨) | Chinese given name (昆)	Q124692701 | Q124818548
same romanisation	given	Zōngyì	4	Chinese given name (宗義 / 宗义) | Chinese given name (宗益)	Q125087194 | Q125255941
same romanisation	given	Mì	4	Chinese given name (秘) | Chinese given name (泌)	Q124633510 | Q125246644
same romanisation	given	MARIE	4	undifferentiated Japanese kana female given name (まりえ) | unisex given name	Q106674406 | Q632104
same romanisation	given	Xīn	4	Chinese female given name (欣) | Chinese given name (辛) | Chinese given name (新)	Q106757325 | Q125352503 | Q66363498
same romanisation	given	Zhou	4	Chinese given name (洲) | Chinese given name (周) | Chinese given name (舟)	Q96384126 | Q96465847 | Q96623645
same romanisation	given	Er	4	Chinese given name (二) | Chinese given name (耳)	Q96177603 | Q96181790
same romanisation	given	Xu	4	Chinese given name (徐) | Chinese given name (煦)	Q108531574 | Q125188208
same romanisation	given	Nobuko	4	undifferentiated Japanese kana female given name (のぶこ) | Japanese female given name (信子)	Q517366 | Q65683697
same romanisation	given	Kan	4	Chinese given name (堪) | Chinese given name (坎) | Japanese male given name (寛)	Q106879621 | Q110843959 | Q123738883
same romanisation	given	Gang	4	Chinese given name (剛 / 刚) | Korean given name element (강)	Q106764171 | Q69514036
same romanisation	given	Shēng	4	Chinese given name (升) | Chinese given name (昇)	Q106879609 | Q106879610
same romanisation	given	Zeng	4	Chinese given name (增) | given name | Chinese given name (曾)	Q108470944 | Q108471076 | Q110935772
same romanisation	given	Yelena	4	female given name (Елена) | female given name	Q21147717 | Q8051464
same romanisation	given	MARTIN	4	male given name (Мартин) | male given name	Q118322765 | Q18002399
same romanisation	given	Yī	4	Chinese given name (衣) | Chinese given name (一)	Q124856430 | Q94545234
same romanisation	given	Malika	4	female given name | female given name (मालिका)	Q1933102 | Q47531470
same romanisation	given	Maryna	4	female given name (Марина) | female given name	Q104089558 | Q20035740
same romanisation	given	Tamara	4	female given name (Тамара) | female given name	Q35063233 | Q936646
same romanisation	given	marie	4	undifferentiated Japanese kana female given name (まりえ) | unisex given name	Q106674406 | Q632104
same romanisation	given	Máximo	4	male given name | male given name	Q20000642 | Q4475314
same romanisation	given	MARÍA	4	male given name | female given name	Q109785195 | Q18088640
same romanisation	given	dan	4	Chinese given name (旦) | male given name | Chinese given name (丹)	Q105460561 | Q2487038 | Q97573280
same romanisation	given	bibi	4	female given name | male given name	Q65258015 | Q856260
same romanisation	family	PANG	3	family name (逄) | Chinese family name (庞 / 龐)	Q17061634 | Q869739
same romanisation	family	Long	3	family name | Chinese family name (龍 / 龙)	Q10786776 | Q2772822
same romanisation	family	de Vries	3	family name | family name	Q1180481 | Q83345792
same romanisation	family	Reiß	3	family name | family name	Q15725918 | Q60170844
same romanisation	family	Takeda	3	Japanese family name (竹田, たけだ) | Japanese family name (武田, たけだ)	Q18642402 | Q1981031
same romanisation	family	MacKenzie	3	family name | family name	Q13553907 | Q59196750
same romanisation	family	Gotō	3	Japanese family name (五島) | Japanese family name (五藤) | Japanese family name (五嶋)	Q26448008 | Q27308129 | Q47092374
same romanisation	given	HASSAN	3	 | male given name	Q107178443 | Q16276444
same romanisation	given	Angelos	3	male given name | male given name (Άγγελος)	Q20001305 | Q97931938
same romanisation	given	Jie	3	Chinese given name (傑) | Chinese given name (節 / 节) | Chinese given name (解)	Q94088958 | Q96631723 | Q96757013
same romanisation	given	AHMAD	3	male given name (أحمد) | male given name	Q406294 | Q48980148
same romanisation	given	Xù	3	Chinese given name (旭) | Chinese given name (序)	Q106858177 | Q124416547
same romanisation	given	MARGARITA	3	female given name | female given name (Маргарита) | female given name (Μαργαρίτα)	Q6760124 | Q90921226 | Q98544741
same romanisation	given	ali	3	Arabic male given name | male given name	Q11905003 | Q96652184
same romanisation	given	Tóng	3	Chinese given name (桐) | Chinese given name (同)	Q124635107 | Q96251259
same romanisation	given	Yán	3	Chinese given name (嚴 / 严) | Chinese given name (延)	Q124807169 | Q96251245
same romanisation	given	anne	3	male given name | female given name	Q47860848 | Q564684
same romanisation	given	Ayako	3	Japanese female given name (絢子) | undifferentiated Japanese kana female given name (あやこ)	Q123863949 | Q9163133
same romanisation	given	Dūn	3	Chinese given name (惇) | Chinese given name (墩)	Q106855781 | Q124845255
same romanisation	given	ISIDORA	3	female given name | female given name (Исидора)	Q16773436 | Q54555380
same romanisation	given	Luca	3	male given name | unisex given name | female given name	Q12795232 | Q1872944 | Q66132642
same romanisation	given	ze	3	Chinese given name (則 / 则) | Chinese given name (澤 / 泽)	Q105627078 | Q96098353
same romanisation	given	Remi	3	undifferentiated Japanese kana female given name (れみ) | unisex given name	Q134596807 | Q20001985
same romanisation	given	Kazuko	3	Japanese female given name (和子) | undifferentiated Japanese kana female given name (かずこ)	Q131616817 | Q1737555
same romanisation	given	IDA	3	female given name (Ида) | female given name	Q12632824 | Q644599
same romanisation	given	margarita	3	female given name | female given name (Маргарита) | female given name (Μαργαρίτα)	Q6760124 | Q90921226 | Q98544741
same romanisation	given	Hisako	3	undifferentiated Japanese kana female given name (ひさこ) | Japanese female given name (久子)	Q11709847 | Q123581576
same romanisation	given	Akiko	3	Japanese female given name (章子) | Japanese female given name (彰子) | undifferentiated Japanese kana female given name (あきこ)	Q65680027 | Q65680030 | Q9143413
same romanisation	family	Itō	2	Japanese family name (伊東) | Japanese family name (伊藤)	Q24090534 | Q6500676
same romanisation	family	Sono	2	Japanese family name (増野) | Japanese family name (園)	Q27305935 | Q99476781
same romanisation	family	Du	2	family name with Chinese character 都 | Chinese family name (杜)	Q13391603 | Q709747
same romanisation	family	Jin	2	Chinese family name (靳) | Chinese family name (金)	Q15930682 | Q718600
same romanisation	family	Saga	2	family name | Japanese family name (嵯峨)	Q39043345 | Q39241556
same romanisation	family	Jung	2	family name | Korean family name (정)	Q1158639 | Q16255538
same romanisation	family	Fang	2	family name (方) | Chinese surname (房) | family name	Q10908506 | Q11075460 | Q18419656
same romanisation	family	Abe	2	Japanese family name (安倍) | Japanese family name (阿部)	Q18645909 | Q26000282
same romanisation	given	Miroslava	2	female given name | female given name (Мирослава)	Q923005 | Q97671906
same romanisation	given	Ilya	2	male given name | male given name (Илья)	Q1096462 | Q31440338
same romanisation	given	MARK	2	male given name (Марк) | male given name	Q100320817 | Q13610143
same romanisation	given	Mariya	2	female given name (Мария) | female given name	Q39897333 | Q96653024
same romanisation	given	Wo	2	Chinese given name (渥) | Chinese given name (沃)	Q105423945 | Q96465710
same romanisation	given	Michiko	2	Japanese female given name (美智子) | undifferentiated Japanese kana female given name (みちこ)	Q123554714 | Q6837886
same romanisation	given	Takahito	2	Japanese male given name (尊仁) | undifferentiated Japanese kana male given name (たかひと)	Q124282841 | Q7677080
same romanisation	given	ALI	2	Arabic male given name | male given name	Q11905003 | Q96652184
same romanisation	given	zvi	2	male given name | male given name (צבי)	Q231342 | Q55362931
same romanisation	given	Pu	2	Chinese male given name (溥) | Chinese given name (朴) | Chinese given name (樸 / 朴)	Q104374146 | Q124980556 | Q124980747
same romanisation	given	ELVIRA	2	female given name (Эльвира) | female given name	Q107452025 | Q3051870
same romanisation	given	Julija	2	female given name | female given name (Јулија)	Q22814348 | Q59157114
same romanisation	given	Kuò	2	Chinese given name (适) | Chinese given name (擴 / 扩)	Q105622521 | Q125217287
same romanisation	given	Wǎn	2	Chinese given name (琬) | Chinese given name (晚)	Q125132775 | Q125145757
same romanisation	given	Fán	2	Chinese given name (繁) | Chinese given name (凡)	Q125153937 | Q96775627
same romanisation	given	Lun	2	Chinese given name (倫 / 伦) | Chinese given name (輪 / 轮)	Q95354001 | Q96933259
same romanisation	given	Fei	2	Chinese given name (飛 / 飞) | Chinese given name (非)	Q96240522 | Q96933195
same romanisation	given	Qiang	2	Chinese given name (強 / 强) | Chinese given name (彊)	Q65117911 | Q97655412
same romanisation	given	Harri	2	male given name (Гаррі) | male given name	Q110623323 | Q1586107
same romanisation	given	Tomoko	2	Japanese female given name (智子) | undifferentiated Japanese kana female given name (ともこ)	Q135721597 | Q7820151
same romanisation	given	Shou	2	Chinese given name (收) | Chinese given name (綬 / 绶) | Chinese given name (壽 / 寿)	Q104513933 | Q110880200 | Q96464392
same romanisation	given	Yǎn	2	Chinese given name (偃) | Chinese given name (琰)	Q124388777 | Q125132946
same romanisation	given	Zhēng	2	Chinese given name (徵 / 征) | Chinese given name (征) | Chinese given name (錚 / 铮)	Q110660254 | Q110830362 | Q125103539
same romanisation	given	Davit	2	male given name | male given name (დავით)	Q80544471 | Q83143826
same romanisation	given	Masayoshi	2	Japanese male given name (正義) | undifferentiated Japanese kana male given name (まさよし)	Q64785813 | Q6782780
same romanisation	given	Biao	2	Chinese given name (表) | Chinese given name (彪)	Q106855783 | Q97675350
same romanisation	given	Grigory	2	male given name | male given name (Григорий)	Q21034742 | Q5609054
same romanisation	given	Tadayoshi	2	Japanese male given name (忠良) | undifferentiated Japanese kana male given name (ただよし)	Q140435217 | Q7674406
same romanisation	given	Kui	2	Chinese given name (夔) | Chinese given name (馗)	Q105641637 | Q105685273
same romanisation	given	Xián	2	Chinese given name (諴 / 𫍯) | Chinese given name (賢 / 贤)	Q125165877 | Q94549313
same romanisation	given	Reuven	2	male given name | male given name (ראובן)	Q1112068 | Q28946544
same romanisation	given	Ze	2	Chinese given name (則 / 则) | Chinese given name (澤 / 泽)	Q105627078 | Q96098353
same romanisation	given	TEODORA	2	female given name | female given name (Теодора)	Q221215 | Q58214565
same romanisation	given	FEI	2	Chinese given name (飛 / 飞) | Chinese given name (非)	Q96240522 | Q96933195
same romanisation	given	Masao	2	Japanese male given name (正雄) | undifferentiated Japanese kana male given name (まさお)	Q110677745 | Q1906744
same romanisation	given	Ami	2	unisex given name | male given name	Q3614182 | Q55399768
same romanisation	family	Guī	1	family name (歸 / 归) | Chinese family name (圭)	Q11125185 | Q65925787
same romanisation	family	Dai	1	Chinese surname (戴) | Chinese family name (代)	Q1929446 | Q65925722
same romanisation	family	Rong	1	Chinese family name (容) | Chinese family name (戎) | Chinese surname Rong 榮/荣 (pinyin: Róng)	Q10951026 | Q11074442 | Q4181640
same romanisation	family	STRAUSS	1	family name | family name	Q10450274 | Q15731389
same romanisation	family	Pines	1	family name (Пинес) | family name	Q136525852 | Q37446518
