qid,geni_id,label,country
Q11731007,6000000023387279273,Józef Muczkowski,Duchy of Warsaw
Q117316444,350478173910001204,Zipora Atzmon,Israel
Q1173550,6000000059868242046,David Allan Bromley,United States
Q1173583,6000000006250896438,Dagobert Arian,Germany
Q11736061,6000000176534821845,Karol Górski,Poland
Q11737799,6000000028085740152,Kazimierz Demel,Poland
Q11738275,6000000008403152052,Kazimierz Rogoyski,Poland
Q11738286,6000000026187895601,Kazimierz Rouppert,
Q1173959,6000000126451069822,David Cesarani,United Kingdom
Q1174233,6000000000847596628,David Diringer,United Kingdom
Q11742956,6000000175060126262,Konstanty Porcyanko,Russian Empire
Q1174600,6000000009870155112,David Gregory,Kingdom of Great Britain
Q117471189,6000000017635781054,Andre Nataf,France
Q1174751,6000000042927624852,David Holde,German Reich
Q11749702,6000000026215452166,Krzysztof Staniecki,Poland
Q1175373,6000000040361501823,David Mervyn Blow,United Kingdom
Q1176136,6000000078419793004,David Pines,United States
Q11763684,6000000078596441896,Ludwik Bierkowski,Poland
Q1176429,6000000008473911665,David Runge,Germany
Q11765291,6000000017837706838,Maciej Bernhardt,Poland
Q11765399,6000000180437727831,Maciej Jakubowski,Poland
Q1176826,6000000103171089938,David Theodosius Lehmann,Germany
Q11769430,6000000014695657099,Marian Henryk Serejski,Poland
Q11769614,6000000035389673233,Marian Piech,Poland
Q1177172,6000000040410067210,David Wilhelm Warnekros,Germany
Q11771780,6000000076164811096,Maurycy Madurowicz,
Q1177380,6000000019602493049,David de Wied,Kingdom of the Netherlands
Q11775261,6000000083206231862,Josef Vaverka,Czechoslovakia
Q117763,6000000157934539841,Giuseppe Caspar Mezzofanti,Republic of Venice
Q11778348,6000000011318545831,Michael Hahn,Germany
Q11779197,6000000026284012331,Michał Rękas,Poland
Q11781156,6000000156216433864,Milan Jovanović Batut,Austrian Empire
