geni_id,qid,geni_cjk_name,wikidata_ja,wikidata_zh,wikidata_ko,wikidata_en
6000000075344599837,Q45421319,迺 深州安平 | 迺 深州安平 二,,崔迺,,Cui Nai
6000000075344601259,Q45419814,益 河南洛陽 | 益 河南洛陽 一,,于益,,Yu Yi
6000000075344611864,Q45421268,昌容 深州安平 | 昌容 深州安平 一,,崔昌容,,Cui Changrong
6000000075344611925,Q45484686,混之 博陵安平,,崔混之,,Cui Hunzhi
6000000075344614920,Q45420918,道泠 博陵安平,,崔道泠,,Cui Daoling
6000000075344615821,Q45421109,弘峻 博陵安平 | 弘峻 博陵安平 三,,崔弘峻,,Cui Hongjun
6000000075344619836,Q45420608,標 博陵安平 | 標 博陵安平 一,,崔標,,Cui Biao
6000000075344620821,Q5192716,祐甫 貽孫 博陵安平,,崔祐甫,,Cui Youfu
6000000075344624863,Q17239943,鑒 神具 博陵安平 | 鑒 神具 博陵安平 二,崔鑑,崔鉴,,Cui Jian
6000000075344640850,Q20063233,仲哲 博陵安平 | 仲哲 博陵安平 三,,崔仲哲,,Cui Zhongzhe
6000000075344642853,Q45421257,曠 博陵安平 | 曠 博陵安平 一,,崔旷,,Cui Kuang
6000000075344644378,Q45460755,若虛 范陽涿縣,,盧若虛,,Lu Ruoxu
6000000075344644534,Q45421317,國倚 范陽涿縣,,盧國倚,,Lu Guoyi
6000000075344654841,Q45421271,琯 深州安平,崔琯,崔琯,,Cui Guan
6000000075344656979,Q712060,璟 邢州南和,宋璟,宋璟,,Song Jing
6000000075344662837,Q45421285,球 深州安平 | 球 深州安平 六,,崔球,,Cui Qiu
6000000075344672919,Q45554691,務 邢州南和,,宋務本,,Song Wuben
6000000075344676183,Q45419788,曠 河南洛陽 | 曠 河南洛陽 九,,于曠,,Yu Kuang
6000000075344682835,Q28410330,綽 茂祖 博陵安平,,崔绰,,Cui Chao
6000000075344692833,Q18908514,器 深州安平,崔器,崔器,,Cui Qi
6000000075344702854,Q45420892,君昭 博陵安平 | 君昭 博陵安平 一,,崔君昭,,Cui Junzhao
6000000075344705284,Q45419830,大猷 徽本 京兆高陵,,于大猷,,Yu Dayou
6000000075344709827,Q26197265,連 博陵安平 | 連 博陵安平 一,,崔连,,Cui Lian
6000000075344716821,Q45422563,寶德 博陵安平,,崔寶德,,Cui Baode
6000000075344719952,Q45419577,陟 清河武城 | 陟 清河武城 二,,崔陵,,Cui Ling
6000000075344720515,Q11581516,奕 范陽涿縣 | 奕 范陽涿縣 二,盧奕,盧奕,,Lu Yi
6000000075344722996,Q45437464,崇素 遵禮 清河武城,崔崇素,崔崇素,,Cui Chongsu
