geni_id	qid	property	ours	theirs	apart	their_referenced	their_rank	their_other_values
6000000003493012136	Q134986494	P25	Q134986346	Q134986352	structural	no	normal	0
6000000003493266132	Q134986496	P22	Q134986491	Q5860561	structural	no	normal	0
6000000003493266132	Q134986496	P25	Q134986346	Q134986352	structural	no	normal	0
6000000003493266276	Q134986498	P22	Q134986491	Q5860561	structural	no	normal	0
6000000003493266276	Q134986498	P25	Q134986346	Q134986352	structural	no	normal	0
6000000004559785731	Q134986499	P22	Q134986490	Q5860561	structural	no	normal	0
6000000004559785731	Q134986499	P25	Q134986346	Q134986352	structural	no	normal	0
6000000004559963690	Q134986500	P22	Q134986490	Q5860561	structural	no	normal	0
6000000004559963690	Q134986500	P25	Q134986346	Q134986352	structural	no	normal	0
6000000004560031059	Q134986501	P22	Q134986490	Q5860561	structural	no	normal	0
6000000004560031059	Q134986501	P25	Q134986346	Q134986352	structural	no	normal	0
6000000007150889075	Q134986621	P22	Q134986617	Q5860561	structural	no	normal	0
6000000007150889075	Q134986621	P25	Q116004572	Q116004576	structural	no	normal	0
6000000025597166084	Q134986622	P22	Q134986617	Q5860561	structural	no	normal	0
6000000025597166084	Q134986622	P25	Q116004572	Q116004576	structural	no	normal	0
6000000025597463924	Q134986623	P22	Q134986617	Q5860561	structural	no	normal	0
6000000025597463924	Q134986623	P25	Q116004572	Q116004576	structural	no	normal	0
6000000002247834869	Q1351773	P569	997	1007	10	yes	normal	0
6000000011668279801	Q135217816	P570	1440	1430	10	no	normal	0
6000000001323506976	Q1357094	P569	1080	1100	20	no	normal	0
6000000023075969975	Q136356401	P570	2 FEB 1555	1550	5	no	normal	0
6000000002043182579	Q1363727	P26	Q75102200	Q75384506	structural	yes	normal	0
6000000081438841916	Q136744721	P570	1870	1899	29	yes	normal	0
6000000001045491041	Q1367604	P569	825	830, 840	15	no	normal	1
6000000001045491041	Q1367604	P570	894	900	6	yes	preferred	1
6000000007453766619	Q13702	P569	1370	1398	28	yes	normal	0
6000000007453766619	Q13702	P570	1430	1469	39	yes	normal	0
6000000002043195487	Q1371805	P569	830	825	5	no	normal	0
6000000000736830679	Q137796884	P25	Q235657	Q259267	structural	no	normal	0
6000000023793282200	Q138302787	P569	1419	1500	81	no	normal	0
6000000019170443311	Q138857934	P570	14 MAY 1947	2019	72	yes	normal	0
6000000002906786257	Q139674111	P569	1785	1789	4	no	normal	0
6000000006445388038	Q1397779	P569	1529	1537	8	yes	normal	0
6000000008948181213	Q1410655	P569	400	450	50	yes	normal	0
6000000008059993700	Q1423	P26	Q239314	Q239010	structural	yes	normal	0
6000000010249948712	Q1424	P569	30 NOV 8	30	22	yes	preferred	1
6000000003827470068	Q1431725	P569	1160	1200	40	yes	normal	0
6000000010331432922	Q1438630	P26	Q227976	Q116474013	structural	no	normal	0
6000000010569656543	Q1446	P26	Q232380	Q238151	structural	no	normal	0
6000000014595647234	Q1446615	P569	DEC 1515	1526	11	yes	normal	0
6000000005735680561	Q1453147	P569	1640	1645	5	yes	normal	0
6000000004533173415	Q1460005	P570	26 JUN 1129	1125	4	yes	normal	1
6000000001412929958	Q14643112	P569	1060	1001	59	yes	normal	0
6000000003645870469	Q152626	P570	-12	-28	16	yes	normal	0
6000000002187891758	Q1527378	P569	1027	1020	7	no	normal	0
6000000006727876082	Q15615597	P22	Q2632610	Q41514	structural	yes	normal	0
6000000006727876082	Q15615597	P25	Q2241510	Q2616032	structural	no	normal	0
6000000000351094258	Q157918	P570	-1290	-1279	11	yes	normal	0
6000000003790013542	Q15823958	P569	1134	1100	34	yes	normal	0
6000000075060861895	Q15914382	P570	733	761	28	no	normal	0
6000000021151556917	Q15926320	P570	566	585	19	yes	normal	0
6000000003827611157	Q15966933	P22	Q376662	Q114121156	structural	no	normal	0
6000000004533196497	Q15975197	P569	1270	1265	5	yes	normal	0
6000000004533196497	Q15975197	P570	24 MAR 1333	1327	6	no	normal	0
6000000003166417414	Q16063657	P569	1145	1150	5	yes	normal	0
6000000012653535544	Q16075300	P26	Q135273782	Q65800160	structural	yes	normal	0
6000000002134787037	Q1609951	P570	28 DEC 995	980, 985	10	no	normal	1
6000000000437016471	Q16199842	P570	743	723	20	yes	normal	0
6000000012502759517	Q16203434	P569	12	50	38	yes	normal	0
6000000012502759517	Q16203434	P570	63	100	37	no	normal	0
3080341	Q1621801	P569	1110	1200	90	no	normal	0
3080341	Q1621801	P570	1175	1200	25	no	normal	0
6000000001195536539	Q1642655	P569	1210	1200	10	yes	normal	0
6000000001065449177	Q16428399	P25	Q75384586	Q2722233	structural	yes	normal	0
6000000008173864486	Q165479	P570	17 MAR 461	500	39	no	preferred	2
6000000002212152431	Q16584942	P570	27 MAY 1039	1044	5	no	normal	0
6000000074750574043	Q16603665	P570	864	851	13	no	normal	0
6000000003645853653	Q168261	P569	1 JAN 367	-365	732	yes	preferred	4
6000000075327286466	Q16904310	P570	528	488	40	yes	normal	0
6000000006727800485	Q1690982	P569	1524	1520	4	no	normal	0
6000000002188021418	Q1694708	P570	1305	1316	11	yes	normal	0
6000000069667500925	Q1695403	P570	18 APR 1945	1940	5	no	normal	0
