qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q45403860	6000000074768773201	Zhong Ya	no	no		0
Q45403861	6000000074768919055	Zhong Shun	no	no	P40	0
Q45403863	6000000074769315828	Zhong Fu	no	no	P22,P40	0
Q45403864	6000000074768515291	Zhong Yun	no	no	P22,P40	0
Q45403865	6000000074767548357	Zhong Dan	no	no	P22	0
Q45403867	6000000074769317839	Zhong Jiangzhi	no	no	P22,P25,P40	0
Q45403869	6000000074769116887	Zhong Yizhi	no	no	P22	0
Q45403870	6000000074768792296	Zhong Ying	no	no	P22,P40	0
Q45403871	6000000074768916103	Ge Shixin	no	no	P40	0
Q45403873	6000000074769159962	Ge Wenchang	no	no	P22	0
Q45403874	6000000074769261912	Ge Wenzai	no	no	P22	0
Q45403876	6000000074768932066	Pu Yi	no	no	P40	0
Q45403877	6000000074769345825	Pu Changling	no	no	P22,P40	0
Q45403878	6000000074768990930	Pu Wei	no	no	P22,P40	0
Q45403879	6000000074768798217	Pu Gu	no	no	P22	0
Q45403880	6000000074769308848	Pu Yaoren	no	no	P22,P25	0
Q45403883	6000000074769042931	Pu Yaozhang	no	no	P22,P25,P40	0
Q45403885	6000000074769070971	Pu Kaizong	no	no	P22	0
Q45403887	6000000074769335827	Zhu Wenwei	no	no	P40	0
Q45403890	6000000074768648245	Zhu Jin	no	no	P22,P40	0
Q45403891	6000000074769092921	Zhu Hun	no	no	P22,P40	0
Q45403892	6000000074768984055	Zhu Boxiong	no	no	P22,P25	0
Q45403893	6000000074769159982	Cheng Zhun	no	no	P40	0
Q45403895	6000000074769231922	Cheng Zhong	no	no	P22,P40	0
Q45403896	6000000074769166990	Cheng Jun	no	no	P22,P40	0
Q45403898	6000000074768434270	Cheng Qianli	no	no	P22,P25	0
Q45403899	6000000074727804958	Wang Chang	no	no	P40	0
Q45403901	6000000074727970860	Wang Jingwen	no	no	P22,P40	0
Q45403903	6000000074768854281	Wang Shiyin	no	no		0
Q45403904	6000000074705283970	Wang Qianzhi	no	no	P22	0
Q45403906	6000000074769176940	Yuan Guangmin	no	no	P40	0
Q45403908	6000000074769302864	Yuan Yurong	no	no	P22,P40	0
Q45403910	6000000074769306892	Yuan Shi	no	no	P22,P40	0
Q45403911	6000000074768484368	Yuan Guan	no	no	P22,P25	0
Q45403913	6000000074768845082	Chen Zhang	no	no	P40	0
Q45403914	6000000074769006110	Chen Shou	no	no	P22,P40	0
Q45403916	6000000074768784189	Chen Bangyan	no	no	P22,P40	0
Q45403918	6000000074769208910	Chen Jingguo	no	no	P22,P25	0
Q45403920	6000000074684940247	Chen Zheng	no	no	P40	0
Q45403921	6000000074685207959	Chen Gongquan	no	no	P22,P40	0
Q45403923	6000000074685082135	Chen Tianjun	no	no	P22,P40	0
Q45403924	6000000074769239879	Tong Yan	no	no	P40	0
Q45403926	6000000074768786119	Tong Dayao	no	no	P22,P40	0
Q45403928	6000000074769379835	Tong Ding	no	no	P22,P40	0
Q45403929	6000000074769374843	Tong Yongbin	no	no	P22,P25	0
Q45403932	6000000074769374849	Jiang Zhongren	no	no	P40	0
Q45403933	6000000074769364847	Jiang Yuanwei	no	no	P22,P40	0
Q45403935	6000000074769313008	Jiang Yi	no	no	P22,P40	0
Q45403936	6000000074769564836	Jiang Xianke	no	no	P22,P25	0
Q45403937	6000000074769616831	Wang Da	no	no	P40	0
Q45403938	6000000074769207101	Wang Gui	no	no	P22,P40	0
Q45403940	6000000074768326703	Wang Dexian	no	no	P22,P40	0
Q45403941	6000000074769443935	Wang Kangnian	no	no	P22,P25	0
Q45403943	6000000074768911186	He Xin	no	no	P40	0
Q45403947	6000000074769432931	He Man	no	no	P22,P40	0
Q45403948	6000000074769207108	He Shen	no	no	P22,P40	0
Q45403950	6000000074769249001	He Yong	no	no	P22,P25	0
Q45403951	6000000074769145073	Gao Mian	no	no	P40	0
Q45403953	6000000074769443946	Gao You	no	no	P22,P40	0
Q45403954	6000000074769455909	Gao Hu	no	no	P22,P40	0
