qid	latin	ja	zh
Q2159436	Roberto Bianchi Montero	ロベルト・ビアンキ・モンテーロ	
Q215944	Tore André Flo	トーレ・アンドレ・フロー	托雷·安德烈·弗洛
Q215947	Siegfried Kasche	ジークフリート・カッシェ	西格弗里德·卡舍
Q21595	Edwin Grant Conklin	エドウィン・コンクリン	
Q215955	Otto Rühle	オットー・リュウレ	奥托·吕尔
Q215958	Bertrand Goldberg	バートランド・ゴールドバーグ	
Q215959	John Pemberton	ジョン・ペンバートン	约翰·彭伯顿
Q215961	Franz Hermann Schulze-Delitzsch	ヘルマン・シュルツェ＝デーリチュ	
Q215964	Charles Loewner	チャールズ・レヴナー	查尔斯·娄威纳
Q215965	Johann Tobias Mayer		約翰·托比亞斯·梅耶爾
Q215967	Salomon Bochner	サロモン・ボホナー	薩洛蒙·博赫納
Q215968	Jan Žižka	ヤン・ジシュカ	扬·杰式卡
Q2159729	Robin Carnahan		罗宾·卡纳汉
Q215974	Gábor Szegő	セゲー・ガーボル	加博爾·塞格
Q215976	Patricia Arquette	パトリシア・アークエット	帕特里夏·阿奎特
Q215978	Walter Mischel	ウォルター・ミシェル	沃尔特·米歇尔
Q215979	Johann Beckmann	ヨハン・ベックマン	
Q215981	Fritz Bauer	フリッツ・バウアー	佛列茲·鮑爾
Q215982	Paul Ben-Haim	パウル・ベン＝ハイム	保罗·本-海姆
Q21598562	Johannes von Watteville	ヨハネス・フォン・ヴァットヴィル	
Q215986	Lipman Bers	リップマン・バース	利普曼·伯斯
Q215988	Herzog Carl Christian von Sachsen	カール・フォン・ザクセン	薩克森的卡爾
Q215996	James Francis Edward Keith	ジェームズ・キース	
Q216013	Christian Gottfried Körner	クリスティアン・ゴットフリート・ケルナー	
Q2160202	Adrian Edmondson	エイドリアン・エドモンドソン	阿德·埃德蒙森
Q216021	Joseph Burg	ヨーゼフ・ブルク	优素福·布尔格
Q216025	Friedrich Hecker	フリードリヒ・ヘッカー	弗雷德里希·黑克
Q2160300	Rochus Friedrich Lynar	ローフス・フリードリヒ・ツー・リナール	
Q2160344	Virgilio Giotti	ヴィルジリオ・ジョッティ	
Q216049	Conrad Beissel		康拉德·拜塞尔
Q216051	Charlie Watts	チャーリー・ワッツ	查理·沃茨
Q21605298	Ralph Bruce Verney		第五代男爵拉尔夫·维尼爵士
Q216060	Franz Carl Weiskopf		佛兰梯塞克·魏斯柯普夫
Q216063	Charlotte Corday	シャルロット・コルデー	夏绿蒂·科黛
Q21606424	João Marcello Bôscoli	ジョアン・マルセロ・ボスコリ	
Q216070	Arnold Genthe	アーノルド・ジェンス	
Q21607881	Friedrich Joseph Schelver	フランツ・シェルヴァー	
Q216080	Emile Zuckerkandl		埃米尔·扎克坎德
Q21608011	Sir Denis Browne	デニス・ブラウン	
Q2160835	Eleanor de Clare	エレノア・ド・クレア	
Q2160989	Roden Noel	ローデン・ノーエル	
Q21609981	William Codman Sturgis	ウィリアム・コッドマン・スタージス	
Q216100	Ian Anderson	イアン・アンダーソン	伊恩·安德森
Q216109	Richard von Kühlmann	リヒャルト・フォン・クールマン	理查·馮·庫爾曼
Q216120	Anton Wilhelm von L'Estocq	アントン・ヴィルヘルム・フォン・レストック	安东·威廉·冯·莱斯托克
Q216124	Stonewall Jackson	ストーンウォール・ジャクソン	石墙杰克逊
Q216129	Herbert Kitchener	ホレイショ・ハーバート・キッチナー	赫伯特·基奇纳，第一代基奇纳伯爵
Q216133	Magnus Friedrich von Bassewitz	マグヌス・フリードリヒ・フォン・バッセヴィッツ	
Q216134	Upton Sinclair	アプトン・シンクレア	厄普顿·辛克莱
Q216135	Hans Habe	ハンス・ハーベ	
Q216141	Eva Zeisel	エヴァ・ザイゼル	伊娃·蔡塞尔
Q2161581	Oliver Messel	オリヴァー・メッセル	奧利佛·梅塞爾
Q2161599	Roger Babson	ロジャー・バブソン	羅傑·巴布森
Q216160	Jeremy Clarkson	ジェレミー・クラークソン	杰里米·克拉克森
Q2161601	Roger Atkinson Pryor		羅傑·阿特金森·普賴爾
Q2161618	Charles W. Jones	チャールズ・W・ジョーンズ	
Q2161623	Roger Bootle-Wilbraham	ロジャー・ブートル＝ワイブラハム	
Q2161628	Roger D. Branigin	ロジャー・ブラニギン	
Q216163	Francis Daniel Pastorius		法蘭西斯·丹尼爾·帕斯透瑞斯
Q2161647	Roger C. Peace	ロジャー・ピース	
Q2161654	Roger Chorley	ロジャー・チョーリー	
Q2161657	Roger Clinton Jr.	ロジャー・クリントン・ジュニア	
Q2161663	Roger Conant		羅傑·科南特
Q2161758	Roger Furse	ロジャー・K・ファーズ	羅格·K·弗斯
Q2161781	Henry Ephron	ヘンリー・エフロン	亨利·艾芙隆
Q216179	Bryan Ferry	ブライアン・フェリー	布莱恩·菲里
Q2161885	Roger Shattuck	ロジャー・シャタック	羅傑·夏塔克
Q2161949	Roger Wolcott	ロジャー・ウォルコット	
Q216195	Tom Wolfe	トム・ウルフ	汤姆·沃尔夫
Q216199	Gunther Plaut	グンター・プラウト	冈瑟·普劳特
Q21620789	Austin Cindric	オースティン・シンドリック	
Q21621668	Rachel Keller	レイチェル・ケラー	瑞秋·凯勒
Q21621919	Post Malone	ポスト・マローン	波兹·马龙
Q21621948	Skip Marley	スキップ・マーリー	跳躍·馬利
Q21621996	Christian McCaffrey	クリスチャン・マカフリー	克里斯蒂安·麦卡弗里
Q216221	Steve Carell	スティーヴ・カレル	史提夫·卡尔
Q21622909	Stine Skogrand		斯蒂娜·斯科格兰
Q21623	Alicia Ostriker	アリシア・オストライカー	艾丽西亚·奥斯特莱克
Q21623063	Jayson Tatum	ジェイソン・テイタム	傑森·塔圖姆
Q216231	Gerhard von Keußler	ゲルハルト・フォン・コイスラー	
Q216259	Karl Anselm von Thurn und Taxis	カール・アンゼルム・フォン・トゥルン・ウント・タクシス	卡爾·安瑟爾姆
Q216277	Edgar von Westphalen	エドガー・フォン・ヴェストファーレン	埃德加·冯·威斯特华伦
Q216284	Friedrich von Pourtalès	フリードリヒ・フォン・プルタレス	
Q216288	Garth Brooks	ガース・ブルックス	加斯·布鲁克斯
Q2162905	Roland Leighton	ロナルド・レイトン	羅蘭·雷頓
Q216298	Nicky Hilton	ニッキー・ヒルトン	妮琪·希尔顿
Q216300	Johann Ludwig von Wallmoden-Gimborn	ヨハン・ルートヴィヒ・フォン・ヴァルモーデン＝ギンボルン	
Q216311	Hans Georg von Mackensen	ハンス・ゲオルグ・フォン・マッケンゼン	汉斯·马肯森
Q216318	Oliver Smithies	オリヴァー・スミティーズ	奥利弗·史密西斯
Q2163197	José María Plácido Caamaño		何塞·普拉西多·卡马尼奥
Q216324	Johannes Fibiger	ヨハネス・フィビゲル	约翰尼斯·菲比格
Q216341	Connie Francis	コニー・フランシス	康妮·弗朗西丝
Q2163531	Rolf Kralovitz	ロルフ・クラロフィッツ	
Q216355	Karl Egon II von Fürstenberg		卡尔·埃贡二世
Q2163817	Rolf Smedvig	ロルフ・スメドヴィック	
Q216398	Alan Sillitoe	アラン・シリトー	亞倫·西利托
Q216406	Edward Burne-Jones	エドワード・バーン＝ジョーンズ	伯恩·琼斯
Q216409	Ludwig Marcuse	ルートヴィヒ・マルクーゼ	路德维希·马尔库塞
Q2164102	Maurice Paléologue	モーリス・パレオローグ	毛里斯·巴列奥洛格
Q216418	Louis of Nassau-Saarbrücken	ルートヴィヒ (ナッサウ＝ザールブリュッケン侯)	拿騷-薩爾布魯根親王路德維希
Q2164449	Scrapper Blackwell	スクラッパー・ブラックウェル	
Q21644676	Pyotr Petrovich Tolstoy	ピョートル・ペトロヴィチ・トルストイ	
Q216450	Mercedes Sosa	メルセデス・ソーサ	梅赛德斯·索萨
Q2164620	Roman Hruska	ローマン・ルスカ	罗曼·鲁斯卡
Q2164638	Leander Schlegel	レアンダー・シュレーゲル	施蘭德
Q2164702	William Richard Gowers		威廉·理查德·高尔斯
Q2164731	Isaac Witkin		艾萨克·威特金
Q216478	Italo Svevo	イタロ・ズヴェーヴォ	伊塔洛·斯韦沃
Q216480	Max Oppenheimer	マックス・オッペンハイマー	
Q2165146	Ron McKernan	ロン・ピッグペン・マッカーナン	罗恩·“猪舍”·麦克南
Q21652215	Stella Chen Landauer		陳翠玉
Q2165336	Romulus Mitchell Saunders		羅穆勒斯·米謝爾·桑達士
Q216539	Hugo Gutmann	ヒューゴ・グートマン	胡戈·古特曼
Q2165407	Ron Barber		榮·巴勃
Q216547	Sam Houston	サミュエル・ヒューストン	山姆·休斯敦
Q2165499	Ron W. Miller	ロナルド・W・ミラー	罗恩·米勒
Q2165584	Ronald Cross	ロナルド・クロス (初代准男爵)	
Q216563	Paul Anka	ポール・アンカ	保罗·安卡
Q2165631	Ronald Garvey		羅納德·加維
Q2165643	Ronald Howard	ロナルド・ハワード	
Q216569	Roy Scheider	ロイ・シャイダー	罗伊·谢德
Q2165697	R. M. Foster	ロナルド・フォスター	
Q216576	Jakob Klatzkin	ヤーコプ・クラツキン	
Q216582	Filippo Tommaso Marinetti	フィリッポ・トンマーゾ・マリネッティ	菲利波·托马索·马里内蒂
Q216590	Walter Grab		沃尔特·格拉布
Q216594	Ed Miliband	エド・ミリバンド	埃德·米利班德
Q216596	Georg Varrentrapp	ゲオルク・ファレントラップ	
Q216607	Solomon Loeb	ソロモン・ローブ	所罗门·勒布
Q216608	Bob Geldof	ボブ・ゲルドフ	鲍勃·格尔多夫
Q216630	Valdemar IV of Denmark	ヴァルデマー4世	瓦尔德玛四世
Q216631	Johannes Kaempf	ヨハネス・ケンプフ	约翰内斯·坎普夫
Q21664372	Herbert Grove Dorsey		赫伯特·格羅夫·多爾西
Q21664427	Arthur Ellis Franklin	アーサー・エリス・フランクリン	
Q21664473	Sheldon M. Griswold	シェルドン・マンソン・グリスウォルド	
Q21664611	K. T. Keller	K・T・ケラー	
Q21664617	John Gordon Kennedy	ジョン・ゴードン・ケネディ	
Q21664732	Richard Aldrich McCurdy	リチャード・アルドリッチ・マッカーディ	
Q21664991	Katherine Stieglitz	キャサリン・スティーグリッツ	
Q216656	Victor Hollaender	ヴィクトール・ホーレンダー	
Q21666041	Alice Acheson		艾丽斯·艾奇逊
Q21666711	Raffaello Celommi	ラファエッロ・チェロンミ	
Q216692	Ludvig Holberg	ルズヴィ・ホルベア	路維·郝爾拜
Q216694	Dietrich von Jagow	ディートリヒ・フォン・ヤゴウ	
Q21669887	Angelo Menozzi	アンジェロ・メノッツィ	
Q216703	Wilhelm Thöny	ヴィルヘルム・テニー	
Q216708	Liam Gallagher	リアム・ギャラガー	连恩·盖勒格
Q216713	Boris Gidaspov	ボリス・ギダスポフ	
Q216723	Ronald Fisher	ロナルド・フィッシャー	罗纳德·费希尔
Q216726	Ed White	エドワード・ホワイト	爱德华·怀特
Q21672723	Marcelle Mallet	メール マルセル・マレ	
Q216738	Maja Einstein	マーヤ・アインシュタイン	
Q216766	Francisco I. Madero	フランシスコ・マデロ	弗朗西斯科·马德罗
Q216787	David I of Scotland	デイヴィッド1世	大卫一世
Q216789	John III of Portugal	ジョアン3世	若昂三世
Q2168025	Joanna of Hainaut	ジャンヌ・ド・エノー	埃諾的讓娜
Q216809	Paul Cohen	ポール・コーエン	保罗·寇恩
Q216811	John Venn	ジョン・ベン	约翰·维恩
Q216812	Vito Volterra	ヴィト・ヴォルテラ	维多·沃尔泰拉
Q216813	Ryszard Kapuściński	リシャルト・カプシチンスキ	雷沙德·卡普钦斯基
Q216838	Robert Southey	ロバート・サウジー	罗伯特·骚塞
Q21686831	Hugh Burdett Money-Coutts		休·伯德特·莫尼-库茨，第六代拉蒂默男爵
Q216870	Samuel Barber	サミュエル・バーバー	塞缪尔·巴伯
Q216872	Tobias Asser	トビアス・アッセル	托比亚斯·阿赛尔
Q216873	Pierre Puvis de Chavannes	ピエール・ピュヴィス・ド・シャヴァンヌ	皮埃尔·皮维·德·夏凡纳
Q216874	Eugene Merle Shoemaker	ユージン・シューメーカー	尤金·舒梅克
Q216896	L. Ron Hubbard	L・ロン・ハバード	L·罗恩·哈伯德
Q216904	Aleksis Kivi	アレクシス・キヴィ	阿莱克西斯·基维
Q216913	Deryck Whibley	デリック・ウィブリー	德里克·惠布利
Q216924	Glenn Gould	グレン・グールド	格连·古尔德
Q216932	Ingvar Kamprad	イングヴァル・カンプラード	英格瓦·坎普拉德
Q21693366	Evelyn Boscawen	イヴリン・ボスコーウェン	
Q216936	Sean Combs	ショーン・コムズ	尚恩·库姆斯
Q21693925	Randall Davey	ランドール・デイヴィー	
Q2169403	Princess Herzeleide of Prussia	ヘルツェライデ・フォン・プロイセン	普魯士的 Herzeleide 公主
Q216943	Jacobo Árbenz	ハコボ・アルベンス・グスマン	哈科沃·阿文斯·古斯曼
Q216946	Charles Borromeo	カルロ・ボッロメーオ	圣嘉禄
Q2169480	Inge Janssen	インゲ・ヤンセン	英厄·扬森
Q216954	Abdul-Baha	アブドゥルバハー	阿博都巴哈
Q216958	Joseph Fouché	ジョゼフ・フーシェ	约瑟夫·富歇
Q2170038	Margarita Maza		玛格丽塔·马萨
Q217004	Josh Hutcherson	ジョシュ・ハッチャーソン	乔许·哈却森
Q217033	Jane Russell	ジェーン・ラッセル	珍·罗素
Q217044	Franz Berwald	フランツ・アドルフ・ベルワルド	弗朗兹·贝瓦尔德
Q2170507	Terry Teruo Kawamura	テリー・テルオ・カワムラ	泰瑞·河村
Q21705828	John Seely		第二代莫蒂斯通男爵約翰·西里
Q2170689	Rowland Brown		罗兰·布朗
Q2170774	Roy Benavidez		罗伊·贝纳维德斯
Q2170911	Roy Sievers	ロイ・シーバス	羅伊·席佛斯
Q2170935	Roy Yorke Calne	ロイ・Y・カーン	
Q217096	Naruhito	徳仁	德仁
Q217110	Orson Scott Card	オースン・スコット・カード	奥森·斯科特·卡德
Q21711020	Catalina Suárez Marcayda		卡塔莉娜·胡亚雷斯
Q2171130	George van den Bergh		格奥尔格·范登贝赫
Q217115	Ramzan Kadyrov	ラムザン・カディロフ	拉姆赞·卡德罗夫
Q2171170	Royall Tyler	ロイヤル・タイラー (劇作家)	
Q217119	George Everest	ジョージ・エベレスト	乔治·埃佛勒斯
Q2171385	Anders Holmertz	アンデルス・ホルメルツ	安德斯·霍尔默茨
Q2171566	Nadezhda Teffi	ナジェージダ・テッフィ	苔菲
Q217157	Richard Trevithick	リチャード・トレビシック	理查·特里维西克
Q217160	Kenny Rogers	ケニー・ロジャース	肯尼·罗杰斯
Q21717269	Carl Frederick Wandel		卡尔·弗雷德里克·汪戴尔
Q217198	Sergey Karjakin	セルゲイ・カヤキン	谢尔盖·卡尔亚金
Q2172	Lance Armstrong	ランス・アームストロング	兰斯·阿姆斯特朗
Q2172039	Rudi Feld		鲁迪·菲尔德
Q217238	Jimmie Johnson	ジミー・ジョンソン	吉米·约翰逊
Q2172655	Rudolf Frank	ルドルフ・フランク	
Q2172661	Rudolf Flesch	ルドルフ・フレッシュ	
Q2172668	Rudolf Moreau	ルドルフ・フォン・モロー	
Q217280	Joss Stone	ジョス・ストーン	乔丝·史东
Q217298	David Letterman	デイヴィッド・レターマン	大卫·莱特曼
Q21730860	Santiago Schaerer		圣地亚哥·舍雷尔
Q217314	John Edwards	ジョン・エドワーズ	约翰·爱德华兹
Q217344	Gerhard Armauer Hansen	アルマウェル・ハンセン	格哈德·阿玛尔·汉生
Q21738166	Jenna Ortega	ジェナ・オルテガ	詹娜·奥尔特加
Q2174105	Frederick William Vanderbilt	フレデリック・ウィリアム・ヴァンダービルト	弗雷德里克·威廉·范德比尔特
Q2174225	Rudolf von Croÿ	ルドルフ・フォン・クロイ	
Q217427	La Toya Jackson	ラトーヤ・ジャクソン	拉托亞·杰克逊
Q217434	Grant Wood	グラント・ウッド	格兰特·伍德
Q2174371	Rudolph von Apponyi	ルドルフ・フォン・アポーニー	
Q2174510	Rudolf Procházka	ルドルフ・プロハースカ	
Q217477	John B. Watson	ジョン・ブローダス・ワトソン	约翰·布罗德斯·华生
Q2174770	Rufus Choate	作者:ルーファス・チョート	魯弗斯·喬特
Q2174811	Rufus W. Peckham	ルーファス・ホイーラー・ペッカム	鲁弗斯·威勒·派克汉姆
Q217486	Walter Gilbert	ウォルター・ギルバート	沃特·吉尔伯特
Q21748880	John Bockelmann		约翰·博克曼
Q217495	Iris Murdoch	アイリス・マードック	艾瑞斯·梅铎
Q217498	Álvaro Obregón	アルバロ・オブレゴン	阿尔瓦罗·奥夫雷贡
Q2175002	Edward Shepherd Creasy	エドワード・シェファード・クリーシー	爱德华·谢泼德·克里西
Q217504	Thyra von Dänemark	テューラ・ア・ダンマーク	提拉
Q2175403	Duke Eugen of Württemberg	オイゲン・フォン・ヴュルテンベルク	符騰堡的歐根·威廉
Q21754133	Luisa Anzoletti	ルイーザ・アンツォレッティ	
Q21756872	Zachary Claman DeMelo	ザカリー・クラマン・デメロ	
Q2175817	The Kat	ステイシー・カーター	史塔奇·卡特
Q217613	Stanisław Moniuszko	スタニスワフ・モニューシュコ	斯坦尼斯拉夫·莫纽什科
Q217614	Armas Toivonen	アルマス・トイヴォネン	阿爾馬斯·托伊沃寧
Q217619	Anthony Burgess	アンソニー・バージェス	安东尼·伯吉斯
Q2176339	Rodney Yano	ロドニー・ヤノ	羅德尼·矢野
Q217637	John II of Portugal	ジョアン2世	若昂二世
Q217645	Chester W. Nimitz	チェスター・ニミッツ	切斯特·威廉·尼米兹
Q2176721	Caroline Catz	キャロライン・キャッツ	
Q217683	Paul Bremer	ポール・ブレマー	保罗·布雷默
Q2176967	Russell W. Porter	ラッセル・ポーター	拉塞尔·威廉姆斯·波特
Q217715	Caspar Netscher	カスパル・ネッチェル	卡斯帕·内切尔
Q217722	Ragnar Granit	ラグナー・グラニト	拉格纳·格拉尼特
Q2177322	Virginia Brown Faire	バージニア・ブラウン・フェアー	弗吉尼娅·布朗·费尔
Q2177580	Ruth Bernhard	ルース・バーンハード	露丝·伯恩哈德
Q2177602	Ruth Elder	ルース・エルダー	
Q2177628	Ruth Haring		露絲·哈林
Q2177665	Ruth Landshoff	ルース・ランドスホーフ	
Q2177707	Ruth Hanna McCormick	ルース・ハンナ・マコーミック・シムス	
Q217771	George Gurdjieff	ゲオルギイ・グルジエフ	喬治·伊凡諾維奇·葛吉夫
Q2177716	Ruth Niehaus	ルート・ニーハウス	
Q2177796	Ruth Wenger		露丝·温格
Q217787	Carole King	キャロル・キング	卡洛尔·金
Q217794	Abel Pacheco	アベル・パチェコ	阿韦尔·帕切科·德拉埃斯普列亚
Q217812	Coleman Hawkins	コールマン・ホーキンス	科尔曼·霍金斯
Q21781553	Henry Charles Ponsonby Moore	ヘンリー・ムーア	第十代德羅赫達伯爵亨利·摩爾
Q2178197	Bonifatius II av Toscana	ボニファス 2 世	
Q2178366	Ryu Goto	五嶋龍	五嶋龍
Q217839	Otis Redding	オーティス・レディング	奥蒂斯·雷丁
Q2178402	Albert Winsemius	アルバート・ヴィンゼミウス	阿爾伯特·魏森梅斯
Q217848	Ásgeir Ásgeirsson	アウスゲイル・アウスゲイルソン	奥斯吉尔·奥斯吉尔松
Q21786391	Vita Sidorkina	ヴィタ・シドルキナ	维塔·西多基纳
Q2178652	Ré Soupault	レ・スーポー	
Q2179237	Rózsika Rothschild	ロズシカ・ロスチャイルド	
Q21793725	Webster Campbell	ウェブスター・キャンベル	
Q21794010	Amir Ohana	アミール・オハナ	亞米爾·奧哈拿
Q2179747	George More O'Ferrall		喬治·莫爾·奧法拉爾
Q2179964	Ulbo de Sitter	ウルボ・ド・ジッター	
Q2180087	Azélie-Marie Guérin Martin	マルタン夫妻	
Q2180141	Kees Broekman		克斯·布鲁克曼
Q218022	Alain Resnais	アラン・レネ	阿兰·雷奈
Q218083	Josh Groban	ジョシュ・グローバン	乔许·葛洛班
Q218091	Seal	シール	席尔
Q21809610	Kathleen Blackshear	キャスリーン・ブラックシアー	
Q21810116	Chai Jinyi		柴静仪
Q218134	Stephen III of Moldavia	シュテファン3世	斯特凡三世
Q218186	Vytautas	ヴィータウタス	维陶塔斯
Q21819925	Henry Kristofferson	ラーズ・ヘンリー・クリストファーソン	
Q21820619	Eduard Strauss II	エドゥアルト・シュトラウス2世	愛德華·史特勞斯二世
Q21820643	Rudolf Kristofics-Binder	ルドルフ・クリストフィクス＝ビンダー	
Q218210	Zoe Kazan	ゾーイ・カザン	佐伊·卡赞
Q218254	Dugald Stewart	デュガルド・スチュワート	杜格尔德·斯图尔特
Q218279	Zoey Deutch	ゾーイ・ドゥイッチ	柔伊·德區
Q2183083	Charles Henry Hall	チャールズ・ヘンリー・ホール	
Q218309	Zofia Kossak-Szczucka		佐菲亚·科萨科-什丘斯卡
Q218311	François Jacob	フランソワ・ジャコブ	弗朗索瓦·雅各布
Q2183111	George Whiting Flagg	ジョージ・ホワイティング・フラッグ	
Q2183127	Stevenson Archer	スティーヴンソン・アーチャー	
Q218319	Zofia Nałkowska	ゾフィア・ナウコフスカ	佐菲亚·纳夫科夫斯卡
Q218380	Cesare Prandelli	チェーザレ・プランデッリ	切萨雷·普兰德利
Q2183916	Dirck Barendsz.	ディルク・バレンツゾーン	
Q2183923	Kees Verkade	ケース・フェルカーデ	
Q2184007	Christian av Slesvig-Holsten-Sønderborg-Glücksborg	クリスティアン (シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝グリュックスブルク公)	克里斯蒂安
Q218443	Anastasio Somoza Debayle	アナスタシオ・ソモサ・デバイレ	安纳斯塔西奥·索摩查·德瓦伊莱
Q2184531	Kaljo Põllu	カルヨ・ポル	
Q21848527	Johan Daniel Stub Landmark	ヨハン・ダニエル・スタブ・ ランドマーク	约翰·丹尼尔·斯图布·兰德马克
Q2184977	Libe Barer	リーベ・バラール	莉碧·巴勒尔
Q2185	Georges Pompidou	ジョルジュ・ポンピドゥー	乔治·蓬皮杜
Q218503	Will Ferrell	ウィル・フェレル	威尔·法瑞尔
Q218511	Antonio Villaraigosa	アントニオ・ヴィヤライゴーサ	安东尼奥·维拉莱戈沙
Q2185247	Aldo Ciccolini	アルド・チッコリーニ	艾度·奇科利尼
Q2185265	Bernard de Nogaret de La Valette d'Épernon	ギュイエンヌ総督エペルノン公爵	拉瓦莱特的贝尔纳·德·诺加雷
Q218532	John Candy	ジョン・キャンディ	约翰·坎迪
Q2185351	Vincent Willem van Gogh	フィンセント・ウィレム・ファン・ゴッホ	
Q218542	Maggie Grace	マギー・グレイス	玛吉·格雷斯
Q218544	Jackie Speier	ジャッキー・スピアー	傑基·斯貝爾
Q21855104	Bertram Ashburnham	バートラム・アシュバーナム	
Q21856996	Natalia Kasatkina	ナターリヤ・カサトキーナ	
Q218575	Percival Lowell	パーシヴァル・ローウェル	帕西瓦尔·罗威尔
Q218623	Samuel L. Mitchill	サミュエル・L・ミッチル	山繆·米契爾
Q218630	Michael Dell	マイケル・デル	迈克尔·戴尔
Q218679	Colette	シドニー＝ガブリエル・コレット	科莱特
Q218698	Jerome K. Jerome	ジェローム・K・ジェローム	杰罗姆·克拉普卡·杰罗姆
Q218718	Jay Leno	ジェイ・レノ	杰·雷诺
Q2187338	Anna Catherine Constance Vasa	アンナ・カタジナ・コンスタンツィア・ヴァザ	安娜·卡塔芝娜·康斯坦恰·瓦萨
Q2187661	Francisco de Holanda	フランシスコ・デ・ホランダ	
Q218800	David Oyelowo	デヴィッド・オイェロウォ	大衛·奧伊羅
Q218823	Joshua Lederberg	ジョシュア・レーダーバーグ	乔舒亚·莱德伯格
Q218845	Zoltan Korda	ゾルタン・コルダ	佐尔坦·科达
Q218849	Zoltan Sarosy	ゾルタン・サロシー	
Q218878	Zoltán of Hungary	ジョルト (ハンガリー大公)	佐尔坦
Q218879	Mercedes of Orléans	マリア・デ・ラス・メルセデス・デ・オルレアンス	奧爾良的梅賽德斯公主，西班牙王后
Q218884	Cheryl Ladd	シェリル・ラッド	切瑞·拉德
Q218889	Zoltán Lajos Bay	ゾルターン・バイ	
Q2189056	Prince Alexander Ferdinand of Prussia	アレクサンダー・フェルディナント・フォン・プロイセン	亚历山大·斐迪南王子 (德国)
Q2189152	Marnie Schulenburg	マーニー・シュレンブルク	
Q2189394	Michel Clemenceau	ミシェル・クレマンソー	米歇尔·克莱门梭
Q218960	Laurence Sterne	ローレンス・スターン	劳伦斯·斯特恩
Q21898072	Stefan Hirsch		斯特凡·赫希
Q218992	Nelly	ネリー	奈利
Q21901	Josephine Cochrane	ジョセフィン・コクラン	約瑟芬·科克倫
Q2190228	Albert von Thurn und Taxis	アルベルト・フォン・トゥルン・ウント・タクシス	阿爾貝二世
Q21903476	Daniel Sánchez Bustamante		丹尼尔·桑切斯·布斯塔曼特
Q219062	Zoltán Tildy	ティルディ・ゾルターン	蒂尔迪·佐尔坦
Q219088	Zoltán Halmay	ゾルタン・ハルマイ	豪尔毛伊·佐尔坦
Q219131	Alvaro Vitali	アルヴァロ・ヴィターリ	阿尔瓦罗·维塔利
Q21914416	John Watts	ジョン・ワッツ	
Q21914464	Dua Lipa	デュア・リパ	杜阿·利帕
Q219167	Brad Guzan	ブラッド・グザン	布拉德·古赞
Q2191695	Danding Cojuangco	ダンディン・コファンコ	爱德华多·许寰哥
Q219237	Rick Astley	リック・アストリー	理查德·艾斯利
Q2192425	Princess Marguerite of Orléans	マルグリット・アデライード・ドルレアン	
Q2192525	Peter of Cantabria	ペドロ (カンタブリア公)	
Q219256	Andreas Papandreou	アンドレアス・パパンドレウ	安德烈亚斯·乔治乌·帕潘德里欧
Q2192916	Cynthia Villar	シンシア・ヴィラール	辛西娅·维拉尔
Q2193305	Jerry Adler		杰瑞·艾德勒 (口琴手)
Q219350	Tommy Taylor	トミー・テイラー	汤米·泰勒
Q219353	Rosalynn Carter	ロザリン・カーター	罗莎琳·卡特
Q219354	Ian Rush	イアン・ラッシュ	伊恩·拉什
Q2193621	Herman Johannes Lam	ヘルマン・ラム	赫尔曼·约翰内斯·拉姆
Q219373	Elizabeth Banks	エリザベス・バンクス	伊丽莎白·班克斯
Q219377	Nicholas Sparks	ニコラス・スパークス	尼可拉斯·史派克
Q219390	Giacinto Facchetti	ジャチント・ファッケッティ	吉亚琴托·法切蒂
Q219402	America Ferrera	アメリカ・フェレーラ	艾美莉卡·弗利拉
Q2194178	Charles Harrelson	チャールズ・ハレルソン	查理斯·哈里森
Q219420	Edward Albee	エドワード・オールビー	爱德华·阿尔比
Q2194644	Lisa Gaye	リサ・ゲイ	
Q2194769	Nicola Pagett	ニコラ・パジェット	尼古拉·佩吉特
Q219491	Arrigo Boito	アッリーゴ・ボーイト	阿里格·博伊托
Q219507	Simon Kinberg	サイモン・キンバーグ	西蒙·金伯格
Q219512	Jesse Eisenberg	ジェシー・アイゼンバーグ	杰西·艾森伯格
Q219521	Walter Brennan	ウォルター・ブレナン	沃尔特·布伦南
Q2195350	Carl av Slesvig-Holsten-Sønderborg-Glücksborg	カール	卡尔
Q219546	Albert Finney	アルバート・フィニー	亚伯特·芬尼
Q219551	Ferruccio Busoni	フェルッチョ・ブゾーニ	费卢西奥·布索尼
Q2195581	Ferdinand Grapperhaus	フェルディナント・フラッパーハウス	
Q219569	Ilan Ramon	イラン・ラモーン	伊兰·拉蒙
Q219572	Marie Tussaud	マリー・タッソー	杜莎夫人
Q2196125	Arsenio Laurel		阿辛尼奧·羅路
Q219621	René Laennec	ルネ・ラエンネック	勒内·拉埃内克
Q219631	Adam Levine	アダム・レヴィーン	亚当·列维
Q219634	Claude Cahun	クロード・カアン	克勞德·卡翁
Q219636	Marcel Malherbe	マルセル・ムーア	馬塞爾·摩爾
Q219639	William Tyndale	ウィリアム・ティンダル	威廉·廷代尔
Q219640	Vincent Price	ヴィンセント・プライス	文森·普莱斯
Q21964347	Caroline Mulroney	キャロライン・マルルーニー	卡蘿琳·馬爾羅尼
